^ESCT1177677	Mononucleosis syndrome
^ESCTRE268147	Respiratory anthrax
^ESCTRE276024	Retroperitoneal tuberculosis
^ESCTRE327261	Recrudescent typhus fever
^ESCTRE327262	Recrudescent typhus due to Rickettsia prowazekii
^ESCTRE694791	Recurrent fever
^ESCTRE694792	Recurrent fever due to Borrelia
^ESCTRE694793	Relapsing fever due to Borrelia
^ESCTRE826531	Referral to community HIV (human immunodeficiency virus) nurse specialist
^ESCTRI372108	Rickettsialpox due to Rickettsia akari
^ESCTRI375867	Rice-field worker's disease
^ESCTRO474094	Rotavirus enteritis
^ESCTRO549149	Rochalimaea infection
^ESCTRU272476	Rubeola
^ESCTRU349283	Rubeola scarlatinosa
^ESCTRU349284	Rubella scarlatiniforma
^ESCTRU388156	Rubella in mother complicating pregnancy, childbirth AND/OR puerperium
^ESCTSC266080	Schistosomosis
^ESCTSC337728	Scrofula
^ESCTSC384703	Scrofuloderma
^ESCTSC474451	Schistosome dermatitis
^ESCTSC474453	Schistosomal cercarial dermatitis
^ESCTSC550306	Schistosoma japonicum infection
^ESCTSC552447	Scrub typhus
^ESCTSE262919	Sexually transmissible disease
^ESCTSE264404	Septicemic plague
^ESCTSE275135	Searles's ulcer
^ESCTSE283299	Severe dengue
^ESCTSE347331	Secondary syphilitic adenopathy
^ESCTSE347332	Secondary syphilitic lymphadenitis
^ESCTSE347334	Secondary syphilitic lymphadenopathy
^ESCTSE374534	Septicaemic shock
^ESCTSE374535	Septicemic shock
^ESCTSE374536	Sepsis-associated hypotension
^ESCTSE375861	Seven day fever
^ESCTSE382274	Secondary syphilis of tonsil
^ESCTSE417716	Sequelae of poliomyelitis
^ESCTSE417718	Sequela of infection caused by Human poliovirus
^ESCTSE474354	Secondary syphilis of skin and mucous membrane
^ESCTSE474505	Sequelae of central nervous system tuberculosis
^ESCTSE474508	Sequelae of genitourinary tuberculosis
^ESCTSE474512	Sequelae of tuberculosis of bones and joints
^ESCTSE479883	Sepsis during labour, delivered
^ESCTSE479884	Septicemia during labor - delivered
^ESCTSE479886	Sepsis during labor, delivered
^ESCTSE483729	Sepsis of newborn caused by Staphylococcus aureus
^ESCTSE483731	Sepsis of newborn caused by Escherichia coli
^ESCTSE549157	Secondary syphilis of viscera or bone
^ESCTSE558893	Sepsis neonatorum
^ESCTSE600272	Septicemia due to enterococcus
^ESCTSE600273	Sepsis due to enterococcus
^ESCTSE600274	Septicemia caused by enterococcus
^ESCTSE600275	Sepsis caused by enterococcus
^ESCTSE600276	Septicaemia caused by enterococcus
^ESCTSE734459	Sepsis caused by Haemophilus influenzae
^ESCTSE734652	Sepsis caused by Candida
^ESCTSE734655	Sepsis caused by anaerobic bacteria
^ESCTSE734717	Sepsis caused by Staphylococcus
^ESCTSE734723	Sepsis caused by Actinomyces
^ESCTSE734725	Sepsis caused by Escherichia coli
^ESCTSE735466	Sepsis caused by Staphylococcus aureus
^ESCTSE735468	Sepsis caused by Streptococcus
^ESCTSE735469	Sepsis due to Streptococcus agalactiae
^ESCTSE735471	Sepsis caused by Streptococcus agalactiae
^ESCTSE735472	Sepsis caused by Streptococcus group B
^ESCTSE735476	Sepsis caused by Streptococcus pneumoniae
^ESCTSE736013	Sepsis due to herpes simplex
^ESCTSE736014	Sepsis caused by herpes simplex
^ESCTSE736053	Sepsis caused by Pseudomonas
^ESCTSE736445	Sepsis caused by Gram negative bacteria
^ESCTSE736448	Sepsis due to Serratia
^ESCTSE736449	Sepsis caused by Serratia
^ESCTSE737110	Sepsis due to Streptococcus pyogenes
^ESCTSE737112	Sepsis caused by Streptococcus pyogenes
^ESCTSE737113	Sepsis caused by Streptococcus group A
^ESCTSE737115	Sepsis caused by coagulase negative Staphylococcus
^ESCTSH291073	Shop typhus
^ESCTSI338240	Sixth disease
^ESCTSI474340	Sirkari disease
^ESCTSL698193	Slim disease
^ESCTSM364038	Smooth leprosy
^ESCTSO376118	South American trypanosomiasis
^ESCTSP316229	Spirochetal infection
^ESCTSP316230	Spirochetosis
^ESCTSP362191	Spotted fever due to Rickettsia australis
^ESCTSP375860	Spirochetal jaundice
^ESCTSP677977	Splenic fever
^ESCTST262922	STD - Sexually transmitted disease
^ESCTST262923	Statutory venereal disease
^ESCTST287514	Steere's disease
^ESCTST334508	Streptobacillary fever
^ESCTST341051	Staphylococcosis
^ESCTST351906	ST - Subtertian malaria
^ESCTST351909	STM - Subtertian malaria
^ESCTST389422	Streptococcosis
^ESCTST591125	Streptococcus pyogenes infection
^ESCTST607639	Stomatitis herpetiformis
^ESCTST706645	Streptococcus agalactiae infection
^ESCTSU762463	Suspected Ebola virus disease
^ESCTSU762464	Suspected Ebola hemorrhagic fever
^ESCTSU762465	Suspected Ebola haemorrhagic fever
^ESCTSW474455	Swamp itch
^ESCTSW474457	Swimmer's itch
^ESCTSY258074	Systemic gonococcal infection
^ESCTSY269472	Syphilitic aneurysm of aorta
^ESCTSY269473	Syphilitic dilatation of aorta
^ESCTSY282967	Syphilis-associated aortitis
^ESCTSY317857	Sylvan yellow fever
^ESCTSY346220	Syphilid
^ESCTSY398346	Systemic infection
^ESCTSY549154	Syphilitic chancre
^ESCTTA312954	Tabardillo
^ESCTTA362493	Taenia saginata taeniasis
^ESCTTA373899	Taeniasis
^ESCTTA373900	Taeniosis
^ESCTTA373902	Taenia infection
^ESCTTA515250	Taenia solium infection
^ESCTTA549190	Taenia solium infection, intestinal form
^ESCTTA606063	Tabes dorsalis
^ESCTTB256970	TB - Urogenital tuberculosis
^ESCTTB342137	TB - Tuberculosis
^ESCTTE367267	Tertiary syphilis
^ESCTTE373901	Teniasis
^ESCTTE749899	Termination of pregnancy complicated by sepsis
^ESCTTE749901	Termination of pregnancy complicated by septic embolism
^ESCTTH338242	Three day fever
^ESCTTI312957	Tifus exanthematico
^ESCTTI362189	Tick typhus due to Rickettsia australis
^ESCTTI387994	Tinea circinata
^ESCTTI387998	Tinea circinatus
^ESCTTI474312	Tick typhus due to Rickettsia conorii
^ESCTTI474317	Tick fever due to Rickettsia siberica
^ESCTTO274425	Toxaemia of pregnancy
^ESCTTR291745	Trematodosis
^ESCTTR291749	Trematode infestation
^ESCTTR293252	Trachomatous granular conjunctivitis
^ESCTTR298261	Trachoma, initial stage
^ESCTTR298262	Trachoma dubium
^ESCTTR326603	Tropical steatorrhea
^ESCTTR326604	Tropical steatorrhoea
^ESCTTR326606	Tropical enteropathy
^ESCTTR330781	Trichonocardiasis axillaris
^ESCTTR330783	Trichomycosis nodosa
^ESCTTR335633	Trachoma, active stage
^ESCTTR374070	Treponemal disease
^ESCTTR378387	Trypanosomosis
^ESCTTR552455	Treponarid
^ESCTTR561384	Tropical pulmonary eosinophilia
^ESCTTS279378	TSS - Toxic shock syndrome
^ESCTTS326605	TS - Tropical sprue
^ESCTTT364042	TT - Full tuberculoid leprosy
^ESCTTU256969	Tuberculosis of genitourinary system
^ESCTTU265564	Tuberculosis cutis lichenoides
^ESCTTU266736	Tuberculosis cutis luposa
^ESCTTU266738	Tuberculosis lupus exedens
^ESCTTU266739	Tuberculosis luposa cutis
^ESCTTU267323	Tuberculous lymphadenopathy
^ESCTTU267324	Tuberculosis of lymph node
^ESCTTU269096	Tuberculosis infection latent
^ESCTTU269313	Tuberculous enteritis
^ESCTTU295606	Tuberculosis of spleen
^ESCTTU337729	Tuberculosis of cervical lymph nodes
^ESCTTU358919	Tuberculosis of skin
^ESCTTU358921	Tuberculoderma
^ESCTTU359400	Tuberculosis of pericardium
^ESCTTU359401	Tuberculous pericarditis
^ESCTTU364036	Tuberculoid leprosy
^ESCTTU364043	Tuberculoid Hansen's disease (leprosy)
^ESCTTU371263	Tuberculosis with erythema nodosum AND hypersensitivity reaction
^ESCTTU371264	Tuberculosis (TB) with erythema nodosum
^ESCTTU384705	Tuberculosis colliquativa cutis
^ESCTTU389296	Tuberculous tracheobronchial adenopathy
^ESCTTU471915	Tuberculosis chemotherapy
^ESCTTU474129	Tuberculous Addison's disease
^ESCTTU474132	Tuberculous Addison disease
^ESCTTU479607	Tuberculosis in mother complicating pregnancy, childbirth AND/OR puerperium
^ESCTTU505987	Tuberculous mesenteric adenitis
^ESCTTY272799	Type I leprosy
^ESCTTY284296	Type L leprosy
^ESCTTY284299	Type LL leprosy
^ESCTTY291071	Typhus due to Rickettsia typhi
^ESCTTY312950	Typhus due to Rickettsia prowazekii
^ESCTTY364037	Type T leprosy
^ESCTTY364041	Type TT leprosy
^ESCTTY514722	Type BT leprosy
^ESCTTY514725	Type BL leprosy
^ESCTTY515009	Typhus
^ESCTUN362492	Unarmed tapeworm infection
^ESCTUR256971	Urogenital tuberculosis
^ESCTUR291074	Urban typhus
^ESCTVA600252	Vancomycin resistant enterococcal septicaemia
^ESCTVA600253	Vancomycin resistant enterococcal septicemia
^ESCTVD262924	VD - Venereal disease
^ESCTVE255138	Vesical blood fluke
^ESCTVE262918	Venereal disease
^ESCTVE304532	Verruca necrogenica
^ESCTVE372107	Vesicular rickettsiosis
^ESCTVE376105	Vervet monkey disease
^ESCTVH514889	VHF - Viral haemorrhagic fever
^ESCTVH514890	VHF - Viral hemorrhagic fever
^ESCTVI253928	Viremia
^ESCTVI253929	Viral sepsis
^ESCTVI304770	Viral infectious disease
^ESCTVI309774	Viral hemorrhagic fever, Ebola
^ESCTVI309775	Viral haemorrhagic fever, Ebola
^ESCTVI330762	Viral rash
^ESCTVI345647	Viral hemorrhagic fever, Argentine
^ESCTVI345648	Viral haemorrhagic fever, Argentine
^ESCTVI376109	Viral haemorrhagic fever, Marburg
^ESCTVI376110	Viral hemorrhagic fever, Marburg
^ESCTVI420042	Viral diarrhea
^ESCTVI442043	Viral dermatological disorders
^ESCTVI474218	Viral disease characterized by exanthem
^ESCTVI513908	Viral arthritis
^ESCTVI514891	Viral hemorrhagic fever
^ESCTVI678284	Viral otitis interna
^ESCTVL474341	VL - Visceral leishmaniasis
^ESCTWA304533	Warty tuberculosis
^ESCTWE561387	Weingarten's syndrome
^ESCTWE659727	Weil disease
^ESCTWE690205	West Nile virus infection
^ESCTWH708365	Whitmore's disease
^ESCTWO268146	Woolsorters' disease
^ESCTWO294275	Worms
^ESCTWO294276	Worm infestation
^ESCTWO294277	Worm infection
^ESCTWU376801	Wuchereriasis
^ESCTWU376802	Wuchereriosis
^ESCTYA337130	Yaws hyperkeratosis
^ESCTYE385789	Yersiniosis
^ESCTYF276215	YF - Yellow fever
^ESCTZI256163	Zika virus disease
^ESCTZO257445	Zona
^ESCTZO257447	Zoster
^ESCTZO286663	Zoonotic bacterial disease
^ESCTZO392246	Zoster ocular disease
^ESCTZO392247	Zoster ophthalmicus
EMISNQAZ5	Azithromycin resistant gonococcal infection
EMISNQCA1058	Carbapenemase producing Enterobacteriacea carrier
EMISNQCL27	Clostridium difficile carrier
EMISNQCO110	Colomycin resistant pseudomonas aeruginosa
EMISNQGR6	Group B streptococcus infection
EMISNQHI36	HIV monitoring telephone invite
EMISNQIN117	Infection due to streptococcus group A
EMISNQIN122	Infection due to ESBL bacteria
EMISNQIN194	Infection due to carbapenemase producing Enterobacteriacea
EMISNQIN95	Infection by macrolide sensitive Staphylococcus aureus
EMISNQMA86	Macrolide resistant staphylococcus aureus
EMISNQPA95	Panton-Valentine Leukocidin (PVL) associated staph. aureus infec
EMISNQSU55	Suspected sepsis
EMISNQSU81	Suspected ebola virus infection
ESCTSE5	Septic shock
