1653.	Fever with sweating
Jyu77	[X]Granulomatous hepatitis, not elsewhere classified
Jyu93	[X]Tuberculous disorders of intestine and mesentery
K1A..	Urinary calculus in schistosomiasis
L090y	Sepsis NOS following abortion and ectopic and molar pregnancy
L090z	Septicaemia NOS following abortive pregnancy
L0965	Pyaemic embolism following abortive pregnancy
L0966	Septic embolism following abortive pregnancy
L169.	Pemphigoid gestationis
L1690	Herpes gestationis unspecified
L1692	Herpes gestationis - delivered with postnatal complication
L1693	Herpes gestationis - not delivered
L169z	Herpes gestationis NOS
L170.	Maternal syphilis during pregnancy, childbirth and the puerperium
L1700	Maternal syphilis, unspecified whether during pregnancy or the puerperium
L1701	Maternal syphilis during pregnancy - baby delivered
L170z	Maternal syphilis during pregnancy, childbirth or the puerperium NOS
L171.	Maternal gonorrhoea during pregnancy, childbirth and the puerperium
L1710	Maternal gonorrhoea, unspecified whether during pregnancy or the puerperium
L1713	Maternal gonorrhoea during pregnancy - baby not yet delivered
L171z	Gonorrhoea during pregnancy, childbirth or the puerperium NOS
L173.	Maternal tuberculosis during pregnancy, childbirth and the puerperium
L1730	Maternal tuberculosis, unspecified whether during pregnancy or the puerperium
L173z	Maternal tuberculosis during pregnancy, childbirth or the puerperium NOS
L174.	Maternal malaria during pregnancy, childbirth and the puerperium
L1740	Maternal malaria, unspecified whether during pregnancy or puerperium
L174z	Maternal malaria during pregnancy, childbirth or the puerperium NOS
L1750	Maternal rubella, unspecified whether during pregnancy or the puerperium
L1751	Maternal rubella during pregnancy - baby delivered
L1753	Maternal rubella during pregnancy - baby not yet delivered
L175z	Maternal rubella during pregnancy, childbirth or the puerperium NOS
L2931	Septicaemia during labour - delivered
L433.	Obstetric pyaemic &/or septic pulmonary embolism
L4330	Obstetric pyaemic and septic pulmonary embolism unspecified
L433z	Obstetric pyaemic and septic pulmonary embolism NOS
Lyu1.	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
M0703	Pyoderma ulcerosum tropicalum
M140.	Dermatitis herpetiformis
M1452	Senile dermatitis herpetiformis
M1624	Parapsoriasis herpetiformis
M2432	Poliosis eccentrica
M2433	Poliosis -acquired
N015.	Arthropathy associated with other viral diseases
N0150	Arthropathy associated with other viral disease, of unspecified site
N0151	Arthropathy associated with other viral disease, of the shoulder region
N0152	Arthropathy associated with other viral disease, of the upper arm
N0153	Arthropathy associated with other viral disease, of the forearm
N0154	Arthropathy with other viral disease, of hand
N0155	Arthropathy associated with other viral disease, of the pelvic region and thigh
N0156	Arthropathy associated with other viral disease, of the lower leg
N0157	Arthropathy associated with other viral disease, of the ankle and foot
N015x	Arthropathy associated with other viral disease, of multiple sites
N015y	Arthropathy associated with other viral disease, of other specified site
N015z	Arthropathy associated with other viral disease NOS
N0171	Helminthiasis with arthropathy of the shoulder region
N307.	Osteopathy from poliomyelitis
N3070	Poliomyelitis osteopathy of unspecified site
N3076	Poliomyelitis osteopathy of the lower leg
N3077	Poliomyelitis osteopathy of the ankle and foot
N3078	Poliomyelitis osteopathy of other specified sites
N307z	Poliomyelitis osteopathy NOS
Q40..	Infections specific to perinatal period
Q4022	Congenital malaria
Q403.	Tetanus neonatorum
Q4030	Tetanus neonatorum, unspecified
Q4031	Tetanus omphalitis
Q403z	Tetanus neonatorum NOS
Q4075	Neonatal candida septicaemia
Q4086	Pseudomonas pyocyaneus congenital infection
Q40A.	Sepsis of the newborn
Q40A0	Sepsis of newborn due to Staphylococcus aureus
Q40A1	Sepsis of newborn due to Escherichia coli
Q40y.	Other specified perinatal infection
Q40y2	Neonatal septicaemia
Q40yz	Other specified perinatal infection NOS
Q40z.	Perinatal infections NOS
Q43..	Other perinatal jaundice
Q431.	Perinatal jaundice from other excessive haemolysis
Q431y	Perinatal jaundice from other specified haemolysis
Q431z	Perinatal jaundice from haemolysis NOS
Q433z	Delayed conjugation causing neonatal jaundice NOS
Q4340	Perinatal hepatitis causing jaundice, unspecified
Q435.	Perinatal jaundice due to other cause
Q435z	Perinatal jaundice due to other specified cause
Q436.	Fetal and neonatal jaundice, unspecified
Q4360	Icterus neonatorum, unspecified
Q436z	Unspecified fetal or neonatal jaundice NOS
Q43z.	Perinatal jaundice NOS
Qyu42	[X]Other bacterial sepsis of newborn
Qyu43	[X]Other congenital malaria
Qyu44	[X]Other specified congenital infectious and parasitic diseases
Qyu45	[X]Other infections specific to the perinatal period
Qyu46	[X]Other specified infections specific to the perinatal period
Qyu48	[X]Sepsis of newborn due to other and unspecified streptococci
Qyu49	[X]Congenital infectious and parasitic disease, unspecified
Qyu58	[X]Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn
Qyu59	[X]Neonatal jaundice due to other specified excessive haemolysis
Qyu5B	[X]Neonatal jaundice from other specified causes
R0552	[D]Endotoxic shock
R0553	[D]Gram-negative shock
R0555	[D]Septic shock
R106.	[D]Unspecified bacteraemia
R107.	[D]Unspecified viraemia
R109.	[D]Laboratory evidence of human immunodeficiency virus [HIV]
SP201	Postoperative septic shock
SP254	Postoperative septicaemia
SP380	Septic shock due to transfusion
X003P	Acquired immune deficiency syndrome dementia complex
X00CV	American trypanosomiasis
X00lv	Syphilitic crinkle nose
X00Zq	Chlamydial conjunctivitis
X200g	Syphilitic valve disease
X206m	Tuberculous mesenteric adenitis
X208c	Gram-negative septic shock
X208Z	Septic shock
X306T	Inflammatory liver disease
X306X	Abscess gonococcal
X308p	Cytomegaloviral pancreatitis
X40AX	Rubella contact in pregnancy
X40BC	Spontaneous abortion with sepsis
X40BF	Septic abortion
X40Bz	Toxaemia NOS
X5002	Viral dermatological disorders
X5006	Viral exanthem
X501r	Cutaneous involvement in listeriosis
X50AL	Acne agminata
X50FR	Juvenile pemphigoid
X701O	Arthritis due to viral infection
X701R	Lyme arthritis
X702P	Charcot's arthropathy
X709g	Viral myalgia
X70Ea	Perinatal jaundice
X70Ed	Intrauterine fetal sepsis
X70Ee	Congenital sepsis NOS
X70Gv	Bacterial disease
X70Gw	Primary progressive tuberculosis
X70Gy	Tuberculosis of lymph node
X70GY	Yersiniosis
X70Hh	Borderline tuberculoid leprosy
X70Hi	Borderline lepromatous leprosy
X70Hy	Cutaneous mycobacterium ulcerans infection
X70If	Extrapulmonary legionella infection
X70Io	Oroya fever
X70Ip	Carrion's disease
X70Iq	Verruga peruana
X70Iu	Viral disease
X70JO	Herpes simplex infection of skin
X70Jt	Mosquito-borne alphavirus haemorrhagic fever
X70Jv	Mosquito-borne flavivirus haemorrhagic fever
X70Jw	Dengue haemorrhagic fever
X70Jx	Mosquito-borne bunyavirus haemorrhagic fever
X70Jy	Tick-borne haemorrhagic fever
X70Jz	Tick-borne flavivirus haemorrhagic fever
X70K0	Tick-borne bunyavirus haemorrhagic fever
X70K3	Mosquito-borne arboviral fever
X70KH	Mosquito-borne bunyamwera group virus fever
X70KO	Mosquito-borne bwamba group virus fever
X70L4	Viral haemorrhagic fever
X70L5	Argentinian haemorrhagic fever
X70L6	Bolivian haemorrhagic fever
X70LA	Ebola virus disease
X70LD	Mumps parotitis
X70Li	Enteroviral infection
X70LI	Epstein-Barr virus disease
X70LN	Human papilloma virus infection
X70Lq	Echovirus exanthem
X70Lv	Cytomegaloviral mononucleosis
X70M6	Human immunodeficiency virus infection
X70M7	Syphilis
X70MJ	Secondary syphilis
X70MV	Tertiary syphilis
X70N5	Systemic gonococcal infection
X70O0	Acquired immune deficiency syndrome-related complex
X70O1	Human immunodeficiency virus infection wasting syndrome
X70OA	Typhus group rickettsial disease
X70Ob	Monkey malaria
X70OJ	Japanese river fever
X70OK	Kedani fever
X70OL	Tsutsugamushi disease
X70Om	Cutaneous leishmaniasis
X70OQ	Rochalimaea infection
X70Ov	Leishmania mexicana complex - infection
X70Ox	Chiclero's ulcer
X70Pt	Palmar yaws hyperkeratosis
X70Pu	Plantar yaws hyperkeratosis
X70PU	Spirochaetal disease
X70Px	Hydrarthroses of yaws
X70PY	Erythema chronicum migrans
X70Pz	Yaws periostitis
X70Q9	Bejel
X70QB	Njovera
X70QK	Mycetoma
X70QR	Trichomycosis axillaris
X70Se	Intestinal schistosomiasis
X70SQ	Trematode infection
X70SS	Katayama fever
X70T4	Multilocular hydatid
X70T8	Taeniasis
X70T9	Taenia solium infection
X70Uc	Physalopteriasis
X70VZ	Sepsis
X73k2	Non-enveloped dsDNA virus
X73k6	Papovavirus
X73oI	Helminth
X73ou	Intestinal fluke
X75sv	Post-herpetic neuralgia
X79pw	Infection
Xa07E	Schistosomiasis - pulmonary
Xa0Ai	Bacterial sepsis of newborn
Xa0Ak	Congenital falciparum malaria
Xa0AY	Extended congenital rubella syndrome
Xa0C3	Septic shock associated with other non-bacterial microorganism
Xa0gY	Types of infections
Xa0GZ	Venereal disease
Xa0kb	Tropical pulmonary eosinophilia
Xa0ld	Acute herpetic gingivostomatitis
Xa1fd	Arbovirus
Xa1xy	Multiple-resistant Staphylococcus aureus infection
Xa3aY	Bacteraemia
Xa3dz	Viral and ill-defined gastrointestinal infections
Xa3e0	Bacterial diseases excluding tuberculosis
Xa3e1	Leprosy and other mycobacterial disorders
Xa3e3	Other herpes zoster
Xa3e4	Herpes simplex - other
Xa3e5	Other measles
Xa3e6	Other hepatitis
Xa3e7	Mumps - other
Xa3eA	Syphilitic/venereal/spirochaetal disease
Xa3eB	Other venereal/spirochaete disease
Xa3eC	Venereal/spirochaete disease NOS
Xa3eD	Other helminthiases
Xa6nq	Gram-negative septicaemia
Xa7MW	Neonatal jaundice
Xa86S	Nocardiosis
Xa86V	Sexually transmissible disease
Xa97a	Streptococcus pyogenes infection
Xa97i	Early yaws skin lesion
Xa97l	Ringworm of body
Xa97m	Filariasis
Xaapx	Human immunodeficiency virus infection monitoring invitation
Xaapy	Human immunodeficiency virus infection monitoring telephone invitation
XaBEA	[D] Post polio exhaustion
XaBEL	Oral herpetiform aphthous ulceration
XabfF	Human immunodeficiency virus drug resistance test
Xabjx	Infection due to carbapenemase producing Enterobacteriacea
XaBLu	Infantile viral gastroenteritis
Xabnc	Borrelial lymphocytoma
Xabnk	Human immunodeficiency virus type 1 subtype identification
XabpJ	Human immunodeficiency virus IgG avidity
XabtO	Suspected Ebola virus infection
XaC0x	Perinatal coagulase-negative staphylococcus
Xac8c	Multidrug resistant tuberculosis
XaCM2	Vancomycin-resistant enterococcal septicaemia
XaCMc	Septicaemia due to streptococcus pneumoniae
XaCMd	Septicaemia due to enterococcus
XaD2L	Bacteraemia NOS
XaDbw	Morganella infection
XaEJ0	Meticillin resistant staphylococcus aureus as the cause of diseases classified to other chapters
XaeU4	Severe Dengue
XaEYX	Pfeiffer's disease
XaFqq	Presence of virus
XaFuL	HIV viral load
XaFuO	HIV p24 antigen level
XaIby	Malarial parasites
XaIwD	RBC malaria parasitaemia count
XaJqa	Clostridium difficile toxin detection
XaK3x	Tuberculosis index case
XaK3y	On tuberculosis chemoprophylaxis
XaKB6	Streptomycin resistant tuberculosis
XaKB9	Isoniazid resistant tuberculosis
XaKBC	Ciprofloxacin resistant tuberculosis
XaKIf	CD4 immune monitoring
XaMBK	Human immunodeficiency virus ribonucleic acid/deoxyribonucleic acid ratio
XaMGc	Tuberculosis support
XaMGd	Other specified tuberculosis support
XaMGe	Tuberculosis support NOS
XaMzV	Antiviral therapy
XaNhs	Group B streptococcus infection
XaO9K	Human immunodeficiency virus viral load by log rank
XaPEC	Genital herpes simplex type 1 infection
XaPED	Genital herpes simplex type 2 infection
XaPIU	Oseltamivir resistant virus detected
XaPOd	Human metapneumovirus detected
XaPOe	Human bocavirus detected
XaPOj	Human rhinovirus detected
XaPOl	Human adenovirus detected
XaPOm	Human enterovirus detected
XaPOZ	Amantadine resistant virus detected
XaQOt	Human immunodeficiency virus monitoring
XaQOu	Human immunodeficiency virus annual review
XaQOv	Human immunodeficiency virus positive general health check service declined
XaX0k	Panton-Valentine leucocidin associated staphylococcus aureus infection
XaYbc	Sepsis due to Actinomyces
XaYbd	Sepsis due to Streptococcus
XaYbe	Sepsis due to Streptococcus group A
XaYbf	Sepsis due to Streptococcus group B
XaYbj	Sepsis due to Streptococcus pneumoniae
XaYbk	Sepsis due to Staphylococcus
XaYbl	Sepsis due to Staphylococcus aureus
XaYbm	Sepsis due to anaerobic bacteria
XaYbn	Sepsis due to Gram negative bacteria
XaYbo	Sepsis due to Haemophilus influenzae
XaYby	Hantavirus pulmonary syndrome
XaYbz	Sepsis due to Candida
XaYdH	Disease due to West Nile virus
XaYhl	Infectious systemic inflammatory response syndrome
XaYnd	Referral to community human immunodeficiency virus nurse specialist
XaYOv	Impetigo herpetiformis
XaZsP	Suspected sepsis
XaZxo	Seen by community HIV (human immunodeficiency virus) nurse
XaZYG	Infection due to extended spectrum beta-lactamase producing bacteria
XE0Qm	Enteritis due to specified virus
XE0Qv	Cutaneous mycobacterial infections
XE0Qx	Septicaemia NOS
XE0Qy	Cutaneous actinomycosis
XE0R6	Meticillin resistant staphylococcus aureus
XE0R9	Varicella infection
XE0Ra	Rickettsioses and other arthropod-borne diseases
XE0RA	Herpes zoster with other central nervous system complication
XE0Rb	African tick typhus
XE0RB	Herpes simplex infection
XE0Rc	Indian tick typhus
XE0RC	Herpetic gingivostomatitis
XE0Re	Other malaria
XE0RE	Herpes simplex no complication NOS
XE0Rf	New World cutaneous leishmaniasis
XE0RF	Other viral exanthemata NOS
XE0Rg	Bartonellosis
XE0Rh	Syphilis and other venereal diseases
XE0RJ	Mosquito-borne haemorrhagic fever
XE0Rk	Primary syphilis
XE0RL	Mumps with unspecified complication
XE0Rm	Secondary syphilis of viscera or bone
XE0RM	Mumps with no complication
XE0Rn	Acquired syphilis - early latent
XE0RN	Hand foot and mouth disease
XE0Ro	Late cardiovascular syphilis
XE0RO	Trachoma - active stage
XE0RP	Inclusion conjunctivitis
XE0Rr	Tabes dorsalis
XE0Ru	Other and unspecified syphilis
XE0RV	Cytomegalovirus infection
XE0RW	Arenaviral haemorrhagic fever
XE0RX	Acquired immune deficiency syndrome
XE0Ry	Other gonococcal infection of other specified site
XE0Rz	Gonococcal infection of other site NOS
XE0RZ	Viral infection NOS
XE0S0	Gonococcal infections NOS
XE0S3	Other specified leptospiral infection NOS
XE0S7	Yaws hyperkeratosis
XE0S8	Bone and joint yaws lesions
XE0Sa	Other specified intestinal helminthiases
XE0Si	[X]Other specified bacterial agents as the cause of diseases classified to other chapters
XE0Sk	Infectious &/or parasitic disease
XE0SP	Eumycetoma
XE0ST	Schistosomiasis
XE0SW	Intestinal taenia solium infection
XE0T4	Tuberculosis of kidney with other genitourinary organ
XE0T6	Bacterial diseases (& [excl TB])
XE0T8	(Other zoonotic bacterial disease) or (tuluraemia)
XE0TG	Bacterial diseases NOS
XE0TI	Viral: [diseases] or [exanthem]
XE0Tk	Acquired immune deficiency syndrome (& [ARC])
XE0TO	(Herpes simplex (& [type 1] or [type 2])) or (scrumpox)
XE0Tu	(Rickettsioses/arthropod NOS) or (leishmaniasis)
XE0Tw	(Venereal &/or spirochaete diseases [& syphilis]) or (STDs)
XE0U2	Other syphilis
XE0xM	Obstetric pyaemic and septic pulmonary embolism
XE1Ay	Juvenile dermatitis herpetiformis
XE1f1	Intrauterine fetal sepsis, unspecified
XE1fp	Perinatal infections (& [congenital])
XE1Uq	Venereal disease carrier (& [NOS])
XE2aj	Tuberculosis of peripheral lymph nodes
XE2cZ	Herpes: [gestationis] or [+ pregnancy]
XE2QR	Maternal rubella in pregnancy, childbirth and the puerperium
XE2sp	Neuropathic arthropathy
XE2uC	Tuberculosis of skin and subcutaneous tissue
XE2uD	Pulmonary anthrax
XE2uH	Adenovirus infection
XE2uI	Rhinovirus infection
XE2uJ	Scrub typhus
XE2uL	Non-venereal endemic syphilis
XE2uN	Schistosoma haematobium
XE2uO	Schistosoma mansoni
XE2uR	Capillaria hepatica infection
XE2vG	Genital herpes unspecified
XE2vH	Unspecified ophthalmic herpes
XE2x9	Herpes zoster infection
XE2xT	Echovirus disease
XE2y7	Infectious mononucleosis
XM02r	Herpes labialis
XM0pN	Mycobacterial disease
XM1OM	Secondary syphilis of viscera
XSCCR	Late syphilis
XSCGD	Disseminated tuberculosis
XSCGJ	Inactive tuberculosis
ZV01A	[V]Asymptomatic human immunodeficiency virus infection status
ZV02.	[V]Carrier or suspected carrier of infectious disease
ZV020	[V]Cholera carrier
ZV021	[V]Typhoid carrier
ZV029	[V]Carrier of human T-lymphotropic virus type-1 infect
ZV02y	[V]Other specified infectious disease carrier
ZV02z	[V]Unspecified infectious disease carrier
ZVu0J	[X]Special screening examination for other bacterial diseases
ZVu12	[X]Carrier of other intestinal infectious diseases
ZVu13	[X]Carrier of other specified bacterial diseases
ZVu14	[X]Carrier of other infectious diseases
