var1	var2
369477008	Malignant tumor involving bladder by separate metastasis from fallopian tube (disorder)
94263002	Secondary malignant neoplasm of conjunctiva (disorder)
369535006	Secondary neoplasm of left broad ligament (disorder)
369562003	Malignant tumor involving left ovary by separate metastasis from right ovary (disorder)
94560003	Secondary malignant neoplasm of skin of hand (disorder)
94286009	Secondary malignant neoplasm of esophagus (disorder)
94218003	Secondary malignant neoplasm of bone of face (disorder)
242862004	Secondary malignant neoplasm of nasopharyngeal wall (disorder)
94677006	Secondary malignant neoplasm of vestibule of nose (disorder)
94669007	Secondary malignant neoplasm of vagus nerve (disorder)
94608002	Secondary malignant neoplasm of sublingual gland (disorder)
402538000	Recurrent basal cell carcinoma (disorder)
94495003	Secondary malignant neoplasm of postcricoid region (disorder)
1081551000119106	Recurrent primary malignant neoplasm of left female breast (disorder)
94203004	Secondary malignant neoplasm of blood vessel of perineum (disorder)
94173006	Secondary malignant neoplasm of aortic body (disorder)
94287000	Secondary malignant neoplasm of ethmoid bone (disorder)
94303002	Secondary malignant neoplasm of flank (disorder)
709285002	Secondary malignant neoplasm of lumbosacral plexus (disorder)
94682004	Secondary malignant neoplasm of Waldeyer's ring (disorder)
369543001	Malignant tumor involving left fallopian tube by separate metastasis from ovary (disorder)
94312000	Secondary malignant neoplasm of gallbladder (disorder)
94383004	Secondary malignant neoplasm of long bone of upper limb (disorder)
94215000	Secondary malignant neoplasm of body of uterus (disorder)
94170009	Secondary malignant neoplasm of anterior wall of nasopharynx (disorder)
94572009	Secondary malignant neoplasm of skin of temporal region (disorder)
94368009	Secondary malignant neoplasm of laryngeal commissure (disorder)
703692009	Secondary osteosarcoma (morphologic abnormality)
94269003	Secondary malignant neoplasm of cuboid (disorder)
94334003	Secondary malignant neoplasm of hypopharynx (disorder)
94625000	Secondary malignant neoplasm of the mesocolon (disorder)
94489004	Secondary malignant neoplasm of pineal gland (disorder)
94465006	Secondary malignant neoplasm of parametrium (disorder)
94425007	Secondary malignant neoplasm of muscle of neck (disorder)
94599006	Secondary malignant neoplasm of sphenoidal sinus (disorder)
94183005	Secondary malignant neoplasm of back (disorder)
94532000	Secondary malignant neoplasm of sebaceous gland (disorder)
94346004	Secondary malignant neoplasm of intestinal tract (disorder)
94662003	Secondary malignant neoplasm of urinary bladder neck (disorder)
94617002	Secondary malignant neoplasm of sweat gland (disorder)
94616006	Secondary malignant neoplasm of supraglottis (disorder)
94399005	Secondary malignant neoplasm of main bronchus (disorder)
94352003	Secondary malignant neoplasm of intrathoracic organs (disorder)
314975005	Local recurrence of malignant tumor of skin (disorder)
369571007	Malignant tumor involving right ovary by separate metastasis from uterine cervix (disorder)
369576002	Malignant tumor involving uterine corpus by separate metastasis from ovary (disorder)
94620005	Secondary malignant neoplasm of tarsal bone (disorder)
359785002	Metastatic malignant neoplasm to dome of urinary bladder (disorder)
369577006	Malignant tumor involving uterine corpus by separate metastasis from uterine cervix (disorder)
369574004	Malignant tumor involving uterine cervix by separate metastasis from vagina (disorder)
94268006	Secondary malignant neoplasm of cubital lymph nodes (disorder)
369558009	Malignant tumor involving right fallopian tube by separate metastasis from vagina (disorder)
94193003	Secondary malignant neoplasm of blood vessel of foot (disorder)
94349006	Secondary malignant neoplasm of intrahepatic bile ducts (disorder)
400058002	Secondary malignant neoplasm of blood vessel of lower leg (disorder)
705176003	Metastatic carcinoid tumor (disorder)
399969009	Secondary malignant neoplasm of blood vessel of upper arm (disorder)
94419008	Secondary malignant neoplasm of muscle of buttock (disorder)
94549007	Secondary malignant neoplasm of skin of ear (disorder)
94474008	Secondary malignant neoplasm of parotid gland (disorder)
94596004	Secondary malignant neoplasm of soft tissues of upper limb (disorder)
369591000	Malignant tumor involving vulva by separate metastasis from uterine cervix (disorder)
369530001	Secondary malignant neoplasm of right ovary (disorder)
94496002	Secondary malignant neoplasm of posterior hypopharyngeal wall (disorder)
94406009	Secondary malignant neoplasm of maxillary sinus (disorder)
94440009	Secondary malignant neoplasm of scaphoid bone (disorder)
369561005	Malignant tumor involving left ovary by separate metastasis from fallopian tube (disorder)
13351431000119102	Secondary malignant neoplasm of lymph nodes of neck from thyroid (disorder)
94332004	Secondary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold (disorder)
94565008	Secondary malignant neoplasm of skin of lower limb (disorder)
94171008	Secondary malignant neoplasm of anterior wall of urinary bladder (disorder)
94518002	Secondary malignant neoplasm of retromolar area (disorder)
94407000	Secondary malignant neoplasm of Meckel's diverticulum (disorder)
369486003	Malignant tumor involving prostate by separate metastasis from bladder (disorder)
94324007	Secondary malignant neoplasm of hard palate (disorder)
94265009	Secondary malignant neoplasm of cornea (disorder)
94672000	Secondary malignant neoplasm of ventral surface of tongue (disorder)
315006004	Metastasis from malignant tumor of lung (disorder)
369501008	Malignant tumor involving uterine cervix by separate metastasis from ovary (disorder)
94370000	Secondary malignant neoplasm of larynx (disorder)
94462009	Secondary malignant neoplasm of paraganglion (disorder)
93915004	Primary malignant neoplasm of myometrium (disorder)
94509004	Secondary malignant neoplasm of rectosigmoid junction (disorder)
94315003	Secondary malignant neoplasm of glans penis (disorder)
94182000	Secondary malignant neoplasm of axillary tail of female breast (disorder)
94667009	Secondary malignant neoplasm of uvula (disorder)
414676007	Metastatic neuroblastoma of orbit proper (disorder)
369481008	Malignant tumor involving bladder by separate metastasis from uterus (disorder)
94648005	Secondary malignant neoplasm of trochlear nerve (disorder)
94206007	Secondary malignant neoplasm of blood vessel of thigh (disorder)
94293008	Secondary malignant neoplasm of face (disorder)
94241006	Secondary malignant neoplasm of cartilage of nose (disorder)
94340005	Secondary malignant neoplasm of inguinal region (disorder)
94231008	Secondary malignant neoplasm of bronchus of right middle lobe (disorder)
94386007	Secondary malignant neoplasm of lower limb (disorder)
369448007	Malignant tumor involving rectum by direct extension from endometrium (disorder)
94636007	Secondary malignant neoplasm of tibial lymph nodes (disorder)
369553000	Malignant tumor involving right fallopian tube by separate metastasis from endometrium (disorder)
94497006	Secondary malignant neoplasm of posterior mediastinum (disorder)
705145009	Metastatic osteosarcoma (morphologic abnormality)
369568004	Malignant tumor involving right ovary by separate metastasis from endometrium (disorder)
94536002	Secondary malignant neoplasm of short bone of upper limb (disorder)
94201002	Secondary malignant neoplasm of blood vessel of neck (disorder)
369515005	Malignant tumor involving left fallopian tube by direct extension from endometrium (disorder)
94525009	Secondary malignant neoplasm of round ligament of uterus (disorder)
94153001	Secondary malignant neoplasm of abducens nerve (disorder)
116821000119104	Non-Hodgkin lymphoma of central nervous system metastatic to lymph node of upper limb (disorder)
94356000	Secondary malignant neoplasm of jaw (disorder)
94237007	Secondary malignant neoplasm of cardia of stomach (disorder)
94468008	Secondary malignant neoplasm of paraurethral glands (disorder)
94207003	Secondary malignant neoplasm of blood vessel of thorax (disorder)
94650002	Secondary malignant neoplasm of ulna (disorder)
94569002	Secondary malignant neoplasm of skin of popliteal area (disorder)
369458006	Malignant tumor involving rectum by separate metastasis from prostate (disorder)
94658009	Secondary malignant neoplasm of urachus (disorder)
94424006	Secondary malignant neoplasm of muscle of lower limb (disorder)
94527001	Secondary malignant neoplasm of sacrum (disorder)
94450005	Secondary malignant neoplasm of oculomotor nerve (disorder)
369573005	Malignant tumor involving right ovary by separate metastasis from vagina (disorder)
94464005	Secondary malignant neoplasm of parametrial lymph nodes (disorder)
94463004	Secondary malignant neoplasm of paramammary lymph nodes (disorder)
94486006	Secondary malignant neoplasm of phalanx of foot (disorder)
402537005	Metastatic basal cell carcinoma (disorder)
94466007	Secondary malignant neoplasm of pararectal lymph nodes (disorder)
369593002	Malignant tumor involving vulva by separate metastasis from vagina (disorder)
94556001	Secondary malignant neoplasm of skin of foot (disorder)
94403001	Secondary malignant neoplasm of mandible (disorder)
94543008	Secondary malignant neoplasm of skin of back (disorder)
369608007	Malignant tumor involving an organ by separate metastasis from uterus (disorder)
94209000	Secondary malignant neoplasm of blood vessel of trunk (disorder)
94524008	Secondary malignant neoplasm of right upper lobe of lung (disorder)
369575003	Malignant tumor involving uterine corpus by separate metastasis from fallopian tube (disorder)
402547008	Basal cell carcinoma - multiple recurrences (more than three times) (disorder)
94277004	Secondary malignant neoplasm of ectopic male breast tissue (disorder)
94679009	Secondary malignant neoplasm of vocal cord (disorder)
402560002	Materno-fetal metastatic malignant melanoma (disorder)
424887002	Primary malignant neoplasm of thyroid gland  metastatic to bone (disorder)
369456005	Malignant tumor involving rectum by separate metastasis from fallopian tube (disorder)
707146006	Metastatic embryonal rhabdomyosarcoma (morphologic abnormality)
369536007	Secondary neoplasm of right broad ligament (disorder)
94152006	Secondary malignant neoplasm of abdominal esophagus (disorder)
94163009	Secondary malignant neoplasm of alveolar ridge mucosa (disorder)
369547000	Malignant tumor involving right fallopian tube by direct extension from endometrium (disorder)
369531002	Malignant tumor involving right ovary by direct extension from endometrium (disorder)
94246001	Secondary malignant neoplasm of cerebral meninges (disorder)
94417005	Secondary malignant neoplasm of multiple endocrine glands (disorder)
94461002	Secondary malignant neoplasm of para-aortic body (disorder)
94160007	Secondary malignant neoplasm of adrenal cortex (disorder)
369605005	Malignant tumor involving an organ by separate metastasis from ovary (disorder)
94652005	Secondary malignant neoplasm of upper gum (disorder)
369546009	Malignant tumor involving left fallopian tube by separate metastasis from vagina (disorder)
94435001	Secondary malignant neoplasm of nasal bone (disorder)
709191009	Metastatic papillary thyroid carcinoma (morphologic abnormality)
94635006	Secondary malignant neoplasm of tibia (disorder)
369565001	Malignant tumor involving left ovary by separate metastasis uterus (disorder)
94507002	Secondary malignant neoplasm of pyriform sinus (disorder)
94354002	Secondary malignant neoplasm of islets of Langerhans (disorder)
94472007	Secondary malignant neoplasm of parietal peritoneum (disorder)
369592007	Malignant tumor involving vulva by separate metastasis from uterus (disorder)
94401004	Secondary malignant neoplasm of male breast (disorder)
94247005	Secondary malignant neoplasm of cerebral ventricle (disorder)
94535003	Secondary malignant neoplasm of short bone of lower limb (disorder)
269617008	Secondary nodes - inguinal/leg (disorder)
94485005	Secondary malignant neoplasm of perirenal tissue (disorder)
94429001	Secondary malignant neoplasm of muscle of thorax (disorder)
94430006	Secondary malignant neoplasm of muscle of trunk (disorder)
94382009	Secondary malignant neoplasm of long bone of lower limb (disorder)
94226006	Secondary malignant neoplasm of broad ligament (disorder)
94483003	Secondary malignant neoplasm of perianal skin (disorder)
94480000	Secondary malignant neoplasm of pelvis (disorder)
94546000	Secondary malignant neoplasm of skin of cheek (disorder)
359780007	Metastatic malignant neoplasm to lateral axillary lymph nodes (disorder)
369589008	Malignant tumor involving vulva by separate metastasis from fallopian tube (disorder)
94656008	Secondary malignant neoplasm of upper respiratory tract (disorder)
369607002	Malignant tumor involving an organ by separate metastasis from uterine cervix (disorder)
369569007	Malignant tumor involving right ovary by separate metastasis from fallopian tube (disorder)
353741000119106	Secondary malignant neoplasm of left lung (disorder)
449633004	Secondary malignant neoplasm of upper arm (disorder)
94255003	Secondary malignant neoplasm of ciliary body (disorder)
94154007	Secondary malignant neoplasm of accessory nerve (disorder)
94553009	Secondary malignant neoplasm of skin of eyelid (disorder)
94521000	Secondary malignant neoplasm of rib (disorder)
94300004	Secondary malignant neoplasm of femur (disorder)
94502008	Secondary malignant neoplasm of presacral region (disorder)
94664002	Secondary malignant neoplasm of uterine adnexa (disorder)
94522007	Secondary malignant neoplasm of right lower lobe of lung (disorder)
94606003	Secondary malignant neoplasm of stomach (disorder)
94633004	Secondary malignant neoplasm of thyroglossal duct (disorder)
94259009	Secondary malignant neoplasm of coccyx (disorder)
94240007	Secondary malignant neoplasm of carpal bone (disorder)
94156009	Secondary malignant neoplasm of acoustic nerve (disorder)
94367004	Secondary malignant neoplasm of laryngeal aspect of interarytenoid fold (disorder)
94582005	Secondary malignant neoplasm of soft tissues of abdomen (disorder)
94445004	Secondary malignant neoplasm of nose (disorder)
94304008	Secondary malignant neoplasm of floor of mouth (disorder)
94568005	Secondary malignant neoplasm of skin of perineum (disorder)
1661000119106	Metastasis to lung from adenocarcinoma (disorder)
94318001	Secondary malignant neoplasm of glottis (disorder)
94258001	Secondary malignant neoplasm of coccygeal body (disorder)
94500000	Secondary malignant neoplasm of posterior wall of urinary bladder (disorder)
94159002	Secondary malignant neoplasm of adnexa of skin (disorder)
94557005	Secondary malignant neoplasm of skin of forearm (disorder)
94176003	Secondary malignant neoplasm of areola of female breast (disorder)
369581006	Malignant tumor involving vagina by separate metastasis from bladder (disorder)
94180008	Secondary malignant neoplasm of axilla (disorder)
94239005	Secondary malignant neoplasm of carotid body (disorder)
94281004	Secondary malignant neoplasm of endometrium (disorder)
369524001	Malignant tumor involving left ovary by direct extension from endometrium (disorder)
447266004	Sarcoma of endometrium (disorder)
94588009	Secondary malignant neoplasm of soft tissues of inguinal region (disorder)
94308006	Secondary malignant neoplasm of frontal bone (disorder)
94288005	Secondary malignant neoplasm of ethmoidal sinus (disorder)
94562006	Secondary malignant neoplasm of skin of knee (disorder)
446578007	Endometrial stromal sarcoma - category (morphologic abnormality)
94212002	Secondary malignant neoplasm of body of pancreas (disorder)
369585002	Malignant tumor involving vagina by separate metastasis from uterine cervix (disorder)
94555002	Secondary malignant neoplasm of skin of finger (disorder)
128726006	Endometrial stromal sarcoma  low grade (morphologic abnormality)
369570008	Malignant tumor involving right ovary by separate metastasis from left ovary (disorder)
94644007	Secondary malignant neoplasm of trapezium (disorder)
94673005	Secondary malignant neoplasm of vermilion border of lip (disorder)
353561000119103	Secondary malignant neoplasm of right lung (disorder)
94538001	Secondary malignant neoplasm of sigmoid colon (disorder)
94213007	Secondary malignant neoplasm of body of penis (disorder)
369606006	Malignant tumor involving an organ by separate metastasis from prostate (disorder)
94414003	Secondary malignant neoplasm of middle third of esophagus (disorder)
94172001	Secondary malignant neoplasm of anus (disorder)
94670008	Secondary malignant neoplasm of vallecula (disorder)
94230009	Secondary malignant neoplasm of bronchus of right lower lobe (disorder)
12246561000119100	Secondary malignant neoplasm of bilateral adrenal glands (disorder)
16260631000119100	Secondary malignant neoplasm of lymph node from neoplasm of female breast (disorder)
94387003	Secondary malignant neoplasm of lower outer quadrant of female breast (disorder)
369538008	Malignant tumor involving left broad ligament by metastasis from ovary (disorder)
94593007	Secondary malignant neoplasm of soft tissues of shoulder (disorder)
369583009	Malignant tumor involving vagina by separate metastasis from fallopian tube (disorder)
94250008	Secondary malignant neoplasm of cervical vertebral column (disorder)
94646009	Secondary malignant neoplasm of trigeminal nerve (disorder)
94169008	Secondary malignant neoplasm of anterior two-thirds of tongue (disorder)
94234000	Secondary malignant neoplasm of buccal mucosa (disorder)
94162004	Secondary malignant neoplasm of adrenal medulla (disorder)
94506006	Secondary malignant neoplasm of pylorus (disorder)
369610009	Malignant tumor involving left fallopian tube by separate metastasis from uterine cervix (disorder)
94539009	Secondary malignant neoplasm of skin of abdomen (disorder)
94447007	Secondary malignant neoplasm of occipital bone (disorder)
94309003	Secondary malignant neoplasm of frontal lobe (disorder)
94423000	Secondary malignant neoplasm of muscle of inguinal region (disorder)
94589001	Secondary malignant neoplasm of soft tissues of lower limb (disorder)
1671000119100	Metastasis to lymph node from squamous cell carcinoma (disorder)
94655007	Secondary malignant neoplasm of upper outer quadrant of female breast (disorder)
94157000	Secondary malignant neoplasm of acromion (disorder)
94631002	Secondary malignant neoplasm of thoracic esophagus (disorder)
94614009	Secondary malignant neoplasm of supraclavicular lymph nodes (disorder)
94189009	Secondary malignant neoplasm of blood vessel of axilla (disorder)
699357004	Low grade endometrial stromal sarcoma (disorder)
94550007	Secondary malignant neoplasm of skin of elbow (disorder)
94272005	Secondary malignant neoplasm of diaphragm (disorder)
94505005	Secondary malignant neoplasm of pyloric antrum (disorder)
369545008	Malignant tumor involving left fallopian tube by separate metastasis from uterus (disorder)
369544007	Malignant tumor involving left fallopian tube by separate metastasis from right fallopian tube (disorder)
94426008	Secondary malignant neoplasm of muscle of pelvis (disorder)
94249008	Secondary malignant neoplasm of cervical esophagus (disorder)
94534004	Secondary malignant neoplasm of septum of nose (disorder)
94542003	Secondary malignant neoplasm of skin of axilla (disorder)
94200001	Secondary malignant neoplasm of blood vessel of lower limb (disorder)
94243009	Secondary malignant neoplasm of central nervous system (disorder)
94323001	Secondary malignant neoplasm of hand (disorder)
428411000000106	[X]Secondary malignant neoplasm of other and unspecified parts of nervous system (disorder)
565591000000106	Secondary and unspecified malignant neoplasm of posterior mediastinal lymph nodes (disorder)
538081000000104	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes (disorder)
536201000000102	Secondary and unspecified malignant neoplasm of axillary lymph nodes (disorder)
541711000000100	Secondary malignant neoplasm of large intestine or rectum NOS (disorder)
538031000000103	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes (disorder)
409701000000100	[X]Secondary malignant neoplasm of bladder and other and unspecified urinary organs (disorder)
190146004	[X]Secondary malignant neoplasm of other and unspecified digestive organs (disorder)
190145000	[X]Secondary malignant neoplasm of other and unspecified respiratory organs (disorder)
359777006	Metastatic malignant neoplasm to brachial lymph nodes (disorder)
857651000000102	Local recurrence of malignant tumour of breast
558011000000107	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes (disorder)
569301000000105	Secondary and unspecified malignant neoplasm of submandibular lymph nodes (disorder)
541661000000108	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes NOS (disorder)
188434008	Secondary malignant neoplasm of other respiratory organs (disorder)
542881000000106	Secondary and unspecified malignant neoplasm of superficial parotid lymph nodes (disorder)
553641000000108	Secondary and unspecified malignant neoplasm of intercostal lymph nodes (disorder)
702741000000102	Secondary carcinoma of other specified sites (disorder)
190080003	[M]No microscopic confirmation of tumor  clinically metastatic (morphologic abnormality)
190149006	[X]Secondary malignant neoplasm of other specified sites (disorder)
533951000000104	Secondary malignant neoplasm of skin NOS (disorder)
670121000000109	Secondary nodes NOS (disorder)
541121000000107	Secondary and unspecified malignant neoplasm of superficial mesenteric lymph nodes (disorder)
408491000000105	[M]Endometrioid adenoma or carcinoma NOS (morphologic abnormality)
556171000000104	Secondary malignant neoplasm of other part of nervous system (disorder)
541701000000102	Secondary malignant neoplasm of small intestine or duodenum NOS (disorder)
255116009	Secondary carcinoma of respiratory and/or digestive systems (disorder)
1025781000000106	Recurrent squamous cell carcinoma (disorder)
478231000000103	[M]No microscopic confirmation of tumor  clinically metastatic (morphologic abnormality)
541741000000104	Secondary malignant neoplasm of other urinary organs (disorder)
536941000000107	Secondary and unspecified malignant neoplasm of obturator lymph nodes (disorder)
535821000000103	Secondary and unspecified malignant neoplasm of bronchopulmonary lymph nodes (disorder)
462391000000102	[X]Secondary malignant neoplasm of other specified sites (disorder)
94377002	Secondary malignant neoplasm of leg (disorder)
541671000000101	Secondary and unspecified malignant neoplasm of lymph nodes in multiple sites (disorder)
547121000000104	Secondary and unspecified malignant neoplasm of popliteal lymph nodes (disorder)
536091000000103	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes NOS (disorder)
569311000000107	Secondary and unspecified malignant neoplasm of facial lymph nodes (disorder)
538011000000106	Secondary and unspecified malignant neoplasm of external iliac lymph nodes (disorder)
533471000000103	Secondary malignant neoplasm of other respiratory organs (disorder)
688151000000106	Secondary malignant neoplasm of other specified sites (disorder)
569351000000106	Secondary and unspecified malignant neoplasm of lymph nodes of head  face and neck NOS (disorder)
832581000000109	Secondary malignant neoplasm of liver and intrahepatic bile duct
424671000000107	[M]Endometrioid adenomas and carcinomas (morphologic abnormality)
558021000000101	Secondary and unspecified malignant neoplasm of internal mammary lymph nodes (disorder)
565581000000109	Secondary and unspecified malignant neoplasm of anterior mediastinal lymph nodes (disorder)
579301000000101	Secondary and unspecified malignant neoplasm of submental lymph nodes (disorder)
569291000000106	Secondary and unspecified malignant neoplasm of deep parotid lymph nodes (disorder)
439151000000109	[X]Secondary and unspecified malignant neoplasm lymph nodes of multiple regions (disorder)
546691000000106	Secondary malignant neoplasm of retroperitoneum or peritoneum NOS (disorder)
579231000000101	Secondary and unspecified malignant neoplasm of mastoid lymph nodes (disorder)
539541000000105	Secondary and unspecified malignant neoplasm of inferior tracheobronchial lymph nodes (disorder)
545241000000108	Secondary and unspecified malignant neoplasm of superficial cervical lymph nodes (disorder)
541001000000104	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes (disorder)
189652009	[M]Endometrioid adenoma or carcinoma NOS (morphologic abnormality)
189584005	[M]Adenocarcinoma  metastatic  NOS (morphologic abnormality)
190147008	[X]Secondary malignant neoplasm of bladder and other and unspecified urinary organs (disorder)
538001000000109	Secondary and unspecified malignant neoplasm of common iliac lymph nodes (disorder)
539571000000104	Secondary and unspecified malignant neoplasm of paratracheal lymph nodes (disorder)
255117000	Metastasis to respiratory and intrathoracic organ (disorder)
546701000000106	Secondary malignant neoplasm of other digestive organ (disorder)
547161000000107	Secondary and unspecified malignant neoplasm of circumflex iliac lymph nodes (disorder)
703541000000100	Secondary carcinoma NOS (disorder)
547151000000109	Secondary and unspecified malignant neoplasm of internal iliac lymph nodes (disorder)
533491000000104	Secondary and unspecified malignant neoplasm of lymph nodes of head  face and neck (disorder)
538041000000107	Secondary and unspecified malignant neoplasm of supratrochlear lymph nodes (disorder)
189649001	[M]Endometrioid adenomas and carcinomas (morphologic abnormality)
541111000000101	Secondary and unspecified malignant neoplasm of celiac lymph nodes (disorder)
569321000000101	Secondary and unspecified malignant neoplasm of anterior cervical lymph nodes (disorder)
94178002	Secondary malignant neoplasm of arm (disorder)
569281000000109	Secondary malignant neoplasm of other urinary organ NOS (disorder)
555731000000108	Secondary and unspecified malignant neoplasm of sacral lymph nodes (disorder)
541731000000108	Secondary malignant neoplasm of respiratory or digestive system NOS (disorder)
569271000000107	Secondary and unspecified malignant neoplasm of occipital lymph nodes (disorder)
190148003	[X]Secondary malignant neoplasm of other and unspecified parts of nervous system (disorder)
556161000000106	Secondary malignant neoplasm of brain or spinal cord NOS (disorder)
547131000000102	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes NOS (disorder)
538091000000102	Secondary and unspecified malignant neoplasm of superficial inguinal lymph nodes (disorder)
94563001	Secondary malignant neoplasm of skin of leg (disorder)
547141000000106	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes (disorder)
565601000000100	Secondary and unspecified malignant neoplasm of superficial tracheobronchial lymph nodes (disorder)
439161000000107	[X]Secondary malignant neoplasm of other and unspecified respiratory organs (disorder)
541131000000109	Secondary and unspecified malignant neoplasm of inferior mesenteric lymph nodes (disorder)
423348002	Secondary malignant neoplasm of lacrimal drainage system (disorder)
190144001	[X]Secondary and unspecified malignant neoplasm lymph nodes of multiple regions (disorder)
451141000000106	[X]Secondary malignant neoplasm of other and unspecified digestive organs (disorder)
541651000000105	Secondary and unspecified malignant neoplasm of inferior epigastric lymph nodes (disorder)
538111000000107	Secondary and unspecified malignant neoplasm of deep inguinal lymph nodes (disorder)
855061000000104	Local recurrence of malignant tumour of urinary bladder
389491000000107	[M]Adenocarcinoma  metastatic  NOS (morphologic abnormality)
569331000000104	Secondary and unspecified malignant neoplasm of deep cervical lymph nodes (disorder)
94541005	Secondary malignant neoplasm of skin of arm (disorder)
538021000000100	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes NOS (disorder)
94363000	Secondary malignant neoplasm of lacrimal duct (disorder)
448922007	Secondary malignant neoplasm of large intestine and rectum (disorder)
767511000000109	Secondary malignant neoplasm of large intestine and rectum (disorder)
543391000000107	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes NOS (disorder)
110459008	Malignant lymphoma, metastatic (morphologic abnormality)
116821000119104	Non-Hodgkin lymphoma of central nervous system metastatic to lymph node of upper limb (disorder)
116811000119106	Non-Hodgkin lymphoma of central nervous system metastatic to lymph node of lower limb (disorder)
415287001	Relapsing chronic myeloid leukemia (disorder)
315006004	Metastasis from malignant tumor of lung (disorder)
314954002	Local recurrence of malignant tumor of lung (disorder)
94232001	Secondary malignant neoplasm of bronchus of right upper lobe (disorder)
94238002	Secondary malignant neoplasm of carina (disorder)
94679009	Secondary malignant neoplasm of vocal cord (disorder)
94523002	Secondary malignant neoplasm of right middle lobe of lung (disorder)
94656008	Secondary malignant neoplasm of upper respiratory tract (disorder)
94334003	Secondary malignant neoplasm of hypopharynx (disorder)
94170009	Secondary malignant neoplasm of anterior wall of nasopharynx (disorder)
94272005	Secondary malignant neoplasm of diaphragm (disorder)
94155008	Secondary malignant neoplasm of accessory sinus (disorder)
94367004	Secondary malignant neoplasm of laryngeal aspect of interarytenoid fold (disorder)
15956181000119102	Secondary adenocarcinoma of bilateral lungs (disorder)
242862004	Secondary malignant neoplasm of nasopharyngeal wall (disorder)
94680007	Secondary malignant neoplasm of vomer (disorder)
94581003	Secondary malignant neoplasm of soft palate (disorder)
94376006	Secondary malignant neoplasm of left upper lobe of lung (disorder)
285605009	Metastasis to pleura of unknown primary (disorder)
94677006	Secondary malignant neoplasm of vestibule of nose (disorder)
353741000119106	Secondary malignant neoplasm of left lung (disorder)
94333009	Secondary malignant neoplasm of hypopharyngeal aspect of interarytenoid fold (disorder)
94399005	Secondary malignant neoplasm of main bronchus (disorder)
94368009	Secondary malignant neoplasm of laryngeal commissure (disorder)
94458003	Secondary malignant neoplasm of tonsil (disorder)
94329002	Secondary malignant neoplasm of hilus of lung (disorder)
94372008	Secondary malignant neoplasm of lateral wall of nasopharynx (disorder)
94607007	Secondary malignant neoplasm of subglottis (disorder)
94370000	Secondary malignant neoplasm of larynx (disorder)
94231008	Secondary malignant neoplasm of bronchus of right middle lobe (disorder)
285604008	Metastasis to lung of unknown primary (disorder)
94166001	Secondary malignant neoplasm of anterior aspect of epiglottis (disorder)
94373003	Secondary malignant neoplasm of lateral wall of oropharynx (disorder)
94375005	Secondary malignant neoplasm of left lower lobe of lung (disorder)
94473002	Secondary malignant neoplasm of parietal pleura (disorder)
94507002	Secondary malignant neoplasm of pyriform sinus (disorder)
94233006	Secondary malignant neoplasm of bronchus (disorder)
353561000119103	Secondary malignant neoplasm of right lung (disorder)
94639000	Secondary malignant neoplasm of tonsillar fossa (disorder)
94678001	Secondary malignant neoplasm of visceral pleura (disorder)
94495003	Secondary malignant neoplasm of postcricoid region (disorder)
94498001	Secondary malignant neoplasm of posterior wall of nasopharynx (disorder)
241861008	Metastatic malignant neoplasm to nasopharynx (disorder)
94318001	Secondary malignant neoplasm of glottis (disorder)
94158005	Secondary malignant neoplasm of adenoid (disorder)
94358004	Secondary malignant neoplasm of junctional region of epiglottis (disorder)
94366008	Secondary malignant neoplasm of laryngeal aspect of aryepiglottic fold (disorder)
94515004	Secondary malignant neoplasm of respiratory tract (disorder)
94613003	Secondary malignant neoplasm of superior wall of nasopharynx (disorder)
94640003	Secondary malignant neoplasm of tonsillar pillar (disorder)
94332004	Secondary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold (disorder)
94391008	Secondary malignant neoplasm of lung (disorder)
94369001	Secondary malignant neoplasm of laryngeal surface of epiglottis (disorder)
94670008	Secondary malignant neoplasm of vallecula (disorder)
94296000	Secondary malignant neoplasm of false vocal cord (disorder)
94616006	Secondary malignant neoplasm of supraglottis (disorder)
94493005	Secondary malignant neoplasm of pleura (disorder)
285598005	Metastasis to trachea of unknown primary (disorder)
94228007	Secondary malignant neoplasm of bronchus of left lower lobe (disorder)
94524008	Secondary malignant neoplasm of right upper lobe of lung (disorder)
94230009	Secondary malignant neoplasm of bronchus of right lower lobe (disorder)
94310008	Secondary malignant neoplasm of frontal sinus (disorder)
94499009	Secondary malignant neoplasm of posterior wall of oropharynx (disorder)
94641004	Secondary malignant neoplasm of trachea (disorder)
94379004	Secondary malignant neoplasm of lingual tonsil (disorder)
94454001	Secondary malignant neoplasm of oropharynx (disorder)
94522007	Secondary malignant neoplasm of right lower lobe of lung (disorder)
