13S..	Maternity allowances
Q001.	Fetus or neonate affected by maternal renal &/or urinary disease
Q001.	Fetus or neonate affected by maternal renal disease
Q001.	Fetus or neonate affected by maternal renal or urinary disease
Q001.	Fetus or neonate affected by maternal urinary disease
Q002.	Fetus or neonate affected by maternal infections
Q003.	Fetus or neonate affected by other chronic maternal circulatory or respiratory disease
Q0030	Fetus or neonate affected by other chronic maternal circulatory disease
Q0031	Fetus or neonate affected by other chronic maternal respiratory disease
Q003z	Fetus or neonate affected by other chronic maternal circulatory orrespiratory disease NOS
Q005.	Fetus or neonate affected by maternal injury
Q006.	Fetus or neonate affected by maternal surgical operation
Q007.	Fetus or neonate affected by poison transferred via placenta or breast
Q0070	Fetus or neonate affected by placental or breast transfer of unspecified poison
Q0071	Fetal alcohol syndrome
Q0071	Fetus or neonate affected by placental or breast transfer of alcohol
Q0072	Fetus or neonate affected by placental or breast transfer of narcotics
Q0073	Fetus or neonate affected by placental or breast transfer of hallucinogen
Q0074	Fetus or neonate affected by placental or breast transfer of anti-infective
Q0074	Fetus or neonate affected by placental or breast transfer of anti-infective (& [antibiotic])
Q0074	Fetus or neonate affected by placental or breast transfer of antibiotic
Q0075	Fetus or neonate affected by placental or breast transfer of immune sera
Q0076	Fetus or neonate affected by placental or breast transfer of anticonvulsant
Q0078	Fetus or neonate affected by placental or breast transfer of chemotherapeutic agent
Q0079	Fetus or neonate affected by placental or breast transfer of uterine depressant
Q007A	Fetus or neonate affected by placental or breast transfer of hypoglycaemic agent
Q007B	Fetus or neonate affected by placental or breast transfer of endocrine agent
Q007C	Fetus or neonate affected by placental or breast transfer of other drug of addiction
Q007w	Fetus or neonate affected by placental or breast transfer of medicine NEC
Q007x	Fetus or neonate affected placental or breast transfer of toxic substance NEC
Q007y	Fetus or neonate affected by poison transferred via placenta or breast OS
Q007z	Fetus or neonate affected by poison transferred via placenta or breast NOS
Q00y.	Fetus or neonate affected by other maternal condition
Q00z.	Fetus or neonate affected by maternal medical problem NOS
Q01..	Fetus or neonate affected by maternal complication of pregnancy
Q015.	Fetus or neonate affected by multiple pregnancy
Q0150	Fetus or neonate affected by unspecified multiple pregnancy
Q0151	Fetus or neonate affected by twin pregnancy
Q0152	Fetus or neonate affected by triplet pregnancy
Q015z	Fetus or neonate affected by multiple pregnancy NOS
Q016.	Fetus &/or neonate affected by maternal death
Q016.	Fetus affected by maternal death
Q016.	Fetus or neonate affected by maternal death
Q01y.	Fetus or neonate affected by other maternal complication of pregnancy
Q01z.	Fetus or neonate affected by maternal complication of pregnancy NOS
Q02..	Fetus or neonate affected by complications of placenta, cord and membrane
Q021.	Fetus or neonate affected by other placental separation and haemorrhage
Q0210	Fetus or neonate affected by antepartum haemorrhage, unspecified
Q021y	Fetus or neonate affected by other specified placental damage
Q021y	Fetus or neonate affected by other specified placental separation or haemorrhage
Q021y	Fetus or neonate affected by other specified placental: [separation or haemorrhage] or [damage]
Q021z	Fetus or neonate affected by placental separation or haemorrhage NOS
Q022.	Fetus/neonate affected by placental abnormality NEC
Q022.	Fetus/neonate affected by placental abnormality: [NEC] or [insufficiency]
Q022y	Fetus or neonate affected by other specified placental abnormality
Q022z	Fetus or neonate affected by placental abnormality NOS
Q023.	Fetus or neonate affected by placental transfusion syndrome
Q0230	Fetus or neonate affected by feto-fetal transplacental transfusion
Q0230	Fetus or neonate affected by twin-to-twin transplacental transfusion
Q0231	Fetus or neonate affected by fetomaternal transplacental transfusion
Q0232	Fetus or neonate affected by maternofetal transplacental transfusion
Q023z	Fetus or neonate affected by placental transfusion syndrome NOS
Q026.	Fetus affected by cord problems
Q026.	Fetus or neonate affected by cord problems &/or other specified
Q026.	Fetus or neonate affected by other specified cord problems
Q0264	Fetus or neonate affected by vasa praevia of cord
Q026z	Fetus or neonate affected by cord problems NOS
Q027.	Fetus or neonate affected by chorioamnionitis
Q0270	Fetus or neonate affected by placentitis unspecified
Q0271	Fetus or neonate affected by amnionitis
Q02y.	Fetus or neonate affected by other abnormalities of chorion and amnion
Q02z.	Fetus or neonate affected by abnormalities of chorion or amnion NOS
Q031.	Fetus &/or neonate affected by malposition or disproportion during labour &/or delivery
Q031.	Fetus affected by malpresentation during delivery
Q031.	Fetus or neonate affected by malposition or disproportion during labour or delivery
Q031y	Fetus or neonate affected by other specified malposition, malpresentation or disproportion during labour and delivery
Q031z	Fetus or neonate affected by malposition or disproportion during labour or delivery NOS
Q031z	Fetus or neonate affected by obstructed labour NEC
Q031z	Fetus or neonate affected by: [malposition or disproportion during labour or delivery NOS] or [obstructed labour NEC]
Q04..	Fetus and newborn affected by noxious influences transmitted via placenta or breast milk
Q041.	Fetus and newborn affected by maternal use of nutritional chemical substances
Q042.	Fetus and newborn affected by maternal exposure to environmental chemical substances
Q0y..	Other specified maternal problems unrelated to pregnancy affecting fetus or neonate
Q0z..	Maternal problem unrelated to pregnancy affecting the fetus or neonate NOS
Q1...	Disorders due to slow fetal growth, low and high birth weight
Q1y..	Other specified disorders of slow fetal growth, low and high birth weight
Q1z..	Disorders slow fetal growth, low and high birth weight NOS
Q4...	Other perinatal conditions
Q400.	Congenital rubella
Q400.	Extended rubella syndrome
Q4021	Congenital listeriosis
Q4021	Neonatal disseminated listeriosis
Q4021	Neonatal listeriosis
Q4023	Congenital hydrocephalus due to toxoplasmosis
Q4023	Congenital toxoplasmosis
Q4023	Lymphadenopathy due to congenital toxoplasmosis
Q41..	Fetal and neonatal haemorrhage
Q4110	Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn
Q4111	Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn
Q4112	Intraventricular (nontraumatic) haemorrhage, grade 3, of fetus and newborn
Q417.	Intracranial nontraumatic haemorrhage of fetus and newborn
Q4170	Intracerebral (nontraumatic) haemorrhage of fetus and newborn
Q4171	Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn
Q41y.	Other fetal and newborn haemorrhage
Q41yy	Other specified fetal or newborn haemorrhage
Q41yz	Fetal or newborn haemorrhage NOS
Q41z.	Haemorrhage of fetus and newborn NOS
Q420.	Erythroblastosis fetalis
Q420.	Haemolytic disease due to rhesus isoimmunisation
Q420.	Rhesus isoimmunisation of the newborn
Q421.	ABO haemolytic disease of the newborn
Q421.	ABO HDN - ABO haemolytic disease of the newborn
Q421.	ABO isoimmunisation of the newborn
Q421.	Haemolytic disease due to ABO isoimmunisation
Q422.	Haemolytic disease due to isoimmunisation NOS
Q42z.	Haemolytic disease of fetus and newborn due to isoimmunisation NOS
Q45..	Fetal and newborn blood disorders
Q4540	Polycythaemia due to donor twin transfusion
Q4571	Maternal transfer neutropenia
Q45y.	Other specified transient neonatal blood disorder
Q45z.	Fetal or newborn blood disorder NOS
Q48..	Other and ill-defined perinatal conditions
Q48y.	Other specified perinatal condition
Q48yz	Other perinatal condition NOS
Q4z..	Other perinatal conditions NOS
Qy...	Other specified perinatal conditions
Qyu..	[X]Additional perinatal disease classification terms
Qyu0.	[X]Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery
Qyu00	[X]Fetus and newborn affected by other maternal circulatory and respiratory diseases
Qyu01	[X]Fetus and newborn affected by other medical procedure on mother, not elsewhere classified
Qyu02	[X]Fetus and newborn affected by other maternal conditions
Qyu03	[X]Fetus and newborn affected by other maternal complications of pregnancy
Qyu07	[X]Fetus and newborn affected by other and unspecified conditions of umbilical cord
Qyu08	[X]Fetus and newborn affected by other abnormalities of chorion and amnion
Qyu0B	[X]Fetus and newborn affected by other maternal medication
Qyu0C	[X]Fetus and newborn affected by other maternal noxious influences
Qyu3.	[X]Respiratory and cardiovascular disorders specific to the perinatal period
Qyu5.	[X]Haemorrhagic and haematological disorders of fetus and newborn
Qyu52	[X]Other intracranial (nontraumatic) haemorrhages of fetus and newborn
Qyu54	[X]Other specified fetal and neonatal haemorrhages
Qyu55	[X]Other haemolytic diseases of fetus and newborn
Qyu5E	[X]Other specified perinatal haematological disorders
Qyu5F	[X]Intracranial nontraumatic haemorrhage fetus newborn unspecified
Qyu68	[X]Transitory disorder carbohydrate metabolism of fetus and newborn unspecified
QyuA.	[X]Other disorders originating in the perinatal period
QyuA3	[X]Other specified conditions originating in the perinatal period
Qz...	Perinatal conditions NOS
SP0D.	Complications associated with artificial fertilisation
Ua0Up	Maternity leave
Ua0Up	On maternity leave
X406F	Female genital and obstetric disorder
X407K	Disorder of cervix
X409b	Persistent hymen affecting obstetric care
X409c	Vaginal abnormality in pregnancy, childbirth and the puerperium
X409d	Stenosis of vagina in pregnancy, childbirth and the puerperium
X409D	Pregnancy, childbirth and puerperal disorders
X409e	Stenosis of vagina in pregnancy, childbirth or the puerperium NOS
X409j	Stenosis of vagina affecting obstetric care
X409k	Septate vagina in pregnancy, childbirth and the puerperium
X409l	Septate vagina in pregnancy, childbirth or the puerperium NOS
X409N	Vulval abnormality in pregnancy, childbirth and the puerperium
X409O	Rigid perineum in pregnancy, childbirth and the puerperium
X409P	Rigid perineum in pregnancy, childbirth or the puerperium NOS
X409q	Septate vagina affecting obstetric care
X409r	Stenosis of cervix in pregnancy, childbirth and the puerperium
X409s	Stenosis of cervix in pregnancy, childbirth or the puerperium NOS
X409U	Rigid perineum affecting obstetric care
X409V	Persistent hymen in pregnancy, childbirth and the puerperium
X409w	Polyp of cervix in pregnancy, childbirth and the puerperium
X409W	Persistent hymen in pregnancy, childbirth or the puerperium NOS
X409x	Polyp of cervix in pregnancy, childbirth or the puerperium NOS
X40A1	Rectocele in pregnancy, childbirth or the puerperium NOS
X40A2	Cystocele in pregnancy, childbirth or the puerperium NOS
X40A9	Cystocele affecting obstetric care
X40AA	Rectocele affecting obstetric care
X40AD	Rectocele in pregnancy, childbirth and the puerperium
X40AE	Pendulous abdomen in pregnancy,childbirth and the puerperium
X40AF	Cystocele in pregnancy, childbirth and the puerperium
X40AG	Uterine fibroid in pregnancy, childbirth or the puerperium NOS
X40AM	Uterine fibroids in pregnancy, childbirth and the puerperium
X40AN	Bicornuate uterus in pregnancy, childbirth or puerperium NOS
X40AT	Bicornuate uterus in pregnancy, childbirth and the puerperium
X40AT	Double uterus in pregnancy, childbirth and the puerperium
X40AU	Heart disease during pregnancy
X40AV	Congenital heart disease in pregnancy
X40AW	Pregnancy and drug dependence
X40AX	Rubella contact in pregnancy
X40AZ	Nephropathy NOS in pregnancy without hypertension
X40Bj	Amniotic cyst
X40CT	Anti-D antibodies
X40Dc	Fat embolism - obstetric
X40Df	Varicose veins - obstetric
X40Dg	Vulval obstetric varicose veins
X40Dh	Perineal obstetric varicose veins
X40DJ	Pubic symphysis separation
X40DJ	Symphysis pubis separation
X40DK	Obstetric pelvic ligament damage
X40DL	Obstetric pelvic joint damage
X40Dq	Obstetric disorders of breast and lactation
X40Dr	Abscess of nipple - obstetric
X40Dv	Obstetric galactocele
X40Dx	Direct maternal death
X40E1	Intrapartum fetal death
X40Fn	Galactocele - obstetric
X40Jj	Pregnancy and IDDM
X40Jj	Pregnancy and insulin-dependent diabetes mellitus
X74V6	Maternity care
X76VF	Complete placenta at delivery
X76VQ	Membranes complete
X76VR	Membranes incomplete
X76VR	Ragged membranes
Xa07W	Perinatal and neonatal death
Xa08x	EF - Erythroblastosis fetalis
Xa08x	Erythroblastosis fetalis
Xa08x	Haemolytic disease of fetus and newborn due to isoimmunisation
Xa08x	Haemolytic disease of the newborn
Xa08x	HDN - Haemolytic disease of the newborn
Xa08x	Isoimmunisation of newborn
Xa09f	Growth delay
Xa0AG	Perinatal intracranial haemorrhage
Xa0AY	Extended congenital rubella syndrome
Xa0AY	Extended rubella syndrome
Xa0lt	Pre-existing hypertension complicating pregnancy
Xa1v6	Lymphadenopathy due to congenital toxoplasmosis
Xa1v7	Congenital hydrocephalus due to toxoplasmosis
Xa3g3	Disorders of cervix NOS
Xa3gC	Obstetric disorders NOS
Xa40W	Fetus with maternal problem NOS
Xa41M	Maternal pregnancy problem
Xa41Q	Maternal pregnancy problem NOS
Xa41R	Maternal cord/placental problem NOS
Xa4k6	Lactation problem
Xa8Pm	Placentacentesis
Xa8Pm	Placental biopsy
Xa9gh	Endoscopic oocyte recovery NEC
XaaTh	Postnatal examination third invitation
XaB42	Other isoimmunisation of the newborn
XaBG8	Maternity claim status
XaBJz	Gestational phlebitis NOS
XaBJz	Gestational phlebopathy NOS
XaBJz	Gestational thrombosis NOS
XaBMH	Other phlebitis in pregnancy
XaBMI	Other phlebitis in the puerperium
XaBML	Venous complication in the puerperium, unspecified
XaDzR	Maternal care for suspected central nervous system malformation in fetus
XaDzS	Maternal care for central nervous system malformation in fetus
XaDzT	Maternal care for suspected chromosomal abnormality in fetus
XaDzV	Maternal care for chromosomal abnormality in fetus
XaDzW	Maternal care for damage to fetus from maternal rubella
XaDzX	Maternal care for suspected fetal abnormality and damage, unspecified
XaDzY	Maternal care for fetal abnormality and damage, unspecified
XaE6r	Maternal care for fetal bradycardia during pregnancy
XaE6r	Maternal care for reduced fetal heart rate during pregnancy
XaE71	Maternal care for fetal decelerations during pregnancy
XaE72	Maternal care for fetal tachycardia during pregnancy
XaE73	Maternal care for fetal acidosis during pregnancy
XaK9w	Intrapartum care enhanced services administration
XaKAM	Intrapartum care enhanced service completed
XaPOv	Fetus or neonate affected by maternal postnatal depression
XaRFX	Pregnancy advice for patients with epilepsy
XE072	Laparoscopic oocyte recovery
XE0gZ	Cervix disorders
XE0gZ	Disorders of cervix (& [NOS])
XE0gZ	Disorders of cervix NOS
XE0vr	Gestational hypertension
XE0vr	GH - Gestational hypertension
XE0vr	Hypertension complicating childbirth
XE0vr	Hypertension complicating pregnancy
XE0vr	Hypertension induced by pregnancy
XE0vv	Unspecified renal disease in pregnancy
XE0vy	Drug dependence during pregnancy, childbirth and the puerperium
XE0vz	Congenital cardiovascular disorders during pregnancy, childbirth and the puerperium
XE0w0	Other cardiovascular diseases during pregnancy, childbirth and the puerperium
XE0w5	Congenital abnormality of uterus in pregnancy, childbirth and the puerperium
XE0wb	Congenital or acquired abnormality of vagina in pregnancy, childbirth or the puerperium NOS
XE0wB	Congenital abnormality of uterus in pregnancy, childbirth or the puerperium NOS
XE0wc	Congenital or acquired abnormality of vulva in pregnancy, childbirth and the puerperium
XE0wC	Tumour of uterine body in pregnancy, childbirth and the puerperium
XE0wd	Congenital or acquired abnormality of vulva affecting obstetric care
XE0wg	Congenital or acquired abnormality of vulva complicating antenatal care - baby not yet delivered
XE0wi	Congenital or acquired abnormality of vulva in pregnancy, childbirth or the puerperium NOS
XE0wI	Tumour of uterine body in pregnancy, childbirth or the puerperium NOS
XE0wJ	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
XE0wK	Other uterine or pelvic floor abnormality affecting obstetric care
XE0wM	Other uterine or pelvic floor abnormality - delivered with postpartum complication
XE0wn	Rhesus isoimmunisation
XE0wn	Rhesus isoimmunisation in pregnancy
XE0wn	RI - Rhesus isoimmunisation
XE0wN	Other uterine or pelvic floor abnormality - baby not yet delivered
XE0wO	Other uterine or pelvic floor abnormality complicating postpartum care - baby delivered during previous episode of care
XE0wP	Other uterine or pelvic floor abnormality in pregnancy, childbirth or the puerperium NOS
XE0wQ	Other cervical abnormality in pregnancy, childbirth and the puerperium
XE0wR	Other cervical abnormality - baby delivered with postpartum complication
XE0wS	Other cervical abnormality complicating antenatal care - baby not yet delivered
XE0wT	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
XE0wU	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
XE0wV	Congenital or acquired abnormality of vagina in pregnancy, childbirth and the puerperium
XE0x8	Obstetric trauma damaging pelvic joints and ligaments
XE0xI	Venous complications of pregnancy and the puerperium
XE0xJ	Varicose veins of perineum and vulva in pregnancy and the puerperium
XE0xM	Obstetric pyaemic and septic pulmonary embolism
XE0xN	Other obstetric pulmonary embolism
XE0xO	Other complication of obstetric surgical wound
XE0xR	Nipple infection - obstetric
XE0xR	Obstetric nipple infection
XE0xs	Post-abortion problem NOS
XE0xS	Obstetric breast and lactation disorders NOS
XE0xT	Cracked nipple in pregnancy, the puerperium or lactation
XE0xu	Hypertension+pregnancy
XE0xu	Preg.+ pre-existing hypertensn
XE0xu	Pregnancy with hypertension (& [pre-existing])
XE0xu	Pregnancy with pre-existing hypertension
XE0xu	Pregnancy+hypertension
XE0xU	Breast engorgement in pregnancy, the puerperium or lactation NOS
XE0xy	Hypertension of pregnancy NOS
XE0y6	Pregnancy complications NOS
XE0yG	Gonorrhoea + pregnancy
XE0yG	Preg.+ venereal disease
XE0yG	Pregnancy with venereal disease (& [gonorrhoea] or [syphilis])
XE0yG	Syphilis + pregnancy
XE0yG	Venereal dis+ pregnancy
XE0yM	Pregnancy with other medical condition
XE0yQ	Cardiac dis.+ pregnancy
XE0yQ	Heart dis.+ pregnancy
XE0yQ	Preg.+ cardiovascular disease
XE0yQ	Pregnancy + cardiovascular disease (& [cardiac])
XE0yQ	Pregnancy with cardiovascular disease
XE0yW	Pregnancy with medical condition NOS
XE0zm	Deep vein thrombosis-obstetric
XE0zm	DVT - obstetric
XE0zm	Obstetric venous prob.
XE0zm	Obstetric venous problems
XE0zm	Obstetric venous problems (& [deep vein thrombosis] or [varicose vein])
XE0zm	Thrombosis - DV, obst.
XE0zm	Varicose vein-obstetric
XE0zm	Venous problem - obst.
XE0zo	Vulval &/or perineal varicose veins (& [vulval VV's - obstetric])
XE0zo	Vulval VV's - obstetric
XE0zo	Vulval/perineal varicose veins
XE0zs	Obstetric venous problems NOS
XE0zw	(Lactation problems) or (breast/lactation problems NOS)
XE0zw	Breast/lactation problem NOS
XE0zw	Lactation problems
XE0zy	Breast/lactation problem NOS
XE1eB	Fetus affected by maternal toxaemia
XE1eB	Fetus or neonate affected by maternal hypertensive disease
XE1eC	Fetus or neonate affected by maternal renal or urinary disease
XE1eD	Fetus or neonate affected by placental or breast transfer of alcohol
XE1eE	Fetus or neonate affected by placental or breast transfer of anti-infective
XE1eG	Fetus affected by maternal death
XE1eG	Fetus or neonate affected by maternal death
XE1eI	Fetus or neonate affected by antepartum haemorrhage, unspecified
XE1eL	Fetus or neonate affected by other specified placental separation or haemorrhage
XE1eM	Fetus/neonate affected by placental abnormality NEC
XE1eN	Fetus or neonate affected by other specified cord problems
XE1eP	Fetus or neonate affected by malposition or disproportion during labour or delivery
XE1eQ	Fetus or neonate affected by malposition or disproportion during labour or delivery NOS
XE1er	Congenital rubella syndrome
XE1es	Congenital toxoplasmosis
XE1f2	Fetal and neonatal haemorrhage
XE1f3	Haemolytic disease - Rh
XE1f3	Haemolytic disease due to rhesus isoimmunisation
XE1f3	Rh haemolytic disease of the newborn
XE1f3	Rh HDN - Rh haemolytic disease of the newborn
XE1f3	Rhesus isoimmunisation of the newborn
XE1fG	Other perinatal condition NOS
XE1fH	Other perinatal conditions NOS
XE1fL	Fetus poison - placenta/breast
XE1fr	Congenital toxoplasmosis
XE1fx	Erythroblastosis fetalis
XE1fx	Erythroblastosis foetalis
XE1U4	Maternity care
XE1UO	Maternal tobacco abuse
XE1UQ	Maternal drug abuse
XE1US	Maternal alcohol abuse
XE1UU	Placental details
XE2cZ	Gestational herpes
XE2cZ	Herpes + pregnancy
XE2cZ	Herpes gestationis
XE2cZ	Herpes: [gestationis] or [+ pregnancy]
XE2Ic	FP24 mat.claim status NOS
XE2Id	FP24A maternity claim status
XE2Io	FP24A mat.claim status NOS
XE2IR	FP24 - mat claim-on obst.list
XE2IR	FP24 maternity claim status
XE2Iv	GMS2 maternity claim status
XE2QR	Maternal rubella in pregnancy, childbirth and the puerperium
XE2QY	Obstetric breast abscess
XE2QZ	Other disorders of lactation
XE2R6	Fetal and neonatal conditions
XE2R6	Fetus and neonate conditions
XE2R6	Perinatal disorder
XE2u2	Obstetric procedure
XM0B0	Breast engorgement
XM0B0	Engorged breasts
XM0tH	Venereal disease in pregnancy
XM0tj	Mastitis - obstetric
XM0tK	Cardiac disease in pregnancy
XM1N8	Antenatal / Postnatal care
XM1PK	Lymphangitis of breast - obstetric
