^ESCT1170559	Hyperthyroidism in pregnancy
^ESCTTH510826	Thyrotoxicosis due to TSHoma
^ESCTTH510827	Thyrotoxicosis due to thyrotropin-secreting pituitary adenoma
^ESCTTH510861	Thyroid hormone binding abnormality
^ESCTTH510862	Thyroid-binding globulin deficiency
^ESCTTH510864	Thyroid-binding globulin high
^ESCTTH510867	Thyroid pre-albumin binding abnormality
^ESCTTH510884	Thyroid hormone resistance syndrome
^ESCTTH510885	Thyroid hormone resistance
^ESCTTH510903	Thyroid goiter multinodular
^ESCTTH510904	Thyroid goitre multinodular
^ESCTTH535485	Thyroid follicular adenoma
^ESCTTH545680	Thyroid gland haematoma
^ESCTTH545681	Thyroid gland hematoma
^ESCTTH547767	Thyroid dysfunction
^ESCTTH550004	Thyrotoxicosis with diffuse goitre
^ESCTTH550007	Thyrotoxicosis with diffuse goiter
^ESCTTH556028	Thyroid disease in pregnancy
^ESCTTH572099	Thyrotoxicosis with or without goitre
^ESCTTH572100	Thyrotoxicosis with or without goiter
^ESCTTH601621	Thyroid infection
^ESCTTH621235	Thyrotoxicosis due to pituitary thyroid hormone resistance
^ESCTTH621240	Thyrotoxicosis due to overproduction of thyroid stimulating hormone
^ESCTTH621242	Thyrotoxicosis due to inappropriate TSH secretion
^ESCTTH621243	Thyrotoxicosis due to inappropriate thyroid stimulating hormone secretion
^ESCTTH624695	Thyroid cancer
^ESCTTH624696	Thyroid Ca
^ESCTTH773694	Thyroid hemiagenesis
^ESCTTH784376	Thyroid, renal, digital anomaly syndrome
^ESCTTH795363	Thyrocerebrorenal syndrome
^ESCTTH811809	Thyroiditis caused by amiodarone
^ESCTTH932595	Thyroid disease in mother complicating childbirth
^ESCTTH932596	Thyroid disease in childbirth
^ESCTTH932598	Thyroiditis in mother complicating childbirth
^ESCTTH932599	Thyroiditis in childbirth
^ESCTTH932615	Thyroiditis in pregnancy
^ESCTTO274530	Toxic diffuse goitre with acropachy
^ESCTTO274531	Toxic diffuse goiter with acropachy
^ESCTTO292246	Toxic multinodular goiter
^ESCTTO292252	Toxic multinodular thyroid goiter
^ESCTTO292253	Toxic multinodular thyroid goitre
^ESCTTO299960	Toxic nodular goitre with thyrotoxic storm
^ESCTTO299961	Toxic nodular goiter with thyrotoxic storm
^ESCTTO299962	Toxic nodular goiter with thyrotoxic crisis
^ESCTTO299963	Toxic nodular goitre with thyrotoxic crisis
^ESCTTO343879	Toxic nodular goiter
^ESCTTO343880	Toxic adenomatous goiter
^ESCTTO343881	Toxic struma nodosa
^ESCTTO343883	Toxic adenomatous goitre
^ESCTTO347789	Toxic diffuse goitre with thyrotoxic crisis
^ESCTTO347790	Toxic diffuse goiter with thyrotoxic crisis
^ESCTTO347791	Toxic diffuse goiter with thyrotoxic storm
^ESCTTO347794	Toxic diffuse goitre with thyrotoxic storm
^ESCTTO347877	Toxic diffuse goitre with pretibial myxoedema
^ESCTTO347878	Toxic diffuse goiter with pretibial myxedema
^ESCTTO351187	Toxic multinodular goitre with thyrotoxic crisis
^ESCTTO351188	Toxic multinodular goiter with thyrotoxic crisis
^ESCTTO351189	Toxic multinodular goiter with thyrotoxic storm
^ESCTTO351190	Toxic multinodular goitre with thyrotoxic storm
^ESCTTO362748	Toxic uninodular goitre with thyrotoxic crisis
^ESCTTO362749	Toxic uninodular goiter with thyrotoxic crisis
^ESCTTO362750	Toxic uninodular goiter with thyrotoxic storm
^ESCTTO362751	Toxic uninodular goitre with thyrotoxic storm
^ESCTTO370094	Toxic uninodular goiter
^ESCTTO370095	Toxic thyroid nodule
^ESCTTO370099	Toxic uninodular thyroid goitre
^ESCTTO370100	Toxic uninodular thyroid goiter
^ESCTTO475766	Toxic diffuse goiter with no crisis
^ESCTTO475768	Toxic diffuse goiter with crisis
^ESCTTO475770	Toxic uninodular goiter with no crisis
^ESCTTO475774	Toxic multinodular goiter with no crisis
^ESCTTO510802	Toxic goiter
^ESCTTO550006	Toxic primary thyroid hyperplasia
^ESCTTO550008	Toxic diffuse goiter
^ESCTTO550010	Toxic diffuse thyroid goitre
^ESCTTO550011	Toxic diffuse thyroid goiter
^ESCTTO736467	Toxic thyroid adenoma
^ESCTTR254547	Transient hypothyroidism
^ESCTTR258898	Transient neonatal hyperthyroidism
^ESCTTR279546	Transient decreased production of T>4<
^ESCTTR318132	Transient decreased production of T>3<
^ESCTTR323286	Triple A syndrome
^ESCTTR365391	Transient decreased production of thyroid hormone
^ESCTTR558717	Transient neonatal hypothyroidism
^ESCTTR558811	Transient hypothyroxinaemia
^ESCTTR558812	Transient hypothyroxinemia
^ESCTTR558813	Transient hypothyrotropinaemia
^ESCTTR558814	Transient hypothyrotropinemia
^ESCTTR786932	TRH (thyrotropin-releasing hormone) resistance syndrome
^ESCTTS384368	TSH - Thyroid stimulating hormone deficiency
^ESCTTS510888	TSH resistance
^ESCTTU439226	Tumour of thyroid gland
^ESCTTU439228	Tumor of thyroid gland
^ESCTUN331578	Unresponsiveness of thyroid gland to thyrotropin
^ESCTUN510898	Uninodular goitre
^ESCTUN510899	Uninodular goiter
^ESCTVI326590	Viral thyroiditis
^ESCTWO394695	Woody thyroiditis
^ESCTXL253470	X-linked absence of thyroxine-binding globulin
^ESCTXL316550	X-linked reduction of thyroxine-binding globulin
^ESCTXL339791	X-linked excess of thyroxine-binding globulin
^ESCTXL368855	X-linked variant form of thyroxine-binding globulin
^ESCTYO751992	Young-Simpson syndrome
EMISNQSE16	Secondary hypothyroidism
EMISNQSU54	Subclinical hyperthyroidism
ESCTFA1	Familial dysalbuminaemic hyperthyroxinaemia
^ESCTCO510844	Compensated hypothyroidism
^ESCTCO510846	Compensated euthyroidism
^ESCTHY283809	Hypothyroid coma
^ESCTHY572101	Hypothyroidism - congenital and acquired
^ESCTMY283808	Myxedema coma
^ESCTNE419385	Neurologic form of cretinism
