^ESCT1167914	Hydralazine and hydrochlorothiazide
^ESCT1230905	Hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet
^ESCT1230908	Moexipril hydrochloride 7.5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1230909	Hydrochlorothiazide 12.5 mg and moexipril hydrochloride 7.5 mg oral tablet
^ESCT1230910	Product containing precisely hydrochlorothiazide 12.5 milligram and moexipril hydrochloride 7.5 milligram/1 each conventional release oral tablet
^ESCT1230911	Moexipril hydrochloride 15 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1230912	Hydrochlorothiazide 12.5 mg and moexipril hydrochloride 15 mg oral tablet
^ESCT1230913	Product containing precisely hydrochlorothiazide 12.5 milligram and moexipril hydrochloride 15 milligram/1 each conventional release oral tablet
^ESCT1230914	Moexipril hydrochloride 15 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1230915	Hydrochlorothiazide 25 mg and moexipril hydrochloride 15 mg oral tablet
^ESCT1230916	Product containing precisely hydrochlorothiazide 25 milligram and moexipril hydrochloride 15 milligram/1 each conventional release oral tablet
^ESCT1230927	Bisoprolol fumarate 2.5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCT1230928	Bisoprolol 2.5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCT1230929	Product containing precisely bisoprolol 2.5 milligram and hydrochlorothiazide 6.25 milligram/1 each conventional release oral tablet
^ESCT1232116	Hydrochlorothiazide and metoprolol product
^ESCT1232368	Metoprolol tartrate 100 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1232369	Hydrochlorothiazide 25 mg and metoprolol tartrate 100 mg oral tablet
^ESCT1232370	Product containing precisely hydrochlorothiazide 25 milligram and metoprolol tartrate 100 milligram/1 each conventional release oral tablet
^ESCT1232371	Metoprolol tartrate 100 mg and hydrochlorothiazide 50 mg oral tablet
^ESCT1232372	Product containing precisely hydrochlorothiazide 50 milligram and metoprolol tartrate 100 milligram/1 each conventional release oral tablet
^ESCT1232373	Hydrochlorothiazide 50 mg and metoprolol tartrate 100 mg oral tablet
^ESCT1232374	Metoprolol tartrate 50 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1232375	Product containing precisely hydrochlorothiazide 25 milligram and metoprolol tartrate 50 milligram/1 each conventional release oral tablet
^ESCT1232376	Hydrochlorothiazide 25 mg and metoprolol tartrate 50 mg oral tablet
^ESCT1233168	Bisoprolol and hydrochlorothiazide product
^ESCT1233280	Product containing precisely hydrochlorothiazide 25 milligram and valsartan 320 milligram/1 each conventional release oral tablet
^ESCT1233379	Product containing precisely hydrochlorothiazide 12.5 milligram and valsartan 320 milligram/1 each conventional release oral tablet
^ESCT1233590	Hydrochlorothiazide and quinapril product
^ESCT1233648	Enalapril and hydrochlorothiazide product
^ESCT1233995	Hydrochlorothiazide and olmesartan medoxomil product
^ESCT1234275	Metoprolol tartrate 25 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1234276	Product containing precisely hydrochlorothiazide 12.5 milligram and metoprolol tartrate 25 milligram/1 each conventional release oral tablet
^ESCT1234277	Hydrochlorothiazide 12.5 mg and metoprolol tartrate 25 mg oral tablet
^ESCT1234306	Metoprolol tartrate 50 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1234307	Product containing precisely hydrochlorothiazide 12.5 milligram and metoprolol tartrate 50 milligram/1 each conventional release oral tablet
^ESCT1234308	Hydrochlorothiazide 12.5 mg and metoprolol tartrate 50 mg oral tablet
^ESCT1234893	Aliskiren and hydrochlorothiazide
^ESCT1234894	Aliskiren and hydrochlorothiazide product
^ESCT1234985	Product containing precisely aliskiren 300 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1234987	Product containing precisely aliskiren 150 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
^ESCT1234988	Product containing precisely aliskiren 300 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1234993	Product containing precisely aliskiren 150 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
^ESCT1235169	Amlodipine and hydrochlorothiazide and valsartan
^ESCT1235170	Amlodipine and hydrochlorothiazide and valsartan product
^ESCT1235398	Amlodipine and hydrochlorothiazide and olmesartan medoxomil product
^ESCT1235457	Aliskiren + amlodipine + hydrochlorothiazide
^ESCT1235458	Product containing aliskiren and amlodipine and hydrochlorothiazide
^ESCT1235459	Aliskiren and amlodipine and hydrochlorothiazide product
^ESCT1237016	Hydralazine and hydrochlorothiazide
^ESCT1237017	Hydralazine and hydrochlorothiazide product
^ESCT1237020	Hydrochlorothiazide and labetalol
^ESCT1237021	Hydrochlorothiazide and labetalol product
^ESCT1237101	Accuretic 10mg/12.5mg tablets (Pfizer Ltd)
^ESCT1381533	Amiloride- and atenolol- and hydrochlorothiazide-containing product
^ESCT1382273	Hydrochlorothiazide- and spironolactone-containing product
^ESCT1382301	Hydrochlorothiazide- and reserpine-containing product
^ESCT1382321	Hydrochlorothiazide- and methyldopa-containing product
^ESCT1382417	Captopril- and hydrochlorothiazide-containing product
^ESCT1382421	Hydrochlorothiazide- and triamterene-containing product
^ESCT1382588	Fosinopril- and hydrochlorothiazide-containing product
^ESCT1382613	Eprosartan- and hydrochlorothiazide-containing product
^ESCT1383884	Aliskiren- and hydrochlorothiazide-containing product
^ESCT1384105	Amlodipine (as amlodipine besilate) 10 mg and hydrochlorothiazide 25 mg and valsartan 320 mg oral tablet
^ESCT1384106	Amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 25 mg and valsartan 320 mg oral tablet
^ESCT1384107	Amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 25 mg and valsartan 160 mg oral tablet
^ESCT1384108	Amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 25 mg and valsartan 160 mg oral tablet
^ESCT1384109	Amlodipine- and hydrochlorothiazide- and valsartan-containing product
^ESCT1384113	Amlodipine (as amlodipine besilate) 10 mg and hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet
^ESCT1384114	Amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet
^ESCT1384116	Amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet
^ESCT1384117	Amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet
^ESCT1384163	Hydrochlorothiazide 12.5 mg and losartan potassium 100 mg oral tablet
^ESCT1384202	Amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg oral tablet
^ESCT1384203	Amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 12.5 mg and olmesartan medoxomil 20 mg oral tablet
^ESCT1384204	Amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384205	Amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384206	Amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384207	Amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384208	Amlodipine (as amlodipine besilate) 10 mg and hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384209	Amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 12.5 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384213	Amlodipine (as amlodipine besilate) 10 mg and hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384214	Amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 25 mg and olmesartan medoxomil 40 mg oral tablet
^ESCT1384242	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besilate) 10 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1384243	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1384244	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1384245	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1384250	Aliskiren- and amlodipine- and hydrochlorothiazide-containing product
^ESCT1384251	Aliskiren (as aliskiren fumarate) 150 mg and amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1384252	Aliskiren (as aliskiren fumarate) 150 mg and amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1384253	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besilate) 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1384254	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besylate) 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCT1384255	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besilate) 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1384256	Aliskiren (as aliskiren fumarate) 300 mg and amlodipine (as amlodipine besylate) 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCT1385088	Hydrochlorothiazide-containing product in oral dose form
^ESCT1385453	Hydralazine- and hydrochlorothiazide-containing product
^ESCT1385455	Hydrochlorothiazide- and labetalol-containing product
^ESCT1386128	Hydrochlorothiazide- and metoprolol-containing product in oral dose form
^ESCT1386139	Aliskiren- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386158	Amiloride- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386193	Amiloride- and atenolol- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386207	Acebutolol- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386234	Bisoprolol- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386293	Benazepril- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386333	Candesartan- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386335	Captopril- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386418	Enalapril- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386468	Hydrochlorothiazide- and telmisartan-containing product in oral dose form
^ESCT1386489	Hydrochlorothiazide- and quinapril-containing product in oral dose form
^ESCT1386494	Eprosartan- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386648	Fosinopril- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386744	Guanethidine- and hydrochlorothiazide-containing product
^ESCT1386745	Guanethidine- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386782	Hydrochlorothiazide- and losartan-containing product
^ESCT1386793	Hydrochlorothiazide- and losartan-containing product in oral dose form
^ESCT1386804	Hydralazine- and hydrochlorothiazide-containing product in oral dose form
^ESCT1386913	Amiloride- and hydrochlorothiazide- and timolol-containing product
^ESCT1386929	Candesartan- and hydrochlorothiazide-containing product
^ESCT1386930	Hydrochlorothiazide- and propranolol-containing product
^ESCT1386931	Hydrochlorothiazide- and propranolol-containing product in oral dose form
^ESCT1386932	Hydrochlorothiazide- and valsartan-containing product in oral dose form
^ESCT1386937	Amiloride- and hydrochlorothiazide- and timolol-containing product in oral dose form
^ESCT1386950	Hydrochlorothiazide- and lisinopril-containing product in oral dose form
^ESCT1386951	Hydrochlorothiazide- and moexipril-containing product
^ESCT1386952	Hydrochlorothiazide- and moexipril-containing product in oral dose form
^ESCT1409533	Innozide 20mg/12.5mg tablets (Organon Pharma (UK) Ltd)
^ESCT1409562	Cozaar-Comp 50mg/12.5mg tablets (Organon Pharma (UK) Ltd)
^ESCT1410094	Carace 20 Plus tablets (Organon Pharma (UK) Ltd)
^ESCT1410096	Carace 10 Plus tablets (Organon Pharma (UK) Ltd)
^ESCT1410365	Hydrosaluric 25mg tablets (Organon Pharma (UK) Ltd)
^ESCT1410367	Hydrosaluric 50mg tablets (Organon Pharma (UK) Ltd)
^ESCT1410703	Cozaar-Comp 100mg/25mg tablets (Organon Pharma (UK) Ltd)
^ESCT1410885	Cozaar-Comp 100mg/12.5mg tablets (Organon Pharma (UK) Ltd)
^ESCT1424764	Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets
^ESCT1424777	Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets
^ESCT1425091	Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets
^ESCTAC607151	Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets
^ESCTAC607153	Acebutolol 200 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTAC661392	Acebutolol + Hydrochlorothiazide
^ESCTAC661393	Acebutolol + hydrochlorothiazide
^ESCTAC808125	Accuretic 12.5mg/10mg tablets (Pfizer Ltd)
^ESCTAD857737	Adizem-XL 300mg capsules (Napp Pharmaceuticals Ltd)
^ESCTAD857739	Adizem-XL 240mg capsules (Napp Pharmaceuticals Ltd)
^ESCTAD857741	Adizem-XL 200mg capsules (Napp Pharmaceuticals Ltd)
^ESCTAD858180	Adizem-XL 120mg capsules (Napp Pharmaceuticals Ltd)
^ESCTAD858182	Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)
^ESCTAL714772	Aliskiren + Hydrochlorothiazide
^ESCTAL718440	Aliskiren 300 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTAL718863	Aliskiren 150 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTAL718866	Aliskiren 300 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTAL719168	Aliskiren 150 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTAL736243	Aliskiren 300mg + amlodipine 10mg + hydrochlorothiazide 12.5mg tablet
^ESCTAL736252	Aliskiren 300mg + amlodipine 5mg + hydrochlorothiazide 25mg tablet
^ESCTAL736751	Aliskiren + amlodipine + hydrochlorothiazide
^ESCTAL736752	Aliskiren 150mg + amlodipine 5mg + hydrochlorothiazide 12.5mg tablet
^ESCTAL736862	Aliskiren 300mg + amlodipine 10mg + hydrochlorothiazide 25mg tablet
^ESCTAL736863	Aliskiren 300mg + amlodipine 5mg + hydrochlorothiazide 12.5mg tablet
^ESCTAM606804	Amiloride 2.5 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTAM642541	Amiloride 5 mg and hydrochlorothiazide 50 mg oral tablet
^ESCTAM726132	Amlodipine 10mg + hydrochlorothiazide 25mg + Valsartan 320mg tablet
^ESCTAM726200	Amlodipine 5mg + hydrochlorothiazide 25mg + Valsartan 160mg tablet
^ESCTAM726238	Amlodipine + hydrochlorothiazide + valsartan
^ESCTAM726382	Amlodipine 10mg + hydrochlorothiazide 12.5mg + Valsartan 160mg tablet
^ESCTAM726484	Amlodipine 5mg + hydrochlorothiazide 12.5mg + Valsartan 160mg tablet
^ESCTAM733430	Amlodipine + hydrochlorothiazide + olmesartan medoxomil
^ESCTAM733431	Amlodipine 5mg + hydrochlorothiazide 12.5mg + olmesartan medoxomil 20mg tablet
^ESCTAM733463	Amlodipine 5mg + hydrochlorothiazide 12.5mg + olmesartan medoxomil 40mg tablet
^ESCTAM733464	Amlodipine 5mg + hydrochlorothiazide 25mg + olmesartan medoxomil 40mg tablet
^ESCTAM733465	Amlodipine 10mg + hydrochlorothiazide 12.5mg + olmesartan medoxomil 40mg tablet
^ESCTAM733582	Amlodipine 10mg + hydrochlorothiazide 25mg + olmesartan medoxomil 40mg tablet
^ESCTAT607156	Atenolol 50 mg and amiloride 2.5 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCTAT620086	Atenolol + amiloride + hydrochlorothiazide
^ESCTBE641944	Benazepril hydrochloride 10 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTBE655615	Benazepril hydrochloride 5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCTBE655617	Benazepril hydrochloride 20 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTBE655619	Benazepril hydrochloride 20 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTBI607165	Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets
^ESCTBI607167	Bisoprolol fumarate 10 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCTBI641960	Bisoprolol fumarate 5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCTBI680447	Bisoprolol fumarate 2.5 mg and hydrochlorothiazide 6.25 mg oral tablet
^ESCTBI695805	Bisoprolol + Hydrochlorothiazide
^ESCTBI695806	Bisoprolol+hydrochlorothiazide
^ESCTCA607343	Captopril 25 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTCA607346	Captopril 50 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTCA641983	Candesartan cilexetil 16 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTCA641985	Captopril 25 mg and hydrochlorothiazide 15 mg oral tablet
^ESCTCA641987	Captopril 25 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTCA641989	Captopril 50 mg and hydrochlorothiazide 15 mg oral tablet
^ESCTCA670420	Captopril + hydrochlorothiazide
^ESCTCA677433	Candesartan cilexetil 32 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTCA801870	Carace 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
^ESCTCA810136	Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
^ESCTCA810275	Carace 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
^ESCTCA824313	Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)
^ESCTCA859497	Carace 20 Plus tablets (Merck Sharp & Dohme Ltd)
^ESCTCA859507	Carace 10 Plus tablets (Merck Sharp & Dohme Ltd)
^ESCTCA896900	Caralpha 20mg/12.5mg tablets (Actavis UK Ltd)
^ESCTCA896902	Caralpha 10mg/12.5mg tablets (Actavis UK Ltd)
^ESCTCO606802	Co-amilozide 2.5mg/25mg tablets
^ESCTCO607341	Co-zidocapt 12.5mg/25mg tablets
^ESCTCO607344	Co-zidocapt 25mg/50mg tablets
^ESCTCO642539	Co-amilozide 5mg/50mg tablets
^ESCTCO680408	Co-triamterzide 50mg/25mg tablets
^ESCTCO808086	Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd)
^ESCTCO821124	CoAprovel 300mg/12.5mg tablets (Sanofi)
^ESCTCO825091	CoAprovel 150mg/12.5mg tablets (Sanofi)
^ESCTCO858469	Co-Betaloc tablets (Pfizer Ltd)
^ESCTCO864999	Co-Betaloc SA tablets (Pfizer Ltd)
^ESCTCO899246	Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)
^ESCTCO899249	Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd)
^ESCTCO903536	Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd)
^ESCTCO920247	Cozaar-Comp 100mg/25mg tablets (Merck Sharp & Dohme Ltd)
^ESCTCO934688	CoAprovel 300mg/25mg tablets (Sanofi)
^ESCTCO959124	Cozaar-Comp 100mg/12.5mg tablets (Merck Sharp & Dohme Ltd)
^ESCTEN607357	Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets
^ESCTEN607359	Enalapril maleate 20 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTEN642200	Enalapril maleate 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTEN642202	Enalapril maleate 5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTEN698218	Enalapril + Hydrochlorothiazide
^ESCTEN698219	Enalapril+hydrochlorothiazide
^ESCTEP680375	Eprosartan+hydrochlorothiazide
^ESCTEP680376	Eprosartan mesylate+hydrochlorothiazide
^ESCTEP680377	Eprosartan 600 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTEP680379	Eprosartan 600 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTFO677907	Fosinopril+hydrochlorothiazide
^ESCTFO677909	Fosinopril 10 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTFO677911	Fosinopril 20 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTGE607128	Generic Moducren tablets
^ESCTGE607154	Generic Kalten capsules
^ESCTGU642383	Guanethidine monosulfate 10 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTHY398943	Hydrochlorothiazide
^ESCTHY607402	Hydrochlorothiazide 12.5mg / Quinapril 10mg tablets
^ESCTHY638969	Hydrochlorothiazide 12.5 mg/1 each oral capsule
^ESCTHY640960	Hydrochlorothiazide 25mg tablets
^ESCTHY640962	Hydrochlorothiazide 25 mg oral tablet
^ESCTHY641176	Hydrochlorothiazide 50mg tablets
^ESCTHY641178	Hydrochlorothiazide 50 mg oral tablet
^ESCTHY642393	Hydralazine hydrochloride 25 mg and hydrochlorothiazide 15 mg and reserpine 0.1 mg oral tablet
^ESCTHY642395	Hydralazine hydrochloride 100 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCTHY642397	Hydralazine hydrochloride 25 mg and hydrochlorothiazide 25 mg/1 each oral capsule
^ESCTHY642399	Hydralazine hydrochloride 50 mg and hydrochlorothiazide 50 mg/1 each oral capsule
^ESCTHY642402	Hydrochlorothiazide 25 mg and labetalol hydrochloride 300 mg oral tablet
^ESCTHY642404	Hydrochlorothiazide 25 mg and lisinopril 20 mg oral tablet
^ESCTHY642409	Hydrochlorothiazide 15 mg and methyldopa 250 mg oral tablet
^ESCTHY642411	Hydrochlorothiazide 25 mg and methyldopa 250 mg oral tablet
^ESCTHY642413	Hydrochlorothiazide 30 mg and methyldopa 500 mg oral tablet
^ESCTHY642415	Hydrochlorothiazide 50 mg and methyldopa 500 mg oral tablet
^ESCTHY642417	Hydrochlorothiazide 25 mg and propranolol hydrochloride 40 mg oral tablet
^ESCTHY642419	Hydrochlorothiazide 12.5 mg and quinapril hydrochloride 20 mg oral tablet
^ESCTHY642421	Hydrochlorothiazide 25 mg and quinapril hydrochloride 20 mg oral tablet
^ESCTHY642423	Hydrochlorothiazide 25 mg and reserpine 0.125 mg oral tablet
^ESCTHY642425	Hydrochlorothiazide 50 mg and reserpine 0.125 mg oral tablet
^ESCTHY642427	Hydrochlorothiazide 25 mg and spironolactone 25 mg oral tablet
^ESCTHY642429	Hydrochlorothiazide 25 mg and triamterene 37.5 mg/1 each oral capsule
^ESCTHY642431	Hydrochlorothiazide 25 mg and triamterene 37.5 mg oral tablet
^ESCTHY642435	Hydrochlorothiazide 12.5 mg and valsartan 80 mg oral tablet
^ESCTHY655596	Hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet
^ESCTHY655598	Hydrochlorothiazide 25 mg and propranolol hydrochloride 80 mg oral tablet
^ESCTHY655612	Hydrochlorothiazide 12.5 mg and valsartan 160 mg oral tablet
^ESCTHY660977	Hydrochlorothiazide + spironolactone
^ESCTHY661042	Hydrochlorothiazide + valsartan
^ESCTHY661056	Hydrochlorothiazide + telmisartan
^ESCTHY661251	Hydrochlorothiazide + reserpine
^ESCTHY661323	Hydrochlorothiazide + lisinopril
^ESCTHY661453	Hydrochlorothiazide + methyldopa
^ESCTHY670446	Hydrochlorothiazide + triamterene
^ESCTHY677630	Hydrochlorothiazide 25 mg and valsartan 160 mg oral tablet
^ESCTHY682800	Hydrochlorothiazide + Metoprolol
^ESCTHY696351	Hydrochlorothiazide 25 mg and valsartan 320 mg oral tablet
^ESCTHY696787	Hydrochlorothiazide 12.5 mg and valsartan 320 mg oral tablet
^ESCTHY697934	Hydrochlorothiazide + Quinapril
^ESCTHY697935	Hydrochlorothiazide + quinapril
^ESCTHY701418	Hydrochlorothiazide + olmesartan
^ESCTHY772145	Hydrochlorothiazide in oral dosage form
^ESCTHY870796	Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd)
^ESCTHY870818	Hydrosaluric 50mg tablets (Merck Sharp & Dohme Ltd)
^ESCTIN804652	Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd)
^ESCTIR450768	Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets
^ESCTIR450770	Irbesartan 300 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTIR450771	Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets
^ESCTIR450773	Irbesartan 150 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTIR661402	Irbesartan + Hydrochlorothiazide
^ESCTIR661403	Irbesartan + hydrochlorothiazide
^ESCTIR934704	Irbesartan 300mg / Hydrochlorothiazide 25mg tablets
^ESCTLI607384	Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets
^ESCTLI607386	Lisinopril 20 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTLI607387	Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets
^ESCTLI607389	Lisinopril 10 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTLI661322	Lisinopril + Hydrochlorothiazide
^ESCTLO607483	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets
^ESCTLO607485	Losartan potassium 50 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTLO655569	Losartan 100mg / Hydrochlorothiazide 25mg tablets
^ESCTLO655571	Losartan potassium 100 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTLO729568	Losartan potassium 100mg + hydrochlorothiazide 12.5mg oral tablet
^ESCTLO959305	Losartan 100mg / Hydrochlorothiazide 12.5mg tablets
^ESCTME607114	Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets
^ESCTME607116	Metoprolol tartrate 100 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTME682801	Metoprolol + hydrochlorothiazide
^ESCTME686230	Metoprolol tartrate 100 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTME686232	Metoprolol tartrate 100 mg and hydrochlorothiazide 50 mg oral tablet
^ESCTME686234	Metoprolol tartrate 50 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTME703976	Metoprolol tartrate 25 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTME704295	Metoprolol tartrate 50 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTMI864531	MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd)
^ESCTMI864537	MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd)
^ESCTMI965196	MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd)
^ESCTMO680421	Moexipril hydrochloride 7.5 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTMO680423	Moexipril hydrochloride 15 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTMO680425	Moexipril hydrochloride 15 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTMO870785	Monozide 10 tablets (Wyeth Pharmaceuticals)
^ESCTOL677436	Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets
^ESCTOL677438	Olmesartan medoxomil 20 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTOL677439	Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets
^ESCTOL677441	Olmesartan medoxomil 40 mg and hydrochlorothiazide 12.5 mg oral tablet
^ESCTOL677442	Olmesartan medoxomil 40 mg and hydrochlorothiazide 25 mg oral tablet
^ESCTOL701417	Olmesartan + Hydrochlorothiazide
^ESCTOL733429	Olmesartan + Amlodipine + Hydrochlorothiazide
^ESCTOL927549	Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd)
