62...00	Patient pregnant
L51X.00	Maternal care/known or suspected fetal problem,unspecifd
L250400	Maternal care for CNS malformation in fetus
ZV23y00	[V]Other specified high-risk pregnancy
L251400	Maternal care for chromosomal abnormality in fetus
L28z200	Amniotic cavity and membrane problem NOS with a/n problem
L162000	Unspecified renal disease in pregnancy unspecified
2735.11	O/E - LSA
7F06400	External cephalic version
Z271C00	Fetal heart baseline pattern
6B22.00	Sure Start antenatal visit
Q408.00	Intra-amniotic fetal infection
L131z00	Hyperemesis gravidarum with metabolic disturbance NOS
L123000	Transient hypertension of pregnancy unspecified
7M0f.00	Gestational age
L251000	Fetus with chromosomal abnormality unspecified
62O2.00	Fetal movements seen
62NH.00	A/N 42 week examination
Z271900	Fetal heart rate variability
ZV23600	[V]Supervisn/pregnancy wth history insufficnt antenatal care
ZV22.11	[V]Supervision of normal pregnancy
Q021500	Fetus or neonate affected by premature placental separation
L233.00	Outlet pelvic contraction
L265z00	Small-for-dates NOS
L175300	Maternal rubella during pregnancy - baby not yet delivered
L126000	Eclampsia unspecified
9513.00	FP24 claim checked by staff
L394z00	Other complications of obstetric procedures NOS
ZV22100	[V]Other normal pregnancy supervision
4441.00	Feto/placent. hormones abnorm.
L13zz00	Unspecified pregnancy vomiting NOS
L256.00	Fetus with radiation damage
5392.00	Obstetric X-ray - placenta
Q10..11	Fetal malnutrition
L27..00	Polyhydramnios and hydramnios
Z235400	Pendulous pregnant abdomen
9NV1.00	Antenatal clinic
L187300	Orthopaedic disorder in pregnancy - baby not yet delivered
PK84.00	Fetal valproate syndrome
6293.00	Ante-natal care: not attended
Z245400	Maternal blood loss heavy
7F2y.00	Other specified obstetric operations
L124000	Mild or unspecified pre-eclampsia unspecified
L11z000	Antepartum haemorrhage NOS, unspecified
L112.12	Couvelaire uterus
7F03200	Percutaneous blood transfusion of fetus
L100200	Threatened abortion - not delivered
4445000	Placental function test normal
Z263.00	Uterine membrane observations
L16A000	Glycosuria during pregnancy unspecified
62C2.00	Full stay delivery booking
Z237.00	Observation of sensation of gravid uterus
62E..00	Feeding intention
L124z00	Mild or unspecified pre-eclampsia NOS
L267300	Placental transfusion syndromes
Z245200	Maternal blood loss within normal limits
Z238112	Fundus firm
L25z.00	Fetus with damage NOS
L140000	Threatened premature labour unspecified
Z22BA00	Contin pregnancy after intrauterine death of sibling fetus
L264000	Intrauterine death unspecified
Z271500	CTG reactivity
L0A3.00	Failed medical abortion, complicated by embolism
7F0..12	Fetus & gravid uterus ops
L411500	Genital varices in pregnancy
L411512	Vaginal varices in pregnancy
Z235300	Transversely enlarged pregnant abdomen
276Z.00	O/E - fetal heart NOS
L14z.00	Early or threatened labour NOS
L23z.00	Disproportion NOS
Z23..00	Observation of gravid uterus
2791.00	O/E - VE - cervical os closed
L19..00	Complications specific to multiple gestation
M240500	Alopecia of pregnancy
L112z00	Placental abruption NOS
Z261200	Gestational sac absent
Z262D00	Fresh retroplacental clot
TB14200	Amniocentesis with complication, without blame
L115.12	Antepartum haemorrhage with uterine fibroid
L115.11	Antepartum haemorrhage with fibroid
Z271100	Fetal heart acceleration
Z239800	Uterine activity
Q013.11	Fetus affected by hydramnios
938Z.00	Obstetric coop card NOS
L263800	Maternal care for fetal decelerations during pregnancy
62E2.00	Feeding intention - unsure
62E1.00	Feeding intention - not known
L266z00	Large-for-dates NOS
L25zz00	Fetus with damage NOS
Z23B100	Date false contractions first detected
L250200	Fetus with central nervous system malformation + a/n problem
L413z00	Antenatal deep vein thrombosis NOS
L210200	Twin pregnancy with antenatal problem
L10y000	Other haemorrhage in early pregnancy unspecified
L120300	Benign essential hypertension in preg/childb/puerp-not deliv
7F06.00	Operations on gravid uterus
7F0z.00	Fetus and gravid uterus operations NOS
ZV28100	[V]Amniotic fluid to screen for alphafetoprotein levels
Z22A211	HRP - High risk pregnancy
Z222.11	Multip
L270200	Polyhydramnios with antenatal problem
Z212100	Delivery place planned
L161300	Oedema or excessive weight gain in pregnancy - not delivered
L211000	Triplet pregnancy unspecified
L252000	Fetus with hereditary disease unspecified
L230.00	Disproportion - major pelvic abnormality
L161z00	Oedema or excessive weight gain in pregnancy NOS
9522.00	FP24A completed by Dr.
L185.11	Congenital heart disease in pregnancy
7F2z.00	Other obstetric operations NOS
62F8.00	A/N amnio. for ? chrom.abnorm.
ZV28200	[V]Other screening based on amniocentesis
Z236100	Normal position of gravid uterus
Z263C00	Intact membranes
L281400	Premature rupture of membranes, labour delayed by therapy
Z23A800	Mild uterine contractions
L51..00	Maternal care for other known or suspected fetal problems
L167000	Liver disorder in pregnancy unspecified
4H72.00	Amniotic fetal cell abnormal
L11y000	Other antepartum haemorrhage unspecified
7F04z00	Diagnostic percutaneous examination of fetus NOS
L110200	Placenta praevia without haemorrhage - not delivered
271Z.00	O/E - gravid uterus size NOS
2768.00	O/E - fetal heart 180-200
2767.00	O/E - fetal heart 160-180
Z231.00	Gravid uterus present
Z234300	Observation of height of gravid uterus
L392z00	Maternal hypotension syndrome NOS
2726.00	O/E -fetal presentation unsure
Z222.00	Multigravida
Q101.00	Fetus small-for-dates with signs of malnutrition
Z675.00	Antenatal class
Z264111	Quantity of liquor
61E5.00	Symto-thermal c'ceptn failure
Q021000	Fetus/neonate affected by antepartum haemorrhage unspecified
L113.13	Antepartum haemorrhage with hypofibrinogenaemia
L16A300	Glycosuria during pregnancy - not delivered
2735.00	O/E - presenting part LSA
7F01z12	Fetoscopy NEC
9391.00	Kick chart issued
Lyu3A00	[X]Maternal care/known or suspected fetal problem,unspecifd
L168000	Fatigue during pregnancy unspecified
62K2.00	A/N syphilis screen-blood sent
61F4.00	Post-coital IUCD failure
Z235.00	Observation of shape of pregnant abdomen
L16y300	Other pregnancy complication - not delivered
L141100	Other threatened labour - not delivered
L263000	Fetal distress unspecified
L412500	Superficial thrombophlebitis in pregnancy
L183.11	Pregnancy and drug dependence
62GA.00	A/N U/S scan for slow growth
Z262E11	Stale retroplacental clot
L141z00	Other threatened labour NOS
L270z00	Polyhydramnios NOS
9533.00	Mat booking 17-30 weeks
L111200	Placenta praevia with haemorrhage - not delivered
62U8.00	Downs screening - blood sent
2771.00	O/E - VE - pelvis adequate
7F01100	Fetoscopic examination of fetus and sampling of fetal blood
Z243200	First stage of labour not established
9384.00	Obstetric coop card updated
L141000	Other threatened labour unspecified
L164.00	Peripheral neuritis in pregnancy
L112000	Placental abruption unspecified
62F2.00	A/N amniocentesis - offered
7F05.00	Other operations on amniotic cavity
L132.00	Late vomiting of pregnancy
6291.00	Ante-natal care: not offered
Q011.00	Fetus/neonate affected maternal premature rupture membrane
L413000	Antenatal deep vein thrombosis unspecified
L244300	Other uterine/pelvic floor abnormal - baby not yet delivered
ZV23200	[V]Pregnancy with history of abortion
62U0.00	Triple test offered
9593.00	GMS2 claim checked by staff
L254.11	Suspect fetal damage from maternal alcohol
62EZ.00	Feeding intention - NOS
L222000	Breech presentation unspecified
L260.00	Fetal-maternal haemorrhage
Q026.11	Fetus affected by cord problems
9393.00	Kick chart duplicate issued
7F24z00	Other obstetric operation NOS
L222200	Breech presentation with antenatal problem
L186.11	Heart disease during pregnancy
L241300	Tumour of uterine body complicating a/n care, baby not deliv
L41z500	Venous complication of pregnancy, unspecified
Z265A11	Number of vessels entering umbilical cord
9563.00	HSA1- refused to sign
7F26100	Viability scan
L183300	Drug dependence during pregnancy - baby not yet delivered
L18z300	Medical condition NOS in pregnancy - baby not yet delivered
272Z.00	O/E - fetal presentation NOS
L126z00	Eclampsia NOS
Z271400	Unsatisfactory CTG tracing
Q40y000	Intrauterine fetal sepsis, unspecified
L125300	Severe pre-eclampsia - not delivered
L150000	Post-term pregnancy unspecified
6292.00	Ante-natal care: not wanted
L23zz00	Disproportion NOS
L150200	Post-term pregnancy - not delivered
Z22B.00	Observation of quantity of pregnancy
L514.00	Maternal care for poor fetal growth
L2C..00	Malnutrition in pregnancy
Z239300	Uterine contractions ceased
ZV28z00	[V]Unspecified antenatal screening
4H6..11	Amnicator test
L166.00	Genitourinary tract infections in pregnancy
L253.11	Fetus with suspected rubella damage via mother
L111z00	Placenta praevia with haemorrhage NOS
2731.00	O/E - presenting part LOA
Z271300	CTG tracing problem
62HZ.00	A/N Rh antibody screen NOS
Q021.00	Fetus/neonate affect other placental separation/haemorrhage
4444.11	Human placental lactogen
L224000	Transverse lie unspecified
L266300	Suspected macroscopic fetus
Z22C.00	Observation of measures of pregnancy
4JL3.00	Amniotic fluid for organism
5844.00	U-S scan -placental localisatn
2765.00	O/E - fetal heart 100-120
L11y200	Other antepartum haemorrhage - not delivered
L132000	Late pregnancy vomiting unspecified
L251.11	Suspect cystic fibrosis fetus
L262200	Other blood-group isoimmunisation with antenatal problem
Z234.00	Observation of size of gravid uterus
Z264112	Amount of liquor
61D4.00	Contraceptive sponge failure
L243000	Retroverted incarcerated gravid uterus unspecified
L264200	Intrauterine death with antenatal problem
L25y000	Fetus with other damage NEC, unspecified
2772.00	O/E - VE - pelvis not adequate
R123.00	[D]Amniotic fluid abnormal
L10yz00	Other haemorrhage in early pregnancy NOS
L11z200	Antepartum haemorrhage NOS - not deliv
9541.00	Mat B1 due
273..11	O/E - position-presenting part
L257.12	Fetus with damage due to intra-uterine contraceptive device
L21y.00	Other multiple pregnancy
9534.00	Mat booking after 31 weeks
L417000	Cerebral venous thrombosis in pregnancy
L281000	Premature rupture of membranes unspecified
ZV23z00	[V]Unspecified high-risk pregnancy
L221z00	Cephalic version NOS
L260200	Fetal-maternal haemorrhage with antenatal problem
Q022000	Fetus or neonate affected by placental dysfunction
62H3.00	Rh screen - 1st preg. sample
274Z.00	O/E - fetal station NOS
2733.00	O/E - presenting part LOP
273..00	O/E - presenting part position
274..00	O/E - presenting part station
L2A4.00	Abnormal radiological finding on antenatal screen of mother
L224200	Transverse lie with antenatal problem
L11yz00	Other antepartum haemorrhage NOS
Q016.11	Fetus affected by maternal death
62LZ.00	A/N blood group screen NOS
62F9.00	A/N amnio. for ? neural tube
9bE3.00	Maternity registration
9524.00	FP24A sent to FPC
9518.00	FP24 -FPC contacted re mistake
7F04.00	Diagnostic percutaneous examination of fetus
Z264100	Observation of quantity of liquor
L110000	Placenta praevia without haemorrhage unspecified
62M2.00	A/N sickle cell screen done
L25z000	Fetus with damage NOS, unspecified
L25yz00	Fetus with other damage NEC NOS
L336z00	Vascular lesions of cord NOS
2782.00	O/E - VE - cervix ripe
L240311	Bicornuate uterus complicating a/n care, baby not delivered
Z271E00	Sinusoidal pattern of fetal heart
2764.00	O/E - fetal heart 80-100
951Z.00	FP24 mat.claim status NOS
L110z00	Placenta praevia without haemorrhage NOS
L33yz00	Other umbilical cord complications NOS
L245z00	Cervical incompetence NOS
L16Az00	Glycosuria during pregnancy NOS
4H5Z.00	Amniotic fluid AFP NOS
62U4.00	Triple test wanted
2732.00	O/E - presenting ROA
2736.00	O/E - presenting part RSA
L115.00	Antepartum haemorrhage with uterine leiomyoma
Z263A00	Membranes complete
L250000	Fetus with central nervous system malformation unspecified
L250z00	Fetus with central nervous system malformation NOS
L235.00	Large fetus causing disproportion
959A.00	GMS2 claim - HA dispute fee due
Q017.11	Fetus affected by malpresentation
L123300	Transient hypertension of pregnancy - not delivered
7F04111	Percutaneous sampling of foetal blood
952..11	FP24A - mat claim-not obst lis
L248300	Vulval abn complicating a/n care - baby not yet delivered
62H1.00	A/N Rh screen not offered
L212z00	Quadruplet pregnancy NOS
L132200	Late pregnancy vomiting - not delivered
L233z00	Outlet pelvic contraction NOS
L257.00	Fetus with damage due to intra-uterine contraceptive device
9561.00	HSA1- form eligible
5845.00	U-S scan - fetal cephalometry
4H43.00	Amniotic fluid L/S ratio
272..12	O/E - presenting part
L224z00	Transverse lie NOS
952Z.00	FP24A mat.claim status NOS
62U1.00	Double test offered
956Z.00	HSA1- green form NOS
L253.00	Fetus with viral damage via mother
L284.00	Amniotic cavity infection
L28z.00	Amniotic cavity and membrane problems NOS
2763.00	O/E - fetal heart 40-80
Lyu2100	[X]Other vomiting complicating pregnancy
L335.11	Velamentous insertion of cord
9529.00	FP24A-FPC make up payment
4H1..00	Amniotic fluid exam. - general
9526.00	FP24A paid by FPC - underpaid
9519.00	FP24 -FPC make up payment
629Z.00	No ante-natal care NOS
279Z.00	O/E - VE - cervix dilat. NOS
L246311	Polyp of cervix complicating a/n care- baby not delivered
L270000	Polyhydramnios unspecified
L247300	Vaginal abnormality complicating a/n care-baby not delivered
L28zz00	Amniotic cavity and membrane problem NOS
L252.00	Fetus with hereditary disease
L254.00	Fetus with damage due to other maternal disease
4H71.00	Amniotic fetal cell study: NAD
4H23.00	Amniotic fluid -meconium stain
4H22.00	Amniotic fluid - blood stained
L131000	Hyperemesis gravidarum with metabolic disturbance unsp
L261200	Rhesus isoimmunisation with antenatal problem
L243z00	Retroverted incarcerated gravid uterus NOS
L294000	Grand multiparity unspecified
L231z00	Generally contracted pelvis NOS
L13z000	Unspecified pregnancy vomiting unspecified
L27z.00	Polyhydramnios NOS
L168z00	Fatigue during pregnancy NOS
ZVu2900	[X]Other antenatal screening
L28y.00	Other problems of amniotic cavity and membranes
4H53.00	Amniotic fluid AFP abnormal
L412511	Thrombophlebitis of legs in pregnancy
L10y200	Other haemorrhage in early pregnancy - not delivered
Lyu3B00	[X]Other disorders of amniotic fluid and membranes
7F28.00	Other non routine obstetric scan
7F08.00	Therapeutic percutaneous operations twin-twin transfusion
L113000	Antepartum haemorrhage with coagulation defect unspecified
7F2B.00	Obstetric ultrasound monitoring
7F26z00	Routine obstetric scan NOS
7F28z00	Other non routine obstetric scan NOS
4446.00	Serum unconjugated oestriol mean of median measurement
4447.00	Plasma unconjugated oestriol mean of median measurement
7F27.00	Non routine obstetric scan for fetal observations
7F26.00	Routine obstetric scan
7F24.00	Other obstetric operations
7M0f000	Over 20 weeks gestational age
Z262J00	Placenta infected
7F05z00	Other operation on amniotic cavity NOS
L23y.00	Other disproportion
7F2A000	Obstetric umbilical artery Doppler
7F2Bz00	Obstetric ultrasound monitoring NOS
7F2A.00	Obstetric Doppler studies
L237200	Other fetal abnormality causing disproportion with a/n prob
L394.00	Other complications of obstetric procedures
7F28100	Liquor volume scan
62U6.00	Triple test not wanted
7F07.00	Therapeutic endoscopic operations for twin-twin transfusion
4H31.00	Amniotic fluid microscopy -NAD
Z264600	Excessive amniotic fluid
62a..11	Review of pregnancy
7M0f200	9 - 13 weeks gestational age
7F29.00	Other maternal physiological assessments
7M0fz00	Gestational age NOS
Z235200	Rounded pregnant abdomen
L251.12	Suspect mongol fetus
7F03300	Percutaneous insertion of fetal pleural drain
Q022.00	Fetus/neonate affected by placental abnormality NEC
7F27000	Biophysical profile
Z271A00	Good baseline variability in fetal heart rate
L181300	Thyroid dysfunction in pregnancy - baby not yet delivered
7F27200	Fetal biometry
7M0f400	From 9 weeks to <14 weeks gestational age
Q410000	Fetal blood loss, unspecified
7F26200	Mid trimester scan
951A.00	FP24 -FPC dispute fee due
4H3..00	Amniotic fluid microscopy
L162.13	Uraemia in pregnancy without hypertension
9598.00	GMS2 claim - HA contacted re mistake
L127z00	Pre-eclampsia or eclampsia + pre-existing hypertension NOS
L241000	Tumour of uterine body affecting obstetric care
L33z000	Umbilical cord complications NOS, unspecified
ZV22400	[V]Supervision of other normal pregnancy
7F06y00	Other specified operation on gravid uterus
2792.00	O/E - VE - os=0-1cm dilated
4H4..00	Amniotic fluid chemistry
62C..00	Deliv.booking - length of stay
7F29100	Cervical length scanning at 24 weeks
Z235100	Ovoid pregnant abdomen
Z22B500	Quintuplet pregnancy
Z271411	Technically poor CTG
7F27500	Rhesus detailed scan
L131200	Hyperemesis gravidarum with metabolic disturbance - not del
7F2Az00	Obstetric Doppler studies NOS
Lyu0100	[X]Other specified abnormal products of conception
L211z00	Triplet pregnancy NOS
273Z.00	O/E - presenting part posn.NOS
9Nk3.00	Seen in fetal medicine clinic
67AB.00	Preg. prescription exempt adv.
Z238.00	Observation of contraction state of uterus
9Nk3.11	Seen in foetal medicine clinic
9599.00	GMS2 claim - HA make up payment
L294z00	Grand multiparity NOS
2794.00	O/E - VE - os=2-4cm dilated
7F2A111	Doppler ultrasound scan of uterine artery
7F08.11	Therapeutic percutaneous operation twin-twin transfusion syn
Z262O00	Observation of placental function
9525.00	FP24A paid by FPC - checked
Z271B00	Poor baseline variability in fetal heart rate
Q101.11	Fetus small-for-dates (SFD) with signs of malnutrition
L263.11	Fetal acidosis
7F28y00	Other specified other non routine obstetric scan
7M0f300	Under 9 weeks gestational age
7M0f100	14 - 20 weeks gestational age
Q408z00	Intra-amniotic fetal infection NOS
952A.00	FP24A-FPC dispute fee due
7F27z00	Non routine obstetric scan for fetal observations NOS
2762.00	O/E - fetal heart < 40
Z236500	Gravid uterus deviated to right
7F07.11	Therap endoscopic operations for twin-twin transfusion syn
4448.00	Unconjugated oestriol level
L25z400	Maternal care for fetal abnormality and damage, unspecified
L258.00	Fetus with cardiovascular abnormality
7F26y00	Other specified routine obstetric scan
L236z00	Hydrocephalic disproportion NOS
L111000	Placenta praevia with haemorrhage unspecified
L284z00	Amniotic cavity infection NOS
L221000	Cephalic version NOS, unspecified
Z285C00	Obstetric conjugate of pelvis
Z265600	Pulsation umbilical cord not palp through intact membranes
L22z.00	Fetal malposition and malpresentation NOS
L33z200	Umbilical cord complications NOS with antenatal problem
Q408200	Eschericha coli intra-amniotic fetal infection
Z262I00	Placenta infarcted
L122300	Other pre-exist hypertension in preg/childb/puerp-not deliv
L411513	Vulval varices in pregnancy
L267600	Placental infarction
7F07000	Endoscop laser ablation placental arterio-venous anastomosis
68b0.00	Ant scr show iron defic/poss non signific alpha thalassaemia
65QF.00	Ant scr shows signifi carrier of sickle cell or thalassaemia
67AE.00	Folic acid advice in first trimester of pregnancy
L284.13	Membranitis
65QE.00	Ant scr shows non sig carrier of sickle cell or thalassaemia
7F03z00	Therapeutic percutaneous operation on fetus NOS
68b2.00	Ant scr shows homozygot/compound heterozygote of genetic sig
7F29000	Maternal cervical assessment
68b6.00	Antenatal screening declined
L121300	Renal hypertension in preg/childbirth/puerp - not delivered
L281200	Premature rupture of membranes with antenatal problem
68b7.00	Antenatal screening not indicated for partner
68b..00	Antenatal screening status
Lyu3C00	[X]Other placental disorders
7F03400	Percutaneous insertion of bladder drain to fetus
7F08200	Perc serial drain amnio fluid for twin-twin transfusion synd
7F07200	End serial drain amnio fluid for twin-twin transfusion synd
7M0fy00	Other specified gestational age
L280000	Oligohydramnios unspecified
68b1.00	Ant scr show homozygot/compound heterozygote no genetic sign
2796.00	O/E - VE - os=6-8cm dilated
7F01000	Fetoscopic examination of fetus and biopsy of fetus
Q007111	Fetal alcohol syndrome
Z271H00	Late fetal heart deceleration
Z264700	Change in quantity of liquor
9Ea0.00	Risk life pregnant woman greater than if pregnancy terminatd
7F27y00	OS non routine obstetric scan for fetal observations
L245000	Cervical incompetence unspecified
68b4.00	Repeat antenatal screening required
L25z300	Maternal care for suspect fetal abnormal and damage, unspec
27A..00	O/E - VE - descent of P. part
L240300	Cong abnorm uterus complicating a/n care, baby not delivered
L114.00	Antepartum haemorrhage with trauma
Q021200	Fetus/neonate affected by placental damage-amniocentesis
9523.00	FP24A claim checked by staff
L411511	Perineal varices in pregnancy
L13y200	Other pregnancy vomiting - not delivered
953F.00	Mat. anaesth. service claim
L28y200	Other amniotic/membrane problem with antenatal problem
9516.00	FP24 paid by FPC - underpaid
4443.00	Placental lactogen - HPL
68b5.00	Antenatal screening result pending
L267200	Other placental conditions with antenatal problem
27A..11	O/E - VE - descent of fetus
L230000	Disproportion - major pelvic abnormality unspecified
Z237100	Non-tender scar of gravid uterus
4H41.00	Amniotic fluid chemistry: NAD
L267z00	Other placental conditions NOS
68bA.00	Antenatal screening, at risk couple identified
L33y200	Other umbilical cord complications with antenatal problem
L168300	Fatigue during pregnancy - not delivered
7F08000	Percutan laser ablation placental arterio-venous anastomosis
2793.00	O/E - VE - os=1-2cm dilated
7F01.00	Diagnostic endoscopic examination of fetus using fetoscope
95B..00	Health in Pregnancy grant claim form issued
Z23D.00	Observation of measures of gravid uterus
7F27100	Detailed structural scan
4H62.00	Amnicator test negative
L25y.00	Fetus with other damage NEC
L22zz00	Fetal malposition and malpresentation NOS
L227z00	High head at term NOS
4H7..00	Amniotic fetal cell study
PK81.00	Fetal hydantoin syndrome
L413200	Antenatal deep vein thrombosis with antenatal complication
L255200	Fetus with drug damage with antenatal problem
68b3.00	Antenatal screening shows significant disorder
27A1.00	O/E - VE - P.P high
L284000	Amniotic cavity infection unspecified
L252z00	Fetus with hereditary disease NOS
68b9.00	Anten screen, partner tested and no genetic risk identified
L392000	Maternal hypotension syndrome unspecified
Lyu2400	[X]Other+unspcf genitourinary tract infection in pregnancy
2769.00	O/E - fetal heart > 200
L244311	Cystocele complicating antenatal care - baby not delivered
2781.00	O/E - VE - cervix not ripe
L132z00	Late pregnancy vomiting NOS
L236000	Hydrocephalic disproportion unspecified
L253300	Maternal care for damage to fetus from maternal rubella
27A2.00	O/E - VE - P.P in mid cavity
Q010.00	Fetus or neonate affected by maternal incompetent cervix
65QH.00	Ant scr carrier sig haemoglobinopathy inc sickle cel or thal
ZVu2700	[X]Antenat screen for malform using ultrason/oth physic meth
L251300	Maternal care for suspected chromosomal abnormality in fetus
L390300	Maternal distress with antenatal problem
4H2..00	Amniotic fluid appearance
4H2Z.00	Amniotic fluid appearance NOS
65QG.00	Antenatal screening shows non sig haemoglobinopathy carrier
7F03.00	Therapeutic percutaneous operations on fetus
Q410600	Fetal haemorrhage into mother's circulation
L26yz00	Other feto-placental problems NOS
Q410z00	Fetal blood loss NOS
7F08z00	Therapeut percutaneous operations twin-twin transfusion NOS
L08y.00	Failed attempted abortion with no mention of complication
62MZ.00	A/N sickle cell screen NOS
9394.00	Kick chart checked
L265200	Small-for-dates with antenatal problem
Lyu2A00	[X]Abnormal finding on antenatal screening of mother
389B.00	Assessment for termination of pregnancy
8CE0000	Gestational diabetes information leaflet given
8Hh3.00	Self referral to termination of pregnancy service
7F00.12	Therapeutic foetoscopic operations on fetus
6776100	Pre-termination counselling
L112300	Premature separation of placenta with coagulation defect
8CEM.00	Downs syndrome antenatal screening information leaflet given
7F2By00	Other specified obstetric ultrasound monitoring
7F2A011	Doppler ultrasound scan of umbilical artery
L260z00	Fetal-maternal haemorrhage NOS
Lyu3000	[X]Other multiple gestation
L176300	Other maternal viral dis.in pregnancy-baby not yet delivered
7F07z00	Therapeutic endoscopic operations twin-twin transfusion NOS
ZV28500	[V]Screening for isoimmunisation
9NkN.00	Seen in early pregnancy unit
Eu32B00	[X]Antenatal depression
8Hki.00	Referral to teenage pregnancy and parenting support service
7F2A211	Doppler ultrasound scan of middle cerebral artery of fetus
L115z00	Antepartum haemorrhage with uterine leiomyoma NOS
7F27400	Fetal ascites scan
62X5.00	Length of gestation at time of test
5392.11	Placentogr.-X-ray,plain
Z236.00	Observation of arrangement of gravid uterus
Lyu2600	[X]Other abnormal findings on antenatal screening of mother
7F2A100	Obstetric uterine artery Doppler
9Ea3.00	Lss 24 wk inv risk inj phys/men hlth ext child preg wom fmly
13Iv000	Unborn child subject to child protection plan
ZVu2600	[X]Other antenatal screening based on amniocentesis
4Q3N.00	Pregnancy associated plasma protein A level
L267A00	Placenta accreta
584G000	Nuchal translucency multiple of median
67AH.00	Education about toxoplasmosis precautions during pregnancy
L236200	Hydrocephalic disproportion with antenatal problem
Q102.00	Fetal malnutrition, no mention light or small for gest age
L260000	Fetal-maternal haemorrhage unspecified
Q410700	Fetal exsanguination
Z263D00	Intact membranes bulging through cervix
L143000	Premature labour without delivery
L2A2.00	Abnormal cytological finding on antenatal screen of mother
L250300	Maternal care for suspected CNS malformation in fetus
7F2Ay11	Other specified obstetric doppler ultrasound
L33y000	Other umbilical cord complications unspecified
Z236400	Gravid uterus deviated to left
L26z.00	Feto-placental problems NOS
9Ea1.00	To prevent grave permnt inj physic/mental health preg woman
L21z.00	Multiple pregnancy NOS
4445100	Placental function test abnormal
ZVu2300	[X]Supervision of other normal pregnancy
Z23B.00	Observation of measures of uterine contractions
9381.00	Obstetric coop card issued
67AJ.00	Provision of information about antenatal screening
L165300	Asymptomatic bacteriuria in pregnancy - not delivered
27D..00	Height of uterine fundus
7F08100	Percutaneous serial amnio drainage
Lyu3500	[X]Maternal care for other abnormalities of pelvic organs
L246000	Other cervical abnormality affecting obstetric care
Q410200	Fetal placental blood loss
7F2Ay00	Other specified obstetric Doppler studies
9517.00	FP24 paid by FPC - overpaid
L21zz00	Multiple pregnancy NOS
7F00y00	Other specified therapeutic fetoscopic operation
8IEc.00	Pertussis vaccination in pregnancy declined
9mK..00	Pertussis vaccination in pregnancy invitation
62NL.00	Antenatal 31 week examination
7F03600	Percutaneous laser ablation of lesion of fetus
62NJ.00	Antenatal 22 week examination
9kv..00	Pertussis vaccinatn progrme pregnant women enhan srvce admin
7F07y00	OS therapeutic endoscopic operations twin-twin transfusion
9mK0.00	Pertussis vaccination in pregnancy invitation first letter
9mK1.00	Pertussis vaccination in pregnancy invitation second letter
9mK2.00	Pertussis vaccination in pregnancy invitation third letter
4H4Z.00	Amniotic fluid chemistry NOS
7F25200	Cardiotocography
62NK.00	Antenatal 25 week examination
9Nif.00	Did not attend pertussis vaccination in pregnancy
L335000	Vasa praevia unspecified
L267400	Malformation of placenta
L08x.00	Failed attempted abortion with complication NOS
L266200	Large-for-dates with antenatal problem
B911.00	Neoplasm of uncertain behaviour of placenta
L165z00	Asymptomatic bacteriuria in pregnancy NOS
62c0.00	Crown rump length
62H2.00	A/N Rh screen offered
Q102.11	Fetal malnutrition without mention of 'light for dates'
62U7.00	Double test not wanted
Z236300	Pregnant uterus displaced laterally
L21y200	Other multiple pregnancy with antenatal problem
7F25211	Cardiotochogram
4H7Z.00	Amniotic fetal cell study NOS
67Iu.00	Advice on risk harm to fetus from maternl medictn dur preg
ZC2CB00	Dietary advice for gestational diabetes
Lyu3D00	[X]Other premature separation of placenta
L394000	Other complications of obstetric procedures unspecified
L267900	Morbidly adherent placenta
7F03y00	Other specified therapeutic percutaneous operation on fetus
63G0.00	Membranes complete
L245300	Cervical incompetence with antenatal problem
62U5.00	Double test wanted
62M1.00	A/N sickle screen not done
62L1.00	A/N blood gp screen not done
62U3.00	Double test not offered
62U2.00	Triple test not offered
9NFV.00	Health visitor antenatal visit
62K1.00	A/N syphilis screen not done
R14B.00	[D]Abnormal placental function test
62H5.00	Rh screen - 3rd preg. sample
L184300	Mental disorder during pregnancy - baby not yet delivered
L220000	Unstable lie unspecified
Z246500	Time vaginal show detected
7F2Az11	Obstetric doppler ultrasound NOS
Z235211	Globular pregnant abdomen
27AZ.00	O/E - VE - descent of P.P NOS
Z271G00	Early fetal heart deceleration
4H43.12	Sphingomyelin -amniotic
L26y.00	Other feto-placental problems
Z263100	Amniotc membranes normal
274..13	O/E - station of pres. part
939Z.00	Kick chart NOS
67It.00	Advice on risk harm to mother from maternl medictn dur preg
9OqCF00	Sickle cell repeat screening with further sample required
L230200	Disproportion - major pelvic abnormality with antenatal prob
Z285800	Shape of sacrosciatic notch
L415500	Other phlebitis in pregnancy
L114z00	Antepartum haemorrhage with trauma NOS
7F09y00	Other specified destruction of fetus
4H1Z.00	Amniotic fluid exam. gen. NOS
62X6.00	Gestation less than 28 weeks
Lyu3300	[X]Maternal care for other abnormalities of cervix
Lyu2000	[X]Other haemorrhage in early pregnancy
L080.00	Failed attempted abortion + genital tract/pelvic infection
L081.00	Failed attempted abortion + delayed or excessive haemorrhage
L082.00	Failed attempted abortion + damage to pelvic organs/tissues
L083.00	Failed attempted abortion with renal failure
L084.00	Failed attempted abortion with metabolic disorder
L085.00	Failed attempted abortion with shock
L086.00	Failed attempted abortion with embolism
