^ESCT1190324	Toxemia of pregnancy
^ESCTGE602707	Gestation greater than 24 weeks
^ESCTGH327978	GH - Gestational hypertension
^ESCTGM799060	GMS2 claim signed by patient
^ESCTGM799061	GMS2 claim completed by doctor
^ESCTGM799062	GMS2 claim checked by staff
^ESCTGM799063	GMS2 claim sent to health authority
^ESCTGM799064	GMS2 claim paid by health authority, checked
^ESCTGM799065	GMS2 claim paid by HA (health authority) - checked
^ESCTGM799069	GMS2 claim health authority contacted regarding mistake
^ESCTGM799070	GMS2 claim health authority make up payment
^ESCTGM799071	GMS2 claim health authority dispute fee due
^ESCTGR264773	Gravid uterus structure
^ESCTGR264774	Gravid uterus
^ESCTHA291325	Haemorrhage before 22 weeks gestation
^ESCTHA405956	Haemolysis-elevated liver enzymes-low platelet count syndrome
^ESCTHA479459	Haemorrhage from placenta praevia
^ESCTHA647604	Haemolytic disease of foetus OR newborn due to isoimmunisation
^ESCTHA647607	Haemolytic disease of the newborn
^ESCTHA647610	Haemolytic disease of foetus OR newborn
^ESCTHA647620	Haemolytic disease of fetus OR newborn due to isoimmunisation
^ESCTHD647609	HDN - Haemolytic disease of the newborn
^ESCTHD647617	HDN - Hemolytic disease of the newborn
^ESCTHE291323	Hemorrhage before 22 weeks gestation
^ESCTHE299730	Hemorrhage in early pregnancy, antepartum
^ESCTHE326164	Heart rate monitoring
^ESCTHE350904	Head not engaged
^ESCTHE350906	Head free
^ESCTHE405957	HELLP syndrome
^ESCTHE405959	HELLP - Syndrome of hemolysis, elevated liver enzymes and low platelet
^ESCTHE405960	Hemolysis-elevated liver enzymes-low platelet count syndrome
^ESCTHE479458	Hemorrhage from placenta previa
^ESCTHE597565	Hemorrhoids in pregnancy
^ESCTHE647605	Hemolytic disease of fetus OR newborn due to isoimmunization
^ESCTHE647618	Hemolytic disease of the newborn
^ESCTHE647619	Hemolytic disease of fetus OR newborn
^ESCTHF558618	HF - Hydrops fetalis
^ESCTHF558619	HF - Hydrops foetalis
^ESCTHI350908	High head
^ESCTHI454348	History of miscarriage
^ESCTHO600185	Home birth planned
^ESCTHR326317	HRP - High risk pregnancy
^ESCTHS799053	HSA1 therapeutic abortion green form
^ESCTHS799054	HSA1 form eligible
^ESCTHS799055	HSA1 form signed
^ESCTHS799058	HSA1 form refused to sign
^ESCTHS799889	HSA1 form status
^ESCTHU459828	Human placental lactogen abnormal
^ESCTHU837635	Human placental lactogen level
^ESCTHY272331	Hyperemesis arising during pregnancy
^ESCTHY272335	Hyperemesis in pregnancy
^ESCTHY274648	Hydrops fetalis due to isoimmunization
^ESCTHY274651	Hydrops foetalis due to isoimmunisation
^ESCTHY327980	Hypertension induced by pregnancy
^ESCTHY327981	Hypertension complicating pregnancy
^ESCTHY479752	Hydrocephalic fetus causing disproportion
^ESCTHY479753	Hydrocephalic foetus causing disproportion
^ESCTHY558620	Hydrops foetalis
^ESCTHY558622	Hydrops fetalis not due to isoimmunization
^ESCTHY558623	Hydrops fetalis not due to isoimmunisation
^ESCTHY558625	Hydrops foetalis not due to isoimmunisation
^ESCTID483856	Idiopathic hydrops foetalis
^ESCTIL272311	Illegitimate pregnancy, life event
^ESCTIM274649	Immune hydrops fetalis
^ESCTIM274650	Immune hydrops foetalis
^ESCTIN251571	Intrauterine sepsis of fetus
^ESCTIN251573	Intrauterine fetal sepsis
^ESCTIN251574	Intrauterine foetal sepsis
^ESCTIN251575	Intrauterine sepsis of foetus
^ESCTIN260708	Intrauterine cordocentesis
^ESCTIN266819	Infection of amniotic cavity
^ESCTIN268491	Intra-amniotic infection of foetus
^ESCTIN277592	Incompetence of cervix
^ESCTIN305604	Incision and drainage of amnion
^ESCTIN309393	Inlet contraction of pelvis
^ESCTIN323342	Intrauterine transfusion
^ESCTIN508691	Intrahepatic cholestasis of pregnancy
^ESCTIN510097	Insertion of Macdonald's cervical suture
^ESCTIN510100	Insertion of Shirodkar's cervical suture
^ESCTIN549953	Infant underweight for gestational age
^ESCTIN558771	Intrauterine malnutrition
^ESCTIN599351	Intrapartum cardiotochogram
^ESCTIN749819	Induced termination of pregnancy with complication
^ESCTIN749913	Induced termination of pregnancy without complication
^ESCTIR479653	Iron deficiency anemia of pregnancy
^ESCTIS647616	Isoimmunization of newborn
^ESCTIU285073	IUGR - Intrauterine growth retardation
^ESCTIU323344	IUT - Intrauterine transfusion
^ESCTKI597339	Kick chart status
^ESCTLA462482	Late onset antenatal care
^ESCTLA479843	Large for gestation age fetus
^ESCTLA479849	Large for gestational dates
^ESCTLA479852	Large for gestation age foetus
^ESCTLA479855	Large-for-dates foetus
^ESCTLE365527	Leakage of fetal blood into maternal circulation
^ESCTLE365539	Leakage of foetal blood into maternal circulation
^ESCTLE628861	Length of gestation - finding
^ESCTLE731523	Length of gestation at time of procedure
^ESCTLF479848	LFD - Fetus large for dates
^ESCTLF479853	LFD - Foetus large for dates
^ESCTLG479846	LGA - Large for gestational age fetus
^ESCTLG479854	LGA - Large for gestational age foetus
^ESCTLI516154	Liquor volume US scan
^ESCTLI549951	Light for gestational dates
^ESCTLI549952	Light for dates
^ESCTLO262415	Low implantation of placenta without hemorrhage
^ESCTLO262416	Low implantation of placenta without haemorrhage
^ESCTLO558423	Low fetal movement
^ESCTLO558427	Low foetal movement
^ESCTMA268608	Maternal gestational diabetes mellitus
^ESCTMA322210	Maternal obesity without hypertension
^ESCTMA479603	Maternal gonorrhea during pregnancy - baby not yet delivered
^ESCTMA479648	Maternal anaemia in pregnancy, before birth
^ESCTMA479649	Maternal anemia in pregnancy, before birth
^ESCTMA510095	Macdonald's cervical cerclage
^ESCTMA510098	Macdonald cervical cerclage
^ESCTMA510539	MAP - Morbidly adherent placenta
^ESCTMA551681	Maternity benefits
^ESCTMA551721	Malposition and malpresentation of foetus
^ESCTMA798611	Maternity booking before 16th week
^ESCTMA798614	Maternity booking 17-30 weeks
^ESCTMA798651	Maternity anaesthetic service claim
^ESCTMA798660	Mat B1 - certificate of expected confinement
^ESCTMA798662	Mat B1 certificate due
^ESCTMA798670	Mat B2 - certificate of confinement
^ESCTMA799052	Maternity booking after 31 weeks
^ESCTMC510096	McDonald operation for encirclement suture of cervix
^ESCTME363926	Meadow's syndrome
^ESCTME526715	Meconium stained amniotic fluid
^ESCTME526716	Meconium staining
^ESCTMI281046	Mild hyperemesis before end of 22 weeks of gestation
^ESCTMI281047	Mild hyperemesis in pregnancy
^ESCTMI285070	Microsomic baby
^ESCTMI285071	Microsomia
^ESCTMI316220	Mild pre-eclamptic toxemia
^ESCTMI316221	Mild pre-eclamptic toxaemia
^ESCTMI316224	Mild proteinuric hypertension of pregnancy
^ESCTMO510520	Moderate proteinuric hypertension of pregnancy
^ESCTNE404889	Neoplasm of uncertain behavior of placenta
^ESCTNE812619	Newborn blood spot screening programme, sickle cell repeat screening with further sample required
^ESCTNI837125	Nitrazamine test
^ESCTNO445195	Nonreassuring fetal status
^ESCTNO462506	No antenatal care
^ESCTNO462510	No antenatal care: not known pregnant
^ESCTNO462511	No antenatal care: subject unaware of pregnancy
^ESCTNO558624	Non-immune hydrops foetalis
^ESCTNU454344	Number of pregnancies
^ESCTNU826376	Nuchal translucency MoM (multiple of median)
^ESCTOB295754	Observation of arrangement of fetus
^ESCTOB295756	Observation of arrangement of foetus
^ESCTOB353674	Oblique presentation
^ESCTOB461677	Obstetric X-ray - foetus
^ESCTOB473087	Obstetric co-op card
^ESCTOB473088	Obstetric co-op card issued
^ESCTOB473091	Obstetric co-op card updated
^ESCTOB508689	Obstetric cholestasis
^ESCTOB550497	Obstetric US scan
^ESCTOB553240	Obstetric investigation
^ESCTOB597338	Obstetric co-op card status
^ESCTOE456471	O/E -foetal presentation unsure
^ESCTOE456507	O/E - foetal movements
^ESCTOE456511	O/E - no foetal movements
^ESCTOE456515	O/E - foetal movements seen
^ESCTOE456518	O/E - foetal movements felt
^ESCTOE456523	O/E - foetus very active
^ESCTOE456524	O/E - fetal movement diminished
^ESCTOE456530	O/E - foetal heart heard
^ESCTOE456533	O/E - foetal heart not heard
^ESCTOE456537	O/E - foetal heart < 40
^ESCTOE456541	O/E - foetal heart 40-80
^ESCTOE456546	O/E - foetal heart 80-100
^ESCTOE456550	O/E - foetal heart 100-120
^ESCTOE456554	O/E - foetal heart 120-160
^ESCTOE456558	O/E - foetal heart 160-180
^ESCTOE456559	O/E - foetal heart 180-200
^ESCTOE456565	O/E - foetal heart > 200
^ESCTOE456582	O/E - vaginal examination - cervical ripeness
^ESCTOE456593	O/E - vaginal examination - os 0-1 cm dilated
^ESCTOE456596	O/E - vaginal examination - os 1-2cm dilated
^ESCTOE456599	O/E - vaginal examination - os 2-4 cm dilated
^ESCTOE456605	O/E - vaginal examination - os 6-8cm dilated
^ESCTOE550877	O/E - foetal presentation
^ESCTOE550887	O/E - VE - descent of foetus
^ESCTOE550888	O/E - vaginal examination - descent of presenting part
^ESCTOE557942	O/E - lie of foetus
^ESCTOE601532	O/E - viable foetus
^ESCTON456284	On examination - vaginal examination - gravid uterus
^ESCTON456437	On examination - gravid uterus size
^ESCTON456439	On examination - fundus 12-16 week size
^ESCTON456441	On examination - fundus 16-20 week size
^ESCTON456443	On examination - fundus 20-24 week size
^ESCTON456445	On examination - fundus 24-28 week size
^ESCTON456448	On examination - fundus 28-32 week size
^ESCTON456450	On examination - fundus 32-34 week size
^ESCTON456452	On examination - fundus 34-36 week size
^ESCTON456454	On examination - fundus 36-38 week size
^ESCTON456456	On examination - fundus 38 weeks-term size
^ESCTON456458	On examination - fundus = term size
^ESCTON456460	On examination - fundal size = dates
^ESCTON456462	On examination - vertex presentation
^ESCTON456464	On examination - breech presentation
^ESCTON456466	On examination - oblique lie
^ESCTON456468	On examination - transverse lie
^ESCTON456470	On examination - fetal presentation unsure
^ESCTON456472	On examination - foetal presentation unsure
^ESCTON456475	On examination - presenting part position
^ESCTON456478	On examination - presenting part left occipitoanterior
^ESCTON456481	On examination - presenting right occipitoanterior
^ESCTON456484	On examination - presenting part left occipitoposterior
^ESCTON456485	On examination - presenting part LOP
^ESCTON456488	On examination - presenting part right occipitoposterior
^ESCTON456491	On examination - presenting part left sacroanterior
^ESCTON456494	On examination - presenting part right sacroanterior
^ESCTON456496	On examination - presenting part free-5/5
^ESCTON456498	On examination - presenting part free-4/5
^ESCTON456500	On examination - partial engagement - 3/5
^ESCTON456502	On examination - partial engagement - 2/5
^ESCTON456504	On examination - presentation engaged-1/5
^ESCTON456506	On examination - fetal movements
^ESCTON456508	On examination - foetal movements
^ESCTON456510	On examination - no fetal movements
^ESCTON456512	On examination - no foetal movements
^ESCTON456514	On examination - fetal movements seen
^ESCTON456517	On examination - fetal movements felt
^ESCTON456519	On examination - foetal movements felt
^ESCTON456521	On examination - fetus very active
^ESCTON456522	On examination - foetus very active
^ESCTON456526	On examination - fetal movement diminished
^ESCTON456528	On examination - fetal heart heard
^ESCTON456529	On examination - foetal heart heard
^ESCTON456532	On examination - fetal heart not heard
^ESCTON456534	On examination - foetal heart not heard
^ESCTON456536	On examination - fetal heart < 40
^ESCTON456538	On examination - foetal heart < 40
^ESCTON456540	On examination - fetal heart 40-80
^ESCTON456542	On examination - foetal heart 40-80
^ESCTON456544	On examination - fetal heart 80-100
^ESCTON456545	On examination - foetal heart 80-100
^ESCTON456548	On examination - fetal heart 100-120
^ESCTON456549	On examination - foetal heart 100-120
^ESCTON456552	On examination - fetal heart 120-160
^ESCTON456553	On examination - foetal heart 120-160
^ESCTON456556	On examination - fetal heart 160-180
^ESCTON456557	On examination - foetal heart 160-180
^ESCTON456561	On examination - fetal heart 180-200
^ESCTON456562	On examination - foetal heart 180-200
^ESCTON456564	On examination - fetal heart > 200
^ESCTON456566	On examination - foetal heart > 200
^ESCTON456576	On examination - vaginal examination for pelvic assessment
^ESCTON456577	On examination - VE for pelvic assessment
^ESCTON456579	On examination - vaginal examination - pelvis adequate
^ESCTON456581	On examination - vaginal examination - pelvis not adequate
^ESCTON456584	On examination - vaginal examination - cervical ripeness
^ESCTON456586	On examination - vaginal examination - cervix not ripe
^ESCTON456588	On examination - vaginal examination - cervix ripe
^ESCTON456590	On examination - vaginal examination - cervical dilatation
^ESCTON456592	On examination - vaginal examination - cervical os closed
^ESCTON456595	On examination - vaginal examination - os 0-1 cm dilated
^ESCTON456598	On examination - vaginal examination - os 1-2cm dilated
^ESCTON456601	On examination - vaginal examination - os 2-4 cm dilated
^ESCTON456607	On examination - vaginal examination - os 6-8cm dilated
^ESCTON456614	On examination - vaginal examination - presenting part high
^ESCTON456616	On examination - vaginal examination - presenting part in mid cavity
^ESCTON550876	On examination - fetal presentation
^ESCTON550878	On examination - foetal presentation
^ESCTON550880	On examination - multiple presentation
^ESCTON550884	On examination - vaginal examination - descent of presenting part
^ESCTON557940	On examination - lie of fetus
^ESCTON557941	On examination - lie of foetus
^ESCTON557943	On examination - triplet presentation
^ESCTON557946	On examination - twin presentation
^ESCTON557948	On examination - presenting part free - not engaged
^ESCTON557949	On examination - PP free - not engaged
^ESCTON557951	On examination - presenting part engaged
^ESCTON601530	On examination - viable fetus
^ESCTON601531	On examination - viable foetus
^ESCTOP646224	Operation on foetus
^ESCTOP646225	Operation on fetus
^ESCTOR479675	Orthopedic disorder during pregnancy - baby not yet delivered
^ESCTOS337416	Osteopedion
^ESCTOU362562	Outlet contraction of pelvis
^ESCTPA302589	Painless false uterine contractions
^ESCTPE260710	Percutaneous fetal blood sampling
^ESCTPE260713	Percutaneous foetal blood sampling
^ESCTPE272332	Persistent AND/OR vicious vomiting arising during pregnancy
^ESCTPE309394	Pelvic inlet contraction
^ESCTPE316222	PET - Mild pre-eclamptic toxaemia
^ESCTPE316223	PET - Mild pre-eclamptic toxemia
^ESCTPE323345	Percutaneous fetal transfusion
^ESCTPE323346	Percutaneous foetal transfusion
^ESCTPE325581	PET - Severe pre-eclamptic toxaemia
^ESCTPE325582	PET - Severe pre-eclamptic toxemia
^ESCTPE362563	Pelvic outlet contraction
^ESCTPE467631	Percutaneous fetal procedure
^ESCTPE467632	Percutaneous operation on fetus
^ESCTPE467633	Percutaneous foetal procedure
^ESCTPE467634	Percutaneous insertion of vesicoamniotic shunt
^ESCTPE467636	Percutaneous insertion of pleuroamniotic shunt
^ESCTPE467637	Percutaneous insertion of thoracoamniotic shunt
^ESCTPE557193	Perinatal care
^ESCTPE660070	PET - Pre-eclamptic toxaemia
^ESCTPE660072	PET - Pre-eclamptic toxemia
^ESCTPE660074	PE - Pre-eclampsia
^ESCTPE807125	Percutaneous serial drainage of amniotic fluid
^ESCTPI327982	PIH - Pregnancy-induced hypertension
^ESCTPL262413	Placenta previa without hemorrhage
^ESCTPL262414	Placenta previa found during pregnancy without hemorrhage
^ESCTPL262417	Placenta praevia found during pregnancy without haemorrhage
^ESCTPL303215	Placenta accreta without hemorrhage
^ESCTPL309333	Placenta previa
^ESCTPL377001	Placental structure
^ESCTPL458548	Placental localization
^ESCTPL462430	Planned pregnancy
^ESCTPL479451	Placenta previa without hemorrhage - not delivered
^ESCTPL479457	Placenta previa with hemorrhage
^ESCTPL479463	Placenta previa with hemorrhage - not delivered
^ESCTPL479467	Placental abruption with coagulation defect
^ESCTPL837636	Placental lactogen level
^ESCTPO285069	Poor fetal growth state
^ESCTPO285074	Poor fetal growth
^ESCTPO285076	Poor foetal growth state
^ESCTPO285077	Poor foetal growth
^ESCTPO397830	Post term pregnancy
^ESCTPO397832	Post-dates
^ESCTPO462406	Postcoital OCP failure
^ESCTPO462407	Postcoital oral contraceptive pill failure
^ESCTPO462408	Postcoital IUCD failure
^ESCTPO462409	Postcoital intrauterine contraceptive device failure
^ESCTPO510218	Postpartum obstetric operation
^ESCTPO510219	Post-delivery obstetric operation
^ESCTPO558769	Poor fetal nutrition
^ESCTPO558773	Poor foetal nutrition
^ESCTPP309334	PP - Placenta praevia
^ESCTPP309335	PP - Placenta previa
^ESCTPR260168	Premature labor
^ESCTPR260169	Premature onset of labour
^ESCTPR260170	Preterm labour
^ESCTPR260171	Preterm labor
^ESCTPR260172	Premature onset of labor
^ESCTPR278769	Prenatal examination and care of mother
^ESCTPR321241	PROM - Premature rupture of membranes
^ESCTPR375887	Pregnancy not delivered
^ESCTPR389860	Pre-existing hypertension in obstetric context
^ESCTPR389861	Pre-existing hypertension complicating pregnancy
^ESCTPR397831	Prolonged gestation
^ESCTPR430107	Pregnancy finding
^ESCTPR430108	Pregnancy observations
^ESCTPR462097	Presentation US scan
^ESCTPR462425	Pregnant - vaginal examination confirms
^ESCTPR462427	Pregnant - on abdominal palpation
^ESCTPR464014	Pregnancy diet education
^ESCTPR464017	Pregnancy smoking education
^ESCTPR464020	Pregnancy exercise education
^ESCTPR464022	Pregnancy alcohol education
^ESCTPR464026	Pregnancy dental education
^ESCTPR464035	Pregnancy prescription exemption education
^ESCTPR479578	Pregnancy-related glycosuria
^ESCTPR479584	Pregnancy-induced oedema and proteinuria without hypertension
^ESCTPR479585	Pregnancy-induced edema and proteinuria without hypertension
^ESCTPR479697	Pregnancy risk
^ESCTPR479870	Premature rupture of membranes, labor delayed by therapy
^ESCTPR493933	Pre-termination counseling
^ESCTPR510545	Pregnancy with isoimmunisation
^ESCTPR510546	Pregnancy with isoimmunization
^ESCTPR513043	Pruritus of pregnancy
^ESCTPR513044	Pruritus gravidarum
^ESCTPR572876	Premature/false labour
^ESCTPR572877	Premature/false labor
^ESCTPR572878	Premature or threatened labor
^ESCTPR645866	Pregnancy operation
^ESCTPR660069	Pre-eclamptic toxaemia
^ESCTPR660073	Pre-eclamptic toxemia
^ESCTPR687021	Premature detachment of normally implanted placenta
^ESCTPR687022	Premature detachment of placenta
^ESCTPR687023	Premature separation of placenta
^ESCTPR702806	Prenatal care
^ESCTPR798685	Prescription exempt form-preg
^ESCTPU260711	PUBS - Percutaneous umbilical blood sampling
^ESCTQU462435	Questionable if pregnancy was planned
^ESCTQU526555	Quickening, function
^ESCTRE346755	Reduced liquor volume
^ESCTRE472499	Referral for counselling for termination of pregnancy
^ESCTRE472501	Referral for counseling for termination of pregnancy
^ESCTRE479904	Retained IUCD (intrauterine contraceptive device) in pregnancy
^ESCTRE508692	Recurrent jaundice of pregnancy
^ESCTRE508693	Recurrent intrahepatic cholestasis of pregnancy
^ESCTRE526591	Relation of fetal size to dates
^ESCTRE526592	Relation of foetal size to dates
^ESCTRE541970	Removal of Shirodkar suture from cervix
^ESCTRE541971	Removal of cerclage material from cervix
^ESCTRE541972	Removal of cerclage from cervix
^ESCTRE558422	Reduced foetal movement
^ESCTRH462579	Rhesus screening - 2nd pregnancy sample
^ESCTRH462580	Rhesus screening - Second pregnancy sample
^ESCTRH462581	Rhesus screening - 3rd pregnancy sample
^ESCTRH462582	Rhesus screening - third pregnancy sample
^ESCTRH479817	Rhesus isoimmunization with antenatal problem
^ESCTRI508690	RICP
^ESCTRU321239	Rupture of amniotic sac under 24 hours before onset of labor
^ESCTRU321240	Rupture of amniotic sac under 24 hours before onset of labour
^ESCTRU321242	Rupture of membranes prior to onset of labor
^ESCTSC346756	Scanty liquor
^ESCTSE325579	Severe pre-eclamptic toxemia
^ESCTSE325580	Severe pre-eclamptic toxaemia
^ESCTSE325583	Severe proteinuric hypertension of pregnancy
^ESCTSE723944	Seen in maternal fetal medicine (MFM) clinic
^ESCTSE723945	Seen in maternal foetal medicine (MFM) clinic
^ESCTSF549947	SFD - Fetus small-for-dates
^ESCTSF549958	SFD - Foetus small-for-dates
^ESCTSG549948	SGA - Small for gestational age fetus
^ESCTSG549957	SGA - Small for gestational age foetus
^ESCTSH510101	Shirodkar operation on cervix
^ESCTSH510102	Shirodkar cervical cerclage
^ESCTSI809612	Sickle cell not screened for or screening incomplete
^ESCTSL279333	Slow foetal growth AND/OR foetal malnutrition
^ESCTSM464019	Smoking in pregnancy education
^ESCTSM549955	Small for gestational age
^ESCTSP479535	Spurious labor
^ESCTSP479536	Spurious labour
^ESCTST365230	Structure of amnion
^ESCTSU394467	Supine hypotensive syndrome
^ESCTSU510392	Suspect foetal spina bifida
^ESCTSU510394	Suspect foetal hydrocephaly
^ESCTSU549950	Subnormal birth weight
^ESCTSU599234	Suspected macroscopic foetus
^ESCTSU599236	Suspected fetal macrosomia
^ESCTSU599237	Suspected foetal macrosomia
^ESCTSU688133	Suspect trisomy 21 foetus
^ESCTSU749760	Suspected foetal anencephaly
^ESCTSU749764	Suspected foetal damage from maternal alcohol
^ESCTSU749766	Suspected foetal damage from maternal toxoplasmosis
^ESCTSU786480	Suspected cystic fibrosis in fetus
^ESCTSU786481	Suspected cystic fibrosis in foetus
^ESCTSY462404	Symptothermal contraception failure
^ESCTSY510527	Symptomatic disorders in pregnancy
^ESCTTE266518	Termination counseling
^ESCTTE749912	Termination of pregnancy without complication
^ESCTTH337673	Threatened abortion (antepartum)
^ESCTTH467621	Therapeutic foetoscopic operations on foetus
^ESCTTH467622	Therapeutic endoscopic operations on foetus
^ESCTTH467643	Therapeutic drainage of amniotic fluid
^ESCTTH479538	Threatened premature labor - not delivered
^ESCTTO266517	TOP counseling
^ESCTTO274425	Toxaemia of pregnancy
^ESCTTO275291	Toxemia with convulsions
^ESCTTO275294	Toxaemia with convulsions
^ESCTTO329952	TOP - Failed attempted termination of pregnancy
^ESCTTO510561	Total breech delivery
^ESCTTR365540	Transplacental fetomaternal haemorrhage
^ESCTTR365541	Transplacental fetomaternal hemorrhage
^ESCTTR368999	Transverse presentation
^ESCTTR711387	Transvaginal obstetric ultrasonography
^ESCTTU549913	Tumor of uterine body affecting obstetric care
^ESCTTU549919	Tumor of uterine body complicating antenatal care, baby not yet delivered
^ESCTUL462083	Ultrasound obstetric scan requested
^ESCTUL462085	Ultrasound obstetric scan normal
^ESCTUL462087	Ultrasound obstetric scan abnormal
^ESCTUL462089	Ultrasound scan for fetal cephalometry
^ESCTUL462090	Ultrasound scan for foetal cephalometry
^ESCTUL462093	Ultrasound scan for fetal maturity
^ESCTUL462095	Ultrasound scan for foetal maturity
^ESCTUL462096	Ultrasound scan for foetal presentation
^ESCTUL462098	Ultrasound scan for fetal presentation
^ESCTUL462102	Ultrasound scan for fetal viability
^ESCTUL462104	Ultrasound scan for foetal viability
^ESCTUL516142	Ultrasonography for antepartum monitoring of fetus
^ESCTUL516145	Ultrasound scan of fetus
^ESCTUL516146	Ultrasonography for antepartum monitoring of foetus
^ESCTUL516148	Ultrasound scan of foetus
^ESCTUL602426	Ultrasonic doppler for foetal heart sounds
^ESCTUL634103	Ultrasound scan - multiple fetus
^ESCTUL634104	Ultrasound scan - multiple foetus
^ESCTUL676750	Ultrasound scan for fetal nuchal translucency
^ESCTUL691568	Ultrasound obstetric doppler
^ESCTUN462433	Unplanned pregnancy unknown if child is wanted
^ESCTUR510462	Uremia in pregnancy without hypertension
^ESCTUS390826	US placentography
^ESCTUS462088	US scan - fetal cephalometry
^ESCTUS462091	US scan - foetal cephalometry
^ESCTUS462094	US scan - foetal maturity
^ESCTUS516144	US scan of fetus
^ESCTUS516147	US scan of foetus
^ESCTUS550498	US scan obstetric
^ESCTUS552470	US scan - fetal abnormality
^ESCTUS552473	US scan - foetal abnormality
^ESCTUT350950	Uteroplacental apoplexy
^ESCTVA303989	Variation of placenta form
^ESCTVA379564	Vasa previa
^ESCTVA550520	Vaginal show
^ESCTVE375668	Velamentous insertion of umbilical cord
^ESCTVE375669	Velamentous placenta
^ESCTVE549974	Venous complication of pregnancy and/or the puerperium
^ESCTVE556026	Venereal disease in pregnancy
^ESCTVO396832	Vomiting as reason for care in pregnancy
EMISHGT007	U-S scan fetal BPD
EMISHGT008	U-S scan fetal head circumference
EMISHGT009	U-S scan fetal abdominal circumference
EMISHGT010	U-S scan fetal length
EMISHGT011	Placenta Praevia - major (across internal os)
EMISHGT012	Placenta Praevia - minor (not across os)
EMISNQAD49	Advice about antenatal screening
EMISNQAN14	Antenatal sickle cell screening test offered
EMISNQAN25	Antenatal depression
EMISNQAN27	Antenatal blood group antibody screen
EMISNQAN30	A/N care: no social risk
EMISNQAN31	A/N care: no obstetric risk
EMISNQAN33	A/N 22 week examination
EMISNQAN34	A/N 25 week examination
EMISNQAN35	A/N 31 week examination
EMISNQAN63	Antenatal examination - 1st contact with healthcare professional
EMISNQCA973	Cardiotocogram (CTG)
EMISNQDN17	DNA pertussis vaccination in pregnancy-enhanced serv admin
EMISNQED4	Education about listeria precautions during pregnancy
EMISNQED5	Education about toxoplasmosis precautions during pregnancy
EMISNQFE2	Feeding intention: mixed
EMISNQFE7	Fetus with cardiovascular abnormality
EMISNQHE182	Health visitor antenatal visit: 32-34 weeks
EMISNQHE79	Health visitor antenatal visit
EMISNQOB3	Obstetric US scan for cervical length
EMISNQPE42	Pertussis vaccination of pregnant women programme - ESA
EMISNQPE43	Pertussis vaccination in pregnancy declined-enhanced serv admin
EMISNQPE44	Pertussis vaccination in pregnancy invitation-enhnced serv admin
EMISNQPE45	Pertussis vaccination in pregnancy-enhanced serv admin
EMISNQPO22	Post-termination counselling
EMISNQPR59	Pre-termination counselling
EMISNQSE22	Seen in fetal medicine clinic
EMISNQSE32	Seen in early pregnancy unit
EMISNQTR10	Transvaginal obstetric US scan
EMISNQTR11	Transvaginal obstetric US scan for cervical length
EMISNQTR12	Transvaginal nuchal ultrasound scan
EMISNQUL6	Ultrasound scan for fetal growth
EMISNQUL9	Ultrasonography for antepartum monitoring of multiple fetus
ESCTCO3	Concealed pregnancy
ESCTME2	Membranes complete
