13H7.	Pregnancy unwanted
L1703	Maternal syphilis during pregnancy - baby not yet delivered
L1713	Maternal gonorrhoea during pregnancy - baby not yet delivered
L172.	Other maternal venereal diseases during pregnancy, childbirth and the puerperium
L1720	Other maternal venereal disease, unspecified whether during pregnancy or the puerperium
L1721	Other maternal venereal disease in pregnancy - baby delivered
L1722	Other maternal venereal disease in the puerperium - baby delivered during current episode of care
L1723	Other maternal venereal disease during pregnancy - baby not yet delivered
L1724	Other maternal venereal disease during the puerperium - baby delivered during previous episode of care
L175.	Rubella contact in pregnancy
L1753	Maternal rubella during pregnancy - baby not yet delivered
L176.	Other maternal viral disease during pregnancy, childbirth and the puerperium
L1760	Other maternal viral disease, unspecified whether during pregnancy or the puerperium
L1761	Other maternal viral disease during pregnancy - baby delivered
L1762	Other maternal viral disease in the puerperium - baby delivered during current episode of care
L1763	Other maternal viral disease during pregnancy - baby not yet delivered
L1764	Other maternal viral disease in the puerperium - baby delivered during previous episode of care
L176z	Other maternal viral disease during pregnancy, childbirth or the puerperium NOS
L177.	Infections of bladder in pregnancy
L178.	Infections of urethra in pregnancy
L18..	Other medical condition during pregnancy, childbirth and the puerperium
L1803	Diabetes mellitus during pregnancy - baby not yet delivered
L1808	Diabetes mellitus arising in pregnancy
L1808	GDM - Gestational diabetes mellitus
L1808	Gestational diabetes
L1808	Gestational diabetes mellitus
L1813	Thyroid dysfunction during pregnancy - baby not yet delivered
L1823	Anaemia during pregnancy - baby not yet delivered
L1825	Iron deficiency anaemia of pregnancy
L183.	Pregnancy and drug dependence
L1833	Drug dependence during pregnancy - baby not yet delivered
L1843	Mental disorder during pregnancy - baby not yet delivered
L185.	Congenital heart disease in pregnancy
L186.	Heart disease during pregnancy
L186.	Other CVS diseases in pregnancy, childbirth and the puerperium (& [heart disease])
L1873	Orthopaedic disorder during pregnancy - baby not yet delivered
L1883	Abnormal glucose tolerance test during pregnancy - baby not yet delivered
L18z.	Medical condition NOS during pregnancy, childbirth and the puerperium
L18z0	Medical condition NOS, unspecified whether during pregnancy or the puerperium
L18z1	Medical condition NOS during pregnancy - baby delivered
L18z2	Medical condition NOS, in the puerperium - baby delivered during current episode of care
L18z3	Medical condition NOS, during pregnancy - baby not yet delivered
L18z4	Medical condition NOS, in the puerperium - baby delivered during previous episode of care
L18zz	Medical condition NOS, during pregnancy, childbirth or the puerperium NOS
L19..	Complications specific to multiple gestation
L191.	Continuing pregnancy after abortion of one fetus or more
L192.	Continuing pregnancy after intrauterine death one fetus or more
L2...	Risk factors in pregnancy
L21..	Multiple gestation
L210.	Twin pregnancy
L2100	Twin pregnancy unspecified
L2102	Twin pregnancy with antenatal problem
L210z	Twin pregnancy NOS
L211.	Triplet pregnancy
L2110	Triplet pregnancy unspecified
L211z	Triplet pregnancy NOS
L212.	Quadruplet pregnancy
L2120	Quadruplet pregnancy unspecified
L2122	Quadruplet pregnancy with antenatal problem
L212z	Quadruplet pregnancy NOS
L21y.	Other multiple pregnancy
L21y0	Other multiple pregnancy unspecified
L21y2	Other multiple pregnancy with antenatal problem
L21yz	Other multiple pregnancy NOS
L21z.	Multiple pregnancy NOS
L21z0	Multiple pregnancy NOS, unspecified
L21z2	Multiple pregnancy NOS with antenatal problem
L22..	Malposition and malpresentation of fetus
L220.	Baby keeps changing position
L2200	Unstable lie unspecified
L220z	Unstable lie NOS
L221.	Cephalic version NOS
L2210	Cephalic version NOS, unspecified
L2211	Cephalic version NOS - delivered
L2212	Cephalic version NOS with antenatal problem
L222.	Assisted breech delivery
L2220	Breech presentation unspecified
L2222	Breech presentation with antenatal problem
L222z	Breech presentation NOS
L223.	Oblique lie
L2230	Oblique lie unspecified
L223z	Oblique lie NOS
L224.	Transverse lie
L2240	Transverse lie unspecified
L2242	Transverse lie with antenatal problem
L224z	(Transverse lie NOS) or (shoulder presentation)
L227.	High head at term
L2270	High head at term unspecified
L227z	High head at term NOS
L228.	Multiple pregnancy with malpresentation
L2280	Multiple pregnancy with malpresentation unspecified
L228z	Multiple pregnancy with malpresentation NOS
L22y.	Compound presentation
L22y0	Other fetal malposition and malpresentation unspecified
L22y1	Other fetal malposition and malpresentation - delivered
L22y2	Other fetal malposition and malpresentation with antenatal problem
L22yz	Other fetal malposition and malpresentation NOS
L22z.	Fetal malposition and malpresentation NOS
L22z0	Fetal malposition and malpresentation NOS, unspecified
L22z1	Fetal malposition and malpresentation NOS - delivered
L22z2	Fetal malposition and malpresentation NOS with antenatal problem
L23..	Cephalopelvic disproportion
L230.	Disproportion - major pelvic abnormality
L2300	Disproportion - major pelvic abnormality unspecified
L2302	Disproportion - major pelvic abnormality with antenatal problem
L230z	Disproportion - major pelvic abnormality NOS
L231.	Contracted pelvis
L2310	Generally contracted pelvis unspecified
L231z	Generally contracted pelvis NOS
L232.	Pelvic inlet contraction
L2320	Inlet pelvic contraction unspecified
L232z	Inlet pelvic contraction NOS
L233.	Pelvic outlet contraction
L2330	Outlet pelvic contraction unspecified
L233z	Outlet pelvic contraction NOS
L234.	Mixed feto-pelvic disproportion
L2340	Mixed feto-pelvic disproportion unspecified
L234z	Mixed feto-pelvic disproportion NOS
L235.	Large fetus causing disproportion
L2350	Large fetus causing disproportion unspecified
L235z	Large fetus causing disproportion NOS
L236.	Hydrocephalic disproportion
L2360	Hydrocephalic disproportion unspecified
L2362	Hydrocephalic disproportion with antenatal problem
L236z	Hydrocephalic disproportion NOS
L237.	Conjoined twins causing disproportion
L237.	Other fetal abnormality causing disproportion
L2370	Other fetal abnormality causing disproportion unspecified
L2371	Other fetal abnormality causing disproportion - delivered
L2372	Other fetal abnormality causing disproportion with antenatal problem
L237z	Other fetal abnormality causing disproportion NOS
L23y.	Other disproportion
L23y0	Other disproportion unspecified
L23y1	Other disproportion - delivered
L23y2	Other disproportion with antenatal problem
L23yz	Other disproportion NOS
L23z.	Disproportion NOS
L23z0	Disproportion NOS, unspecified
L23z1	Disproportion NOS - delivered
L23z2	Disproportion NOS with antenatal problem
L2400	Bicornuate uterus affecting obstetric care
L2400	Congenital abnormality of uterus affecting obstetric care
L2403	Bicornuate uterus complicating antenatal care, baby not yet delivered
L2403	Congenital abnormality of uterus complicating antenatal care, baby not yet delivered
L2410	Tumour of uterine body affecting obstetric care
L2410	Uterine fibroid affecting obstetric care
L2413	Tumour of uterine body complicating antenatal care, baby not yet delivered
L2413	Uterine fibroid complicating antenatal care, baby not yet delivered
L243.	Retroverted incarcerated gravid uterus
L2430	Retroverted incarcerated gravid uterus unspecified
L243z	Retroverted incarcerated gravid uterus NOS
L244.	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
L2440	Cystocele affecting obstetric care
L2440	Other uterine or pelvic floor abnormality affecting obstetric care
L2442	Other uterine or pelvic floor abnormality - delivered with postpartum complication
L2443	Cystocele complicating antenatal care - baby not yet delivered
L2443	Other uterine or pelvic floor abnormality - baby not yet delivered
L2443	Rectocele complicating antenatal care - baby not yet delivered
L2444	Other uterine or pelvic floor abnormality complicating postpartum care - baby delivered during previous episode of care
L244z	Other uterine or pelvic floor abnormality (& [cystocele] or [rectocele]) in pregnancy, childbirth or the puerperium NOS
L245.	Cervical incompetence
L245.	Shirodkar suture present
L2450	Cervical incompetence unspecified
L2453	Cervical incompetence with antenatal problem
L245z	Cervical incompetence NOS
L246.	Other cervical abnormality in pregnancy, childbirth and the puerperium
L2460	Other cervical abnormality affecting obstetric care
L2461	Other cervical abnormality - baby delivered
L2462	Other cervical abnormality - baby delivered with postpartum complication
L2463	Other cervical abnormality complicating antenatal care - baby not yet delivered
L2464	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
L246z	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
L2473	Septate vagina complicating antenatal care - baby not yet delivered
L248.	Congenital or acquired abnormality of vulva in pregnancy, childbirth and the puerperium
L248.	Vulval abnormality in pregnancy, childbirth and the puerperium
L2480	Congenital or acquired abnormality of vulva affecting obstetric care
L2483	Congenital or acquired abnormality of vulva complicating antenatal care - baby not yet delivered
L248z	Congenital or acquired abnormality of vulva in pregnancy, childbirth or the puerperium NOS
L25..	Known or suspected fetal abnormality
L250.	Fetus with central nervous system malformation
L2500	Fetus with central nervous system malformation unspecified
L2502	Fetus with central nervous system malformation with antenatal problem
L250z	Fetus with central nervous system malformation NOS
L251.	Fetus with chromosomal abnormality
L2510	Fetus with chromosomal abnormality unspecified
L251z	Fetus with chromosomal abnormality NOS
L252.	Fetus with hereditary disease
L2520	Fetus with hereditary disease unspecified
L252z	Fetus with hereditary disease NOS
L253.	Fetus with suspected rubella damage via mother
L253.	Fetus with viral damage via mother
L2530	Fetus with viral damage via mother unspecified
L253z	Fetus with viral damage via mother NOS
L254.	Fetus with damage due to other maternal disease
L254.	Suspect fetal damage from maternal alcohol
L254.	Suspect fetal damage from maternal toxoplasmosis
L2540	Fetus with damage due to other maternal disease unspecified
L2541	Fetus with damage due to other maternal disease - delivered
L2542	Fetus with damage due to other maternal disease with antenatal problem
L254z	Fetus with damage due to other maternal disease NOS
L255.	Fetus with drug damage
L2550	Fetus with drug damage unspecified
L2552	Fetus with drug damage with antenatal problem
L2553	Maternal care for (suspected) damage to fetus from alcohol
L255z	Fetus with drug damage NOS
L256.	Fetus with radiation damage
L2560	Fetus with radiation damage unspecified
L256z	Fetus with radiation damage NOS
L257.	Fetus with damage due to coil
L257.	Fetus with damage due to intrauterine contraceptive device
L2570	Fetus with damage due to intrauterine contraceptive device unspecified
L257z	Fetus with damage due to intrauterine contraceptive device NOS
L25y.	Fetus with other damage NEC
L25y0	Fetus with other damage NEC, unspecified
L25y1	Fetus with other damage NEC - delivered
L25y2	Fetus with other damage NEC with antenatal problem
L25yz	Fetus with other damage NEC NOS
L25z.	Fetus with damage NOS
L25z0	Fetus with damage NOS, unspecified
L25z1	Fetus with damage NOS - delivered
L25z2	Fetus with damage NOS with antenatal problem
L26..	Other fetal and placental problems
L260.	Fetal haemorrhage into mother's circulation
L2600	Fetal-maternal haemorrhage unspecified
L2602	Fetal-maternal haemorrhage with antenatal problem
L260z	Fetal-maternal haemorrhage NOS
L261.	Anti-D antibodies
L2612	Rhesus isoimmunisation with antenatal problem
L262.	Other blood group isoimmunisation
L2620	Other blood group isoimmunisation unspecified
L2621	Other blood group isoimmunisation - delivered
L2622	Other blood group isoimmunisation with antenatal problem
L262z	Other blood group isoimmunisation NOS
L263.	Fetal acidosis
L2630	Fetal distress unspecified
L2632	Fetal distress with antenatal problem
L2633	(Labour and delivery complicated by fetal heart rate anomaly) or (maternal care for fetal hypoxia)
L2637	Maternal care for fetal hypoxia
L263z	Fetal distress NOS
L264.	FDIU - Fetal death in utero
L2640	Intrauterine death unspecified
L2642	Intrauterine death with antenatal problem
L264z	Intrauterine death NOS
L265.	Placental insufficiency
L2650	Small-for-dates unspecified
L2652	Small-for-dates with antenatal problem
L265z	Small-for-dates NOS
L266.	Accelerated fetal growth
L2660	Large-for-dates unspecified
L2662	Large-for-dates with antenatal problem
L266z	Large-for-dates NOS
L267.	(Other placental conditions) or (placental infarct)
L2670	Other placental conditions unspecified
L2671	Other placental conditions - delivered
L2672	Other placental conditions with antenatal problem
L2673	Placental transfusion syndromes
L267z	Other placental conditions NOS
L268.	Other fetal problems
L26y.	(Other feto-placental problems) or (lithopaedian)
L26y0	Other feto-placental problems unspecified
L26y1	Other feto-placental problems - delivered
L26y2	Other feto-placental problems with antenatal problem
L26yz	Other feto-placental problems NOS
L26z.	Feto-placental problems NOS
L26z0	Feto-placental problems NOS, unspecified
L26z1	Feto-placental problems NOS - delivered
L26z2	Feto-placental problems NOS with antenatal problem
L27..	Hydramnios
L270.	Excessive liquor
L2700	Polyhydramnios unspecified
L2702	Polyhydramnios with antenatal problem
L270z	Polyhydramnios NOS
L28..	Other problems of amniotic cavity and membranes
L280.	Deficient liquor
kL2800	Oligohydramnios unspecified
L2802	Oligohydramnios with antenatal problem
L280z	Oligohydramnios NOS
L281.	Premature rupture of membranes
L281.	PROM - Premature rupture of membranes
L2810	Premature rupture of membranes unspecified
L2812	Premature rupture of membranes with antenatal problem
L2814	Premature rupture of membranes, labour delayed by therapy
L281z	Premature rupture of membranes NOS
L284.	Amnionitis
L2840	Amniotic cavity infection unspecified
L284z	Amniotic cavity infection NOS
L28y.	Amnion nodosum
L28y0	Other problem of amniotic cavity and membranes unspecified
L28y1	Other problem of amniotic cavity and membranes - delivered
L28y2	Other problem of amniotic cavity and membranes with antenatal problem
L28yz	Other problem of amniotic cavity and membranes NOS
L28z.	Amniotic cavity and membrane problems NOS
L28z0	Amniotic cavity and membrane problem NOS, unspecified
L28z1	Amniotic cavity and membrane problem NOS - delivered
L28z2	Amniotic cavity and membrane problem NOS with antenatal problem
L28zz	Amniotic cavity and membrane problem NOS
L2940	Grand multipara
L2940	Grand multiparity unspecified
L294z	Grand multiparity NOS
L295.	Elderly primigravida
L295.	Elderly primip
L2950	Elderly primigravida unspecified
L295z	Elderly primigravida NOS
L2A..	Abnormal findings on antenatal screening of mother
L2A0.	Abnormal haematologic finding on antenatal screening of mother
L2A1.	Abnormal biochemical finding on antenatal screening of mother
L2A2.	Abnormal cytological finding on antenatal screening of mother
L2A3.	Abnormal ultrasonic finding on antenatal screening of mother
L2A4.	Abnormal radiological finding on antenatal screening of mother
L2A5.	Abnormal chromosomal and genetic finding on antenatal screening of mother
L2C..	Malnutrition in pregnancy
L2D..	Retained intrauterine contraceptive device in pregnancy
L2y..	Other specified risk factors in pregnancy
L2z..	Risk factors in pregnancy NOS
L304.	Persistent occipitoposterior or occipitoanterior position
L3040	Persistent occipitoposterior or occipitoanterior position, unspecified
L304z	Persistent occipitoposterior or occipitoanterior position NOS
L33..	Umbilical cord complications
L335.	Vasa praevia
L335.	Velamentous insertion of cord
L3350	Vasa praevia unspecified
L335z	Vasa praevia NOS
L336.	Bruising of cord
L336.	Vascular lesions of cord
L3360	Vascular lesions of cord unspecified
L336z	Vascular lesions of cord NOS
L33y.	Other umbilical cord complications
L33y0	Other umbilical cord complications unspecified
L33y1	Other umbilical cord complications - delivered
L33y2	Other umbilical cord complications with antenatal problem
L33yz	Other umbilical cord complications NOS
L33z.	Umbilical cord complications NOS
L33z0	Umbilical cord complications NOS, unspecified
L33z1	Umbilical cord complications NOS - delivered
L33z2	Umbilical cord complications NOS with antenatal problem
L370.	Placenta accreta without haemorrhage
L370.	Placenta with no haemorrhage: [accreta] or [retained]
L385.	Failed or difficult intubation during pregnancy
L3903	Maternal distress with antenatal problem
L392.	Maternal hypotension syndrome
L392.	Supine hypotensive syndrome
L3920	Maternal hypotension syndrome unspecified
L392z	Maternal hypotension syndrome NOS
L394.	Other complications of obstetric procedures
L3940	Other complications of obstetric procedures unspecified
L394z	Other complications of obstetric procedures NOS
L41..	Venous complications of pregnancy and the puerperium
L4115	Genital varices in pregnancy
L4115	Perineal varices in pregnancy
L4115	Vaginal varices in pregnancy
L4115	Vulval varices in pregnancy
L413.	Antenatal deep vein thrombosis
L413.	Antenatal DVT
L4130	Antenatal deep vein thrombosis unspecified
L4132	Antenatal deep vein thrombosis with antenatal complication
L413z	Antenatal deep vein thrombosis NOS
L414.	Phlegmasia alba dolens - obstetric
L415.	Other phlebitis and thrombosis in pregnancy and the puerperium
L4150	Other phlebitis and thrombosis in pregnancy and the puerperium unspecified
L4151	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered
L4152	Other phlebitis and thrombosis in pregnancy and the puerperium - delivered with postnatal complication
L4153	Other phlebitis and thrombosis in pregnancy and the puerperium with antenatal complication
L4154	Other phlebitis and thrombosis in pregnancy and the puerperium with postnatal complication
L415z	Other phlebitis and thrombosis in pregnancy and the puerperium NOS
L4170	Cerebral venous thrombosis in pregnancy
L41y.	Other venous complication of pregnancy and the puerperium
L41y0	Other venous complication of pregnancy and the puerperium unspecified
L41y1	Other venous complication of pregnancy and the puerperium - delivered
L41y2	Other venous complication of pregnancy and the puerperium - delivered with postnatal complication
L41y3	Other venous complication of pregnancy and the puerperium with antenatal complication
L41y4	Other venous complication of pregnancy and the puerperium with postnatal complication
L41yz	Other venous complication of pregnancy and the puerperium NOS
L41z.	Venous complications of pregnancy and puerperium NOS
L41z0	Venous complication of pregnancy and the puerperium NOS, unspecified
L41z1	Venous complication of pregnancy and the puerperium NOS - delivered
L41z2	Venous complication of pregnancy and the puerperium NOS - delivered with postnatal complication
L41z3	Venous complication of pregnancy and the puerperium NOS with antenatal complication
L41z4	Venous complication of pregnancy and the puerperium NOS with postnatal complication
L41z5	Gestational phlebitis NOS
L41z5	Gestational phlebopathy NOS
L41z5	Gestational thrombosis NOS
L41z5	Venous complication of pregnancy, unspecified
L41z6	Venous complication in the puerperium, unspecified
L41zz	Venous complication of pregnancy and puerperium NOS
L4323	Obstetric blood-clot pulmonary embolism with antenatal complication
L443.	Other complication of obstetric surgical wound
L4430	Other complication of obstetric surgical wound unspecified
L443z	Other complication of obstetric surgical wound NOS
L5...	Maternal care for fetus
L50..	Maternal care for compound presentation
L51..	Maternal care for other known or suspected fetal problems
L510.	Maternal care for hydrops fetalis
L511.	Maternal care for viable fetus in abdominal pregnancy
L512.	Maternal care for diminished fetal movements
L514.	Maternal care for intrauterine growth retardation
L514.	Maternal care for poor fetal growth
Ly...	Other specified complications of pregnancy, childbirth or the puerperium
Ly1..	Spontaneous breech delivery
Ly1..	Spontaneous breech delivery (& [labour complicated by])
Lyu01	[X]Other specified abnormal products of conception
Lyu03	[X]Failed medical abortion, with other and unspecified complications
Lyu04	[X]Other and unspecified failed induced abortion, complicated by genital tract and pelvic infection
Lyu05	[X]Other and unspecified failed induced abortion, complicated by delayed or excessive haemorrhage
Lyu06	[X]Other and unspecified failed induced abortion, complicated by embolism
Lyu07	[X]Other and unspecified failed induced abortion, with other and unspecified complications
Lyu08	[X]Other and unspecified failed induced abortion, without complication
Lyu09	[X]Other venous complications following abortion and ectopic and molar pregnancy
Lyu0A	[X]Other complications following abortion and ectopic and molar pregnancy
Lyu0B	[X]Complication following abortion and ectopic and molar pregnancy, unspecified
Lyu1.	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
Lyu2.	[X]Other maternal disorders predominantly related to pregnancy
Lyu20	[X]Other haemorrhage in early pregnancy
Lyu21	[X]Other vomiting complicating pregnancy
Lyu22	[X]Other venous complications in pregnancy
Lyu23	[X]Infections of other parts of urinary tract in pregnancy
Lyu24	[X]Other and unspecified genitourinary tract infection in pregnancy
Lyu25	[X]Other specified pregnancy-related conditions
Lyu26	[X]Other abnormal findings on antenatal screening of mother
Lyu27	[X]Other complications of spinal and epidural anaesthesia during pregnancy
Lyu28	[X]Other complications of anaesthesia during pregnancy
Lyu2A	[X]Abnormal finding on antenatal screening of mother
Lyu3.	[X]Maternal care related to the fetus and amniotic cavity and possible delivery problems
Lyu30	[X]Other multiple gestation
Lyu31	[X]Other complications specific to multiple gestation
Lyu32	[X]Maternal care for other malpresentation of fetus
Lyu33	[X]Maternal care for other abnormalities of cervix
Lyu35	[X]Maternal care for other abnormalities of pelvic organs
Lyu38	[X]Maternal care for other isoimmunisation
Lyu39	[X]Maternal care for other specified known or suspected fetal problems
Lyu3A	[X]Maternal care for known or suspected fetal problem, unspecified
Lyu3B	[X]Other disorders of amniotic fluid and membranes
Lyu3C	[X]Other placental disorders
Lyu3D	[X]Other premature separation of placenta
Lyu3E	[X]Other antepartum haemorrhage
Lyu4A	[X]Labour and delivery complicated by other cord complications
Lyu63	[X]Other venous complications in the puerperium
Lyu7.	[X]Other obstetric conditions, not elsewhere classified
Lyu70	[X]Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium
Lyu71	[X]Other viral diseases complicating pregnancy, childbirth and the puerperium
Lyu72	[X]Other infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium
Lyu74	[X] Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium
Lz...	Complications of pregnancy, childbirth and the puerperium NOS
M2405	Alopecia of pregnancy
PK80.	FAS - Fetal alcohol syndrome
Q000.	Fetus affected by maternal toxaemia
Q0071	Fetal alcohol syndrome
Q010.	Fetus or neonate affected by maternal incompetent cervix
Q011.	Fetus or neonate affected by maternal premature rupture of membrane
Q012.	Fetus or neonate affected by maternal oligohydramnios
Q013.	Fetus &/or neonate affected by maternal polyhydramnios
Q016.	Fetus &/or neonate affected by maternal death
Q017.	Fetus &/or neonate affected by malpresentation (& [before labour])
Q0170	Fetus or neonate affected by unspecified malpresentation before labour
Q017y	Fetus or neonate affected by other specified malpresentation before labour
Q017z	Fetus or neonate affected by malpresentation before labour NOS
Q02..	Fetus or neonate affected by complications of placenta, cord and membrane
Q020.	Fetus or neonate affected by placenta previa
Q021.	Fetus or neonate affected by other placental separation and haemorrhage
Q0210	Fetus affected by APH - antepartum haemorrhage
Q0211	Fetus &/or neonate affected by abruptio placentae
Q0212	Fetus or neonate affected by placental damage caused by amniocentesis
Q0215	Fetus or neonate affected by premature placental separation
Q021y	Fetus or neonate affected by other specified placental damage
Q021z	Fetus or neonate affected by placental separation or haemorrhage NOS
Q022.	Fetus affected by placental insufficiency
Q0220	Fetus or neonate affected by placental dysfunction
Q0222	Fetus or neonate affected by placental insufficiency
Q022y	Fetus or neonate affected by other specified placental abnormality
Q022z	Fetus or neonate affected by placental abnormality NOS
Q025.	Fetus or neonate affected by other cord compression
Q025z	Fetus or neonate affected by cord compression NOS
Q026.	Fetus affected by cord problems
Q026z	Fetus or neonate affected by cord problems NOS
Q02y.	Fetus or neonate affected by other abnormalities of chorion and amnion
Q02z.	Fetus or neonate affected by abnormalities of chorion or amnion NOS
Q10..	(Slow fetal growth and fetal malnutrition) or (fetal malnutrition)
Q100.	Fetus small-for-dates SFD - without mention of malnutrition
Q101.	Fetus small-for-dates SFD - with signs of malnutrition
Q102.	Fetal malnutrition without mention of "light for dates"
Q10z.	(Fetal growth retardation NOS) or (intrauterine growth retardation)
Q21..	Intrauterine hypoxia
Q40..	Infections specific to perinatal period
Q408.	Intra-amniotic fetal infection
Q4080	Intra-amniotic fetal infection, unspecified
Q4082	Eschericha coli intra-amniotic fetal infection
Q4083	Staphylococcal intra-amniotic infection NEC
Q4084	Group A haemolytic streptococcal intra-amniotic infection NEC
Q4085	Group B haemolytic streptococcal intra-amniotic infection NEC
Q408z	Intra-amniotic fetal infection NOS
Q40y.	Other specified perinatal infection
Q40y0	(Intrauterine fetal sepsis, unspecified) or (congenital septicaemia) or (congenital sepsis NOS)
Q40yz	Other specified perinatal infection NOS
Q40z.	Perinatal infections NOS
Q410.	Fetal blood loss
Q4100	Fetal blood loss, unspecified
Q4102	Fetal blood loss from placenta
Q4107	Fetal exsanguination
Q410y	Other specified fetal blood loss
Q410z	Fetal blood loss NOS
Q420.	Erythroblastosis fetalis
Q422.	Haemolytic disease due to isoimmunisation NOS
Q423.	Hydrops fetalis due to isoimmunisation
Q42z.	Haemolytic disease of fetus and newborn due to isoimmunisation NOS
Q470.	Idiopathic hydrops fetalis
Qyu07	[X]Fetus and newborn affected by other and unspecified conditions of umbilical cord
Qyu08	[X]Fetus and newborn affected by other abnormalities of chorion and amnion
Qyu09	[X]Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery
Qyu44	[X]Other specified congenital infectious and parasitic diseases
Qyu45	[X]Other infections specific to the perinatal period
Qyu46	[X]Other specified infections specific to the perinatal period
Qyu49	[X]Congenital infectious and parasitic disease, unspecified
Qyu50	[X]Other fetal blood loss
Qyu56	[X]Hydrops fetalis due to other and unspecified haemolytic disease
R123.	[D]Amniotic fluid abnormal
R14B.	[D]Abnormal placental function test
SP2y3	Failed or difficult intubation
TB142	Amniocentesis with complication, without blame
Ua02k	Advice about use of equipment
Ua0sv	Antenatal clinic
Ua1O2	Post-termination counselling
Ua1O3	Pre-termination counselling
X2064	Genital varices in pregnancy
X2064	Perineal varices in pregnancy
X307F	Cholestasis of pregnancy
X30Q3	Gestational proteinuria
X404a	Operations on amniotic cavity
X404b	AC - Amniocentesis
X404V	Insertion of Macdonald's cervical suture
X404W	Insertion of Shirodkar's cervical suture
X405k	Post-delivery obstetric operation
X406F	Female genital and obstetric disorder
X407K	Disorder of cervix
X409D	Pregnancy, childbirth and puerperal disorders
X409F	Suspect fetal damage from maternal alcohol
X409g	Stenosis of vagina complicating antenatal care - baby not yet delivered
X409G	Suspect fetal damage from maternal toxoplasmosis
X409H	Fetus with suspected rubella damage via mother
X409I	Suspect mongol fetus
X409J	Suspect cystic fibrosis fetus
X409K	Suspect fetal spina bifida
X409L	Suspect fetal hydrocephaly
X409M	Suspect fetal anencephaly
X409n	Septate vagina complicating antenatal care - baby not yet delivered
X409N	Vulval abnormality in pregnancy, childbirth and the puerperium
X409R	Rigid perineum complicating antenatal care - baby not yet delivered
X409Y	Persistent hymen complicating antenatal care - baby not yet delivered
X409z	Polyp of cervix complicating antenatal care - baby not yet delivered
X40A5	Cystocele complicating antenatal care - baby not yet delivered
X40A6	Rectocele complicating antenatal care - baby not yet delivered
X40A9	Cystocele affecting obstetric care
X40Aa	Albuminuria in pregnancy without hypertension
X40Ad	Multigravida
X40Ag	Multiparous
X40Ah	Concealed pregnancy
X40AI	Uterine fibroid complicating antenatal care, baby not yet delivered
X40AL	Uterine fibroid affecting obstetric care
X40Ao	High risk pregnancy
X40Ap	Teenage pregnancy
X40AP	Bicornuate uterus complicating antenatal care, baby not yet delivered
X40AS	Bicornuate uterus affecting obstetric care
X40Au	Pregnancy observations
X40AU	Heart disease during pregnancy
X40AV	Congenital heart disease in pregnancy
X40AW	Pregnancy and drug dependence
X40AX	Rubella contact in pregnancy
X40AY	Uraemia in pregnancy without hypertension
X40AZ	Nephropathy NOS in pregnancy without hypertension
X40B3	Continuing pregnancy after intrauterine death of sibling fetus
X40Ba	Disorder of amniotic fluid and membranes
X40Bb	Amniotic fluid leaking
X40BD	Inevitable abortion
X40BG	Disorder of pelvic size and disproportion
X40Bi	Amnion nodosum
X40BI	Conjoined twins causing disproportion
X40Bj	Amniotic cyst
X40BJ	Malformation of placenta
X40Bn	Antepartum haemorrhage with hypofibrinogenaemia
X40Bo	Antepartum haemorrhage with hyperfibrinolysis
X40Bp	Antepartum haemorrhage with afibrinogenaemia
X40Bx	Transient hypertension of pregnancy
X40BX	Fetal blood vessels in membranes
X40By	EPH - Oedema, proteinuria and hypertension of pregnancy
X40Bz	Toxaemia NOS
X40C0	Moderate pre-eclampsia
X40C3	HELLP - Syndrome of haemolysis, elevated liver enzymes and low platelet
X40C4	Symptomatic disorders in pregnancy
X40C5	Gestational oedema
X40C7	Morning sickness
X40C9	Vaginal varices in pregnancy
X40C9	Vulval varices in pregnancy
X40CB	Low weight gain in pregnancy
X40CD	Disorder of placenta and placental transfusion
X40CE	Lithopaedian
X40CG	Placental insufficiency
X40Cj	Bruising of cord
X40CL	MAP - Morbidly adherent placenta
X40Cm	Breech delivery
X40CM	Placenta accreta
X40CS	Pregnancy with isoimmunisation
X40CT	Anti-D antibodies
X40Cx	Premature labour
X40E0	Antepartum fetal death
X40E2	Intrauterine death of one twin
X50JH	Pregnancy pruritus
X70Dx	Fetal procedure
X70dy	Obstetric X-ray - placenta
X70Dz	ECV - External cephalic version
X70E0	Fetoscopic procedure
X70Ed	Congenital sepsis
X70Ee	Congenital sepsis NOS
X70EO	Fetal tachycardia
X70EP	Fetal bradycardia
X70Er	Fetal growth retardation
X70Es	Fetus affected by APH - antepartum haemorrhage
X70Et	Fetus affected by placental insufficiency
X70EY	Fetal acidosis
X70mb	Biophysical profile of fetus
X70mW	Fetal US scan
X70mY	Growth US scan
X70mZ	Liquor volume scan
X71Ez	Advice
X74V6	Antenatal care
X74V7	Antenatal screening
X74Vv	Antenatal Rhesus antibody status
X74Vy	Antenatal syphilis screening status
