14G8.00	H/O: vertebral fracture
S224400	Closed fracture of distal humerus; condyle(s) unspecified
S224500	Closed fracture of distal humerus; trochlea
S224600	Closed fracture distal humerus; lateral epicondyle
S224700	Closed fracture distal humerus; medial epicondyle
S224800	Closed fracture distal humerus; capitellum
S224900	Closed fracture distal humerus; bicondylar (T-Y fracture)
S224x00	Closed fracture of distal humerus; multiple
S224z00	Closed fracture of distal humerus; not otherwise specified
S225.00	Open fracture of the distal humerus
S225000	Open fracture of elbow; unspecified part
S225100	Open fracture distal humerus; supracondylar
S225.11	Elbow fracture - open
S225200	Open fracture distal humerus; lateral condyle
S225300	Open fracture distal humerus; medial condyle
S225400	Open fracture of distal humerus; condyle(s) unspecified
S225500	Open fracture of distal humerus; trochlea
S225600	Open fracture distal humerus; lateral epicondyle
S225700	Open fracture distal humerus; medial epicondyle
S225800	Open fracture distal humerus; capitellum
S225900	Open fracture distal humerus; bicondylar (T-Y fracture)
S225x00	Open fracture of distal humerus; multiple
S225z00	Open fracture of distal humerus; not otherwise specified
S226.00	Fracture of upper end of humerus
S227.00	Fracture of shaft of humerus
S228.00	Fracture of lower end of humerus
S22z.00	Fracture of humerus NOS
S23..00	Fracture of radius and ulna
S230.00	Closed fracture of proximal radius and ulna
S230000	Closed fracture of proximal forearm; unspecified part
S230100	Closed fracture olecranon; extra-articular
S230200	Closed fracture of ulna; coronoid
S230300	Closed Monteggia's fracture
S230400	Closed fracture of proximal ulna; comminuted
S230500	Closed fracture of the proximal ulna
S230600	Closed fracture radius; head
S230700	Closed fracture radius; neck
S230800	Closed fracture proximal radius; comminuted
S230900	Closed fracture of the proximal radius
S230A00	Closed fracture radius and ulna; proximal
S230B00	Closed fracture olecranon; intra-articular
S230z00	Closed fracture of proximal forearm not otherwise specified
S231.00	Open fracture of proximal radius and ulna
S231000	Open fracture of proximal forearm; unspecified
S23..11	Forearm fracture
S231100	Open fracture olecranon; extra-articular
S231200	Open fracture of ulna; coronoid
S231300	Open Monteggia's fracture
S231500	Open fracture of the proximal ulna
S231600	Open fracture radial head
S231700	Open fracture radial neck
S231800	Open fracture proximal radius; comminuted
S231900	Open fracture of the proximal radius
S231A00	Open fracture radius and ulna; proximal
S231B00	Open fracture olecranon; intra-articular
S231z00	Open fracture of forearm; upper end; NOS
S232.00	Closed fracture of radius and ulna; shaft
S232000	Closed fracture of radius; shaft; unspecified
S232100	Closed fracture of the radial shaft
S232200	Closed fracture of the ulnar shaft
S232300	Closed fracture radius and ulna; middle
S232z00	Closed fracture of radius and ulna; shaft; NOS
S233.00	Open fracture of radius and ulna; shaft
S233000	Open fracture of radius; shaft; unspecified
S233100	Open fracture of the radial shaft
S233200	Open fracture of the ulnar shaft
S233300	Open fracture radius and ulna; middle
S233z00	Open fracture of radius and ulna; shaft; NOS
S234.00	Closed fracture of radius and ulna; lower end
S234000	Closed fracture of forearm; lower end; unspecified
S234100	Closed Colles' fracture
S234.11	Wrist fracture - closed
S234111	Smith's fracture - closed
S234200	Closed fracture of the distal radius; unspecified
S234211	Dupuytren's fracture; radius - closed
S234300	Closed fracture of ulna; styloid process
S234400	Closed fracture of ulna; lower epiphysis
S234500	Closed fracture distal ulna; unspecified
S234600	Closed fracture radius and ulna; distal
S234700	Closed Smith's fracture
S234800	Closed Galeazzi fracture
S234900	Closed volar Barton's fracture
S234911	Closed volar Barton's fracture-dislocation
S234912	Closed volar Barton fracture-subluxation
S234A00	Closd dorsal Barton's fracture
S234A11	Closed dorsal Barton's fracture-dislocation
S234A12	Closed dorsal Barton fracture-subluxation
S234B00	Closed fracture radial styloid
S234C00	Closed fracture distal radius; intra-articular; die-punch
S234D00	Closed fracture distal radius; extra-articular; other type
S234E00	Closed fracture distal radius; intra-articular; other type
S234F00	Closed Barton's fracture
S234G00	Greenstick fracture of distal radius
S234z00	Closed fracture of forearm; lower end; NOS
S235.00	Open fracture of radius and ulna; lower end
S235000	Open fracture of forearm; lower end; unspecified
S235100	Open Colles' fracture
S235.11	Wrist fracture - open
S235111	Smith's fracture - open
S235200	Open fracture of the distal radius; unspecified
S235211	Dupuytren's fracture; radius - open
S235300	Open fracture of ulna; styloid process
S235400	Open fracture of ulna; lower epiphysis
S235500	Open fracture distal ulna - other
S235600	Open fracture radius and ulna; distal
S235700	Open Smith's fracture
S235800	Open Galeazzi fracture
S235900	Open volar Barton's fracture
S235A00	Open dorsal Barton's fracture
S235B00	Open fracture radial styloid
S235C00	Open fracture distal radius; intra-articular; die-punch
S235D00	Open fracture distal radius; extra-articular other type
S235E00	Open fracture distal radius; intra-articular other type
S235F00	Open Barton's fracture
S235z00	Open fracture of forearm; lower end; NOS
S237.00	Fracture of upper end of radius
S238.00	Fracture of shaft of ulna
S239.00	Fracture of shaft of radius
S23A.00	Fracture of shafts of both ulna and radius
S23B.00	Fracture of lower end of radius
S23C.00	Fracture of lower end of both ulna and radius
S23x.00	Closed fracture of radius and ulna; unspecified part
S23x000	Closed fracture of forearm; unspecified
S23x100	Closed fracture of radius (alone); unspecified
S23x111	Fracture of radius NOS
S23x200	Closed fracture of ulna (alone); unspecified
S23x211	Fracture of ulna NOS
S23x300	Closed fracture of the radius and ulna
S23xz00	Closed fracture of radius and ulna; NOS
S23y.00	Open fracture of radius and ulna; unspecified part
S23y000	Open fracture of forearm; unspecified
S23y100	Open fracture of radius (alone); unspecified
S23y200	Open fracture of ulna (alone); unspecified
S23y300	Open fracture of the radius and ulna
S23yz00	Open fracture of radius and ulna; NOS
S23z.00	Fracture of radius and ulna; NOS
S24..00	Fracture of carpal bone
S240.00	Closed fracture of carpal bone
S240000	Closed fracture of carpal bone; unspecified
S240100	Closed fracture of the scaphoid
S240200	Closed fracture lunate
S240300	Closed fracture triquetral
S240400	Closed fracture pisiform
S240500	Closed fracture trapezium
S240600	Closed fracture trapezoid
S240700	Closed fracture capitate
S240800	Closed fracture hamate
S240900	Closed fracture hamate; hook
S240A00	Closed fracture scaphoid; proximal pole
S240B00	Closed fracture scaphoid; waist; transverse
S240C00	Closed fracture scaphoid; waist; oblique
S240D00	Closed fracture scaphoid; waist; comminuted
S240E00	Closed fracture scaphoid; tuberosity
S240F00	Closed fracture carpal bones; multiple
S240y00	Closed fracture of other carpal bone
S240z00	Closed fracture of carpal bone NOS
S241.00	Open fracture of carpal bone
S241000	Open fracture of carpal bone; unspecified
S24..11	Hand fracture - carpal bone
S241100	Open fracture of the scaphoid
S241200	Open fracture lunate
S241300	Open fracture triquetral
S241400	Open fracture pisiform
S241500	Open fracture trapezium
S241600	Open fracture trapezoid
S241700	Open fracture capitate
S241800	Open fracture hamate
S241900	Open fracture hamate; hook
S241A00	Open fracture scaphoid; proximal pole
S241B00	Open fracture scaphoid; waist; transverse
S241C00	Open fracture scaphoid; waist; oblique
S241D00	Open fracture scaphoid; waist; comminuted
S241E00	Open fracture scaphoid; tuberosity
S241z00	Open fracture of carpal bone NOS
S242.00	Fracture at wrist and hand level
S242000	Fracture of scaphoid
S242100	Fracture of first metacarpal bone
S242200	Fracture of other metacarpal bone
S242300	Multiple fractures of metacarpal bones
S25..00	Fracture of metacarpal bone
S250.00	Closed fracture of metacarpal bone(s)
S250000	Closed fracture of metacarpal bone (s); site unspecified
S250200	Closed fracture finger metacarpal base
S250300	Closed fracture finger metacarpal shaft
S250400	Closed fracture finger metacarpal neck
S250500	Closed fracture finger metacarpal head
S250600	Closed fracture finger metacarpal
S250700	Closed fracture finger metacarpal; multiple
S250800	Closed fracture of thumb metacarpal
S250A00	Closed fracture thumb metacarpal shaft
S250B00	Closed fracture thumb metacarpal neck
S250C00	Closed fracture thumb metacarpal head
S250x00	Closed fractures of multiple sites of unspecified metacarpus
S250z00	Closed fracture of metacarpal bone(s) NOS
S251.00	Open fracture of metacarpal bone(s)
S251000	Open fracture of metacarpal bone(s); site unspecified
S25..11	Hand fracture - metacarpal bone
S251200	Open fracture finger metacarpal base
S251300	Open fracture finger metacarpal shaft
S251400	Open fracture finger metacarpal neck
S251500	Open fracture finger metacarpal head
S251600	Open fracture finger metacarpal
S251700	Open fracture finger metacarpal; multiple
S251800	Open fracture of thumb metacarpal
S251A00	Open fracture thumb metacarpal shaft
S251C00	Open fracture thumb metacarpal head
S251x00	Open fractures of multiple sites of unspecified metacarpus
S251z00	Open fracture of metacarpal bone(s) NOS
S252.00	Closed fracture sesamoid bone of hand
S253.00	Open fracture sesamoid bone of hand
S260.00	Closed fracture of one or more phalanges of hand
S260000	Closed fracture of phalanx or phalanges; unspecified
S260300	Closed fracture thumb proximal phalanx
S260400	Closed fracture thumb proximal phalanx; base
S260500	Closed fracture thumb proximal phalanx; shaft
S260600	Closed fracture thumb proximal phalanx; neck
S260700	Closed fracture thumb proximal phalanx; head
S260800	Closed fracture thumb distal phalanx
S260900	Closed fracture thumb distal phalanx; base
S260A00	Closed fracture thumb distal phalanx; shaft
S260B00	Closed fracture thumb distal phalanx; tuft
S260C00	Closed fracture thumb distal phalanx; mallet
S260D00	Closed fracture finger proximal phalanx
S260E00	Closed fracture finger proximal phalanx; base
S260F00	Closed fracture finger proximal phalanx; shaft
S260G00	Closed fracture finger proximal phalanx; neck
S260H00	Closed fracture finger proximal phalanx; head
S260J00	Closed fracture finger proximal phalanx; multiple
S260K00	Closed fracture finger middle phalanx
S260L00	Closed fracture finger middle phalanx; base
S260M00	Closed fracture finger middle phalanx; shaft
S260N00	Closed fracture finger middle phalanx; neck
S260P00	Closed fracture finger middle phalanx; head
S260Q00	Closed fracture finger middle phalanx; multiple
S260R00	Closed fracture finger distal phalanx
S260S00	Closed fracture finger distal phalanx; base
S260T00	Closed fracture finger distal phalanx; shaft
S260U00	Closed fracture finger distal phalanx; tuft
S260V00	Closed fracture finger distal phalanx; mallet
S260W00	Closed fracture finger distal phalanx; multiple
S260x00	Closed fractures of phalanx or phalanges; multiple sites
S260z00	Closed fracture of one or more phalanges of hand NOS
S261.00	Open fracture of one or more phalanges of hand
S261000	Open fracture of phalanx or phalanges; unspecified
S26..11	Finger fracture
S26..12	Thumb fracture excluding base
S261300	Open fracture thumb proximal phalanx
S261400	Open fracture thumb proximal phalanx; base
S261500	Open fracture thumb proximal phalanx; shaft
S261600	Open fracture thumb proximal phalanx; neck
S261700	Open fracture thumb proximal phalanx; head
S261800	Open fracture thumb distal phalanx
S261900	Open fracture thumb distal phalanx; base
S261A00	Open fracture thumb distal phalanx; shaft
S261B00	Open fracture thumb distal phalanx; tuft
S261C00	Open fracture thumb distal phalanx; mallet
S261D00	Open fracture finger proximal phalanx
S261E00	Open fracture finger proximal phalanx; base
S261F00	Open fracture finger proximal phalanx; shaft
S261G00	Open fracture finger proximal phalanx; neck
S261H00	Open fracture finger proximal phalanx; head
S261J00	Open fracture finger proximal phalanx; multiple
S261K00	Open fracture finger middle phalanx
S261L00	Open fracture finger middle phalanx; base
S261M00	Open fracture finger middle phalanx; shaft
S261N00	Open fracture finger middle phalanx; neck
S261P00	Open fracture finger middle phalanx; head
S261R00	Open fracture finger distal phalanx
S261S00	Open fracture finger distal phalanx; base
S261T00	Open fracture finger distal phalanx; shaft
S261U00	Open fracture finger distal phalanx; tuft
S261V00	Open fracture finger distal phalanx; mallet
S261W00	Open fracture finger distal phalanx; multiple
S261x00	Open fracture of phalanx or phalanges; multiple sites
S261z00	Open fracture of one or more phalanges of hand NOS
S262.00	Fracture of thumb
S263.00	Fracture of other finger
S264.00	Multiple fractures of fingers
S27..00	Multiple fractures of hand bones
S270.00	Closed multiple fractures of hand bones
S271.00	Open multiple fractures of hand bones
S27z.00	Multiple fractures of hand bones NOS
S28..00	Ill-defined fractures of upper limb
S280.00	Closed ill-defined fractures of upper limb
S281.00	Open ill-defined fractures of upper limb
S28..11	Ill-defined fracture of arm
S28z.00	Ill-defined fractures of upper limb NOS
S29..11	Multiple fractures of arm
S29..12	Multiple rib fractures
S29..13	Multiple fractures of sternum
S292.00	Multiple fractures of clavicle; scapula and humerus
S292000	Closed multiple fractures of clavicle; scapula and humerus
S292100	Open multiple fractures of clavicle; scapula and humerus
S293.00	Multiple fractures of forearm
S294000	Cl fractures involving multiple regions of both upper limbs
S2B..00	Fracture of bone of hand
S3...00	Fracture of lower limb
S30..00	Fracture of neck of femur
S300.00	Closed fracture proximal femur; transcervical
S300000	Cls # prox femur; intracapsular section; unspecified
S300100	Closed fracture proximal femur; transepiphyseal
S300200	Closed fracture proximal femur; midcervical section
S300300	Closed fracture proximal femur; basicervical
S300311	Closed fracture; base of neck of femur
S300400	Closed fracture head of femur
S300500	Cls # prox femur; subcapital; Garden grade unspec.
S300600	Closed fracture proximal femur; subcapital; Garden grade I
S300700	Closed fracture proximal femur; subcapital; Garden grade II
S300800	Closed fracture proximal femur; subcapital; Garden grade III
S300900	Closed fracture proximal femur; subcapital; Garden grade IV
S300A00	Closed fracture of femur; upper epiphysis
S300y00	Closed fracture proximal femur; other transcervical
S300y11	Closed fracture of femur; subcapital
S300z00	Closed fracture proximal femur; transcervical; NOS
S301.00	Open fracture proximal femur; transcervical
S301000	Opn # proximal femur; intracapsular section; unspecified
S30..11	Hip fracture
S301100	Open fracture proximal femur; transepiphyseal
S301311	Open fracture base of neck of femur
S301400	Open fracture head; femur
S301500	Open fracture proximal femur;subcapital; Garden grade unspec
S301600	Open fracture proximal femur;subcapital; Garden grade I
S301700	Open fracture proximal femur;subcapital; Garden grade II
S301800	Open fracture proximal femur;subcapital; Garden grade III
S301900	Open fracture proximal femur;subcapital; Garden grade IV
S301A00	Open fracture of femur; upper epiphysis
S301y00	Open fracture proximal femur; other transcervical
S301y11	Open fracture of femur; subcapital
S302.00	Closed fracture of proximal femur; pertrochanteric
S302000	Cls # proximal femur; trochanteric section; unspecified
S302011	Closed fracture of femur; greater trochanter
S302012	Closed fracture of femur; lesser trochanter
S302100	Closed fracture proximal femur; intertrochanteric; two part
S302200	Closed fracture proximal femur; subtrochanteric
S302300	Cls # proximal femur; intertrochanteric; comminuted
S302400	Closed fracture of femur; intertrochanteric
S302z00	Cls # of proximal femur; pertrochanteric section; NOS
S303.00	Open fracture of proximal femur; pertrochanteric
S303000	Open # of proximal femur; trochanteric section; unspecified
S303011	Open fracture of femur; greater trochanter
S303100	Open fracture proximal femur; intertrochanteric; two part
S303200	Open fracture proximal femur; subtrochanteric
S303300	Open fracture proximal femur; intertrochanteric; comminuted
S303400	Open fracture of femur; intertrochanteric
S303z00	Open fracture of proximal femur; pertrochanteric; NOS
S304.00	Pertrochanteric fracture
S305.00	Subtrochanteric fracture
S30w.00	Closed fracture of unspecified proximal femur
S30x.00	Open fracture of unspecified proximal femur
S30y.00	Closed fracture of neck of femur NOS
S30y.11	Hip fracture NOS
S30z.00	Open fracture of neck of femur NOS
S31..00	Other fracture of femur
S310.00	Closed fracture of femur; shaft or unspecified part
S310000	Closed fracture of femur; unspecified part
S310011	Thigh fracture NOS
S310012	Upper leg fracture NOS
S310100	Closed fracture shaft of femur
S310z00	Closed fracture of shaft or unspecified part; NOS
S3...11	Leg fracture
S311.00	Open fracture of femur; shaft or unspecified part
S311000	Open fracture of femur; unspecified part
S311100	Open fracture shaft of femur
S311z00	Open fracture of femur; shaft or unspecified part; NOS
S312.00	Closed fracture distal femur
S312000	Closed fracture of distal femur; unspecified
S312100	Closed fracture of femoral condyle; unspecified
S312.11	Closed fracture of femur; distal end
S312200	Closed fracture of femur; lower epiphysis
S312300	Closed fracture distal femur; supracondylar
S312400	Closed fracture distal femur; medial condyle
S312500	Closed fracture distal femur; lateral condyle
S312600	Closed fracture distal femur; bicondylar (T-Y fracture)
S312x00	Closed fracture distal femur; comminuted/intra-articular
S312z00	Closed fracture of distal femur not otherwise specified
S313.00	Open fracture distal femur
S313000	Open fracture distal femur; unspecified
S313100	Open fracture of femoral condyle; unspecified
S313.11	Open fracture of femur; distal end
S313200	Open fracture of femur; lower epiphysis
S313300	Open fracture distal femur; supracondylar
S313400	Open fracture distal femur; medial condyle
S313500	Open fracture distal femur; lateral condyle
S313x00	Open fracture distal femur; comminuted/intra-articular
S313z00	Open fracture of distal femur not otherwise specified
S314.00	Fracture of shaft of femur
S315.00	Fracture of lower end of femur
S31z.00	Fracture of femur; NOS
S32..00	Fracture of patella
S320.00	Closed fracture of the patella
S320000	Closed fracture patella; transverse
S320100	Closed fracture patella; proximal pole
S320200	Closed fracture patella; distal pole
S320300	Closed fracture patella; vertical
S320400	Closed fracture patella; comminuted (stellate)
S321.00	Open fracture of the patella
S321000	Open fracture patella; transverse
S321100	Open fracture patella; proximal pole
S321200	Open fracture patella; distal pole
S321400	Open fracture patella; comminuted (stellate)
S32z.00	Fracture of patella; NOS
S33..00	Fracture of tibia and fibula
S330.00	Closed fracture of tibia and fibula; proximal
S330000	Closed fracture of the proximal tibia
S330011	Closed fracture of tibial condyles
S330012	Closed fracture of tibial tuberosity
S330100	Closed fracture proximal fibula
S330200	Closed fracture of tibia and fibula; proximal
S330300	Closed fracture proximal tibia; medial condyle (plateau)
S330400	Closed fracture proximal tibia; lateral condyle (plateau)
S330500	Closed fracture proximal tibia; bicondylar
S330600	Closed fracture spine; tibia
S330700	Closed fracture tubercle; tibia
S330800	Closed fracture fibula; head
S330900	Closed fracture fibula; neck
S330z00	Closed fracture of tibia and fibula; proximal NOS
S331.00	Open fracture of tibia and fibula; proximal
S331000	Open fracture of the proximal tibia
S331011	Open fracture of tibial condyles
S331012	Open fracture of tibial tuberosity
S331100	Open fracture proximal fibula
S331200	Open fracture of tibia and fibula; proximal
S331300	Open fracture proximal tibia; medial condyle (plateau)
S331400	Open fracture proximal tibia; lateral condyle (plateau)
S331600	Open fracture spine; tibia
S331700	Open fracture tubercle; tibia
S331800	Open fracture fibula; head
S331900	Open fracture fibula; neck
S331A00	Open fracture tibial plateau
S331z00	Open fracture of tibia and fibula; proximal NOS
S332.00	Closed fracture of tibia/fibula; shaft
S332000	Closed fracture shaft of tibia
S332100	Closed fracture shaft of fibula
S332200	Closed fracture of tibia and fibula; shaft
S332z00	Closed fracture of tibia and fibula; shaft; NOS
S333.00	Open fracture of tibia/fibula; shaft
S333000	Open fracture shaft of tibia
S333100	Open fracture shaft of fibula
S333200	Open fracture of tibia and fibula; shaft
S333z00	Open fracture of tibia and fibula; shaft; NOS
S334.00	Closed fracture distal tibia
S334000	Closed fracture distal tibia; extra-articular
S334100	Closed fracture distal tibia; intra-articular
S335.00	Open fracture distal tibia
S335000	Open fracture distal tibia; extra-articular
S335100	Open fracture distal tibia; intra-articular
S336.00	Fracture of upper end of tibia
S337.00	Fracture of shaft of tibia
S338.00	Fracture of lower end of tibia
S339.00	Fracture of fibula alone
S339000	Closed fracture of distal fibula
S339100	Open fracture of distal fibula
S33B.00	Open fracture of distal tibia and fibula
S33C.00	Closed fracture of distal tibia and fibula
S33x.00	Closed fracture of tibia and fibula; unspecified part; NOS
S33x000	Closed fracture of tibia; unspecified part; NOS
S33x100	Closed fracture of fibula; unspecified part; NOS
S33x.11	Lower leg fracture NOS
S33x200	Closed fracture of tibia and fibula; unspecified part
S33xz00	Closed fracture of tibia and fibula; unspecified part; NOS
S33y.00	Open fracture of tibia and fibula; unspecified part; NOS
S33y000	Open fracture of tibia; unspecified part; NOS
S33y100	Open fracture of fibula; unspecified part; NOS
S33y200	Open fracture of tibia and fibula; unspecified part
S33yz00	Open fracture of tibia and fibula; unspecified part; NOS
S34..00	Fracture of ankle
S340.00	Closed fracture ankle; medial malleolus
S341.00	Open fracture ankle; medial malleolus
S342.00	Closed fracture ankle; lateral malleolus
S342000	Closed fracture ankle; lateral malleolus; low
S342100	Closed fracture ankle; lateral malleolus; high
S343.00	Open fracture ankle; lateral malleolus
S343000	Open fracture ankle; lateral malleolus; low
S343100	Open fracture ankle; lateral malleolus; high
S344.00	Closed fracture ankle; bimalleolar
S344000	Closed fracture ankle; bimalleolar; low fibular fracture
S344100	Closed fracture ankle; bimalleolar; high fibular fracture
S344.11	Dupuytren's fracture; fibula
S344.12	Pott's fracture - ankle
S345.00	Open fracture ankle; bimalleolar
S345000	Open fracture ankle; bimalleolar; low fibular fracture
S345100	Open fracture ankle; bimalleolar; high fibular fracture
S346.00	Closed fracture ankle; trimalleolar
S346000	Closed fracture ankle; trimalleolar; low fibular fracture
S346100	Closed fracture ankle; trimalleolar; high fibular fracture
S347.00	Open fracture ankle; trimalleolar
S347000	Open fracture ankle; trimalleolar; low fibular fracture
S347100	Open fracture ankle; trimalleolar; high fibular fracture
S349.00	Fracture of lateral malleolus
S34x.00	Closed fracture ankle; unspecified
S34y.00	Open fracture ankle; unspecified
S34z.00	Fracture of ankle; NOS
S35..00	Fracture of one or more tarsal and metatarsal bones
S350.00	Closed fracture of calcaneus
S350000	Closed fracture calcaneus; extra-articular
S350100	Closed fracture calcaneus; intra-articular
S350.11	Heel bone fracture
S350.12	Os calcis fracture
S351.00	Open fracture of calcaneus
S35..11	Metatarsal bone fracture
S351100	Open fractures calcaneus; intra-articular
S35..12	Tarsal bone fracture
S352.00	Closed fracture of other tarsal and metatarsal bones
S352000	Closed fracture of tarsal bone; unspecified
S352100	Closed fracture of talus
S352.11	March fracture
S352111	Closed fracture of astragalus
S352200	Closed fracture navicular
S352300	Closed fracture cuboid
S352400	Closed fracture medial cuneiform
S352500	Closed fracture intermediate cuneiform
S352600	Closed fracture lateral cuneiform
S352700	Closed fracture metatarsal
S352800	Closed fracture talus; head
S352900	Closed fracture talus; neck
S352A00	Closed fracture talus; body
S352B00	Closed fracture metatarsal base
S352C00	Closed fracture metatarsal shaft
S352D00	Closed fracture metatarsal neck
S352E00	Closed fracture metatarsal head
S352F00	Closed fracture metatarsal; multiple
S352G00	Closed tarsal fractures; multiple
S352H00	Closed fracture of cuneiforms
S352J00	Closed fracture of base of fifth metatarsal
S352z00	Closed fracture of one or more tarsal + metatarsal bones NOS
S353.00	Open fracture of other tarsal and metatarsal bones
S353000	Open fracture of tarsal bone; unspecified
S353100	Open fracture of talus
S353200	Open fracture navicular
S353300	Open fracture cuboid
S353400	Open fracture medial cuneiform
S353500	Open fracture intermediate cuneiform
S353600	Open fracture lateral cuneiform
S353700	Open fracture metatarsal
S353800	Open fracture talus; head
S353900	Open fracture talus; neck
S353A00	Open fracture talus; body
S353B00	Open fracture metatarsal base
S353C00	Open fracture metatarsal shaft
S353D00	Open fracture metatarsal neck
S353E00	Open fracture metatarsal head
S353F00	Open fracture metatarsal; multiple
S353H00	Open fracture cuneiforms
S353J00	Open fracture of base of fifth metatarsal
S353z00	Open fracture of tarsal and metatarsal bones NOS
S355.00	Fracture of talus
S356.00	Fracture of metatarsal bone
S36..00	Fracture of one or more phalanges of foot
S360.00	Closed fracture of one or more phalanges of foot
S360000	Closed fracture proximal phalanx; toe
S360100	Closed fracture middle phalanx; toe
S360200	Closed fracture distal phalanx; toe
S360300	Closed fracture multiple phalanges; toe
S361.00	Open fracture of one or more phalanges of foot
S361000	Open fracture proximal phalanx; toe
S36..11	Toe fracture
S361100	Open fracture middle phalanx; toe
S361200	Open fracture distal phalanx; toe
S361300	Open fracture multiple phalanges; toe
S362000	Closed fracture of great toe
S362100	Open fracture of great toe
S363.00	Fracture of other toe
S370.00	Closed fracture of lower limb; level unspecified
S371.00	Open fracture of lower limb; level unspecified
S3x..00	Other; multiple and ill-defined fractures of lower limb
S3x0.00	Other; multiple and ill-defined closed fractures lower limb
S3x1.00	Other; multiple and ill-defined open fractures of lower limb
S3x2.00	Multiple fractures of femur
S3x3.00	Multiple fractures of lower leg
S3x4.00	Multiple fractures of foot
S3xz.00	Other; multiple and ill-defined fractures of lower limb NOS
S3z..00	Fracture of unspecified bones
S3z0.00	Closed fracture of bones; unspecified
S3z0000	Greenstick fracture
S3z1.00	Open fracture of bones; unspecified
S3z..11	Fracture NOS
S3z2.00	Stress fracture
S3zz.00	Fracture of bones NOS
S4...13	Fracture dislocations and fracture subluxations
S4A..00	Fracture-dislocation or subluxation shoulder
S4A0.00	Closed fracture-dislocation shoulder
S4A0000	Closed fracture-dislocation shoulder joint
S4A0100	Closed fracture-dislocation acromio-clavicular joint
S4A1.00	Open fracture-dislocation shoulder
S4A1000	Open fracture-dislocation shoulder joint
S4A1100	Open fracture-dislocation acromio-clavicular joint
S4A2.00	Closed fracture-subluxation shoulder
S4A2000	Closed fracture-subluxation shoulder joint
S4A2100	Closed fracture-subluxation acromio-clavicular joint
S4A3.00	Open fracture-subluxation shoulder
S4A3100	Open fracture-subluxation acromio-clavicular joint
S4B0.00	Closed fracture-dislocation elbow
S4B0000	Closed fracture-dislocation elbow joint
S4B0100	Closed fracture-dislocation superior radio-ulnar joint
S4B1.00	Open fracture-dislocation elbow
S4B1000	Open fracture-dislocation elbow joint
S4B1100	Open fracture-dislocation superior radio-ulnar joint
S4B2.00	Closed fracture-subluxation elbow
S4B2000	Closed fracture-subluxation elbow joint
S4B2100	Closed fracture-subluxation superior radio-ulnar joint
S4B3.00	Open fracture-subluxation elbow
S4C..00	Fracture-dislocation or subluxation of wrist
S4C0.00	Closed fracture dislocation of wrist
S4C0000	Closed fracture-dislocation distal radio-ulnar joint
S4C0100	Closed fracture-dislocation radiocarpal joint
S4C0200	Closed fracture-dislocation mid carpal
S4C0300	Closed fracture-dislocation; carpometacarpal joint
S4C0400	Closed fracture-dislocation lunate (volar)
S4C0500	Closed fracture-dislocation peri-lunate (dorsal)
S4C0600	Closed fracture-dislocation peri-lunate trans-scaphoid
S4C1.00	Open fracture dislocation wrist
S4C1000	Open fracture-dislocation; distal radio-ulnar joint
S4C1100	Open fracture-dislocation radiocarpal joint
S4C1300	Open fracture-dislocation carpometacarpal joint
S4C1600	Open fracture-dislocation peri-lunate trans-scaphoid
S4C2.00	Closed fracture-subluxation of the wrist
S4C2000	Closed fracture-subluxation; distal radio-ulnar jt
S4C2100	Closed fracture-subluxation radiocarpal joint
S4C2200	Closed fracture-subluxation mid carpal
S4C2300	Closed fracture-subluxation; carpometacarpal joint
S4C2400	Closed fracture-subluxation lunate (volar)
S4C2600	Closed fracture-subluxation peri-lunate trans-scaphoid
S4C2y00	Closed fracture-subluxation other carpal
S4C3.00	Open fracture-subluxation of the wrist
S4C3000	Open fracture-subluxation; distal radio-ulnar joint
S4C3100	Open fracture-subluxation radiocarpal joint
S4C3300	Open fracture-subluxation; carpometacarpal joint
S4C3600	Open fracture-subluxation peri-lunate trans-scaphoid
S4D..00	Fracture-dislocation/subluxation finger/thumb
S4D0.00	Closed fracture-dislocation digit
S4D0000	Closed fracture-dislocation digit; unspecified
S4D0100	Closed fracture-dislocation; metacarpophalangeal joint
S4D0200	Closed fracture-dislocation IPJ; unspecified
S4D0300	Closed fracture-dislocation; distal interphalangeal joint
S4D0400	Closed fracture-dislocation; proximal interphalangeal joint
S4D0500	Closed fracture-dislocation; interphalangeal joint thumb
S4D0600	Closed fracture-dislocation multiple digits
S4D1.00	Open fracture-dislocation digit
S4D1000	Open fracture-dislocation digit; unspecified
S4D1100	Open fracture-dislocation; metacarpophalangeal joint
S4D1200	Open fracture-dislocation IPJ; unspecified
S4D1300	Open fracture-dislocation; distal interphalangeal joint
S4D1400	Open fracture-dislocation; proximal interphalangeal joint
S4D1500	Open fracture-dislocation; interphalangeal joint thumb
S4D1600	Open fracture-dislocation multiple digits
S4D2.00	Closed fracture-subluxation digit
S4D2000	Closed fracture-subluxation digit; unspecified
S4D2100	Closed fracture-subluxation; metacarpophalangeal joint
S4D2200	Closed fracture-subluxation IPJ; unspecified
S4D2300	Closed fracture-subluxation; distal interphalangeal joint
S4D2400	Closed fracture-subluxation; proximal interphalangeal joint
S4D2500	Closed fracture-subluxation; interphalangeal joint thumb
S4D2600	Closed fracture-subluxation multiple digits
S4D3.00	Open fracture-subluxation digit
S4D3100	Open fracture-subluxation; metacarpophalangeal joint
