^ESCT1177931	Injury of thorax
^ESCTRE468512	Revision to external fixation stabilization of spinal fracture
^ESCTRE468823	Revision to cast immobilization of fracture
^ESCTRE548817	Reduction of fracture of jaw
^ESCTRE588837	Revision to closed reduction of fracture dislocation
^ESCTRE588838	Revision to open reduction of fracture dislocation
^ESCTRE600547	Revision closed reduction and internal fixation of fracture
^ESCTRO482135	Rotational malunion of fracture
^ESCTSE468729	Secondary open reduction of intra-articular fracture of bone
^ESCTSM484220	Smith fracture - closed
^ESCTSM484236	Smith fracture - open
^ESCTSP331697	Spinal fracture
^ESCTSP386875	Spondylomalacia
^ESCTSP550299	Spontaneous fracture
^ESCTST481608	Stress fracture of vertebra
^ESCTST514453	Stress fracture
^ESCTST810751	Stress fracture of pars interarticularis
^ESCTSU264690	Surgical fracture of nasal turbinates
^ESCTSU306063	Suboccipital fracture
^ESCTSU546232	Subtrochanteric fracture of femur
^ESCTTH264691	Therapeutic fracture of nasal turbinates
^ESCTTH545391	Thoracic injury
^ESCTTR309647	Transverse facial fracture
^ESCTTR749757	Traumatic and/or non-traumatic injury of anatomical site
EMISNQCL16	Closed fracture of tibia and fibula, distal
EMISNQFR14	Fracture of tibial plateau
EMISNQOP7	Open fracture of tibia and fibula, distal
EMISNQOP8	Open fracture of tibial plateau
EMISNQPE27	Periprosthetic fracture
ESCTCL10	Closed fracture of lower leg
ESCTCL11	Closed fracture of foot
ESCTCL4	Closed fracture of skull
ESCTCL5	Closed fracture of facial bone
ESCTCL6	Closed fracture of forearm
ESCTCL7	Closed fracture of phalanx of finger
ESCTCL8	Closed fracture of phalanx of thumb
ESCTCL9	Closed fracture of bone of knee joint
ESCTOP10	Open fracture of lower leg
ESCTOP11	Open fracture of foot
ESCTOP5	Open fracture of facial bones
ESCTOP6	Open fracture of forearm
ESCTOP7	Open fracture of phalanx of finger
ESCTOP8	Open fracture of phalanx of thumb
ESCTOP9	Open fracture of bone of knee joint
^ESCT1246204	[X]Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate
^ESCT1248405	Closed fracture of skull NOS with intracranial injury
^ESCTCL288972	Closed fracture of finger
^ESCTFR725159	Fracture of bone adjacent to prosthesis
^ESCTOP284522	Open fracture of finger
