Xa5dk	Allergy to over-the-counter drug
Xa5gh	Doxorubicin allergy
Xa5gi	Epirubicin allergy
Xa5gj	Idarubicin allergy
Xa5gl	Mercuric oxide allergy
Xa5gm	Methotrexate allergy
Xa5gn	Mercaptopurine allergy
Xa5go	Thioguanine allergy
Xa5gp	Pentostatin allergy
Xa5gq	Cytarabine allergy
Xa5gr	Fluorouracil allergy
Xa5h4	Trilostane allergy
Xa5h5	Tamoxifen allergy
Xa5h6	Formestane allergy
Xa5h8	Vinblastine allergy
Xa5h9	Vincristine allergy
Xa5hA	Vindesine allergy
Xa5hX	Lithium carbonate allergy
Xa5hY	Lithium citrate allergy
Xa5ha	Butriptyline allergy
Xa5hb	Doxepin allergy
Xa5hc	Iprindole allergy
Xa5hd	Lofepramine allergy
Xa5he	Nortriptyline allergy
Xa5hf	Trimipramine allergy
Xa5hg	Amoxapine allergy
Xa5hh	Amitriptyline allergy
Xa5hi	Clomipramine allergy
Xa5hj	Desipramine allergy
Xa5hk	Dothiepin allergy
Xa5hl	Imipramine allergy
Xa5hm	Protriptyline allergy
Xa5ho	Phenelzine allergy
Xa5hp	Iproniazid allergy
Xa5hq	Isocarboxazid allergy
Xa5hr	Tranylcypromine allergy
Xa5hs	Moclobemide allergy
Xa5hx	Sertraline allergy
Xa5hy	Paroxetine allergy
Xa5hz	Nefazodone allergy
Xa5i0	Citalopram allergy
Xa5i1	Fluoxetine allergy
Xa5i2	Fluvoxamine allergy
Xa5i4	Maprotiline allergy
Xa5i5	Mianserin allergy
Xa5iF	Methylphenobarbitone allergy
Xa5iG	Phenobarbitone allergy
Xa5iH	Primidone allergy
Xa5iP	Zopiclone allergy
Xa5iQ	Zolpidem allergy
Xa5iR	Chlormezanone allergy
Xa5iS	Methyprylone allergy
Xa5iT	Paraldehyde allergy
Xa5iU	Barbiturate sedative allergy
Xa5ia	Benzodiazepine sedative allergy
Xa5iu	Carbamate sedative allergy
Xa5iw	Chloral sedative allergy
Xa5j0	Buspirone allergy
Xa5j1	Chlormethiazole allergy
Xa5j3	Sulpiride allergy
Xa5j4	Loxapine allergy
Xa5j5	Clozapine allergy
Xa5j6	Risperidone allergy
Xa5j7	Tetrabenazine allergy
Xa5j8	Butyrophenone allergy
Xa5jE	Diphenylbutylpiperidine allergy
Xa5jH	Phenothiazine allergy
Xa5jV	Thioxanthene allergy
Xa5jb	Oxypertine allergy
Xa5jc	Remoxipride allergy
Xa5jk	Dexamphetamine allergy
Xa5jq	Acebutolol allergy
Xa5jr	Atenolol allergy
Xa5js	Betaxolol allergy
Xa5jt	Bisoprolol allergy
Xa5ju	Celiprolol allergy
Xa5jv	Esmolol allergy
Xa5jw	Metoprolol allergy
Xa5jy	Nadolol allergy
Xa5jz	Pindolol allergy
Xa5k0	Carvedilol allergy
Xa5k1	Metipranolol allergy
Xa5k2	Carteolol allergy
Xa5k3	Labetalol allergy
Xa5k4	Levobunolol allergy
Xa5k5	Oxprenolol allergy
Xa5k6	Penbutolol allergy
Xa5k7	Practolol allergy
Xa5k8	Propranolol allergy
Xa5k9	Sotalol allergy
Xa5kA	Timolol allergy
Xa5kb	Physostigmine allergy
Xa5kc	Demecarium allergy
Xa5kd	Distigmine allergy
Xa5ke	Ecothiopate allergy
Xa5kf	Edrophonium allergy
Xa5kg	Pyridostigmine allergy
Xa5kh	Neostigmine allergy
Xa5kp	Oxedrine tartrate allergy
Xa5kq	Metaraminol allergy
Xa5kr	Methoxamine allergy
Xa5ks	Naphazoline allergy
Xa5kt	Noradrenaline allergy
Xa5ku	Phenylephrine allergy
Xa5kv	Xylometazoline allergy
Xa5kx	Selective beta-2 adrenoceptor stimulants allergy
Xa5l9	Selective beta-1 adrenoceptor stimulants allergy
Xa5lC	Isoprenaline allergy
Xa5lH	Methyldopa allergy
Xa5lJ	Apraclonidine allergy
Xa5lK	Clonidine allergy
Xa5lL	Lofexidine allergy
Xa5lT	Belladonna alkaloids allergy
Xa5lU	Piperidolate hydrochloride allergy
Xa5lV	Biperiden allergy
Xa5lW	Emepronium bromide allergy
Xa5lX	Terodiline hydrochloride allergy
Xa5lY	Lachesine chloride allergy
Xa5lZ	Tropicamide allergy
Xa5la	Hyoscine allergy
Xa5lc	Atropine allergy
Xa5ld	Benzhexol allergy
Xa5le	Benztropine allergy
Xa5lf	Cyclopentolate allergy
Xa5lg	Glycopyrronium allergy
Xa5lh	Homatropine allergy
Xa5li	Ipratropium allergy
Xa5lj	Methixene allergy
Xa5lk	Orphenadrine allergy
Xa5ln	Oxitropium allergy
Xa5lo	Oxybutynin allergy
Xa5lp	Procyclidine allergy
Xa5mA	Non-sedating antihistamine allergy
Xa5mH	Sedating antihistamine allergy
Xa5mg	Nedocromil allergy
Xa5mh	Sodium cromoglycate allergy
Xa5mi	Ketotifen allergy
Xa5mj	Lodoxamide allergy
Xa5mm	Isoaminile allergy
Xa5mn	Morphinian cough suppressant allergy
Xa5mr	Compound cough suppressant allergy
Xa5nB	Dithranol ointment allergy
Xa5nC	Dithranol cream allergy
Xa5nD	Dithranol paste allergy
Xa5nP	Aserbine allergy
Xa5nR	Enbucrilate allergy
Xa5nX	Alkali metal soap allergy
Xa5nZ	Aluminium astringent allergy
Xa5nq	Colchicine allergy
Xa5ns	Probenecid allergy
Xa5nt	Sulphinpyrazone allergy
Xa5nv	Allopurinol allergy
Xa5ny	Depolarising muscle relaxant allergy
Xa5o0	Non-depolarising muscle relaxant allergy
Xa5oR	Dinoprostone allergy
Xa5oS	Gemeprost allergy
Xa5oT	Alprostadil allergy
Xa5oV	Dinoprost allergy
Xa5oW	Carboprost allergy
Xa5oY	Epoprostenol allergy
Xa5oj	Flumazenil allergy
Xa5ol	Pralidoxime allergy
Xa5oo	Naltrexone allergy
Xa5op	Naloxone allergy
Xa5os	Fullers earth powder allergy
Xa5ot	Bentonite powder allergy
Xa5oy	Dicobalt edetate allergy
Xa5oz	Sodium calciumedetate allergy
Xa5p0	Trisodium edetate allergy
Xa5p1	Disodium edetate allergy
Xa5pa	Paraffin-yellow soft allergy
Xa5pb	Paraffin-white soft allergy
Xa5pc	Liquid paraffin allergy
Xa5pe	Dimethicone allergy
Xa5pk	Hypromellose allergy
Xa5pm	Hydroxyethylcellulose allergy
Xa5pn	Hydroxypropylmethylcellulose allergy
Xa5po	Carmellose allergy
Xa5px	Griseofulvin allergy
Xa5py	Amphotericin allergy
Xa5pz	Natamycin allergy
Xa5q0	Nystatin allergy
Xa5q2	Undecenoates allergy
Xa5q3	Imidazole antifungal allergy
Xa5qC	Triazole antifungals allergy
Xa5qO	Human interferon gamma-1b allergy
Xa5qP	Interferon-A-2a allergy
Xa5qQ	Interferon-A-2b allergy
Xa5qR	Interferon-A-N1 allergy
Xa5qY	Idoxuridine in dimethylsulphoxide allergy
Xa5qc	Amodiaquine allergy
Xa5qd	Primaquine allergy
Xa5qe	Mefloquine allergy
Xa5qf	Hydroxychloroquine allergy
Xa5qg	Chloroquine allergy
Xa5qi	Proguanil allergy
Xa5qk	Quinine allergy
Xa5qz	Thymol allergy
Xa5r0	Chlorinated phenol disinfectant allergy
Xa5r4	Phenol allergy
Xa5r6	Alcohol products allergy
Xa5r9	Glutaraldehyde allergy
Xa5rA	Formaldehyde and related compounds allergy
Xa5rE	Propamidine isethionate allergy
Xa5rF	Dibromopropamidine isethionate allergy
Xa5rH	Chlorhexidine allergy
Xa5rI	Chlorhexidine hydrochloride and neomycin sulphate allergy
Xa5rK	Boric acid allergy
Xa5rM	Quaternary ammonium surfactant allergy
Xa5rQ	Quaternary pyridinium surfactant allergy
Xa5rS	Quaternary quinolinium surfactant allergy
Xa5rV	Acridine azo disinfectant dye allergy
Xa5rW	Triphenylmethane azo disinfectant dye allergy
Xa5rh	Mebendazole allergy
Xa5ri	Albendazole allergy
Xa5rj	Thiabendazole allergy
Xa5rm	Amikacin allergy
Xa5rn	Kanamycin allergy
Xa5ro	Netilmicin allergy
Xa5rp	Streptomycin allergy
Xa5rq	Framycetin allergy
Xa5rr	Neomycin allergy
Xa5rs	Gentamicin allergy
Xa5rt	Tobramycin allergy
Xa5rv	Erythromycin allergy
Xa5rw	Clarithromycin allergy
Xa5rx	Azithromycin allergy
Xa5s9	Acrosoxacin allergy
Xa5sA	Cinoxacin allergy
Xa5sB	Nalidixic acid allergy
Xa5sC	Ciprofloxacin allergy
Xa5sD	Enoxacin allergy
Xa5sE	Ofloxacin allergy
Xa5sF	Norfloxacin allergy
Xa5sG	Temafloxacin allergy
Xa5sI	Penicillinase-sensitive penicillins allergy
Xa5sP	Penicillinase-resistant penicillins allergy
Xa5sT	Broad spectrum penicillins allergy
Xa5sc	Antipseudomonal penicillins allergy
Xa5si	Mecillinam allergy
Xa5sj	Pivmecillinam allergy
Xa5sk	Combined penicillin preparation allergy
Xa5ss	Colistin allergy
Xa5st	Polymyxin B allergy
Xa5sw	First generation cephalosporin allergy
Xa5t3	Second generation cephalosporin allergy
Xa5t7	Third generation cephalosporin allergy
Xa5tH	Fourth generation cephalosporin allergy
Xa5tK	Cefoxitin allergy
Xa5tN	Clindamycin allergy
Xa5tO	Lincomycin allergy
Xa5tR	Aztreonam allergy
Xa5tT	Metronidazole allergy
Xa5tU	Tinidazole allergy
Xa5tV	Nimorazole allergy
Xa5tX	Calcium sulphaloxate allergy
Xa5tY	Phthalylsulphathiazole allergy
Xa5tZ	Sulfametopyrazine allergy
Xa5ta	Sulphadiazine allergy
Xa5tb	Sulphadimethoxine allergy
Xa5tc	Sulphadimidine allergy
Xa5td	Sulphafurazole allergy
Xa5te	Sulphaguanidine allergy
Xa5tf	Sulphaurea allergy
Xa5tg	Mafenide allergy
Xa5th	Silver sulphadiazine allergy
Xa5ti	Combined sulphonamides allergy
Xa5tj	Sulphacetamide allergy
Xa5tl	Clomocycline sodium allergy
Xa5tm	Doxycycline allergy
Xa5tn	Lymecycline allergy
Xa5to	Minocycline allergy
Xa5tp	Oxytetracycline allergy
Xa5tr	Chlortetracycline allergy
Xa5ts	Demeclocycline allergy
Xa5tt	Tetracycline allergy
Xa5tz	Sodium stibogluconate allergy
Xa5u1	Pentamidine allergy
Xa5u3	Diloxanide allergy
Xa5u5	Clioquinol allergy
Xa5u8	Pyrazinamide allergy
Xa5u9	Antibiotic antituberculosis drug allergy
Xa5uE	Hydrazide antituberculosis drug allergy
Xa5uG	Ethambutolol allergy
Xa5uI	Dapsone allergy
Xa5uJ	Clofazimine allergy
Xa5uO	Carbaryl allergy
Xa5uQ	Lindane allergy
Xa5uS	Malathion allergy
Xa5uU	Phenothrin allergy
Xa5uV	Permethrin allergy
Xa5uZ	Intramuscular immunoglobulin allergy
Xa5ua	Intravenous immunoglobulin allergy
Xa5ui	Diphtheria single antigen vaccine allergy
Xa5uj	Diphtheria and tetanus vaccine allergy
Xa5uk	Diphtheria and tetanus and pertussis vaccine allergy
Xa5un	Influenza split virion vaccine allergy
Xa5uo	Influenza surface antigen vaccine allergy
Xa5uy	Typhoid polysaccharide vaccine allergy
Xa5uz	Typhoid whole cell vaccine allergy
Xa5vC	Carbimazole allergy
Xa5vE	Propylthiouracil allergy
Xa5vI	Topical hydrocortisone allergy
Xa5vJ	Topical compound hydrocortisone preparation allergy
Xa5vf	Topical dexamethasone allergy
Xa5vg	Topical compound dexamethasone preparation allergy
Xa5vj	Topical prednisolone allergy
Xa5vo	Topical budesonide allergy
Xa5vy	Humulin insulin allergy
Xa5vz	Initard insulin allergy
Xa5w0	Pur-In-Mix insulin allergy
Xa5w1	Mixtard insulin allergy
Xa5w4	Acetohexamide allergy
Xa5w5	Chlorpropamide allergy
Xa5w6	Glibenclamide allergy
Xa5w7	Glibornuride allergy
Xa5w8	Gliclazide allergy
Xa5w9	Glipizide allergy
Xa5wA	Gliquidone allergy
Xa5wB	Glymidine allergy
Xa5wC	Tolazamide allergy
Xa5wD	Tolbutamide allergy
Xa5wF	Metformin allergy
Xa5wK	Allyloestrenol allergy
Xa5wL	Dydrogesterone allergy
Xa5wM	Progesterone allergy
Xa5wN	Gestronol allergy
Xa5wO	Hydroxyprogesterone allergy
Xa5wP	Megestrol allergy
Xa5wQ	Norethisterone allergy
Xa5wR	Ethynodiol diacetate allergy
Xa5wS	Levonorgestrel allergy
Xa5wT	Medroxyprogesterone allergy
Xa5wV	Tibolone allergy
Xa5wW	Drostanolone propionate allergy
Xa5wX	Oxymetholone allergy
Xa5wY	Nandrolone allergy
Xa5wZ	Stanozolol allergy
Xa5we	Finasteride allergy
Xa5wf	Flutamide allergy
Xa5wg	Bicalutamide allergy
Xa5wh	Cyproterone acetate and ethinyloestradiol allergy
Xa5wi	Cyproterone allergy
Xa5wl	Mesterolone allergy
Xa5wm	Methyltestosterone allergy
Xa5wn	Testosterone allergy
Xa5wt	Oestradiol allergy
Xa5wx	Piperazine oestrone sulphate allergy
Xa5wy	Quinestradol allergy
Xa5wz	Quinestrol allergy
Xa5x0	Dienoestrol allergy
Xa5x1	Polyestradiol phosphate allergy
Xa5x2	Fosfestrol allergy
Xa5x3	Mestranol allergy
Xa5x4	Ethinyloestradiol allergy
Xa5x5	Oestriol allergy
Xa5x6	Conjugated oestrogens allergy
Xa5x7	Stilboestrol allergy
Xa5xI	Desmopressin allergy
Xa5xJ	Lypressin allergy
Xa5xK	Terlipressin allergy
Xa5xL	Vasopressin allergy
Xa5xN	Corticotrophins allergy
Xa5xO	Tetracosactrin allergy
Xa5xQ	Gonadorelin allergy
Xa5xR	Nafarelin allergy
Xa5xS	Buserelin allergy
Xa5xT	Goserelin allergy
Xa5xU	Triptorelin allergy
Xa5xV	Gonadotrophic hormone allergy
Xa5xW	Leuprorelin allergy
Xa5xY	Oxytocin allergy
Xa5xZ	Oxytocin and ergometrine allergy
Xa5xb	Octreotide allergy
Xa5xc	Growth hormone allergy
Xa5xe	Protirelin allergy
Xa5xf	Thyrotrophin allergy
Xa5xi	Disodium etidronate allergy
Xa5xj	Disodium pamidronate allergy
Xa5xk	Sodium clodronate allergy
Xa5xl	Disodium etidronate and calcium carbonate allergy
Xa5xn	Calcitonin allergy
Xa5y5	Factor VIII fraction products allergy
Xa5y6	Factor IX fraction products allergy
Xa5y7	Activated factor VII products allergy
Xa5y9	Factor IX by-passing fraction products allergy
Xa5yA	Factor V concentrate products allergy
Xa5yB	Factor VII concentrate products allergy
Xa5yC	Factor VIII by-passing fraction products allergy
Xa5yD	Factor XI products allergy
Xa5yE	Factor XIII products allergy
Xa5yF	von Willebrand factor products allergy
Xa5yI	Ancrod allergy
Xa5yJ	Heparin allergy
Xa5yN	Heparinoid allergy
Xad9o	Rivaroxaban allergy
Xad9p	Apixaban allergy
Xa5yQ	Coumarin anticoagulant allergy
Xa5yT	Indanedione anticoagulant allergy
Xa5yj	Ferrous fumarate allergy
Xa5yk	Ferrous gluconate allergy
Xa5yl	Ferrous glycine sulphate allergy
Xa5ym	Ferrous succinate allergy
Xa5yn	Ferrous sulphate allergy
Xa5yo	Ferrous phosphate allergy
Xa5yr	Intravenous nutrition (electrolytes/trace elements) allergy
Xa5ys	Intravenous nutrition (vitamins) allergy
Xa5z1	Povidone iodine allergy
Xa5z8	Vitamin A allergy
Xa5z9	Vitamin D allergy
Xa5zA	Vitamin K allergy
Xa5zB	Alpha-tocopheryl allergy
Xa5zD	Vitamin B group allergy
Xa5zP	Ascorbic acid allergy
Xa5zS	Sodium cellulose phosphate allergy
Xa5zT	Calcium polystyrene sulphonate allergy
Xa5zU	Sodium polystyrene sulphonate allergy
Xa5zj	Colestipol allergy
Xa5zk	Cholestyramine allergy
Xa5zm	Bezafibrate allergy
Xa5zn	Clofibrate allergy
Xa5zo	Fenofibrate allergy
Xa5zp	Ciprofibrate allergy
Xa5zr	Omega 3-marine triglycerides allergy
Xa5zt	Simvastatin allergy
Xa5zu	Fluvastatin allergy
Xa5zv	Pravastatin allergy
Xa5zz	Disopyramide allergy
Xa600	Quinidine allergy
Xa601	Flecainide allergy
Xa602	Mexiletine allergy
Xa603	Moracizine allergy
Xa604	Procainamide allergy
Xa605	Propafenone allergy
Xa606	Tocainide allergy
Xa608	Bretylium allergy
Xa60A	Amiodarone allergy
Xa60E	Bendroflumethiazide allergy
Xa60F	Chlorothiazide allergy
Xa60G	Cyclopenthiazide allergy
Xa60H	Hydrochlorothiazide allergy
Xa60I	Hydroflumethiazide allergy
Xa60J	Methyclothiazide allergy
Xa60K	Polythiazide allergy
Xa60M	Frusemide allergy
Xa60N	Bumetanide allergy
Xa60O	Ethacrynic acid allergy
Xa60P	Piretanide allergy
Xa60Q	Torasemide allergy
Xa60S	Triamterene allergy
Xa60T	Aldosterone antagonists allergy
Xa60W	Amiloride allergy
Xa60Y	Amiloride and loop diuretic allergy
Xa60Z	Amiloride and thiazide diuretic allergy
Xa60a	Spironolactone and loop diuretic allergy
Xa60b	Spironolactone and thiazide diuretic allergy
Xa60c	Triamterene and loop diuretic allergy
Xa60d	Triamterene and thiazide diuretic allergy
Xa60f	Mannitol allergy
Xa60h	Mersalyl allergy
Xa60j	Chlorthalidone allergy
Xa60k	Indapamide allergy
Xa60l	Mefruside allergy
Xa60m	Metolazone allergy
Xa60n	Xipamide allergy
Xa60p	Dichlorphenamide allergy
Xa60q	Acetazolamide allergy
Xa60t	Bethanidine allergy
Xa60u	Debrisoquine allergy
Xa60v	Guanethidine allergy
Xa60x	Captopril allergy
Xa60y	Lisinopril allergy
Xa60z	Quinapril allergy
Xa610	Ramipril allergy
Xa611	Cilazapril allergy
Xa612	Trandolapril allergy
Xa613	Enalapril allergy
Xa614	Fosinopril allergy
Xa615	Perindopril allergy
Xa617	Trimetaphan allergy
Xa61D	Digoxin allergy
Xa61E	Digitoxin allergy
Xa61F	Lanatoside C allergy
Xa61G	Medigoxin allergy
Xa61H	Ouabain allergy
Xa61J	Enoximone allergy
Xa61K	Milrinone allergy
XaXgz	Phosphodiesterase-5 inhibitor allergy
Xa61N	Co-dergocrine allergy
Xa61O	Ergot alkaloid allergy
Xa61T	Minoxidil allergy
Xa61U	Sodium nitroprusside allergy
Xa61V	Flosequinan allergy
Xa61W	Diazoxide allergy
Xa61X	Hydralazine allergy
Xa61b	Glyceryl trinitrate allergy
Xa61h	Isosorbide dinitrate allergy
Xa61l	Isosorbide mononitrate allergy
Xa61n	Pentaerythritol tetranitrate allergy
Xa61p	Bamethan sulphate allergy
Xa61q	Oxpentifylline allergy
Xa61r	Cyclandelate allergy
Xa61s	Nicofuranose allergy
Xa61t	Inositol nicotinate allergy
Xa61u	Isoxsuprine allergy
Xa61v	Naftidrofuryl allergy
Xa61w	Nicotinyl alcohol allergy
Xa61y	Thymoxamine allergy
Xa5dq	Aspirin allergy
Xa5dv	Dextromoramide allergy
Xa5dw	Dextropropoxyphene allergy
Xa5dx	Dipipanone allergy
Xa5dy	Methadone allergy
Xa5e0	Buprenorphine allergy
Xa5e1	Codeine allergy
Xa5e2	Diamorphine allergy
Xa5e3	Dihydrocodeine allergy
Xa5e4	Nalbuphine allergy
Xa5e5	Morphine allergy
Xa5e8	Alfentanil allergy
Xa5e9	Fentanyl allergy
Xa5eA	Pethidine allergy
Xa5eB	Phenoperidine allergy
Xa5gO	Chlorambucil allergy
Xa5gP	Cyclophosphamide allergy
Xa5gQ	Ethoglucid allergy
Xa5gR	Ifosfamide allergy
Xa5gS	Melphalan allergy
Xa5gT	Estramustine allergy
Xa5gU	Mustine allergy
Xa5gW	Carmustine allergy
Xa5gX	Lomustine allergy
Xa5gZ	Dacarbazine allergy
Xa5iV	Amylobarbitone allergy
Xa5iW	Butobarbitone allergy
Xa5iX	Cyclobarbitone allergy
Xa5iY	Amylobarbitone sodium allergy
Xa5iZ	Quinalbarbitone allergy
Xa5ib	Flunitrazepam allergy
Xa5ic	Flurazepam allergy
Xa5id	Loprazolam allergy
Xa5ie	Lormetazepam allergy
Xa5if	Nitrazepam allergy
Xa5ig	Triazolam allergy
Xa5ih	Alprazolam allergy
Xa5ii	Bromazepam allergy
Xa5ij	Chlordiazepoxide allergy
Xa5ik	Clobazam allergy
Xa5il	Potassium clorazepate allergy
Xa5im	Ketazolam allergy
Xa5in	Medazepam allergy
Xa5io	Oxazepam allergy
Xa5ip	Prazepam allergy
Xa5iq	Midazolam allergy
Xa5ir	Diazepam allergy
Xa5is	Lorazepam allergy
Xa5it	Temazepam allergy
Xa5iv	Meprobamate allergy
Xa5ix	Chloral hydrate allergy
Xa5iy	Dichloralphenazone allergy
Xa5iz	Triclofos sodium allergy
Xa5j9	Benperidol allergy
Xa5jA	Trifluperidol allergy
Xa5jB	Haloperidol decanoate allergy
Xa5jC	Droperidol allergy
Xa5jD	Haloperidol allergy
Xa5jF	Pimozide allergy
Xa5jG	Fluspirilene allergy
Xa5jI	Methotrimeprazine allergy
Xa5jJ	Pericyazine allergy
Xa5jK	Fluphenazine decanoate allergy
Xa5jL	Fluphenazine enanthate allergy
Xa5jM	Thiethylperazine allergy
Xa5jN	Fluphenazine allergy
Xa5jO	Chlorpromazine allergy
Xa5jP	Pipothiazine allergy
Xa5jQ	Promazine allergy
Xa5jR	Thioridazine allergy
Xa5jS	Perphenazine allergy
Xa5jT	Prochlorperazine allergy
Xa5jU	Trifluoperazine allergy
Xa5jW	Chlorprothixene allergy
Xa5jX	Flupenthixol decanoate allergy
Xa5jY	Zuclopenthixol decanoate allergy
Xa5jZ	Zuclopenthixol allergy
Xa5ja	Flupenthixol allergy
Xa5ky	Pirbuterol allergy
Xa5kz	Salmeterol allergy
Xa5l0	Salbutamol allergy
Xa5l1	Bambuterol allergy
Xa5l2	Fenoterol allergy
Xa5l3	Orciprenaline allergy
Xa5l4	Reproterol allergy
Xa5l5	Rimiterol allergy
Xa5l6	Ritodrine allergy
Xa5l7	Terbutaline allergy
Xa5l8	Tulobuterol allergy
Xa5lA	Dobutamine allergy
Xa5lB	Dopexamine allergy
Xa5lD	Oral isoprenaline allergy
Xa5lE	Inhaled isoprenaline allergy
Xa5lF	Parenteral isoprenaline allergy
Xa5lI	Methyldopa and diuretic allergy
Xa5lb	Hyoscine hydrobromide allergy
Xa5ll	Orphenadrine hydrochloride allergy
Xa5lm	Orphenadrine citrate allergy
Xa5mB	Astemizole allergy
Xa5mC	Terfenadine allergy
Xa5mD	Acrivastine allergy
Xa5mE	Loratadine allergy
Xa5mF	Azelastine allergy
Xa5mG	Cetirizine allergy
Xa5mI	Clemastine allergy
Xa5mJ	Mebhydrolin allergy
Xa5mK	Mequitazine allergy
Xa5mL	Oxatomide allergy
Xa5mM	Cyclizine allergy
Xa5mN	Dimenhydrinate allergy
Xa5mO	Meclozine hydrochloride allergy
Xa5mP	Antazoline allergy
Xa5mQ	Promethazine allergy
Xa5mR	Azatadine allergy
Xa5mS	Brompheniramine allergy
Xa5mT	Chlorpheniramine allergy
Xa5mU	Cinnarizine allergy
Xa5mV	Cyproheptadine allergy
Xa5mW	Dimethindene allergy
Xa5mX	Diphenhydramine allergy
Xa5mY	Diphenylpyraline allergy
Xa5mZ	Hydroxyzine allergy
Xa5ma	Mepyramine allergy
Xa5mb	Phenindamine allergy
Xa5mc	Pheniramine allergy
Xa5md	Triprolidine allergy
Xa5me	Trimeprazine allergy
Xa5mo	Dextromethorphan hydrobromide allergy
Xa5mp	Noscapine allergy
Xa5mq	Pholcodine allergy
Xa5nz	Suxamethonium allergy
Xa5o1	Mivacurium allergy
Xa5o2	Alcuronium allergy
Xa5o3	Atracurium allergy
Xa5o4	Gallamine allergy
Xa5o5	Pancuronium allergy
Xa5o6	Tubocurarine allergy
Xa5o7	Vecuronium allergy
Xa5o8	Rocuronium allergy
Xa5q4	Clotrimazole allergy
Xa5q5	Fenticonazole allergy
Xa5q6	Tioconazole allergy
Xa5q7	Econazole allergy
Xa5q8	Isoconazole allergy
Xa5q9	Sulconazole allergy
Xa5qA	Ketoconazole allergy
Xa5qB	Miconazole allergy
Xa5qD	Fluconazole allergy
Xa5qE	Itraconazole allergy
Xa5r1	Chloroxylenol allergy
Xa5r2	Hexachlorophane allergy
Xa5r3	Triclosan allergy
Xa5r7	Industrial methylated spirit allergy
Xa5rB	Noxythiolin allergy
Xa5rC	Formaldehyde allergy
Xa5rN	Cetrimide allergy
Xa5rO	Benzalkonium allergy
Xa5rP	Domiphen allergy
Xa5rR	Cetylpyridinium allergy
Xa5rT	Dequalinium allergy
Xa5rX	Crystal violet allergy
Xa5rY	Brilliant green allergy
Xa5sJ	Benethamine penicillin allergy
Xa5sK	Benzathine penicillin allergy
Xa5sL	Phenethicillin allergy
Xa5sM	Phenoxymethylpenicillin allergy
Xa5sN	Procaine penicillin allergy
Xa5sO	Benzylpenicillin allergy
Xa5sQ	Cloxacillin allergy
Xa5sR	Flucloxacillin allergy
Xa5sS	Methicillin allergy
Xa5sU	Amoxycillin allergy
Xa5sV	Ampicillin allergy
Xa5sW	Ciclacillin allergy
Xa5sX	Mezlocillin allergy
Xa5sY	Pivampicillin allergy
Xa5sZ	Carbenicillin allergy
Xa5sa	Bacampicillin allergy
Xa5sb	Talampicillin allergy
Xa5sd	Temocillin allergy
Xa5se	Piperacillin allergy
Xa5sf	Azlocillin allergy
Xa5sg	Ticarcillin allergy
Xa5sh	Carfecillin allergy
Xa5sl	Ampicillin and cloxacillin allergy
Xa5sm	Co-amoxiclav allergy
Xa5sn	Co-fluampicil allergy
Xa5so	Piperacillin and tazobactam allergy
Xa5sp	Pivampicillin and pivmecillinam allergy
Xa5sq	Ticarcillin and clavulanic acid allergy
Xa5sx	Cefadroxil allergy
Xa5sy	Cephalexin allergy
Xa5sz	Cephalothin allergy
Xa5t0	Cephazolin allergy
Xa5t1	Cephradine allergy
Xa5t2	Latamoxef allergy
Xa5t4	Cefaclor allergy
Xa5t5	Cefuroxime allergy
Xa5t6	Cephamandole allergy
Xa5t8	Cefotaxime allergy
Xa5t9	Ceftazidime allergy
Xa5tA	Ceftizoxime allergy
Xa5tB	Cefixime allergy
Xa5tC	Cefodizime allergy
Xa5tD	Cefpodoxime allergy
Xa5tE	Ceftriaxone allergy
Xa5tF	Ceftibuten allergy
Xa5tG	Cefsulodin allergy
Xa5tI	Cefpirome allergy
Xa5uA	Capreomycin allergy
Xa5uB	Cycloserine allergy
Xa5uC	Rifampicin allergy
Xa5uD	Rifabutin allergy
Xa5uF	Isoniazid allergy
Xa5wo	Testosterone implant allergy
Xa5wp	Intramuscular testosterone allergy
Xa5wq	Oral testosterone allergy
Xa5wr	Testosterone patch allergy
Xa5wu	Oral oestradiol allergy
Xa5wv	Oestradiol implant allergy
Xa5ww	Topical oestradiol allergy
Xa5xo	Salcatonin allergy
Xa5xp	Calcitonin (pork) allergy
Xa5y8	Acset allergy
Xa5yK	Enoxaparin allergy
Xa5yL	Dalteparin allergy
Xa5yM	Tinzaparin allergy
Xa5yO	Danaparoid sodium allergy
Xa5yR	Nicoumalone allergy
Xa5yS	Warfarin allergy
Xa5yU	Phenindione allergy
Xa5zE	Nicotinic acid allergy
Xa5zF	Folic acid allergy
Xa5zG	Folinic acid allergy
Xa5zH	Vitamin B12 preparation allergy
Xa5zK	Nicotinamide allergy
Xa5zM	Inositol allergy
Xa5zN	Pyridoxine preparation allergy
Xa5zO	Thiamine preparation allergy
Xa60U	Potassium canrenoate allergy
Xa60V	Spironolactone allergy
Xa61P	Dihydroergotamine mesylate allergy
Xa61Q	Ergometrine allergy
Xa61c	Oral glyceryl trinitrate allergy
Xa61e	Parenteral glyceryl trinitrate allergy
Xa61f	Transdermal glyceryl trinitrate allergy
Xa61g	Glyceryl trinitrate spray allergy
Xa61i	Parenteral isosorbide dinitrate allergy
Xa61j	Oral isosorbide dinitrate allergy
Xa61m	Modified release isosorbide mononitrate allergy
Xa5zI	Hydroxocobalamin allergy
Xa5zJ	Cyanocobalamin allergy
Xa61d	Modified release GTN allergy
