^ESCT1164493	Trimipramine mesylate
^ESCT1270589	Nortriptyline 10mg tablets (Mylan) 30 tablet 3 x 10 tablets
^ESCT1270590	Nortriptyline 10mg tablets (Mylan) 100 tablet
^ESCT1270591	Nortriptyline 25mg tablets (Mylan)
^ESCT1270592	Nortriptyline 25mg tablets (Mylan) 30 tablet 3 x 10 tablets
^ESCT1270593	Nortriptyline 25mg tablets (Mylan) 100 tablet
^ESCT1270594	Nortriptyline 50mg tablets (Mylan)
^ESCT1270595	Nortriptyline 50mg tablets (Mylan) 30 tablet 3 x 10 tablets
^ESCT1274925	Trimipramine 25mg tablets 50 tablet
^ESCT1274964	Trimipramine 25mg tablets 100 tablet
^ESCT1275173	Trimipramine 10mg tablets 25 tablet
^ESCT1275175	Trimipramine 10mg tablets 50 tablet
^ESCT1275367	Nortriptyline 10mg tablets (DE Pharmaceuticals) 84 tablet
^ESCT1275368	Nortriptyline 25mg tablets (DE Pharmaceuticals)
^ESCT1275369	Nortriptyline 25mg tablets (DE Pharmaceuticals) 84 tablet
^ESCT1275370	Nortriptyline 25mg tablets (DE Pharmaceuticals) 28 tablet
^ESCT1275371	Nortriptyline 25mg tablets (DE Pharmaceuticals) 100 tablet
^ESCT1275769	Trimipramine 10mg tablets (DE Pharmaceuticals)
^ESCT1275770	Trimipramine 10mg tablets (DE Pharmaceuticals) 28 tablet
^ESCT1275771	Trimipramine 25mg tablets (DE Pharmaceuticals)
^ESCT1275772	Trimipramine 25mg tablets (DE Pharmaceuticals) 28 tablet
^ESCT1276750	Nortriptyline 10mg/5ml oral solution sugar free 250 ml
^ESCT1276751	Nortriptyline 10mg/5ml oral solution sugar free (Colonis Pharma Ltd)
^ESCT1276752	Nortriptyline 10mg/5ml oral solution sugar free (Colonis Pharma Ltd) 250 ml
^ESCT1276753	Nortriptyline 25mg/5ml oral solution sugar free 250 ml
^ESCT1276754	Nortriptyline 25mg/5ml oral solution sugar free (Colonis Pharma Ltd)
^ESCT1276755	Nortriptyline 25mg/5ml oral solution sugar free (Colonis Pharma Ltd) 250 ml
^ESCT1276798	Nortriptyline 10mg/5ml oral solution sugar free
^ESCT1276799	Nortriptyline 25mg/5ml oral solution sugar free
^ESCT1276805	Nortriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCT1276806	Nortriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet
^ESCT1276807	Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCT1276816	Nortriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCT1276817	Nortriptyline 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 250 ml
^ESCT1276818	Nortriptyline 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCT1276819	Nortriptyline 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 250 ml
^ESCT1276820	Nortriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet
^ESCT1276926	Imipramine 10mg tablets (Accord Healthcare Ltd)
^ESCT1276928	Imipramine 25mg tablets (Accord Healthcare Ltd)
^ESCT1276944	Imipramine 10mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCT1276945	Imipramine 25mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCT1278933	Lofepramine 70mg tablets (Zentiva)
^ESCT1278934	Lofepramine 70mg tablets (Zentiva) 56 tablet
^ESCT1278976	Nortriptyline 10mg tablets (Zentiva)
^ESCT1278977	Nortriptyline 10mg tablets (Zentiva) 100 tablet 10 x 10 tablets
^ESCT1278978	Nortriptyline 25mg tablets (Zentiva)
^ESCT1278979	Nortriptyline 25mg tablets (Zentiva) 100 tablet 10 x 10 tablets
^ESCT1279744	Amitriptyline 50mg tablets (Accord Healthcare Ltd)
^ESCT1279751	Amitriptyline 50mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCT1300345	Lofepramine 70mg tablets (NorthStar Healthcare Unlimited Company)
^ESCT1300346	Lofepramine 70mg tablets (NorthStar Healthcare Unlimited Company) 56 tablet 4 x 14 tablets
^ESCT1303748	Nortriptyline 25mg capsules 100 capsule
^ESCT1303749	Nortriptyline 25mg capsules (Kent Pharmaceuticals Ltd)
^ESCT1303750	Nortriptyline 25mg capsules (Kent Pharmaceuticals Ltd) 100 capsule
^ESCT1303751	Nortriptyline 10mg capsules 100 capsule
^ESCT1303753	Nortriptyline 10mg capsules (Kent Pharmaceuticals Ltd)
^ESCT1303754	Nortriptyline 10mg capsules (Kent Pharmaceuticals Ltd) 100 capsule
^ESCT1303883	Nortriptyline 10mg capsules
^ESCT1303884	Nortriptyline 25mg capsules
^ESCT1374262	Doxepin 50mg capsules (Crescent Pharma Ltd)
^ESCT1374263	Doxepin 50mg capsules (Crescent Pharma Ltd) 28 capsule 2 x 14 capsules
^ESCT1374347	Doxepin 25mg capsules (Crescent Pharma Ltd)
^ESCT1374349	Doxepin 25mg capsules (Crescent Pharma Ltd) 28 capsule 2 x 14 capsules
^ESCT1374660	Amitriptyline 25mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)
^ESCT1374661	Amitriptyline 25mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) 150 ml
^ESCT1374665	Amitriptyline 10mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)
^ESCT1374668	Amitriptyline 10mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) 150 ml
^ESCT1374669	Amitriptyline 25mg tablets (Medihealth (Northern) Ltd)
^ESCT1374670	Amitriptyline 25mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1374671	Amitriptyline 50mg tablets (Medihealth (Northern) Ltd)
^ESCT1374672	Amitriptyline 50mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1374673	Amitriptyline 50mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)
^ESCT1374674	Amitriptyline 50mg/5ml oral solution sugar free (Medihealth (Northern) Ltd) 150 ml
^ESCT1374675	Amitriptyline 10mg tablets (Medihealth (Northern) Ltd)
^ESCT1374676	Amitriptyline 10mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1375225	Clomipramine 10mg capsules (Medihealth (Northern) Ltd)
^ESCT1375226	Clomipramine 10mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1375227	Clomipramine 25mg capsules (Medihealth (Northern) Ltd)
^ESCT1375228	Clomipramine 25mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1375231	Clomipramine 50mg capsules (Medihealth (Northern) Ltd)
^ESCT1375232	Clomipramine 50mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1375524	Doxepin 25mg capsules (Medihealth (Northern) Ltd)
^ESCT1375525	Doxepin 25mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1375526	Doxepin 50mg capsules (Medihealth (Northern) Ltd)
^ESCT1375527	Doxepin 50mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1376239	Imipramine 10mg tablets (Medihealth (Northern) Ltd)
^ESCT1376240	Imipramine 10mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1376241	Imipramine 25mg tablets (Medihealth (Northern) Ltd)
^ESCT1376242	Imipramine 25mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1376970	Desipramine-containing product
^ESCT1378569	Butriptyline-containing product
^ESCT1381072	Iprindole-containing product
^ESCT1382069	Amitriptyline-containing product in oral dose form
^ESCT1382070	Amitriptyline-containing product in parenteral dose form
^ESCT1382072	Imipramine-containing product in parenteral dose form
^ESCT1383621	Imipramine-containing product in oral dose form
^ESCT1384019	Doxepin-containing product in oral dose form
^ESCT1384918	Clomipramine-containing product in oral dose form
^ESCT1385419	Trimipramine mesilate
^ESCT1386159	Amitriptyline- and chlordiazepoxide-containing product
^ESCT1386160	Amitriptyline- and chlordiazepoxide-containing product in oral dose form
^ESCT1386161	Amitriptyline- and perphenazine-containing product in oral dose form
^ESCT1386237	Dosulepin-containing product in oral dose form
^ESCT1386238	Dothiepin-containing product in oral dose form
^ESCT1386266	Desipramine-containing product in oral dose form
^ESCT1386389	Nortriptyline-containing product in oral dose form
^ESCT1386575	Trimipramine-containing product in oral dose form
^ESCT1386612	Lofepramine-containing product in oral dose form
^ESCT1386647	Fluphenazine- and nortriptyline-containing product in oral dose form
^ESCT1386982	Clomipramine-containing product in parenteral dose form
^ESCT1386987	Protriptyline-containing product in oral dose form
^ESCT1402126	Lofepramine 70mg tablets (Medihealth (Northern) Ltd)
^ESCT1402127	Lofepramine 70mg tablets (Medihealth (Northern) Ltd) 56 tablet
^ESCT1402426	Nortriptyline 50mg tablets (Medihealth (Northern) Ltd)
^ESCT1402427	Nortriptyline 50mg tablets (Medihealth (Northern) Ltd) 30 tablet
^ESCT1402428	Nortriptyline 10mg tablets (Medihealth (Northern) Ltd)
^ESCT1402429	Nortriptyline 10mg tablets (Medihealth (Northern) Ltd) 100 tablet
^ESCT1402430	Nortriptyline 25mg tablets (Medihealth (Northern) Ltd)
^ESCT1402431	Nortriptyline 25mg tablets (Medihealth (Northern) Ltd) 100 tablet
^ESCT1402610	Nortriptyline 10mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCT1402611	Nortriptyline 10mg capsules (Alliance Healthcare (Distribution) Ltd) 100 capsule
^ESCT1402612	Nortriptyline 25mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCT1402613	Nortriptyline 25mg capsules (Alliance Healthcare (Distribution) Ltd) 100 capsule
^ESCT1403855	Imipramine 25mg tablets (Relonchem Ltd)
^ESCT1403856	Imipramine 25mg tablets (Relonchem Ltd) 28 tablet
^ESCT1403968	Dosulepin 75mg tablets (Medihealth (Northern) Ltd)
^ESCT1403969	Dosulepin 75mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1404746	Dosulepin 25mg capsules (Medihealth (Northern) Ltd)
^ESCT1404747	Dosulepin 25mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1404785	Doxepin 25mg capsules (Zentiva)
^ESCT1404788	Doxepin 25mg capsules (Zentiva) 28 capsule
^ESCT1404789	Doxepin 50mg capsules (Zentiva)
^ESCT1404790	Doxepin 50mg capsules (Zentiva) 28 capsule
^ESCT1405455	Nortriptyline 10mg tablets (Flamingo Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
^ESCT1405456	Nortriptyline 25mg tablets (Flamingo Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
^ESCT1409550	Prothiaden 25mg capsules (Teofarma S.r.l.)
^ESCT1409733	Prothiaden 75mg tablets (Teofarma S.r.l.)
^ESCT1409839	Prothiaden 25mg capsules (Teofarma S.r.l.) 100 capsule
^ESCT1409840	Prothiaden 25mg capsules (Teofarma S.r.l.) 600 capsule
^ESCT1409842	Prothiaden 75mg tablets (Teofarma S.r.l.) 28 tablet
^ESCT1409843	Prothiaden 75mg tablets (Teofarma S.r.l.) 500 tablet
^ESCT1410879	Prothiaden 25mg capsules (Teofarma S.r.l.) 28 capsule 2 x 14 capsules
^ESCT1410971	Nortriptyline 10mg/5ml oral suspension (Special Order)
^ESCT1410972	Nortriptyline 10mg/5ml oral suspension (Special Order) 1 ml
^ESCT1412165	Amitriptyline 25mg/5ml oral solution sugar free (Accord Healthcare Ltd)
^ESCT1412166	Amitriptyline 25mg/5ml oral solution sugar free (Accord Healthcare Ltd) 150 ml
^ESCT1412167	Amitriptyline 50mg/5ml oral solution sugar free (Accord Healthcare Ltd)
^ESCT1412168	Amitriptyline 50mg/5ml oral solution sugar free (Accord Healthcare Ltd) 150 ml
^ESCT1412439	Nortriptyline 10mg/5ml oral suspension (Special Order) 100 ml
^ESCT1422560	Trimipramine 50mg capsules (Zentiva Pharma UK Ltd)
^ESCT1422561	Trimipramine 50mg capsules (Zentiva Pharma UK Ltd) 28 capsule 2 x 14 capsules
^ESCT1422562	Trimipramine 25mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422563	Trimipramine 25mg tablets (Zentiva Pharma UK Ltd) 28 tablet 2 x 14 tablets
^ESCT1422564	Trimipramine 10mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422565	Trimipramine 10mg tablets (Zentiva Pharma UK Ltd) 28 tablet 2 x 14 tablets
^ESCT1422700	Lofepramine 70mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422701	Lofepramine 70mg tablets (Zentiva Pharma UK Ltd) 56 tablet
^ESCT1422780	Nortriptyline 10mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422781	Nortriptyline 10mg tablets (Zentiva Pharma UK Ltd) 100 tablet 10 x 10 tablets
^ESCT1422782	Nortriptyline 25mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422783	Nortriptyline 25mg tablets (Zentiva Pharma UK Ltd) 100 tablet 10 x 10 tablets
^ESCT1423118	Doxepin 25mg capsules (Zentiva Pharma UK Ltd)
^ESCT1423119	Doxepin 25mg capsules (Zentiva Pharma UK Ltd) 28 capsule
^ESCT1423120	Doxepin 50mg capsules (Zentiva Pharma UK Ltd)
^ESCT1423121	Doxepin 50mg capsules (Zentiva Pharma UK Ltd) 28 capsule
^ESCT1424771	Nortriptyline 30mg / Fluphenazine 1.5mg tablets
^ESCT1424772	Nortriptyline 10mg / Fluphenazine 500microgram tablets
^ESCT1424835	Lofepramine 70mg tablets
^ESCT1424857	Nortriptyline 10mg tablets
^ESCT1424858	Nortriptyline 25mg tablets
^ESCT1425158	Amitriptyline 10mg / Perphenazine 2mg tablets
^ESCT1425159	Amitriptyline 25mg / Perphenazine 2mg tablets
^ESCT1425505	Amitriptyline 10mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425508	Amitriptyline 50mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425546	Dosulepin 75mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425620	Amitriptyline 25mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd)
^ESCT1425638	Clomipramine 25mg capsules (Kent Pharma (UK) Ltd)
^ESCT1425679	Amitriptyline 25mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425758	Dosulepin 25mg capsules (Kent Pharma (UK) Ltd)
^ESCT1425767	Clomipramine 10mg capsules (Kent Pharma (UK) Ltd)
^ESCT1425781	Imipramine 25mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425849	Lofepramine 70mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425906	Imipramine 10mg tablets (Kent Pharma (UK) Ltd)
^ESCT1425912	Clomipramine 50mg capsules (Kent Pharma (UK) Ltd)
^ESCT1426023	Amitriptyline 10mg tablets (Kent Pharma (UK) Ltd) 28 tablet
^ESCT1426025	Amitriptyline 25mg tablets (Kent Pharma (UK) Ltd) 28 tablet
^ESCT1426031	Amitriptyline 50mg tablets (Kent Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1426053	Dosulepin 25mg capsules (Kent Pharma (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCT1426054	Dosulepin 25mg capsules (Kent Pharma (UK) Ltd) 100 capsule
^ESCT1426055	Dosulepin 25mg capsules (Kent Pharma (UK) Ltd) 600 capsule
^ESCT1426060	Dosulepin 75mg tablets (Kent Pharma (UK) Ltd) 28 tablet
^ESCT1426061	Dosulepin 75mg tablets (Kent Pharma (UK) Ltd) 500 tablet
^ESCT1426177	Clomipramine 10mg capsules (Kent Pharma (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCT1426181	Clomipramine 25mg capsules (Kent Pharma (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCT1426184	Clomipramine 50mg capsules (Kent Pharma (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCT1426185	Clomipramine 50mg capsules (Kent Pharma (UK) Ltd) 100 capsule
^ESCT1426228	Clomipramine 25mg capsules (Kent Pharma (UK) Ltd) 100 capsule
^ESCT1426364	Amitriptyline 25mg/5ml oral solution sugar free (Kent Pharma (UK) Ltd) 150 ml
^ESCT1426385	Lofepramine 70mg tablets (Kent Pharma (UK) Ltd) 56 tablet 4 x 14 tablets
^ESCT1426409	Imipramine 10mg tablets (Kent Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1426410	Imipramine 10mg tablets (Kent Pharma (UK) Ltd) 250 tablet
^ESCT1426412	Imipramine 25mg tablets (Kent Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1426413	Imipramine 25mg tablets (Kent Pharma (UK) Ltd) 500 tablet
^ESCT1426733	Trimipramine 50mg capsules (Kent Pharma (UK) Ltd)
^ESCT1426734	Trimipramine 50mg capsules (Kent Pharma (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCT1426735	Trimipramine 25mg tablets (Kent Pharma (UK) Ltd)
^ESCT1426736	Trimipramine 25mg tablets (Kent Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1426737	Trimipramine 25mg tablets (Kent Pharma (UK) Ltd) 84 tablet 6 x 14 tablets
^ESCT1426738	Trimipramine 10mg tablets (Kent Pharma (UK) Ltd)
^ESCT1426739	Trimipramine 10mg tablets (Kent Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1426740	Trimipramine 10mg tablets (Kent Pharma (UK) Ltd) 84 tablet 6 x 14 tablets
^ESCT1428062	Nortriptyline 25mg capsules (Kent Pharma (UK) Ltd)
^ESCT1428063	Nortriptyline 25mg capsules (Kent Pharma (UK) Ltd) 100 capsule
^ESCT1428064	Nortriptyline 10mg capsules (Kent Pharma (UK) Ltd)
^ESCT1428065	Nortriptyline 10mg capsules (Kent Pharma (UK) Ltd) 100 capsule
^ESCT1429325	Lofepramine 70mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd)
^ESCT1429327	Lofepramine 70mg/5ml oral suspension sugar free (Medihealth (Northern) Ltd) 150 ml
^ESCT1429407	Nortriptyline 10mg capsules (Medihealth (Northern) Ltd)
^ESCT1429408	Nortriptyline 10mg capsules (Medihealth (Northern) Ltd) 100 capsule
^ESCT1429409	Nortriptyline 25mg capsules (Medihealth (Northern) Ltd)
^ESCT1429410	Nortriptyline 25mg capsules (Medihealth (Northern) Ltd) 100 capsule
^ESCT1429723	Trimipramine 10mg tablets (Medihealth (Northern) Ltd)
^ESCT1429724	Trimipramine 10mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1429725	Trimipramine 25mg tablets (Medihealth (Northern) Ltd)
^ESCT1429726	Trimipramine 25mg tablets (Medihealth (Northern) Ltd) 100 tablet
^ESCT1429761	Trimipramine 50mg capsules (Medihealth (Northern) Ltd)
^ESCT1429762	Trimipramine 50mg capsules (Medihealth (Northern) Ltd) 28 capsule
^ESCT1430660	Imipramine 10mg tablets (Dalkeith Laboratories Ltd)
^ESCT1430661	Imipramine 10mg tablets (Dalkeith Laboratories Ltd) 28 tablet
^ESCT1430662	Imipramine 25mg tablets (Dalkeith Laboratories Ltd)
^ESCT1430663	Imipramine 25mg tablets (Dalkeith Laboratories Ltd) 28 tablet
^ESCT1431591	Amitriptyline 10mg tablets (Flamingo Pharma (UK) Ltd)
^ESCT1431592	Amitriptyline 10mg tablets (Flamingo Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1431593	Amitriptyline 50mg tablets (Flamingo Pharma (UK) Ltd)
^ESCT1431594	Amitriptyline 50mg tablets (Flamingo Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCT1432354	Doxepin 25mg capsules (Dexcel-Pharma Ltd)
^ESCT1432355	Doxepin 25mg capsules (Dexcel-Pharma Ltd) 28 capsule 4 x 7 capsules
^ESCT1432356	Doxepin 50mg capsules (Dexcel-Pharma Ltd)
^ESCT1432357	Doxepin 50mg capsules (Dexcel-Pharma Ltd) 28 capsule 4 x 7 capsules
^ESCT1434862	Imipramine 25mg/5ml oral solution sugar free (Essential Pharma Ltd)
^ESCT1434863	Imipramine 25mg/5ml oral solution sugar free (Essential Pharma Ltd) 150 ml
^ESCT1434955	Lofepramine 70mg/5ml oral suspension sugar free (Essential Pharma Ltd)
^ESCT1434956	Lofepramine 70mg/5ml oral suspension sugar free (Essential Pharma Ltd) 150 ml
^ESCT1436784	Clomipramine 25mg capsules (Viatris UK Healthcare Ltd)
^ESCT1436816	Clomipramine 50mg capsules (Viatris UK Healthcare Ltd)
^ESCT1436863	Clomipramine 10mg capsules (Viatris UK Healthcare Ltd)
^ESCT1436967	Dosulepin 25mg capsules (Viatris UK Healthcare Ltd)
^ESCT1437008	Lofepramine 70mg tablets (Viatris UK Healthcare Ltd)
^ESCT1437053	Dosulepin 75mg tablets (Viatris UK Healthcare Ltd)
^ESCT1437196	Dosulepin 25mg capsules (Viatris UK Healthcare Ltd) 28 capsule 2 x 14 capsules
^ESCT1437197	Dosulepin 25mg capsules (Viatris UK Healthcare Ltd) 100 capsule
^ESCT1437198	Dosulepin 25mg capsules (Viatris UK Healthcare Ltd) 600 capsule
^ESCT1437202	Dosulepin 75mg tablets (Viatris UK Healthcare Ltd) 28 tablet 2 x 14 tablets
^ESCT1437203	Dosulepin 75mg tablets (Viatris UK Healthcare Ltd) 500 tablet
^ESCT1437281	Clomipramine 10mg capsules (Viatris UK Healthcare Ltd) 28 capsule 2 x 14 capsules
^ESCT1437282	Clomipramine 10mg capsules (Viatris UK Healthcare Ltd) 100 capsule
^ESCT1437283	Clomipramine 25mg capsules (Viatris UK Healthcare Ltd) 28 capsule 2 x 14 capsules
^ESCT1437284	Clomipramine 25mg capsules (Viatris UK Healthcare Ltd) 100 capsule
^ESCT1437285	Clomipramine 50mg capsules (Viatris UK Healthcare Ltd) 28 capsule 2 x 14 capsules
^ESCT1437286	Clomipramine 50mg capsules (Viatris UK Healthcare Ltd) 100 capsule
^ESCT1437429	Lofepramine 70mg tablets (Viatris UK Healthcare Ltd) 56 tablet 4 x 14 tablets
^ESCT1437430	Lofepramine 70mg tablets (Viatris UK Healthcare Ltd) 250 tablet
^ESCT1439152	Nortriptyline 10mg tablets (Viatris UK Healthcare Ltd)
^ESCT1439153	Nortriptyline 10mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
^ESCT1439154	Nortriptyline 10mg tablets (Viatris UK Healthcare Ltd) 100 tablet
^ESCT1439155	Nortriptyline 25mg tablets (Viatris UK Healthcare Ltd)
^ESCT1439156	Nortriptyline 25mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
^ESCT1439157	Nortriptyline 25mg tablets (Viatris UK Healthcare Ltd) 100 tablet
^ESCT1439158	Nortriptyline 50mg tablets (Viatris UK Healthcare Ltd)
^ESCT1439159	Nortriptyline 50mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
^ESCTAL820569	Allegron 25mg tablets (King Pharmaceuticals Ltd)
^ESCTAL831409	Allegron 10mg tablets (King Pharmaceuticals Ltd)
^ESCTAL855821	Allegron 10mg tablets (King Pharmaceuticals Ltd) 100 tablet
^ESCTAL855827	Allegron 25mg tablets (King Pharmaceuticals Ltd) 100 tablet
^ESCTAM1004576	Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTAM1004579	Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
^ESCTAM1004583	Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTAM1004584	Amitriptyline 25mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
^ESCTAM1004585	Amitriptyline 50mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTAM1004586	Amitriptyline 50mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
^ESCTAM1007964	Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd)
^ESCTAM1007965	Amitriptyline 50mg/5ml oral solution sugar free (Wockhardt UK Ltd) 150 ml
^ESCTAM1007977	Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd)
^ESCTAM1007980	Amitriptyline 25mg/5ml oral solution sugar free (Wockhardt UK Ltd) 150 ml
^ESCTAM1010841	Amitriptyline 10mg tablets (Accord Healthcare Ltd)
^ESCTAM1010842	Amitriptyline 10mg tablets (Accord Healthcare Ltd) 28 tablet
^ESCTAM1010843	Amitriptyline 25mg tablets (Accord Healthcare Ltd)
^ESCTAM1010844	Amitriptyline 25mg tablets (Accord Healthcare Ltd) 28 tablet
^ESCTAM1021387	Amitriptyline 10mg/5ml oral solution 150 ml
^ESCTAM1021388	Amitriptyline 10mg/5ml oral solution (Special Order) 150 ml
^ESCTAM1021389	Amitriptyline 10mg/5ml oral suspension 100 ml
^ESCTAM1021390	Amitriptyline 10mg/5ml oral suspension (Special Order) 100 ml
^ESCTAM1029010	Amitriptyline 10mg tablets (Arrow Generics Ltd)
^ESCTAM1029011	Amitriptyline 10mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets
^ESCTAM1029012	Amitriptyline 25mg tablets (Arrow Generics Ltd)
^ESCTAM1029013	Amitriptyline 25mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets
^ESCTAM1029014	Amitriptyline 50mg tablets (Arrow Generics Ltd)
^ESCTAM1029015	Amitriptyline 50mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets
^ESCTAM1041271	Amitriptyline 25mg/5ml oral solution sugar free (Waymade Healthcare Plc)
^ESCTAM1041273	Amitriptyline 25mg/5ml oral solution sugar free (Waymade Healthcare Plc) 150 ml
^ESCTAM1041274	Amitriptyline 50mg/5ml oral solution sugar free (Waymade Healthcare Plc)
^ESCTAM1041276	Amitriptyline 50mg/5ml oral solution sugar free (Waymade Healthcare Plc) 150 ml
^ESCTAM1041277	Amitriptyline 10mg tablets (Waymade Healthcare Plc)
^ESCTAM1041279	Amitriptyline 10mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTAM1041281	Amitriptyline 25mg tablets (Waymade Healthcare Plc)
^ESCTAM1041283	Amitriptyline 50mg tablets (Waymade Healthcare Plc)
^ESCTAM1041285	Amitriptyline 50mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTAM1041328	Amitriptyline 25mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTAM1045389	Amitriptyline 50mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd)
^ESCTAM1045390	Amitriptyline 50mg/5ml oral solution sugar free (Phoenix Healthcare Distribution Ltd) 150 ml
^ESCTAM1048882	Amitriptyline 50mg/5ml oral solution sugar free (DE Pharmaceuticals)
^ESCTAM1048883	Amitriptyline 50mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml
^ESCTAM1048884	Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals)
^ESCTAM1048885	Amitriptyline 25mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml
^ESCTAM1048886	Amitriptyline 10mg tablets (DE Pharmaceuticals)
^ESCTAM1048887	Amitriptyline 10mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTAM1048888	Amitriptyline 25mg tablets (DE Pharmaceuticals)
^ESCTAM1048889	Amitriptyline 25mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTAM1048890	Amitriptyline 50mg tablets (DE Pharmaceuticals)
^ESCTAM1048891	Amitriptyline 50mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTAM1104002	Amitriptyline 25mg/5ml oral solution sugar free (Actavis UK Ltd)
^ESCTAM1104003	Amitriptyline 25mg/5ml oral solution sugar free (Actavis UK Ltd) 150 ml
^ESCTAM1104004	Amitriptyline 50mg/5ml oral solution sugar free (Actavis UK Ltd)
