a23v.	Gaviscon Advance s/f susp
k8k4.	DORZOL+TIMOL 2%/0.5% s-d drops
m127.	White petroleum jelly
m572.	Lassar's paste
m482.	Betnovate 0.1% cream 30g
m313.	Calamine lotion BP
m342.	Anthisan cream 25g
m21R.	E45 cream 500g pump
ip3e.	Calc+cholecalc 1.25g/10mcg tab
l8E1.	DYMISTA 137mcg/50mcg nsl spray
m127.	WSP - White soft paraffin
m581.	Gamolenic acid 40mg capsule
m485.	Betnovate 0.1% ointment 30g
m322.	Eurax 10% cream 30g
m41m.	Mildison Lipocream 1% crm 30g
m226.	Metanium ointment 25g
ip3e.	Calc+cholecalc 1.25g/400iu tab
le2h.	CHLORHEXIDINE GLUCON 0.5% gel
m12k.	Liq paraffin+WSP 50%/50% oint
m59J.	XAMIOL gel 60g
m489.	Betnovate 0.1% appl 100mL
m412.	Hydrocortisone 1% cream 30g
m45s.	Timodine cream 30g
m22D.	Gamolenic acid 20% cream
ip3i.	Ca+colecalcif 1.5g/10mcg tab
le2i.	CEPTON MEDICATED 0.5% gel 30g
m215.	Zinc+castor oil cream BP
m5A3.	Neotigason 25mg capsule
m48o.	Betamethasone 0.1% scalp appn
m453.	Canesten-HC cream 30g
m45V.	Hydrocort+fusidic 1%/2% cream
m238.	Sudocrem cream 125g
ip3z.	COLECALCIFEROL 800iu capsules
m122.	Ung emuls
m221.	Kamillosan ointment 24g
m5A4.	Acitretin 25mg capsule
m4e1.	Nerisone 0.1% cream 30g
m463.	Modrasone 0.05% ointment 15g
m461.	Modrasone 0.05% cream 15g
m23V.	ZERODOUBLE gel 100g
j2n3.	Meloxicam 15mg tablet
m123.	Hydrous ointment BP
m418.	Hydrocortisone 0.5% cream 30g
m5C1.	Tazarotene 0.05% aqueous gel
m4e5.	Nerisone Forte 0.3% oint 15g
m46z.	Alclometasone dip 0.05% oint
m471.	Propaderm 0.025% cream 15g
m248.	Urea 10% cream
j82y.	Baclofen 10mg tablet
m21x.	Emulsiderm lotion 300mL
m45W.	Hydrocort+econazole 1%/1% crm
m64z.	Tetracycline HCl 2.2mg/mL soln
m4ew.	Diflucortolone val 0.1% oint
m47z.	Beclometh dip 0.025% oint
m47y.	Beclometh dip 0.025% cream
m24A.	Urea+lauromacrogols 5%/3% crm
k69y.	Sodium cromoglycate 2% e/d
m24P.	DERMATONICS HEEL BALM 75g
m47z.	Beclomet dip 0.025% oint
m655.	Tretinoin 0.025% cream
m4g9.	Synalar 1:10 cream 50g
m48b.	Betnovate RD 0.025% oint 100g
m48B.	Betamethasone val 0.12% foam
m24B.	Balneum Plus cream 100g
k6l2.	Opatanol 1mg/mL eye drops 5mL
m25A.	Aveeno bath oil 250mL
m48A.	Betacap scalp application
m675.	Erythromycin 2% top soln
m4j1.	Haelan 0.0125% cream 60g
m48D.	BETESIL 2.25mg plasters
m48r.	Betamethasone 0.1% ointment
m314.	Calamine oily lotion
k8k1.	Dorzolamide+timolol 2/0.5% e/d
m25U.	OILATUM FRAG FREE SHW gel 150g
m4ah.	ETRIVEX 500mcg/g shampoo 125mL
m68E.	DUAC ONCE DAILY 3%/1% gel 30g
m4jx.	Flurandrenolone 0.0125% oint
m48m.	Betamethasone 0.025% cream
m4bz.	Clobetasone butyr 0.05% oint
m32y.	Crotamiton 10% lotion
ka2v.	Hypromellose 0.3% eye drops
m32z.	Crotamiton 10% cream
m4aj.	CLOBADERM 0.05% cream 100g
m6zo.	Benzoyl peroxide 5% lotion
m4k1.	Halciderm Topical 0.1% crm 30g
m48s.	Betamethasone 0.1% lotion
m4g5.	Synalar 0.025% ointment 15g
m487.	Betnovate 0.1% lotion 100mL
ka32.	Lacri-Lube eye ointment 5g
m339.	Emla cream 30g
m4ev.	Diflucortol val 0.1% oily crm
m6zp.	Benzoyl peroxide 5% cream
m4l3.	Locoid 0.1% lipocream 30g
m49f.	FUCIBET LIPID cream 30g
m4h1.	Metosyn 0.05% cream 25g
m48a.	Betnovate RD 0.025% cream 100g
kb8t.	SODIUM HYALURON 0.2% s-d e/dps
m411.	Hydrocortisone 1% cream 15g
m4g4.	Synalar 0.025% gel 30g
m831.	Veracur 0.75% gel 15g
m511.	Calamine+coal tar ointment BP
m49v.	Betameth+fusidic ac 0.1/2% crm
m4h3.	Metosyn 0.05% ointment 25g
m48q.	Betamethasone 0.1% cream
l33z.	Clotrimazole 1% solution
m41A.	Hydrocortisone 2.5% cream 15g
m4gu.	Fluocinolone acet 0.025% oint
mb1z.	Capasal shampoo 250mL
m512.	Coal tar+salicyl acid oint BP
m4al.	CLOBADERM 0.05% ointment 100g
m4l2.	Locoid 0.1% cream 100g
m4by.	Clobetasone butyrate 0.05% crm
l812.	Beconase 50mcg aq nasal spry
m42A.	Hydrocortisone 2.5% oint 15g
m4i7.	Ultralanum Plain ointment 30g
mb55.	DERMAX THERAPEUTIC 0.5% shmpoo
m515.	Zinc+coal tar paste BP
m4dz.	Desoximetasone 0.05% oily crm
m53s.	Micanol 1% cream 50g
m4gv.	Fluocinolone acet 0.00625% crm
l81z.	Beclomet 50mcg aq nasl spray
m45r.	Terra-cortril Nystatin crm 30g
m4jw.	Fludroxycortide 0.0125% cream
mc5z.	Mupirocin 2% ointment
m53A.	Psorin scalp gel
m4eu.	Diflucortolone val 0.1% cream
m59P.	DOVOBET gel 60g+applicator
m4jx.	Fludroxycortide 0.0125% oint
l882.	Flixonase 50mcg nasal spry
m46y.	Alclometasone dip 0.05% cream
m4q6.	Mometasone 0.1% ointment 30g
me21.	Whitfield's ointment
m53t.	Micanol 3% cream 50g
m4gi.	Synalar 1:4 ointment 50g
m5F1.	Pimecrolimus 10mg/g cream
m4l4.	Locoid 0.1% ointment 30g
l886.	AVAMYS 27.5mcg nasal spray
m484.	Betnovate 0.1% ointment 15g
m4r5.	Fluticasone prop 0.005% oint
med2.	Tinaderm cream
m565.	Ichthaband 7.5cmx6m bandage
m4hx.	Fluocinonide 0.05% cream
m5zu.	Dithranol 0.25% cream
m4lw.	Hydrocortisone but 0.1% crm
lb12.	Difflam 0.15% spray
m48E.	BETAMETHAS VAL 2.25mg plasters
m5HY.	ALITRETINOIN 30mg capsules
mejw.	Terbinafine HCl 1% solution
m571.	Salicylic acid 2% ointment BP
m4i5.	Ultralanum Plain cream 30g
m652.	Retin-A Forte 0.025% gel 60g
m51R.	Coal tar 40% bath emulsion
m122.	Emulsifying ointment BP
m48n.	Betamethasone 0.025% ointment
m5z9.	Dithranol 3% cream
mf11.	Zovirax 5% cream 2g
m595.	Calcipotriol 50mcg/g cream
m4r1.	Cutivate 0.05% cream
m656.	Retin-A 0.01% gel 60g
m598.	Dovonex 50mcg/g ointment
m122.	Emulsifying soap
m4dz.	Desoxymethasone 0.05% oily crm
m687.	Clindamycin 1% gel
mf1z.	Aciclovir 5% cream
m59G.	Calcipot+beta 50/500mcg/g oint
m4r2.	Fluticasone prop 0.05% crm
m65x.	Tretinoin 0.05% cream
m5A1.	Neotigason 10mg capsule
m21x.	Emulsiderm emoll emuls 300mL
m4e3.	Nerisone 0.1% ointment 30g
m68H.	CLINDMYCN+TRETIN 1%/0.025% gel
mg81.	Permethrin 1% scalp appn
m59L.	DOVOBET gel 60g
m572.	Zinc+salicylic acid paste BP
m65y.	Tretinoin 0.025% gel
m5G1.	PINE TAR 2.3% solution
m22D.	Evening primrose oil 20% cream
m4gw.	Fluocinolone acet 0.0025% crm
m692.	Isotretinoin 0.05% gel 30g
mh11.	Cetrimide 0.5% cream 50g
m5G8.	PINETARSOL gel 100g
m591.	Calcipotriol 50mcg/g oint
m68F.	BENZOYL PEROX+CLIND 3%/1% gel
m5G5.	PINETARSOL bath oil 200mL
m22r.	Infaderm Therapeutic oil 250mL
m4hy.	Fluocinonide 0.05% ointment
m6A4.	FINACEA 15% gel 30g
mh1y.	Povidone-iodine 10% ointment
m5H2.	TOCTINO 30mg capsules
m594.	Dovonex 50micrograms/g cream
m6A3.	AZELAIC ACID 15% gel
m5H1.	TOCTINO 10mg capsules
m25S.	ZEROLATUM PLUS bath add 500mL
m4j7.	HAELN 4mcg/sq cm 7.5x50cm tape
m6Bz.	Salicylic acid 2% top soln
mi5h.	Hibiscrub 4% solution 250mL
m5zx.	Dithranol 0.1% cream
m5B6.	TACALCITOL 4mcg/g lotion
m6D6.	EPIDUO 0.1%/2.5% gel 45g
m5z8.	Dithranol 2% cream
m34z.	Mepyramine maleate 2% cream
m4lt.	Hydrocortisone butyr 0.1% emul
m6zn.	Benzoyl peroxide 2.5% gel
mi6B.	Tisept 0.015/0.15% soln 100mL
m62j.	PanOxyl 10% wash 150mL
m5E2.	Tacrolimus monohydr 0.1% oint
m6zm.	Benzoyl peroxide 4% cream
m5zv.	Dithranol 0.5% cream
m36C.	MENTHOL 5% in aqueous cream
m4lz.	Hydrocortisone but 0.1% lotion
m6zq.	Benzoyl peroxide 10% lotion
mib2.	Hydrogen perox 6%(20vol) soln
m62m.	Quinoderm 5% cream 50g
m611.	Brasivol No.1 paste 75g
m6zv.	Benzoyl peroxide 10% wash
m654.	Retin-A 0.025% cream 60g
m415.	Hydrocortisone 0.1% cream 30g
m4q4.	Mometasone 0.1% cream 30g
m81z.	Salicylic acid 50% ointment
mv11.	SOOLANTRA 10mg/g cream 30g
m676.	Erythro+Zn 40/12mg/mL top soln
m657.	Retinova 0.05% cream
m716.	CLAIRETTE 2000/35 tablets
m6Dz.	Adapalene 0.1% cream
m45X.	Hydrocort+miconazol 1%/2% oint
m4r6.	Cutivate 0.005% ointment
m923.	UVISTAT spf50 lipscreen 5g
mv12.	IVERMECTIN 10mg/g cream
m67B.	Erythromycin 4% topical gel
m65w.	Tretinoin 0.01% gel
m721.	Roaccutane 5mg capsule
m819.	Occlusal 26% topical solution
m45Y.	Hydrocort+miconazole 1%/2% crm
m51m.	Polytar Emollient 350mL
ma1k.	Veil finishing powder 35g
o57u.	MIDAZOLM 2.5mg/0.5mL oral syrg
m68G.	TRECLIN 1%/0.025% gel 30g
m65z.	Tretinoin 0.025% lotion
m72x.	ISOTRETINOIN 10mg capsules
m81w.	Salicylic acid 26% top soln
m47y.	Beclomet dip 0.025% cream
m5B1.	Tacalcitol 4mcg/g ointment
ma1z.	Covermark Classic No.10 foundn
oazZ.	Lidocaine HCl 0.5% gel
m6C3.	Nicam 4% topical gel
m674.	Stiemycin solution
m813.	Salicy acid collodion BP 12%
m861.	Podophyllotoxin 0.5% solution
m48F.	AUDAVATE RD 0.025% cream 100g
m5C2.	Tazarotene 0.1% aqueous gel
mb52.	Dandrazol 2% shampoo
p1i1.	Gauze Type 13 10cmsq swab x100
m6Dy.	ADAP 0.1% / BEN PEROX 2.5% gel
m6D1.	Adapalene 0.1% topical gel
m81F.	Compound W liquid
m91A.	Spectraban 25 sunblock lotion
m4ex.	Diflucortol val 0.3% oily crm
m5zw.	Dithranol 1% cream
mcA4.	RETAPAMULIN 1% ointment
p5f5.	Quinaband 7.5cmx6m bandage
m6zr.	Benzoyl peroxide 10% gel
m714.	Diva 2000/35 tablet
m83z.	Formaldehyde 0.75% gel
m91B.	ROC Sante Soleil SPF25 crm
m4ey.	Diflucortolone 0.3% ointment
m683.	Clindamycin 1% roll-on lotion
mea8.	Nystan 100000units/g oint 30g
p5f8.	Zn oxide 20% oint impreg stckg
m6zz.	Benzoyl peroxide 5% gel
m72z.	Isotretinoin 20mg capsule
m863.	Condyline 0.5% solution 3.5mL
m91B.	ROC Total SPF25 c/less crm
m4gt.	Fluocinolone acet 0.025% gel
m684.	Clindamycin 1% alcoholic soln
mec1.	Exelderm 1% cream 30g
p8GR.	SpeediCath 28412 male catheter
m712.	Dianette tablet
m816.	Salactol 16.7% paint 10mL
m864.	Warticon Fem 0.5% solution 3mL
m91j.	Uvistat SPF30 cream 50g
m4jv.	FLUDROXY 4mcg/sq cm 50cm tape
m684.	Clindamycin 10mg/mL solution
mee1.	Monphytol paint 18mL
pA2K.	Mepitel 12cmx15cm dressing
m723.	ROACCUTANE 10mg capsules
m851.	Podophyllin compound 15% paint
m866.	Warticon cream
mb1v.	Ketoconazole 2% shampoo
m4jw.	Flurandrenolone 0.0125% cream
m68B.	Benz perox 5% / clindam 1% gel
megA.	Metronidazole 0.75% cream
pG2X.	Ultimate 15222 constrctr rings
m817.	Verrugon 50% ointment 6g
mb31.	Minoxidil 20mg/mL topical liq
m924.	UVISTAT spf50 cream 125g
md2w.	Fusidic acid 2% gel
m4lb.	Locoid Crelo 0.1% emulsion
m691.	Isotrex 0.05% gel 30g
meh3.	Loceryl 0.25% cream 20g
pu71.	Ketostix strips 50
m852.	Posalfilin ointment 10g
mc5y.	Mupirocin 2% cream
ma1s.	Covermark Classic No.3 foundn
me4y.	Clotrimazole 1% spray
m4ly.	Hydrocortisone but 0.1% oint
m722.	Roaccutane 20mg capsule
meh6.	OMICUR 5% nail lacquer 2.5mL
py43.	CATH-IT med-lge/908420 pack
ma1v.	Covermark Classic No.6 foundn
me71.	Miconazole 2% cream
mb1l.	Polytar Plus liquid 150mL
me7E.	DAKTARIN AKTIV pdr spray 100g
m51g.	Psoriderm cream 225mL
m72y.	Isotretinoin 5mg capsule
mg12.	Ascabiol application 100mL
me7x.	Miconazole 2% dusting powder
mb1e.	Ionil T shampoo 200mL
me7H.	DAKTARIN AKTIV cream 15g
mb24.	Hedrin 4% scalp lotion
mej3.	Terbinafine HCl 1% cream 15g
m561.	Ichthammol 10% ointment BP
ma1x.	Covermark Classic No.8 foundn
mg84.	Lyclear 5% cream 30g
mejx.	Terbinafine HCl 1% gel
mb1F.	Polytar liquid 250mL
meb1.	Phytex paint 25mL
mc9z.	Silver sulfadiazine 1% cream
mg54.	Prioderm 1% shampoo 40g
m597.	Calcipotr. 50mcg/mL scalp soln
mb33.	Minoxidil 50mg/mL topical liq
mi5H.	CHLORAPREP ONE-STEP soln 26mL
mh1V.	Benzalk Cl+cetr 0.01%/0.2% crm
mb1H.	Meted shampoo 120mL
megu.	Metronidazole 0.75% gel 30g
mc9z.	Silver sulphadiazine 1% cream
mi12.	Surgical spirit BP
m5A2.	Acitretin 10mg capsule
mc91.	Flamazine 1% cream 50g
mi5I.	ECZMOL 1% cream 250mL
micy.	Povidone-iodine alcoh 10% soln
mb1K.	Povidone-iodine 4% shampoo
meh4.	Amorolfine 0.25% cream
me21.	Benzoic acid compound ointment
ms11.	Liquefied phenol BP
m5B5.	CURATODERM 4mcg/g lotion 30mL
me45.	Canesten 1% powder 30g
mi6v.	Steripod Yellow solution 20mL
mt2z.	INGENOL MEBUTATE 150mcg/g gel
mb1p.	Selsun 2.5% shampoo 50mL
mejy.	Terbinafine HCL 1% spray
me62.	Ketoconazole 2% cream
p1iJ.	Non-wov fab sp28 10x10cm swab
m5E1.	Tacrolimus monohydr 0.03% oint
meay.	Nystatin 100000u/g ointment
mr11.	Solvent ether BP
ph7I.	CARESENS 0.36mm(28G) lancet
mb25.	Dimeticone 4% scalp lotion
mg75.	Phenothrin 0.5% liquid
me7y.	Miconazole 0.16% powder spray
megL.	ROSICED 0.75% cream 30g
m5HZ.	ALITRETINOIN 10mg capsules
mh1p.	Magnesium sulphate paste BP
mt1z.	Diclofenac sodium 3% gel
mej1.	Lamisil 1% cream 15g
mb38.	REGAINE FOR MEN 5% soln 60mL
mh1z.	Cetrimide 1% cream
med5.	Tolnaftate 1% cream
mek1.	Bifonazole 1% cream
m653.	Retin-A 0.025% lotion 100mL
micr.	Povidone-iodine 1.14% pdr spry
mt21.	PICATO 150mcg/g gel 0.47g
mf31.	Penciclovir 1% cream
md22.	Fucidin 2% cream 30g
micx.	Povidone-iodine antis 10% soln
mee3.	Mycota powder 70g
mg11.	Benzyl benzoate 25% applicatn
m678.	Benzamycin topical gel
ml1A.	DRICLOR 20% roll-on 75mL
mt22.	PICATO 500mcg/g gel 0.47g
mg7z.	Phenothrin 0.2% lotion
md27.	Fucidin 2% ointment 15g
oazZ.	Lignocaine HCl 0.5% gel
mef1.	Tioconazole 28% solution 12mL
mi6w.	Unisept solution 100mL
m6C2.	Nicotinamide 4% topical gel
p5fB.	Zinc paste 15% 7.5cmx6m bdg
p17B.	Tegaderm 1624 6x7cm IV dressg
micu.	Povidone-iodine 4% skin soln
md2v.	Fusidic acid 2% cream
sbz2.	HYDROFRAME WAFM33 flg extender
mf21.	HERPID 5% application 5mL
mo12.	Hirudoid cream
m844.	Glutaraldehyde 10% solution
slpC.	Nova 1 Urostomy 894-37 urobags
p1LK.	MEDIHONEY barrier cream 50g
p1f1.	Sofra-Tulle 10cmx10cm dressing
md2z.	Sodium fusidate 2% ointment
p1Ge.	3M Foam 10x11cm oval adh drssg
mich.	Savlon Dry 1.14% spray 50mL
p1wj.	Softpore 6cmx7cm dressing
m865.	Podophyllotoxin 0.15% cream
p432.	A&H Type 2 spacer device
p5f7.	Steripaste 7.5cmx6m bandage
p8N2.	Brillant Aqua 14Ch DA3101 cath
mecz.	Sulconazole nitrate 1% cream
ph8T.	BD MICRO-FINE+?4mm(32G) needle
mid1.	Potassium permang 0.1% soln
pur6.	GLUCORX NEXUS test strip
mb1U.	Selenium sulphide 2.5% shampoo
q6x3.	PROSYS PSU2 2L nght drain bags
puhM.	Medisense Optium Pls electrode
scXL.	SENSURA MIO CONVEX 16642 bags
meg5.	Rozex 0.75% gel
mo13.	Hirudoid gel
mb23.	Salicylic acid 2% lotion
q633.	SIMPLA PROFILE 2L/21578 bags
meh5.	CURANAIL 5% lacquer 3mL
p5f2.	Zincaband 7.5cmx6m bandage
mb53.	Dandrazol Antidand 2% shampoo
sksK.	NOVA 2 HIGH OUTPUT 1208-55 bag
mf1z.	Acyclovir 5% cream
p5f9.	Zipzoc 20% medicated stocking
mc61.	Neomycin 0.5% cream BPC
p8Wt.	HYDRO-KIT 12Ch 4201225 cath
mg53.	Prioderm 0.5% lotion 55mL
phCG.	TRICARE 4mm(32G) pen needle
me4z.	Clotrimazole 1% dusting powder
scxt.	Dansac Nova 1 825-15 ileobag
mg73.	Full Marks 0.2% lotion 55mL
meaw.	Nystatin 100000units/g cream
mg83.	Permethrin 5% cream 30g
meg3.	Metrogel 0.75% gel 40g
mh1p.	Morison's paste
megB.	Rozex 0.75% cream 30g
mi5D.	CHLORAPREP ONESTEP soln 0.67mL
megC.	Metronidazole 1% cream
mi6y.	Savlon antiseptic cream
meh1.	Amorolfine 5% nail lacquer
mib3.	Hydrogen perox 3%(10vol) soln
mej6.	Lamisil AT 1% spray
mict.	Povidone-iodine 7.5% scrub
mg5x.	Malathion 0.5% liquid
mid2.	Permitab 400mg soln tab
mg78.	Phenothrin 0.5% foam
mn1B.	Hydrogen peroxide 1% cream
mh13.	Proflavine cream BPC
mt2y.	INGENOL MEBUTATE 500mcg/g gel
mh1a.	Brulidine 0.15% cream 25g
ph89.	NovoFine 6mm(31G) needle
mh1B.	Drapolene cream
ph93.	FASTCLIX 0.3mm(30guage) lancet
mh1C.	Povidone-iodine 5% cream
ph9i.	CARESENS 0.31mm(30G) lancet
mi5J.	CHLORHEXIDINE GLUCONATE 1% crm
ps72.	Tubifast Blue Line 7.5cmx1m
mia2.	Ster-Zac powder 30g
micw.	Povidone-iodine 2.5% pdr spray
micz.	Povidone-iodine 10% paint
ml19.	Anhydrol Forte 20% 60mL
o57z.	Midazolam 10mg/2mL injection
p5f6.	Calaband 7.5cmx6m bandage
ph8a.	MYLIFE CLICKFINE 8mm(29G) ndle
purO.	TEE2 blood glucose test strip
s9l1.	DEO-MINT 130770 deodorant 50mL
