a23n.	GAVISCON-250 tablets
m4gt.	FLUOCINOLONE ACET 0.025% gel
m226.	*METANIUM ointment 25g
m25g.	*DIPROBATH emollient 500mL
j82z.	BACLOFEN 5mg/5mL sf liquid
ka33.	XAILIN NIGHT eye ointment 5g
m47z.	*BECLOMETASONE 0.025% ointment
kb8Q.	HYLO-FORTE 0.2% eye drops 10mL
kb8P.	HYLO-TEAR 0.1% eye drops 10mL
m4kz.	*HALCINONIDE 0.1% cream
m22r.	INFADERM THERAPEUTIC oil 250mL
m277.	DERMOL cream 100g
ja1u.	FELBINAC 3% topical gel
l8E1.	DYMISTA 137mcg/50mcg nsl spray
m487.	BETNOVATE 0.1% lotion 100mL
l8D1.	NASONEX 0.05% aqu nasal spray
l33z.	CLOTRIMAZOLE 1% solution
m4l2.	LOCOID 0.1% cream 100g
m24P.	DERMATONICS HEEL BALM 75g
m288.	DOUBLEBASE EMLNT wash gel 200g
ja2S.	CAPSAICIN 0.025% cream
le2g.	CEPTON MED 1% skin wash 150mL
m48b.	BETNOVATE RD 0.025% oint 100g
le2d.	*CHLORHEXDNE GLUCON 0.1% lotn
l886.	AVAMYS 27.5mcg nasal spray
m4ly.	HYDROCORTISONE BUT 0.1% oint
m312.	CALAMINE 4% aqueous cream
m322.	EURAX 10% cream 30g
ja2X.	FENBID FORTE 10% gel 100g
le2h.	CHLORHEXIDINE GLUCON 0.5% gel
m48D.	BETESIL 2.25mg plasters
m113.	CETOMACROGOL FORMULA A cream
l887.	FLUTICASONE 27.5mcg nasal spry
m59G.	CALCIPOL+BETA 50/500mcg/g oint
m313.	CALAMINE lotion
m342.	ANTHISAN cream 25g
k3g1.	FUSIDIC ACID 1% eye drops
m12k.	LIQ PARAFFIN+WSP 50%/50% oint
m49f.	FUCIBET LIPID cream 30g
m124.	HYDROUS WOOL FAT
l8Dz.	MOMETASONE 0.05% nasal spray
m5zu.	DITHRANOL 0.25% cream
m32z.	CROTAMITON 10% cream
m412.	HYDROCORTISONE 1% cream 30g
k8o3.	BIMATOPROST 0.1mg/mL eye drops
m21A.	*E45 lotion
m4al.	CLOBADERM 0.05% ointment 100g
m21D.	DERMAMIST spray
lb12.	DIFFLAM 0.15% oral spray
m62j.	PANOXYL 10% wash 150mL
m415.	HYDROCORTISONE 0.1% cream 30g
m418.	*HYDROCORTISONE 0.5% cream 30g
kb8R.	HYLO-CARE 0.1%/2% e/d 10mL
m21x.	EMULSIDERM lotion 300mL
m4i5.	*ULTRALANUM plain cream 30g
m248.	UREA 10% cream
m12b.	WOOL-ALCOHOLS ointment
m62m.	QUINODERM 5% cream 50g
m417.	HYDROCORTISONE 0.5% cream 15g
m453.	CANESTEN-HC cream 30g
l8B1.	TRIAMCINOL ACETONID 55mcg spry
m25z.	*AVEENO COLLOIDAL add 50g sach
m4jv.	FLUDROXY 4mcg/sq cm 50cm tape
m279.	DERMOL WASH emulsion 200mL
m221.	*KAMILLOSAN ointment 24g
m655.	*TRETINOIN 0.025% cream
m42A.	HYDROCORTISONE 2.5% oint 15g
m45X.	HYDROCORT+MICONAZO 1%/2% oint
m123.	HYDROUS ointment
m272.	DERMOL 500 lotion
m4lt.	HYDROCORTISONE BUTYR 0.1% emul
m339.	EMLA cream 30g
m22D.	EVENING PRIMROSE OIL 20% cream
m65y.	*TRETINOIN 0.025% gel
m454.	DAKTACORT cream 30g
m48G.	AUDAVATE RD 0.025% oint 100g
m151.	ZINC-COMPOUND paste
m34z.	MEPYRAMINE MALEATE 2% cream
m4r1.	CUTIVATE 0.05% cream
m41A.	HYDROCORTISONE 2.5% cream 15g
m24A.	UREA+LAUROMACROGOLS 5%/3% crm
m678.	*BENZAMYCIN gel
m46z.	*ALCLOMETASONE DIP 0.05% oint
m48q.	BETAMETHASONE 0.1% cream
m21R.	E45 cream 500g pump
m461.	*MODRASONE 0.05% cream 15g
m51m.	*POLYTAR emollient 350mL
m41m.	MILDISON LIPOCREAM 1% crm 30g
m24Z.	FLEXITOL HEEL BALM 40g
m68F.	BENZOYL PEROX+CLIND 3%/1% gel
m48E.	BETAMETHAS VAL 2.25mg plasters
m4gz.	FLUOCINOLONE ACET 0.025% crm
m21z.	EPADERM ointment 500g
m471.	*PROPADERM 0.025% cream 15g
m53t.	MICANOL 3% cream 50g
m46y.	ALCLOMETASONE DIP 0.05% cream
m25S.	*ZEROLATUM PLUS bath add 500mL
m68G.	TRECLIN 1%/0.025% gel 30g
m48F.	AUDAVATE RD 0.025% cream 100g
m4h1.	METOSYN 0.05% cream 25g
m24w.	UREA 5% cream
m489.	BETNOVATE 0.1% appl 100mL
m59J.	*XAMIOL gel 60g
m4ah.	ETRIVEX 500mcg/g shampoo 125mL
m28k.	DOUBLEBASE DAYLEVE gel 100g
m6Bz.	SALICYLIC ACID 2% topical soln
m48n.	BETAMETHASONE 0.025% ointment
m4h3.	METOSYN 0.05% ointment 25g
m25N.	DOUBLEBSE EMLLNT shwr gel 200g
m48A.	BETACAP scalp application
m5G8.	*PINETARSOL gel 100g
m4e3.	NERISONE 0.1% ointment 30g
m36C.	MENTHOL 5% in aqueous cream
m6C2.	NICOTINAMIDE 4% topical gel
m4gi.	SYNALAR 1:4 ointment 50g
m4r2.	FLUTICASONE PROP 0.05% cream
m32y.	CROTAMITON 10% lotion
m49v.	BETAMETH+FUCIDIC AC 0.1/2% crm
m5H2.	TOCTINO 30mg capsules
m4gw.	FLUOCINOLONE ACET 0.0025% crm
m48a.	BETNOVATE RD 0.025% cream 100g
m6zm.	BENZOYL PEROXIDE 4% cream
m4hx.	FLUOCINONIDE 0.05% cream
m51R.	COAL TAR 40% bath emulsion
m45s.	TIMODINE cream 30g
m4e1.	NERISONE 0.1% cream 30g
m5zw.	DITHRANOL 1% cream
m4hy.	FLUOCINONIDE 0.05% ointment
m48B.	BETAMETHASONE VAL 0.12% foam
m6zz.	BENZOYL PEROXIDE 5% gel
m4j2.	HAELAN 0.0125% ointment 60g
m561.	ICHTHAMMOL 10% ointment
m45W.	*HYDROCORT+ECONAZOLE 1%/1% crm
m4eu.	DIFLUCORTOLONE VAL 0.1% crm
m611.	BRASIVOL NO.1 paste 75g
m4k1.	*HALCIDERM TOPICL 0.1% crm 30g
m48o.	BETAMETHASONE 0.1% scalp appl
ma1s.	COVERMARK CLASSIC no.3 foundn
m4j7.	HAELN 4mcg/sq cm 7.5x50cm tape
m581.	GAMOLENIC ACID 40mg capsules
m47y.	*BECLOMETASONE 0.025% cream
m4ex.	DIFLUCORTOL VAL 0.3% oily crm
m6Dy.	ADAP 0.1% / BEN PEROX 2.5% gel
m4l4.	LOCOID 0.1% ointment 30g
m49r.	*BETAMTH+NEOMYC 0.1%/0.5% oint
mb1p.	SELSUN 2.5% shampoo 50mL
m4lb.	LOCOID CRELO 0.1% emulsion
m5A4.	ACITRETIN 25mg capsules
m482.	BETNOVATE 0.1% cream 30g
m4g4.	SYNALAR 0.025% gel 30g
m6Dz.	ADAPALENE 0.1% cream
m4q4.	MOMETASONE 0.1% cream 30g
m4aj.	CLOBADERM 0.05% cream 100g
mb24.	HEDRIN 4% scalp lotion
m4lz.	HYDROCORTISONE BUT 0.1% lotion
m5G5.	*PINETARSOL bath oil 200mL
m484.	*BETNOVATE 0.1% ointment 15g
m4gu.	FLUOCINOLONE ACET 0.025% oint
m6zr.	BENZOYL PEROXIDE 10% gel
m511.	CALAMINE AND COAL TAR ointment
m4by.	CLOBETASONE 0.05% cream
mb25.	DIMETICONE 4% scalp lotion
m512.	COAL TAR+SALICYLIC ACID oint
m5z8.	DITHRANOL 2% cream
m48r.	BETAMETHASONE 0.1% ointment
m4j1.	HAELAN 0.0125% cream 60g
m83z.	*FORMALDEHYDE 0.75% gel
m515.	ZINC AND COAL TAR paste
m4dz.	*DESOXIMETASONE 0.05% oily crm
mb31.	MINOXIDIL 20mg/mL topical liq
m518.	*CARBO-DOME 10% cream 30g
m652.	*RETIN-A FORTE 0.025% gel 60g
m4bz.	CLOBETASONE 0.05% ointment
m4jw.	FLUDROXYCORTIDE 0.0125% cream
ma1x.	COVERMARK CLASSIC no.8 foundn
m53s.	MICANOL 1% cream 50g
m4ev.	DIFLUCORTOL VAL 0.1% oily crm
md2w.	*FUSIDIC ACID 2% gel
m5B6.	TACALCITOL 4mcg/g lotion
m687.	CLINDAMYCIN 1% gel
m4e5.	NERISONE FORTE 0.3% oint 15g
m4l3.	LOCOID LIPOCREAM 0.1% crm 30g
mb1H.	*METED shampoo 120mL
m572.	ZINC AND SALICYLIC ACID paste
m4ey.	DIFLUCORTOLONE VAL 0.3% oint
md2z.	SODIUM FUSIDATE 2% ointment
m5C2.	TAZAROTENE 0.1% aqueous gel
m6zo.	BENZOYL PEROXIDE 5% lotion
m4g5.	*SYNALAR 0.025% ointment 15g
m4lw.	HYDROCORTISONE BUT 0.1% cream
mb23.	SALICYLIC ACID 2% lotion
m5H1.	TOCTINO 10mg capsules
m4i7.	*ULTRALANUM plain ointment 30g
me45.	CANESTEN 1% powder 30g
m5zx.	DITHRANOL 0.1% cream
m716.	CLAIRETTE 2000/35 tablets
m4g9.	SYNALAR 1:10 cream 50g
m4r5.	FLUTICASONE PROP 0.005% oint
mb38.	REGAINE FOR MEN 5% soln 60mL
m5z9.	DITHRANOL 3% cream
m4q6.	MOMETASONE 0.1% ointment 30g
me7H.	DAKTARIN AKTIV cream 15g
m654.	*RETIN-A 0.025% cream 60g
m816.	SALACTOL 16.7% paint 10mL
m4gv.	FLUOCINOLONE ACET 0.00625% crm
m4r6.	CUTIVATE 0.005% ointment
me7x.	MICONAZOLE 2% dusting powder
m5zv.	DITHRANOL 0.5% cream
m51g.	PSORIDERM cream 225mL
meaw.	*NYSTATIN 100,000units/g cream
m65w.	*TRETINOIN 0.01% gel
m81w.	SALICYLIC ACID 26% solution
m4jx.	FLUDROXYCORTIDE 0.0125% oint
m565.	ICTHABAND bandage
meay.	*NYSTATIN 100,000units/g oint
m656.	*RETIN-A 0.01% gel 60g
m595.	*CALCIPOTRIOL 50mcg/g cream
mejy.	TERBINAFINE HCL 1% spray
m67B.	*ERYTHROMYCIN 4% topical gel
m831.	*VERACUR 0.75% gel 15g
m4q5.	MOMETASONE 0.1% lotion 30mL
m591.	CALCIPOTRIOL 50mcg/g ointment
meb1.	PHYTEX paint 25mL
m65x.	*TRETINOIN 0.05% cream
m598.	*DOVONEX 50mcg/g ointment
mg12.	*ASCABIOL application 100mL
m683.	CLINDAMYCIN 1% roll-on lotion
m866.	WARTICON cream
m53A.	PSORIN scalp gel
m594.	*DOVONEX 50micrograms/g cream
meh4.	*AMOROLFINE 0.25% cream
m65z.	*TRETINOIN 0.025% lotion
m59P.	DOVOBET gel 60g+applicator
mi12.	SURGICAL spirit
m68E.	DUAC ONCE DAILY 3%/1% gel 30g
m923.	UVISTAT spf50 lipscreen 5g
m571.	SALICYLIC ACID 2% ointment
m597.	CALCIPOTRIOL 50mcg/mL soln
mej1.	*LAMISIL 1% cream 15g
m691.	ISOTREX 0.05% gel 30g
m5A2.	ACITRETIN 10mg capsules
mi6y.	SAVLON antiseptic cream
m712.	DIANETTE tablets
mb1U.	SELENIUM SULFIDE 2.5% shampoo
m59L.	DOVOBET gel 60g
m5B1.	TACALCITOL 4mcg/g ointment
mf21.	*HERPID 5% solution 5mL
m692.	ISOTRETINOIN 0.05% gel 30g
m5E1.	TACROLIMUS MONOHYDR 0.03% oint
mict.	POVIDONE-IOD 7.5% surg scrub
mb1e.	*IONIL T ACBS shampoo 200mL
me4y.	CLOTRIMAZOLE 1% spray
m5A1.	NEOTIGASON 10mg capsules
m5B5.	CURATODERM 4mcg/g lotion 30mL
mg81.	PERMETHRIN 1% scalp applicatn
m6A3.	AZELAIC ACID 15% gel
m5HZ.	ALITRETINOIN 10mg capsules
ml19.	ANHYDROL FORTE 20% 60mL
mb1l.	*POLYTAR PLUS liquid 150mL
me71.	MICONAZOLE 2% cream
m5A3.	NEOTIGASON 25mg capsules
m5E2.	TACROLIMUS MONOHYDR 0.1% oint
mh1p.	MAGNESIUM SULFATE paste
m6zv.	BENZOYL PEROXIDE 10% wash
m64z.	*TETRACYCLINE 2.2mg/mL soln
o57z.	MIDAZOLAM 10mg/2mL injection
mb33.	MINOXIDIL 50mg/mL topical liq
med5.	TOLNAFTATE 1% cream
m5C1.	TAZAROTENE 0.05% aqueous gel
m657.	*RETINOVA 0.05% cream
mh1V.	BENZALK CL+CETR 0.01%/0.2% crm
m721.	*ROACCUTANE 5mg capsules
m674.	STIEMYCIN 2% lotion
oazZ.	*LIDOCAINE HCL 0.5% gel
mc5y.	MUPIROCIN 2% cream
megA.	METRONIDAZOLE 0.75% cream
m5F1.	PIMECROLIMUS 10mg/g cream
m684.	CLINDAMYCIN 1% alcoholic soln
mh1y.	*POVIDONE-IODINE 10% ointment
m72y.	ISOTRETINOIN 5mg capsules
m714.	*DIVA 2000/35 tablets
p1Ge.	3M FOAM 10x11cm oval adh drssg
mc91.	FLAMAZINE 1% cream 50g
megC.	*METRONIDAZOLE 1% cream
m5G1.	*PINE TAR 2.3% solution
m68B.	BENZ PEROX 5% / CLINDAM 1% gel
micz.	*POVIDONE-IODINE 10% paint
m81F.	COMPOUND W liquid
m72x.	ISOTRETINOIN 10mg capsules
p5f9.	ZIPZOC 20% medicated stocking
mec1.	*EXELDERM 1% cream 30g
megu.	METRONIDAZOLE 0.75% gel 30g
m5HY.	ALITRETINOIN 30mg capsules
m68H.	CLINDMYCN+TRETIN 1%/0.025% gel
ml1A.	DRICLOR 20% roll-on 75mL
m852.	*POSALFILIN ointment 10g
m72z.	ISOTRETINOIN 20mg capsules
p8N2.	BRILLANT AQUA 14Ch DA3101 cath
mf1z.	ACICLOVIR 5% cream
meh1.	AMOROLFINE 5% lacquer
m653.	*RETIN-A 0.025% lotion 100mL
m6A4.	FINACEA 15% gel 30g
p432.	A&H type 2 spacer device
m861.	PODOPHYLLOTOXIN 0.5%w/v soln
m81z.	SALICYLIC ACID 50% ointment
p8Wt.	HYDRO-KIT 12Ch 4201225 cath
mg73.	*FULL MARKS 0.2% lotion 55mL
mej3.	TERBINAFINE HCL 1% cream 15g
m675.	ERYTHROMYCIN 2% lotion
m6C3.	NICAM 4% topical gel
ph7I.	CARESENS 0.36mm(28G) lancet
m863.	CONDYLINE 0.5% solution 3.5mL
m865.	PODOPHYLLOTOXIN 0.15% cream
ph8a.	MYLIFE CLICKFINE 8mm(29G) ndle
mh11.	CETRIMIDE 0.5% cream 50g
mg75.	*PHENOTHRIN 0.5% liquid
m676.	ERYTHROMYCIN+ZINC topical soln
m6D1.	ADAPALENE 0.1% topical gel
mh1a.	BRULIDINE 0.15% cream 25g
m864.	*WARTICON FEM 0.5% soln 3mL
mb53.	DANDRAZOL ANTIDAND 2% shampoo
ph9i.	CARESENS 0.31mm(30G) lancet
mi6B.	TISEPT 0.015/0.15% soln 100mL
mh13.	PROFLAVINE cream
m6D6.	*EPIDUO 0.1%/2.5% gel 45g
m6zn.	BENZOYL PEROXIDE 2.5% gel
mia2.	*STER-ZAC powder 30g
m91A.	*SPECTRABAN-25 ACBS lotion
mecz.	*SULCONAZOLE NITRATE 1% cream
phCG.	TRICARE 4mm(32G) pen needle
mid1.	POT PERMANGANATE 0.1% soln
mh1C.	*POVIDONE-IODINE 5% cream
m6zp.	BENZOYL PEROXIDE 5% cream
m722.	ROACCUTANE 20mg capsules
mo12.	HIRUDOID 0.3% cream
m91j.	*UVISTAT spf30 cream 50g
mef1.	TIOCONAZOLE 28% solution 12mL
m723.	ROACCUTANE 10mg capsules
mv11.	SOOLANTRA 10mg/g cream 30g
mh1z.	CETRIMIDE 1% cream
m6zq.	BENZOYL PEROXIDE 10% lotion
m813.	SALICYLIC ACID COLLODION 12%
mv12.	IVERMECTIN 10mg/g cream
ma1z.	COVERMARK CLASSIC no.10 foundn
meg3.	METROGEL 0.75% gel 40g
m844.	GLUTARALDEHYDE 10% solution
p1i1.	GAUZE type 13 10cmsq swab x100
mi5h.	HIBISCRUB 4% solution 250mL
m817.	VERRUGON 50% ointment 6g
m851.	PODOPHYLLIN COMPOUND 15% paint
p5f6.	CALABAND 7.5cmX6m bandage
mb1F.	*POLYTAR liquid 250mL
megB.	ROZEX 0.75% cream 30g
m91B.	ROC TOTAL spf25 colourless crm
p8GR.	SPEEDICATH 28412 male catheter
mib2.	HYDROGEN PEROXIDE 6% solution
m819.	OCCLUSAL 26% topical solution
ma1k.	VEIL finishing powder 35g
ph89.	NOVOFINE 6mm(31G) needle
mb1v.	KETOCONAZOLE 20mg/mL shampoo
mej6.	LAMISIL AT 1% Spray
mb1K.	POVIDONE-IODINE 4% shampoo
py43.	CATH-IT med-lge/908420 pack
mich.	SAVLON DRY 1.14% spray 50mL
m924.	UVISTAT spf50 cream 125g
mb52.	DANDRAZOL 2% shampoo
scXL.	SENSURA MIO CONVEX 16642 bags
mb55.	DERMAX THERAPEUTIC 0.5% shmpoo
mi5J.	CHLORHEXIDINE GLUCONATE 1% crm
md22.	FUCIDIN 2% cream 30g
slpC.	NOVA 1 UROSTOMY 894-37 urobags
micw.	POVIDONE-IODINE 2.5% spray
ma1v.	COVERMARK CLASSIC no.6 foundn
md27.	FUCIDIN 2% ointment 15g
mib3.	HYDROGEN PEROXIDE 3% solution
mc9z.	SILVER SULFADIAZINE 1% cream
mb1z.	CAPASAL shampoo 250mL
meh5.	CURANAIL 5% lacquer 3mL
micx.	POVIDONE-IOD 10% antisep soln
mn1B.	*HYDROGEN PEROXIDE 1% cream
mc5z.	MUPIROCIN 2% ointment
meh6.	OMICUR 5% nail lacquer 2.5mL
mid2.	PERMITABS 400mg soln.tabs
me4z.	CLOTRIMAZOLE 1% powder
mc61.	NEOMYCIN 0.5% cream
mek1.	BIFONAZOLE 1% cream
mt1z.	DICLOFENAC SODIUM 3% gel
mo13.	HIRUDOID 0.3% gel
mcA4.	RETAPAMULIN 1% ointment
mg5x.	MALATHION 0.5% liquid
p1f1.	*SOFRA TULLE 10x10cm dressing
me62.	KETOCONAZOLE 2% cream
md2v.	FUSIDIC ACID 2% cream
mg84.	LYCLEAR 5% cream 30g
p1iJ.	NON-WOV SP.28 10x10cm 4P-swab
p17B.	TEGADERM 1624 6x7cm IV dressg
me21.	BENZOIC ACID COMPOUND ointment
mh1B.	DRAPOLENE cream
p5f8.	ZN OXIDE 20% oint impreg stckg
me7E.	DAKTARIN AKTIV pdr spray 100g
mea8.	*NYSTAN 100,000unit/g oint 30g
mi5I.	ECZMOL 1% cream 250mL
s9l1.	DEO-MINT 130770 deodorant 50mL
p5fB.	ZINC PASTE 15% 7.5cmx6m bdg
mee1.	*MONPHYTOL paint 18mL
mi6v.	*STERIPOD YELLOW solution 20mL
scxt.	DANSAC NOVA 1 825-15 ileobags
me7y.	MICONAZOLE 0.16% powder spray
meg5.	ROZEX 0.75% gel
mi6w.	UNISEPT solution 100mL
meh3.	*LOCERYL 0.25% cream 20g
ph93.	FASTCLIX 0.3mm(30gauge) lancet
mg54.	*PRIODERM 1% shampoo 40g
micu.	*POVIDONE-IODINE 4% solution
mg7z.	*PHENOTHRIN 0.2% lotion
med2.	TINADERM cream
mg83.	PERMETHRIN 5% cream 30g
mr11.	SOLVENT ETHER BP
mi5D.	CHLORAPREP ONESTEP soln 0.67mL
sbz2.	HYDROFRAME WAFM33 flg extender
mi5H.	CHLORAPREP ONE-STEP soln 26mL
mt21.	PICATO 150mcg/g gel 0.47g
micr.	POVIDONE-IODINE 1.14% spray
mee3.	MYCOTA powder 70g
mt2y.	INGENOL MEBUTATE 500mcg/g gel
mt22.	PICATO 500mcg/g gel 0.47g
o57u.	MIDAZOLM 2.5mg/0.5mL oral syrg
megL.	ROSICED 0.75% cream 30g
p1LK.	MEDIHONEY barrier cream 50g
ph8T.	BD MICRO-FINE+ 4mm(32G) needle
p5f2.	ZINCABAND 7.5cmX6m bandage
mejw.	TERBINAFINE HCL 1% solution
pA2K.	MEPITEL 12cmx15cm dressing
puhM.	MEDISENSE OPTIUM PLS electrode
pG2X.	ULTIMATE 15222 constrctr rings
mejx.	TERBINAFINE HCL 1% gel
pu71.	KETOSTIX strips 50
purO.	TEE2 blood glucose test strip
mf11.	ZOVIRAX 5% cream 2g
q633.	SIMPLA PROFILE 2L/21578 bags
mf31.	PENCICLOVIR 1% cream
q6x3.	PROSYS PSU2 2L nght drain bags
mg11.	BENZYL BENZOATE 25% applicatn
mg53.	*PRIODERM 0.5% lotion 55mL
mg78.	*PHENOTHRIN 0.5% foam
micy.	POVIDONE-IOD 10% alcohol soln
ms11.	LIQUEFIED PHENOL BP
mt2z.	INGENOL MEBUTATE 150mcg/g gel
p1wj.	SOFTPORE 6cmx7cm dressing
p5f5.	QUINABAND 7.5cmX6m bandage
p5f7.	STERIPASTE 7.5cmx6m bandage
ps72.	*TUBIFAST BLUE LINE 7.5cmx1m
pur6.	GLUCORX NEXUS test strip
sksK.	NOVA 2 HIGH OUTPUT 1208-55 bag
