^ESCT1164467	Donepezil hydrochloride monohydrate
^ESCTME706174	Memantine hydrochloride
^ESCTME732539	Memantine hydrochloride 7mg extended release capsule
^ESCTME732540	Memantine hydrochloride 14mg extended release capsule
^ESCTME733613	Memantine hydrochloride 21mg extended release capsule
^ESCTME733614	Memantine hydrochloride 28mg extended release capsule
^ESCTME967029	Memantine 20mg tablets 28 tablet
^ESCTME967275	Memantine 20mg tablets
^ESCTME968474	Memantine 20mg tablets 7 tablet
^ESCTME993098	Memantine 20mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTME993099	Memantine 20mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTNE1049546	Nemdatine 20mg tablets (Actavis UK Ltd)
^ESCTNE1049547	Nemdatine 20mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTNE1144133	Nemdatine 20mg tablets (Actavis UK Ltd) 7 tablet
^ESCTNI1022555	Nimvastid 1.5mg capsules (Consilient Health Ltd)
^ESCTNI1022556	Nimvastid 1.5mg capsules (Consilient Health Ltd) 28 capsule 2 x 14 capsules
^ESCTNI1022566	Nimvastid 3mg capsules (Consilient Health Ltd)
^ESCTNI1022568	Nimvastid 3mg capsules (Consilient Health Ltd) 28 capsule 2 x 14 capsules
^ESCTPR415475	Product containing donepezil
^ESCTPR611049	Product containing donepezil hydrochloride 5 mg/1 each oral tablet
^ESCTPR611052	Product containing donepezil hydrochloride 10 mg/1 each oral tablet
^ESCTPR611055	Product containing rivastigmine
^ESCTPR611058	Product containing rivastigmine 1.5 mg/1 each oral capsule
^ESCTPR611061	Product containing rivastigmine 3 mg/1 each oral capsule
^ESCTPR611064	Product containing rivastigmine 4.5 mg/1 each oral capsule
^ESCTPR611067	Product containing rivastigmine 6 mg/1 each oral capsule
^ESCTPR611069	Product containing galantamine
^ESCTPR611071	Product containing galantamine 4 mg/1 each oral tablet
^ESCTPR611074	Product containing galantamine 8 mg/1 each oral tablet
^ESCTPR611077	Product containing galantamine 12 mg/1 each oral tablet
^ESCTPR672808	Product containing memantine
^ESCTPR675332	Product containing memantine hydrochloride 10 mg/1 each oral tablet
^ESCTPR677493	Product containing memantine hydrochloride 5 mg/1 each oral tablet
^ESCTPR711604	Product containing rivastigmine in oral dosage form
^ESCTPR712508	Product containing rivastigmine in topical dosage form
^ESCTPR733636	Product containing donepezil hydrochloride 23 mg/1 each oral tablet
^ESCTPR773765	Product containing donepezil and memantine in oral dosage form
^ESCTRE1002785	Reminyl 4mg/ml oral solution (Sigma Pharmaceuticals Plc)
^ESCTRE1002787	Reminyl 4mg/ml oral solution (Sigma Pharmaceuticals Plc) 100 ml
^ESCTRE1012230	Reminyl 4mg/ml oral solution (DE Pharmaceuticals)
^ESCTRE1012231	Reminyl 4mg/ml oral solution (DE Pharmaceuticals) 100 ml
^ESCTRE1012435	Reminyl 4mg/ml oral solution (Mawdsley-Brooks & Company Ltd)
^ESCTRE1012436	Reminyl 4mg/ml oral solution (Mawdsley-Brooks & Company Ltd) 100 ml
^ESCTRE1061543	Reminyl 4mg/ml oral solution (Waymade Healthcare Plc)
^ESCTRE1061544	Reminyl 4mg/ml oral solution (Waymade Healthcare Plc) 100 ml
^ESCTRE861924	Reminyl 4mg/ml oral solution (Shire Pharmaceuticals Ltd)
^ESCTRE861926	Reminyl 4mg/ml oral solution (Shire Pharmaceuticals Ltd) 100 ml
^ESCTRI1022147	Rivastigmine 1.5mg capsules (A A H Pharmaceuticals Ltd)
^ESCTRI1022148	Rivastigmine 1.5mg capsules (A A H Pharmaceuticals Ltd) 28 capsule
^ESCTRI1022149	Rivastigmine 1.5mg capsules (A A H Pharmaceuticals Ltd) 56 capsule
^ESCTRI1022150	Rivastigmine 3mg capsules (A A H Pharmaceuticals Ltd)
^ESCTRI1022151	Rivastigmine 3mg capsules (A A H Pharmaceuticals Ltd) 28 capsule
^ESCTRI1022152	Rivastigmine 3mg capsules (A A H Pharmaceuticals Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1023231	Rivastigmine 1.5mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTRI1023232	Rivastigmine 1.5mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule
^ESCTRI1023233	Rivastigmine 1.5mg capsules (Alliance Healthcare (Distribution) Ltd) 56 capsule
^ESCTRI1023234	Rivastigmine 3mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTRI1023235	Rivastigmine 3mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule
^ESCTRI1023236	Rivastigmine 3mg capsules (Alliance Healthcare (Distribution) Ltd) 56 capsule
^ESCTRI1023513	Rivastigmine 3mg capsules (Mylan Ltd)
^ESCTRI1023514	Rivastigmine 3mg capsules (Mylan Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1023515	Rivastigmine 3mg capsules (Mylan Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1023516	Rivastigmine 1.5mg capsules (Mylan Ltd)
^ESCTRI1023517	Rivastigmine 1.5mg capsules (Mylan Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1023518	Rivastigmine 1.5mg capsules (Mylan Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1026518	Rivastigmine 1.5mg capsules (Actavis UK Ltd)
^ESCTRI1026519	Rivastigmine 1.5mg capsules (Actavis UK Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1026520	Rivastigmine 1.5mg capsules (Actavis UK Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1026521	Rivastigmine 3mg capsules (Actavis UK Ltd)
^ESCTRI1026522	Rivastigmine 3mg capsules (Actavis UK Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1026523	Rivastigmine 3mg capsules (Actavis UK Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1028801	Rivastigmine 1.5mg capsules (Dr Reddy's Laboratories (UK) Ltd)
^ESCTRI1028802	Rivastigmine 1.5mg capsules (Dr Reddy's Laboratories (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1028803	Rivastigmine 1.5mg capsules (Dr Reddy's Laboratories (UK) Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1028804	Rivastigmine 3mg capsules (Dr Reddy's Laboratories (UK) Ltd)
^ESCTRI1028805	Rivastigmine 3mg capsules (Dr Reddy's Laboratories (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1028806	Rivastigmine 3mg capsules (Dr Reddy's Laboratories (UK) Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1033423	Rivastigmine 1.5mg capsules (Sandoz Ltd)
^ESCTRI1033426	Rivastigmine 1.5mg capsules (Sandoz Ltd) 28 capsule
^ESCTRI1033429	Rivastigmine 1.5mg capsules (Sandoz Ltd) 56 capsule
^ESCTRI1033434	Rivastigmine 3mg capsules (Sandoz Ltd)
^ESCTRI1033435	Rivastigmine 3mg capsules (Sandoz Ltd) 28 capsule
^ESCTRI1033438	Rivastigmine 3mg capsules (Sandoz Ltd) 56 capsule
^ESCTRI1033845	Rivastigmine 1.5mg capsules (Teva UK Ltd)
^ESCTRI1033846	Rivastigmine 1.5mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1033847	Rivastigmine 1.5mg capsules (Teva UK Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1033848	Rivastigmine 3mg capsules (Teva UK Ltd)
^ESCTRI1033849	Rivastigmine 3mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1033850	Rivastigmine 3mg capsules (Teva UK Ltd) 56 capsule 4 x 14 capsules
^ESCTRI1042441	Rivastigmine 1.5mg capsules (Waymade Healthcare Plc)
^ESCTRI1042442	Rivastigmine 1.5mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTRI1042443	Rivastigmine 3mg capsules (Waymade Healthcare Plc)
^ESCTRI1042444	Rivastigmine 3mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTRI1042449	Rivastigmine 1.5mg capsules (Waymade Healthcare Plc) 56 capsule
^ESCTRI1042450	Rivastigmine 3mg capsules (Waymade Healthcare Plc) 56 capsule
^ESCTRI1109692	Rivastigmine 1.5mg capsules (Crescent Pharma Ltd)
^ESCTRI1109693	Rivastigmine 1.5mg capsules (Crescent Pharma Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1109695	Rivastigmine 3mg capsules (Crescent Pharma Ltd)
^ESCTRI1109696	Rivastigmine 3mg capsules (Crescent Pharma Ltd) 28 capsule 2 x 14 capsules
^ESCTRI1119732	Rivastigmine 1.5mg capsules (DE Pharmaceuticals)
^ESCTRI1119733	Rivastigmine 1.5mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTRI1119734	Rivastigmine 1.5mg capsules (DE Pharmaceuticals) 56 capsule
^ESCTRI1119735	Rivastigmine 3mg capsules (DE Pharmaceuticals)
^ESCTRI1119736	Rivastigmine 3mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTRI1119737	Rivastigmine 3mg capsules (DE Pharmaceuticals) 56 capsule
^ESCTRI1127268	Rivastigmine 1.5mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127271	Rivastigmine 1.5mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTRI1127272	Rivastigmine 3mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127273	Rivastigmine 3mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTRI438136	Rivastigmine hydrogen tartrate
^ESCTRI438137	Rivastigmine tartrate
^ESCTRI611054	Rivastigmine
^ESCTRI611056	Rivastigmine 1.5mg capsules
^ESCTRI611057	Rivastigmine 1.5 mg/1 each oral capsule
^ESCTRI611059	Rivastigmine 3mg capsules
^ESCTRI611060	Rivastigmine 3 mg/1 each oral capsule
^ESCTRI611062	Rivastigmine 4.5mg capsules
^ESCTRI611063	Rivastigmine 4.5 mg/1 each oral capsule
^ESCTRI611065	Rivastigmine 6mg capsules
^ESCTRI611066	Rivastigmine 6 mg/1 each oral capsule
^ESCTRI655999	Rivastigmine
^ESCTRI676486	Rivastigmine 2mg/ml oral solution
^ESCTRI676487	Rivastigmine 2mg/mL oral solution
^ESCTRI708420	Rivastigmine 4.6mg/24 hours transdermal patch
^ESCTRI708894	Rivastigmine 9.5mg/24 hours transdermal patch
^ESCTRI711603	Rivastigmine in oral dosage form
^ESCTRI712507	Rivastigmine in topical dosage form
^ESCTRI864065	Rivastigmine 1.5mg capsules 28 capsule
^ESCTRI864066	Rivastigmine 1.5mg capsules 56 capsule
^ESCTRI864072	Rivastigmine 3mg capsules 28 capsule
^ESCTRI864073	Rivastigmine 3mg capsules 56 capsule
^ESCTRI933567	Rivastigmine 3mg capsules (Waymade Healthcare Plc)
^ESCTRI933568	Rivastigmine 3mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTRI933569	Rivastigmine 1.5mg capsules (Waymade Healthcare Plc)
^ESCTRI933570	Rivastigmine 1.5mg capsules (Waymade Healthcare Plc) 28 capsule
AROR23861NEMIS	Aricept Evess  Orodispersible tablets  5 mg
AROR23862NEMIS	Aricept Evess  Orodispersible tablets  10 mg
DOOR23858NEMIS	Donepezil Hydrochloride  Orodispersible Tablets (Sugar Free)  5 mg
DOOR23859NEMIS	Donepezil Hydrochloride  Orodispersible Tablets (Sugar Free)  10 mg
DOTA30546EMIS	Donepezil Hydrochloride  Tablets  10 mg
DOTA30547EMIS	Donepezil Hydrochloride  Tablets  5 mg
EBTA31267NEMIS	Ebixa  Tablets  20 mg
EXCA33018EMIS	Exelon  Capsules  1.5 mg
EXCA33019EMIS	Exelon  Capsules  3 mg
GAOR127241NEMIS	Galzemic  Oral solution  4 mg/ml
GAOR13846NEMIS	Galantamine Hydrobromide  Oral solution  Sugar Free 4 mg/ml
GATA5327NEMIS	Galantamine Hydrobromide  Tablets  4 mg
GATA5329NEMIS	Galantamine Hydrobromide  Tablets  8 mg
GATA5330NEMIS	Galantamine Hydrobromide  Tablets  12 mg
KECA78595NEMIS	Kerstipon  Capsules  1.5 mg
KECA78596NEMIS	Kerstipon  Capsules  3 mg
MATA116914NEMIS	Marixino  Tablets  20 mg
META14270NEMIS	Memantine Hydrochloride  Tablets  10 mg
META31266NEMIS	Memantine Hydrochloride  Tablets  20 mg
NETA82051NEMIS	Nemdatine  Tablets  20 mg
NICA52131NEMIS	Nimvastid  Capsules  1.5 mg
NICA52132NEMIS	Nimvastid  Capsules  3 mg
REOR13847NEMIS	Reminyl  Oral solution  4 mg/ml
RICA33026EMIS	Rivastigmine Hydrogen Tartrate  Capsules  1.5 mg
RICA33027EMIS	Rivastigmine Hydrogen Tartrate  Capsules  3 mg
RICA33028EMIS	Rivastigmine Hydrogen Tartrate  Capsules  4.5 mg
RICA33029EMIS	Rivastigmine Hydrogen Tartrate  Capsules  6 mg
