ResultCode	ResultDescription	(No column name)
NM Lung ventilation and perfusion	NM Lung ventilation and perfusion	787
DOWNS	Downs Screening	780
UAOTD	US Doppler Aorta	773
ULLAL	US Doppler lower limb arteries Lt	767
Video swallow	Video swallow	763
US Multiple Pregnancy Doppler	US Multiple Pregnancy Doppler	752
CT Head neck thorax Abdo and pelvis Cont	CT Head neck thorax Abdo and pelvis Cont	749
MCTX	Mast Cell Tryptase	749
MPEST	MRI Pelvis Prostate	748
XM	Cross Match	748
XTLSP	XR Thoracolumbar spine	747
ULLAR	US Doppler lower limb arteries Rt	747
XFEML	XR Femur Lt	746
601770	Atypical pneumonia	746
6607	Meningococcal PCR	746
CE1	Card.Enz	744
600035	Genital - Other	742
LUP	Lupus anticoagulant	738
187415	BC - Central	736
ETOH	ALCOHOL (Ethanol)	736
NM Renogram with diuretic	NM Renogram with diuretic	735
XUPAR	XR Humerus Rt	735
UMAMLN	US Guided Aspiration Breast Lt	731
Glucose	Glucose	731
ULLAB	US Doppler lower limb arteries Both	730
MNECKC	MRI Neck with contrast	728
ASPF	IgG ab Aspergillus f (serum)	725
ENA1	ENA Screen (CMFT)	724
XR Orthopantomogram Rt	XR Orthopantomogram Rt	718
PLGFP	PLGF : sFlt ratio	717
MRI Neck	MRI Neck	715
XFEMR	XR Femur Rt	715
US Arteriovenous fistula	US Arteriovenous fistula	714
PVIS	Plasma Viscosity	710
XR Thoracolumbar spine	XR Thoracolumbar spine	704
MRI Prostate with contrast	MRI Prostate with contrast	701
2COV	VirologyCOVID Sputum	700
TPMT	Thiopurine Methyl Transferase	700
SPC	Respiratory Culture	700
PIIINP	PIIINP	684
EERCP	ERCP	684
Enteric PCR	Enteric PCR	684
Group and Antibody Screen	Group and Antibody Screen	680
XBRTL	XR Breast tomosynthesis Left	680
UOCLT	US Obstetric cervical length TV	678
MRI Liver with contrast	MRI Liver with contrast	677
CT Pelvis	CT Pelvis	673
BIRCH	Birch pollen (serum)	671
Coeliac Screen	Coeliac Screen	671
CEPH	GeneXpert CPE	670
XBRTR	XR Breast tomosynthesis Right	670
UABRE	US Abdomen and Renal Tract	669
CT Angiogram intracranial	CT Angiogram intracranial	666
CT Thorax abdomen and pelvis	CT Thorax abdomen and pelvis	665
187651	Respiratory PCR Panel	664
CCP	Anti-CCP	663
US Doppler Aorta	US Doppler Aorta	662
TFT (not on T4)	TFT (not on T4)	660
Iron saturation	Iron saturation	658
EPO	Serum Erythropoietin	657
UM	Urine no culture	655
UM	Not tested	652
1VIT	Total Vitamin D	650
TSHREC	TSH Receptor Antibody (serum)	649
CSINU	CT Sinuses	649
6693	CF - Sputum	646
UMAMRN	US Guided aspiration breast Rt	646
THEO	Theophylline	643
US Transplant Kidney	US Transplant Kidney	639
US Obstetric Foetal Anomaly Scan	US Obstetric Foetal Anomaly Scan	636
IRON	Iron Studies	636
ASPIGG	Aspergillus F IgG Ab	635
6687	BC - CVC line	632
187445	AFB - BAL sample	630
Vitamin D Profile (LCMS)	Vitamin D Profile (LCMS)	629
USHRLJ	US Guided injection shoulder Lt	627
USHRRJ	US Guided injection shoulder Rt	626
US Shoulder Rt	US Shoulder Rt	625
NM Renal DMSA	NM Renal DMSA	625
186835	Faeces - C. diff	623
XM1	X-MATCH	622
MSMBO	MRI Small bowel study	621
US Guided drainage	US Guided drainage	619
XHIPB	XR Hip Both	618
ROUS	Routine ( Stored )	617
MRI Pelvis Rectum	MRI Pelvis Rectum	614
ENAX	ENA Ab	612
ACTH	ACTH	611
CU	COPPER	605
UM	Urine	605
HP_RRPT	Report	601
FISH	Fish (cod) (serum)	601
CUCAE	Copper/Caeruloplasmin	596
6608	Pneumocystis PCR	595
MRI Pelvis with contrast	MRI Pelvis with contrast	594
186930	Ascitic fluid	593
US Groin Rt	US Groin Rt	591
CT Angio aortic arch and carotid Both	CT Angio aortic arch and carotid Both	588
DS1	ROUTINE DRUG SCREEN	587
CTX	CTX	585
CABPE	CT Abdomen and pelvis	583
1CA19	CA19-9	583
1CA15	CA15-3	583
XR Mammogram Rt	XR Mammogram Rt	580
186750	Legionella urine Ag	579
US Guided Aspiration Neck	US Guided Aspiration Neck	578
Tissue culture	Tissue culture	577
187870	Group B Strep Screen	576
US Breast Both	US Breast Both	575
XR Neck Soft Tissue	XR Neck Soft Tissue	573
XPATH	XR Pathological Specimen	573
187075	Chronic Hepatitis	573
6637	H Influenza (Hib)	570
CALP1	Calprotectin	569
CT Head with contrast	CT Head with contrast	567
ELAS	Faecal Elastase	567
micro alb creat ratio	micro alb creat ratio	567
HBCAB	Hep B Core Antibody	566
ZRREV	Review of External Images	566
HEL	Helicobacter Results	564
6126	Drain Fluid	558
B2GP	B2 Glycoprotein	558
187715	BAL - M,C&S	558
FLOLL	Fluoroscopy lower limb Lt	556
FSH	Follicle Stimulating Hormone	556
600080	Tracheal Aspirate	556
TESM	Testosterone (male)	555
XTOGR	XR Toe Great Rt	554
MLIVEC	MRI Liver with contrast	551
CT Face with contrast	CT Face with contrast	550
186965	Synovial fluid	548
TCBIL	Total+Conj Bilirubin	548
MRA Head	MRA Head	547
CT Angiogram	CT Angiogram	544
1CL	Chloride	544
CULT	W1 Superficial Skin	544
BILAC	Bile Acids	539
CT Neck thorax abdomen pelvis with Cont	CT Neck thorax abdomen pelvis with Cont	539
XCLAR	XR Clavicle Rt	538
Respiratory culture	Respiratory culture	537
PCT	Pro-Calcitonin	536
AASX	Auto Antibody Screen	535
186910	Line Tip	534
Rejected sample	Rejected sample	534
XMAND	XR Mandible	534
CCHAP	CT Thorax abdomen and pelvis	533
US Axilla Lt	US Axilla Lt	532
XR Mammogram Lt	XR Mammogram Lt	530
UMULT	US Multiple Pregnancy	529
US Obst Foetal Echocardiogram	US Obst Foetal Echocardiogram	529
CA	CA/ALB	527
IGG	IgG (serum)	525
ASPIGE	Aspergillus IgE	524
6109	BC - Blue Lumen	523
PHOS	Phosphate	523
MPEHB	MRI Pelvis and Hip Both	521
Faecal calprotectin	Faecal calprotectin	521
LDHA	LDH (new)	520
US Shoulder Lt	US Shoulder Lt	520
US Abdominal Aorta	US Abdominal Aorta	519
LATEX	Latex (serum)	519
CCA	ADJUSTED CALCIUM	516
Lipids - fasting	Lipids - fasting	515
BMA	Bone Marrow Aspirate	513
PRG	Serum Progesterone	513
ANDROG	Androgen Profile	511
IGFBP3	IGF Binding Protein 3	510
BANAN	Banana (serum)	509
FLOLR	Fluoroscopy lower limb Rt	505
APPLE	Apple (serum)	504
PLA2R	PLA2R antibody (serum)	501
UOTV	US Obstetric TV	501
US Anterior Abdominal Wall	US Anterior Abdominal Wall	497
AHSTNI	HiSens Trop I add-on	497
MACAX	Cardiolipin Antibody	497
Free T4	Free T4	496
US Axilla Rt	US Axilla Rt	495
VAL	VALPROATE	494
MRI Pituitary	MRI Pituitary	494
GUMC	GR1 - HVS Genital Swab	493
P	PHOSPHATE	489
XTOGL	XR Toe Great Lt	488
US Doppler vein map lower limb Lt	US Doppler vein map lower limb Lt	487
Orthopaedic pinning lower limb Lt	Orthopaedic pinning lower limb Lt	486
XCLAL	XR Clavicle Lt	485
PICC Line Insertion	PICC Line Insertion	484
MPO2X	MPO-ANCA & PR3-ANCA	484
CU4	Copper CMFT	484
CTP	CSF TOTAL PROTEIN	482
6691	BC - Tessio line	481
US Groin Lt	US Groin Lt	480
CA199A	CA19-9 (new)	477
VITAE	Vitamins A and E	476
SHBG	SEX HORMONE BINDING GLOBULIN	475
CA19-9	CA 19-9	474
PMET	Plasma metadrenalines	474
Wound swab	Wound swab	473
187805	Rubella Acute IgM	472
TESTMS	Testosterone (MS)	472
CSFG	CSF GLUCOSE	472
MSHRR	MRI Shoulder Rt	471
187545	Mycology - Skin	469
186915	Mouth swab	468
NB	Bone NPEx	468
MNECK	MRI Neck	466
UHAWR	US Hand and wrist Rt	465
6336	Penile swab	464
GAD	Anti GAD antibody (serum)	464
AFPNG	AFP	462
Cardiac permanent pacemaker insertion	Cardiac permanent pacemaker insertion	462
6690	BC - Portacath blood	461
Immunoglobulins	Immunoglobulins	461
CO2	Bicarbonate	458
UXRELL	Extracorporeal Lithotripsy Renal Lt	458
XR Dental periapical 10	XR Dental periapical 10	458
GC_RRPT	Report	457
Creatine Kinase	Creatine Kinase	457
Orthopaedic pinning lower limb Rt	Orthopaedic pinning lower limb Rt	456
Chlamydia PCR	Chlamydia PCR	455
DDNAX	DS DNA Antibody	454
CT Facial bones	CT Facial bones	453
1BF	B12/Fol	453
ALB	ALBUMIN	452
MRI Spine whole with contrast	MRI Spine whole with contrast	451
1IG	Ig's	451
TPMT2	TPMT	451
US Pelvis (Transvaginal)	US Pelvis (Transvaginal)	450
CA199	CA 19-9	450
CT Renal with contrast Both	CT Renal with contrast Both	448
Word processor	Word processor	447
FVIDS	Video swallow	446
UHAWL	US Hand and wrist Lt	446
MRI Shoulder Rt	MRI Shoulder Rt	446
NM Bone SPECT	NM Bone SPECT	446
METNP	Plasma Metanephrines	445
6689	BC - PICC Line	445
Paediatric bilirubin	Paediatric bilirubin	443
MR UNDER ORAL SEDATION	MR UNDER ORAL SEDATION	443
US Doppler vein map lower limb Rt	US Doppler vein map lower limb Rt	443
Orthopaedic pinning upper limb Lt	Orthopaedic pinning upper limb Lt	442
ANCA3	ANCA	441
1EL	Electros	440
BGAS	Blood Gases	439
NM Lung Perfusion Scan Q	NM Lung Perfusion Scan Q	438
BC - Peripheral	BC - Peripheral	437
MARKR	Cell Markers	437
6213	ETA sample	436
6131	Pleural Fluid	434
MDB	CONJ BILIRUBIN	432
Gated CT thorax	Gated CT thorax	431
REF	Beta glucan	430
UTIED	US Tissue doppler echocardiogram	430
XR Skull	XR Skull	430
HBSM	Repeat HBS Estimation	429
CA	CALCIUM	429
ACE1	ACE (new)	429
Nephrostomy catheter exchange	Nephrostomy catheter exchange	429
US Salivary Glands parotid	US Salivary Glands parotid	427
6648	Parvovirus viral Ld	426
187655	Adenovirus PCR	426
CT Orbit Both	CT Orbit Both	424
FUPLL	Fluoroscopy upper limb Lt	424
MSIJB	MRI Pelvis SIJ Both	423
PCRAT2	Protein:Creat.Ratio	422
XSHRB	XR Shoulder Both	416
CPE	CPE Screening	416
CP	CITRATED PLATELET COUNT	415
6609	Varicella Viral load	415
TTG	Tissue TTG IgA	415
Orthopaedic pinning upper limb Rt	Orthopaedic pinning upper limb Rt	414
AAB	Auto Antibodies	413
CNECKC	CT Neck with contrast	412
CT Neck	CT Neck	412
600090	AFB - Other	411
TSH	THYROID STIMULATING HORMONE	410
Sputum - R???outine	Sputum - R???outine	410
US Hand and wrist Rt	US Hand and wrist Rt	408
MLIVE	MRI Liver and Spleen	406
ACH-R	AcetylCh Recp ab (serum)	405
186840	Faeces - Parasites	405
PARATHYROID HORMONE	PARATHYROID HORMONE	404
CYSC	Cystatin C	401
Hysterosalpingogram	Hysterosalpingogram	400
ANCAX	Neut.Cytoplasmic Abs	397
CHOLESTEROL	CHOLESTEROL	396
XTOEL	XR Toes Lt	396
1CO2	Bicarbonate	395
TMA	C.trachomatis TMA	393
RCREA2	Ur.Creatinine-mmol/L	393
187000	Corneal scrapes	392
XTOER	XR Toes Rt	389
XR Hip Both	XR Hip Both	389
SIRO	Sirolimus	388
MRI Foot Rt	MRI Foot Rt	388
FT3	Free T3 (FT3)	388
ZUCHESA	EBUS-TBNA	387
UABDA	US Anterior Abdominal Wall	387
ALDPRA	aldosterone and renin adults	386
MRI Foot Lt	MRI Foot Lt	386
TEST	Testosterone Andgens	385
1UE2	U+E.Ca.Alb	385
FUPLR	Fluoroscopy upper limb Rt	383
1HBC	HbA1c(IFCC)	383
DIGM	Digoxin (ug/L)	383
ATP	FLUID TOTAL PROTEIN	383
CAAAG	CT Angiogram aorta	383
MRI Hip Rt	MRI Hip Rt	382
MRI Spine Thoracic	MRI Spine Thoracic	381
1URI	Uric acid	381
Serum Vitamin B12 Assay	Serum Vitamin B12 Assay	379
187330	MRI CSF ? virus dete	379
BCT	Blood Culture	379
MSHRL	MRI Shoulder Lt	378
P	Platelet req.......	378
TSHRX	TSH Receptors Abs	378
17-OH	17-HYDROXY PROGESTERONE	377
187070	Acute hepatitis	376
Serum Folate Assay	Serum Folate Assay	376
ULAMB	US Doppler artery map lower limb Both	375
ZN3	Zinc CMFT	375
F8C	Factor VIII	374
MRI Ankle Rt	MRI Ankle Rt	373
TMET	Thiopurine Metabs	373
IA	Issue albumin.	370
CRITH	Crith Luciliae Ab	369
US Hand and wrist Lt	US Hand and wrist Lt	369
MRI Shoulder Lt	MRI Shoulder Lt	368
MRECT	MRI Pelvis Rectum	368
IPICCI	PICC Line Insertion	366
XR Fingers Rt	XR Fingers Rt	366
ZUCHES	US Pleural Cavity	365
UINGU	US Groin and Inguinal Region	365
MPELV	MRI Pelvis	365
1FERR	Ferritin	364
CUCACR	Children's Ca/Creat Ratio	363
CACR	Calcium/Creat ratio	363
COMP	Complement	362
XR Fingers Lt	XR Fingers Lt	362
ZRXTC	Review of external CT images	361
Rheumatoid Factor	Rheumatoid Factor	359
BJPROT	Bence Jones Protein	359
ALC	Alcohol	358
AMM	Plasma Ammonia	358
LITH	Lithium	357
600070	Aspirate	357
187400	Blood Culture -Other	357
CALLB	CT Angiogram lower limb Both	356
GUMM	Genital Micros	356
Bone Donor Serology / Referred Tests	Bone Donor Serology / Referred Tests	355
6672	Solid organ donor	355
XR Hand & Wrist for Bone Age	XR Hand & Wrist for Bone Age	355
187186	Beta Glucan	354
601720	Needlestick Donor	353
NSENT	NM Sentinel Node Loc and Imaging	352
1AMY	Amylase	352
TAB	Thyroid Antibodies	350
SALCOR	SalivaryCortisol(MS)	348
187440	AFB - Tissue Sample	348
US Abdomen and Renal Tract	US Abdomen and Renal Tract	347
US Guided aspiration	US Guided aspiration	346
ALDH	FLUID LDH	345
Proctogram	Proctogram	344
CSF	CSF	343
IFANA	Immunofluo'scent ANA	343
E-GFR	Estimated GFR	342
UPREG	Urine Pregnancy Test	342
FILM	BLOOD FILM	340
IRON + IRON SATURATION	IRON + IRON SATURATION	339
UELLI	US Elastography of liver	339
SAL3	Salicylate	338
CCP	CREAT AND PROTEIN	338
CT Spine lumbar	CT Spine lumbar	338
AND	ANDROSTENEDIONE	337
MRI Ankle Lt	MRI Ankle Lt	337
OSMS	Osmolality	336
KC5	APTT N/P 50:50	336
VORI	Voriconazole	334
ADALAB	Adalimumab Abs (serum)	333
MYC	Mycology	333
P1NP	P1NP	332
6200	7 RIGHT CHEST	332
XANTH	Xanthochromia screen	332
US Doppler transcranial	US Doppler transcranial	332
US Guided Aspiration Breast Lt	US Guided Aspiration Breast Lt	332
601695	Virology MisMatch	331
GEN	Gentamicin	331
SYNC	Synacthen test CORT ONLY	329
NLFT	LFT NPEx	328
DHEA	DHEA-SULPHATE	328
F10	Factor X	327
XR Dental periapical full	XR Dental periapical full	327
XCALL	XR Calcaneus Lt	327
PETOH	ETHANOL	325
6112	BC - Purple lumen	325
Barium swallow and meal	Barium swallow and meal	325
REF	Galactomannan	324
XR Sternum	XR Sternum	324
6674	Varicella Zoster IgM	323
PTA Dialysis fistula	PTA Dialysis fistula	323
1LF	LH/FSH	323
A10A	Anti Xa Assay	323
VITDM	1,25-dihydroxy vitamin D	322
Shuntogram	Shuntogram	321
US Doppler upper limb veins Rt	US Doppler upper limb veins Rt	321
6183	30 upper rgt lg frnt	320
1DPD	DPD-5FU Toxicity	320
UXRERL	Extracorporeal Lithotripsy Renal Rt	319
CT Abdomen	CT Abdomen	319
601740	Needlestick store	319
ZINC	Zinc	319
MRI Pelvis SIJ Both	MRI Pelvis SIJ Both	318
HS	Hepatitis screen	318
Gamma GT	Gamma GT	316
ELAST	Faecal Elastase	316
600100	Serratia Screening	316
187200	Streptococcal sero	315
ADAL	Adalimumab (serum)	315
1LAH	AFP HCG LDH	315
CULT	Not tested	314
F5LPGV	F5L AND PGV	313
XCALR	XR Calcaneus Rt	313
US Soft tissue	US Soft tissue	311
CT Pancreas with contrast	CT Pancreas with contrast	311
6185	32 upper lft lg frnt	311
6665	Lyme disease sero	311
PANCR	B-islet Ab (serum)	310
UASPNN	US Guided aspiration	310
US Doppler upper limb veins Lt	US Doppler upper limb veins Lt	309
G4	IgG4 subclass (serum)	309
HELG	Helicobacter Antigen	308
CT Aorta whole with contrast	CT Aorta whole with contrast	307
XFILR	XR Finger Little Rt	307
CT Neck and thorax with contrast	CT Neck and thorax with contrast	306
Mobile image intensifier lower limb Rt	Mobile image intensifier lower limb Rt	305
US Guided core biopsy breast Lt	US Guided core biopsy breast Lt	305
1RCOV	Rapid Covid PCR	305
DAU1	Screen:Drugs ofAbuse	304
US Groin and Inguinal Region	US Groin and Inguinal Region	303
Electrophoresis	Electrophoresis	302
Barium meal and follow through	Barium meal and follow through	302
COCKR	Cockroach (serum)	302
Coagulation profile	Coagulation profile	302
Mobile image intensifier lower limb Lt	Mobile image intensifier lower limb Lt	301
C	Transfusion comment	301
CT Internal auditory meatus Both	CT Internal auditory meatus Both	300
CT Liver triple phase	CT Liver triple phase	299
ADEQ	DIALYSIS ADEQUACY URINE	299
FIT	Faecal Immunochemical Testing	298
CBIOPB	CT Guided biopsy	298
ALDO1	Aldosterone/Renin	298
187565	Post Mortem Sample	298
MRI Hip Lt	MRI Hip Lt	298
6668	Mumps Immunity IgG	298
CSKUHC	CT Head with contrast	297
TG	ABO&Rh Group	296
MMPMP	MRI Multiparametric prostate	295
IMMUNOGLOBULIN PROFILE	IMMUNOGLOBULIN PROFILE	295
MY	Mycology via NPEx	294
Cardiac ablation	Cardiac ablation	294
MGEN	Medical Genetics	291
ETCG	ABO Confirmed group	288
US Guided aspiration breast Rt	US Guided aspiration breast Rt	288
Report	Report	287
FLC	Free light chains	287
1LIPI	Lipids	286
Rejected haem sample	Rejected haem sample	286
UAUTB	US Doppler uterine artery Both	286
XR Dental oblique lateral Rt	XR Dental oblique lateral Rt	286
XFILL	XR Finger Little Lt	285
MTX	Methotrexate	285
CERULO	CAERULOPLASMIN	285
6173	25 left hand palmar	284
HBSAB1	Hep B Surf Antibody	283
NM Bile study day 1 (SeHCAT)	NM Bile study day 1 (SeHCAT)	283
Tunnelled dialysis catheter placement	Tunnelled dialysis catheter placement	283
187711	HCV Genotype	282
FRUC	FRUCTOSAMINE	282
XFIML	XR Finger Middle Lt	281
XANKB	XR Ankle Both	281
XR Dental oblique lateral Lt	XR Dental oblique lateral Lt	280
PT	PHENYTOIN	280
NM Bile study day 7 (SeHCAT)	NM Bile study day 7 (SeHCAT)	279
CLUNGB	CT Guided biopsy lung	279
Fluoroscopy abdomen	Fluoroscopy abdomen	278
1DBIL	Direct Bilirubin	278
MPELVC	MRI Pelvis with contrast	278
nt-pro BNP	nt-pro BNP	278
XR Foreign body demonstration	XR Foreign body demonstration	278
US Graft Surveillance	US Graft Surveillance	275
Positron emission tomography with CT	Positron emission tomography with CT	275
ERESP	Endoscopy of respiratory system	275
6171	23 right hand palmar	275
CT Cone beam mandible	CT Cone beam mandible	274
CLACT	CSF LACTATE	273
NM Renogram	NM Renogram	273
G6SC	G6PD Screen	272
MR UNDER GA	MR UNDER GA	272
JAK2	JAK2 Investigation	272
1FT3	Free T3	271
US Guided core biopsy breast Rt	US Guided core biopsy breast Rt	270
UNAK	Urine electrolytes	269
US Salivary Glands submandibular	US Salivary Glands submandibular	267
187860	36C SAB Plate (Yeast)	267
CT Venogram Intracranial	CT Venogram Intracranial	266
187325	CSF - Other	265
USOTI	US Soft tissue	265
XFIMR	XR Finger Middle Rt	265
UKNER	US Knee Rt	264
REF	Hepatitis E PCR	264
MPERI	MRI Perineum	264
2CSA	Cyclosporin	263
UINJTJ	US Guided injection	263
XR Sacroiliac Joint Both	XR Sacroiliac Joint Both	263
XR Pathological Specimen	XR Pathological Specimen	262
UGRNR	US Groin Rt	262
UKNEL	US Knee Lt	262
INSULI	Insulin Profile	262
OED	Serum Oestradiol	261
186920	Umbilical swab	260
XWRIB	XR Wrist Both	260
MANKR	MRI Ankle Rt	260
MIXTR	MIXED TREE IgE Ab	259
HFE	HFE gene studies	259
IGF1B	IGF-1 MRI	258
186945	CAPD fluid	258
UREA	UREA	258
CT Mastoid Both	CT Mastoid Both	257
601620	Galactomannan Sero	257
MRI Spine lumbar	MRI Spine lumbar	257
ALPS	FLUID LIPASE	256
ARAH2	rAra h 2 (serum)	256
XFIRL	XR Finger Ring Lt	255
FABDO	Fluoroscopy abdomen	255
MRI Renal with contrast Both	MRI Renal with contrast Both	255
NMREN	NM Renogram	254
FCM	Not tested	254
Orthopaedic pinning hip Lt	Orthopaedic pinning hip Lt	254
CT Ankle Rt	CT Ankle Rt	254
Mobile image intensifier upper limb Lt	Mobile image intensifier upper limb Lt	253
PT	PT	253
1TEST	Testosterone.....	253
CRTPOR	CT Radiotherapy planning scan prostate	252
CT Ankle Lt	CT Ankle Lt	251
INB	Inn baby gp/DAT	251
INFABS	Inflectra antibodies (serum)	251
ULVMB	US Doppler vein map lower limb Both	251
F9	Factor IX	250
ANCA	ANCA (serum)	250
6612	CMV Immunity screen	249
Lactate	Lactate	249
XR Dental bitewing Left	XR Dental bitewing Left	249
Virology(2)	Virology(2)	248
XFIIR	XR Finger Index Rt	248
US Guided fine needle aspiration	US Guided fine needle aspiration	248
Tunnelled central venous line insertion	Tunnelled central venous line insertion	248
XDPD	DPD-5FU req	248
FIT	FIT	248
F11	Factor XI	247
EP	Electrophoresis	247
MABDO	MRI Abdomen	247
CPELV	CT Pelvis	245
Bioplex CTD Screen	Bioplex CTD Screen	245
DSYCO	SYNACTHEN STIMULATION	245
US Thorax and Pleural Cavity	US Thorax and Pleural Cavity	245
XR Skeletal survey	XR Skeletal survey	244
NC	Virology MisMatch	244
1LIP	Lipase...........	243
NAK	NA K	243
MRI Liver with hepatobiliary contrast	MRI Liver with hepatobiliary contrast	242
ASPARTATE TRANSAMINASE	ASPARTATE TRANSAMINASE	241
TT	Thrombin Time.	241
UFOOR	US Foot Rt	240
Androgens(in female)	Androgens(in female)	240
PLFL	Pleural Fluid	240
HAG	Hepatitis A IgG	240
INEPXG	Nephrostomy catheter exchange	239
Orthopaedic pinning hip Rt	Orthopaedic pinning hip Rt	238
Fluoroscopy upper limb Lt	Fluoroscopy upper limb Lt	238
CHSYNC	Synacthen test CORT ONLY	238
UDRAID	US Guided drainage	237
HIV	HIV tests	237
OSMU	Osmolality (Urine)	237
CT Hip Rt	CT Hip Rt	237
XR Dental bitewing Right	XR Dental bitewing Right	236
UGRNL	US Groin Lt	235
IPF	Immature platelet fraction	235
MANKL	MRI Ankle Lt	234
NT ProBNP	NT ProBNP	234
CRYOG	Cryoglobulin (serum)	234
ZEFOBR3	BRONCH WITH BAL	234
XFIRR	XR Finger Ring Rt	234
Routine Faeces	Routine Faeces	234
UMAMRI	US Guided marker insertion breast Rt	233
CKITB	CT Kidney triple phase Both	233
FLSPNM	Mobile image intensifier lumbar spine	233
HAM	Hepatitis A IgM	233
ANCAX	Neut Cytoplasmic Abs	232
CT Hip Lt	CT Hip Lt	232
CAER2	Caeruloplasmin CMFT	232
UFOOL	US Foot Lt	231
UAXILB	US Guided core biopsy axilla Lt	231
XCEP	XR Cephalogram	231
UAXIRB	US Guided core biopsy axilla Rt	230
ARAH8	rAra h 8 (serum)	230
UMAMLI	US Guided marker insertion breast Lt	229
XFIIL	XR Finger Index Lt	229
MRI Wrist Rt	MRI Wrist Rt	228
GAMMA-GLUTAMYLTRANSPEPTIDASE	GAMMA-GLUTAMYLTRANSPEPTIDASE	227
THCG1	Total HCG	227
PROSTATE SPECIFIC ANTIGEN	PROSTATE SPECIFIC ANTIGEN	226
ITRA	Itraconazole	226
CSWT	Children's Sweat Test	226
6203	8 LEFT CHEST	226
Fluoroscopy lumbar spine	Fluoroscopy lumbar spine	225
IXM	INNOVA XM	225
XMACLB	XR Mammo guided core biopsy breast Lt	225
US Guided Amniocentesis	US Guided Amniocentesis	225
XFBD	XR Foreign body demonstration	224
WALNT	WALNUT IgE Ab	223
Triple Test	Triple Test	223
FPROL	Free monomeric prolactin	223
Mobile image intensifier upper limb Rt	Mobile image intensifier upper limb Rt	222
Prolactin	Prolactin	222
IMMU	Serum Immunofixation	222
PIIINP	Type III Procollagen N Peptide	221
US Guided aspiration thyroid	US Guided aspiration thyroid	221
F7	Factor VII	221
COVID Antibody staff	COVID Antibody staff	221
6162	19 lower rgt arm fnt	220
186766	GRX1 - Genital Swab	220
US Foot Lt	US Foot Lt	219
UAXIB	US Axilla Both	219
Heparin Control	Heparin Control	218
XDPF	XR Dental periapical full	217
ZEFOBR4	AUTOFLUORESCENCE BRONCH	216
BCR	BCR-ABL	216
CT Cone beam maxilla	CT Cone beam maxilla	216
CLSPN	CT Spine lumbar	216
TRICOP	Trichophyton IgE	215
Ureteric stent retrograde Lt	Ureteric stent retrograde Lt	214
CHIPR	CT Hip Rt	214
MAAOT	MRA Aorta Thoracic	214
KL	Kleihauer	214
ARAH1	rAra h 1 (serum)	213
UHIPR	US Hip Rt	213
ARAH3	rAra h 3 (serum)	212
SAWAY	Sent to another lab	211
XR AP pelvis for hip surveillance	XR AP pelvis for hip surveillance	211
Intravascular ultrasound	Intravascular ultrasound	210
Free Light Chains.	Free Light Chains.	210
ZNSEB1	NM Bile study day 1 (SeHCAT)	210
CT Spine thoracic	CT Spine thoracic	209
CAOWHC	CT Aorta whole with contrast	209
UWRIR	US Wrist Rt	209
601850	Trichomonas Vaginali	208
1E2	Oestradiol	208
2FLC	Free light chains	208
MAICA	MRA Head	207
ZNSEB7	NM Bile study day 7 (SeHCAT)	207
187410	BC - Hickman Line	207
CFACE	CT Facial bones	206
ARAH9	rAra h 9 (serum)	206
USGPA	US Salivary Glands parotid	206
1IRON	Iron studies	205
INFLEC	Inflectra (serum)	205
IGET	IgE (total)	204
CRTMAR	CT Radiotherapy planning scan breast	204
US Obstetric Dating Scan Viability	US Obstetric Dating Scan Viability	204
US Foot Rt	US Foot Rt	204
TBCM	TB CULTURE	204
RELEC2	urine Na/K-mmol/l	203
CRE	Creatinine	203
LACSA	Lactate	202
UCCCR	Ur Calcium:creat clear ratio	202
UDIAR	US Doppler iliac and femoral artery Rt	201
PBNP	BNP	201
CGLU	CSF Glucose	200
CT Guided biopsy lung	CT Guided biopsy lung	200
FIT	Faecal Immuno Test	200
DBIL	Direct Bilirubin	199
XDPA	XR Dental periapical 5	199
XMACRB	XR Mammo guided core biopsy breast Rt	198
6174	26 left hand dorsum	198
Fluoroscopy upper limb Rt	Fluoroscopy upper limb Rt	197
600075	PD Fluid	197
UCRAN	US Cranial contents	197
US Doppler uterine artery Both	US Doppler uterine artery Both	196
601710	Mycoplasma Serology	196
MRI Liver and Spleen	MRI Liver and Spleen	196
Nephrostomy Rt	Nephrostomy Rt	195
A1AT1	Alpha-1-antitrypsin	195
Serum Ferritin Assay	Serum Ferritin Assay	195
RF	Rheum Factor	194
UDIAL	US Doppler iliac and femoral artery Lt	194
XFANKR	XR Foot and ankle Right	194
UVOL	URINE VOLUME	193
CD34P	CD34 Profile	193
MYO	Myositis screen	192
MPITF	MRI Pituitary	192
PT5	Prothrombin Time Pat/Norm	192
XR Dental mandibular occlusal	XR Dental mandibular occlusal	192
US Guided Biopsy Liver	US Guided Biopsy Liver	192
UHIPL	US Hip Lt	191
CCL	CREATININE CLEARANCE	191
HAPTO	Haptoglobin	190
UKNELJ	US Guided injection knee Lt	190
UHIPRJ	US Guided injection hip Rt	190
UKNERJ	US Guided injection knee Rt	190
Gastrostomy Insertion	Gastrostomy Insertion	189
6212	Cough Swab	189
FK506/Tacrolimus	FK506/Tacrolimus	189
CALCUL	CALCULUS:	188
ASFL	Ascitic Fluid	188
2TNI	Troponin I	188
