Q43z.00	Perinatal jaundice NOS
Q406812	Neonatal conjunctivitis due to other inclusion body
L41z613	Puerperal thrombosis NOS
L352200	Obstetric inversion of uterus with postnatal problem
Q452.00	Newborn disseminated intravascular coagulation
Q46y.00	Other perinatal digestive system disorders
Qyu3000	[X]Other respiratory distress of newborn
QyuA000	[X]Oth specified disturbances of cerebral status of newborn
L450100	Obstetric nipple infection - delivered
Qyu5500	[X]Other haemolytic diseases of fetus and newborn
Qyu1000	[X]Other low birth weight
Qyu6000	[X]Other neonatal hypoglycaemia
L240400	Cong abnorm uterus complic p/n care - baby previously deliv
QyuA200	[X]Other disorders of muscle tone of newborn
L120400	Benign essential hypertension in preg/childb/puerp +p/n comp
L402000	Puerperal peritonitis unspecified
Q115.00	Extremely low birth weight infant
Lyu7500	[X]Obstetric death of unspecified cause
Qyu3800	[X]Other apnoea of newborn
Q406400	Neonatal dacryocystitis/conjunctivitis due to staphylococcus
Qyu3600	[X]Other chronic resp diseases originating/perinatal period
Q46yz00	Other perinatal digestive system disorder NOS
Q474z00	Newborn temperature regulation disorder NOS
L12z200	Unspecified hypertension in preg/childb/puerp -del +p/n comp
Q431500	Perinatal jaundice from bleeding
Q406312	Neonatal conjunctivitis due to E.coli
L39z400	Complications of labour and delivery NOS with p/n problem
Q44T.00	Transitory metabolic disturbance of newborn, unspecified
64e..00	Infant feeding at birth
Q444011	Neonatal cows' milk hypocalcaemia
L127200	Pre-eclampsia or eclampsia with hypertension - del+p/n comp
Q416.00	Perinatal cutaneous haemorrhage
L440300	Puerperal cerebrovascular disorder with antenatal comp
Q406z00	Neonatal dacryocystitis or conjunctivitis NOS
Q20yz14	Laryngeal injury due to birth trauma
Q313000	Perinatal lung alveolar haemorrhage
Q434.00	Perinatal jaundice due to hepatocellular damage
Q433y11	Neonatal jaundice - deficiency enzyme for bilirubin conjug.
Q446z00	Transitory neonatal electrolyte disturbance NOS
Q41y400	Neonatal rectal haemorrhage
Q40X.00	Congenital viral disease, unspecified
L443200	Other complication obstetric surgical wound with p/n comp
Q311200	Aspiration of blood in newborn
Q313z00	Perinatal pulmonary haemorrhage NOS
Q317y00	Other specified perinatal chronic respiratory disease
Q115000	Birth weight 999 g or less
Q215.11	White asphyxia
Qyu8400	[X]Hypothermia of newborn, unspecified
Q41y011	Perinatal nose haemorrhage
Q203112	Birth fracture of ulna
Qyu4200	[X]Other bacterial sepsis of newborn
PE31013	Predislocation status of hip at birth
9NV0.00	Postnatal clinic
Q310600	Congenital pneumonia due to Chlamydia
L413100	Antenatal deep vein thrombosis - delivered
L16y400	Other pregnancy complication with postnatal complication
Q457z00	Transient neonatal neutropenia NOS
Q433500	Neonatal jaundice with Dubin-Johnson syndrome
Q207z00	Cranial or peripheral nerve palsy due to birth trauma NOS
L415600	Other phlebitis in the puerperium
Qyu3A00	[X]Oth cardiovascular disorders originating/perinatal period
L41z600	Venous complication in the puerperium, unspecified
Q407511	Neonatal monilial septicaemia
L411600	Genital varices in the puerperium
13G3100	Midwife attends 11 - 13 days post discharge
Qyu8000	[X]Other hypothermia of newborn
Q446600	Disturbances of potassium balance of newborn
L393100	Post-delivery acute renal failure - delivered with p/n prob
67AD.11	Neonatal feeding advice
L394200	Other complications of obstetric procedures - del +p/n prob
Q408600	Pseudomonas pyocyaneus congenital infection
L360100	Third-stage postpartum haemorrhage - deliv with p/n problem
L180400	Diabetes mellitus in pueperium - baby previously delivered
L401200	Puerperal salpingitis with postnatal complication
L461200	Cracked nipple in pregnancy/puerp/lact - deliv + p/n comp
L43z100	Obstetric pulmonary embolism NOS - delivered
Q30..12	Pulmonary hypoperfusion syndrome of newborn
L440100	Puerperal cerebrovascular disorder - delivered
L403000	Puerperal septicaemia unspecified
Q451z00	Transient neonatal thrombocytopenia NOS
Q406614	Ophthalmia neonatorum - viral
Q310000	Congenital pneumonia due to staphylococcus
Q406612	Neonatal dacryocystitis due to virus
L360200	Third-stage postpartum haemorrhage with postnatal problem
L120200	Benign ess hypert in preg/childb/puerp - deliv with p/n comp
Qyu3900	[X]Other specified respiratory conditions of newborn
L46y100	Other disorder of lactation - delivered
QyuA.00	[X]Other disorders originating in the perinatal period
Q431300	Perinatal jaundice from polycythaemia
Q310400	Congenital pneumonia due to pseudomonas
L165200	Asymptomatic bacteriuria in pregnancy - del with p/n comp
Q311113	Aspiration of amniotic fluid in newborn
Qyu4800	[X]Sepsis of newborn due to other+unspecified streptococci
Q20X.00	Birth injury to central nervous system, unspecified
Qyu3500	[X]Oth pulmonary haemorrhages originating/perinatal period
Qyu4100	[X]Sepsis/newborn due to other+unspecified staphylococcus
P320011	Newborn glaucoma
L188200	Abnormal GTT in puerperium - baby delivered
ZV29300	[V]Level 2 intensive care (high dep int care) admin neonate
Qyu6C00	[X]Transitory metabolic disturbance of newborn, unspecified
L166400	Genitourinary tract infection in pregnancy with p/n comp
ZV24z00	[V]Unspecified postpartum care and examination
L410600	Varicose veins of legs in the puerperium
Q40y012	Congenital septicaemia
Q446500	Disturbances of sodium balance of newborn
Q313100	Perinatal lung intra-alveolar haemorrhage
L345200	Vulval and perineal haematoma during delivery + p/n problem
L412611	Thombophlebitis of legs in the puerperium
Q482.00	Central nervous system dysfunction in newborn NOS
QyuA400	[X]Disorder of muscle tone of newborn, unspecified
Q20y700	Traumatic glaucoma due to birth trauma
Q446y00	Other specified transitory neonatal electrolyte disturbance
Qyu7200	[X]Other specified perinatal digestive system disorders
L16A200	Glycosuria during pregnancy - delivered with p/n comp
Q20yz16	Trunk injury NEC due to birth trauma
Q315.00	Other and unspecified perinatal atelectasis
L168400	Fatigue during pregnancy with postnatal complication
L35z400	Obstetric trauma NOS with postnatal problem
L169400	Herpes gestationis with postnatal complication
62R..12	New birth visit
Q204z00	Spine or spinal cord injury due to birth trauma NOS
62R..11	Postnatal visit
L241200	Tumour of uterine body - baby delivered + p/n complication
L184400	Mental disorder in puerperium - baby previously delivered
67AD.00	Neonatal feeding education
ZV29011	[V] Normal care administered to neonates
L244200	Other uterine/pelvic floor abn - delivered+postpartum compl
Q204000	Spine dislocation due to birth trauma
Q20y800	Subconjunctival haemorrhage due to birth trauma
L45y100	Other obstetric breast infection - delivered
9Oq9.00	Newborn hearing screening programme outcome
8Hl8.00	Referral to breast feeding peer support service
9NFS.00	Health visitor new birth visit
Q315000	Perinatal atelectasis, unspecified
Q201z00	Scalp injury due to birth trauma, NOS
L362100	Secondary postpartum haemorrhage - deliv with postnatal prob
Q461.00	Inspissated milk causing intestinal obstruction
L370100	Retained placenta with no haemorrhage - deliv with p/n prob
Q207.00	Other cranial or peripheral nerve palsy due to birth trauma
Q430z00	Perinatal jaundice from hereditary haemolytic anaemia NOS
L184200	Mental disorder in the puerperium - baby delivered
Q466111	Intestinal obstruction in newborn due to faecoliths
Qyu3B00	[X]Cardiovasc disord origin in the perinat period, unspecif
ZV29400	[V] Level 1 int care (max intensive care) admin neonate
L361200	Other immediate postpartum haemorrhage with postnatal prob
Q31y400	Perinatal acrocyanosis
9G7..00	Notification of birth
Q204100	Spine fracture due to birth trauma
2L...00	Neonatal examination
64D8.00	Child 6 to 8 week examination
Q434100	Giant cell hepatitis causing neonatal jaundice
Q48F.00	Hypoxic ischaemic encephalopathy of newborn
9F56.00	BAAF B2-neonatal report sent
Q201300	Massive epicranial subaponeurotic haemorrhage-birth trauma
G520000	Acute aseptic myocarditis of the newborn
L463100	Other breast disorder in pregnancy/puerperium/lact - deliv
Q453.00	Other newborn transient coagulation defect
44qW000	Newborn blood spot screening
Qyu3300	[X]Other neonatal aspiration syndromes
9b9X.00	Neonatology
Qyu3700	[X]Other and unspecified atelectasis of newborn
L361100	Other immediate postpartum haemorrhage - deliv with p/n prob
Q413y00	Other specified umbilical haemorrhage after birth
L241411	Uterine fibroid complicating p/n care - baby delivered prev
Lyu6.00	[X]Complications predominantly related to the puerperium
Qyu4300	[X]Other congenital malaria
L127400	Pre-eclampsia or eclampsia with hypertension + p/n comp
Q48F.11	Perinatal hypoxic - ischaemic encephalopathy
Qyu4400	[X]Other specified congenital infectious+parasitic diseases
Q40V.00	Congenital infectious and parasitic disease, unspecified
Q315100	Perinatal partial atelectasis
L370200	Retained placenta with no haemorrhage with postnatal problem
Q44A.00	Neonatal hypoparathyroidism
L411613	Vulval varices in the puerperium
Q431200	Perinatal jaundice from infection
Qyu2500	[X]Other specified birth injuries
L18z200	Medical condition NOS in puerperium - baby delivered
L34z200	Vulval/perineal trauma during delivery NOS with p/n problem
9OqC.00	Newborn blood spot screening status
Q451100	Trans neonatal thrombocyto due to idopath matern thrombocyto
L465100	Suppressed lactation - delivered
L181200	Thyroid dysfunction in puerperium - baby delivered
8IEw.00	Postnatal examination declined
Q409z00	Congenital viral hepatitis NOS
Q416z00	Perinatal cutaneous haemorrhage NOS
L415100	Other phlebitis/thrombosis in pregnancy/puerperium - deliv
9mL..00	Postnatal examination invitation
Q47z.00	Perinatal skin or temperature regulation disorder NOS
Q484z00	Newborn drug reaction or intoxication NOS
L248412	Rigid perineum complicating p/n care - baby delivered prev
Q20y100	Liver subcapsular haematoma due to birth trauma
Qyu7.00	[X]Digestive system disorders of fetus and newborn
L121200	Renal hypertension in preg/childb/puerp -deliv with p/n comp
L12z400	Unspecified hypertension in preg/childb/puerp with p/n comp
Qyu5100	[X]Other umbilical haemorrhages of newborn
L402100	Puerperal peritonitis - delivered with postnatal comp
L416400	Haemorrhoids in pregnancy and puerperium with p/n comp
L403100	Puerperal septicaemia - delivered with postnatal comp
Qyu5300	[X]Other neonatal gastrointestinal haemorrhage
9mL2.00	Postnatal examination first invitation
9mL1.00	Postnatal examination second invitation
Q444100	Other neonatal hypocalcaemia
Qyu6200	[X]Other neonatal hypocalcaemia
Q40A200	Sepsis of newborn due to anaerobes
Q44y.00	Other transitory neonatal endocrine and metabolic problem
9Oq9B00	Newborn hearing screening programme contraindicated
QyuA100	[X]Other feeding problems of newborn
9Oq9600	NHSP incomplete as lack of service capacity
Q32..00	Neonatal respiratory distress syndrome
L441100	Caesarean wound disruption - delivered with p/n complication
Q312z00	Perinatal interstitial emphysema or related condition NOS
Q416000	Perinatal cutaneous haemorrhage, unspecified
L392400	Maternal hypotension syndrome with postnatal problem
Q431400	Perinatal jaundice from swallowed maternal blood
Qyu2100	[X]Other specified brain damage due to birth injury
Qyu1200	[X]Other 'heavy for gestational age' infants
9OqC900	CHT repeat screening with further sample required
9OqC100	MCADD repeat screening with further sample required
9OqC600	Phenylketonuria repeat screening with further sample require
L44z100	Complications of the puerperium NOS - delivered + p/n comp
Lyu6500	[X]Oth complicatn/spinal+epidural anaesthes during puerperum
Qyu6.00	[X]Transitory endocr & metab disord specif to fetus/newborn
L466400	Galactorrhoea in pregnancy/puerperium with p/n complication
Qyu5D00	[X]Other transient neonatal disorders of coagulation
L170400	Maternal syphilis in puerperium - baby previously delivered
L171200	Maternal gonorrhoea in puerperium - baby delivered
L171400	Maternal gonorrhoea in puerperium- baby previously delivered
L172200	Other maternal venereal disease in puerperium-baby delivered
L172400	Other mat. venereal dis. in puerperium-baby previously deliv
Q406711	Neonatal dacryocystitis due to chlamydiae
Q409y00	Other specified congenital viral hepatitis
Qyu7300	[X]Intestinal obstruction of newborn, unspecified
9OqJ100	NIPE hip exam done no abnormality and no risk factor
Qyu2000	[X]Oth intracranial laceratns+haemorrhages due/birth injury
9OqCB00	CHT not screened for or screening incomplete
L451200	Obstetric breast abscess - deliv with postnatal complication
L414100	Postnatal deep vein thrombosis - delivered with p/n comp
Q444000	Neonatal phosphate-loading hypocalcaemia
Q207012	Birth paralysis of phrenic nerve
QyuA300	[X]Other specified conditions originat in perinatal period
L440z00	Puerperal cerebrovascular disorder NOS
L355200	Other obstetric pelvic organ damage with postnatal problem
Q445.11	Hypomagnesaemic tetany in newborn
Q454100	Polycythaemia due to maternal fetal transfusion
Q413000	Umbilical haemorrhage after birth, unspecified
615H.	Breast feeding problem
615H.00	Breast feeding problem
62PC.	Breast feeding problem
62PC.00	Breast feeding problem
62S1.	Maternal P/N exam. not offered
62S1.00	Maternal P/N exam. not offered
62S3.	Maternal P/N exam. refused
62S3.00	Maternal P/N exam. refused
62T1.	Puerperal depression
62T1.00	Puerperal depression
635..13	Premature baby
6886.	Other hemoglobinopathy screen
6886.00	Other hemoglobinopathy screen
7F22.	Other operations on delivered uterus
7F22.00	Other operations on delivered uterus
7F22y	Other specified other operation on delivered uterus
7F22y00	Other specified other operation on delivered uterus
7F22z	Other operation on delivered uterus NOS
7F22z00	Other operation on delivered uterus NOS
E204.11	Postnatal depression
Eu53y	[X]Other mental and behavioural disorders associated with the puerperium, not elsewhere classified
Eu53y00	[X]Other mental and behavioural disorders associated with the puerperium, not elsewhere classified
K55y.	Other noninflammatory cervical disorders
K55y.00	Other noninflammatory cervical disorders
K55yz	Other noninflammatory cervical disorder NOS
K55yz00	Other noninflammatory cervical disorder NOS
Kyu99	[X]Other specified noninflammatory disorders of cervix uteri
Kyu9900	[X]Other specified noninflammatory disorders of cervix uteri
L....	Complications of pregnancy, childbirth and the puerperium
L....00	Complications of pregnancy, childbirth and the puerperium
L090y	Sepsis NOS following abortion and ectopic and molar pregnancy
L090y00	Sepsis NOS following abortion and ectopic and molar pregnancy
L09z.	Complication NOS following abortion and ectopic and molar pregnancy
L09z.00	Complication NOS following abortion and ectopic and molar pregnancy
L1...	Pregnancy complications
L1...00	Pregnancy complications
L124.00	Mild or unspecified pre-eclampsia
L1240	Mild or unspecified pre-eclampsia unspecified
L124000	Mild or unspecified pre-eclampsia unspecified
L1243	Mild or unspecified pre-eclampsia - not delivered
L124300	Mild or unspecified pre-eclampsia - not delivered
L1246	Pre-eclampsia, unspecified
L124600	Pre-eclampsia, unspecified
L124z	Mild or unspecified pre-eclampsia NOS
L124z00	Mild or unspecified pre-eclampsia NOS
L12B.	Proteinuric hypertension of pregnancy
L12B.00	Proteinuric hypertension of pregnancy
L16..	Other pregnancy complication NEC
L16..00	Other pregnancy complication NEC
L162.00	Unspecified renal disease in pregnancy
L162.12	Nephropathy NOS in pregnancy without hypertension
L1620	Unspecified renal disease in pregnancy unspecified
L162000	Unspecified renal disease in pregnancy unspecified
L1621	Unspecified renal disease in pregnancy - delivered
L162100	Unspecified renal disease in pregnancy - delivered
L1622	Unspecified renal disease in pregnancy - delivered with postnatal complication
L162200	Unspecified renal disease in pregnancy - delivered with postnatal complication
L1623	Unspecified renal disease in pregnancy - not delivered
L162300	Unspecified renal disease in pregnancy - not delivered
L1624	Unspecified renal disease in pregnancy with postnatal complication
L162400	Unspecified renal disease in pregnancy with postnatal complication
L162z	Unspecified renal disease in pregnancy NOS
L162z00	Unspecified renal disease in pregnancy NOS
L1661	Genitourinary tract infection in pregnancy - delivered
L166100	Genitourinary tract infection in pregnancy - delivered
L16y.	Other pregnancy complications
L16y.00	Other pregnancy complications
L16y0	Other pregnancy complication unspecified
L16y000	Other pregnancy complication unspecified
L16y1	Other pregnancy complication - delivered
L16y100	Other pregnancy complication - delivered
L16y3	Other pregnancy complication - not delivered
L16y300	Other pregnancy complication - not delivered
L16yz	Other pregnancy complication NOS
L16yz00	Other pregnancy complication NOS
L16z.	Pregnancy complication NOS
L16z.00	Pregnancy complication NOS
L17..	Infective/parasitic disease in preg/childbirth/puerperium
L17..00	Infective/parasitic disease in preg/childbirth/puerperium
L172.	Other maternal venereal diseases during pregnancy, childbirth and the puerperium
L172.00	Other maternal venereal diseases during pregnancy, childbirth and the puerperium
L1720	Other maternal venereal disease, unspecified whether during pregnancy or the puerperium
L172000	Other maternal venereal disease, unspecified whether during pregnancy or the puerperium
L1721	Other maternal venereal disease in pregnancy - baby delivered
L172100	Other maternal venereal disease in pregnancy - baby delivered
L1723	Other maternal venereal disease during pregnancy - baby not yet delivered
L172300	Other maternal venereal disease during pregnancy - baby not yet delivered
L176.	Other maternal viral disease during pregnancy, childbirth and the puerperium
L176.00	Other maternal viral disease during pregnancy, childbirth and the puerperium
L1760	Other maternal viral disease, unspecified whether during pregnancy or the puerperium
L176000	Other maternal viral disease, unspecified whether during pregnancy or the puerperium
L176z	Other maternal viral disease during pregnancy, childbirth or the puerperium NOS
L176z00	Other maternal viral disease during pregnancy, childbirth or the puerperium NOS
L179.	Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium
L179.00	Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium
L17y.	Other maternal infective or parasitic disease during pregnancy, childbirth and the puerperium
L17y.00	Other maternal infective or parasitic disease during pregnancy, childbirth and the puerperium
L17y0	Other maternal infective or parasitic disease, unspecified whether during pregnancy or the puerperium
L17y000	Other maternal infective or parasitic disease, unspecified whether during pregnancy or the puerperium
L17y1	Other maternal infective or parasitic disese during pregnancy - baby delivered
L17y100	Other maternal infective or parasitic disese during pregnancy - baby delivered
L17y3	Other maternal infective or parasitic disease during pregnancy - baby not yet delivered
L17y300	Other maternal infective or parasitic disease during pregnancy - baby not yet delivered
L17y4	Other maternal infective or parasitic disease in the puerperium - baby delivered during previous episode of care
L17y400	Other maternal infective or parasitic disease in the puerperium - baby delivered during previous episode of care
L17yz	Other maternal infective or parasitic disease during pregnancy, childbirth or the puerperium NOS
L17yz00	Other maternal infective or parasitic disease during pregnancy, childbirth or the puerperium NOS
L17z.	Maternal infective or parasitic disease NOS in pregnancy, childbirth and the puerperium
L17z.00	Maternal infective or parasitic disease NOS in pregnancy, childbirth and the puerperium
L17z0	Maternal infective or parasitic disease NOS, unspecified whether during pregnancy or the puerperium
L17z000	Maternal infective or parasitic disease NOS, unspecified whether during pregnancy or the puerperium
L17z1	Maternal infective or parasitic disease NOS, during pregnancy - baby delivered
L17z100	Maternal infective or parasitic disease NOS, during pregnancy - baby delivered
L17z2	Maternal infective or parasitic disease NOS, in the puerperium - baby delivered during current episode of care
L17z200	Maternal infective or parasitic disease NOS, in the puerperium - baby delivered during current episode of care
L17z3	Maternal infective or parasitic disease NOS, during pregnancy - baby not yet delivered
L17z300	Maternal infective or parasitic disease NOS, during pregnancy - baby not yet delivered
L17z4	Maternal infective or parasitic disease NOS, in the puerpium - baby delivered during previous episode of care
L17z400	Maternal infective or parasitic disease NOS, in the puerpium - baby delivered during previous episode of care
L17zz	Maternal infective or parasitic disease NOS, during pregnancy, childbirth or the puerperium NOS
L17zz00	Maternal infective or parasitic disease NOS, during pregnancy, childbirth or the puerperium NOS
L18..	Other medical condition during pregnancy, childbirth and the puerperium
L18..00	Other medical condition during pregnancy, childbirth and the puerperium
L18z.	Medical condition NOS during pregnancy, childbirth and the puerperium
L18z.00	Medical condition NOS during pregnancy, childbirth and the puerperium
L18z0	Medical condition NOS, unspecified whether during pregnancy or the puerperium
L18z000	Medical condition NOS, unspecified whether during pregnancy or the puerperium
L18z1	Medical condition NOS during pregnancy - baby delivered
L18z100	Medical condition NOS during pregnancy - baby delivered
L18z3	Medical condition NOS, during pregnancy - baby not yet delivered
L18z300	Medical condition NOS, during pregnancy - baby not yet delivered
L18z4	Medical condition NOS, in the puerperium - baby delivered during previous episode of care
L18z400	Medical condition NOS, in the puerperium - baby delivered during previous episode of care
L18zz	Medical condition NOS, during pregnancy, childbirth or the puerperium NOS
L18zz00	Medical condition NOS, during pregnancy, childbirth or the puerperium NOS
L1y..	Other specified complications of pregnancy, childbirth or the puerperium
L1y..00	Other specified complications of pregnancy, childbirth or the puerperium
L1z..	Complications of pregnancy, childbirth and the puerperium NOS
L1z..00	Complications of pregnancy, childbirth and the puerperium NOS
L244.00	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
L244000	Other uterine or pelvic floor abnormality affecting obstetric care
L244300	Other uterine or pelvic floor abnormality - baby not yet delivered
L246.00	Other cervical abnormality in pregnancy, childbirth and the puerperium
L2460	Other cervical abnormality affecting obstetric care
L246000	Other cervical abnormality affecting obstetric care
L2461	Other cervical abnormality - baby delivered
L246100	Other cervical abnormality - baby delivered
L246300	Other cervical abnormality complicating antenatal care - baby not yet delivered
L246z00	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
L2503	Maternal care for suspected central nervous system malformation in fetus
L250300	Maternal care for suspected central nervous system malformation in fetus
L2504	Maternal care for central nervous system malformation in fetus
L250400	Maternal care for central nervous system malformation in fetus
L2513	Maternal care for suspected chromosomal abnormality in fetus
L251300	Maternal care for suspected chromosomal abnormality in fetus
L2514	Maternal care for chromosomal abnormality in fetus
L251400	Maternal care for chromosomal abnormality in fetus
L2533	Maternal care for damage to fetus from maternal rubella
L253300	Maternal care for damage to fetus from maternal rubella
L2553	Maternal care for (suspected) damage to fetus from alcohol
L255300	Maternal care for (suspected) damage to fetus from alcohol
L25z3	Maternal care for suspected fetal abnormality and damage, unspecified
L25z300	Maternal care for suspected fetal abnormality and damage, unspecified
L25z4	Maternal care for fetal abnormality and damage, unspecified
L25z400	Maternal care for fetal abnormality and damage, unspecified
L263311	Maternal care for fetal hypoxia
L2637	Maternal care for fetal hypoxia
L263700	Maternal care for fetal hypoxia
L2638	Maternal care for fetal decelerations during pregnancy
L263800	Maternal care for fetal decelerations during pregnancy
L2639	Maternal care for fetal tachycardia during pregnancy
L263900	Maternal care for fetal tachycardia during pregnancy
L263A	Maternal care for fetal bradycardia during pregnancy
L263A00	Maternal care for fetal bradycardia during pregnancy
L263A11	Maternal care for reduced fetal heart rate during pregnancy
L263B	Maternal care for fetal acidosis during pregnancy
L263B00	Maternal care for fetal acidosis during pregnancy
L265.00	Small-for-dates fetus in pregnancy
L2650	Small-for-dates unspecified
L265000	Small-for-dates unspecified
L2653	Maternal care for poor fetal growth
L265300	Maternal care for poor fetal growth
L265311	Maternal care for intrauterine growth retardation
L265z	Small-for-dates NOS
L265z00	Small-for-dates NOS
L3...	Complications occurring during labour and delivery
L3...00	Complications occurring during labour and delivery
L308.	Failed forceps unspecified
L308.00	Failed forceps unspecified
L3080	Other failed forceps, unspecified
L308000	Other failed forceps, unspecified
L3081	Other failed forceps - delivered
L308100	Other failed forceps - delivered
L3082	Other failed forceps with antenatal problem
L308200	Other failed forceps with antenatal problem
L308z	Failed forceps NOS
L308z00	Failed forceps NOS
L309.	Failed ventouse extraction unspecified
L309.00	Failed ventouse extraction unspecified
L3090	Other failed ventouse extraction, unspecified
L309000	Other failed ventouse extraction, unspecified
L3091	Other failed ventouse extraction - delivered
L309100	Other failed ventouse extraction - delivered
L3092	Other failed ventouse extraction with antenatal problem
L309200	Other failed ventouse extraction with antenatal problem
L309z	Failed ventouse extraction NOS
L309z00	Failed ventouse extraction NOS
L34..00	Trauma to perineum and vulva during delivery
L341.12	Perineal muscle tear
L344.	Unspecified perineal laceration during delivery
L344.00	Unspecified perineal laceration during delivery
L3440	Unspecified perineal laceration during delivery, unspecified
L344000	Unspecified perineal laceration during delivery, unspecified
L3441	Unspecified perineal laceration during delivery - delivered
L344100	Unspecified perineal laceration during delivery - delivered
L344z	Unspecified perineal laceration during delivery NOS
L344z00	Unspecified perineal laceration during delivery NOS
L34y.	Other vulval and perineal trauma during delivery
L34y.00	Other vulval and perineal trauma during delivery
L34y0	Other vulval and perineal trauma during delivery, unspecified
L34y000	Other vulval and perineal trauma during delivery, unspecified
L34y1	Other vulval/perineal trauma during delivery- delivered
L34y100	Other vulval/perineal trauma during delivery- delivered
L34yz	Other vulval/perineal trauma during delivery NOS
L34yz00	Other vulval/perineal trauma during delivery NOS
L34z.	Vulval/perineal trauma during delivery NOS
L34z.00	Vulval/perineal trauma during delivery NOS
L34z0	Vulval/perineal trauma during delivery NOS unspec
L34z000	Vulval/perineal trauma during delivery NOS unspec
L34z1	Vulval/perineal trauma during delivery NOS - delivered
L34z100	Vulval/perineal trauma during delivery NOS - delivered
L34zz	Vulval/perineal trauma during delivery NOS
L34zz00	Vulval/perineal trauma during delivery NOS
L35..	Other obstetric trauma
L35..00	Other obstetric trauma
L3512	Rupture of uterus during and after labour - delivered with postnatal problem
L351200	Rupture of uterus during and after labour - delivered with postnatal problem
L355.00	Other obstetric pelvic organ damage
L3550	Other obstetric pelvic organ damage unspecified
L355000	Other obstetric pelvic organ damage unspecified
L3551	Other obstetric pelvic organ damage - delivered
L355100	Other obstetric pelvic organ damage - delivered
L355z	Other obstetric pelvic organ damage NOS
L355z00	Other obstetric pelvic organ damage NOS
L35y.	Other obstetric trauma OS
L35y.00	Other obstetric trauma OS
L35y0	Other obstetric trauma unspecified
L35y000	Other obstetric trauma unspecified
L35y1	Other obstetric trauma - delivered
L35y100	Other obstetric trauma - delivered
L35y3	Other obstetric trauma with antenatal problem
L35y300	Other obstetric trauma with antenatal problem
L35y4	Other obstetric trauma with postnatal problem
L35y400	Other obstetric trauma with postnatal problem
L35yz	Other obstetric trauma NOS
L35yz00	Other obstetric trauma NOS
L35z.	Obstetric trauma NOS
L35z.00	Obstetric trauma NOS
L35z0	Obstetric trauma NOS, unspecified
L35z000	Obstetric trauma NOS, unspecified
L35z1	Obstetric trauma NOS - delivered
L35z100	Obstetric trauma NOS - delivered
L35z2	Obstetric trauma NOS - delivered with postnatal problem
L35z200	Obstetric trauma NOS - delivered with postnatal problem
L35z3	Obstetric trauma NOS with antenatal problem
L35z300	Obstetric trauma NOS with antenatal problem
L35zz	Obstetric trauma NOS
L35zz00	Obstetric trauma NOS
L360.00	Third-stage postpartum haemorrhage
L3600	Third-stage postpartum haemorrhage unspecified
L360000	Third-stage postpartum haemorrhage unspecified
L360z	Third-stage postpartum haemorrhage NOS
L360z00	Third-stage postpartum haemorrhage NOS
L361.	Other immediate postpartum haemorrhage
L361.00	Other immediate postpartum haemorrhage
L3610	Other immediate postpartum haemorrhage unspecified
L361000	Other immediate postpartum haemorrhage unspecified
L361z	Other immediate postpartum haemorrhage NOS
L361z00	Other immediate postpartum haemorrhage NOS
L362.	Secondary and delayed postpartum haemorrhage
L362.00	Secondary and delayed postpartum haemorrhage
L3620	Secondary postpartum haemorrhage unspecified
L362000	Secondary postpartum haemorrhage unspecified
L362z	Secondary and delayed postpartum haemorrhage NOS
L362z00	Secondary and delayed postpartum haemorrhage NOS
L38A.	Failed or difficult intubation during labour and delivery
L38A.00	Failed or difficult intubation during labour and delivery
L39..	Other complications of labour and delivery NEC
L39..00	Other complications of labour and delivery NEC
L394.	Other complications of obstetric procedures
L394.00	Other complications of obstetric procedures
L3940	Other complications of obstetric procedures unspecified
L394000	Other complications of obstetric procedures unspecified
L3941	Other complications of obstetric procedures - delivered
L394100	Other complications of obstetric procedures - delivered
L3943	Other complications of obstetric procedures with postnatal problem
L394300	Other complications of obstetric procedures with postnatal problem
L394z	Other complications of obstetric procedures NOS
L394z00	Other complications of obstetric procedures NOS
L39y.	Other complications of labour and delivery
L39y.00	Other complications of labour and delivery
L39y0	Other complications of labour and delivery unspecified
L39y000	Other complications of labour and delivery unspecified
L39y1	Other complications of labour and delivery - delivered
L39y100	Other complications of labour and delivery - delivered
L39y2	Other complications of labour and delivery - delivered with postnatal problem
L39y200	Other complications of labour and delivery - delivered with postnatal problem
L39y3	Other complications of labour and delivery with antenatal problem
L39y300	Other complications of labour and delivery with antenatal problem
L39yz	Other complications of labour and delivery NOS
L39yz00	Other complications of labour and delivery NOS
L39z.	Complications of labour and delivery NOS
L39z.00	Complications of labour and delivery NOS
L39z0	Complications of labour and delivery NOS, unspecified
L39z000	Complications of labour and delivery NOS, unspecified
L39z1	Complications of labour and delivery NOS - delivered
L39z100	Complications of labour and delivery NOS - delivered
L39z2	Complications of labour and delivery NOS - delivered with postnatal problem
L39z200	Complications of labour and delivery NOS - delivered with postnatal problem
L39z3	Complications of labour and delivery NOS with antenatal problem
L39z300	Complications of labour and delivery NOS with antenatal problem
L39zz	Complications of labour and delivery NOS
L39zz00	Complications of labour and delivery NOS
L3y..	Other specified complications of labour or delivery
L3y..00	Other specified complications of labour or delivery
