13G3.	Midwife attends
Q4335	Neonatal jaundice with Dubin-Johnson syndrome
Q4336	Neonatal jaundice with Gilbert's syndrome
Q4337	Neonatal jaundice with congenital hypothyroidism
Q4338	Neonatal jaundice with porphyria
Q433y	Neonatal jaundice due to deficiency of enzyme system for bilirubin conjugation
Q433z	Delayed conjugation causing neonatal jaundice NOS
Q434.	Perinatal jaundice due to hepatocellular damage
Q4340	Perinatal hepatitis causing jaundice, unspecified
Q4341	Giant cell hepatitis causing neonatal jaundice
Q4342	Inspissated bile syndrome
Q434z	Perinatal jaundice due to hepatocellular damage NOS
Q435.	Perinatal jaundice due to other cause
Q4350	Perinatal jaundice due to congenital obstruction of bile duct
Q4351	Perinatal jaundice due to galactosaemia
Q435z	Perinatal jaundice due to other specified cause
Q436.	Fetal and neonatal jaundice, unspecified
Q4360	Icterus neonatorum, unspecified
Q4361	Transient neonatal hyperbilirubinaemia
Q4362	Newborn physiological jaundice NOS
Q436z	Unspecified fetal or neonatal jaundice NOS
Q437.	Kernicterus not due to isoimmunisation
Q4370	Bilirubin encephalopathy
Q437z	Kernicterus of newborn NOS
Q43z.	Perinatal jaundice NOS
Q44..	Perinatal endocrine and metabolic disorders
Q441.	Neonatal diabetes mellitus
Q442.	Neonatal myasthenia gravis
Q443.	Neonatal thyrotoxicosis
Q444.	Cow's milk hypocalcaemia
Q4440	Cow's milk hypocalcaemia in the newborn
Q4441	(Other neonatal hypocalcaemia) or (hypocalcaemic tetany in newborn)
Q444z	Neonatal hypocalcaemia NOS
Q445.	Hypomagnesaemic tetany in newborn
Q446.	Other transitory neonatal electrolyte disturbance
Q4460	Neonatal dehydration
Q4461	Transitory neonatal hypernatraemia
Q4462	Transitory neonatal hyponatraemia
Q4463	Transitory neonatal hyperkalaemia
Q4464	Transitory neonatal hypokalaemia
Q4465	Disturbances of sodium balance of newborn
Q4466	Disturbances of potassium balance of newborn
Q446y	Other specified transitory neonatal electrolyte disturbance
Q446z	Transitory neonatal electrolyte disturbance NOS
Q447.	Neonatal hypoglycaemia
Q448.	Newborn late metabolic acidosis
Q449.	Neonatal tetany without mention of calcium or magnesium deficiency
Q44A.	Neonatal hypoparathyroidism
Q44y.	Other transitory neonatal endocrine and metabolic problem
Q44y0	Neonatal tyrosinaemia
Q44yz	Other transitory neonatal endocrine or metabolic disturbance NOS
Q44z.	Perinatal endocrine or metabolic problem NOS
Q45..	Fetal and newborn blood disorders
Q450.	Haemorrhagic disease of the newborn
Q451.	Transient neonatal thrombocytopenia
Q4511	Transient neonatal thrombocytopenia due to idopathic maternal thrombocytopenia
Q451y	Neonatal thrombocytopenia due to platelet alloimmunisation
Q451z	Transient neonatal thrombocytopenia NOS
Q452.	Newborn defibrination syndrome
Q453.	Other newborn transient coagulation defect
Q454.	Neonatal polycythaemia
Q4541	Polycythaemia due to maternal fetal transfusion
Q454z	Polycythaemia neonatorum NOS
Q456.	Anaemia of prematurity
Q457.	Transient neonatal neutropenia
Q4570	Neonatal isoimmune neutropenia
Q457z	Transient neonatal neutropenia NOS
Q45y.	Other specified transient neonatal blood disorder
Q46..	Perinatal digestive system disorders
Q460.	Meconium ileus
Q461.	Inspissated milk intestinal obstruction
Q462.	Newborn swallowing maternal blood causing haematemesis or melaena
Q463.	Transitory ileus of newborn
Q464.	Perinatal necrotising enterocolitis
Q465.	Perinatal intestinal perforation
Q466.	Other meconium obstruction
Q4660	Meconium plug
Q4661	Congenital faecoliths causing obstruction
Q466z	(Meconium obstruction NOS) or (delayed passage of meconium NOS)
Q46y.	Other perinatal digestive system disorders
Q46y0	Neonatal peritonitis NOS
Q46y1	Neonatal chloridorrhoea
Q46yz	Other perinatal digestive system disorder NOS
Q46z.	Perinatal digestive system disorders NOS
Q47..	Perinatal skin and temperature regulation disorders
Q471.	Pre-agonal induration
Q471z	Sclerema neonatorum NOS
Q472.	Neonatal cold injury
Q473.	Other hypothermia of newborn
Q4740	Newborn dehydration fever
Q4742	(Hyperthermia in newborn, unspecified) or (thermal injury in newborn NEC)
Q4743	Transitory fever of newborn
Q474z	Newborn temperature regulation disorder NOS
Q475.	Oedema of newborn unspecified
Q477.	Breast engorgement of new born
Q47y.	Other perinatal skin disorders
Q47y0	Urticaria neonatorum
Q47y2	Neonatal skin infection
Q47yy	Erythroderma neonatorum
Q47yz	Perinatal skin disorder NOS
Q47z.	Perinatal skin or temperature regulation disorder NOS
Q48..	Other and ill-defined perinatal conditions
Q480.	Convulsions in newborn
Q481.	Newborn cerebral irritability, unspecified
Q482.	Central nervous system dysfunction in newborn NOS
Q4820	Newborn cerebral depression
Q4821	Coma in newborn
Q482y	Other newborn abnormal cerebral signs
Q483.	Feeding difficulties in newborn
Q4830	Newborn feeding problem, unspecified
Q4831	Newborn regurgitation of feed
Q4832	Slow feeding in newborn
Q4833	Vomiting in newborn
Q4834	Rumination in newborn
Q4835	Underfeeding in newborn
Q4836	Overfeeding in newborn
Q483z	Bottle feeding problem in the newborn
Q484.	Newborn drug reaction and intoxication
Q4840	Chloramphenicol toxicity in newborn
Q484z	Newborn drug reaction or intoxication NOS
Q485.	Newborn drug withdrawal syndrome
Q4850	Neonatal withdrawal symptoms from maternal use of drugs of addiction
Q4851	Withdrawal symptoms from therapeutic use of drugs in newborn
Q488.	Neonatal cerebral ischaemia
Q489.	Acquired periventricular cyst
Q48A.	Neonatal cerebral leucomalacia
Q48y.	Other specified perinatal condition
Q48y4	Neonatal "craniotabes"
Q48yz	(Other perinatal condition NOS) or (congenital hepatic fibrosis)
Q492.	Neonatal hypertension
Q493.	Persistent fetal circulation
Q4z..	Infant death
Qy...	Other specified perinatal conditions
Qyu..	[X]Additional perinatal disease classification terms
Qyu10	[X]Other low birth weight
Qyu11	[X]Other preterm infants
Qyu12	[X]Other "heavy for gestational age" infants
Qyu20	[X]Other intracranial lacerations and haemorrhages due to birth injury
Qyu21	[X]Other specified brain damage due to birth injury
Qyu22	[X]Other birth injuries to scalp
Qyu23	[X]Other birth injuries to skull
Qyu25	[X]Other specified birth injuries
Qyu26	[X]Birth injury to central nervous system, unspecified
Qyu30	[X]Other respiratory distress of newborn
Qyu33	[X]Other neonatal aspiration syndromes
Qyu35	[X]Other pulmonary haemorrhages originating in the perinatal period
Qyu36	[X]Other chronic respiratory diseases originating in the perinatal period
Qyu37	[X]Other and unspecified atelectasis of newborn
Qyu38	[X]Other apnoea of newborn
Qyu39	[X]Other specified respiratory conditions of newborn
Qyu3A	[X]Other cardiovascular disorders originating in the perinatal period
Qyu3B	[X]Cardiovascular disorder originating in the perinatal period, unspecified
Qyu41	[X]Sepsis of newborn due to other and unspecified staphylococcus
Qyu42	[X]Other bacterial sepsis of newborn
Qyu43	[X]Other congenital malaria
Qyu44	[X]Other specified congenital infectious and parasitic diseases
Qyu45	[X]Other infections specific to the perinatal period
Qyu48	[X]Sepsis of newborn due to other and unspecified streptococci
Qyu49	[X]Congenital infectious and parasitic disease, unspecified
Qyu51	[X]Other umbilical haemorrhages of newborn
Qyu53	[X]Other neonatal gastrointestinal haemorrhage
Qyu55	[X]Other haemolytic diseases of fetus and newborn
Qyu57	[X]Other specified kernicterus
Qyu58	[X]Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn
Qyu59	[X]Neonatal jaundice due to other specified excessive haemolysis
Qyu5A	[X]Neonatal jaundice from other and unspecified hepatocellular damage
Qyu5B	[X]Neonatal jaundice from other specified causes
Qyu5D	[X]Other transient neonatal disorders of coagulation
Qyu5E	[X]Other specified perinatal haematological disorders
Qyu6.	[X]Transitory endocrine and metabolic disorders specific to fetus and newborn
Qyu60	[X]Other neonatal hypoglycaemia
Qyu61	[X]Other transitory disorders of carbohydrate metabolism of fetus and newborn
Qyu62	[X]Other neonatal hypocalcaemia
Qyu65	[X]Other specified transitory neonatal endocrine disorders
Qyu6C	[X]Transitory metabolic disturbance of newborn, unspecified
Qyu7.	[X]Digestive system disorders of fetus and newborn
Qyu70	[X]Other specified intestinal obstruction of newborn
Qyu72	[X]Other specified perinatal digestive system disorders
Qyu73	[X]Intestinal obstruction of newborn, unspecified
Qyu80	[X]Other hypothermia of newborn
Qyu81	[X]Other specified disturbances of temperature regulation of newborn
Qyu84	[X]Hypothermia of newborn, unspecified
QyuA.	[X]Other disorders originating in the perinatal period
QyuA0	[X]Other specified disturbances of cerebral status of newborn
QyuA1	[X]Other feeding problems of newborn
QyuA2	[X]Other disorders of muscle tone of newborn
QyuA3	[X]Other specified conditions originating in the perinatal period
QyuA4	[X]Disorder of muscle tone of newborn, unspecified
Qz...	Perinatal conditions NOS
TE400	Accident due to abandonment of newborn
Ua0sx	Postnatal clinic
Ua1As	Child health screening of social behaviour and play development
Ua1Qf	Postnatal care
Ua1T9	Child health surveillance
X102E	Pulmonary atelectasis of newborn
X201b	Cardiomyopathy in the puerperium
X20FL	Neonatal isoimmune thrombocytopenia
X20FM	Alloimmune neonatal thrombocytopenia
X307X	Congenital hepatic fibrosis
X405k	Post-delivery obstetric operation
X406F	Female genital and obstetric disorder
X407K	Disorder of cervix
X409D	Pregnancy, childbirth and puerperal disorders
X409Q	Rigid perineum complicating postpartum care - baby delivered during previous episode of care
X409v	Stenosis of cervix - baby delivered with postpartum complication
X409y	Polyp of cervix complicating postnatal care - baby delivered during previous episode of care
X40A0	Polyp of cervix - baby delivered with postpartum complication
X40A3	Rectocele complicating postpartum care - baby delivered during previous episode of care
X40A4	Cystocele complicating postpartum care - baby delivered during previous episode of care
X40A7	Rectocele - delivered with postpartum complication
X40A8	Cystocele - delivered with postpartum complication
X40AH	Uterine fibroid complicating postpartum care - baby delivered during previous episode of care
X40AJ	Uterine fibroid - baby delivered with postpartum complication
X40AO	Bicornuate uterus complicating postpartum care - baby delivered during previous episode of care
X40AQ	Bicornuate uterus - baby delivered with postpartum complication
X40AZ	Nephropathy NOS in pregnancy without hypertension
X40By	EPH - Oedema, proteinuria and hypertension of pregnancy
X40Cv	Postnatal vaginal discomfort
X40Da	Haematoma - perineal wound
X40Dd	Phlebitis - postpartum
X40Df	Varicose veins - obstetric
X40Di	Puerperal pyrexia
X40DI	Obstetric trauma
X40Dq	Obstetric disorders of breast and lactation
X40DR	Perineal tear resulting from childbirth
X40Dw	Maternal death
X40Dx	Direct maternal death
X40DX	Immediate postpartum haemorrhage
X40Dy	Obstetric death of unspecified cause
X40DY	Blood dyscrasia puerperal
X40DZ	Infection - perineal wound
X40E1	Intrapartum fetal death
X40E3	SB - Stillbirth
X50C3	Erythema neonatorum
X50JA	Omphalitis
X70Ea	Icterus neonatorum
X70Ec	Neonatal inclusion blennorrhoea
X70Ed	Congenital sepsis
X70Ee	Congenital sepsis NOS
X70Ef	Grunting baby
X70Eg	Pneumonitis due to fetal aspiration
X70Eh	Cerebral injury due to birth trauma
X70Ei	Intracerebral haemorrhage in fetus or newborn
X70Ej	Skeletal injury due to birth trauma
X70Ek	Fracture of nose due to birth trauma
X70EK	Stillbirth NEC
X70El	Laryngeal injury due to birth trauma
X70EL	Infant death
X70Em	Kidney injury due to birth trauma
X70EM	Perinatal death
X70En	Internal birth injury NEC
X70EN	Neonatal death
X70Eo	Toe injury NEC due to birth trauma
X70Ep	Trunk injury NEC due to birth trauma
X70Eq	Baby born premature
X70EQ	Bottle feeding problem in the newborn
X70ER	Breast-feeding problem in the newborn
X70EU	Erythroderma neonatorum
X70EV	Panniculitis in newborn
X70EW	Delayed passage of meconium NOS
X70EX	Neonatal thrombocytopenia due to platelet alloimmunisation
X70EZ	Hypocalcaemic tetany in newborn
X70NT	Chlamydial ophthalmia neonatorum
X74Vz	Postnatal examination status
X74W4	Child exam status - 10 days
X74Wj	Screening status
X76W1	Slow involution of uterus
X77Oo	Child developmental observation
X77WQ	Neonatal screening
X787O	Predislocation status of hip at birth
Xa07c	Cardiovascular disorders originating in the perinatal period
Xa07d	Cyanotic attacks of newborn
Xa07g	Neonatal dysrhythmia
Xa07h	Cardiac failure developing in the perinatal period
Xa07k	Transient myocardial ischaemia of newborn
Xa07m	Neonatal hypotension
Xa07o	Perinatal intestinal obstruction
Xa07p	Neonatal peritonitis
Xa07s	Neonatal chloridorrhoea
Xa07w	Perinatal disorders of temperature regulation
Xa07W	Perinatal and neonatal death
Xa07x	Newborn thermal injury
Xa07X	Late neonatal death
Xa07y	Hypothermia of newborn
Xa07Y	Newborn death
Xa080	Avery's syndrome
Xa083	Neonatal aspiration syndromes
Xa086	Respiratory failure of newborn
Xa08B	Apnoea of newborn
Xa08c	Iatrogenic neonatal hypoglycaemia
Xa08C	CCHS - Congenital central hypoventilation
Xa08D	Hyperthermia of newborn
Xa08E	Newborn environmental hyperthermia
Xa08f	Neonatal goitre
Xa08G	Aspiration of amniotic fluid in newborn
Xa08H	Aspiration of mucus in newborn
Xa08o	Asphyxia neonatorum
Xa08P	Newborn physiological jaundice
Xa08r	INT - Isoimmune neonatal thrombocytopenia
Xa08x	EF - Erythroblastosis fetalis
Xa095	Perinatal neurological disorder
Xa09a	Heavy for dates
Xa09E	Cerebral irritation
Xa09h	Umbilical polyp of newborn
Xa09Q	Light for dates
Xa09W	LBW - Low birth weight infant
Xa09Y	ELBW - Extremely low birth weight infant
Xa09z	Hypomagnesaemic tetany in newborn
Xa0A6	Birth hypoxia
Xa0AA	Blue asphyxia
Xa0Ai	Bacterial sepsis of newborn
Xa0Ak	Congenital falciparum malaria
Xa0Ao	Neonatal infection of the eye
Xa0Ar	Umbilical sepsis
Xa0AU	Extreme immaturity
Xa0Av	Neonatal chlamydial dacryocystitis
Xa0Aw	Neonatal conjunctivitis due to virus
Xa0AW	Congenital infection
Xa0Ax	Neonatal inclusion body conjunctivitis
Xa0AX	Congenital viral disease
Xa0Az	Neonatal dacryocystitis due to virus
Xa0B3	Neonatal dacryocystitis due to Escherichia coli
Xa0B4	Coliform ophthalmia neonatorum
Xa0B5	Neonatal dacryocystitis due to staphylococcus
Xa0B6	Neonatal conjunctivitis due to staphylococcus
Xa0B7	Congenital viral pneumonia
Xa0BC	Perinatal pulmonary fibroplasia
Xa0Be	Neonatal craniotabes
Xa0BZ	Delayed passage of meconium
Xa0Ql	Perinatal trauma
Xa0TV	HIE - Perinatal hypoxic - ischaemic encephalopathy
Xa1aj	Phlegmasia alba dolens - obstetric
Xa1bh	Breast/other feeding, different ages
Xa1bi	Child development examination
Xa1bj	Child development checks
Xa1v6	Lymphadenopathy due to congenital toxoplasmosis
Xa3g3	Disorders of cervix NOS
Xa3gC	Obstetric disorders NOS
Xa40P	Pre-eclampsia NOS
Xa40W	Fetus with maternal problem NOS
Xa41M	Maternal pregnancy problem
Xa41Q	Maternal pregnancy problem NOS
Xa41R	Maternal cord/placental problem NOS
Xa41Z	Cerebral haemorrhage - birth
Xa4Ua	Cord infected
Xa4UO	Cord almost off
Xa4UP	Cord adherent
Xa4UQ	Cord not separated
Xa7MW	Neonatal jaundice
Xa9D8	Chignon
Xa9D9	Severe birth asphyxia
Xa9DA	Mild to moderate birth asphyxia
Xaac9	School entrant hearing screening incomplete
XaagE	No response to dementia screening invitation
XaaTA	School entrant hearing screening status
XaaTg	Postnatal examination invitation
XaaTl	Postnatal examination second invitation
XaaTm	Postnatal examination first invitation
XaaUz	Postnatal examination declined
Xaawn	Completion of newborn blood spot screening card
XaB42	Other isoimmunisation of the newborn
Xabj5	Scarf sign
XaBK0	Puerperal phlebitis NOS
XaBMD	Varicose veins of legs in the puerperium
XaBME	Genital varices in the puerperium
XaBMG	Superficial thrombophlebitis in the puerperium
XaBMH	Other phlebitis in pregnancy
XaBMI	Other phlebitis in the puerperium
XaBMl	[V]Special screening examination for chromosomal abnormalities
XaBML	Venous complication in the puerperium, unspecified
XaBNh	Vaginal varices in the puerperium
XabUr	Parent held personal child health record checked
XaC0x	Perinatal coagulase-negative staphylococcus
XaC10	[X]Infection of caesarean section wound following delivery
XaC1D	[X]Cervicitis following delivery
XaC1E	[X]Vaginitis following delivery
XaCMT	Birth weight 1000-2499 g
XaCMU	Birth weight 999 g or less
XadAN	Newborn and Infant Physical Examination Screening Programme, hip examination done, no abnormality and no risk factor
XaDw0	Notification of birth
XaDzR	Maternal care for suspected central nervous system malformation in fetus
XaDzS	Maternal care for central nervous system malformation in fetus
XaDzT	Maternal care for suspected chromosomal abnormality in fetus
XaDzV	Maternal care for chromosomal abnormality in fetus
XaDzW	Maternal care for damage to fetus from maternal rubella
XaDzX	Maternal care for suspected fetal abnormality and damage, unspecified
XaDzY	Maternal care for fetal abnormality and damage, unspecified
XaE3x	Screening for disorder
XaE6r	Maternal care for fetal bradycardia during pregnancy
XaE71	Maternal care for fetal decelerations during pregnancy
XaE72	Maternal care for fetal tachycardia during pregnancy
XaE73	Maternal care for fetal acidosis during pregnancy
XaIrN	O/E - Umbilical stump - neonatal
XaIt2	Child 2 year examination
XaIWB	Early neonatal death
XaJ9Y	Sure Start postnatal visit
XaJgl	Infant feeding at birth
XaJgm	Bottle fed at birth
XaJgn	Breast fed at birth
XaJKK	Neonatology
XaJxr	Neonatal Abstinence Syndrome
XaK98	Benign neonatal sleep myoclonus
XaKc9	Neonatal hearing test
XaKSE	Neonatal check enhanced services administration
XaKSF	Neonatal check enhanced service completed
XaLTG	Neonatal examination
XaNdb	Referral to breast feeding peer support service
XaNKn	Newborn blood spot screening status
XaNKo	Newborn blood spot screening programme - phenylketonuria (PKU) repeat screening with further sample required
XaNKp	Congenital hypothyroidism further sample required
XaNKr	Cystic fibrosis further sample required
XaNKs	Medium chain acyl-coenzyme A dehydrogenase deficiency further sample required
XaNLa	Medium chain acyl-coenzyme A dehydrogenase deficiency not screened for or screening incomplete
XaNLb	Cystic fibrosis not screened for or screening incomplete
XaNLB	Newborn blood spot screening programme - phenylketonuria (PKU) not suspected and other disorders follow up required
XaNLc	CHT not screened for or screening incomplete
XaNLC	Congenital hypothyroidism not suspected, further follow up required
XaNLE	Cystic fibrosis not suspected, further follow up required
XaNLF	Medium chain acyl-coenzyme A dehydrogenase deficiency not suspected, further follow up required
XaNLY	Newborn blood spot screening programme - phenylketonuria (PKU) not screened for or screening incomplete
XaNVx	Newborn blood spot screening
XaP9l	Neonatal feeding advice
XaPnq	Child 6 to 8 week examination
XaQiP	Newborn hearing screening programme outcome
XaQk9	Newborn hearing screening programme contraindicated
XaQkF	Newborn hearing screening programme incomplete as lack of service capacity
XaQOG	Chlamydia screening programme test kit issued
XaX4m	Health visitor new birth visit
XaY6g	Perinatal necrotising enterocolitis
XE0gZ	Cervix disorders
XE0vs	Mild or unspecified pre-eclampsia
XE0vv	Unspecified renal disease in pregnancy
XE0wA	Congenital abnormality of uterus complicating postpartum care - baby delivered during previous episode of care
XE0wF	Tumour of uterine body - baby delivered with postpartum complication
XE0wJ	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
XE0wK	Other uterine or pelvic floor abnormality affecting obstetric care
XE0wM	Other uterine or pelvic floor abnormality - delivered with postpartum complication
XE0wN	Other uterine or pelvic floor abnormality - baby not yet delivered
XE0wO	Other uterine or pelvic floor abnormality complicating postpartum care - baby delivered during previous episode of care
XE0wq	Fetus small-for-dates
XE0wQ	Other cervical abnormality in pregnancy, childbirth and the puerperium
XE0wR	Other cervical abnormality - baby delivered with postpartum complication
XE0wS	Other cervical abnormality complicating antenatal care - baby not yet delivered
XE0wT	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
XE0wU	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
XE0x2	Trauma to perineum and vulva during delivery
XE0x7	Other obstetric pelvic organ damage
XE0x9	Third stage haemorrhage
XE0xH	Postnatal infection
XE0xI	Venous complications of pregnancy and the puerperium
XE0xK	Superficial thrombophlebitis in pregnancy and the puerperium - delivered with postnatal complication
XE0xL	DVT - deep venous thrombosis, postnatal
XE0xN	Other obstetric pulmonary embolism
XE0xO	Other complication of obstetric surgical wound
XE0xP	Other complications of the puerperium
XE0xQ	Other complications of the puerperium NOS
XE0xs	Post-abortion problem NOS
XE0xS	Obstetric breast and lactation disorders NOS
XE0xU	Breast engorgement in pregnancy, the puerperium or lactation NOS
XE0y6	Pregnancy complications NOS
XE0yC	(Papyraceous fetus) or (pregnancy complications NOS)
XE0yG	Gonorrhoea + pregnancy
XE0yM	Pregnancy with other medical condition
XE0Yn	Snuffles
XE0yW	Pregnancy with medical condition NOS
XE0z8	Complications occurring during labour and delivery
XE0zG	Perineal delivery trauma NOS
XE0zk	Puerperal sepsis
XE0zm	Deep vein thrombosis-obstetric
XE0zQ	Labour/delivery problems NOS
XE0zs	Obstetric venous problems NOS
XE0zw	(Lactation problems) or (breast/lactation problems NOS)
XE0zy	Breast/lactation problem NOS
XE1ea	Brain injury due to birth trauma NOS
XE1eb	Subdural or cerebral haemorrhage due to birth trauma NOS
XE1ed	Other skeleton injury due to birth trauma
XE1ee	Fracture of radius or ulna due to birth trauma
XE1ef	Other specified skeleton injury due to birth trauma
XE1eg	Spleen rupture due to birth trauma
XE1eh	Other specified birth trauma NOS
XE1el	Liveborn with birth asphyxia NOS
XE1em	HMD - Hyaline membrane disease
XE1en	Aspiration of liquor or mucus in newborn
XE1ep	Other specified perinatal chronic respiratory disease
XE1eq	Other perinatal respiratory problems NOS
XE1et	Omphalitis of the newborn
XE1ev	Neonatal dacryocystitis or conjunctivitis due to Escherichia coli
XE1ew	Neonatal dacryocystitis or conjunctivitis due to staphylococcus
XE1eW	Short gestation and unspecified low birth weight problems
XE1ex	Neonatal dacryocystitis or conjunctivitis due to other bacteria
XE1eX	Very premature - less than 1000g or less than 28 weeks
XE1ey	Neonatal dacryocystitis or conjunctivitis due to virus
XE1eY	Disorders relating to long gestation and high birth weight
XE1ez	Neonatal dacryocystitis or conjunctivitis due to chlamydiae
XE1eZ	Cerebral haemorrhage unspecified, due to birth trauma
XE1f0	Neonatal dacryocystitis or conjunctivitis due to other inclusion body
XE1f1	Intrauterine fetal sepsis, unspecified
XE1f2	Fetal and neonatal haemorrhage
XE1f3	Haemolytic disease - Rh
XE1f4	Other specified delayed conjugation causing neonatal jaundice
XE1f5	Neonatal hypocalcaemia
XE1f6	Other neonatal hypocalcaemia
XE1f7	Neonatal hypomagnesaemia
XE1f8	Other specified transient neonatal thrombocytopenia
XE1f9	Meconium obstruction NOS
XE1fA	Neonatal diarrhoea
XE1fB	Hyperthermia in newborn, unspecified
XE1fC	Other specified perinatal skin disorder
XE1fD	Newborn feeding problem NOS
XE1fG	Other perinatal condition NOS
XE1fh	(Scalp injury - birth) or (cephal haematoma) or (chignon)
XE1fH	Other perinatal conditions NOS
XE1fj	Skeletal injury NOS - birth
XE1fn	Birth hypoxia
XE1fp	Congenital infections
XE1fr	Congenital cytomegalovirus infection
XE1ft	(Umbilical sepsis - perinatal) or (omphalitis)
XE1fx	Erythroblastosis fetalis
XE1g1	Kernicterus due to isoimmunisation
XE1g3	Physiol. jaundice
XE1g5	Diabetes - perinatal
XE1g7	(Perinatal endocrine/metabolism NOS) or (thyrotoxicosis - perinatal)
XE1g9	Haemorrhagic disease
XE1gB	Ileus - perinatal
XE1gF	Infant death
XE1SG	Maternal postnatal 6 week examination
XE1SN	Birth details NOS
XE1SO	Child health care
XE1UG	Infant feeding method
XE1Zv	[X]Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified
XE1Zw	[X]Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified
XE2IB	Medical certificate of still-birth
XE2nT	Perinatal cyanotic attacks NOS
XE2QW	Other complications of labour and delivery with postnatal problem
XE2QX	Breakdown of perineum
XE2QZ	Other disorders of lactation
XE2R6	Fetal and neonatal conditions
XE2sl	Cerebrovascular disorders in the puerperium
XE2sq	Neonatal sniffles
XE2tn	Child examination.: development
XE2w0	[V]Level of neonatal care
XM00h	Snuffles
XM0B0	Breast engorgement
XM0mI	Neonatal bleed
XM0tH	Venereal disease in pregnancy
XM1NA	Apgar normal
XM1O3	Neonatal jaundice due to deficiency of enzyme system for bilirubin conjugation
XM1O7	Spleen injury due to birth trauma
XM1O8	Birth fracture of radius
XM1O9	Birth fracture of ulna
XM1PL	Stroke in the puerperium
XM1T5	FP58 - newborn registration
XM1W8	Motor develop.- child
XM1WP	Postnatal maternal examination
ZV20.	[V]Child health supervision
ZV24.	[V]Postnatal care and examination
ZV242	[V]Routine postpartum follow-up
ZV24y	[V]Other specified postpartum care and examination
ZV24z	[V]Unspecified postpartum care and examination
ZV27.	[V]Stillbirth
ZV290	[V]Normal level of neonatal care
ZV291	[V]Neonatal care in SCBU
ZV292	[V]Neonatal care on ITU
ZV3z.	[V]Unspecified birth
ZV3zz	[V]Unspecified birth NOS
ZV6H.	[V] Level of care administered to neonates
ZV6H0	[V]Normal care administered to neonates
ZV6H1	[V]Special care administered to neonates
ZV6H2	[V]Level 2 intensive care (high dependency intensive care) administered to neonates
ZV77.	[V]Screening for endocrine, nutritional, metabolic and immunity disorders
ZV7y3	[V]Screening for congenital dislocation of hip
ZV7y4	[V]Postnatal screening for chromosomal anomalies
