635..13	Premature baby
L21z100	Multiple pregnancy NOS - delivered
7F16700	Barton forceps cephalic delivery with rotation
Z265800	Pulsation absent in prolapsed cord
7F22.00	Other operations on delivered uterus
L308100	Other failed forceps - delivered
L397100	Breech extraction - delivered
L132100	Late pregnancy vomiting - delivered
7F23300	Immediate repair of minor obstetric laceration
L345z00	Vulval and perineal haematoma during delivery NOS
L261100	Rhesus isoimmunisation - delivered
L311.00	Secondary uterine inertia
ZV27500	[V]Other multiple birth, all live born
Q212100	Liveborn with prelabour hypoxia
63A5.00	Apgar at 5 minutes = 4
L330z00	Prolapse of cord NOS
L345100	Vulval and perineal haematoma during delivery - delivered
L16y100	Other pregnancy complication - delivered
L350000	Rupture of uterus before labour unspecified
Z244400	Late onset of labour
L237100	Other fetal abnormality causing disproportion - delivered
L361.00	Other immediate postpartum haemorrhage
63B6.00	Apgar at 10 minutes = 5
L247111	Septate vagina - baby delivered
L303z00	Deep transverse arrest NOS
L121100	Renal hypertension in pregnancy/childbirth/puerp - delivered
L350z00	Rupture of uterus before labour NOS
L354000	Obstetric high vaginal laceration unspecified
L35z100	Obstetric trauma NOS - delivered
6381.00	Birth length = < 3rd centile
L307200	Other failed trial of labour with antenatal problem
L334.00	Short cord
L229200	Prolapsed arm with antenatal problem
L323200	Delayed delivery second twin with antenatal problem
Q037200	Fetus or neonate affected by hypertonic uterine dysfunction
Q037300	Fetus or neonate affected by uterine inertia or dysfunction
L343100	Fourth degree perineal tear during delivery - delivered
L343000	Fourth degree perineal tear during delivery, unspecified
ZV3zz00	[V]Unspecified birth, NOS
L122100	Other pre-existing hypertension in preg/childb/puerp - deliv
63B1.00	Apgar at 10 minutes = 0
L241100	Tumour of uterine body - baby delivered
L355.00	Other obstetric pelvic organ damage
L393000	Post-delivery acute renal failure unspecified
6385.00	Birth length=50th-74th centile
7F13200	Extraperitoneal caesarean section
L225000	Face presentation unspecified
ZV3z000	[V]Unspecified birth, born in hospital
Z246200	Onset of labour first stage
L30z.00	Obstructed labour NOS
L322000	Prolonged second stage unspecified
L357100	Obstetric pelvic haematoma - delivered
6337.00	Triplets -2 live+ 1 still born
7F14y00	Other specified breech extraction delivery
6346.00	3 male babies
L226200	Brow presentation with antenatal problem
L29z.00	Problems affecting labour NOS
L302.00	Obstructed labour caused by pelvic soft tissues
63B2.00	Apgar at 10 minutes = 1
63A1.00	Apgar at 5 minutes = 0
Z246900	Duration of second stage of labour
6378.00	Birth HC = > 97th centile
638Z.00	Birth length = > 97th centile
6373.00	Birth HC = 10th-24th centile
63B4.00	Apgar at 10 minutes = 3
63B3.00	Apgar at 10 minutes = 2
6376.00	Birth HC = 75th-89th centile
L25z100	Fetus with damage NOS - delivered
L235100	Large fetus causing disproportion - delivered
L18z100	Medical condition NOS during pregnancy - baby delivered
L255100	Fetus with drug damage - delivered
L13z100	Unspecified pregnancy vomiting - delivered
L230100	Disproportion - major pelvic abnormality - delivered
L394100	Other complications of obstetric procedures - delivered
L431100	Amniotic fluid pulmonary embolism - delivered
L252100	Fetus with hereditary disease - delivered
L23y100	Other disproportion - delivered
L311200	Secondary uterine inertia with antenatal problem
Z262100	Size of placenta
L314.15	Uterine dystocia NOS
L353z00	Obstetric laceration of cervix NOS
L380.00	Obstetric anaesthesia with pulmonary complications
63A2.00	Apgar at 5 minutes = 1
Lyu5000	[X]Other single spontaneous delivery
Z243500	Normal length of first stage of labour
L115100	Antepartum haemorrhage with uterine leiomyoma - delivered
L330000	Prolapse of cord unspecified
Lyu4000	[X]Other failed induction of labour
ZV32000	[V]Twin, born in hospital, mate stillborn
7F17y00	Other specified vacuum delivery
Z244100	Observation of duration of labour
ZV30000	[V]Singleton, born in hospital
L331100	Cord tight round neck - delivered
7F11300	Medical induction of labour
Z262300	Small placenta
ZV3z.00	[V]Unspecified birth
Z262S00	Placental vessel observation
7F22111	Brandt-Andrews expression of placenta
L28y100	Other problem of amniotic cavity and membranes - delivered
L280100	Oligohydramnios - delivered
L350200	Rupture of uterus before labour with antenatal problem
Z246.00	Observation of measures of labour
Lyu4900	[X]Labour+delivery complicated by other cord entanglement
6384.00	Birth length=25th-49th centile
Z265700	Pulsation present in prolapsed cord
L284100	Amniotic cavity infection - delivered
L357000	Obstetric pelvic haematoma unspecified
Z238100	Uterus contracted
Q031z11	Fetus or neonate affected by obstructed labour NEC
Z238111	Uterus well contracted
L244100	Other uterine/pelvic floor abnormality - baby delivered
Z246700	Onset of second stage of labour
63A4.00	Apgar at 5 minutes = 3
7F22712	Pack to control postnatal haemorrhage
Z255F00	Not pushing well in labour
L39z100	Complications of labour and delivery NOS - delivered
L293100	Septicaemia during labour - delivered
Z246A00	Total duration of labour
L331000	Cord tight round neck unspecified
Z262500	Observation of completeness of placenta
6339.00	Triplets - 3 still born
Z263600	One placental membrane present
L236100	Hydrocephalic disproportion - delivered
L30zz00	Obstructed labour NOS
L355100	Other obstetric pelvic organ damage - delivered
L320100	Prolonged first stage - delivered
L306100	Locked twins - delivered
L352z00	Obstetric inversion of uterus NOS
L314000	Hypertonic uterine inertia unspecified
Z255500	Progressing well in second stage
ZV36100	[V]Other multiple birth, before hospital, mates live+still
6348.00	1 male + 2 female babies
Q214000	Liveborn with abnormal heart beat, unspecified
Q017600	Fetus or neonate affected by face presentation before labour
Z256200	Prolonged third stage of labour
Z244300	Short duration of labour
Z262800	Observation of form of placenta
L305000	Shoulder dystocia unspecified
L262100	Other blood-group isoimmunisation - delivered
ZV27700	[V]Other multiple birth, all stillborn
L312200	Other uterine inertia with antenatal problem
L220100	Unstable lie - delivered
Z255300	Progess of second stage of labour
6386.00	Birth length=75th-89th centile
L307z00	Failed trial of labour NOS
L130100	Mild hyperemesis-delivered
Z262600	Complete placenta at delivery
L34y100	Other vulval/perineal trauma during delivery- delivered
Z263B00	Membranes incomplete
Z253200	Rapid rate of delivery
Q035100	Fetus/neonate affected by mat analgesic agent in labour/del
L363z00	Postpartum coagulation defects NOS
L162100	Unspecified renal disease in pregnancy - delivered
L35y100	Other obstetric trauma - delivered
Q212000	Liveborn with prelabour abnormal heart beat
L300700	Obstructed labour due to compound presentation
Q212z00	Liveborn with prelabour fetal distress NOS
7F21y00	Manual removal products of conception delivered uterus OS
L242100	Uterine operation scar in pregnancy/childbirth/puerp - deliv
L303000	Deep transverse arrest unspecified
L29..00	Other problems affecting labour
Q025200	Fetus or neonate affected by knot in cord
Z23B400	Contraction of uterus during labour
Lyu5400	[X]Other manipulation-assisted delivery
Q213100	Liveborn with labour hypoxia
ZV3..00	[V]Healthy liveborn infants according to type of birth
L333100	Other cord entanglement - delivered
L332.00	Cord tangled or knotted with compression
7F1B400	Incision of cervix to facilitate delivery
ZV31200	[V]Twin, not hospitalised, mate live born
Z247100	Expulsion of IUCD during third stage of labour
L282100	Prolonged spont/unspec rupture of membranes - delivered
Z243.00	Observation of first stage of labour
Z255800	Second stage of labour problem
L312z00	Other uterine inertia NOS
L50..00	Maternal care for compound presentation
L330.11	Presentation of cord
7F1Bz00	Other operation to facilitate delivery NOS
L300400	Obstructed labour due to face presentation
Q021400	Fetus/neonate affect by placental damage-surgical induction
Lyu4D00	[X]Other immediate postpartum haemorrhage
L321000	Unspecified prolonged labour, unspecified
7F18100	Nonmanip cephal vagin deliv abnorm pres head without instrum
Z255J00	Pushing involuntarily in labour
6347.00	2 male + 1 female babies
6349.00	3 female babies
6383.00	Birth length=10th-24th centile
7F24100	Obstetric uterine tamponade
L302000	Obstructed labour caused by pelvic soft tissues unspecified
7F10y00	Other specified surgical induction of labour
L39y100	Other complications of labour and delivery - delivered
6382.00	Birth length=3rd-9th centile
ZV30100	[V]Singleton, born before admission to hospital
L181100	Thyroid dysfunction during pregnancy - baby delivered
Lyu5700	[X]Assisted single delivery, unspecified
Q214200	Liveborn with meconium liquor, unspecified
Z255A00	Observation of delivery push in labour
ZV3yz00	[V]Other multiple birth, unspecified, NOS
L10z100	Early pregnancy haemorrhage NOS - delivered
L314.14	Incoordinate uterine action
ZVu2A00	[X]Other multiple births, all liveborn
ZV32z00	[V]Twin, mate stillborn, NOS
7F22713	Pack to control postpartum haemorrhage
L391000	Obstetric shock unspecified
L333.00	Other cord entanglement
Z23AC00	Strong uterine contractions
Lyu4100	[X]Other uterine inertia
63B5.00	Apgar at 10 minutes = 4
L291100	Failed medical or unspecified induction - delivered
L35yz00	Other obstetric trauma NOS
L292z00	Unspecified maternal pyrexia during labour NOS
L283200	Prolonged artificial rupture of membranes with a/n problem
Q213200	Liveborn with labour meconium in liquor
Z23C.00	Observation of upper segment retraction
L29yz00	Other problems affecting labour NOS
Z244.00	Observation of pattern of labour
7E07111	Curettage of term pregnancy NEC
L293.00	Septicaemia during labour
L160100	Papyraceous fetus - delivered
L321z00	Prolonged labour NOS
L290z00	Failed mechanical induction NOS
L169100	Herpes gestationis - delivered
Lyu4.00	[X]Complications of labour and delivery
L332100	Cord tangled with compression - delivered
L330200	Prolapse of cord with antenatal problem
Z262400	Placenta normal size
Z255F11	Not pushing effectively
L29z000	Problems affecting labour NOS unspecified
L300000	Obstructed labour due to fetal malposition unspecified
Z256100	Normal length of third stage of labour
Z255E11	Pushing well in labour
L302z00	Obstructed labour caused by pelvic soft tissues NOS
L30z200	Obstructed labour NOS with antenatal problem
L361000	Other immediate postpartum haemorrhage unspecified
L143100	Premature labour with premature delivery
L143.00	Premature labour and delivery
L354z00	Obstetric high vaginal laceration NOS
Z262111	Observation of size of placenta
7F14000	Breech extraction delivery with version
Z256400	Rapid expulsion of placenta
7F17000	High vacuum delivery
L10y100	Other haemorrhage in early pregnancy - delivered
L399.00	Destructive operation for delivery
Lyu5800	[X]Multiple delivery, unspecified
Z244200	Long duration of labour
L38yz00	Other complications of obstetric anaesthesia NOS
L356100	Obstetric damage to pelvic joints and ligaments - delivered
L113100	Antepartum haemorrhage with coagulation defect - delivered
L390100	Maternal distress - delivered
L176100	Other maternal viral disease in pregnancy - baby delivered
635C.00	Preterm infant status
Lyu4C00	[X]Other specified obstetric trauma
635C.11	Preterm
6387.00	Birth length=90th-96th centile
Q031.11	Fetus affected by malpresentation during delivery
L292000	Unspecified maternal pyrexia during labour, unspecified
7F11400	Sweeping of membrane
63H..00	Time of delivery
63D7.00	Complete placenta at delivery
P76y100	Four vessels in umbilical cord
ZV34.00	[V]Other multiple birth, mates live born
ZV36z00	[V]Other multiple birth, mates live and stillborn NOS
Z262200	Large placenta
L39z300	Complications of labour and delivery NOS with antenatal prob
L37..12	Retained placenta without haemorrhage
ZV30200	[V]Singleton, born outside hospital and not hospitalised
L38X.00	Complication of anaesthesia during labour and deliv unsp
L38zz00	Obstetric anaesthetic complications NOS
L29y.00	Other problems affecting labour
L226z00	Brow presentation NOS
Q03y400	Fetus or neonate affected by long labour
7F1By00	Other specified other operation to facilitate delivery
L307000	Other failed trial of labour unspecified
L332200	Cord tangled with compression with antenatal problem
L229000	Prolapsed arm unspecified
L313000	Precipitate labour unspecified
L357z00	Obstetric trauma causing pelvic haematoma NOS
Z64D100	Obstetric transcutaneous nerve stimulation
L267100	Other placental conditions - delivered
L363000	Postpartum coagulation defects unspecified
ZV3y.00	[V]Other multiple birth, unspecified
Z23AD00	Very strong uterine contractions
L170200	Maternal syphilis in puerperium - baby delivered
6338	Triplets-1 live+ 2 still born
L240100	Congenital abnormality of uterus - baby delivered
L291000	Failed medical or unspecified induction unspecified
ZVu2B00	[X]Other multiple births, some liveborn
L26z100	Feto-placental problems NOS - delivered
L29y100	Other problems affecting labour - delivered
Z263300	Condition of membranes at delivery
Q20y400	Liver rupture due to birth trauma
Z256.00	Observation of third stage of labour
L248100	Vulval abnormality - baby delivered
L314.00	Hypertonic uterine inertia
Z255B11	Wants to push in labour
L33y100	Other umbilical cord complications - delivered
L171100	Maternal gonorrhoea during pregnancy - baby delivered
L172100	Other maternal venereal disease during pregnancy- baby deliv
L226z11	Mentum presentation
Q03y500	Fetus or neonate affected by instrumental delivery
L310000	Primary uterine inertia unspecified
Lyu5600	[X]Other multiple delivery
L39y000	Other complications of labour and delivery unspecified
Z1H4.00	Pain relief in labour
62Z..00	Maternal care NOS
63DZ.00	Placental details NOS
63F..00	Birth details not known
63G0.00	Membranes complete
63G1.00	Membranes incomplete
7E07011	Dilation of cervix uteri and curettage for termination of pregnancy
7E0F400	Exploration of uterus NEC
7F1B200	Pubiotomy to facilitate delivery
7F2..00	Other obstetric operations
7F22y00	Other specified other operation on delivered uterus
7F24.00	Other obstetric operations
7F24y00	Other specified other obstetric operation
7F24z00	Other obstetric operation NOS
7F2y.00	Other specified obstetric operations
7F2z.00	Other obstetric operations NOS
7Fy..00	Other specified obstetric operations
7Fz..00	Obstetric operations NOS
H470100	Pneumonitis due to inhalation of gastric secretions
K55y.00	Other noninflammatory cervical disorders
K55yz00	Other noninflammatory cervical disorder NOS
Kyu9900	[X]Other specified noninflammatory disorders of cervix uteri
L....00	Complications of pregnancy, childbirth and the puerperium
L090y00	Sepsis NOS following abortion and ectopic and molar pregnancy
L09z.00	Complication NOS following abortion and ectopic and molar pregnancy
L1...00	Pregnancy complications
L10..00	Haemorrhage in early pregnancy
L100.00	Threatened abortion
L100000	Threatened abortion unspecified
L100200	Threatened abortion - not delivered
L100z00	Threatened abortion NOS
L10y.00	Other haemorrhage in early pregnancy
L10y.11	Bleeding in early pregnancy
L10y000	Other haemorrhage in early pregnancy unspecified
L10yz00	Other haemorrhage in early pregnancy NOS
L10z.00	Early pregnancy haemorrhage NOS
L10z000	Early pregnancy haemorrhage NOS unspecified
L10z200	Early pregnancy haemorrhage NOS - not delivered
L10zz00	Early pregnancy haemorrhage NOS
L11..11	Antepartum haemorrhage
L11..12	Antepartum bleeding
L11y.00	Other antepartum haemorrhage
L11y000	Other antepartum haemorrhage unspecified
L11y200	Other antepartum haemorrhage - not delivered
L11yz00	Other antepartum haemorrhage NOS
L11z.00	Antepartum haemorrhage NOS
L11z000	Antepartum haemorrhage NOS, unspecified
L11z200	Antepartum haemorrhage NOS - not deliv
L11zz00	Antepartum haemorrhage NOS
L120000	Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified
L120z00	Benign essential hypertension complicating pregnancy, childbirth and the puerperium NOS
L122.00	Other pre-existing hypertension in preg/childbirth/puerp
L122000	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium unspecified
L122200	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication
L122300	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L122400	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication
L122z00	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium NOS
L123500	Gestational hypertension
L12z000	Unspecified hypertension complicating pregnancy, childbirth and the puerperium unspecified
L12z300	Unspecified hypertension complicating pregnancy, childbirth and the puerperium - not delivered
L12zz00	Unspecified hypertension complicating pregnancy, childbirth and the puerperium NOS
L132.00	Late vomiting of pregnancy
L132000	Late pregnancy vomiting unspecified
L132200	Late pregnancy vomiting - not delivered
L132z00	Late pregnancy vomiting NOS
L13y.00	Other pregnancy vomiting
L13y000	Other pregnancy vomiting unspecified
L13y100	Other pregnancy vomiting - delivered
L13y200	Other pregnancy vomiting - not delivered
L13yz00	Other pregnancy vomiting NOS
L13z.00	Unspecified pregnancy vomiting
L13z000	Unspecified pregnancy vomiting unspecified
L13z200	Unspecified pregnancy vomiting - not delivered
L13zz00	Unspecified pregnancy vomiting NOS
L14..11	Premature labour
L143000	Premature labour without delivery
L143200	Premature labour with term delivery
L143300	Premature delivery without labour
L16..00	Other pregnancy complication NEC
L162.00	Unspecified renal disease in pregnancy
L162.12	Nephropathy NOS in pregnancy without hypertension
L162000	Unspecified renal disease in pregnancy unspecified
L162200	Unspecified renal disease in pregnancy - delivered with postnatal complication
L162300	Unspecified renal disease in pregnancy - not delivered
L162400	Unspecified renal disease in pregnancy with postnatal complication
L162z00	Unspecified renal disease in pregnancy NOS
L16y.00	Other pregnancy complications
L16y000	Other pregnancy complication unspecified
L16y200	Other pregnancy complication - delivered with postnatal complication
L16y300	Other pregnancy complication - not delivered
L16yz00	Other pregnancy complication NOS
L16z.00	Pregnancy complication NOS
L172.00	Other maternal venereal diseases during pregnancy, childbirth and the puerperium
L172000	Other maternal venereal disease, unspecified whether during pregnancy or the puerperium
L172200	Other maternal venereal disease in the puerperium - baby delivered during current episode of care
L172300	Other maternal venereal disease during pregnancy - baby not yet delivered
L172400	Other maternal venereal disease during the puerperium - baby delivered during previous episode of care
L176.00	Other maternal viral disease during pregnancy, childbirth and the puerperium
L176000	Other maternal viral disease, unspecified whether during pregnancy or the puerperium
L176200	Other maternal viral disease in the puerperium - baby delivered during current episode of care
L176300	Other maternal viral disease during pregnancy - baby not yet delivered
L176400	Other maternal viral disease in the puerperium - baby delivered during previous episode of care
L176z00	Other maternal viral disease during pregnancy, childbirth or the puerperium NOS
L179.00	Human immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium
L18..00	Other medical condition during pregnancy, childbirth and the puerperium
L18z.00	Medical condition NOS during pregnancy, childbirth and the puerperium
L18z000	Medical condition NOS, unspecified whether during pregnancy or the puerperium
L18z200	Medical condition NOS, in the puerperium - baby delivered during current episode of care
L18z300	Medical condition NOS, during pregnancy - baby not yet delivered
L18z400	Medical condition NOS, in the puerperium - baby delivered during previous episode of care
L18zz00	Medical condition NOS, during pregnancy, childbirth or the puerperium NOS
L1y..00	Other specified complications of pregnancy, childbirth or the puerperium
L1z..00	Complications of pregnancy, childbirth and the puerperium NOS
L21y100	Other multiple pregnancy - delivered
L22..00	Malposition and malpresentation of fetus
L221000	Cephalic version NOS, unspecified
L226000	Brow presentation unspecified
L229z00	Prolapsed arm NOS
L22y000	Other fetal malposition and malpresentation unspecified
L22y100	Other fetal malposition and malpresentation - delivered
L22y200	Other fetal malposition and malpresentation with antenatal problem
L22yz00	Other fetal malposition and malpresentation NOS
L22z.00	Fetal malposition and malpresentation NOS
L22z000	Fetal malposition and malpresentation NOS, unspecified
L22z200	Fetal malposition and malpresentation NOS with antenatal problem
L22zz00	Fetal malposition and malpresentation NOS
L234000	Mixed feto-pelvic disproportion unspecified
L234z00	Mixed feto-pelvic disproportion NOS
L237.00	Other fetal abnormality causing disproportion
L237000	Other fetal abnormality causing disproportion unspecified
L237200	Other fetal abnormality causing disproportion with antenatal problem
L237z00	Other fetal abnormality causing disproportion NOS
L23y.00	Other disproportion
L23y000	Other disproportion unspecified
L23y200	Other disproportion with antenatal problem
L23yz00	Other disproportion NOS
L23z.00	Disproportion NOS
L23z000	Disproportion NOS, unspecified
L23z200	Disproportion NOS with antenatal problem
L23zz00	Disproportion NOS
L244.00	Other uterine or pelvic floor abnormality in pregnancy, childbirth and the puerperium
L244000	Other uterine or pelvic floor abnormality affecting obstetric care
L244200	Other uterine or pelvic floor abnormality - delivered with postpartum complication
L244300	Other uterine or pelvic floor abnormality - baby not yet delivered
L244400	Other uterine or pelvic floor abnormality complicating postpartum care - baby delivered during previous episode of care
L246.00	Other cervical abnormality in pregnancy, childbirth and the puerperium
L246000	Other cervical abnormality affecting obstetric care
L246200	Other cervical abnormality - baby delivered with postpartum complication
L246300	Other cervical abnormality complicating antenatal care - baby not yet delivered
L246400	Other cervical abnormality complicating postpartum care - baby delivered during previous episode of care
L246z00	Other cervical abnormality in pregnancy, childbirth or the puerperium NOS
L248200	Congenital or acquired abnormality of vulva - baby delivered with postpartum complication
L248400	Congenital or acquired abnormality of vulva complicating postpartum care - baby delivered during previous episode of care
L250300	Maternal care for suspected central nervous system malformation in fetus
L250400	Maternal care for central nervous system malformation in fetus
L251300	Maternal care for suspected chromosomal abnormality in fetus
L251400	Maternal care for chromosomal abnormality in fetus
L253300	Maternal care for damage to fetus from maternal rubella
L255300	Maternal care for (suspected) damage to fetus from alcohol
L25y.00	Fetus with other damage NEC
L25y000	Fetus with other damage NEC, unspecified
L25y200	Fetus with other damage NEC with antenatal problem
L25yz00	Fetus with other damage NEC NOS
L25z.00	Fetus with damage NOS
L25z000	Fetus with damage NOS, unspecified
L25z200	Fetus with damage NOS with antenatal problem
L25z300	Maternal care for suspected fetal abnormality and damage, unspecified
L25z400	Maternal care for fetal abnormality and damage, unspecified
L25zz00	Fetus with damage NOS
L26..00	Other fetal and placental problems
L262.00	Other blood-group isoimmunisation
L262.11	Other blood-group isoimmunisation
L262000	Other blood-group isoimmunisation unspecified
L262200	Other blood-group isoimmunisation with antenatal problem
L262z00	Other blood-group isoimmunisation NOS
L263700	Maternal care for fetal hypoxia
L263800	Maternal care for fetal decelerations during pregnancy
L263900	Maternal care for fetal tachycardia during pregnancy
L263A00	Maternal care for fetal bradycardia during pregnancy
L263A11	Maternal care for reduced fetal heart rate during pregnancy
L263B00	Maternal care for fetal acidosis during pregnancy
L265300	Maternal care for poor fetal growth
L265311	Maternal care for intrauterine growth retardation
L267.00	Other placental conditions
L267000	Other placental conditions unspecified
L267200	Other placental conditions with antenatal problem
L267500	Other fetal problems
L267z00	Other placental conditions NOS
L268.00	Other fetal problems
L26y.00	Other feto-placental problems
L26y000	Other feto-placental problems unspecified
L26y100	Other feto-placental problems - delivered
L26y200	Other feto-placental problems with antenatal problem
L26yz00	Other feto-placental problems NOS
L26z.00	Feto-placental problems NOS
L26z000	Feto-placental problems NOS, unspecified
L26z200	Feto-placental problems NOS with antenatal problem
L26zz00	Feto-placental problems NOS
L28..00	Other problems of amniotic cavity and membranes
L282200	Prolonged spontaneous or unspecified rupture of membranes with antenatal problem
L28y.00	Other problems of amniotic cavity and membranes
L28y000	Other problem of amniotic cavity and membranes unspecified
L28y200	Other problem of amniotic cavity and membranes with antenatal problem
L28yz00	Other problem of amniotic cavity and membranes NOS
L28z.00	Amniotic cavity and membrane problems NOS
L28z000	Amniotic cavity and membrane problem NOS, unspecified
L28z100	Amniotic cavity and membrane problem NOS - delivered
L28z200	Amniotic cavity and membrane problem NOS with antenatal problem
L28zz00	Amniotic cavity and membrane problem NOS
L290000	Failed mechanical induction unspecified
L291200	Failed medical or unspecified induction with antenatal problem
L292200	Unspecified maternal pyrexia during labour with antenatal problem
L293000	Septicaemia during labour unspecified
L293z00	Septicaemia during labour NOS
L29y000	Other problems affecting labour unspecified
L29y200	Other problems affecting labour with antenatal problem
L29z100	Problems affecting labour NOS - delivered
L29z200	Problems affecting labour NOS with antenatal problem
L300z00	Obstructed labour due to fetal malposition NOS
L301000	Obstructed labour caused by bony pelvis unspecified
L301z00	Obstructed labour caused by bony pelvis NOS
L306000	Locked twins unspecified
L306z00	Locked twins NOS
L307100	Other failed trial of labour - delivered
L308000	Other failed forceps, unspecified
L308200	Other failed forceps with antenatal problem
L309200	Other failed ventouse extraction with antenatal problem
L30y.00	Other causes of obstructed labour
L30y000	Other causes of obstructed labour unspecified
L30y100	Other causes of obstructed labour - delivered
L30y200	Other causes of obstructed labour with antenatal problem
L30yz00	Other causes of obstructed labour NOS
L310z00	Primary uterine inertia NOS
L311000	Secondary uterine inertia unspecified
L311z00	Secondary uterine inertia NOS
L312000	Other uterine inertia unspecified
L314z00	Hypertonic uterine inertia NOS
L31z000	Abnormality of forces of labour NOS unspecified
L31z100	Abnormality of forces of labour NOS - delivered
L31z200	Abnormality of forces of labour NOS with antenatal problem
L31zz00	Abnormality of forces of labour NOS
L320000	Prolonged first stage unspecified
L321200	Unspecified prolonged labour with antenatal problem
L323z00	Delayed delivery second twin etc NOS
L33..00	Umbilical cord complications
L332000	Cord tangled with compression unspecified
L332z00	Cord tangled or knotted with compression NOS
L333000	Other cord entanglement unspecified
L333200	Other cord entanglement with antenatal problem
L334000	Short cord unspecified
L334z00	Short cord NOS
L33y.00	Other umbilical cord complications
L33y000	Other umbilical cord complications unspecified
L33y200	Other umbilical cord complications with antenatal problem
L33yz00	Other umbilical cord complications NOS
L33z.00	Umbilical cord complications NOS
L33z000	Umbilical cord complications NOS, unspecified
L33z200	Umbilical cord complications NOS with antenatal problem
L33zz00	Umbilical cord complications NOS
L344200	Unspecified perineal laceration during delivery with postnatal problem
L34y200	Other vulval and perineal trauma during delivery with postnatal problem
L34z200	Vulval and perineal trauma during delivery NOS with postnatal problem
L352000	Obstetric inversion of uterus unspecified
L355000	Other obstetric pelvic organ damage unspecified
L355200	Other obstetric pelvic organ damage with postnatal problem
L355z00	Other obstetric pelvic organ damage NOS
L35y000	Other obstetric trauma unspecified
L35y200	Other obstetric trauma - delivered with postnatal problem
L35y300	Other obstetric trauma with antenatal problem
L35y400	Other obstetric trauma with postnatal problem
L35z200	Obstetric trauma NOS - delivered with postnatal problem
L35z300	Obstetric trauma NOS with antenatal problem
L35z400	Obstetric trauma NOS with postnatal problem
L360100	Third-stage postpartum haemorrhage - delivered with postnatal problem
L360200	Third-stage postpartum haemorrhage with postnatal problem
L361100	Other immediate postpartum haemorrhage - delivered with postnatal problem
L361200	Other immediate postpartum haemorrhage with postnatal problem
L362200	Secondary postpartum haemorrhage with postnatal problem
L380000	Obstetric anaesthesia with pulmonary complications unspecified
L380z00	Obstetric anaesthesia with pulmonary complications NOS
L382.00	Obstetric anaesthesia with central nervous system complications
L382z00	Obstetric anaesthesia with central nervous system complication NOS
L38B.00	Failed or difficult intubation during the puerperium
L38y.00	Other complications of obstetric anaesthesia
L38y000	Other complications of obstetric anaesthesia unspecified
L38y100	Other complications of obstetric anaesthesia - delivered
L38y200	Other complications of obstetric anaesthesia - delivered with postnatal problem
L38y300	Other complications of obstetric anaesthesia with antenatal problem
L38y400	Other complications of obstetric anaesthesia with postnatal problem
L38z.00	Obstetric anaesthetic complications NOS
L38z000	Obstetric anaesthetic complications NOS, unspecified
L38z100	Obstetric anaesthetic complications NOS - delivered
L38z200	Obstetric anaesthetic complications NOS - delivered with postnatal problem
L38z300	Obstetric anaesthetic complications NOS with antenatal problem
L38z400	Obstetric anaesthetic complications NOS with postnatal problem
L391z00	Obstetric shock NOS
L393z00	Post-delivery acute renal failure NOS
L394.00	Other complications of obstetric procedures
L394000	Other complications of obstetric procedures unspecified
L394200	Other complications of obstetric procedures - delivered with postnatal problem
L394300	Other complications of obstetric procedures with postnatal problem
L394z00	Other complications of obstetric procedures NOS
L39y200	Other complications of labour and delivery - delivered with postnatal problem
L39y300	Other complications of labour and delivery with antenatal problem
L39y400	Other complications of labour and delivery with postnatal problem
L39z000	Complications of labour and delivery NOS, unspecified
L39z200	Complications of labour and delivery NOS - delivered with postnatal problem
L39z400	Complications of labour and delivery NOS with postnatal problem
L431000	Amniotic fluid pulmonary embolism unspecified
L431z00	Amniotic fluid pulmonary embolism NOS
L443.00	Other complication of obstetric surgical wound
L443000	Other complication of obstetric surgical wound unspecified
L443z00	Other complication of obstetric surgical wound NOS
L444z00	Placental polyp NOS
L5...00	Maternal care for fetus
L51..00	Maternal care for other known or suspected fetal problems
L510.00	Maternal care for hydrops fetalis
L511.00	Maternal care for viable fetus in abdominal pregnancy
L512.00	Maternal care for diminished fetal movements
L514.00	Maternal care for poor fetal growth
L51X.00	Maternal care for known or suspected fetal problem, unspecified
Ly...00	Other specified complications of pregnancy, childbirth or the puerperium
Ly2..00	Sequelae of complication of pregnancy, childbirth and the puerperium
Lyu1.00	[X]Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
Lyu2.00	[X]Other maternal disorders predominantly related to pregnancy
Lyu2000	[X]Other haemorrhage in early pregnancy
Lyu2700	[X]Other complications of spinal and epidural anaesthesia during pregnancy
Lyu2800	[X]Other complications of anaesthesia during pregnancy
Lyu3300	[X]Maternal care for other abnormalities of cervix
Lyu3800	[X]Maternal care for other isoimmunization
Lyu3A00	[X]Maternal care for known or suspected fetal problem, unspecified
Lyu3B00	[X]Other disorders of amniotic fluid and membranes
Lyu3C00	[X]Other placental disorders
