H06z011	Chest infection
A7z..00	Other viral or chlamydial disease NOS
N302a00	Osteomyelitis of vertebra
AE1..00	Late effects of acute poliomyelitis
A905200	Syphilitic saddle nose
A340000	Streptococcal angina
K404000	Chronic female pelvic cellulitis
N302700	Osteomyelitis, unspecified
H24..11	Chest infection with infectious disease EC
H540100	Hypostatic bronchopneumonia
N305.00	Tuberculosis of bone
A076000	Enteritis due to adenovirus
N301700	Other chronic osteomyelitis
M030000	Cellulitis and abscess of cheek (external)
A124000	TB lung confirm sputum microscopy with or without culture
A310000	Pulmonary mycobacterium avium-intracellulare infection
N300700	Other acute osteomyelitis
A7y0200	Resp syncytial virus as cause of dis class to other chapters
H042z00	Acute laryngotracheitis NOS
A124700	Primary respiratory TB confirm bact and histologically
A54y.00	Herpes simplex with unspecified complication
A366.00	Meningococcal meningitis with meningococcal septicaemia
2DB5.00	O/E - tonsils - quinsy present
A15..12	Tuberculosis of bones and joints
G010.00	Acute rheumatic pericarditis
H021.00	Acute phlegmonous pharyngitis
F511.11	Chronic secretory otitis media, serous
A270400	Listerial endocarditis
2DC2.00	O/E - granular pharyngitis
H060x00	Acute bacterial bronchitis unspecified
A707000	Chronic viral hepatitis B with delta-agent
J646.00	Calculus of bile duct with cholangitis
ZV01A00	[V]Asymptomatic human immunodeficency virus infection status
K404400	Chronic abscess of the pouch of Douglas
M03y000	Cellulitis and abscess of head unspecified
M083.00	Cellulitis of trunk
K100300	Chronic pyonephrosis
A03y.00	Other specified shigella infection
M02z.00	Cellulitis and abscess of digit NOS
AB05.11	Herpes circinatus
H1y2100	Pharynx or nasopharynx cellulitis
F03..00	Encephalitis, myelitis and encephalomyelitis
H042000	Acute laryngotracheitis without obstruction
A532000	Herpes zoster with dermatitis of eyelid
J620100	Liver abscess due to cholangitis
K280.00	Seminal vesiculitis
H160000	Chronic simple laryngitis
A521.00	Varicella pneumonitis
N302600	Osteomyelitis, unspecified
A78AX00	Chlamydial infection of genitourinary tract, unspecified
G510.00	Acute and subacute bacterial endocarditis
A752.00	Pfeiffer's disease
K241z00	Epididymitis NOS
M143.00	Impetigo herpetiformis
H23..00	Pneumonia due to other specified organisms
M036300	Cellulitis and abscess of lower leg
A380300	Septicaemia due to streptococcus pneumoniae
H05..00	Other acute upper respiratory infections
L284.12	Chorioamnionitis
H040000	Acute oedematous laryngitis
M020z00	Cellulitis and abscess of finger NOS
J550300	Peritonitis - bacterial
A794.00	Ebola virus disease
H357.00	pneumonitis
A3BXB00	Klebsiella pneumoniae/cause/disease classifd/oth chapters
A172z00	Tuberculosis of peripheral lymph nodes NOS
A707.00	Chronic viral hepatitis
A7y0500	Papillomavirus as cause of diseases classif to oth chapters
J644.00	Bile duct calculus with other cholecystitis
4J34.00	HIV viral load
43B4.00	Hepatitis B surface antig +ve
4JU..00	Presence of virus
H1y2300	Retropharyngeal abscess
J55z.00	Peritonitis NOS
J552800	Pericolic abscess
A851.00	Urban cutaneous leishmaniasis
K400000	Acute oophoritis
A311.13	Cutaneous mycobacterial infections
A3A0500	Gas gangrene
AC32.00	Taenia saginata infection
A164.00	Tuberculosis of epididymis
A531100	Geniculate herpes zoster
A04y.00	Other specified bacterial food poisoning
L166000	Genitourinary tract infection in pregnancy unspecified
F040.11	Brain abscess
AC5z.00	Filariasis NOS
A3A0211	Clostridium perfringens infection
H24y200	Pneumonia with pneumocystis carinii
A56z.00	Rubella with no complication NOS
K43..00	Female tuberculous pelvic inflammatory disease
M034014	Cellulitis of palm of hand
F01..00	Meningitis due to other organisms
A789300	HIV disease resulting in Pneumocystis carinii pneumonia
J63X.00	Granulomatous hepatitis, not elsewhere classified
L400z00	Puerperal endometritis NOS
M030600	Cellulitis of face
M032.00	Cellulitis and abscess of trunk
M037.11	Cellulitis and abscess of foot
A789500	HIV disease resulting in Kaposi's sarcoma
M033400	Cellulitis and abscess of forearm
M034.00	Cellulitis and abscess of hand excluding digits
K411000	Chronic endometritis
J54..11	Cellulitis - anus or rectum
A78AW00	Chlamydial infection, unspecified
A076100	Enteritis due to enterovirus
K410.00	Acute uterine inflammatory disease
F032011	Malarial encephalitis
M089.00	Cellulitis of neck
K242z00	Epididymo-orchitis NOS
F530.12	Empyema of mastoid
F011411	Mumps meningitis
A36y100	Meningococcal arthropathy
7423200	Incision of retropharyngeal abscess
A86..11	Sleeping sickness
F04..00	Intracranial and intraspinal abscesses
H120000	Chronic simple rhinitis
A384100	Haemophilus influenzae septicaemia
A311.12	Mycobacterium marinum infection
H22..00	Other bacterial pneumonia
F4K4400	Argyll Robertson pupil
A96..00	Late latent syphilis
J553.00	Acute peritonitis
J55y500	Faecal peritonitis
A97z.00	Syphilis NOS
K40y000	Female syphilitic pelvic inflammatory disease
H530.00	Abscess of lung
A911.00	Primary anal syphilis
A053.00	Amoebic liver abscess
A39z100	Nocardiosis NOS
M037z00	Cellulitis and abscess of foot NOS
A940.11	Locomotor ataxia
H21..11	Chest infection - pneumococcal pneumonia
H060C00	Acute bronchitis due to parainfluenza virus
M084.00	[X]Cellulitis of breast
AE0..00	Late effects of tuberculosis
H270.11	Chest infection - influenza with pneumonia
A14y300	Tuberculosis of mesenteric lymph glands
K213.00	Prostatocystitis
K402300	Oophoritis unspecified
A55..11	Morbilli
A03z.00	Shigellosis NOS
A71..00	Rabies - hydrophobia
H023100	Acute staphylococcal pharyngitis
K242200	Epididymo-orchitis unspecified
A79y.00	Other specific viral infection
H271100	Influenza with pharyngitis
H06..00	Acute bronchitis and bronchiolitis
A55xz00	Measles with other specified complication NOS
H01y.00	Other acute sinusitis
N303600	Osteomyelitis, unspecified
A022300	Arthritis in other bacterial diseases classified elsewhere
A84W.00	Plasmodium malariae malaria without complication
A54z.00	Herpes simplex no complication NOS
A721.00	Mumps meningitis
A380000	Septicaemia due to streptococcus, group A
A54..12	Scrum pox
A661.00	Tick-borne fever
A381000	Septicaemia due to Staphylococcus aureus
K406100	Female pelvic peritonitis unspecified
F530.11	Abscess of mastoid
M08y.00	[X]Cellulitis of other sites
L090000	Endometritis following abortive pregnancy
A173400	Tuberculous keratoconjunctivitis
7426100	Drainage of retropharyngeal abscess
H243.00	Pneumonia with whooping cough
K401.00	Chronic salpingitis and oophoritis
A52z.00	Varicella with no complication NOS
SP13200	Post operative chest infection
A707200	Chronic viral hepatitis C
H221.00	Pneumonia due to pseudomonas
H23..11	Chest infection - pneumonia organism OS
A170z00	Tuberculosis of skin and subcutaneous tissue NOS
A705.00	Other specified viral hepatitis without coma
M15y000	Ritter's disease
A165200	Tuberculosis of testis
K280000	Seminal vesiculitis unspecified
K405100	Pelvic cellulitis unspecified
A3BXA00	Mycoplasma pneumoniae [PPLO] cause/dis classifd/oth chaptr
F04z000	Epidural abscess
M037.00	Cellulitis and abscess of foot excluding toe
SP38000	Septic shock due to transfusion
H201.00	Pneumonia due to respiratory syncytial virus
G510000	Acute bacterial endocarditis
K241000	Epididymitis with abscess
K240000	Orchitis with abscess
K214.00	Prostatitis in diseases EC
A166111	Fallopian tube tuberculosis
AA2..00	Yaws
A3y..00	Other specified bacterial diseases
H27yz00	Influenza with other manifestations NOS
J511300	Diverticulitis of the small intestine unspecified
A981500	Acute gonococcal cervicitis
A6...00	Arthropod-borne viral diseases
A981700	Acute gonococcal salpingitis
A72z.11	Epidemic parotitis
A140.00	Tuberculous peritonitis
J552C00	Iliopsoas abscess
A30..00	Leprosy
A012.00	Paratyphoid fever B
J55y300	Peritonitis due to bile
A14y200	Tuberculosis of small intestine
A94..00	Neurosyphilis
A170800	Tuberculosis verrucosa cutis
F040511	Subdural intracranial abscess
J691.00	Tropical sprue
7004000	Drainage of abscess of brain tissue
H040300	Acute phlegmonous laryngitis
F034.00	Postimmunisation encephalitis
A384000	Gram negative septicaemia NOS
A74..00	Specific diseases due to coxsackie virus
M086.00	Cellulitis of ankle
AA12.00	Vincent's pharyngitis
F034H00	Post hepatitis A vaccination encephalitis
A915.00	Uveitis due to secondary syphilis
H510A00	Staphylococcal pleurisy
K4z..00	Female pelvic inflammatory disease NOS
H510z00	Pleurisy without effusion or active tuberculosis NOS
J643100	Bile duct calculus + acute cholecystitis and obstruction
L402.00	Puerperal peritonitis
A124.00	Resp TB bacteriologically and histologically confirmed
A136100	Tuberculous myelitis
H511.00	Bacterial pleurisy with effusion
A383.00	Septicaemia due to anaerobes
K410400	Acute pyometra or uterine abscess
A180000	Acute miliary tuberculosis of a single specified site
H060A00	Acute bronchitis due to mycoplasma pneumoniae
J62..00	Liver abscess and sequelae of chronic liver disease
L45..00	Obstetric breast infections
A94y600	Rupture of syphilitic cerebral aneurysm
F030611	Rubella encephalitis
F010000	Meningitis due to cryptococcus
A722.00	Mumps encephalitis
A793.00	Rhinovirus
A041.00	Botulism
A703000	Acute hep B with delta-agent (coinfectn) without hep coma
A551.00	Postmeasles pneumonia
65V9.00	Notification of tuberculosis
A4zy300	Encephalitis lethargica
A310.00	Pulmonary mycobacterial infection
A707X00	Chronic viral hepatitis, unspecified
K410100	Acute endomyometritis
A18y.00	Other specified miliary tuberculosis
A841.00	Vivax malaria - benign tertian
A705100	Acute delta-(super)infection of hepatitis B carrier
A364200	Meningococcal endocarditis
H510900	Pneumococcal pleurisy
A3z..00	Other bacterial disease NOS
A78A500	Chlamydial infection of genital organs NEC
J550200	Peritonitis - tuberculous
A848.00	Blackwater fever
K154200	Cystitis in bilharziasis
A623.00	St. Louis encephalitis
A200.00	Bubonic plague
N010800	Staphylococcal arthritis and polyarthritis
A3BXJ00	Helicobacter pylori cause diseases classified other chapters
42Y5.00	RBC malaria parasitaemia count
J661y00	Other cholangitis
AC50.00	Bancroftian filariasis
43D3.00	Legionella antibody positive
A98y300	Gonococcal endocarditis
A270.00	Listeriosis
A14yz00	Other gastrointestinal tract tuberculosis NOS
A3Byz00	Other specified bacterial infection NOS
AyuDG00	[X]Viral infection, unspecified
A010.11	Enteric fever
H20y.00	Viral pneumonia NEC
M145200	Senile dermatitis herpetiformis
K242100	Epididymo-orchitis with no abscess
A4z0.00	Lymphocytic choriomeningitis
L45zz00	Obstetric breast infection NOS
2J23.00	Hepatitis A - current infection
K403100	Acute pelvic cellulitis
H01z.00	Acute sinusitis NOS
A02y.00	Other specified salmonella infection
SP06000	Infect and inflammatory reaction due to internal joint pros
AB2y300	Candidal septicaemia
H530000	Single lung abscess
A38z.00	Septicaemia NOS
L400000	Puerperal endometritis unspecified
A532z00	Herpes zoster with other ophthalmic complication
K24z.00	Orchitis and epididymitis NOS
65VE.00	Notification of AIDS
N010500	Pyogenic arthritis, unspecified
A785200	Cytomegaloviral hepatitis
A654000	Dengue haemorrhagic fever
A6z..00	Arthropod-borne viral disease NOS
N303.00	Osteomyelitis, unspecified
H23z.00	Pneumonia due to specified organism NOS
AC0z.00	Schistosomiasis NOS
H246.00	Pneumonia with aspergillosis
H50z.00	Empyema NOS
A54x.00	Herpes simplex with other specified complication
H262.00	Postoperative pneumonia
J632.00	Hepatitis in other infectious diseases EC
Lyu6C00	[X]Cervicitis following delivery
A420.00	Coxsackie viral meningitis
F01z.00	Meningitis due to organism NOS
N300S00	Other acute osteomyelitis
A1y..00	Other specified tuberculosis
G5y7.00	Sarcoid myocarditis
AC25.00	Liver echinococcus multilocularis
N302z00	Osteomyelitis, unspecified
A171100	Tuberculous erythema nodosum
A78y500	Lassa fever
K15y200	Abscess of bladder
A86..00	Trypanosomiasis
H500100	Empyema with bronchopleural fistula
H1y7500	Abscess of larynx
A163.00	Tuberculosis of other urinary organs
H53z.00	Abscess of lung and mediastinum NOS
J643.00	Bile duct calculus with acute cholecystitis
A850.12	Kala-azar
A054.00	Amoebic lung abscess
J661400	Ascending cholangitis
M15y600	Erythema marginatum in acute rheumatic fever
K420z00	Cervicitis and endocervicitis NOS
J640.00	Gallbladder calculus with acute cholecystitis
H243.11	Pneumonia with pertussis
N300Q00	Other acute osteomyelitis
H530300	Abscess of lung with pneumonia
A384.00	Septicaemia due to other gram negative organisms
H14y600	Lingular tonsillitis
F033z00	Unspecified encephalitis due to other infection EC
K100400	Nonobstructive reflux-associated chronic pyelonephritis
F033.00	Encephalitis due to other infection EC
A124600	Tuberculous pleurisy, conf bacteriologically/histologically
AC53.00	Onchocerciasis
4J32.00	Sample: virus identified
Q434000	Perinatal hepatitis causing jaundice, unspecified
A04..00	Other bacterial food poisoning
J552200	Omental abscess
A3A3.00	Necrobacillosis
K40..00	Ovarian, fallopian tube and pelvic inflammatory diseases
L452z00	Obstetric nonpurulent mastitis NOS
A040.00	Staphylococcal food poisoning
H270z00	Influenza with pneumonia NOS
AA10.00	Vincent's stomatitis
A176.00	Tuberculosis of adrenal glands - Addison's disease
M03..12	Acute lymphangitis of skin excluding digits of hand or foot
N014.00	Arthritis in other bacterial diseases classified elsewhere
F030211	Poliomyelitis encephalitis
A3A4000	Nonpneumonic Legionnaires' disease
A849100	Cerebral malaria
N015z00	Arthropathy associated with other viral disease NOS
A823.00	Queensland tick typhus
A78y.00	Other specified viral and chlamydial diseases
A080500	Haemorrhagic dysentery
J55yz00	Other specified peritonitis NOS
H020.00	Acute gangrenous pharyngitis
A54xz00	Herpes simplex with other specified complication NOS
A788z00	Acquired human immunodeficiency virus infection syndrome NOS
A520.00	Postvaricella encephalitis
M032z00	Cellulitis and abscess of trunk NOS
Q403.00	Tetanus neonatorum
G50z200	Acute pericarditis - pneumococcal
N035.12	Neuropathic arthritis
H202.00	Pneumonia due to parainfluenza virus
F034B00	Post yellow fever vaccination encephalitis
AA...00	Other spirochaetal diseases
N230.00	Infective myositis
G011.00	Acute rheumatic endocarditis
A789000	HIV disease resulting in mycobacterial infection
J431311	Pseudomembranous colitis
AC23000	Echinococcus granulosus infection of bone
A913400	Secondary syphilis of tonsils
AC1..00	Other trematode infections
Ayu8D00	[X]Viral meningitis, unspecified
A403200	Acute paralytic poliomyelitis, wild virus, indigenous
N302P00	Osteomyelitis, unspecified
A173000	Tuberculous chorioretinitis
Ayu0E00	[X]Other viral enteritis
A271.11	Rosenbach erysipeloid
K214600	Prostatitis in trichomoniasis
H033.00	Acute catarrhal tonsillitis
J064200	Inflammatory conditions of jaws
A16..00	Tuberculosis of genitourinary system
J540.11	Perianal cellulitis
F035100	Encephalitis following measles
AC02.11	Asiatic schistosomiasis
F530.00	Acute mastoiditis
H06z112	Acute lower respiratory tract infection
A170300	Tuberculosis - lupus NOS
A00..11	Vibrio cholerae
A98z.00	Gonococcal infections NOS
A12y000	Tuberculosis of mediastinum
H510500	Basal pleurisy
N300712	Other acute osteomyelitis
A10z.00	Primary tuberculous infection NOS
H530100	Multiple lung abscess
K41z100	Endomyometritis unspecified
A919.00	Unspecified secondary syphilis
A120000	Tuberculosis of pleura
H222.00	Pneumonia due to haemophilus influenzae
A15x.00	Tuberculosis of bones and joints
N30zz00	Osteomyelitis, unspecified
N300N00	Other acute osteomyelitis
H501300	Lung empyema NOS
H263.00	Pneumonitis, unspecified
A11z.00	Pulmonary tuberculosis NOS
683B.00	Clostridium difficile toxin detection
H043200	Acute obstructive laryngitis
M070300	Pyoderma ulcerosum tropicalum
J650300	Acute suppurative cholecystitis
A85z.00	Leishmaniasis NOS
A173300	Tuberculous chronic iridocyclitis
A53xz00	Herpes zoster with other specified complication NOS
A31z.00	Mycobacterial disease NOS
K104.00	Xanthogranulomatous pyelonephritis
A851000	Aleppo boil
A271200	Cutaneous erysipeloid
A851100	Baghdad boil
N301600	Other chronic osteomyelitis
K101z00	Acute pyelonephritis NOS
A821400	Mediterranean tick fever
AA26.14	Bone and joint lesions of yaws
K404500	Female chronic pelvic peritonitis
H013.00	Acute sphenoidal sinusitis
H121100	Atrophic pharyngitis
A166100	Tuberculous salpingitis
J512800	Divertic disease/both sml+lge intestin with perforat+abscess
M243200	Poliosis eccentrica
J643000	Bile duct calculus + acute cholecystitis and no obstruction
H1y..00	Other specified diseases of upper respiratory tract
A64..00	Viral encephalitis from other arthropods
A510.00	Cowpox
A14y100	Tuberculosis of large intestine
A073.00	Proteus gastrointestinal tract infection
N010400	Pyogenic arthritis, unspecified
F034J00	Post hepatitis B vaccination encephalitis
J635500	Toxic liver disease with chronic active hepatitis
F034D00	Post polio vaccination encephalitis
A043.00	Other clostridia causing food poisoning
A4...00	Poliomyelitis & other non-arthropod-borne viral diseases-CNS
A32y100	Diphtheritic myocarditis
A120100	Tuberculous empyema
N300711	Other acute osteomyelitis
K284500	Vasitis
Q40A000	Sepsis of newborn due to Staphylococcus aureus
F374400	Polyneuropathy in herpes zoster
J082300	Herpetic aphthous ulceration
A98y500	Gonococcal peritonitis
A36z.00	Meningococcal infection NOS
AA26.15	Periostitis of yaws
L45z.00	Obstetric breast infection NOS
N300.12	Other acute osteomyelitis
F531100	Post aural mastoid fistula
F01y000	Meningitis due to leptospira
A98yy00	Other gonococcal infection of other specified site
A980z00	Acute gonorrhoea of lower genitourinary tract NOS
A17y200	Tuberculosis pericardium
AA2..12	Pian (yaws)
AC7y.00	Mixed intestinal helminthiasis
A3BXD00	H influenzae as cause/diseases classified/other chapters
L040011	Spontaneous abortion with sepsis
A322.00	Anterior nasal diphtheria
AB24.11	Pneumonia - candidal
A851200	Delhi boil
F03X.00	Bacterial meningoencephalitis+meningomyelitis,NEC
F53y000	Postauricular fistula
A271.00	Erysipelothrix infection, unspecified
J661000	Acute cholangitis
N300U00	Other acute osteomyelitis
N301L00	Chronic multifocal osteomyelitis
H24..00	Pneumonia with infectious diseases EC
AA40.00	Nonvenereal endemic syphilis
A172011	Scrofula - tuberculous cervical lymph nodes
G510200	Chronic bacterial endocarditis
F011000	Meningitis due to coxsackie virus
A273.00	Extraintestinal yersiniosis
A125200	Prim respiratory TB without mention of bact or hist confirm
7008100	Aspiration of abscess of brain tissue
F040111	Cerebellar abscess
N302Q00	Osteomyelitis, unspecified
L169z00	Herpes gestationis NOS
H510400	Diaphragmatic pleurisy
AC8y100	Capillaria hepatica
A95y.00	Other specified late syphilis
N302D00	Osteomyelitis of vertebra
G100.00	Adherent rheumatic pericardium
AE02.00	Late effects of genitourinary system tuberculosis
J650400	Acute gangrenous cholecystitis
H240.00	Pneumonia with measles
A125100	Tuberculosis lung bact and histological examin not done
A221.11	Wool-sorters' disease
A707100	Chronic viral hepatitis B without delta-agent
L45z000	Obstetric breast infection NOS, unspecified
H06z.00	Acute bronchitis or bronchiolitis NOS
A311.00	Cutaneous mycobacterial infections
Eu02400	[X]Dementia in human immunodef virus [HIV] disease
A13..00	Tuberculosis of meninges and central nervous system
J631.00	Hepatitis in viral diseases EC
F030411	Herpes simplex encephalitis
H160z00	Chronic laryngitis NOS
A6y..00	Other specified arthropod-borne viral diseases
A66y100	Piry fever
H04..00	Acute laryngitis and tracheitis
M243300	Poliosis -acquired
N010000	Pyogenic arthritis, unspecified
A074000	Staphylococcal gastrointestinal tract infection
A13y.00	Other specified tuberculosis of central nervous system
A761.11	Trachoma inclusion conjunctivitis
J661300	Suppurative cholangitis
L401.00	Puerperal salpingitis
J552900	Pericaecal abscess
A3Bx.00	Bacteria causing diseases classified elsewhere
H061100	Acute obliterating bronchiolitis
A3Ayz00	Other specified bacterial disease NOS
F53y.00	Other mastoid disorders
AA0z.00	Leptospirosis NOS
N301100	Other chronic osteomyelitis
K401200	Chronic salpingo-oophoritis
A3By.00	Other specified bacterial infection
AyuKH11	[X]Coliform bacteria/cause/disease classifd/oth chapters
Q403100	Tetanus omphalitis
F011y00	Other viral meningitis
L171300	Maternal gonorrhoea in pregnancy - baby not yet delivered
L171.00	Maternal gonorrhoea during pregnancy/childbirth/puerperium
H120600	Chronic membranous rhinitis
N302200	Osteomyelitis, unspecified
A15y.00	Tuberculous arthritis
J631z00	Hepatitis in viral diseases EC NOS
F030z00	Encephalitis in viral disease NOS
K404z00	Chronic pelvic inflammatory diseases NOS
J632z00	Hepatitis in infectious diseases EC NOS
J552.00	Other suppurative peritonitis
A941.11	General paralysis of insane
A940.00	Tabes dorsalis - neurosyphilis
A985200	Gonococcal bursitis
F04X.00	Extradural and subdural abscess, unspecified
A32y.00	Other specified diphtheria
A180100	Acute miliary tuberculosis of multiple sites
Lyu6200	[X]Other specified puerperal infection
A33z.00	Whooping cough NOS
H120500	Chronic ulcerative rhinitis
J55y.00	Other specified peritonitis
L175.00	Maternal rubella in pregnancy, childbirth and the puerperium
AC22.00	Thyroid echinococcus granulosus
A10y.00	Other primary progressive tuberculosis
F00y211	Meningitis due to escherichia coli
F035000	Encephalitis following chickenpox
A620.00	Japanese encephalitis
A381100	Septicaemia due to coagulase-negative staphylococcus
A854.00	American cutaneous leishmaniasis
N300X00	Other acute osteomyelitis
N300100	Other acute osteomyelitis
N30z.00	Osteomyelitis, unspecified
A53x.00	Herpes zoster with other specified complication
SP20100	Postoperative septic shock
H241.00	Pneumonia with cytomegalic inclusion disease
N302M00	Osteomyelitis, unspecified
A41..00	Slow viral central nervous system infection
H040400	Acute haemophilus influenzae laryngitis
H511000	Pneumococcal pleurisy with effusion
H060700	Acute streptococcal bronchitis
7034100	Drainage of abscess of subdural space
N304.00	Tuberculosis of spine
F011700	Varicella meningitis
A3BX800	Oth staphylococcus/cause/diseases classified/oth chapters
A985112	Gonococcal tenosynovitis
A3Ay000	Tropical pyomyositis
A31y.00	Other specified mycobacterial disease
A797.00	Papovavirus infection
A785.00	Cytomegalic inclusion disease
H271.00	Influenza with other respiratory manifestation
A403100	Acute paralytic poliomyelitis, wild virus, imported
A57y.00	Other specified viral exanthemata
N300.11	Other acute osteomyelitis
A822000	Siberian tick typhus
A130300	Tuberculous meningoencephalitis
M261G00	Acne agminata
G5yA.00	Rheumatoid carditis
H22yz00	Pneumonia due to bacteria NOS
N010A00	Arthritis in Lyme disease
SP25400	Postoperative septicaemia
A173.00	Tuberculosis of eye
M033200	Cellulitis and abscess of upper arm
A124500	Tuberculosis of larynx, trachea & bronchus conf bact/hist'y
A917.00	Secondary syphilis relapse
A860.00	Chagas' disease with heart involvement
A15z.00	Tuberculosis of bones and joints
A121100	Tuberculosis of mediastinal lymph nodes
A702000	Acute hep B with delta-agent (coinfection) with hep coma
A742z00	Unspecified coxsackie carditis
A94y300	Syphilitic optic atrophy
A022400	Osteopathy in other infectious diseases classified elsewhere
A785100	Cytomegaloviral pancreatitis
R109.00	[D]Laboratory evidence of human immunodefiency virus [HIV]
A72z.00	Mumps with no complication
A789.00	Human immunodef virus resulting in other disease
A261.11	Haverhill fever
H501200	Pleural empyema
AC57.00	Dracontiasis - guinea worm
L451z00	Obstetric breast abscess NOS
A74z.00	Coxsackie viral diseases NOS
A171.00	Tuberculosis with erythema nodosum hypersensitivity reaction
J650000	Acute cholecystitis unspecified
A789600	HIV disease resulting in Burkitt's lymphoma
F01yz00	Other non-bacterial meningitis NOS
J644100	Bile duct calculus + other cholecystitis and obstruction
A124400	TB intrathoracic lymph nodes confirm bact histologically
N010100	Pyogenic arthritis, unspecified
N302S00	Osteomyelitis, unspecified
N300F00	Other acute osteomyelitis
G01..00	Rheumatic fever with heart involvement
N302B00	Osteomyelitis of vertebra
H511z00	Bacterial pleurisy with effusion NOS
F011100	Meningitis due to ECHO virus
K154700	Cystitis in trichomoniasis
J650.11	Abscess of gallbladder
A530.00	Herpes zoster with meningitis
A812.00	Scrub mite-borne typhus
K24..00	Orchitis and epididymitis
N307z00	Poliomyelitis osteopathy NOS
A54x100	Herpes simplex meningitis
A785000	Cytomegaloviral pneumonitis
A3BX600	Unspecf streptococ/cause/diseases classified/oth chapters
J55y000	Chronic proliferative peritonitis
A221.00	Pulmonary anthrax
J651.00	Other cholecystitis
G510z00	Acute and subacute bacterial endocarditis NOS
F011311	Herpes simplex meningitis
A56..13	Liberty measles
A56xz00	Rubella with other specified complication NOS
A15..13	Tuberculous synovitis
A904.00	Juvenile neurosyphilis
A74y.00	Other specified coxsackie virus disease
H22y100	Pneumonia due to proteus
AA00.11	Spirochaetal jaundice
A20..00	Plague
A3BXF00	Pseudomonas as cause/diseases classifd to other chapters
A403.00	Acute paralytic poliomyelitis, unspecified
F011511	Lymphocytic choriomeningitis
A300.00	Lepromatous leprosy (type L)
A12y300	Tuberculosis of nasal sinus
N300300	Other acute osteomyelitis
F040211	Otogenic intracranial abscess
A17z.00	Tuberculosis of other organs NOS
AE23.00	Sequelae of viral hepatitis
A7y0400	Parvovirus as cause of diseases classified to oth chapters
A17y300	Tuberculosis of stomach
J620.00	Liver abscess - excluding amoebic liver abscess
N010600	Pyogenic arthritis, unspecified
A134.00	Tuberculoma of spinal cord
A135.00	Tuberculous abscess of spinal cord
R055200	[D]Endotoxic shock
A910.00	Primary genital syphilis
A75..12	Pfeiffer's disease
N300512	Other acute osteomyelitis
A17y400	Tuberculosis of liver
K242000	Epididymo-orchitis with abscess
H27y000	Influenza with encephalopathy
A30..11	Hansen's disease
J650200	Acute emphysematous cholecystitis
A101.00	Tuberculous pleurisy in primary progressive tuberculosis
K411100	Chronic endomyometritis
A17yz00	Tuberculosis of other specified organs NOS
F00y212	Escherichia coli meningitis
A220.00	Cutaneous anthrax
SP05613	[X] Peritoneal dialysis associated peritonitis
K403000	Acute parametritis
A798.00	Retrovirus infection
F034200	Post paratyphoid vaccination encephalitis
A847.00	Induced malaria
N301712	Other chronic osteomyelitis
N300z00	Other acute osteomyelitis
H501500	Pyopneumothorax
A170.11	Lupus - tuberculous
AC7x.11	Physalopteriasis
A73..11	Parrot fever
AC7x.00	Other specified intestinal helminthiases
A17y.00	Tuberculosis of other specified organs
A370.00	Obstetrical tetanus
AC01.00	Schistosoma mansoni
A4zy400	Von Economo's encephalitis
A130100	Tuberculosis of spinal meninges
A852.00	Asian desert cutaneous leishmaniasis
A121z00	Tuberculosis of intrathoracic lymph nodes NOS
65Y1.00	On tuberculosis chemoprophylaxis
A987.00	Gonococcal proctitis
N017.11	Arthritis in other infectious and parasitic diseases EC
H121600	Chronic follicular pharyngitis
AC30.00	Taenia solium infection, intestinal form
A205.00	Pneumonic plague, unspecified
A11..11	Lung tuberculosis
H510700	Fibrinous pleurisy
J551.00	Pneumococcal peritonitis
A4y..00	Other enterovirus diseases of central nervous system
A0...11	Bacterial food poisoning
A531400	Zoster encephalitis
A554.00	Measles with intestinal complications
H121000	Simple chronic pharyngitis
A170200	Tuberculosis - scrofuloderma
H27y.00	Influenza with other manifestations
A78..00	Other viral or chlamydial diseases
K400800	Subacute salpingitis
J641100	Gallbladder calculus with other cholecystitis + obstruct
A788U00	HIV disease result/haematological+immunologic abnorms,NEC
F033411	Toxoplasmosis encephalitis
AC32.11	Beef tapeworm infection
Q40W.00	Sepsis of newborn due to other+unspecified streptococci
65VD.00	Notification of acute polio
J550400	Chlamydial peritonitis
K101300	Acute pyonephrosis
N302C00	Osteomyelitis of vertebra
A125000	Tuberculosis of lung, bacteriologically & histolog'y neg
A074.00	Other specified gastrointestinal tract bacterial infection
A170.00	Tuberculosis of skin and subcutaneous tissue
A33..11	Bordetella
L090300	Salpingitis following abortive pregnancy
K400700	Subacute salpingo-oophoritis
A54x400	Herpes simplex pneumonia
N302800	Osteomyelitis, unspecified
G012.00	Acute rheumatic myocarditis
A981311	Acute gonococcal orchitis
F040.00	Intracranial abscess
F020.00	Nonpyogenic meningitis
K100z00	Chronic pyelonephritis NOS
J512100	Perforated diverticulum of jejunum
G00..00	Rheumatic fever without heart involvement
F4A5400	Keratitis due to syphilis
A912300	Primary tonsil syphilis
F53y100	Other mastoid disorder NOS
A846.00	Unspecified malaria
A55y.00	Measles with unspecified complication
A39z.00	Actinomycosis unspecified site
N301.12	Other chronic osteomyelitis
A742200	Coxsackie endocarditis
A111.00	Nodular lung tuberculosis
J640100	Gallbladder calculus with acute cholecystitis + obstruction
H060D00	Acute bronchitis due to respiratory syncytial virus
M033z00	Cellulitis and abscess of arm NOS
N300500	Other acute osteomyelitis
