^ESCT1177677	Mononucleosis syndrome
^ESCTEB591321	EBV - Epstein-Barr virus hepatitis
^ESCTEC283417	Echinococcus multilocularis infection
^ESCTEC357268	Echinococcus granulosus thyroid gland infection
^ESCTEC371835	Echinococciasis
^ESCTEC371838	Echinococcus disease
^ESCTEC372604	Echinococcus granulosus pulmonary infection
^ESCTEC372605	Echinococcus granulosus lung infection
^ESCTEC376028	Echovirus exanthem
^ESCTEC474227	Eczema herpeticum
^ESCTEC476785	Echovirus meningitis
^ESCTEC552559	Echovirus infection
^ESCTEM295250	EM - Enteroviral meningitis
^ESCTEM299025	Empyema necessitans
^ESCTEM345110	Empyema thoracis
^ESCTEM552523	Empyema of pleura without fistula
^ESCTEN291069	Endemic typhus
^ESCTEN302488	Enterovirus enteritis
^ESCTEN305522	Encephalitis, viral
^ESCTEN314725	Encephalitis due to Langat virus
^ESCTEN314727	Encephalitis caused by Langat virus
^ESCTEN318247	Enteric paratyphosis
^ESCTEN325909	Endemic pneumonia
^ESCTEN326834	Encephalitis, Western equine
^ESCTEN335865	Encephalitis, Japanese
^ESCTEN336996	Enterovirus infection
^ESCTEN336997	Enteroviral infection
^ESCTEN345640	Endoepidemic hemorrhagic viremia
^ESCTEN345645	Endoepidemic haemorrhagic viraemia
^ESCTEN369944	Endocarditis lenta
^ESCTEN420032	Enteric colibacillosis
^ESCTEN474095	Enteritis caused by rotavirus
^ESCTEN474247	Encephalitis due to Far Eastern tick-borne encephalitis virus
^ESCTEN474266	Enteroviral vesicular pharyngitis
^ESCTEN514654	Enterotoxigenic Escherichia coli gastrointestinal tract infection
^ESCTEN514656	Enteropathogenic Escherichia coli gastrointestinal tract infection
^ESCTEN514660	Enterohaemorrhagic Escherichia coli gastrointestinal tract infection
^ESCTEN514661	Enterohemorrhagic Escherichia coli gastrointestinal tract infection
^ESCTEN514662	Enterohemorrhagic Escherichia coli infection
^ESCTEN514663	Enteroinvasive Escherichia coli gastrointestinal tract infection
^ESCTEN549123	Enteritis caused by specified virus
^ESCTEN549139	Enteroviral vesicular stomatitis with exanthem
^ESCTEN599275	Encephalitis due to influenza
^ESCTEN599276	Encephalitis caused by influenza
^ESCTEN599301	Encephalitis caused by influenza-virus identified
^ESCTEN689946	Encephalitis, Eastern equine
^ESCTEN690941	Encephalitis, St-Louis
^ESCTEN694431	Encephalitis due to rickettsia
^ESCTEN694432	Encephalitis caused by rickettsia
^ESCTEN707893	Encephalitis caused by human herpes simplex virus
^ESCTEN768414	Enteritis caused by Yersinia enterocolitica
^ESCTEO561388	Eosinophilic lung
^ESCTEP273018	Epidemic acute poliomyelitis specified as non paralytic
^ESCTEP273020	Epidemic acute poliomyelitis, non paralytic
^ESCTEP312948	Epidemic typhus
^ESCTEP334511	Epidemic arthritic erythema
^ESCTEP476758	Epidemic meningitis
^ESCTEP479062	Epididymitis associated with another disorder
^ESCTEP479064	Epididymo-orchitis associated with another disorder
^ESCTEP591320	Epstein-Barr virus hepatitis
^ESCTER253099	Erythema induratum
^ESCTER305918	Erythema contagiosum
^ESCTER334512	Erythema arthriticum epidemicum
^ESCTER363181	Erythema chronica migrans
^ESCTER363184	Erythema chronicum migrans skin condition
^ESCTER629756	Erysipelothrix
^ESCTER629757	Erysipelothrix (disease)
^ESCTER629759	Erysipelothrix disease
^ESCTES420031	Escherichia gastroenteritis
^ESCTEU312953	European typhus
^ESCTEU678863	Eumycotic mycetoma
^ESCTEU678865	Eumycetoma
^ESCTEV309776	EVD - Ebola virus disease
^ESCTEV464568	Evacuation of intracranial subdural abscess
^ESCTEX312951	Exanthematic typhus
^ESCTEX338238	Exanthema subitum
^ESCTEX350717	Extradural abscess
^ESCTEX378964	Expanded rubella syndrome
^ESCTEX378966	Extended congenital rubella syndrome
^ESCTEX514791	Extrapulmonary legionella infection
^ESCTEX729419	Exposure to rubella in pregnancy
^ESCTFA351901	Falciparum malaria
^ESCTFA474249	Far Eastern tick-borne encephalitis
^ESCTFE252187	Fever blister
^ESCTFE292054	Fever due to Leptospira autumnalis
^ESCTFE479133	Female pelvic inflammation
^ESCTFE508823	Fecal peritonitis
^ESCTFE563886	Female pelvic cellulitis
^ESCTFI375452	Fibrinous pleuritis
^ESCTFI412294	Filariosis
^ESCTFI412295	Filariasis
^ESCTFI474311	Fievre boutonneuse
^ESCTFI474474	Filariasis caused by Brugia timori
^ESCTFI510266	Fitz-Hugh and Curtis syndrome
^ESCTFI510268	Fitz-Hugh-Curtis syndrome - gonococcal
^ESCTFI561386	Filarial hypereosinophilia
^ESCTFL259791	Flu
^ESCTFL291070	Flea-borne typhus
^ESCTFL291747	Fluke infection
^ESCTFL291751	Fluke disease
^ESCTFL308325	Flexner's dysentery
^ESCTFL312955	Fleckfieber
^ESCTFL389358	Flexner-Strong bacillus
^ESCTFL406389	Flu-like symptoms
^ESCTFO281571	Food poisoning due to Bacillus cereus
^ESCTFO281573	Food poisoning caused by Bacillus cereus
^ESCTFO292052	Fort Bragg Fever
^ESCTFO340288	Fowl plague
^ESCTFO357301	Follicular salpingitis
^ESCTFO357503	Food poisoning due to bacteria
^ESCTFO363840	Food poisoning due to Clostridium perfringens
^ESCTFO363842	Food poisoning caused by Clostridium perfringens
^ESCTFO382016	Food poisoning due to Vibrio parahaemolyticus
^ESCTFO382018	Food poisoning caused by Vibrio parahaemolyticus
^ESCTFO387648	Food poisoning due to staphylococcus
^ESCTFO387654	Food poisoning caused by staphylococcus
^ESCTFR364895	Frambesia
^ESCTFR552479	Framboesioma
^ESCTFR591139	Framboeside of early yaws
^ESCTFU284297	Full lepromatous leprosy
^ESCTFU364040	Full tuberculoid leprosy
^ESCTFU474385	Fusospirochetal pharyngitis
^ESCTFU474386	Fusospirochaetal pharyngitis
^ESCTFU505349	Fungal pneumonia
^ESCTFU514790	Fusobacterial necrotizing tonsillitis
^ESCTFU678864	Fungal mycetoma
^ESCTGA288423	Gangosa of yaws
^ESCTGA288427	Gangosa
^ESCTGA373258	Gambian sleeping sickness
^ESCTGA373260	Gambiense trypanosomiasis infection
^ESCTGA380872	Gas bacillus infection
^ESCTGA380876	Gas gangrene due to Clostridia
^ESCTGA474189	Gas gangrene of foot
^ESCTGA478515	Gangrenous epigastric hernia
^ESCTGA508736	Gallbladder stones
^ESCTGA549129	Gas gangrene caused by clostridium edematiens
^ESCTGA549130	Gas gangrene caused by Clostridium edematiens
^ESCTGA697174	Gastrointestinal infection caused by Klebsiella mobilis
^ESCTGA697175	Gastrointestinal infection caused by Enterobacter aerogenes
^ESCTGA697176	Gastrointestinal infection caused by Aerobacter aerogenes
^ESCTGA773864	Gastrointestinal infection
^ESCTGC274785	GC - Gonococcus infection
^ESCTGC274787	GCI - Gonococcal infection
^ESCTGE284922	Geniculate herpes zoster infection
^ESCTGE334163	General paresis
^ESCTGE334167	General paresis of the insane
^ESCTGE471162	Generalized tuberculosis
^ESCTGE471163	Generalised tuberculosis
^ESCTGE724120	Genital Herpes simplex type 1 infection
^ESCTGE761230	Genital tract infection in puerperium
^ESCTGF552596	GF - Glandular fever
^ESCTGH393589	Ghon tubercle
^ESCTGH393590	Ghon complex
^ESCTGI266981	Giardial enteritis
^ESCTGI344680	Giardiosis
^ESCTGL382626	Glue ear - serous
^ESCTGO258068	Gonococcaemia
^ESCTGO258069	Gonococcemia
^ESCTGO258070	Gonococcal septicemia
^ESCTGO318918	Gonorrhea of rectum
^ESCTGO322153	Gonococcal infection of joint
^ESCTGO322155	Gonococcal rheumatism
^ESCTGO370896	Gonorrhoea of pharynx
^ESCTGO370897	Gonorrhea of pharynx
^ESCTGO370898	Gonococcal pharyngitis
^ESCTGO474373	Gonorrhoea of anus
^ESCTGO474374	Gonorrhea of anus
^ESCTGO478979	Gonococcal cystitis
^ESCTGO479051	Gonococcal prostatitis
^ESCTGP334168	GPI - General paresis of the insane
^ESCTGR256739	Group D shigella
^ESCTGR259792	Grippe
^ESCTGR272798	Group I leprosy
^ESCTGR311090	Gradenigo syndrome
^ESCTGR320234	Group A shigella
^ESCTGR345637	Gripon
^ESCTGR376106	Green monkey disease
^ESCTGR389360	Group B shigella
^ESCTGR478114	Group B streptococcal pneumonia
^ESCTGR635993	Gram-negative septic shock
^ESCTGR635994	Gram-negative shock
^ESCTGS508738	GS - Gallstone
^ESCTGU549148	Guaitara fever
^ESCTGU656794	Guinea-worm infection
^ESCTGU656795	Guinea worm disease
^ESCTHA266084	Haemic distomiasis
^ESCTHA341988	Haemoglobinuric fever
^ESCTHA345638	Haemorrhagic fever due to Junin virus
^ESCTHA359385	Haemorrhagic fever due to Machupo virus
^ESCTHA375864	Harvest fever
^ESCTHA549142	Hand, foot and mouth disease
^ESCTHA659993	Haemorrhagic leptospiral jaundice
^ESCTHA704473	HAP - hospital acquired pneumonia
^ESCTHB459617	HBsAg positive
^ESCTHE252188	Herpes simplex labialis
^ESCTHE259860	Helicobacter-associated disease
^ESCTHE266079	Hemic distomiasis
^ESCTHE284916	Herpes zoster auricularis
^ESCTHE284918	Herpetic geniculate ganglionitis
^ESCTHE284919	Herpes zoster oticus
^ESCTHE284920	Herpes zoster cephalicus
^ESCTHE287152	Herpesviral meningitis
^ESCTHE287534	Herpes infection
^ESCTHE287535	Herpes
^ESCTHE294272	Helminth infection
^ESCTHE294274	Helminthosis
^ESCTHE294808	Hepatic abscess
^ESCTHE304456	Herpes genitalis
^ESCTHE308700	Herpesvirus B infection
^ESCTHE308701	Herpes simiae infection
^ESCTHE315149	Hepatitis A
^ESCTHE320661	Herpetic whitlow
^ESCTHE320662	Herpetic felon
^ESCTHE341987	Hemoglobinuric fever
^ESCTHE344092	Herpes stomatitis
^ESCTHE344094	Herpes simplex gingivostomatitis
^ESCTHE345634	Hemorrhagic fever due to Junin virus
^ESCTHE347155	Herpes simplex vulvitis
^ESCTHE357442	Hepatitis B
^ESCTHE357444	Hepatitis B infection
^ESCTHE359383	Hemorrhagic fever due to Machupo virus
^ESCTHE383824	Head cold
^ESCTHE387995	Herpes circinatus
^ESCTHE392245	Herpes zoster with ophthalmic complications
^ESCTHE393988	Herpes simplex infection
^ESCTHE393990	Herpes simplex complex
^ESCTHE474225	Herpes zoster dermatitis of eyelids
^ESCTHE474235	Herpes simplex ophthalmicus
^ESCTHE474261	Hepatitis non-A non-B
^ESCTHE508657	Hepatitis due to infection
^ESCTHE508660	Hepatitis D superinfection of hepatitis B carrier
^ESCTHE514823	Herpes simplex infection of skin
^ESCTHE607638	Herpetiform aphthous stomatitis
^ESCTHE607640	Herpetiform aphthae
^ESCTHE659994	Hemorrhagic leptospiral jaundice
^ESCTHE700665	Herpes simplex type 2 genital infection
^ESCTHI390497	HIV infection
^ESCTHI390498	HIV - Human immunodeficiency virus infection
^ESCTHI474283	HIV - Human immunodeficiency virus infection constitutional disease
^ESCTHI698194	HIV - Human immunodeficiency virus infection wasting syndrome
^ESCTHI819039	HIV (Human immunodeficiency virus) positive general health check service declined - enhanced services administration
^ESCTHI834271	HIV (human immunodeficiency virus) disease resulting in haematological and immunological abnormalities
^ESCTHS474232	HSV - Anogenital herpes simplex virus infection
^ESCTHT771730	HTLV-I-associated myelopathy
^ESCTHU328220	Humidifier lung
^ESCTHU328223	Humidifier AND/OR air conditioning pneumonitis
^ESCTHU406396	Human immunodeficiency virus infection with persistent generalized lymphadenopathy
^ESCTHU459634	Human immunodeficiency virus (HIV) positive
^ESCTHU459635	Human immunodeficiency virus positive
^ESCTHU474282	Human immunodeficiency virus infection constitutional disease
^ESCTHU474284	Human immunodeficiency virus infection with neurological disease
^ESCTHU514909	Human papillomavirus infection
^ESCTHU698196	Human immunodeficiency virus infection wasting syndrome
^ESCTHU752209	Human immunodeficiency virus (HIV) carrier
^ESCTHU771728	Human T-cell lymphotropic virus 1-associated myelopathy
^ESCTHY272445	Hydrophobia
^ESCTHY337129	Hyperkeratosis of yaws
^ESCTHY371837	Hydatidosis
^ESCTHZ284921	HZO - Herpes zoster oticus
^ESCTIC335445	Iceland disease
^ESCTIC647638	Icterus neonatorum
^ESCTIC659726	Icteric leptospirosis
^ESCTID578771	Idoxuridine adverse reaction
^ESCTIH315150	IH - Infectious hepatitis
^ESCTIM351579	Immunodeficiency due to human immunodeficiency virus infection
^ESCTIM552598	IM - Infective mononucleosis
^ESCTIM552599	IM - Infectious mononucleosis
^ESCTIN251571	Intrauterine sepsis of fetus
^ESCTIN251573	Intrauterine fetal sepsis
^ESCTIN251574	Intrauterine foetal sepsis
^ESCTIN251575	Intrauterine sepsis of foetus
^ESCTIN256655	Infection due to Listeria monocytogenes
^ESCTIN257607	Infection by Salmonella Typhi
^ESCTIN265464	Inflammation of prostate
^ESCTIN266076	Infection by Schistosoma
^ESCTIN266085	Infection caused by Schistosoma
^ESCTIN266978	Infection by Giardia lamblia
^ESCTIN266982	Infection caused by Giardia lamblia
^ESCTIN268145	Inhalational anthrax
^ESCTIN272797	Indeterminate leprosy
^ESCTIN272826	Intraspinal subdural abscess
^ESCTIN274784	Infection due to Neisseria gonorrhoeae
^ESCTIN275134	Infection due to Mycobacterium ulcerans
^ESCTIN278156	Infective tonsillitis
^ESCTIN286102	Infective myocarditis
^ESCTIN286543	Infection by Physaloptera
^ESCTIN286546	Infection caused by Physaloptera
^ESCTIN287516	Infection due to Borrelia burgdorferi sensu lato
^ESCTIN287528	Infection due to Neisseria meningitidis
^ESCTIN288838	Infection of caesarean section AND/OR perineal wound
^ESCTIN291746	Infection by Trematode
^ESCTIN292015	Intestinal infection due to Class Cestoda and/or Class Trematoda and/or Phylum Nemata
^ESCTIN292016	Intestinal infection caused by Class Cestoda and/or Class Trematoda and/or Phylum Nemata
^ESCTIN294278	Infection due to Class Cestoda and/or Class Trematoda and/or Phylum Nemata
^ESCTIN294279	Infection caused by Class Cestoda and/or Class Trematoda and/or Phylum Nemata
^ESCTIN294674	Infection due to Bordetella pertussis
^ESCTIN296270	Inflammatory disease of the uterus
^ESCTIN297761	Infectious myositis
^ESCTIN310576	Inflammatory disease of the cervix
^ESCTIN312043	Infection by Onchocerca volvulus
^ESCTIN312046	Infection caused by Onchocerca volvulus
^ESCTIN315581	Infectious disease
^ESCTIN315582	Infection
^ESCTIN316435	Infection by Leishmania tropica major
^ESCTIN316487	Influenzal bronchopneumonia
^ESCTIN325148	Inflammation of ovary and fallopian tube
^ESCTIN325910	Infection by PPLO
^ESCTIN345438	Infection by Yersinia pestis
^ESCTIN349323	Infective polyarthritis
^ESCTIN349324	Infective arthritis of multiple sites
^ESCTIN353472	Intraspinal epidural abscess
^ESCTIN353474	Intraspinal extradural abscess
^ESCTIN355186	Interstitial pneumonitis
^ESCTIN355941	Infection caused by Clostridium perfringens
^ESCTIN362491	Infection by Taenia saginata
^ESCTIN364898	Infection by Treponema pertenue
^ESCTIN365588	Infection caused by Escherichia coli
^ESCTIN372575	Intestinal infection due to bacteria
^ESCTIN373256	Infection by Trypanosoma gambiense
^ESCTIN373261	Infection caused by Trypanosoma gambiense
^ESCTIN373689	Inflammation of ovary
^ESCTIN373898	Infection by Taenia
^ESCTIN373903	Infection caused by Taenia
^ESCTIN374068	Infection by Treponema pallidum
^ESCTIN374552	Inflamed gallbladder
^ESCTIN375179	Infection by Brugia malayi
^ESCTIN375184	Infection caused by Brugia malayi
^ESCTIN375747	Infection by Leishmania mexicana
^ESCTIN375756	Infection caused by Leishmania mexicana
^ESCTIN375858	Infection due to Leptospira
^ESCTIN376115	Infection by Trypanosoma cruzi
^ESCTIN376120	Infection caused by Trypanosoma cruzi
^ESCTIN376799	Infection by Wuchereria bancrofti
^ESCTIN376803	Infection caused by Wuchereria bancrofti
^ESCTIN381757	Infection due to Mycobacterium leprae
^ESCTIN383821	Infective rhinitis
^ESCTIN383823	Infective nasopharyngitis
^ESCTIN393251	Inflammation of fallopian tube
^ESCTIN393680	Infection due to mycobacteria
^ESCTIN406391	Influenza like illness
^ESCTIN420030	Intestinal infection due to E. coli
^ESCTIN420034	Intestinal infection due to Escherichia coli
^ESCTIN420035	Intestinal infection caused by E. coli
^ESCTIN420036	Intestinal infection caused by Escherichia coli
^ESCTIN440615	Inflammatory disorder of liver
^ESCTIN440617	Inflammatory liver disease
^ESCTIN440834	Infection of digestive system
^ESCTIN442266	Infection of ear
^ESCTIN474087	Infection of gastrointestinal tract by Salmonella enterica subspecies arizonae
^ESCTIN474101	Infiltrative tuberculosis of lung
^ESCTIN474333	Indian visceral leishmaniasis
^ESCTIN474454	Infection by cercariae of schistosoma
^ESCTIN481723	Infective myositis of neck
^ESCTIN481733	Infective myositis of hand
^ESCTIN481739	Infective myositis of lower leg
^ESCTIN487153	Infected arthroplasty
^ESCTIN515252	Infection by Taenia solium
^ESCTIN549136	Infection due to Methicillin resistant Staphylococcus aureus
^ESCTIN549191	Intestinal taenia solium infection
^ESCTIN552594	Infective mononucleosis
^ESCTIN556554	Inflammation of testis
^ESCTIN578748	Inosine pranobex adverse reaction
^ESCTIN591322	Infectious mononucleosis hepatitis
^ESCTIN601382	Infective encephalitis
^ESCTIN601383	Infective meningitis
^ESCTIN656622	Infection-associated arthritis
^ESCTIN656790	Infection by Dracunculus medinensis
^ESCTIN656797	Infection caused by Dracunculus medinensis
^ESCTIN659995	Infection due to Leptospira interrogans
^ESCTIN659996	Infection due to Leptospira icterohemorrhagiae
^ESCTIN660726	Infection due to Clostridium botulinum
^ESCTIN660727	Infection caused by Clostridium botulinum
^ESCTIN672975	Infection caused by Mycoplasma pneumoniae
^ESCTIN677976	Infection due to Bacillus anthracis
^ESCTIN678460	Infection caused by ESBL bacteria
^ESCTIN678461	Infection caused by extended spectrum beta-lactamase producing bacteria
^ESCTIN699238	Inhalation pneumonia
^ESCTIN706646	Infection due to Streptococcus group B
^ESCTIN708362	Infection due to Burkholderia pseudomallei
^ESCTIN708363	Infection due to Whitmore's bacillus
^ESCTIN708364	Infection due to Pseudomonas pseudomallei
^ESCTIN708366	Infection due to Malleomyces pseudomallei
^ESCTIN725165	Inflammation of larynx due to virus
^ESCTIN725166	Inflammation of larynx caused by virus
^ESCTIN726705	Influenza A (H1N1)
^ESCTIN726706	Influenza caused by Influenza A virus subtype H1N1
^ESCTIN729127	Infection caused by Bacteroides fragilis
^ESCTIN730283	Inflammation of bronchiole due to Human metapneumovirus
^ESCTIN730287	Inflammation of bronchiole caused by Human metapneumovirus
^ESCTIN732410	Infection due to Panton-Valentine leucocidin producing Staphylococcus aureus
^ESCTIN732412	Infection caused by Panton-Valentine leucocidin producing Staphylococcus aureus
^ESCTIN732413	Infection caused by Panton-Valentine leukocidin producing Staphylococcus aureus
^ESCTIN749876	Induced termination of pregnancy complicated by parametritis
^ESCTIN749878	Induced termination of pregnancy complicated by pelvic peritonitis
^ESCTIN749894	Induced termination of pregnancy complicated by salpingitis
^ESCTIN749898	Induced termination of pregnancy complicated by sepsis
^ESCTIN749900	Induced termination of pregnancy complicated by septic embolism
^ESCTIN773335	Infection of central nervous system caused by Borrelia burgdorferi
^ESCTIN773865	Infection of gastrointestinal tract
^ESCTIR671793	Irritation of the throat
^ESCTJA308324	Japanese dysentery
^ESCTJA335860	Japanese encephalitis virus disease
^ESCTJA335861	Japanese encephalitis
^ESCTJA335862	Japanese B encephalitis
^ESCTJA375865	Japanese autumnal fever
^ESCTJB335864	JBE - Japanese B encephalitis
^ESCTJU317856	Jungle yellow fever
^ESCTJU345641	Junin hemorrhagic fever
^ESCTJU474389	Juxta-articular nodules of yaws
^ESCTKA474228	Kaposi's varicelliform eruption
^ESCTKA550307	Katamaya syndrome
^ESCTKA550308	Katamaya fever
^ESCTKA695571	Kaposi sarcoma associated with AIDS
^ESCTKA695572	Kaposi's sarcoma associated with acquired immunodeficiency syndrome
^ESCTKE372109	Kew Gardens spotted fever
^ESCTKE474315	Kenyan tick typhus
^ESCTKE477321	Keratitis caused by syphilis
^ESCTKE477323	Keratitis caused by tuberculosis
^ESCTLA251163	Late congenital syphilis, latent (+ sero., - C.S.F., 2 years OR more)
^ESCTLA251164	Late congenital syphilis - latent
^ESCTLA251165	Late congenital syphilis, latent (positive serology - cerebrospinal fluid, 2 years OR more)
^ESCTLA266979	Lambliasis
^ESCTLA269475	Late quaternary syphilitic aortic aneurysm
^ESCTLA280263	Lassa hemorrhagic fever
^ESCTLA282966	Late quaternary syphilitic aortitis
^ESCTLA364390	Laryngeal tuberculosis
^ESCTLA367268	Late tertiary syphilis
^ESCTLA417715	Late effects of poliomyelitis
^ESCTLA474509	Late effects of tuberculosis of bones and/or joints
^ESCTLA549159	Late quaternary neurosyphilis
^ESCTLA660725	Lame sickness
^ESCTLC659842	LCM - Lymphocytic choriomeningitis
^ESCTLE284295	Lepromatous leprosy
^ESCTLE292805	Legionellosis
^ESCTLE312098	Lepromatous cutaneous leishmaniasis
^ESCTLE312099	Leproid leishmaniasis
^ESCTLE375750	Leishmaniasis tegumentaria diffusa
^ESCTLE375754	Leishmania mexicana complex
^ESCTLE375755	Leishmania mexicana complex - infection
^ESCTLE381116	Leishmaniosis
^ESCTLE478117	Legionnaire's disease
^ESCTLE478118	Legionnaires' disease
^ESCTLE478119	Legionnaires disease
^ESCTLE659992	Leptospirosis icterohemorrhagica
^ESCTLG474378	LGV - Lymphogranuloma venereum
^ESCTLI256657	Listerellosis
^ESCTLI265565	Lichen scrofulosorum
^ESCTLI300853	Listeria meningitis
^ESCTLI337707	Libman-Sacks endocarditis
^ESCTLI478736	Liver abscess due to portal pyemia
^ESCTLL284298	LL - Full lepromatous leprosy
^ESCTLO312947	Louse-borne typhus
^ESCTLO312956	Louse-borne typhus fever
^ESCTLO326588	Localized Salmonella infection
^ESCTLO331638	Lower respiratory infection
^ESCTLO382023	Louisiana pneumonia
^ESCTLO478212	Loculated empyema
^ESCTLO514713	Localised cutaneous erysipeloid
^ESCTLO514714	Localized cutaneous erysipeloid
^ESCTLO588768	Lower lobe pneumonia
^ESCTLO656693	Lobular pneumonia
^ESCTLR331640	LRTI - Lower respiratory tract infection
^ESCTLT389641	LTB - Laryngotracheobronchitis
^ESCTLU266735	Lupus exedens
^ESCTLU374067	Lues
^ESCTLU374071	Luetic disease
^ESCTLU512590	Lupus miliaris disseminatum faciei
^ESCTLV266737	LV - Lupus vulgaris
^ESCTLY272446	Lyssa
^ESCTLY474379	Lymphogranuloma inguinale
^ESCTLY505995	Lymphatic oedema
^ESCTLY505996	Lymphatic edema
^ESCTLY505997	Lymphedema
^ESCTMA280697	Malaria by Plasmodium ovale
^ESCTMA283504	Malaria by more than one parasite
^ESCTMA293312	Malaria by Plasmodium vivax
^ESCTMA294311	Malaria by Plasmodium malariae
^ESCTMA294312	Malariae malaria
^ESCTMA334979	Mastoid empyema
^ESCTMA341986	Malarial hemoglobinuria
^ESCTMA341989	Malarial haemoglobinuria
^ESCTMA345636	Mal de Rastrojos
^ESCTMA351902	Malignant tertian malaria
^ESCTMA351903	Malaria by Plasmodium falciparum
^ESCTMA359387	Machupo hemorrhagic fever
^ESCTMA376104	Marburg virus disease
^ESCTMA376107	Marburg haemorrhagic fever
^ESCTMA376108	Marburg hemorrhagic fever
^ESCTMA380873	Malignant edema
^ESCTMA380878	Malignant oedema
^ESCTMA385183	Malarial hepatitis
^ESCTMA474169	Madura foot - actinomycotic
^ESCTMA474330	Malaria caused by simian plasmodia
^ESCTMA474339	Mard el bicha
^ESCTMA479595	Maternal gonorrhea during pregnancy, childbirth and the puerperium
^ESCTMA479603	Maternal gonorrhea during pregnancy - baby not yet delivered
^ESCTME256413	Meningococcemia
^ESCTME256414	Meningococcal septicemia
^ESCTME265093	Meningococcal arthritis
^ESCTME271268	Measles complicated by otitis media
^ESCTME272549	Meningitis due to Cryptococcus
^ESCTME274380	Metritis
^ESCTME287527	Meningococcal infectious disease
^ESCTME287530	Meningococcal disease
^ESCTME344506	Meningitis, viral
^ESCTME406378	Meningitis, bacterial
^ESCTME474314	Mediterranean spotted fever
^ESCTME474337	Mediterranean leishmaniasis
^ESCTME476760	Meningococcal cerebrospinal fever
^ESCTME476764	Meningitis caused by typhoid fever
^ESCTME476768	Meningitis caused by pertussis
^ESCTME476770	Meningitis caused by bacillus pyocyaneus
^ESCTME476776	Meningitis caused by Friedlander bacillus
^ESCTME476777	Meningitis caused by klebsiella pneumoniae
^ESCTME476790	Meningeal sarcoidosis
^ESCTME476792	Meningitis with clear cerebrospinal fluid
^ESCTME478418	Megaesophagus in Chagas' disease
^ESCTME549135	Methicillin resistant Staphylococcus aureus infection
^ESCTME603005	Meningococcal meningitis with acute meningococcal septicemia
^ESCTME604295	Meningococcal meningitis with meningococcal septicemia
^ESCTME770685	Meningitis caused by Histoplasma capsulatum
^ESCTMI293641	Milker's node
^ESCTMI293642	Milker's nodule
^ESCTMI359766	Miscarriage with sepsis
^ESCTMI397365	Mixed intestinal infection due to Class Cestoda and/or Class Trematoda and/or Phylum Nemata
^ESCTMI397366	Mixed intestinal infection caused by Class Cestoda and/or Class Trematoda and/or Phylum Nemata
^ESCTMI552448	Mite-borne typhus due to Rickettsia tsutsugamushi
^ESCTMI552449	Mite-borne typhus
^ESCTMI677975	Milzbrand
^ESCTMO267164	Morganella morganii infection
^ESCTMO383307	Mollaret's meningitis
^ESCTMO383309	Mollaret meningitis
^ESCTMO476780	Morganella morganii meningitis
^ESCTMO478982	Monilial cystitis
^ESCTMO552597	Monocytic angina
^ESCTMR549137	MRSA (Methicillin resistant Staphylococcus aureus) infection
^ESCTMT326982	MTB - Miliary tuberculosis
^ESCTMT351907	MT - Malignant tertian malaria
^ESCTMT351910	MTM - Malignant tertian malaria
^ESCTMU291068	Murine typhus
^ESCTMU358066	Murray River encephalitis
^ESCTMU358067	Murray Valley encephalitis
^ESCTMU481744	Muscle abscess of neck
^ESCTMU481748	Muscle abscess of shoulder
^ESCTMU481750	Muscle abscess of upper arm
^ESCTMU481752	Muscle abscess of forearm
^ESCTMU481756	Muscle abscess of pelvis
^ESCTMU481758	Muscle abscess of thigh
^ESCTMU481760	Muscle abscess of lower leg
^ESCTMU481762	Muscle abscess of foot
^ESCTMU552480	Multiple papillomata of yaws
^ESCTMV358064	MVE
^ESCTMV358065	MVE - Murray Valley encephalitis
^ESCTMY286101	Myocarditis due to infectious agent
^ESCTMY325912	Mycoplasma pneumoniae pneumonia
^ESCTMY335447	Myalgic encephalomyelitis syndrome
^ESCTMY335451	Myalgic encephalitis
^ESCTMY335452	Myalgic encephalopathy
^ESCTMY381758	Mycobacterium leprae infection
^ESCTMY474204	Mycoplasmosis
^ESCTMY678866	Mycotic mycetoma
^ESCTMY678868	Mycetomata
^ESCTMY696095	Mycobacteriosis associated with AIDS
^ESCTMY696096	Mycobacteriosis associated with acquired immunodeficiency syndrome
^ESCTMY771732	Myelopathy caused by Human T-lymphotropic virus 1
^ESCTNA288398	Nairobi sheep virus disease
^ESCTNA354938	Nasal discharge
^ESCTNA354941	Nasal catarrh
^ESCTNA405504	Nail bed infection
^ESCTNE261082	Negishi encephalitis
^ESCTNE261264	Necrotic pneumonia
^ESCTNE261265	Necrotizing pneumonia
^ESCTNE261266	Necrotising pneumonia
^ESCTNE335089	Necrotizing fasciitis
^ESCTNE335090	Necrotizing myositis
^ESCTNE335091	Necrotising myositis
^ESCTNE335092	Necrotising cellulitis
^ESCTNE335093	Necrotizing cellulitis
^ESCTNE375751	Neotropical leishmaniasis
^ESCTNE375752	New World cutaneous leishmaniasis
^ESCTNE478925	Nephropathy associated with vesicoureteral reflux
^ESCTNE558892	Neonatal sepsis
^ESCTNE667328	Neonatal systemic candidiasis
^ESCTNE667329	Neonatal systemic candidosis
^ESCTNE690934	Neuroinvasive St. Louis encephalitis virus infection
^ESCTNE690940	Neuroinvasive Saint Louis encephalitis virus infection
^ESCTNI474377	Nicholas Favre disease
^ESCTNO337706	Nonbacterial verrucal endocardiosis
