^ESCT1165213	Olanzapine pamoate
^ESCTMI1109768	Mintreleq XL 200mg tablets (Aristo Pharma Ltd)
^ESCTMI1109770	Mintreleq XL 300mg tablets (Aristo Pharma Ltd)
^ESCTMI1109772	Mintreleq XL 400mg tablets (Aristo Pharma Ltd)
^ESCTMO802097	Modecate 25mg/1ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)
^ESCTMO803737	Modecate 50mg/2ml solution for injection ampoules (Sanofi)
^ESCTMO803899	Motival 10mg/500microgram tablets (Sanofi)
^ESCTMO804788	Modecate 50mg/2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)
^ESCTMO818665	Motipress tablets (Sanofi-Synthelabo Ltd)
^ESCTMO819985	Modecate 25mg/1ml solution for injection ampoules (Sanofi)
^ESCTMO820054	Modecate Concentrate 100mg/1ml solution for injection ampoules (Sanofi)
^ESCTMO824906	Modecate 12.5mg/0.5ml solution for injection ampoules (Sanofi)
^ESCTMO827929	Modecate Concentrate 50mg/0.5ml solution for injection ampoules (Sanofi)
^ESCTMO833556	Modecate 250mg/10ml solution for injection vials (Sanofi-Synthelabo Ltd)
^ESCTMO863428	Moditen 1mg tablets (Sanofi)
^ESCTMO864723	Moditen 2.5mg tablets (Sanofi)
^ESCTMO864726	Moditen 5mg tablets (Sanofi-Synthelabo Ltd)
^ESCTNE810882	Neulactil 10mg tablets (Sanofi)
^ESCTNE822974	Neulactil 2.5mg tablets (Sanofi)
^ESCTNE832921	Neulactil Forte syrup (Sanofi)
^ESCTNO609738	Nortriptyline 30mg / Fluphenazine 1.5mg tablets
^ESCTNO609741	Nortriptyline 10mg / Fluphenazine 500microgram tablets
^ESCTNO696967	Nortriptyline + Fluphenazine
^ESCTNO696970	Nortriptyline +Fluphenazine
^ESCTNO821322	Nozinan 25mg tablets (Sanofi)
^ESCTNO867784	Nozinan 25mg/1ml solution for injection ampoules (Sanofi)
^ESCTOL415427	Olanzapine
^ESCTOL609438	Olanzapine 5mg tablets
^ESCTOL609440	Olanzapine 5 mg oral tablet
^ESCTOL609441	Olanzapine 7.5mg tablets
^ESCTOL609443	Olanzapine 7.5 mg oral tablet
^ESCTOL609444	Olanzapine 10mg tablets
^ESCTOL609446	Olanzapine 10 mg oral tablet
^ESCTOL609447	Olanzapine 2.5mg tablets
^ESCTOL609449	Olanzapine 2.5 mg oral tablet
^ESCTOL609450	Olanzapine 5mg oral lyophilisates sugar free
^ESCTOL609451	Olanzapine 5mg dispersible tablet
^ESCTOL609452	Olanzapine 10mg oral lyophilisates sugar free
^ESCTOL609453	Olanzapine 10mg dispersible tablet
^ESCTOL638829	Olanzapine 20mg tablets
^ESCTOL638831	Olanzapine 20 mg oral tablet
^ESCTOL641492	Olanzapine 15mg tablets
^ESCTOL641494	Olanzapine 15 mg oral tablet
^ESCTOL645175	Olanzapine 20mg oral lyophilisates sugar free
^ESCTOL645176	Olanzapine 20mg disintegrating tablet
^ESCTOL646296	Olanzapine
^ESCTOL675487	Olanzapine 15mg dispersible tablet
^ESCTOL675488	Olanzapine 15mg disintergrating tablet
^ESCTOL677422	Olanzapine + fluoxetine
^ESCTOL677424	Olanzapine 6 mg and fluoxetine 25 mg/1 each oral capsule
^ESCTOL677426	Olanzapine 6 mg and fluoxetine 50 mg/1 each oral capsule
^ESCTOL677428	Olanzapine 12 mg and fluoxetine 25 mg/1 each oral capsule
^ESCTOL677430	Olanzapine 12 mg and fluoxetine 50 mg/1 each oral capsule
^ESCTOL680466	Olanzapine in parenteral dosage form
^ESCTOL702318	Olanzapine in oral dosage form
^ESCTOL711421	Olanzapine 3 mg and fluoxetine 25 mg/1 each oral capsule
^ESCTOL787324	Olanzapine embonate
^ESCTOL787325	Olanzapine embonate monohydrate
^ESCTOL861847	Olanzapine 15mg oral lyophilisates sugar free
^ESCTOL881938	Olanzapine 10mg powder for solution for injection vials
^ESCTOL997665	Olanzapine embonate 210mg powder and solvent for suspension for injection vials
^ESCTOL997671	Olanzapine embonate 300mg powder and solvent for suspension for injection vials
^ESCTOL997676	Olanzapine embonate 405mg powder and solvent for suspension for injection vials
^ESCTOR863447	Orap 4mg tablets (Eumedica Pharmaceuticals)
^ESCTOR870805	Orap 2mg tablets (Janssen-Cilag Ltd)
^ESCTOX299559	Oxilapine succinate
^ESCTOX609292	Oxypertine 10mg capsules
^ESCTOX609293	Oxypertine 10 mg/1 each oral capsule
^ESCTOX609295	Oxypertine 40mg tablets
^ESCTOX609297	Oxypertine 40 mg oral tablet
^ESCTOX618970	Oxypertine
^ESCTOX655937	Oxypertine
^ESCTPA1018100	Paliperidone 100mg/1ml suspension for injection pre-filled syringes
^ESCTPA1018101	Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes
^ESCTPA1018102	Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes
^ESCTPA1018103	Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes
^ESCTPA704502	Paliperidone
^ESCTPA705443	Paliperidone 3mg extended release tablet
^ESCTPA705647	Paliperidone
^ESCTPA706421	Paliperidone 6mg extended release tablet
^ESCTPA707226	Paliperidone 9mg extended release tablet
^ESCTPA725090	Paliperidone 1.5mg extended release tablet
^ESCTPA760991	Paliperidone palmitate
^ESCTPA942842	Paliperidone 3mg modified-release tablets
^ESCTPA942843	Paliperidone 6mg modified-release tablets
^ESCTPA942844	Paliperidone 9mg modified-release tablets
^ESCTPE316278	Perphenazine
^ESCTPE609302	Pericyazine 2.5mg tablets
^ESCTPE609304	Periciazine 2.5 mg oral tablet
^ESCTPE609305	Pericyazine 10mg tablets
^ESCTPE609307	Periciazine 10 mg oral tablet
^ESCTPE609313	Perphenazine 2mg tablets
^ESCTPE609315	Perphenazine 2 mg oral tablet
^ESCTPE609316	Perphenazine 4mg tablets
^ESCTPE609318	Perphenazine 4 mg oral tablet
^ESCTPE641228	Perphenazine 16 mg oral tablet
^ESCTPE641238	Perphenazine 8 mg oral tablet
^ESCTPE645731	Perphenazine in oral dosage form
^ESCTPE645733	Perphenazine in parenteral dosage form
^ESCTPE646798	Perphenazine
^ESCTPE655944	Pericyazine
^ESCTPE655945	Periciazine
^ESCTPI415424	Pimozide
^ESCTPI609319	Pimozide 2mg tablets
^ESCTPI609321	Pimozide 2 mg oral tablet
^ESCTPI609322	Pimozide 4mg tablets
^ESCTPI609324	Pimozide 4 mg oral tablet
^ESCTPI618962	Pipotiazine
^ESCTPI618963	Pipothiazine
^ESCTPI641456	Pimozide 1mg tablets
^ESCTPI641458	Pimozide 1 mg oral tablet
^ESCTPI646295	Pimozide
^ESCTPI655956	Pipotiazine palmitate
^ESCTPI655957	Pipothiazine palmitate
^ESCTPI656157	Pipotiazine
^ESCTPI656158	Pipothiazine
^ESCTPI864685	Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)
^ESCTPI909899	Piportil Depot 100mg/2ml solution for injection ampoules (Sanofi)
^ESCTPR255995	Prochlorperazine edisylate
^ESCTPR267115	Product containing haloperidol
^ESCTPR286374	Prochlorperazine maleate
^ESCTPR304038	Product containing thioridazine
^ESCTPR316279	Product containing perphenazine
^ESCTPR316659	Product containing fluphenazine
^ESCTPR322010	Promazine
^ESCTPR322011	Product containing promazine
^ESCTPR326520	Product containing chlorpromazine
^ESCTPR346276	Product containing loxapine
^ESCTPR366614	Product containing trifluoperazine
^ESCTPR378684	Prochlorperazine
^ESCTPR378685	Product containing prochlorperazine
^ESCTPR378692	Promazine hydrochloride
^ESCTPR406887	Product containing flupentixol
^ESCTPR406889	Product containing clozapine
^ESCTPR415377	Product containing risperidone
^ESCTPR415425	Product containing pimozide
^ESCTPR415428	Product containing olanzapine
^ESCTPR415430	Product containing quetiapine
^ESCTPR450814	Product containing amisulpride 400 mg/1 each oral tablet
^ESCTPR609206	Product containing chlorpromazine hydrochloride 10 mg/1 each oral tablet
^ESCTPR609209	Product containing chlorpromazine hydrochloride 25 mg/1 each oral tablet
^ESCTPR609212	Product containing chlorpromazine hydrochloride 50 mg/1 each oral tablet
^ESCTPR609215	Product containing chlorpromazine hydrochloride 100 mg/1 each oral tablet
^ESCTPR609237	Product containing benperidol
^ESCTPR609240	Product containing benperidol 250 microgram/1 each oral tablet
^ESCTPR609242	Product containing flupenthixol 3 mg/1 each oral tablet
^ESCTPR609245	Product containing fluphenazine hydrochloride 1 mg/1 each oral tablet
^ESCTPR609248	Product containing fluphenazine hydrochloride 2.5 mg/1 each oral tablet
^ESCTPR609251	Product containing fluphenazine hydrochloride 5 mg/1 each oral tablet
^ESCTPR609254	Product containing haloperidol 1.5 mg/1 each oral tablet
^ESCTPR609257	Product containing haloperidol 5 mg/1 each oral tablet
^ESCTPR609260	Product containing haloperidol 10 mg/1 each oral tablet
^ESCTPR609263	Product containing haloperidol 20 mg/1 each oral tablet
^ESCTPR609271	Product containing haloperidol 0.5 milligram/1 each oral capsule
^ESCTPR609276	Product containing haloperidol 0.5 milligram/1 each oral tablet
^ESCTPR609288	Product containing methotrimeprazine maleate 25 mg/1 each oral tablet
^ESCTPR609289	Product containing levomepromazine maleate 25 mg/1 each oral tablet
^ESCTPR609294	Product containing oxypertine 10 mg/1 each oral capsule
^ESCTPR609296	Product containing oxypertine 40 mg/1 each oral tablet
^ESCTPR609303	Product containing periciazine 2.5 mg/1 each oral tablet
^ESCTPR609306	Product containing periciazine 10 mg/1 each oral tablet
^ESCTPR609314	Product containing perphenazine 2 mg/1 each oral tablet
^ESCTPR609317	Product containing perphenazine 4 mg/1 each oral tablet
^ESCTPR609320	Product containing pimozide 2 mg/1 each oral tablet
^ESCTPR609323	Product containing pimozide 4 mg/1 each oral tablet
^ESCTPR609325	Promazine 25mg tablets
^ESCTPR609326	Product containing promazine hydrochloride 25 mg/1 each oral tablet
^ESCTPR609327	Promazine hydrochloride 25 mg oral tablet
^ESCTPR609328	Promazine 50mg tablets
^ESCTPR609329	Product containing promazine hydrochloride 50 mg/1 each oral tablet
^ESCTPR609330	Promazine hydrochloride 50 mg oral tablet
^ESCTPR609331	Promazine 12.5mg/5mL syrup
^ESCTPR609337	Product containing sulpiride
^ESCTPR609339	Product containing sulpiride 400 mg/1 each oral tablet
^ESCTPR609344	Product containing sulpiride 200 mg/1 each oral tablet
^ESCTPR609349	Product containing thioridazine hydrochloride 10 mg/1 each oral tablet
^ESCTPR609352	Product containing thioridazine hydrochloride 25 mg/1 each oral tablet
^ESCTPR609355	Product containing thioridazine hydrochloride 50 mg/1 each oral tablet
^ESCTPR609358	Product containing thioridazine hydrochloride 100 mg/1 each oral tablet
^ESCTPR609369	Product containing trifluoperazine 1 mg/1 each oral tablet
^ESCTPR609372	Product containing trifluoperazine 5 mg/1 each oral tablet
^ESCTPR609384	Product containing zuclopenthixol 2 mg/1 each oral tablet
^ESCTPR609387	Product containing zuclopenthixol 10 mg/1 each oral tablet
^ESCTPR609390	Product containing zuclopenthixol 25 mg/1 each oral tablet
^ESCTPR609394	Product containing loxapine 10 mg/1 each oral capsule
^ESCTPR609397	Product containing loxapine 25 mg/1 each oral capsule
^ESCTPR609400	Product containing loxapine 50 mg/1 each oral capsule
^ESCTPR609402	Product containing clozapine 25 mg/1 each oral tablet
^ESCTPR609405	Product containing clozapine 100 mg/1 each oral tablet
^ESCTPR609417	Product containing risperidone 1 mg/1 each oral tablet
^ESCTPR609420	Product containing risperidone 2 mg/1 each oral tablet
^ESCTPR609423	Product containing risperidone 3 mg/1 each oral tablet
^ESCTPR609426	Product containing risperidone 4 mg/1 each oral tablet
^ESCTPR609432	Product containing risperidone 6 mg/1 each oral tablet
^ESCTPR609435	Product containing risperidone 0.5 mg/1 each oral tablet
^ESCTPR609439	Product containing olanzapine 5 mg/1 each oral tablet
^ESCTPR609442	Product containing olanzapine 7.5 mg/1 each oral tablet
^ESCTPR609445	Product containing olanzapine 10 mg/1 each oral tablet
^ESCTPR609448	Product containing olanzapine 2.5 mg/1 each oral tablet
^ESCTPR609455	Product containing quetiapine 25 mg/1 each oral tablet
^ESCTPR609458	Product containing quetiapine 100 mg/1 each oral tablet
^ESCTPR609461	Product containing quetiapine 200 mg/1 each oral tablet
^ESCTPR609465	Product containing quetiapine 150 mg/1 each oral tablet
^ESCTPR609468	Product containing amisulpride
^ESCTPR609470	Product containing amisulpride 50 mg/1 each oral tablet
^ESCTPR609473	Product containing amisulpride 200 mg/1 each oral tablet
^ESCTPR609476	Product containing zotepine
^ESCTPR609478	Product containing zotepine 25 mg/1 each oral tablet
^ESCTPR609481	Product containing zotepine 50 mg/1 each oral tablet
^ESCTPR609484	Product containing zotepine 100 mg/1 each oral tablet
^ESCTPR609739	Product containing fluphenazine hydrochloride 1.5 mg and nortriptyline 30 mg/1 each oral tablet
^ESCTPR609742	Product containing fluphenazine hydrochloride 0.5 milligram and nortriptyline 10 milligram/1 each oral tablet
^ESCTPR609745	Product containing amitriptyline hydrochloride 25 mg and perphenazine 2 mg/1 each oral tablet
^ESCTPR609748	Product containing amitriptyline hydrochloride 10 mg and perphenazine 2 mg/1 each oral tablet
^ESCTPR609752	Product containing flupenthixol 0.5 milligram/1 each oral tablet
^ESCTPR609754	Product containing flupenthixol 1 mg/1 each oral tablet
^ESCTPR609902	Prochlorperazine 5mg effervescent granules sachets sugar free
^ESCTPR609903	Prochlorperazine mesylate 5mg/sachet effervescent granules
^ESCTPR609904	Prochlorperazine 3mg buccal tablets
^ESCTPR609905	Prochlorperazine maleate 3mg buccal tablet
^ESCTPR609906	Prochlorperazine 5mg tablets
^ESCTPR609907	Product containing prochlorperazine maleate 5 mg/1 each oral tablet
^ESCTPR609908	Prochlorperazine maleate 5 mg oral tablet
^ESCTPR609909	Prochlorperazine 25mg tablets
^ESCTPR609910	Product containing prochlorperazine maleate 25 mg/1 each oral tablet
^ESCTPR609911	Prochlorperazine maleate 25 mg oral tablet
^ESCTPR609918	Prochlorperazine 5mg suppositories
^ESCTPR609919	Prochlorperazine maleate 5mg suppository
^ESCTPR609920	Prochlorperazine 25mg suppositories
^ESCTPR609921	Prochlorperazine maleate 25mg suppository
^ESCTPR609922	Prochlorperazine maleate 25mg pessary
^ESCTPR609923	Prochlorperazine 25mg suppository
^ESCTPR618949	Product containing droperidol in oral dosage form
^ESCTPR618951	Product containing droperidol in parenteral dosage form
^ESCTPR618953	Product containing haloperidol in oral dosage form
^ESCTPR618955	Product containing haloperidol in parenteral dosage form
^ESCTPR618957	Product containing chlorpromazine in oral dosage form
^ESCTPR618959	Product containing chlorpromazine in parenteral dosage form
^ESCTPR618961	Product containing chlorpromazine in rectal dosage form
^ESCTPR618964	Prochlorperazine in oral dosage form
^ESCTPR618965	Product containing prochlorperazine in oral dosage form
^ESCTPR618966	Prochlorperazine in parenteral dosage form
^ESCTPR618967	Product containing prochlorperazine in parenteral dosage form
^ESCTPR618968	Prochlorperazine in rectal dosage form
^ESCTPR618969	Product containing prochlorperazine in rectal dosage form
^ESCTPR618971	Product containing oxypertine
^ESCTPR637124	Promazine
^ESCTPR637243	Prochlorperazine
^ESCTPR638830	Product containing olanzapine 20 mg/1 each oral tablet
^ESCTPR639471	Product containing haloperidol 1 mg/1 each oral tablet
^ESCTPR640023	Product containing ziprasidone hydrochloride 20 mg/1 each oral capsule
^ESCTPR640025	Product containing ziprasidone hydrochloride 40 mg/1 each oral capsule
^ESCTPR640028	Product containing ziprasidone hydrochloride 60 mg/1 each oral capsule
^ESCTPR640030	Product containing ziprasidone hydrochloride 80 mg/1 each oral capsule
^ESCTPR640228	Product containing fluphenazine hydrochloride 10 mg/1 each oral tablet
^ESCTPR640364	Product containing haloperidol 2 mg/1 each oral tablet
^ESCTPR641029	Product containing loxapine succinate 5 mg/1 each oral capsule
^ESCTPR641126	Product containing thioridazine hydrochloride 150 mg/1 each oral tablet
^ESCTPR641128	Product containing thioridazine hydrochloride 200 mg/1 each oral tablet
^ESCTPR641130	Product containing thioridazine hydrochloride 15 mg/1 each oral tablet
^ESCTPR641229	Product containing perphenazine 16 mg/1 each oral tablet
^ESCTPR641239	Product containing perphenazine 8 mg/1 each oral tablet
^ESCTPR641265	Product containing risperidone 0.25 milligram/1 each oral tablet
^ESCTPR641457	Product containing pimozide 1 mg/1 each oral tablet
^ESCTPR641481	Product containing trifluoperazine hydrochloride 2 mg/1 each oral tablet
^ESCTPR641483	Product containing trifluoperazine hydrochloride 10 mg/1 each oral tablet
^ESCTPR641493	Product containing olanzapine 15 mg/1 each oral tablet
^ESCTPR641766	Prochlorperazine 10 mg/1 each oral capsule
^ESCTPR641767	Product containing prochlorperazine 10 mg/1 each oral capsule
^ESCTPR641768	Prochlorperazine 15 mg/1 each oral capsule
^ESCTPR641769	Product containing prochlorperazine 15 mg/1 each oral capsule
^ESCTPR641770	Prochlorperazine 2.5mg suppository
^ESCTPR641773	Prochlorperazine edisylate 5mg/5mL syrup
^ESCTPR641774	Prochlorperazine maleate 10 mg oral tablet
^ESCTPR641775	Product containing prochlorperazine maleate 10 mg/1 each oral tablet
^ESCTPR641790	Product containing chlorpromazine hydrochloride 200 mg/1 each oral tablet
^ESCTPR642560	Product containing amitriptyline hydrochloride 10 mg and perphenazine 4 mg/1 each oral tablet
^ESCTPR645167	Product containing amitriptyline hydrochloride 25 mg and perphenazine 4 mg/1 each oral tablet
^ESCTPR645169	Product containing amitriptyline hydrochloride 50 mg and perphenazine 4 mg/1 each oral tablet
^ESCTPR645678	Product containing fluphenazine in oral dosage form
^ESCTPR645732	Product containing perphenazine in oral dosage form
^ESCTPR645734	Product containing perphenazine in parenteral dosage form
^ESCTPR645741	Promazine in oral dosage form
^ESCTPR645742	Product containing promazine in oral dosage form
^ESCTPR645745	Promazine in parenteral dosage form
^ESCTPR645746	Product containing promazine in parenteral dosage form
^ESCTPR645750	Product containing trifluoperazine in oral dosage form
^ESCTPR645753	Product containing trifluoperazine in parenteral dosage form
^ESCTPR645760	Product containing thioridazine in oral dosage form
^ESCTPR645762	Product containing zuclopenthixol in oral dosage form
^ESCTPR655968	Prochlorperazine mesilate
^ESCTPR655969	Prochlorperazine mesylate
^ESCTPR664225	Product containing amisulpride 100 mg/1 each oral tablet
^ESCTPR673337	Product containing aripiprazole
^ESCTPR673339	Product containing aripiprazole 5 mg/1 each oral tablet
^ESCTPR673342	Product containing aripiprazole 10 mg/1 each oral tablet
^ESCTPR673345	Product containing aripiprazole 15 mg/1 each oral tablet
^ESCTPR673348	Product containing aripiprazole 20 mg/1 each oral tablet
^ESCTPR673350	Product containing aripiprazole 30 mg/1 each oral tablet
^ESCTPR675176	Product containing risperidone in oral dosage form
^ESCTPR675178	Product containing risperidone in parenteral dosage form
^ESCTPR677419	Product containing clozapine 12.5 mg/1 each oral tablet
^ESCTPR677423	Product containing fluoxetine and olanzapine
^ESCTPR677425	Product containing olanzapine 6 mg and fluoxetine 25 mg/1 each oral capsule
^ESCTPR677427	Product containing olanzapine 6 mg and fluoxetine 50 mg/1 each oral capsule
^ESCTPR677429	Product containing olanzapine 12 mg and fluoxetine 25 mg/1 each oral capsule
^ESCTPR677431	Product containing olanzapine 12 mg and fluoxetine 50 mg/1 each oral capsule
^ESCTPR680467	Product containing olanzapine in parenteral dosage form
^ESCTPR692640	Product containing clozapine 50 mg/1 each oral tablet
^ESCTPR696969	Product containing fluphenazine and nortriptyline
^ESCTPR696987	Product containing amitriptyline and perphenazine
^ESCTPR698395	Product containing aripiprazole 2 mg/1 each oral tablet
^ESCTPR702319	Product containing olanzapine in oral dosage form
^ESCTPR708641	Product containing aripiprazole in parenteral dosage form
^ESCTPR708938	Product containing aripiprazole in oral dosage form
^ESCTPR709274	Product containing flupentixol in oral dosage form
^ESCTPR710120	Product containing flupentixol in parenteral dosage form
^ESCTPR710193	Product containing zuclopenthixol
^ESCTPR710951	Product containing quetiapine 400 mg/1 each oral tablet
^ESCTPR710958	Product containing quetiapine 300 mg/1 each oral tablet
^ESCTPR711422	Product containing olanzapine 3 mg and fluoxetine 25 mg/1 each oral capsule
^ESCTPR719954	Product containing fluphenazine in parenteral dosage form
^ESCTPR725248	Product containing quetiapine 50 mg/1 each oral tablet
^ESCTPR771476	Product containing clozapine in oral dosage form
^ESCTPR811390	Proziere 5mg tablets (Ashbourne Pharmaceuticals Ltd)
^ESCTQU1005060	Quetiapine 150mg modified-release tablets
^ESCTQU415374	Quetiapine fumarate
^ESCTQU415429	Quetiapine
^ESCTQU609454	Quetiapine 25mg tablets
^ESCTQU609456	Quetiapine 25 mg oral tablet
^ESCTQU609457	Quetiapine 100mg tablets
^ESCTQU609459	Quetiapine 100 mg oral tablet
^ESCTQU609460	Quetiapine 200mg tablets
^ESCTQU609462	Quetiapine 200 mg oral tablet
^ESCTQU609464	Quetiapine 150mg tablets
^ESCTQU609466	Quetiapine 150 mg oral tablet
^ESCTQU646297	Quetiapine
^ESCTQU705851	Quetiapine 300mg modified-release tablets
^ESCTQU705852	Quetiapine 300mg extended release tablet
^ESCTQU706451	Quetiapine 200mg modified-release tablets
^ESCTQU706452	Quetiapine 200mg extended release tablet
^ESCTQU706679	Quetiapine 400mg modified-release tablets
^ESCTQU706680	Quetiapine 400mg extended release tablet
^ESCTQU710950	Quetiapine 400 mg oral tablet
^ESCTQU710957	Quetiapine 300mg tablets
^ESCTQU710959	Quetiapine 300 mg oral tablet
^ESCTQU725247	Quetiapine 50 mg oral tablet
^ESCTQU968258	Quetiapine 50mg modified-release tablets
^ESCTRI415376	Risperidone
^ESCTRI609416	Risperidone 1mg tablets
^ESCTRI609418	Risperidone 1 mg oral tablet
^ESCTRI609419	Risperidone 2mg tablets
^ESCTRI609421	Risperidone 2 mg oral tablet
^ESCTRI609422	Risperidone 3mg tablets
^ESCTRI609424	Risperidone 3 mg oral tablet
^ESCTRI609425	Risperidone 4mg tablets
^ESCTRI609427	Risperidone 4 mg oral tablet
^ESCTRI609428	Risperidone 1mg/ml oral solution sugar free
^ESCTRI609429	Risperidone 1mg/mL liquid
^ESCTRI609430	Risperidone 1mg/mL solution
^ESCTRI609431	Risperidone 6mg tablets
^ESCTRI609433	Risperidone 6 mg oral tablet
^ESCTRI609434	Risperidone 500microgram tablets
^ESCTRI609436	Risperidone 0.5 mg oral tablet
^ESCTRI641264	Risperidone 0.25 mg oral tablet
^ESCTRI646285	Risperidone
^ESCTRI675175	Risperidone in oral dosage form
^ESCTRI675177	Risperidone in parenteral dosage form
^ESCTRI675524	Risperidone 1mg orodispersible tablet
^ESCTRI675525	Risperidone 2mg orodispersible tablet
^ESCTRI689303	Risperidone 0.5mg orodispersible tablet
^ESCTRI729711	Risperidone 3mg orodispersible tablet
^ESCTRI729815	Risperidone 4mg orodispersible tablet
^ESCTRI804781	Risperdal 6mg tablets (Janssen-Cilag Ltd)
^ESCTRI811060	Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd)
^ESCTRI815423	Risperdal 4mg tablets (Janssen-Cilag Ltd)
^ESCTRI819508	Risperdal 3mg tablets (Janssen-Cilag Ltd)
^ESCTRI819730	Risperdal 500microgram tablets (Janssen-Cilag Ltd)
^ESCTRI820284	Risperdal 1mg tablets (Janssen-Cilag Ltd)
^ESCTRI829537	Risperdal 2mg tablets (Janssen-Cilag Ltd)
^ESCTRI866637	Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd)
^ESCTRI866642	Risperdal Quicklet 2mg orodispersible tablets (Janssen-Cilag Ltd)
^ESCTRI866778	Risperidone 1mg orodispersible tablets sugar free
^ESCTRI866779	Risperidone 2mg orodispersible tablets sugar free
^ESCTRI867669	Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
^ESCTRI867672	Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
^ESCTRI867731	Risperidone 37.5mg powder and solvent for suspension for injection vials
^ESCTRI867732	Risperidone 50mg powder and solvent for suspension for injection vials
^ESCTRI870577	Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
^ESCTRI870929	Risperidone 25mg powder and solvent for suspension for injection vials
^ESCTRI912134	Risperdal Quicklet 500microgram orodispersible tablets (Janssen-Cilag Ltd)
^ESCTRI912151	Risperidone 500microgram orodispersible tablets sugar free
^ESCTRI936616	Risperdal Quicklet 4mg orodispersible tablets (Janssen-Cilag Ltd)
^ESCTRI936619	Risperdal Quicklet 3mg orodispersible tablets (Janssen-Cilag Ltd)
^ESCTRI936668	Risperidone 3mg orodispersible tablets sugar free
^ESCTRI936669	Risperidone 4mg orodispersible tablets sugar free
^ESCTSE1003702	Seroquel XL 150mg tablets (AstraZeneca UK Ltd)
^ESCTSE1045563	Seotiapim XL 200mg tablets (Sandoz Ltd)
^ESCTSE1045565	Seotiapim XL 400mg tablets (Sandoz Ltd)
^ESCTSE1045567	Seotiapim XL 300mg tablets (Sandoz Ltd)
^ESCTSE609437	Sertindole
^ESCTSE692608	Sertindole
^ESCTSE797801	Seroquel 150mg tablets (AstraZeneca UK Ltd)
^ESCTSE803605	Serenace 10mg tablets (Teva UK Ltd)
^ESCTSE807141	Serenace 5mg tablets (Teva UK Ltd)
^ESCTSE810906	Seroquel 100mg tablets (AstraZeneca UK Ltd)
^ESCTSE812825	Serenace 20mg tablets (Teva UK Ltd)
^ESCTSE818377	Seroquel 200mg tablets (AstraZeneca UK Ltd)
^ESCTSE818979	Serenace 2mg/ml liquid (Teva UK Ltd)
^ESCTSE819637	Serenace 500microgram capsules (Teva UK Ltd)
^ESCTSE820329	Seroquel 25mg tablets (AstraZeneca UK Ltd)
^ESCTSE831771	Serenace 1.5mg tablets (Teva UK Ltd)
^ESCTSE860393	Serenace 5mg/1ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd)
^ESCTSE865626	Serenace 20mg/2ml solution for injection ampoules (IVAX Pharmaceuticals UK Ltd)
^ESCTSE872314	Serdolect 4mg tablets (Lundbeck Ltd)
^ESCTSE872335	Serdolect 12mg tablets (Lundbeck Ltd)
^ESCTSE872338	Serdolect 16mg tablets (Lundbeck Ltd)
^ESCTSE872341	Serdolect 20mg tablets (Lundbeck Ltd)
^ESCTSE872440	Sertindole 12mg tablets
^ESCTSE872441	Sertindole 16mg tablets
^ESCTSE872442	Sertindole 20mg tablets
^ESCTSE872443	Sertindole 4mg tablets
^ESCTSE874488	Seroquel 300mg tablets (AstraZeneca UK Ltd)
^ESCTSE968090	Seroquel XL 200mg tablets (AstraZeneca UK Ltd)
^ESCTSE968094	Seroquel XL 400mg tablets (AstraZeneca UK Ltd)
^ESCTSE968097	Seroquel XL 300mg tablets (AstraZeneca UK Ltd)
^ESCTSE968102	Seroquel XL 50mg tablets (AstraZeneca UK Ltd)
^ESCTSO1028220	Sondate XL 50mg tablets (Teva UK Ltd)
^ESCTSO1028222	Sondate XL 200mg tablets (Teva UK Ltd)
^ESCTSO1028224	Sondate XL 300mg tablets (Teva UK Ltd)
^ESCTSO1028226	Sondate XL 400mg tablets (Teva UK Ltd)
^ESCTSO801200	Solian 50 tablets (Sanofi)
^ESCTSO808069	Solian 400 tablets (Sanofi)
^ESCTSO810216	Solian 200 tablets (Sanofi)
^ESCTSO857460	Solian 100 tablets (Sanofi)
^ESCTSO865688	Solian 100mg/ml oral solution (Sanofi)
^ESCTST801725	Stelazine 5mg tablets (Mercury Pharma Group Ltd)
^ESCTST801755	Stemetil 25mg suppositories (Sanofi)
^ESCTST803069	Stemetil 5mg tablets (Sanofi)
^ESCTST806753	Stelazine 10mg Spansules (Mercury Pharma Group Ltd)
^ESCTST810484	Stelazine 1mg tablets (Mercury Pharma Group Ltd)
^ESCTST811085	Stemetil 5mg/5ml syrup (Sanofi)
^ESCTST811877	Stemetil 25mg tablets (Sanofi)
^ESCTST820306	Stemetil Eff 5mg sachets (Sanofi)
^ESCTST820496	Stemetil 5mg suppositories (Sanofi)
