d4u..	Zotepine
gd6..	Nortriptyline hydrochloride [enuresis - no drugs here]
XaE6Z	Thioridazine retinopathy
x02iZ	Melleril
x03qI	Seroquel
x02m5	Orap
x02cS	Fentazin
X80fX	Integrin beta 1 subunit
x02hz	Loxapac
x03dK	Kentace
x05w0	Zaponex
x05te	Abilify
x02nW	Piportil Depot
x02p5	Redeptin
x02XC	Chloractil
x05h1	Benquil
x02U0	Anquil
x03rg	Solian
x02oi	Proziere
dhg2.	VERTIGON 25mg tablets
x02cz	Fluanxol
x02pc	Rideril
x02mx	Parstelin
d84z.	Tranylcypromine 10mg tablet
d84z.	Tranylcypromine 10mg tablet
dw19.	Tranquilyn 5mg tablet
dw19.	Tranquilyn 5mg tablet
dw1A.	Tranquilyn 10mg tablet
dw1A.	Tranquilyn 10mg tablet
dw1B.	Tranquilyn 20mg tablet
dw1B.	Tranquilyn 20mg tablet
X80fL	Beta chain of CD11 a, b and c
X80fL	CD18 - Cluster of differentiation antigen 18
X80fL	Cluster of differentiation antigen 18
X80fL	Cluster of differentiation antigen 18
X80fL	Integrin adhesion molecule family beta chain
X80gC	CD61 - Cluster of differentiation antigen 61
X80gC	Cluster of differentiation antigen 61
X80gC	Cluster of differentiation antigen 61
X80gC	Glycoprotein IIb/IIIa beta chain
X80gC	gp - Glycoprotein IIb/IIIa beta chain
X80gC	Integrin beta-3 beta chain
X80gC	Vitronectin receptor beta chain
XSFNe	Olanzapine level
XSFNe	Olanzapine level
