ACGE9236HILLI	Actonorm  Gel  
FIGR20244NEMIS	Fibrelief Orange  Granules for Oral Suspension  3.5 grams/sachet
ANOI183	Anusol  Ointment  
MEEN28793EMIS	Mesalazine  Enema  2 grams/59 ml
RATA36862MGEMIS	Ranitidine  Tablets  150 mg (Sandoz)
MAOR90751NEMIS	Macilax  Oral powder sachets  13.8 grams/sachet
NATA9179BRIDL	Navispare  Tablets  
OMCA36315MGEMIS	Omeprazole  Capsules  20 mg (Winthrop Pharmaceuticals )
GLSU35309MGEMIS	Glycerol (Child)  Suppositories  2 gram (Martindale)
MACO35864MGEMIS	Magnesium Trisilicate  Compound tablets  (Sussex Pharm)
ALOI137469NEMIS	Allantoin And Lidocaine  Ointment  0.5 % + 0.5 %
PRRE2325	Prednisolone  Rectal solution  20 mg/100 ml
SAGA52634NEMIS	Salofalk  Gastro-resistant M/R granules  3 gram/sachet
ENEN30006EMIS	Entocort  Enema  20 micrograms/ml, 100 ml enema
MEM/51816NEMIS	Mesalazine  M/R tablets  1 gram
FATA35028MGEMIS	Famotidine  Tablets  20 mg (Kent Pharm)
ANOI4573NEMIS	Anusol Plus Hc  Ointment  
GLSU10323BRIDL	Glycerol (Infant)  Suppositories  1 gram
CHCA102390NEMIS	Cholic Acid  Capsules  50 mg
NICF26997EMIS	Nitrolingual  Cfc-free pump spray  400 micrograms/dose
SCOI2503	Scheriproct  Ointment  
ASOR36671NEMIS	Ashton & Parsons Teething Powders  Oral powder sachets  
RAGR76963NEMIS	Racecadotril  Granules  30 mg/sachet
SOCA17874NEMIS	Sodium Cromoglicate  Capsules  100 mg
NOGR20686EMIS	Normacol  Granules  62 %
SPGR957NEMIS	Spasmonal Fibre  Granules  
META35927MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Kent Pharm)
CAOI15278NEMIS	Castor  Oil  BP
OMCA36328MGEMIS	Omeprazole  Capsules  10 mg (Ranbaxy)
FLIN4923	Flecainide Acetate  Injection  10 mg/ml, 15 ml ampoule
SUE/38262MGEMIS	Sulfasalazine  E/c tablets  500 mg (Unichem)
DOAD345NEMIS	Docusol  Adult Oral Solution  50 mg/5 ml
FRTA1248	Frusemide  Tablets  20 mg
COCA34459MGEMIS	Co-Danthrusate 50/60  Capsules  (Unichem)
APTA78094NEMIS	Apixaban  Tablets  5 mg
OMCA36320MGEMIS	Omeprazole  Capsules  40 mg (Sterwin Medicines)
MESU9446EMIS	Mesalazine  Suppositories  250 mg
GALI34401NEMIS	Gaviscon Double Action Liquid  Liquid (peppermint)  
FLEN8500BRID	Fletchers Phosphate  Enema  long tube
SICH85820NEMIS	Simeticone  Chewable tablets  125 mg
SUTA38264MGEMIS	Sulfasalazine  Tablets  500 mg (A.A.H. Pharm)
LASO35670MGEMIS	Lactulose  Solution  3.35 g/5 ml (Sandoz)
HUOR38501NEMIS	Husk  Oral powder  
OMOR23126NEMIS	Omeprazole  Oral suspension  10 mg/5 ml
CICH8422EGTON	Cimetidine  Chewable tablets  200 mg
ALGE3152	Aludrox  Liquid  4 %
DETA3410	Destolit  Tablets  150 mg
LOCA35797MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Sandoz)
MEGA126932NEMIS	Mesalazine  Gastro-resistant Tablets  1 gram
HYOI20116NEMIS	Hydrocortisone And Lidocaine  Ointment  0.275 % + 5 %
LIOR35755MGEMIS	Liquid Paraffin  Oral emulsion  (Loveridge)
GAOR12802NEMIS	Gaviscon Advance  Oral suspension (peppermint)  
ISDU10518BRIDL	Isosorbide Mononitrate  Durules  60 mg
DOTA9439HILLI	Doxazosin Mesilate  Tablets  2 mg
LASO35676MGEMIS	Lactulose  Solution  3.35 g/5 ml (Generics (UK))
URTA37356MGEMIS	Ursodeoxycholic Acid  Tablets  150 mg (Generics (UK))
PLOR125042NEMIS	Plenvu  Oral powder sachets  
SOOR18525NEMIS	Sodium Alginate And Potassium Bicarbonate  Oral Suspension Sugar Free  500 mg/5 ml + 100 mg/5 ml
GLRE20264NEMIS	Glyceryl Trinitrate  Rectal ointment  0.4 %
HYSU3723	Hydrocortisone  Suppositories  25 mg
TITA47517NEMIS	Ticagrelor  Tablets  90 mg
SASU47513NEMIS	Salofalk  Suppositories  1 gram
LOCA35806MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Vantage)
CITA34351MGEMIS	Cimetidine  Tablets  800 mg (Ivax Pharmaceuticals)
HEDI34660EMIS	Helicobacter Test Infai  Diagnostic Test  
OMCA36335MGEMIS	Omeprazole  Capsules  10 mg (Sterwin Medicines)
HIGR76970NEMIS	Hidrasec Infants  Granules  10 mg/sachet
RATA36858MGEMIS	Ranitidine  Tablets  150 mg (Teva UK)
ACOR124094NEMIS	Acidex Advance  Oral Suspension (Aniseed)  
MIEN3922	Micralax Micro-Enema  Enema  
CITA34349MGEMIS	Cimetidine  Tablets  800 mg (Teva UK)
KAMI35621MGEMIS	Kaolin And Morphine  Mixture  bp (A.A.H. Pharm)
OMCA36317MGEMIS	Omeprazole  Capsules  40 mg (Unichem)
RAOR37835MGEMIS	Ranitidine  Oral solution  Sugar Free 150 mg/10 ml (Unichem)
MASU8408EGTON	Maalox  Suspension  
CADI12708NEMIS	Calcium Carbonate  Dispersible tablets  250 mg
MEM/196NEMIS	Mebeverine Hydrochloride  M/R capsules  200 mg
OMTA14455NEMIS	Omeran  Tablets  20 mg
SUTA38265MGEMIS	Sulfasalazine  Tablets  500 mg (Generics (UK))
LIEM35745MGEMIS	Liquid Paraffin And Magnesium Hydroxide  Emulsion  (Unichem)
NICA8558BRID	Nizatidine  Capsules  300 mg
URTA128532NEMIS	Urea [13-C]  Tablets  50 mg Breath Test Kit
CITA34345MGEMIS	Cimetidine  Tablets  400 mg (A.A.H. Pharm)
SITA16197NEMIS	Simvador  Tablets  40 mg
CAOI37844MGEMIS	Castor  Oil  BP (William Ransom)
BURE25775NEMIS	Budenofalk  Rectal Foam Enema  2 mg, 14 dose can
HITA6655NEMIS	Histac  Tablets  300 mg
COTA25956EMIS	Co-Magaldrox 300/600  Tablets  
OCSU139180NEMIS	NULL
NOSA4771NEMIS	Normacol  Sachets  62 %, 7 grams/sachet
RATA31415EMIS	Raciran  Tablets  300 mg
FRIN35076EMIS	Fragmin  Injection  15,000 units/0.6 ml pre-filled syringe
USCO119022NEMIS	Ustekinumab  Solution for infusion  130 mg/26 ml vial
VACA29705EMIS	Valsartan  Capsules  160 mg
LASO35672MGEMIS	Lactulose  Solution  3.35 g/5 ml (Unichem)
MEM/28977NEMIS	Mesalazine  Gastro-resistant Tablets  800 mg
SIOR17917NEMIS	Simeticone  Oral Suspension Sugar Free  40 mg/ml
BISU3248	Bisacodyl  Suppositories  10 mg
ADM/24028EMIS	Adizem-Xl  M/R capsules  180 mg
BUGA52601NEMIS	Budesonide  Gastro-resistant Granules  9 mg sachets
PRFO4199	Predfoam  Foam  20 mg/application
CITA34354MGEMIS	Cimetidine  Tablets  800 mg (Kent Pharm)
ZOSU34193EMIS	Zoton  Granules for Oral Suspension (Gastro-Resistant)  30 mg/sachet
ANSU3175	Anodesyn  Suppositories  
PRRE30288EMIS	Predenema  Retention enema  long tube, 20 mg/100 ml
FATA7033	Famotidine  Tablets  20 mg
VEGA118062NEMIS	Ventra  Gastro-resistant Capsules  40 mg
PEM/23701EMIS	Pentasa  M/R tablets  500 mg
RATA36857MGEMIS	Ranitidine  Tablets  150 mg (A.A.H. Pharm)
MACA12710NEMIS	Magnesium Carbonate Heavy  Capsules  500 mg
BISU33971MGEMIS	Bisacodyl  Suppositories  10 mg (Kent Pharm)
ESGA45517NEMIS	Esomeprazole  Gastro-resistant Capsules  20 mg
ISTA9945BRIDL	Istin  Tablets  10 mg
OMCA36336MGEMIS	Omeprazole  Capsules  10 mg (Generics (UK))
LASO23988EMIS	Lactugal  Solution  3.1-3.7 grams/5 ml
DYTA5853	Dyspamet  Chewable tablets  200 mg
ATTA231	Atenolol  Tablets  50 mg
HEDI127884NEMIS	Helicobacter Test Infai For Children  Diagnostic Test  
META1807	Metoprolol Tartrate  Tablets  50 mg
RATA36880MGEMIS	Ranitidine  Tablets  300 mg (Goldshield)
LASY1587	Lactulose  Solution  3.1-3.7 g/5 ml
GICA117353NEMIS	Gielism  Capsules  60 mg
COCA34457MGEMIS	Co-Danthrusate 50/60  Capsules  (Kent Pharm)
GAOR36438NEMIS	Gaviscon Peppermint Liquid Relief  Oral suspension  
ASSU9152HILLI	Asacol  Suppositories  250 mg
LASO35675MGEMIS	Lactulose  Solution  3.35 g/5 ml (Alpharma)
ACTA26302EMIS	Acitak  Tablets  400 mg
GATA3632	Gastrocote  Tablets  
AISU29827EMIS	Ailax Forte  Strong Suspension  
LAOR46483NEMIS	Lansoprazole  Oral solution  15 mg/5 ml
LOCA35798MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Alpharma)
RATA34095EMIS	Rabeprazole Sodium  E/c tablets  20 mg
META35925MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Teva UK)
PRSU75953NEMIS	Prednisolone Sodium Phosphate  Suppositories  5 mg
CITA34348MGEMIS	Cimetidine  Tablets  800 mg (Sandoz)
CITA34350MGEMIS	Cimetidine  Tablets  800 mg (Alpharma)
HYSU30085NEMIS	Hydrocortisone  Suppositories  100 mg
PRSU138318NEMIS	Prednisolone Sodium Phosphate (Imported)  Suppositories  5 mg
FATA35022MGEMIS	Famotidine  Tablets  20 mg (Teva UK)
WATA3069	Warfarin Sodium  Tablets  3 mg
COM/101212NEMIS	Cortiment  M/R tablets  9 mg
DICA15545NEMIS	Diasorb  Capsules  2 mg
OMCA36331MGEMIS	Omeprazole  Capsules  10 mg (Wockhardt UK)
CLIN30036EMIS	Clexane  Injection  100 mg/1 ml pre-filled syringe
SAGA16608NEMIS	Salofalk  Gastro-resistant M/R granules  1000 mg/sachet
ROTA4291	Robinul  Tablets  2 mg
GLOR85813NEMIS	Glycopyrronium Bromide  Oral solution  2.5 mg/5 ml
SARE13433NEMIS	Salofalk Foam  Rectal foam  1 gram/application, 80g (14 dose) canister 
COSU9619BRIDL	Co-Danthramer 75/1000  Strong Suspension  Sugar Free
MATA105651NEMIS	Magnesium Oxide  Tablets  160 mg
DIS/9119EMIS	Diltiazem Hydrochloride  M/R tablets  90 mg
OCTA121238NEMIS	Ocaliva  Tablets  10 mg
DICR138660NEMIS	Diltiazem Hydrochloride  Cream  0.2 %
GLSP1314	Glyceryl Trinitrate  Spray  400 micrograms/dose
SETA36934MGEMIS	Senna  Tablets  7.5 mg (Kent Pharm)
RATA36861MGEMIS	Ranitidine  Tablets  150 mg (Ivax Pharmaceuticals)
COSU16159NEMIS	Coalgicarb  Suspension  
DIOI46725NEMIS	Diltiazem Hydrochloride  Ointment  2 %
DIM/18533NEMIS	Dipyridamole And Aspirin  M/R capsules  200 mg + 25 mg
ALSU3149	Altacite Plus  Suspension  
TRTA123813NEMIS	Truberzi  Tablets  100 mg
CITA34334MGEMIS	Cimetidine  Tablets  200 mg (Alpharma)
SETA51966NEMIS	Senokot Dual Relief  Tablets  
RAOR77545NEMIS	Ranitidine  Oral solution  5 mg/5 ml
CITA34341MGEMIS	Cimetidine  Tablets  400 mg (Generics (UK))
SUE/38260MGEMIS	Sulfasalazine  E/c tablets  500 mg (Kent Pharm)
PITA2266	Pindolol  Tablets  5 mg
PHOR16097NEMIS	Phillips Milk of Magnesia  Oral suspension  415 mg/5 ml
CISU20115NEMIS	Cinchocaine And Prednisolone  Suppositories  1 mg + 1.3 mg
PROI32869EMIS	Preparation H  Ointment  
MATA105656NEMIS	Magdose  Tablets  100 mg
LOTA130758NEMIS	Loperamide Hydrochloride And Simeticone  Tablets  2 mg + 125 mg
ENSO136657NEMIS	Entyvio  Solution for injection  108 mg/0.68 ml pre-filled syringe
SPTA2667	Spironolactone  Tablets  25 mg
RAOR125011NEMIS	Ranitidine  Oral Solution, Sugar Free  150 mg/5 ml
TITA5452	Timolol Maleate  Tablets  10 mg
CAOI37843MGEMIS	Castor  Oil  BP (Unichem)
RATA2433	Ranitidine  Tablets  300 mg
FYSA1271	Fybogel Orange  Granules  3.5 grams/sachet
LOTA21150NEMIS	Losartan And Hydrochlorothiazide  Tablets  100 mg + 25 mg
SAE/20662EMIS	Salofalk  Gastro-resistant Tablets  250 mg
PRTA9094BRIDL	Prepulsid  Tablets  10 mg
OBTA121235NEMIS	Obeticholic Acid  Tablets  10 mg
GATA28650EMIS	Gaviscon  Tablets (lemon)  
HACA1337	Half Inderal La  M/R capsules  80 mg
OIIN6308NEMIS	Oily Phenol  Injection  BP 5 %, 5 ml ampoule
TRCA23771EMIS	Trandolapril  Capsules  1 mg
SPCA31973EMIS	Spasmonal Forte  Capsules  120 mg
ORCA102400NEMIS	Orphacol  Capsules  250 mg
PROR48272NEMIS	Propantheline Bromide  Oral suspension  15 mg/5 ml
RETA42098NEMIS	Resolor  Tablets  1 mg
MESO30550NEMIS	Methylnaltrexone Bromide  Solution for injection  12 mg/0.6 ml vial
OMCA36324MGEMIS	Omeprazole  Capsules  40 mg (A.A.H. Pharm)
STCO119023NEMIS	Stelara  Concentrate For Solution For Infusion  130 mg/26 ml vial
OMTA1186NEMIS	Omeprazole  Tablets (Gastro-Resistant)  10 mg
LOTA1191NEMIS	Losec Mups  Tablets  40 mg
SOMI29834NEMIS	Sodium Bicarbonate  Mixture  Paediatric
SOOR17897NEMIS	Sodium Picosulfate  Oral Solution, Sugar Free  5 mg/5 ml
SAEN28790EMIS	Salofalk  Enema  2 grams/59 ml
DUOR41121NEMIS	Dulcobalance  Oral powder sachets  10 grams/sachet
OCGA76942NEMIS	Octasa Mr  Gastro-resistant Tablets  400 mg
GLSU35307MGEMIS	Glycerol (Child)  Suppositories  2 gram (A.A.H. Pharm)
WIGE71626NEMIS	Wind-Eze  Gel Capsules  125 mg
PEOI29389EMIS	Peppermint  Oil  bp
ESTA5124NEMIS	Esomeprazole  Gastro-resistant Tablets  20 mg
RITA133943NEMIS	Rizmoic  Tablets  200 micrograms
MEGA48145NEMIS	Mezzopram  Dispersible (Gastro-Resistant) Tablets  40 mg
DOMI9584EMIS	Docusate Sodium  Micro-enema  120 mg/10 gram enema
OMOR45586NEMIS	Omeprazole  Oral suspension  5 mg/5 ml
OMTA14456NEMIS	Omeran  Tablets  40 mg
PEE/34097EMIS	Peppermint Oil  E/c capsules  0.2 ml
PECH46537NEMIS	Pepcidtwo  Chewable tablets  
NICA36246MGEMIS	Nizatidine  Capsules  300 mg (A.A.H. Pharm)
RAIN36856MGEMIS	Ranitidine  Injection  25 mg/ml, 2 ml ampoule (Goldshield)
BUTA434	Bumetanide  Tablets  1 mg
ANOI3174	Anodesyn  Ointment  
MACO35863MGEMIS	Magnesium Trisilicate  Compound tablets  (Unichem)
EZTA15252NEMIS	Ezetrol  Tablets  10 mg
ANSU186	Anusol-Hc  Suppositories  
PETA10771BRIDL	Peptimax 400  Tablets  400 mg
PEM/1723NEMIS	Pentasa  M/R granules  1 gram/sachet
PRTA10180BRIDL	Propranolol Hydrochloride  M/R capsules  80 mg
NICA36238MGEMIS	Nizatidine  Capsules  150 mg (Ivax Pharmaceuticals)
FRIN11628NEMIS	Fragmin  Injection  7,500 units/0.3 ml pre-filled syringe
COCA31631EMIS	Colazide  Capsules  750 mg
NICA36241MGEMIS	Nizatidine  Capsules  150 mg (Teva UK)
FATA35021MGEMIS	Famotidine  Tablets  40 mg (A.A.H. Pharm)
SUE/17828NEMIS	Sulfasalazine  E/c tablets  500 mg
URCA37352MGEMIS	Ursodeoxycholic Acid  Capsules  250 mg (Unichem)
SOCA17895NEMIS	Sodium Picosulfate  Capsules  2.5 mg
URTA32494EMIS	Ursogal  Tablets  150 mg
ALTA33663MGEMIS	Aluminium Hydroxide  Tablets  Chewable 500 mg (The Boots Company)
LACA35653MGEMIS	Lansoprazole  Capsules (Gastro-Resistant)  15 mg (Kent Pharm)
LESU101262NEMIS	Lecicarbon C  Suppositories  
ANSU3183	Anugesic-Hc  Suppositories  
NEPO17145NEMIS	Nexium I.V.  Powder For Solution For Injection/Infusion  40 mg vial
SETA36932MGEMIS	Senna  Tablets  7.5 mg (Alpharma)
DAIN35083EMIS	Dalteparin Sodium  Injection  12,500 units/0.5 ml pre-filled syringe
MATA5778	Maalox Tc  Tablets  
ZATA16093NEMIS	Zantac 75 Relief  Tablets  75 mg
KAMI37782MGEMIS	Kaolin  Mixture  BP (Thornton & Ross)
RECH48788NEMIS	Rennie Peppermint  Chewable tablets  
HYSU35474MGEMIS	Hydrotalcite  Suspension  500 mg/5 ml (A.A.H. Pharm)
CASUEGTON6074	Carbalax  Suppositories  1.69 grams + 1.08 grams
RAEF36850MGEMIS	Ranitidine  Effervescent tablets  150 mg (Kent Pharm)
LILI35752MGEMIS	Liquid Paraffin B.P.  Liquid  (The Boots Company)
CITA627	Cimetidine  Tablets  400 mg
CATA483	Captopril  Tablets  25 mg
RATA36869MGEMIS	Ranitidine  Tablets  300 mg (Unichem)
SEBA73925NEMIS	Secura  Barrier cream  
LAOR14900NEMIS	Lansoprazole  Orodispersible tablets (Gastro-Resistant)  30 mg
ALCA4572	Aluminium Hydroxide  Capsules  475 mg
ALTA5798	Algicon  Tablets  
ZICR132971NEMIS	Zinc Oxide And Lidocaine  Cream  6.6 % + 0.7 %
NICA138312NEMIS	Nizatidine (Imported)  Capsules  150 mg
BETA17553NEMIS	Bendroflumethiazide  Tablets  2.5 mg
ANSU4571NEMIS	Anusol Plus Hc  Suppositories  
ZOCA24444EMIS	Zoton  Capsules (Gastro-Resistant)  30 mg
URTA78637NEMIS	Ursodeoxycholic Acid  Tablets  500 mg
NICA36236MGEMIS	Nizatidine  Capsules  150 mg (Alpharma)
GLSU37809MGEMIS	Glycerol (Adult)  Suppositories  4 gram (A.A.H. Pharm)
MITA14653NEMIS	Micardis Plus  Tablets  80 mg/12.5 mg
SEGR5089NEMIS	Senna And Ispaghula  Granules  12.4 % + 54.2 %
SAGA16609NEMIS	Salofalk  Gastro-resistant M/R granules  500 mg/sachet
PLTA34066EMIS	Plavix  Tablets  75 mg
MOTA104791NEMIS	Moventig  Tablets  12.5 mg
WICH85821NEMIS	Wind-Eze  Chewable tablets  125 mg
XECA52615NEMIS	Xenbilox  Capsules  250 mg
ADTA9102HILLI	Adizem-Sr  M/R tablets  120 mg
TRTI12696NEMIS	Tritace  Titration pack  7 x 2.5 mg, 21 x 5 mg, 7 x 10 mg
GAPO33671EMIS	Gaviscon Infant  Powder  
ISSA25806EMIS	Ispaghula Husk  Oral Powder Sugar And Gluten Free  6 grams/sachet
DITA19083NEMIS	Diovan  Tablets  40 mg
PYDI34662EMIS	Pylobactell  Diagnostic Test  
LITA30125EMIS	Lipitor  Tablets  20 mg
NACA4009	Nalcrom  Capsules  100 mg
FLRE6306NEMIS	Fletchers Arachis Oil  Retention enema  130 ml
DULI44988NEMIS	Dulcolax Pico  Liquid  5 mg/5 ml
PACA22006EMIS	Pancrease Hl  Capsules (Gastro-Resistant)  
DYSU10204BRIDL	Dyspamet  Suspension  
VESO136656NEMIS	Vedolizumab  Solution for injection  108 mg/0.68 ml pre-filled disposable device
FRIN209NEMIS	Fragmin  Injection  10,000 units/1 ml, graduated pre-filled syringe
ELTA51809NEMIS	Eliquis  Tablets  2.5 mg
ACOR21514NEMIS	Acidex  Oral suspension  Aniseed
LUCA82699NEMIS	Lubiprostone  Capsules  24 micrograms
RAOR37836MGEMIS	Ranitidine  Oral solution  Sugar Free 150 mg/10 ml (A.A.H. Pharm)
LITA18535NEMIS	Lisinopril And Hydrochlorothiazide  Tablets  10 mg + 12.5 mg
DUPA8993EGTON	Dulcolax  Paediatric suppositories  5 mg
BUOR127694NEMIS	Budesonide  Orodispersible Tablets (Sugar Free)  1 mg
SITA10078BRIDL	Simvastatin  Tablets  20 mg
GESU3495NEMIS	Germoloids  Suppositories  
OMCA36327MGEMIS	Omeprazole  Capsules  40 mg (Winthrop Pharmaceuticals )
LAOR33492NEMIS	Laxido Natural  Oral powder  13.7 grams/sachet
KALI1542	Kaolin Mixture Paediatric  Liquid  
CATA31824EMIS	Candesartan Cilexetil  Tablets  16 mg
VATA18545NEMIS	Valsartan And Hydrochlorothiazide  Tablets  160 mg + 12.5 mg
OMCA36325MGEMIS	Omeprazole  Capsules  40 mg (Sandoz)
MOPO76087NEMIS	Movicol Paediatric Chocolate  Powder sachets  6.9 grams/sachet
PACA2154	Pancrex V  Capsules  
BIE/33987MGEMIS	Bisacodyl  E/c tablets  5 mg (Unichem)
CAE/28376EMIS	Caprin  E/c tablets  75 mg
URCA4482	Ursofalk  Capsules  250 mg
NUCA9019EGTON	Nutrizym Gr  Capsules+e/c pellets  
GEOI78295NEMIS	Germoloids  Ointment  
OMCA36309MGEMIS	Omeprazole  Capsules  20 mg (Ranbaxy)
SETA139562NEMIS	NULL
RATA16399NEMIS	Ramipril  Tablets  1.25 mg
ASLI15745NEMIS	Asilone Heartburn  Liquid  
RATA36871MGEMIS	Ranitidine  Tablets  300 mg (A.A.H. Pharm)
MELI10477BRIDL	Mebeverine  Oral Suspension Sugar Free  50 mg/5 ml
COCA78564NEMIS	Constella  Capsules  290 micrograms
COOR90153NEMIS	Cosmocol Orange Flavour  Oral powder sachets  
SUE/38263MGEMIS	Sulfasalazine  E/c tablets  500 mg (Generics (UK))
CAOI37841MGEMIS	Castor  Oil  BP (Loveridge)
CIOR46556NEMIS	Citrafleet  Oral powder  15.08 gram sachets
BIE/33986MGEMIS	Bisacodyl  E/c tablets  5 mg (Kent Pharm)
KAMI35624MGEMIS	Kaolin And Morphine  Mixture  bp (Unichem)
OMOR135579NEMIS	Omeprazole  Oral Suspension Sugar Free  10 mg/5 ml
IVTA21628NEMIS	Ivabradine  Tablets  5 mg
MAOR124312NEMIS	Maalox  Oral suspension  175 mg/5 ml + 200 mg/5 ml
DIM/30709EMIS	Dipyridamole  M/R capsules  200 mg
ATTA10910BRIDL	Atenolol  Tablets  25 mg
LOCA35805MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (Kent Pharm)
RAOR37834MGEMIS	Ranitidine  Oral solution  Sugar Free 150 mg/10 ml (Rosemont Pharm)
CAOR29079NEMIS	Califig California Syrup Of Figs  Oral solution  2.5 mg/5 ml
RACA8952EMIS	Ramipril  Capsules  5 mg
NUCA21978EMIS	Nutrizym 22  Capsules  
ANSU184	Anusol  Suppositories  
HETA11588NEMIS	Helimet  Tablets And Capsules  
LASO35671MGEMIS	Lactulose  Solution  3.35 g/5 ml (A.A.H. Pharm)
ATTA33904MGEMIS	Atropine Sulfate  Tablets  600 micrograms (Kent Pharm)
MEGA16606NEMIS	Mesalazine  Gastro-resistant M/R granules  1000 mg/sachet
OMTA1187NEMIS	Omeprazole  Tablets (Gastro-Resistant)  20 mg
TRTA5463	Tranexamic Acid  Tablets  500 mg
RESO35055EMIS	Regulose  Solution  3.35 grams/5 ml
SOOR40340NEMIS	Sodibic  Oral solution  1 mmol/ml
RATA36865MGEMIS	Ranitidine  Tablets  150 mg (Ranbaxy)
BISU88717NEMIS	Bismuth Subgallate  Suppositories  300 mg
MACO5091NEMIS	Macrogol  Compound Oral Powder (sachets)  NPF Sugar Free
CLIN12835NEMIS	Clexane Forte  Injection  120 mg/0.8 ml, pre-filled syringe
SESA5090NEMIS	Senna And Ispaghula  Sachets  12.4 % + 54.2 %, 4 grams/sachet
LOCA9369BRIDL	Losec  Capsules  20 mg
SUOR136318NEMIS	Sucralfate  Oral suspension  1 gram/5 ml
ANTA9568BRIDL	Angettes 75  Tablets  75 mg
OMCA36305MGEMIS	Omeprazole  Capsules  20 mg (Unichem)
FYEF82076NEMIS	Fybogel Hi-Fibre  Effervescent granules (orange)  3.5 gram sachet
OMPO4912NEMIS	Omeprazole  Powder with solvent for injection  40 mg vial
COCA34456MGEMIS	Co-Danthrusate 50/60  Capsules  (A.A.H. Pharm)
SITA29406EMIS	Simvastatin  Tablets  40 mg
BUCA35547EMIS	Budesonide  Capsules (Gastro-Resistant)  3 mg
GLOR85811NEMIS	Glycopyrronium Bromide  Oral suspension  2.5 mg/5 ml
SAEN2477	Salazopyrin  En-tablets  500 mg
OMCA36329MGEMIS	Omeprazole  Capsules  10 mg (Ivax Pharmaceuticals)
NOGR8981EGTON	Normacol Plus  Granules  
RATA36866MGEMIS	Ranitidine  Tablets  150 mg (Alpharma)
NOSU25393EMIS	Normax  Suspension  
PAPO9015EGTON	Pancrex V  Powder  
NICA36240MGEMIS	Nizatidine  Capsules  150 mg (A.A.H. Pharm)
PEPO36819NEMIS	Pectigel  Powder  
DOM/6439NEMIS	Doxazosin Mesilate  M/R tablets  4 mg
COTA9352HILLI	Co-Phenotrope 2.5/0.025  Tablets  
LOIN932NEMIS	Losec  Powder for solution for infusion  40 mg vial
MAOR13791NEMIS	Macrogol  Oral Powder (sachets)  10 grams/sachet (Macrogol 4000)
RATA35233EMIS	Ranitidine  Tablets  75 mg
ZOOR14902NEMIS	Zoton Fastab  Orodispersible tablets (Gastro-Resistant)  15 mg
MALI35868MGEMIS	Magnesium Trisilicate Mixture  Liquid  (Unichem)
PHOR123999NEMIS	Phospho-Soda  Oral solution  24.4 gram + 10.8 gram
CLIN9280EMIS	Clexane  Injection  20 mg/0.2 ml pre-filled syringe
RAEF17935EMIS	Ranitidine  Effervescent tablets  150 mg
ISEF12657NEMIS	Ispaghula Husk Sugar and Gluten Free  Effervescent granules  3.5 grams/sachet
MATA1720	Marevan  Tablets  1 mg
UNSU21984EMIS	Uniroid Hc  Suppositories  
NICA36244MGEMIS	Nizatidine  Capsules  300 mg (Unichem)
RAEF36854MGEMIS	Ranitidine  Effervescent tablets  300 mg (Alpharma)
OMCA36333MGEMIS	Omeprazole  Capsules  10 mg (Kent Pharm)
RAEF36849MGEMIS	Ranitidine  Effervescent tablets  150 mg (Sandoz)
TETA2801	Tenormin Ls  Tablets  50 mg
RETA48792NEMIS	Rennie Fruit  Tablets  500 mg
RATA2432	Ranitidine  Tablets  150 mg
SUSU22836EMIS	Sucralfate  Oral Suspension Sugar Free  1 gram/5 ml
FATA35019MGEMIS	Famotidine  Tablets  40 mg (Generics (UK))
NATA104789NEMIS	Naloxegol Oxalate  Tablets  25 mg
ISS/9640HILLI	Isosorbide Mononitrate  M/R tablets  60 mg
SUSU17835NEMIS	Sulfasalazine  Suspension  250 mg/5 ml
URTA117914NEMIS	Ursodeoxycholic Acid  Tablets  250 mg
GLSU37805MGEMIS	Glycerol (Adult)  Suppositories  4 gram (Ivax Pharmaceuticals)
VIOR123763NEMIS	Vistaprep  Oral powder  110 gram sachet
TRTA5479	Tripotassium Dicitratobismuthate  Tablets  120 mg
CITA34340MGEMIS	Cimetidine  Tablets  400 mg (Unichem)
NICA36250MGEMIS	Nizatidine  Capsules  300 mg (Sandoz)
ZITA23672EMIS	Zita  Tablets  400 mg
DIOR17626NEMIS	Dicycloverine  Oral solution  10 mg/5 ml
PRSU8641EGTON	Predsol  Suppositories  5 mg
PATA199NEMIS	Pantoprazole  Gastro-resistant Tablets  20 mg
MACO8931EGTON	Magnesium Trisilicate  Compound powder  
OMCA36321MGEMIS	Omeprazole  Capsules  40 mg (Generics (UK))
CYTA8308EGTON	Cytotec  Tablets  200 micrograms
PRTA10455HILLI	Pravastatin  Tablets  10 mg
SESY2534	Senna  Oral Solution, Sugar Free  7.5 mg/5 ml
PRIN35342EMIS	Protium I.V.  Powder For Solution For Injection  40 mg/vial
SOOR138938NEMIS	Sodium Cromoglicate  Oral Solution, Sugar Free  100 mg/5 ml unit dose ampoule
FRIN35077EMIS	Fragmin  Injection  18,000 units/0.72 ml pre-filled syringe
ASTA15744NEMIS	Asilone Heartburn  Tablets  
GLSU37807MGEMIS	Glycerol (Adult)  Suppositories  4 gram (Unichem)
