emis	description
PRCA18435NEMIS	Pregabalin  Capsules  300 mg
RECA100513NEMIS	Rewisca  Capsules  25 mg
SOTA2630	Sodium Valproate  E/c tablets  200 mg
TESU24180EMIS	Tegretol  Suppositories  250 mg
TITA34051EMIS	Tiagabine Hydrochloride  Tablets  15 mg
TOCA1014NEMIS	Topamax Sprinkle  Capsules+e/c pellets  25 mg
TRTA3259NEMIS	Trileptal  Tablets  300 mg
ZOCA20273NEMIS	Zonisamide  Capsules  50 mg
ACM/20349EMIS	Acetazolamide  M/R capsules  250 mg
DIRE29886EMIS	Diazepam Rectubes  Rectal tubes  2.5 mg
EMCA3510	Emeside  Capsules  250 mg
EPCA19756EMIS	Epanutin  Capsules  300 mg
EPM/15552NEMIS	Epimaz Retard  M/R tablets  400 mg
EPM/23960EMIS	Epilim Chrono  M/R tablets  200 mg
EPM/30463NEMIS	Epilim Chronosphere  M/R granules  50 mg
EPM/30465NEMIS	Epilim Chronosphere  M/R granules  250 mg
GACA23645EMIS	Gabapentin  Capsules  100 mg
GATA4733NEMIS	Gabapentin  Tablets  600 mg
LATA22479EMIS	Lamictal  Tablets  25 mg
LYCA18439NEMIS	Lyrica  Capsules  75 mg
LYCA18441NEMIS	Lyrica  Capsules  150 mg
MYTA47631NEMIS	Mysoline  Tablets  50 mg
TOCA18896NEMIS	Topiramate  Capsules  25 mg
VITA10033BRIDL	Vigabatrin  Tablets  500 mg
SOTA2631	Sodium Valproate  E/c tablets  500 mg
TETA2789	Tegretol  Tablets  200 mg
TETA2790	Tegretol  Tablets  400 mg
TETA9540BRIDL	Tegretol Prolonged Release  M/R tablets  200 mg
TOCA5684NEMIS	Topamax Sprinkle  Capsules+e/c pellets  50 mg
TOTA27749EMIS	Topamax  Tablets  100 mg
TOTA30053EMIS	Topiramate  Tablets  25 mg
TROR14324NEMIS	Trileptal  Oral suspension  60 mg/ml
ZOCA20276NEMIS	Zonegran  Capsules  25 mg
LYCA18442NEMIS	Lyrica  Capsules  200 mg
LYOR74092NEMIS	Lyrica  Oral solution  20 mg/ml
MIIN3553NEMIS	Midazolam  Solution for infusion  1 mg/ml, 50 ml vial
NETA4736NEMIS	Neurontin  Tablets  800 mg
NOSO23826EMIS	Nootropil  Oral Solution, Sugar Free  333.3 mg/ml
PHTA17817NEMIS	Phenobarbital  Tablets  15 mg
PISO23832EMIS	Piracetam  Oral Solution, Sugar Free  333.3 mg/ml
PRCA18430NEMIS	Pregabalin  Capsules  50 mg
PRCA18432NEMIS	Pregabalin  Capsules  100 mg
SOM/23968EMIS	Sodium Valproate  M/R tablets  500 mg
TITA34051EMIS	Tiagabine Hydrochloride  Tablets  15 mg
TOTA30046EMIS	Topamax  Tablets  25 mg
TRTA3259NEMIS	Trileptal  Tablets  300 mg
VAE/12514NEMIS	Valproic Acid (As Semisodium Valproate)  E/c tablets  500 mg
VISA21949EMIS	Vigabatrin  Sachets  Sugar Free 500 mg
ZOCA20273NEMIS	Zonisamide  Capsules  50 mg
LECO22655NEMIS	Levetiracetam  Concentrate For Solution For Infusion  100 mg/ml, 5 ml vial
LYCA18438NEMIS	Lyrica  Capsules  50 mg
LYCA18440NEMIS	Lyrica  Capsules  100 mg
MIOR40609NEMIS	Midazolam  Oromucosal Solution  (5 mg/ml) 10 mg/2 ml Oral Syringe
MYTA4006	Mysoline  Tablets  250 mg
OXTA3257NEMIS	Oxcarbazepine  Tablets  600 mg
PHCA2243	Phenytoin Sodium  Capsules  50 mg
PHSU1331NEMIS	Phenytoin  Suspension  30 mg/5 ml
RECA100519NEMIS	Rewisca  Capsules  225 mg
SOM/23967EMIS	Sodium Valproate  M/R tablets  300 mg
SOSO23847NEMIS	Sodium Valproate  Solution for injection  100 mg/ml, 3 ml ampoule
TITA34050EMIS	Tiagabine Hydrochloride  Tablets  10 mg
TOTA27751EMIS	Topamax  Tablets  50 mg
TRTA3258NEMIS	Trileptal  Tablets  150 mg
VAE/23451EMIS	Valproic Acid  E/c capsules  300 mg
PHCA19758EMIS	Phenytoin Sodium  Capsules  300 mg
PRCA18428NEMIS	Pregabalin  Capsules  25 mg
PRCA28503NEMIS	Pregabalin  Capsules  225 mg
SOM/23966EMIS	Sodium Valproate  M/R tablets  200 mg
SOM/25447NEMIS	Sodium Valproate  M/R capsules  150 mg
TITA34052EMIS	Tiagabine Hydrochloride  Tablets  5 mg
VAE/23452EMIS	Valproic Acid  E/c capsules  500 mg
ZOCA20277NEMIS	Zonegran  Capsules  50 mg
EPM/13811NEMIS	Epival Cr  M/R tablets  500 mg
EPM/23962EMIS	Epilim Chrono  M/R tablets  500 mg
EPM/30466NEMIS	Epilim Chronosphere  M/R granules  500 mg
EPSY1089	Epilim  Syrup  200 mg/5 ml
KETA19080NEMIS	Keppra  Tablets  750 mg
KETA5618NEMIS	Keppra  Tablets  250 mg
LADI24497EMIS	Lamotrigine  Dispersible tablets  Sugar Free 5 mg
LESU78271NEMIS	Levetiracetam  Sugar free granules  1000 mg sachet
LETA100738NEMIS	Lecaent  Capsules  300 mg
LETA5613NEMIS	Levetiracetam  Tablets  250 mg
MIOR40606NEMIS	Midazolam  Oromucosal Solution  (5 mg/ml) 2.5 mg/0.5 ml Oral Syringe
OXTA3254NEMIS	Oxcarbazepine  Tablets  150 mg
PHTA5282	Phenytoin Sodium  Tablets  100 mg
RECA100518NEMIS	Rewisca  Capsules  200 mg
SOTA2629	Sodium Valproate  Crushable tablets  100 mg
TESU24179EMIS	Tegretol  Suppositories  125 mg
TOTA30051EMIS	Topiramate  Tablets  100 mg
TRTA3260NEMIS	Trileptal  Tablets  600 mg
VAE/12513NEMIS	Valproic Acid (As Semisodium Valproate)  E/c tablets  250 mg
VAE/23450EMIS	Valproic Acid  E/c capsules  150 mg
