#AUTOGENERATED	DONT EDIT
A0223	Salmonella arthritis
X70G1	Verotoxigenic Escherichia coli food poisoning
X70GJ	Cholera - Vibrio cholerae O1 Classical biotype
X70GK	Cholera - non-O1 group vibrio
X70GL	Cholera - O139 group Vibrio cholerae
X70GM	Paratyphoid fever
X70GN	Enterotoxigenic Escherichia coli gastrointestinal tract infection
X70GP	Enteropathogenic Escherichia coli gastrointestinal tract infection
X70GQ	Verotoxigenic Escherichia coli gastrointestinal tract infection
X70GR	Enteroinvasive Escherichia coli gastrointestinal tract infection
X70GS	Enteroadherent Escherichia coli gastrointestinal tract infection
X70GT	Clostridial enteric disease
X70GW	Enteritis necroticans
X70H0	Tuberculosis of gastrointestinal tract
X70HJ	Gastroenteric plague
X73Le	Shigella dysenteriae
X73Lf	Shigella flexneri
X73Lg	Shigella sonnei
X73Mv	Vibrio cholerae
Xa3dy	Specific gastrointestinal infectious disease
Xa86R	Tuberculosis of colon
Xa8I7	Salmonella food poisoning
Xa8IA	Salmonella infection
Xa97W	Cholera - O1 group Vibrio cholerae
XaaNJ	Rectal lymphogranuloma venereum
XaBE5	Helicobacter pylori gastrointestinal tract infection
XaDc1	Bacterial intestinal infectious disease
XaDc2	Bacterial dysentery
XaDcF	Bacterial gastrointestinal infectious disease
XaDsy	Helicobacter pylori as the cause of diseases classified to other chapters
XaX6C	Small bowel bacterial overgrowth syndrome
XaYaf	Sepsis due to Salmonella
XaYbw	Sepsis due to Listeria monocytogenes
XE0Qc	Cholera
XE0Qd	Typhoid fever
XE0Qf	Shigella dysenteriae (group A)
XE0Qg	Shigella sonnei (group D)
XE0Qj	Staphylococcal gastrointestinal tract infection
XE0Qk	Pseudomonas gastrointestinal tract infection
XE0Ql	Campylobacter gastrointestinal tract infection
XE0Qz	Ileocaecal actinomycosis
XM0pJ	Bacterial gastroenteritis
XM0pK	Bacillary dysentery
X301R	Helicobacter gastritis
A164.	Tuberculous epididymitis
A165.	Tuberculosis of other male genital organs
A1651	Tuberculosis of seminal vesicle
A1652	Tuberculosis of testis
A165z	Tuberculosis of other male genital organs NOS
A166.	Tuberculous oophoritis or salpingitis
A1660	Tuberculous oophoritis
A1661	Tuberculous salpingitis
A166z	Tuberculous oophoritis or salpingitis NOS
A167.	Tuberculosis of other female genital organs
A1670	Tuberculous cervicitis
A1671	Tuberculous endometritis
A167z	Tuberculosis of other female genital organs NOS
A32y5	Diphtheria of penis
A720.	Mumps orchitis
A78A.	Chlamydial infection
A78A3	Chlamydial infection of pelviperitoneum and other genitourinary organs
A910.	Primary genital syphilis
A9800	Acute gonococcal bartholinitis
A9801	Acute gonococcal urethritis
A981.	Acute gonorrhoea of upper genitourinary tract
A9810	Acute unspecified gonorrhoea of upper genitourinary tract
A9811	Acute gonococcal cystitis
A9812	Acute gonococcal prostatitis
A9813	Acute gonococcal: [epididymo-orchitis] or [orchitis]
A9814	Acute gonococcal seminal vesiculitis
A9815	Acute gonococcal cervicitis
A9816	Acute gonococcal endometritis
A9817	Acute gonococcal salpingitis
A981z	Acute gonorrhoea upper genitourinary tract NOS
A9820	Chronic gonococcal bartholinitis
A9821	Chronic gonococcal urethritis
A983.	Chronic gonorrhoea of upper genitourinary tract
A9830	Chronic unspecified gonorrhoea of upper genitourinary tract
A9831	Chronic gonococcal cystitis
A9832	Chronic gonococcal prostatitis
A9833	Chronic gonococcal epididymo-orchitis
A9834	Chronic gonococcal seminal vesiculitis
A9835	Chronic gonococcal cervicitis
A9836	Chronic gonococcal endometritis
A9837	Chronic gonococcal salpingitis
A983z	Chronic gonorrhoea of upper genitourinary tract NOS
AB211	Vaginal candidiasis
Ayu4D	[X]Sexually transmitted chlamydial infection of other sites
Ayu4K	[X]Chlamydial infection of genitourinary tract, unspecified
Ayu6.	[X]Other diseases caused by chlamydiae
Ayu61	[X]Other chlamydial diseases
Ayu62	[X]Chlamydial infection, unspecified
K1545	Gonococcal cystitis
K17y2	Skenes glands adenitis
K21..	Prostate inflammatory diseases (& [prostatitis and other])
K210.	Acute prostatitis
K211.	Chronic prostatitis
K213.	Prostatocystitis
K214.	Prostatitis in diseases EC
K2140	Actinomycotic prostatitis
K2141	Blastomycotic prostatitis
K2142	Syphilitic prostatitis
K2143	Tuberculous prostatitis
K2144	Gonococcal prostatitis
K2145	Monilial prostatitis
K2146	Trichomonal prostatitis
K214z	Prostatitis in diseases EC NOS
K21y.	Other prostatic inflammatory diseases
K21z.	Prostatitis NOS
K24..	Orchitis and epididymitis
K240.	Orchitis
K2400	Testicular abscess
K2401	Orchitis with no abscess
K2402	Orchitis unspecified
K2403	Orchitis in diseases EC
K240z	Orchitis NOS
K241.	Epididymitis
K2411	Epididymitis with no abscess
K2412	Epididymitis unspecified
K2413	Epididymitis in diseases EC
K241z	Epididymitis NOS
K242.	Epididymo-orchitis
K2420	Epididymo-orchitis with abscess
K2421	Epididymo-orchitis with no abscess
K2422	Epididymo-orchitis unspecified
K2423	Epididymo-orchitis in diseases EC
K242z	Epididymo-orchitis NOS
K24z.	Orchitis and epididymitis NOS
K2711	Posthitis
K2721	Penile boil
K2722	Penile carbuncle
K2723	Cellulitis of penis
K272z	Other penile inflammatory disorder NOS
K280.	Seminal vesiculitis
K2800	Seminal vesiculitis unspecified
K2802	Cellulitis of seminal vesicle
K280z	Seminal vesiculitis NOS
K2841	Boil of scrotum
K2842	Carbuncle of scrotum
K2843	Cellulitis of scrotum
K2845	Vasitis
K4...	Female pelvic inflammatory disease
K4000	Acute oophoritis
K4003	Acute salpingitis
K4004	Acute perisalpingitis
K4005	Subacute oophoritis
K4007	Subacute salpingo-oophoritis
K4008	Subacute salpingitis
K400z	Acute salpingitis and oophoritis NOS
K401.	Chronic salpingitis and oophoritis
K4010	Chronic oophoritis
K4011	Chronic perioophoritis
K4012	Chronic salpingo-oophoritis
K4013	Chronic salpingitis
K4015	Hydrosalpinx
K4016	Salpingitis follicularis
K4017	Salpingitis isthmica nodosa
K401z	Chronic salpingitis and oophoritis NOS
K402.	Salpingitis and oophoritis unspecified
K4021	Ovarian abscess
K4022	Tubo-ovarian abscess
K4023	Oophoritis unspecified
K4025	Salpingo-oophoritis unspecified
K4026	Salpingitis unspecified
K402z	Unspecified salpingitis and oophoritis NOS
K403.	Acute parametritis and pelvic cellulitis
K4030	Acute parametritis
K403z	Acute parametritis and pelvic cellulitis NOS
K404.	Chronic parametritis and pelvic cellulitis
K4040	Chronic female pelvic cellulitis
K4042	Chronic abscess of the parametrium
K4043	Chronic pelvic abscess - female
K4044	Chronic abscess of the pouch of Douglas
K404z	Chronic pelvic inflammatory diseases NOS
K405.	Parametritis and pelvic cellulitis unspecified
K4050	Parametritis unspecified
K4051	Pelvic cellulitis unspecified
K405z	Parametritis and pelvic cellulitis NOS
K408.	Other chronic female pelvic peritonitis
K40y.	Other female pelvic organ inflammatory diseases
K40y0	Female syphilitic pelvic inflammatory disease
K40y1	Female chlamydial pelvic inflammatory disease
K40z.	Female pelvic infection (& [PID]or [inflammatory diseases NOS])
K41..	Uterine inflammatory diseases excluding the cervix
K410.	Acute uterine inflammatory disease
K4100	Acute endometritis
K4101	Acute endomyometritis
K4102	Acute myometritis
K4103	Acute perimetritis
K4104	Acute pyometra
K4105	Subacute endometritis
K4106	Subacute endomyometritis
K4107	Subacute myometritis
K4108	Subacute perimetritis
K4109	Subacute pyometra
K410z	Acute uterine inflammatory diseases NOS
K411.	Chronic uterine inflammatory disease
K4110	Chronic endometritis
K4111	Chronic endomyometritis
K4112	Chronic myometritis
K4113	Chronic perimetritis
K4114	Chronic pyometra
K411z	Chronic uterine inflammatory disease NOS
K41z.	Unspecified uterine inflammatory disease
K41z0	Endometritis unspecified
K41z1	Endomyometritis unspecified
K41z2	Myometritis unspecified
K41z3	Perimetritis unspecified
K41z4	Pyometra unspecified
K41zz	Unspecified uterine inflammatory disease NOS
K420.	Cervicitis and endocervicitis
K4200	Cervicitis unspecified
K4201	Endocervicitis unspecified
K4202	Acute cervicitis
K4203	Cervicitis with erosion
K4204	Cervicitis with Nabothian cyst
K4206	Endocervicitis with erosion
K4207	Endocervicitis with Nabothian cyst
K4210	Vaginitis unspecified
K4213	Post-irradiation vaginitis
K4214	Vaginitis in diseases EC
K4215	Vulvitis in diseases EC
K4218	Subacute and chronic vulvitis
K4242	Furuncle of vulva
K42y0	Carbuncle of vagina
K42y1	Carbuncle of labium
K42y3	Bartholins adenitis
K43..	Female tuberculous pelvic inflammatory disease
K44..	Female gonococcal pelvic inflammatory disease
K4y..	Other specified female pelvic inflammatory disease
K4z..	Female pelvic inflammatory disease NOS
K5A3.	Postmenopausal atrophic vaginitis
Kyu63	[X]Other inflammatory disorders of penis
Kyu66	[X]Inflammatory disorder of unspecified male genital organ
Kyu8.	[X]Inflammatory diseases of female pelvic organs
Kyu80	[X]Other specified female pelvic inflammatory diseases
Kyu81	[X]Female pelvic inflammatory disorders in other diseases classified elsewhere
Kyu82	[X]Other diseases of Bartholins gland
Kyu83	[X]Other specified inflammation of vagina and vulva
Kyu84	[X]Ulceration of vulva in infectious and parasitic diseases classified elsewhere
Kyu85	[X]Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic disease classified elsewhere
Kyu86	[X]Vulvovaginal ulceration and inflammation in other diseases classified elsewhere
L0900	Endometritis following abortive pregnancy
L0901	Parametritis following abortive pregnancy
L0903	Salpingitis following abortive pregnancy
L0904	Salpingo-oophoritis following abortive pregnancy
Lyu60	[X]Other infection of genital tract following delivery
X30Oi	Chlamydial prostatitis
X30Oj	Non-bacterial prostatitis
X30Oz	Gonococcal urethritis
X400a	Chlamydial epididymitis
X400b	Chronic epididymitis
X400d	Sperm granuloma of epididymis
X400e	Tuberculous epididymo-orchitis
X400f	Mumps epididymo-orchitis
X400g	Gonococcal epididymo-orchitis
X400h	Chlamydial epididymo-orchitis
X400v	Inflammation of scrotum
X400Y	Acute epididymitis
X400Z	Gonococcal epididymitis
X4014	Sperm granuloma of spermatic cord
X406H	Acute pelvic inflammatory disease
X406J	Acute mumps oophoritis
X406K	Gonococcal salpingitis
X406L	Chlamydial salpingitis
X406P	Acute pelvic abscess - female
X406T	Chronic pelvic inflammatory disease
X406U	Chronic parametritis
X4074	Endometritis
X4075	Gonococcal endometritis
X4076	Uterine candidiasis
X4077	Metritis
X407f	Vaginitis
X407g	Acute vaginitis
X407h	Infective vaginitis
X407i	Bacterial vaginosis
X407k	Prepubertal vaginitis
X407l	Chronic vaginitis
X407L	Cervicitis
X407O	Gonococcal cervicitis
X407P	Chlamydial cervicitis
X407Q	Chronic cervicitis
X407R	Actinomycotic cervicitis
X407S	Endocervicitis
X407T	Acute endocervicitis
X407U	Nabothian follicles on cervix
X407V	Nabothian follicles NOS
X4083	Vulvitis
X4084	Acute vulvitis
X4085	Trichomonal vulvitis
X4089	Chlamydial bartholinitis
X408e	Haematopyometra
X5014	Necrotising fasciitis of scrotum and perineum
X501h	Gonococcal lymphangitis of penis
X50Ej	Sclerosing lymphangitis of penis
X50Em	Plasma cell vulvitis
X70H8	Tuberculosis of male genital organs
X70H9	Tuberculosis of female genital organs
X70Mo	Gonococcal Skenitis
X70Mp	Gonococcal Tysonitis
X70Mq	Gonococcal Cowperitis
X70Mr	Gonococcal Littritis
X784Z	Congenital hydrosalpinx
Xa0Er	Trichomonal vaginitis
Xa0ke	Myometritis
Xa16P	Infective vulvitis
Xa1Qp	Oophoritis
Xa1Qu	Salpingitis
Xa1Qx	Salpingo-oophoritis
Xa1Qz	Parametritis
Xa1R2	Female pelvic cellulitis
Xa3g0	Endometritis, excluding cervix
Xa40N	Acute pelvic inflammatory disease NOS
Xa4cK	Inflammation of cervix
Xa4X6	Scalling of vulva
Xa4XX	Inflammation of clitoris
Xa4Xy	Inflammation of vaginal wall
Xa6aS	Inflammation of testis
Xa89S	Gonococcal seminal vesiculitis
Xa9CH	Uterine inflammatory disease
Xa9CI	Endomyometritis
XaaiP	Infection and inflammation associated with retained intrauterine contraceptive device
XaaiQ	Inflammation associated with retained intrauterine contraceptive device
XaC1D	[X]Cervicitis following delivery
XaC1E	[X]Vaginitis following delivery
XaDbk	Genitourinary chlamydia infection
XaDma	Infective epididymitis
XaDmW	Infective epididymo-orchitis
XaDmZ	Infective orchitis
XaJM2	Perimenopausal atrophic vaginitis
XaLWl	Chlamydial infection of genital organs NEC
XC0d5	Granulomatous orchitis
XE0e7	Prostatic inflammatory disease
XE0eO	Acute salpingo-oophoritis
XE0eP	Acute pelvic cellulitis
XE0eR	Female pelvic inflammatory diseases NOS
XE0eS	Cervicitis and endocervicitis NOS
XE0eT	Vulvitis unspecified
XE0eV	Carbuncle of vulva
XE0gB	(Chronic salpingitis/oophoritis) or (hydrosalpinx)
XE0gD	Salpingitis/oophoritis NOS
XE0gJ	(Endometritis NOS) or (pyometra)
XE0gP	(Cervix/vagina/vulva inflammation NOS) or (vulval: [abscess] or [boil])
XE0Rv	Acute gonococcal epididymo-orchitis
XSE9o	Allergic vaginitis
XSE9s	Vulval vestibulitis
43B4.	Hepatitis B surface antigen positive
A053.	Amoebic liver abscess
A70..	Viral hepatitis
A700.	Viral hepatitis A with coma
A702.	Viral hepatitis B with coma
A7020	Acute hepatitis B with delta agent (coinfection) with hepatic coma
A703.	Viral serum hepatitis B
A7030	Acute hepatitis B with delta-agent (coinfection) without hepatic coma
A704.	Other specified viral hepatitis with coma
A7040	Viral hepatitis C with coma
A704z	Other specified viral hepatitis with hepatic coma NOS
A705.	Other specified viral hepatitis without coma
A7050	Viral hepatitis C without mention of hepatic coma
A7054	Hepatitis non-A non-B
A705z	Other specified viral hepatitis without mention of hepatic coma NOS
A706.	Unspecified viral hepatitis with coma
A7071	Chronic viral hepatitis B without delta-agent
A70z.	Unspecified viral hepatitis
A70z0	Hepatitis C
A7852	Cytomegalovirus hepatitis
A9161	Secondary syphilitic hepatitis
AD05.	Toxoplasma hepatitis
AyuB0	[X]Other specified acute viral hepatitis
AyuB1	[X]Other chronic viral hepatitis
AyuB2	[X]Chronic viral hepatitis, unspecified
AyuB4	[X]Unspecified viral hepatitis without coma
J5520	Subhepatic abscess
J614.	Chronic hepatitis
J6140	Chronic persistent hepatitis
J6141	Chronic active hepatitis
J6142	Chronic aggressive hepatitis
J6143	Recurrent hepatitis
J614y	Chronic hepatitis unspecified
J614z	Chronic hepatitis NOS
J615D	Bacterial portal cirrhosis
J62..	Liver abscess and sequelae of chronic liver disease
J620.	Liver abscess - excluding amoebic liver abscess
J6200	Liver abscess due to portal pyaemia
J6201	Liver abscess due to cholangitis
J6203	Liver abscess via umbilicus
J620z	Liver abscess NOS
J62z.	Liver abscess and chronic liver disease causing sequelae NOS
J631.	Hepatitis in viral diseases EC
J6310	Coxsackie virus hepatitis
J6311	Hepatitis in cytomegalic inclusion virus
J6312	Infectious mononucleosis hepatitis
J6313	Mumps hepatitis
J6315	Hepatitis in other viral disease
J631z	Hepatitis in viral diseases EC NOS
J632.	Hepatitis in other infectious diseases EC
J6320	Hepatitis in malaria
J6322	Hepatitis in secondary syphilis
J632z	Hepatitis in infectious diseases EC NOS
J6353	Toxic liver disease with chronic persistent hepatitis
J6355	Toxic liver disease with chronic active hepatitis
J640.	Gallbladder calculus with acute cholecystitis
J6400	Gallbladder calculus with acute cholecystitis and no obstruction
J6401	Gallbladder calculus with acute cholecystitis and obstruction
J640z	Gallbladder calculus with acute cholecystitis and obstruction NOS
J641.	Gallbladder calculus with other cholecystitis
J6410	Gallbladder calculus with other cholecystitis and no obstruction
J6411	Gallbladder calculus with other cholecystitis and obstruction
J641z	Gallbladder calculus with other cholecystitis and obstruction NOS
J643.	Bile duct calculus with acute cholecystitis
J6430	Bile duct calculus with acute cholecystitis and no obstruction
J6431	Bile duct calculus with acute cholecystitis and obstruction
J643z	Bile duct calculus with acute cholecystitis and obstruction NOS
J644.	Bile duct calculus with other cholecystitis
J6440	Bile duct calculus with other cholecystitis and no obstruction
J6441	Bile duct calculus with other cholecystitis and obstruction
J644z	Bile duct calculus with other cholecystitis and obstruction NOS
J646.	Calculus of bile duct with cholangitis
J6500	Acute cholecystitis unspecified
J6501	Acute angiocholecystitis
J6502	Acute emphysematous cholecystitis
J6503	Acute suppurative cholecystitis
J6504	Acute gangrenous cholecystitis
J650z	Acute cholecystitis NOS
J651.	Other cholecystitis
J6510	Chronic cholecystitis
J651y	Other cholecystitis OS
J651z	Cholecystitis NOS
J661.	Cholangitis
J6610	Acute cholangitis
J6611	Chronic cholangitis
J6612	Recurrent cholangitis
J6613	Suppurative cholangitis
J6614	Ascending cholangitis
J661y	Other cholangitis
J661z	Cholangitis NOS
Jyu81	[X]Other cholecystitis
L1765	Viral hepatitis complicating pregnancy, childbirth and the puerperium
X306a	Gonococcal hepatitis
X306b	Acute viral hepatitis
X306d	Hepatitis D superinfection of hepatitis B carrier
X306e	Acute hepatitis C
X306f	Acute hepatitis E
X306h	Chronic viral hepatitis
X306i	Chronic viral hepatitis B
X306j	Chronic viral hepatitis B with hepatitis D
X306k	Chronic viral hepatitis C
X306W	Liver abscess
X306Z	Hepatitis due to infection
X307G	Chronic lobular hepatitis
X3089	Cholecystitis
X308A	Gallbladder calculus
X308J	Bile duct calculus
X406Q	Fitz-Hugh-Curtis syndrome
X406R	Gonococcal perihepatitis
Xa9C8	Epstein-Barr virus hepatitis
Xabys	Hepatitis E virus genotype determination
XaCm8	Hepatitis A - current infection
XaE6v	Bile duct calculus NOS
XaMEk	Hepatitis B treatment drugs Band 1
XaPLW	Chronic hepatitis annual review
XaWzz	Biliary sepsis
XaYbq	Viral hepatitis without hepatic coma
XaZ5P	Hepatitis C genotype 1
XaZ5Q	Hepatitis C genotype 2
XaZ5S	Hepatitis C genotype 3
XaZ5T	Hepatitis C genotype 4
XaZDE	On hepatitis C treatment plan
XE0bF	Acute cholecystitis
XE0TW	Infectious hepatitis
XE0TY	Serum hepatitis
XE2uF	Acute hepatitis A
1653.	Fever with sweating
1B1G1	Viral headache
43C3.	HIV positive
43D3.	Legionella antibody positive
4J32.	Sample: virus identified
65Q..	Infectious disease carrier
65Q1.	Cholera carrier
65Q2.	Typhoid carrier
65QA.	AIDS carrier
65QZ.	Infectious disease carrier NOS
65V4.	Notification of malaria
65V9.	Notification of tuberculosis
65VD.	Notification of acute polio
65VE.	Notification of AIDS
8BAD1	TB chemotherapy
A....	Infective disorder
A0760	Enteritis due to adenovirus
A0761	Enteritis due to enterovirus
A0762	Enteritis due to rotavirus
A076z	Enteritis due to specified virus NOS
A07y0	Viral gastroenteritis
A1...	Tuberculosis
A10..	Primary tuberculous infection
A100.	Primary tuberculous complex
A10y.	Other primary progressive tuberculosis
A10z.	Primary tuberculous infection NOS
A113.	Tuberculosis of bronchus
A121.	Tuberculosis of intrathoracic lymph nodes
A1210	Tuberculosis of hilar lymph nodes
A1211	Tuberculosis of mediastinal lymph nodes
A1212	Tuberculosis of tracheobronchial lymph nodes
A121z	Tuberculosis of intrathoracic lymph nodes NOS
A122.	Isolated tracheal or bronchial tuberculosis
A1221	Isolated bronchial tuberculosis
A122z	Isolated tracheal or bronchial tuberculosis NOS
A124.	Respiratory tuberculosis, bacteriologically and histologically confirmed
A1244	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A1245	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A1247	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A125.	Respiratory tuberculosis, not confirmed bacteriologically or histologically
A1252	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A12y0	Tuberculosis of mediastinum
A12y2	Tuberculosis of nasal septum
A14y2	Tuberculosis of small intestine
A14y3	Tuberculosis of mesenteric lymph nodes
A14y5	Tuberculosis of retroperitoneal lymph nodes
A16..	Urogenital tuberculosis
A16z.	Genitourinary tuberculosis NOS
A17..	Tuberculosis of other organs
A1700	Lupus vulgaris
A1703	Tuberculosis - lupus NOS
A1706	Lichen scrofulosorum
A1707	Tuberculosis papulonecrotica
A1708	Tuberculosis verrucosa cutis
A170z	Tuberculosis of skin and subcutaneous tissue NOS
A171.	Tuberculous erythema nodosum
A1710	Erythema induratum
A171z	Erythema nodosum with tuberculosis NOS
A1720	Tuberculous cervical lymphadenitis
A1721	Scrofulous tuberculous abscess
A1722	Tuberculous adenitis (& peripheral nodes)
A172z	Tuberculosis of peripheral lymph nodes NOS
A173.	Ocular tuberculosis
A1730	Tuberculous chorioretinitis
A1731	Tuberculous episcleritis
A1732	Tuberculous interstitial keratitis
A1733	Tuberculous chronic iridocyclitis
A1734	Tuberculous keratoconjunctivitis
A173z	Tuberculosis of eye NOS
A174.	Tuberculosis of ear
A175.	Tuberculosis of thyroid gland
A176.	Tuberculous Addisons disease
A177.	Tuberculosis of spleen
A17y.	Tuberculosis of other specified organs
A17y2	Tuberculosis of pericardium
A17y4	Tuberculosis of liver
A17yz	Tuberculosis of other specified organs NOS
A17z.	Tuberculosis of other organs NOS
A18..	Miliary tuberculosis
A180.	Acute miliary tuberculosis
A1800	Acute miliary tuberculosis of a single specified site
A1801	Acute miliary tuberculosis of multiple sites
A18y.	Other specified miliary tuberculosis
A18z.	Miliary tuberculosis NOS
A1y..	Other specified tuberculosis
A1z..	Tuberculosis NOS
A2...	Zoonotic bacterial disease
A20..	Plague
A200.	Bubonic plague
A201.	Cutaneous plague
A202.	Septicaemic plague
A20y.	Other specified plague types
A20y0	Abortive plague
A20y1	Ambulatory plague
A20y2	Plague - pestis minor
A20yz	Other specified plague NOS
A20z.	Plague unspecified
A22..	Anthrax
A220.	Cutaneous anthrax
A22y.	Other specified anthrax manifestations
A22z.	Anthrax NOS
A25..	Melioidosis
A250.	Acute and fulminating melioidosis
A251.	Subacute and chronic melioidosis
A261.	Streptobacillary rat-bite fever
A27..	Other zoonotic bacterial disease
A273.	Extraintestinal yersiniosis
A27y.	Other specified zoonotic bacterial disease
A27z.	Other zoonotic bacterial disease NOS
A2y..	Other specified zoonotic bacterial diseases
A2z..	Zoonotic bacterial disease NOS
A3...	Other bacterial diseases
A30..	Leprosy
A300.	Full lepromatous leprosy
A301.	Full tuberculoid leprosy
A302.	Indeterminate leprosy
A30y.	Other leprosy
A30z.	Leprosy NOS
A31..	Other mycobacterial diseases
A31y.	Other specified mycobacterial disease
A31z.	Mycobacterial disease NOS
A320.	Faucial diphtheria
A36..	Meningococcal infection
A362.	Meningococcal septicaemia
A36y.	Other specified meningococcal infection
A36yz	Other specified meningococcal infection NOS
A36z.	Meningococcal infection NOS
A37..	Tetanus
A370.	Obstetrical tetanus
A38..	Septicaemia
A380.	Streptococcal septicaemia
A3800	Gp A streptococcal septicaemia
A3801	Gp B streptococcal septicaemia
A381.	Staphylococcal septicaemia
A3810	Septicaemia due to Staphylococcus aureus
A3811	Septicaemia due to coagulase-negative staphylococcus
A382.	Pneumococcal septicaemia
A383.	Septicaemia due to anaerobes
A384.	Septicaemia due to other Gram-negative organisms
A3840	Gram-negative septicaemia NOS
A3841	Haemophilus influenzae septicaemia
A3842	Escherichia coli septicaemia
A3843	Pseudomonas septicaemia
A3844	Serratia septicaemia
A384z	Other Gram-negative septicaemia NOS
A38y.	Other specified septicaemias
A38z.	(Septicaemia NOS) or (sepsis)
A39..	Actinomycotic infection
A392.	Abdominal actinomycosis
A393.	Cervicofacial actinomycosis
A394.	Madura foot - actinomycotic
A395.	Actinomycotic septicaemia
A39y.	Other specified actinomycosis
A39y0	Pulmonary nocardiosis
A39y1	Cutaneous nocardiosis
A39z.	Actinomycosis unspecified site
A39z0	Maduromycosis NOS
A39z1	Nocardiosis NOS
A39zz	Actinomycosis unspecified site NOS
A3A3.	Necrobacillosis
A3Ay.	Other specified bacterial disease
A3Ay1	Toxic shock syndrome
A3Ayz	Other specified bacterial disease NOS
A3B..	Bacterial infections - causative organisms
A3B0.	Streptococcal infection
A3B1.	Staphylococcal infection
A3B4.	Escherichia coli infection
A3B5.	Haemophilus influenzae infection
A3B6.	Proteus infection
A3B60	Proteus mirabilis infection
A3B61	Morganella morganii infection
A3B6z	Proteus infection NOS
A3B7.	Pseudomonas infection
A3Bx.	Bacterial causes of diseases classified elsewhere
A3By.	Other specified bacterial infection
A3By2	Mima polymorpha infection
A3By3	Mycoplasma infection
A3By5	Serratia infection
A3By6	Coccal infection NEC
A3Byz	Other specified bacterial infection NOS
A3Bz.	Bacterial infection NOS
A3y..	Other specified bacterial diseases
A3z..	Other bacterial disease NOS
A4y..	Other enterovirus diseases of central nervous system
A4y1.	Enteroviral exanthematous fever
A5...	Viral disease characterised by exanthem
A510.	Cowpox
A511.	Paravaccinia
A51z.	Paravaccinia NOS
A52..	Varicella infection (& [chickenpox])
A52x.	Varicella with other specified complications
A52y.	Varicella with unspecified complications NOS
A52z.	Varicella with no complication NOS
A5311	(Geniculate herpes zoster) or (Ramsey Hunt syndrome)
A531z	Herpes zoster with other central nervous system complication NOS
A532.	Herpes zoster with ophthalmic complication
A5320	Herpes zoster with dermatitis of eyelid
A5323	Ophthalmic herpes zoster infection
A532z	Herpes zoster with other ophthalmic complication
A53x.	Herpes zoster with other specified complication
A53x1	Disseminated zoster
A53xz	Herpes zoster with other specified complication NOS
A53y.	Herpes zoster with unspecified complication
A53z.	Herpes zoster NOS
A540.	Eczema herpeticum
A541.	Genital herpes
A5410	Genital herpes unspecified (& [simplex group])
A5411	Herpetic vulvovaginitis
A5412	Herpetic ulceration of vulva
A5413	Herpetic infection of penis
A5414	Herpesviral infection of perianal skin and rectum
A5415	Anogenital herpesviral infection
A541z	Genital herpes simplex NOS
A544.	Ophthalmic herpes simplex
A5440	Unspecified ophthalmic herpes (& [simplex group])
A544z	Ophthalmic herpes simplex NOS
A545.	Herpes simplex septicaemia
A546.	Herpes simplex whitlow
A54x.	Herpes simplex with other specified complication
A54x0	Visceral herpes simplex
A54x3	Herpesviral vesicular dermatitis
A54xz	Herpes simplex with other specified complication NOS
A54y.	Herpes simplex with unspecified complication
A55..	Measles
A554.	Measles with intestinal complications
A55x.	Measles with other specified complication
A55x0	Measles keratoconjunctivitis
A55xz	Measles with other specified complication NOS
A55y.	Measles with unspecified complication
A55z.	Measles with no complication NOS
A56..	Rubella
A5602	Rubella deafness
A56x.	Rubella with other specified complication
A56xz	Rubella with other specified complication NOS
A56y.	Rubella with unspecified complication
A56z.	Rubella with no complication NOS
A57..	Other viral exanthemata
A570.	Erythema infectiosum
A57y.	Other specified viral exanthemata
A57y1	Exanthem subitum
A57y2	Fourth disease
A57y4	Pseudoscarlatina
A57yz	Other specified viral exanthemata NOS
A5y..	Other specified viral diseases with exanthemata
A5z..	Viral diseases with exanthemata NOS
A6...	Arboviral disease
A60..	Yellow fever
A600.	Sylvatic yellow fever
A601.	Urban yellow fever
A60z.	Yellow fever unspecified
A61..	Dengue
A626.	Rocio virus disease
A65..	Arboviral haemorrhagic fever
A651.	Omsk haemorrhagic fever
A65y.	Other specified arthropod-borne haemorrhagic fever
A65y0	Mite-borne haemorrhagic fever
A65yz	Other specified arthropod-borne haemorrhagic fever NOS
A65z.	Arthropod-borne haemorrhagic fever NOS
A66..	Other arthropod-borne viral disease
A661.	Tick-borne arboviral fever
A6610	Nairobi sheep disease
A6612	Colorado tick fever
A661z	Tick-borne fever NOS
A663.	Other mosquito-borne fever
A6630	Bunyamwera fever
A6631	Bwamba fever
A6632	Chikungunya fever
A6635	Mucambo fever
A663C	West Nile fever
A663D	Zika fever
A663z	Other mosquito-borne fever NOS
A66y.	Other specified arthropod-borne viral diseases
A66y1	Piry fever
A66yz	Other specified arthropod-borne viral diseases NOS
A66z.	Other arthropod-borne viral disease NOS
A6z..	Arthropod-borne viral disease NOS
A7...	Other viral and chlamydial diseases
A723.	Mumps pancreatitis
A72x.	Mumps with other specified complications
A72x1	Mumps polyneuropathy
