#AUTOGENERATED	DONT EDIT
J210	Acute bronchiolitis due to respiratory syncytial virus
J211	Acute bronchiolitis due to human metapneumovirus
J218	Acute bronchiolitis due to other specified organisms
J219	Acute bronchiolitis, unspecified
J440	Chronic obstructive pulmonary disease with acute lower respiratory infection
J677	Air-conditioner and humidifier lung
J678	Hypersensitivity pneumonitis due to other organic dusts
J690	Pneumonitis due to food and vomit
J698	Pneumonitis due to other solids and liquids
J851	Abscess of lung with pneumonia
R091	Pleurisy
A480	Gas gangrene
A544	Gonococcal infection of musculoskeletal system
K437	Other and unspecified ventral hernia with gangrene
K439	Other and unspecified ventral hernia without obstruction or gangrene
M331	Other dermatomyositis
M332	Polymyositis
M339	Dermatopolymyositis, unspecified
M360	Dermato(poly)myositis in neoplastic disease
M600	Infective myositis
M601	Interstitial myositis
M602	Foreign body granuloma of soft tissue, not elsewhere classified
M608	Other myositis
M609	Myositis, unspecified
M632	Myositis in other infectious diseases classified elsewhere
M633	Myositis in sarcoidosis
M726	Necrotizing fasciitis
R02X	Gangrene, not elsewhere classified
A066	Amoebic brain abscess
A86X	Unspecified viral encephalitis
A89X	Unspecified viral infection of central nervous system
A170	Tuberculous meningitis
A171	Meningeal tuberculoma
A178	Other tuberculosis of nervous system
A179	Tuberculosis of nervous system, unspecified
A203	Plague meningitis
A321	Listerial meningitis and meningoencephalitis
A390	Meningococcal meningitis
A398	Other meningococcal infections
A504	Late congenital neurosyphilis [juvenile neurosyphilis]
A514	Other secondary syphilis
A521	Symptomatic neurosyphilis
A522	Asymptomatic neurosyphilis
A523	Neurosyphilis, unspecified
A800	Acute paralytic poliomyelitis, vaccine-associated
A801	Acute paralytic poliomyelitis, wild virus, imported
A802	Acute paralytic poliomyelitis, wild virus, indigenous
A803	Acute paralytic poliomyelitis, other and unspecified
A804	Acute nonparalytic poliomyelitis
A809	Acute poliomyelitis, unspecified
A810	Creutzfeldt-Jakob disease
A811	Subacute sclerosing panencephalitis
A812	Progressive multifocal leukoencephalopathy
A818	Other atypical virus infections of central nervous system
A819	Atypical virus infection of central nervous system, unspecified
A829	Rabies, unspecified
A830	Japanese encephalitis
A831	Western equine encephalitis
A832	Eastern equine encephalitis
A833	St Louis encephalitis
A834	Australian encephalitis
A835	California encephalitis
A838	Other mosquito-borne viral encephalitis
A839	Mosquito-borne viral encephalitis, unspecified
A840	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841	Central European tick-borne encephalitis
A848	Other tick-borne viral encephalitis
A849	Tick-borne viral encephalitis, unspecified
A851	Adenoviral encephalitis
A852	Arthropod-borne viral encephalitis, unspecified
A858	Other specified viral encephalitis
A870	Enteroviral meningitis
A871	Adenoviral meningitis
A872	Lymphocytic choriomeningitis
A878	Other viral meningitis
A879	Viral meningitis, unspecified
A888	Other specified viral infections of central nervous system
A930	Oropouche virus disease
B003	Herpesviral meningitis
B004	Herpesviral encephalitis
B011	Varicella encephalitis
B020	Zoster encephalitis
B021	Zoster meningitis
B050	Measles complicated by encephalitis
B051	Measles complicated by meningitis
B060	Rubella with neurological complications
B220	HIV disease resulting in encephalopathy
B261	Mumps meningitis
B262	Mumps encephalitis
B375	Candidal meningitis
B384	Coccidioidomycosis meningitis
B431	Phaeomycotic brain abscess
B451	Cerebral cryptococcosis
B461	Rhinocerebral mucormycosis
B500	Plasmodium falciparum malaria with cerebral complications
B582	Toxoplasma meningoencephalitis
B690	Cysticercosis of central nervous system
G000	Haemophilus meningitis
G001	Pneumococcal meningitis
G01X	Meningitis in bacterial diseases classified elsewhere
G002	Streptococcal meningitis
G003	Staphylococcal meningitis
G07X	Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G008	Other bacterial meningitis
G08X	Intracranial and intraspinal phlebitis and thrombophlebitis
G009	Bacterial meningitis, unspecified
G020	Meningitis in viral diseases classified elsewhere
G021	Meningitis in mycoses
G028	Meningitis in other specified infectious and parasitic diseases classified elsewhere
G030	Nonpyogenic meningitis
G031	Chronic meningitis
G032	Benign recurrent meningitis [Mollaret]
G038	Meningitis due to other specified causes
G039	Meningitis, unspecified
G040	Acute disseminated encephalitis
G042	Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified
G048	Other encephalitis, myelitis and encephalomyelitis
G049	Encephalitis, myelitis and encephalomyelitis, unspecified
G050	Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere
G051	Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere
G052	Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere
G058	Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere
G060	Intracranial abscess and granuloma
G061	Intraspinal abscess and granuloma
G062	Extradural and subdural abscess, unspecified
G361	Acute and subacute haemorrhagic leukoencephalitis [Hurst]
G373	Acute transverse myelitis in demyelinating disease of central nervous system
K352	Acute appendicitis with generalized peritonitis
K353	Acute appendicitis with localized peritonitis
K650	Acute peritonitis
K658	Other peritonitis
K659	Peritonitis, unspecified
K678	Other disorders of peritoneum in infectious diseases classified elsewhere
N733	Female acute pelvic peritonitis
N734	Female chronic pelvic peritonitis
N735	Female pelvic peritonitis, unspecified
N738	Other specified female pelvic inflammatory diseases
N739	Female pelvic inflammatory disease, unspecified
O080	Genital tract and pelvic infection following abortion and ectopic and molar pregnancy
P781	Other neonatal peritonitis
O85X	Puerperal sepsis
O411	Infection of amniotic sac and membranes
O860	Infection of obstetric surgical wound
O864	Pyrexia of unknown origin following delivery
O861	Other infection of genital tract following delivery
O868	Other specified puerperal infections
O910	Infection of nipple associated with childbirth
O912	Nonpurulent mastitis associated with childbirth
O984	Viral hepatitis complicating pregnancy, childbirth and the puerperium
O985	Other viral diseases complicating pregnancy, childbirth and the puerperium
O988	Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium
O989	Unspecified maternal infectious or parasitic disease complicating pregnancy, childbirth and the puerperium
O992	Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium
N10X	Acute tubulo-interstitial nephritis
N12X	Tubulo-interstitial nephritis, not specified as acute or chronic
N110	Nonobstructive reflux-associated chronic pyelonephritis
N111	Chronic obstructive pyelonephritis
N118	Other chronic tubulo-interstitial nephritis
N119	Chronic tubulo-interstitial nephritis, unspecified
N136	Pyonephrosis
N137	Vesicoureteral-reflux-associated uropathy
N151	Renal and perinephric abscess
O230	Infections of kidney in pregnancy
A38X	Scarlet fever
A361	Nasopharyngeal diphtheria
A362	Laryngeal diphtheria
A368	Other diphtheria
A369	Diphtheria, unspecified
A378	Whooping cough due to other Bordetella species
A379	Whooping cough, unspecified
A545	Gonococcal pharyngitis
A691	Other Vincent infections
B053	Measles complicated by otitis media
H650	Acute serous otitis media
H651	Other acute nonsuppurative otitis media
H652	Chronic serous otitis media
H653	Chronic mucoid otitis media
H654	Other chronic nonsuppurative otitis media
H659	Nonsuppurative otitis media, unspecified
H660	Acute suppurative otitis media
H661	Chronic tubotympanic suppurative otitis media
H662	Chronic atticoantral suppurative otitis media
H663	Other chronic suppurative otitis media
H664	Suppurative otitis media, unspecified
H669	Otitis media, unspecified
H678	Otitis media in other diseases classified elsewhere
H680	Eustachian salpingitis
H700	Acute mastoiditis
H701	Chronic mastoiditis
H708	Other mastoiditis and related conditions
H709	Mastoiditis, unspecified
H730	Acute myringitis
H731	Chronic myringitis
H750	Mastoiditis in infectious and parasitic diseases classified elsewhere
J010	Acute maxillary sinusitis
J011	Acute frontal sinusitis
J012	Acute ethmoidal sinusitis
J013	Acute sphenoidal sinusitis
J014	Acute pansinusitis
J018	Other acute sinusitis
J019	Acute sinusitis, unspecified
J020	Streptococcal pharyngitis
J028	Acute pharyngitis due to other specified organisms
J029	Acute pharyngitis, unspecified
J030	Streptococcal tonsillitis
J038	Acute tonsillitis due to other specified organisms
J039	Acute tonsillitis, unspecified
J040	Acute laryngitis
J041	Acute tracheitis
J042	Acute laryngotracheitis
J051	Acute epiglottitis
J328	Other chronic sinusitis
J329	Chronic sinusitis, unspecified
J371	Chronic laryngotracheitis
A564	Chlamydial infection of pharynx
A665	Gangosa
A691	Other Vincent infections
B002	Herpesviral gingivostomatitis and pharyngotonsillitis
B085	Enteroviral vesicular pharyngitis
B302	Viral pharyngoconjunctivitis
B974	Respiratory syncytial virus as the cause of diseases classified to other chapters
H671	Otitis media in viral diseases classified elsewhere
J00X	Acute nasopharyngitis [common cold]
J09X	Influenza due to identified zoonotic or pandemic influenza virus
J019	Acute sinusitis, unspecified
J028	Acute pharyngitis due to other specified organisms
J029	Acute pharyngitis, unspecified
J038	Acute tonsillitis due to other specified organisms
J039	Acute tonsillitis, unspecified
J040	Acute laryngitis
J042	Acute laryngotracheitis
J051	Acute epiglottitis
J060	Acute laryngopharyngitis
J068	Other acute upper respiratory infections of multiple sites
J069	Acute upper respiratory infection, unspecified
J101	Influenza with other respiratory manifestations, seasonal influenza virus identified
J110	Influenza with pneumonia, virus not identified
J111	Influenza with other respiratory manifestations, virus not identified
J118	Influenza with other manifestations, virus not identified
J300	Vasomotor rhinitis
J310	Chronic rhinitis
J311	Chronic nasopharyngitis
J312	Chronic pharyngitis
J350	Chronic tonsillitis
J370	Chronic laryngitis
J371	Chronic laryngotracheitis
A181	Tuberculosis of genitourinary system
A540	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
B650	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
N10X	Acute tubulo-interstitial nephritis
N118	Other chronic tubulo-interstitial nephritis
N119	Chronic tubulo-interstitial nephritis, unspecified
N300	Acute cystitis
N302	Other chronic cystitis
N308	Other cystitis
N309	Cystitis, unspecified
N341	Nonspecific urethritis
N342	Other urethritis
N390	Urinary tract infection, site not specified
N413	Prostatocystitis
