^ESCTNO581524	Non-steroidal anti-inflammatory overdose
^ESCTIN576840	Intentional poisoning caused by crack cocaine
^ESCTIN576843	Intentional caffeine poisoning
^ESCTIN576847	Intentional atenolol poisoning
^ESCTIN576850	Intentional propranolol poisoning
^ESCTIN576853	Intentional practolol poisoning
^ESCTIN576855	Intentional tolazoline hydrochloride poisoning
^ESCTIN576857	Intentional phenoxybenzamine poisoning
^ESCTIN576860	Intentional nicotine poisoning
^ESCTIN576864	Intentional poisoning by calcium-channel blocker
^ESCTIN576865	Intentional poisoning caused by calcium-channel blocker
^ESCTIN576868	Intentional pilocarpine poisoning
^ESCTIN576870	Intentional acetylcholine poisoning
^ESCTIN576872	Intentional anticholinesterase poisoning
^ESCTIN576876	Intentional metaraminol poisoning
^ESCTIN576881	Intentional salbutamol poisoning
^ESCTIN576884	Intentional orciprenaline poisoning
^ESCTIN576889	Intentional clonidine poisoning
^ESCTIN576891	Intentional adrenalin poisoning
^ESCTIN576893	Intentional noradrenaline poisoning
^ESCTIN576894	Intentional norepinephrine poisoning
^ESCTIN576897	Intentional hyoscine poisoning
^ESCTIN576899	Intentional atropine poisoning
^ESCTIN576901	Intentional homatropine poisoning
^ESCTIN576904	Intentional acetylcysteine poisoning
^ESCTIN576908	Intentional nikethamide poisoning
^ESCTIN576913	Intentional chlorphenamine poisoning
^ESCTIN576914	Intentional chlorpheniramine poisoning
^ESCTIN576918	Intentional diphenhydramine poisoning
^ESCTIN576921	Intentional diphenylpyraline poisoning
^ESCTIN576924	Intentional dextromethorphan poisoning
^ESCTIN576927	Intentional guaifenesin poisoning
^ESCTIN576930	Intentional terpin hydrate poisoning
^ESCTIN576934	Intentional poisoning by bronchodilator drug
^ESCTIN576935	Intentional poisoning caused by bronchodilator drug
^ESCTIN576939	Intentional aminophylline poisoning
^ESCTIN576942	Intentional theophylline poisoning
^ESCTIN576946	Intentional poisoning by herbal asthma mixture
^ESCTIN576947	Intentional poisoning caused by herbal asthma mixture
^ESCTIN576951	Intentional anti-common cold drug poisoning
^ESCTIN576954	Intentional local antipruritic poisoning
^ESCTIN576957	Intentional local astringent and detergent poisoning
^ESCTIN576960	Intentional hair treatment poisoning
^ESCTIN576965	Intentional allopurinol poisoning
^ESCTIN576968	Intentional colchicine poisoning
^ESCTIN576971	Intentional probenecid poisoning
^ESCTIN576973	Intentional gold salt poisoning
^ESCTIN576975	Intentional antirheumatic poisoning
^ESCTIN576980	Intentional prostaglandin poisoning
^ESCTIN576984	Intentional naloxone poisoning
^ESCTIN576987	Intentional levallorphan poisoning
^ESCTIN576990	Intentional nalorphine poisoning
^ESCTIN576995	Intentional protamine sulphate poisoning
^ESCTIN576996	Intentional protamine sulfate poisoning
^ESCTIN577000	Intentional chelating agent poisoning
^ESCTIN577008	Intentional flucytosine poisoning
^ESCTIN577011	Intentional griseofulvin poisoning
^ESCTIN577014	Intentional amphotericin B poisoning
^ESCTIN577017	Intentional nystatin poisoning
^ESCTIN577020	Intentional trichomycin poisoning
^ESCTIN577023	Intentional idoxuridine poisoning
^ESCTIN577026	Intentional pyrimethamine poisoning
^ESCTIN577029	Intentional chloroquine poisoning
^ESCTIN577032	Intentional primaquine poisoning
^ESCTIN577035	Intentional quinine poisoning
^ESCTIN577039	Intentional mefloquine poisoning
^ESCTIN577042	Intentional proguanil poisoning
^ESCTIN577045	Intentional cycloguanil poisoning
^ESCTIN577048	Intentional piperazine poisoning
^ESCTIN577052	Intentional thiabendazole poisoning
^ESCTIN577053	Intentional tiabendazole poisoning
^ESCTIN577057	Intentional hexylresorcinol poisoning
^ESCTIN577061	Intentional kanamycin poisoning
^ESCTIN577064	Intentional streptomycin poisoning
^ESCTIN577068	Intentional gentamicin poisoning
^ESCTIN577072	Intentional tobramycin poisoning
^ESCTIN577076	Intentional netilmicin poisoning
^ESCTIN577079	Intentional erythromycin poisoning
^ESCTIN577083	Intentional azithromycin poisoning
^ESCTIN577087	Intentional clarithromycin poisoning
^ESCTIN577090	Intentional oleandomycin poisoning
^ESCTIN577093	Intentional spiramycin poisoning
^ESCTIN577098	Intentional sodium fusidate poisoning
^ESCTIN577102	Intentional spectinomycin poisoning
^ESCTIN577106	Intentional vancomycin poisoning
^ESCTIN577110	Intentional trimethoprim poisoning
^ESCTIN577113	Intentional nitrofuran derivative poisoning
^ESCTIN577117	Intentional fusidic acid poisoning
^ESCTIN577121	Intentional 4-quinolones poisoning
^ESCTIN577124	Intentional ampicillin poisoning
^ESCTIN577127	Intentional cloxacillin poisoning
^ESCTIN577130	Intentional carbenicillin poisoning
^ESCTIN577133	Intentional penicillin G poisoning
^ESCTIN577137	Intentional flucloxacillin poisoning
^ESCTIN577141	Intentional piperacillin poisoning
^ESCTIN577146	Intentional cefadroxil poisoning
^ESCTIN577150	Intentional cephalexin poisoning
^ESCTIN577151	Intentional cefalexin poisoning
^ESCTIN577155	Intentional cephalothin poisoning
^ESCTIN577161	Intentional cephazolin poisoning
^ESCTIN577162	Intentional cefazolin poisoning
^ESCTIN577169	Intentional cephradine poisoning
^ESCTIN577170	Intentional cefradine poisoning
^ESCTIN577175	Intentional latamoxef poisoning
^ESCTIN577180	Intentional cefaclor poisoning
^ESCTIN577184	Intentional cefuroxime poisoning
^ESCTIN577188	Intentional cephamandole poisoning
^ESCTIN577193	Intentional cefotaxime poisoning
^ESCTIN577197	Intentional ceftazidime poisoning
^ESCTIN577201	Intentional ceftizoxime poisoning
^ESCTIN577205	Intentional cefixime poisoning
^ESCTIN577210	Intentional cefodizime poisoning
^ESCTIN577214	Intentional cefpodoxime poisoning
^ESCTIN577218	Intentional ceftriaxone poisoning
^ESCTIN577222	Intentional ceftibuten poisoning
^ESCTIN577226	Intentional cefsulodin poisoning
^ESCTIN577231	Intentional cefpirome poisoning
^ESCTIN577234	Intentional cephaloridine poisoning
^ESCTIN577238	Intentional sulphadiazine poisoning
^ESCTIN577239	Intentional sulfadiazine poisoning
^ESCTIN577244	Intentional sulphafurazole poisoning
^ESCTIN577245	Intentional sulfafurazole poisoning
^ESCTIN577250	Intentional sulphamethoxazole poisoning
^ESCTIN577251	Intentional sulfamethoxazole poisoning
^ESCTIN577255	Intentional doxycycline poisoning
^ESCTIN577258	Intentional minocycline poisoning
^ESCTIN577261	Intentional oxytetracycline poisoning
^ESCTIN577264	Intentional tetracycline poisoning
^ESCTIN577268	Intentional chloramphenicol poisoning
^ESCTIN577276	Intentional co-trimoxazole poisoning
^ESCTIN577277	Intentional sulfamethoxazole and trimethoprim poisoning
^ESCTIN577282	Intentional hydroxyquinoline poisoning
^ESCTIN577285	Intentional diiodohydroxyquinoline poisoning
^ESCTIN577288	Intentional rifampin poisoning
^ESCTIN577291	Intentional isoniazid poisoning
^ESCTIN577294	Intentional ethambutol poisoning
^ESCTIN577297	Intentional cycloserine poisoning
^ESCTIN577301	Intentional antileprotic drug poisoning
^ESCTIN577304	Intentional ethionamide poisoning
^ESCTIN577307	Intentional para-aminosalicylic acid poisoning
^ESCTIN577311	Intentional sulphone poisoning
^ESCTIN577312	Intentional sulfone poisoning
^ESCTIN577319	Intentional pesticide product poisoning
^ESCTIN577403	Intentional thiouracil poisoning
^ESCTIN577407	Intentional carbimazole poisoning
^ESCTIN577412	Intentional cortisone derivative poisoning
^ESCTIN577415	Intentional desoxycorticosterone derivative poisoning
^ESCTIN577418	Intentional fluorinated corticosteroid poisoning
^ESCTIN577421	Intentional glucagon poisoning
^ESCTIN577424	Intentional insulin poisoning
^ESCTIN577429	Intentional acetohexamide poisoning
^ESCTIN577432	Intentional chlorpropamide poisoning
^ESCTIN577435	Intentional tolbutamide poisoning
^ESCTIN577441	Intentional poisoning by glibenclamide
^ESCTIN577442	Intentional poisoning caused by glibenclamide
^ESCTIN577447	Intentional poisoning by metformin
^ESCTIN577448	Intentional poisoning caused by metformin
^ESCTIN577452	Intentional phenformin poisoning
^ESCTIN577456	Intentional progestogen poisoning
^ESCTIN577459	Intentional oral contraceptive poisoning
^ESCTIN577463	Intentional oestrogen poisoning
^ESCTIN577464	Intentional estrogen poisoning
^ESCTIN577469	Intentional combined oestrogen and progesterone poisoning
^ESCTIN577470	Intentional combined estrogen and progesterone poisoning
^ESCTIN577475	Intentional testosterone poisoning
^ESCTIN577479	Intentional nandrolone poisoning
^ESCTIN577482	Intentional oxymetholone poisoning
^ESCTIN577485	Intentional methandriol poisoning
^ESCTIN577488	Intentional liothyronine poisoning
^ESCTIN577491	Intentional thyroxin poisoning
^ESCTIN577495	Intentional laevothyroxine sodium poisoning
^ESCTIN577496	Intentional levothyroxine sodium poisoning
^ESCTIN577500	Intentional thyroglobulin poisoning
^ESCTIN577505	Intentional corticotropin poisoning
^ESCTIN577506	Intentional corticotrophin poisoning
^ESCTIN577510	Intentional gonadotrophin poisoning
^ESCTIN577511	Intentional gonadotropin poisoning
^ESCTIN577515	Intentional oxytocin poisoning
^ESCTIN577518	Intentional somatotrophin poisoning
^ESCTIN577522	Intentional thyrotrophic hormone poisoning
^ESCTIN577525	Intentional vasopressin poisoning
^ESCTIN577528	Intentional parathyroid hormone poisoning
^ESCTIN577531	Intentional macromolecular blood substitute poisoning
^ESCTIN577534	Intentional blood plasma poisoning
^ESCTIN577537	Intentional human fibrinogen poisoning
^ESCTIN577540	Intentional warfarin sodium poisoning
^ESCTIN577543	Intentional coumarin poisoning
^ESCTIN577546	Intentional heparin poisoning
^ESCTIN577549	Intentional phenindione poisoning
^ESCTIN577552	Intentional aminocaproic acid poisoning
^ESCTIN577557	Intentional ferrous sulphate poisoning
^ESCTIN577558	Intentional ferrous sulfate poisoning
^ESCTIN577562	Intentional ferric salt poisoning
^ESCTIN577566	Intentional iodide poisoning
^ESCTIN577569	Intentional vitamin A poisoning
^ESCTIN577572	Intentional vitamin D poisoning
^ESCTIN577575	Intentional vitamin K poisoning
^ESCTIN577579	Intentional folic acid poisoning
^ESCTIN577582	Intentional nicotinic acid derivative poisoning
^ESCTIN577585	Intentional electrolyte agent poisoning
^ESCTIN577588	Intentional clofibrate poisoning
^ESCTIN577592	Intentional disopyramide poisoning
^ESCTIN577595	Intentional quinidine poisoning
^ESCTIN577598	Intentional procainamide poisoning
^ESCTIN577602	Intentional amiodarone poisoning
^ESCTIN577609	Intentional bendroflumethiazide poisoning
^ESCTIN577610	Intentional bendrofluazide poisoning
^ESCTIN577614	Intentional chlorothiazide poisoning
^ESCTIN577617	Intentional saluretic poisoning
^ESCTIN577622	Intentional frusemide poisoning
^ESCTIN577623	Intentional furosemide poisoning
^ESCTIN577628	Intentional potassium sparing diuretic poisoning
^ESCTIN577632	Intentional osmotic diuretic poisoning
^ESCTIN577635	Intentional acetazolamide poisoning
^ESCTIN577639	Intentional guanethidine poisoning
^ESCTIN577643	Intentional poisoning by angiotensin-converting enzyme inhibitor
^ESCTIN577644	Intentional poisoning caused by angiotensin-converting enzyme inhibitor
^ESCTIN577649	Intentional digoxin poisoning
^ESCTIN577653	Intentional phosphodiesterase inhibitor poisoning
^ESCTIN577657	Intentional ergot alkaloid poisoning
^ESCTIN577661	Intentional diazoxide poisoning
^ESCTIN577665	Intentional hydralazine poisoning
^ESCTIN577668	Intentional dipyridamole poisoning
^ESCTIN577671	Intentional nitrate poisoning
^ESCTIN577676	Intentional nitrite poisoning
^ESCTIN577679	Intentional streptodornase poisoning
^ESCTIN577682	Intentional streptokinase poisoning
^ESCTIN577685	Intentional urokinase poisoning
^ESCTIN577688	Intentional penicillinase poisoning
^ESCTIN577691	Intentional spermicide poisoning
^ESCTIN581432	Intentional paracetamol and dextropropoxyphene overdose
^ESCTIN581433	Intentional acetaminophen and dextropropoxyphene overdose
^ESCTIN581444	Intentional pentazocine overdose
^ESCTIN581448	Intentional phenazocine overdose
^ESCTIN581454	Intentional dextromoramide overdose
^ESCTIN581458	Intentional dextropropoxyphene overdose
^ESCTIN581462	Intentional dipipanone overdose
^ESCTIN581472	Intentional buprenorphine overdose
^ESCTIN581476	Intentional overdose by codeine
^ESCTIN581488	Intentional nalbuphine overdose
^ESCTIN581492	Intentional morphine overdose
^ESCTIN581498	Intentional alfentanil overdose
^ESCTIN581502	Intentional fentanyl overdose
^ESCTIN581506	Intentional pethidine overdose
^ESCTIN581510	Intentional phenoperidine overdose
^ESCTIN581514	Intentional meptazinol overdose
^ESCTIN581518	Intentional levorphanol overdose
^ESCTIN581528	Intentional acemetacin overdose
^ESCTIN581532	Intentional azapropazone overdose
^ESCTIN581536	Intentional diclofenac overdose
^ESCTIN581540	Intentional etodolac overdose
^ESCTIN581544	Intentional felbinac overdose
^ESCTIN581548	Intentional fenbufen overdose
^ESCTIN581552	Intentional fenoprofen overdose
^ESCTIN581556	Intentional flurbiprofen overdose
^ESCTIN581560	Intentional ibuprofen overdose
^ESCTIN581566	Intentional indomethacin overdose
^ESCTIN581567	Intentional indometacin overdose
^ESCTIN581572	Intentional ketoprofen overdose
^ESCTIN581579	Intentional ketorolac overdose
^ESCTIN581583	Intentional mefenamic acid overdose
^ESCTIN581587	Intentional nabumetone overdose
^ESCTIN581591	Intentional naproxen overdose
^ESCTIN581595	Intentional nefopam overdose
^ESCTIN581599	Intentional oxyphenbutazone overdose
^ESCTIN581603	Intentional phenylbutazone overdose
^ESCTIN581607	Intentional piroxicam overdose
^ESCTIN581611	Intentional sulindac overdose
^ESCTIN581615	Intentional tenoxicam overdose
^ESCTIN581619	Intentional tiaprofenic acid overdose
^ESCTIN581623	Intentional tolmetin overdose
^ESCTIN581632	Intentional radiopharmaceutical overdose
^ESCTIN581635	Intentional X-ray diagnostic contrast media overdose
^ESCTIN581644	Intentional magnetic resonance imaging contrast media overdose
^ESCTIN581651	Intentional bismuth compound overdose
^ESCTIN581655	Intentional sucralfate overdose
^ESCTIN581659	Intentional liquorice overdose
^ESCTIN581663	Intentional misoprostol overdose
^ESCTIN581668	Intentional cimetidine overdose
^ESCTIN581672	Intentional famotidine overdose
^ESCTIN581677	Intentional nizatidine overdose
^ESCTIN581684	Intentional ranitidine overdose
^ESCTIN581686	Intentional overdose of H2 antagonist
^ESCTIN581691	Intentional omeprazole overdose
^ESCTIN581695	Intentional lansoprazole overdose
^ESCTIN581699	Intentional carbenoxolone overdose
^ESCTIN581703	Intentional pirenzepine overdose
^ESCTIN581707	Intentional 5-aminosalicylic acid overdose
^ESCTIN581715	Intentional aluminium hydroxide overdose
^ESCTIN581716	Intentional aluminum hydroxide overdose
^ESCTIN581721	Intentional magnesium trisilicate overdose
^ESCTIN581726	Intentional loperamide overdose
^ESCTIN581730	Intentional kaolin overdose
^ESCTIN581735	Intentional cisapride overdose
^ESCTIN581740	Intentional nabilone overdose
^ESCTIN581744	Intentional domperidone overdose
^ESCTIN581748	Intentional metoclopramide overdose
^ESCTIN581754	Intentional 5-HT3-receptor antagonist overdose
^ESCTIN581755	Intentional 5-hydroxytryptamine-3-receptor antagonist overdose
^ESCTIN581761	Intentional bisacodyl overdose
^ESCTIN581767	Intentional danthron overdose
^ESCTIN581768	Intentional dantron overdose
^ESCTIN581775	Intentional sodium picosulphate overdose
^ESCTIN581776	Intentional sodium picosulfate overdose
^ESCTIN581781	Intentional lactulose overdose
^ESCTIN581787	Intentional magnesium sulphate overdose
^ESCTIN581788	Intentional magnesium sulfate overdose
^ESCTIN581793	Intentional bulk-forming laxative overdose
^ESCTIN581797	Intentional anthraquinone laxative overdose
^ESCTIN581801	Intentional cascara overdose
^ESCTIN581805	Intentional senna overdose
^ESCTIN581812	Intentional docusate overdose
^ESCTIN581817	Intentional castor oil overdose
^ESCTIN581821	Intentional phenolphthalein overdose
^ESCTIN581828	Intentional dioctyl sulphosuccinate overdose
^ESCTIN581829	Intentional dioctyl sulfosuccinate overdose
^ESCTIN581834	Intentional antispasmodic overdose
^ESCTIN581838	Intentional bile agent overdose
^ESCTIN581844	Intentional nitrous oxide overdose
^ESCTIN581852	Intentional etomidate overdose
^ESCTIN581857	Intentional ketamine overdose
^ESCTIN581861	Intentional propofol overdose
^ESCTIN581865	Intentional thiopental sodium overdose
^ESCTIN581869	Intentional methohexitone overdose
^ESCTIN581875	Intentional enflurane overdose
^ESCTIN581879	Intentional ether overdose
^ESCTIN581883	Intentional halothane overdose
^ESCTIN581887	Intentional isoflurane overdose
^ESCTIN581891	Intentional trichloroethylene overdose
^ESCTIN581895	Intentional desflurane overdose
^ESCTIN581901	Intentional bupivacaine overdose
^ESCTIN581905	Intentional cinchocaine overdose
^ESCTIN581909	Intentional prilocaine overdose
^ESCTIN581915	Intentional lidocaine overdose
^ESCTIN581916	Intentional lignocaine overdose
^ESCTIN581921	Intentional local cocaine overdose
^ESCTIN581928	Intentional benzocaine overdose
^ESCTIN581932	Intentional oxybuprocaine overdose
^ESCTIN581936	Intentional procaine overdose
^ESCTIN581940	Intentional proxymetacaine overdose
^ESCTIN581944	Intentional overdose by therapeutic gas
^ESCTIN581949	Intentional immunostimulant overdose
^ESCTIN581955	Intentional mitobronitol overdose
^ESCTIN581961	Intentional busulphan overdose
^ESCTIN581962	Intentional busulfan overdose
^ESCTIN581969	Intentional treosulphan overdose
^ESCTIN581970	Intentional treosulfan overdose
^ESCTIN581975	Intentional thiotepa overdose
^ESCTIN581980	Intentional chlorambucil overdose
^ESCTIN581984	Intentional cyclophosphamide overdose
^ESCTIN581988	Intentional ethoglucid overdose
^ESCTIN581992	Intentional ifosfamide overdose
^ESCTIN581996	Intentional melphalan overdose
^ESCTIN582000	Intentional estramustine overdose
^ESCTIN582008	Intentional chlormethine overdose
^ESCTIN582009	Intentional mustine overdose
^ESCTIN582010	Intentional mechlorethamine overdose
^ESCTIN582017	Intentional carmustine overdose
^ESCTIN582021	Intentional lomustine overdose
^ESCTIN582026	Intentional dacarbazine overdose
^ESCTIN582032	Intentional dactinomycin overdose
^ESCTIN582036	Intentional bleomycin overdose
^ESCTIN582040	Intentional mitomycin overdose
^ESCTIN582046	Intentional plicamycin overdose
^ESCTIN582050	Intentional aclarubicin overdose
^ESCTIN582056	Intentional mitoxantrone overdose
^ESCTIN582057	Intentional mitozantrone overdose
^ESCTIN582062	Intentional doxorubicin overdose
^ESCTIN582066	Intentional epirubicin overdose
^ESCTIN582070	Intentional idarubicin overdose
^ESCTIN582075	Intentional mercuric oxide overdose
^ESCTIN582079	Intentional methotrexate overdose
^ESCTIN582083	Intentional mercaptopurine overdose
^ESCTIN582089	Intentional thioguanine overdose
^ESCTIN582090	Intentional tioguanine overdose
^ESCTIN582095	Intentional pentostatin overdose
^ESCTIN582099	Intentional cytarabine overdose
^ESCTIN582104	Intentional fluorouracil overdose
^ESCTIN582108	Intentional etoposide overdose
^ESCTIN582112	Intentional amsacrine overdose
^ESCTIN582116	Intentional carboplatin overdose
^ESCTIN582120	Intentional cisplatin overdose
^ESCTIN582126	Intentional hydroxycarbamide overdose
^ESCTIN582127	Intentional hydroxyurea overdose
^ESCTIN582132	Intentional procarbazine overdose
^ESCTIN582136	Intentional razoxane overdose
^ESCTIN582140	Intentional crisantaspase overdose
^ESCTIN582145	Intentional paclitaxel overdose
^ESCTIN582149	Intentional fludarabine overdose
^ESCTIN582153	Intentional aminoglutethimide overdose
^ESCTIN582161	Intentional trilostane overdose
^ESCTIN582165	Intentional tamoxifen overdose
^ESCTIN582169	Intentional formestane overdose
^ESCTIN582174	Intentional vinblastine overdose
^ESCTIN582178	Intentional vincristine overdose
^ESCTIN582182	Intentional vindesine overdose
^ESCTIN582189	Intentional cyclosporin overdose
^ESCTIN582190	Intentional ciclosporin overdose
^ESCTIN582195	Intentional azathioprine overdose
^ESCTIN582200	Intentional central appetite depressant overdose
^ESCTIN582205	Intentional levodopa overdose
^ESCTIN582209	Intentional amantadine overdose
^ESCTIN582215	Intentional lysuride overdose
^ESCTIN582216	Intentional lisuride overdose
^ESCTIN582221	Intentional bromocriptine overdose
^ESCTIN582226	Intentional lithium overdose
^ESCTIN582230	Intentional amitriptyline overdose
^ESCTIN582234	Intentional amoxapine overdose
^ESCTIN582238	Intentional butriptyline overdose
^ESCTIN582242	Intentional clomipramine overdose
^ESCTIN582247	Intentional desipramine overdose
^ESCTIN582253	Intentional dosulepin overdose
^ESCTIN582254	Intentional dothiepin overdose
^ESCTIN582259	Intentional doxepin overdose
^ESCTIN582263	Intentional imipramine overdose
^ESCTIN582267	Intentional iprindole overdose
^ESCTIN582271	Intentional lofepramine overdose
^ESCTIN582278	Intentional nortriptyline overdose
^ESCTIN582282	Intentional protriptyline overdose
^ESCTIN582286	Intentional trimipramine overdose
^ESCTIN582292	Intentional phenelzine overdose
^ESCTIN582296	Intentional iproniazid overdose
^ESCTIN582300	Intentional isocarboxazid overdose
^ESCTIN582304	Intentional tranylcypromine overdose
^ESCTIN582308	Intentional moclobemide overdose
^ESCTIN582312	Intentional tryptophan overdose
^ESCTIN582316	Intentional venlafaxine overdose
^ESCTIN582321	Intentional sertraline overdose
^ESCTIN582325	Intentional paroxetine overdose
^ESCTIN582329	Intentional nefazodone overdose
^ESCTIN582333	Intentional citalopram overdose
^ESCTIN582337	Intentional fluoxetine overdose
^ESCTIN582341	Intentional fluvoxamine overdose
^ESCTIN582346	Intentional maprotiline overdose
^ESCTIN582350	Intentional mianserin overdose
^ESCTIN582354	Intentional trazodone overdose
^ESCTIN582358	Intentional viloxazine overdose
^ESCTIN582364	Intentional beclamide overdose
^ESCTIN582368	Intentional lamotrigine overdose
^ESCTIN582372	Intentional piracetam overdose
^ESCTIN582376	Intentional gabapentin overdose
^ESCTIN582382	Intentional overdose by sodium valproate
^ESCTIN582389	Intentional methylphenobarbitone overdose
^ESCTIN582390	Intentional methylphenobarbital overdose
^ESCTIN582398	Intentional phenobarbitone overdose
^ESCTIN582399	Intentional phenobarbital overdose
^ESCTIN582404	Intentional primidone overdose
^ESCTIN582408	Intentional overdose by carbamazepine
^ESCTIN582412	Intentional vigabatrin overdose
^ESCTIN582415	Intentional phenytoin overdose
^ESCTIN582419	Intentional ethosuximide overdose
^ESCTIN582423	Intentional clonazepam overdose
^ESCTIN582428	Intentional zopiclone overdose
^ESCTIN582432	Intentional zolpidem overdose
^ESCTIN582436	Intentional chlormezanone overdose
^ESCTIN582440	Intentional methyprylone overdose
^ESCTIN582444	Intentional paraldehyde overdose
^ESCTIN582451	Intentional amylobarbitone overdose
^ESCTIN582452	Intentional amobarbital overdose
^ESCTIN582457	Intentional butabarbitone overdose
^ESCTIN582461	Intentional cyclobarbitone overdose
^ESCTIN582467	Intentional quinalbarbitone overdose
^ESCTIN582468	Intentional secobarbital overdose
^ESCTIN582474	Intentional flunitrazepam overdose
^ESCTIN582478	Intentional flurazepam overdose
^ESCTIN582482	Intentional loprazolam overdose
^ESCTIN582486	Intentional lormetazepam overdose
^ESCTIN582490	Intentional nitrazepam overdose
^ESCTIN582494	Intentional triazolam overdose
^ESCTIN582500	Intentional alprazolam overdose
^ESCTIN582504	Intentional bromazepam overdose
^ESCTIN582511	Intentional clobazam overdose
^ESCTIN582517	Intentional potassium clorazepate overdose
^ESCTIN582518	Intentional dipotassium clorazepate overdose
^ESCTIN582523	Intentional ketazolam overdose
^ESCTIN582527	Intentional medazepam overdose
^ESCTIN582531	Intentional oxazepam overdose
^ESCTIN582535	Intentional prazepam overdose
^ESCTIN582539	Intentional midazolam overdose
^ESCTIN582546	Intentional lorazepam overdose
^ESCTIN582556	Intentional meprobamate overdose
^ESCTIN582561	Intentional chloral hydrate overdose
^ESCTIN582565	Intentional dichloralphenazone overdose
^ESCTIN582569	Intentional triclofos sodium overdose
^ESCTIN582573	Intentional buspirone overdose
^ESCTIN582579	Intentional chlormethiazole overdose
^ESCTIN582580	Intentional clomethiazole overdose
^ESCTIN582586	Intentional sulpiride overdose
^ESCTIN582590	Intentional loxapine overdose
^ESCTIN582594	Intentional clozapine overdose
^ESCTIN582598	Intentional risperidone overdose
^ESCTIN582602	Intentional tetrabenazine overdose
^ESCTIN582608	Intentional benperidol overdose
^ESCTIN582612	Intentional trifluperidol overdose
^ESCTIN582616	Intentional haloperidol overdose
^ESCTIN582620	Intentional droperidol overdose
^ESCTIN582625	Intentional pimozide overdose
^ESCTIN582629	Intentional fluspirilene overdose
^ESCTIN582637	Intentional levomepromazine overdose
^ESCTIN582638	Intentional methotrimeprazine overdose
^ESCTIN582644	Intentional pericyazine overdose
^ESCTIN582648	Intentional fluphenazine decanoate overdose
^ESCTIN582652	Intentional fluphenazine enanthate overdose
^ESCTIN582656	Intentional thiethylperazine overdose
^ESCTIN582660	Intentional chlorpromazine overdose
^ESCTIN582666	Intentional pipothiazine overdose
^ESCTIN582667	Intentional pipotiazine overdose
^ESCTIN582672	Intentional promazine overdose
^ESCTIN582676	Intentional thioridazine overdose
^ESCTIN582680	Intentional perphenazine overdose
^ESCTIN582684	Intentional prochlorperazine overdose
^ESCTIN582688	Intentional trifluoperazine overdose
^ESCTIN582695	Intentional flupenthixol decanoate overdose
^ESCTIN582696	Intentional flupentixol decanoate overdose
^ESCTIN582701	Intentional zuclopenthixol decanoate overdose
^ESCTIN582707	Intentional flupenthixol overdose
^ESCTIN582708	Intentional flupentixol overdose
^ESCTIN582713	Intentional oxypertine overdose
^ESCTIN582718	Intentional remoxipride overdose
^ESCTIN582720	Intentional overdose of non-barbiturate hypnotic
^ESCTIN582725	Intentional selegiline overdose
^ESCTIN582732	Intentional amphetamine overdose
^ESCTIN582733	Intentional amfetamine overdose
^ESCTIN582743	Intentional cannabis overdose
^ESCTIN582748	Intentional overdose by lysergic acid
^ESCTIN582752	Intentional psilocybin overdose
^ESCTIN582756	Intentional mescaline overdose
^ESCTIN582765	Intentional overdose by cocaine
^ESCTIN582769	Intentional overdose by crack cocaine
^ESCTIN582773	Intentional caffeine overdose
^ESCTIN582781	Intentional atenolol overdose
^ESCTIN582785	Intentional propranolol overdose
^ESCTIN582787	Intentional overdose of beta-adrenergic blocking drug
^ESCTIN582792	Intentional phenoxybenzamine overdose
^ESCTIN582796	Intentional nicotine overdose
^ESCTIN582800	Intentional overdose by calcium-channel blocker
^ESCTIN582806	Intentional pilocarpine overdose
^ESCTIN582810	Intentional acetylcholine overdose
^ESCTIN582814	Intentional anticholinesterase overdose
^ESCTIN582823	Intentional metaraminol overdose
^ESCTIN582828	Intentional salbutamol overdose
^ESCTIN582834	Intentional overdose of isoprenaline
^ESCTIN582839	Intentional clonidine overdose
^ESCTIN582844	Intentional hyoscine overdose
^ESCTIN582848	Intentional atropine overdose
^ESCTIN582853	Intentional acetylcysteine overdose
^ESCTIN582858	Intentional nikethamide overdose
^ESCTIN582865	Intentional chlorphenamine overdose
^ESCTIN582866	Intentional chlorpheniramine overdose
^ESCTIN582871	Intentional diphenhydramine overdose
^ESCTIN582875	Intentional diphenylpyraline overdose
^ESCTIN582879	Intentional thonzylamine overdose
^ESCTIN582883	Intentional tripelennamine overdose
^ESCTIN582887	Intentional hydroxyzine overdose
^ESCTIN582892	Intentional aminophylline overdose
^ESCTIN582896	Intentional theophylline overdose
^ESCTIN582900	Intentional bronchodilator preparations overdose
^ESCTIN582906	Intentional dithranol overdose
^ESCTIN582911	Intentional gamolenic acid overdose
^ESCTIN582916	Intentional etretinate overdose
^ESCTIN582920	Intentional acitretin overdose
^ESCTIN582924	Intentional tretinoin overdose
^ESCTIN582928	Intentional isotretinoin overdose
^ESCTIN582935	Intentional allopurinol overdose
^ESCTIN582942	Intentional colchicine overdose
^ESCTIN582948	Intentional baclofen overdose
^ESCTIN582952	Intentional methocarbamol overdose
^ESCTIN582956	Intentional gold salt overdose
^ESCTIN582961	Intentional papaverine overdose
^ESCTIN582967	Intentional prostaglandin overdose
^ESCTIN582974	Intentional naloxone overdose
^ESCTIN582980	Intentional protamine sulphate overdose
^ESCTIN582981	Intentional protamine sulfate overdose
^ESCTIN582993	Intentional flucytosine overdose
