emis	Description
HYOI5002	Hydrocortisone  Ointment  1 %
MOOI3963	Modrasone  Ointment  0.05 %
NESH28314NEMIS	Neutrogena T/Gel  Shampoo  For Dry Hair
PSOIEGTON6512	Psorin  Ointment  
SEOI15013NEMIS	Sebco  Ointment  
SYOI2765	Synalar-C  Ointment  
SYOI2766	Synalar-N  Ointment  
TROI4444	Tri-Adcortyl Otic  Ointment  
DILO3454	Diprosalic  Scalp application  0.05 % + 2 %
DOCR23974EMIS	Dovonex  Cream  50 micrograms/gram
EUCR1123	Eumovate  Cream  0.05 %
EVCR15221NEMIS	Evening Primrose Oil  Cream  20 %
FLCR24418EMIS	Fluticasone Propionate  Cream  0.05 %
FLGE1199	Fluocinolone Acetonide  Gel  0.025 %
FLTA41274NEMIS	Fludroxycortide  Tape  4 micrograms/square cm, 7.5 cm
MILI8502EGTON	Mildison  Lipocream  1 %
MOCR22380EMIS	Mometasone Furoate  Cream  0.1 %
NEOI10458BRIDL	Nerisone  Oily cream  0.1 %
NEOI10462BRIDL	Nerisone Forte  Oily cream  0.3 %
PRCR2385	Propaderm  Cream  0.025 %
PSCREGTON6470	Psoriderm  Cream  
SYCR9250BRIDL	Synalar N  Cream  
SYGE2763	Synalar  Gel  0.025 %
TAGE31233EMIS	Tazarotene  Gel  0.1 %
TAOI12897NEMIS	Tacrolimus  Ointment  0.03 %
TECR4401	Terra-Cortril Nystatin  Cream  
TRCR4456	Trimovate  Cream  
LOLO3848	Locoid  Scalp lotion  0.1 %
LOOI8683EGTON	Locoid  Ointment  0.1 %
MEOI1809	Metosyn  Ointment  0.05 %
MOOI22382EMIS	Mometasone Furoate  Ointment  0.1 %
NEOI10464BRIDL	Nerisone Forte  Ointment  0.3 %
QUCR4250	Quinocort  Cream  
SAOI8787EGTON	Salicylic Acid  Ointment  2 %
SYCREGTON6250	Synalar 1 In 4 Dilution  Cream  0.00625 %
ZIPAEGTON6536	Zinc And Salicylic Acid  Paste  
STLO9650BRIDL	Stiedex  Lotion  
SYCR2761	Synalar  Cream  0.025 %
SYOI2764	Synalar  Ointment  0.025 %
TICR2861	Timodine  Cream  
TOCA31059NEMIS	Toctino  Capsules  30 mg
TRCR2904	Tri-Adcortyl  Cream  
ZIPAEGTON6447	Zinc And Coal Tar  Paste  
ZOGE31229EMIS	Zorac  Gel  0.1 %
BEOI20607EMIS	Betamethasone Valerate  Ointment  0.025 %
BEOI4642	Betamethasone  Ointment  0.05 % (as dipropionate)
CAOIEGTON6429	Calamine And Coal Tar  Ointment  
CUOI28149EMIS	Cutivate  Ointment  0.005 %
DEOI3407	Dermovate-Nn  Ointment  
DICR8830EGTON	Dithrocream  Cream  0.25 %
DOGE45841NEMIS	Dovobet  Gel  
EFCR1023	Efcortelan  Cream  0.5 %
FLOI1200	Fluocinolone Acetonide  Ointment  0.025 %
FUCR3609	Fucibet  Cream  
HYCREGTON6239	Hydrocortisone  Cream  1 %
HYOIEGTON6230	Hydromol Bath And Shower  Emollient  
MICR29932EMIS	Micanol  Cream  3 %
PIBA20873NEMIS	Pine Tar  Bath oil  2.3 %
PIGE20879NEMIS	Pinetarsol  Gel  1.6 %
PROI2386	Propaderm  Ointment  0.025 %
T/SHEGTON8178	T/Gel  Therapeutic Shampoo  2 %
TALO28857NEMIS	Tacalcitol Monohydrate  Lotion  4 micrograms/gram
ULCREGTON6268	Ultralanum Plain  Cream  
HACR7204	Halcinonide  Cream  0.1 %
HYCR9283BRIDL	Hydrocortisone  Cream  0.1 %
LOCR6963	Locoid Lipocream  Cream  0.1 %
NECA22017EMIS	Neotigason  Capsules  10 mg
PIBA20875NEMIS	Pinetarsol  Bath oil  2.3 %
PITO20876NEMIS	Pine Tar  Topical solution  2.3 %
PSSCEGTON8184	Psoriderm  Scalp lotion  
SIGE77608NEMIS	Silderm Scar  Gel  
SYCR10746BRIDL	Synalar C  Cream  
SYOIEGTON6251	Synalar 1 In 4 Dilution  Ointment  0.00625 %
TOCA31058NEMIS	Toctino  Capsules  10 mg
CACR461	Calmurid  Cream  10 %
DICR952	Dithrocream  Cream  0.1 %
DIOI4837	Diflucortolone Valerate  Ointment  0.1 %
DOGE51183NEMIS	Doublebase Dayleve  Gel  
ELCR22373EMIS	Elocon  Cream  0.1 %
ELOI22374EMIS	Elocon  Ointment  0.1 %
EUCR11329NEMIS	Eurax Hc  Cream  
FUCR986NEMIS	Fusidic Acid And Hydrocortisone Acetate  Cream  2 % + 1 %
HYOI991NEMIS	Hydrocortisone And Miconazole  Ointment  1 % + 2 %
MECR1808	Metosyn  Cream  0.05 %
PIGE20878NEMIS	Pine Tar  Gel  1.6 %
PSBA9884BRIDL	Psoriderm  Bath emulsion  40 %
SAOI7271	Salicylic Acid  Ointment  50 %
STOI10474HILLI	Stiedex Lp  Oily cream  0.05 %
TAOI12898NEMIS	Tacrolimus  Ointment  0.1 %
CLSHEGTON8210	Clinitar  Shampoo  2 %
COCR3458NEMIS	Coal Tar Extract  Cream  1 %
DAOI8859BRIDL	Daktacort  Ointment  
DICR3449	Dioderm  Cream  0.1 %
DICR3456	Diprosone  Cream  0.05 %
DICR951	Dithranol  Cream  0.1 %
DIOI9415HILLI	Diflucortolone Valerate  Oily cream  0.3 %
DOOI9048EMIS	Dovonex  Ointment  50 micrograms/gram
ELCR14322NEMIS	Elidel  Cream  1 %
FLCR1197	Fluocinolone Acetonide  Cream  0.025 %
FLCR1201	Fluocinonide  Cream  0.05 %
FLCR7083	Fluocinolone Acetonide  Cream  0.0025 %
FLOI28151EMIS	Fluticasone Propionate  Ointment  0.005 %
GELIEGTON8202	Gelcotar  Liquid  
HACREGTON6272	Haelan  Cream  0.0125 %
HYCR1389	Hydrocortisone  Cream  0.5 %
HYCR40021NEMIS	Hydromol Intensive  Cream  10 %
MOCR3962	Modrasone  Cream  0.05 %
NECR4020	Nerisone  Cream  0.1 %
SYCREGTON6253	Synalar 1 In 10 Dilution  Cream  0.0025 %
ALCR4564	Alclometasone Dipropionate  Cream  0.05 %
AUOI81524NEMIS	Audavate Rd  Ointment  0.025 %
BELO3068NEMIS	Betamethasone  Lotion  0.05 % (as dipropionate)
BELO9285BRIDL	Betnovate  Lotion  0.1 %
BEOI360	Betnovate-C  Ointment  
CACR11263NEMIS	Canesten Hydrocortisone  Cream  
CACR462	Calmurid Hc  Cream  
CACREGTON7230	Carbo-Dome  Cream  10 %
DEOI17618NEMIS	Desoximetasone  Oily cream  0.05 %
DIOI3455	Diprosalic  Ointment  0.05 % + 3 %
DIOI6777	Dithranol  Ointment  0.4 %
DIOI9490EMIS	Diflucortolone Valerate  Oily cream  0.1 %
HYCR1391	Hydrocortisone  Cream  2.5 %
MICR29931EMIS	Micanol  Cream  1 %
MOLO22381EMIS	Mometasone Furoate  Scalp lotion  0.1 %
PRCR8887BRIDL	Pragmatar  Cream  
SISP79258NEMIS	Silderm Scar  Spray  
TAGE31232EMIS	Tazarotene  Gel  0.05 %
TEOI2821	Terra-Cortril  Ointment  
VIOI4515	Vioform-Hydrocortisone  Ointment  
ZOGE31228EMIS	Zorac  Gel  0.05 %
BEME37226NEMIS	Betamethasone Valerate  Medicated Plaster  2.25 mg
CASC25445EMIS	Calcipotriol  Scalp solution  50 micrograms/ml
CLCR76911NEMIS	Clobaderm  Cream  0.05 %
CLOI646	Clobetasone Butyrate  Ointment  0.05 %
COCR6832	Coal Tar Solution  Cream  10 %
DECR3406	Dermovate-Nn  Cream  
DIOI3457	Diprosone  Ointment  0.05 %
FLCR7084	Fluocinolone Acetonide  Cream  0.00625 %
GACA8477EGTON	Gamolenic Acid  Capsules  40 mg
HACREGTON7205	Halciderm Topical  Cream  0.1 %
HYCR990NEMIS	Hydrocortisone And Miconazole  Cream  1 % + 2 %
ICOIEGTON6520	Ichthammol  Ointment  10 % BP
NECA22018EMIS	Neotigason  Capsules  25 mg
NYOI2048	Nystaform-Hc  Ointment  
PROI12896NEMIS	Protopic  Ointment  0.1 %
PSSC26051EMIS	Psorin  Scalp gel  
TAOI28095EMIS	Tacalcitol Monohydrate  Ointment  4 micrograms/gram
ULOIEGTON6269	Ultralanum Plain  Ointment  
VICR4514	Vioform-Hydrocortisone  Cream  
