aw11.	Orlistat 120mg capsule
dibE.	Paracetamol+dihydrocodeine tartrate 500mg/20mg tablet
dibf.	Paramol 10/500mg tablet
dibF.	Paracetamol+dihydrocodeine tartrate 500mg/30mg tablet
dibG.	Tylex Effervescent soluble tablet
dibp.	Syndol tablet
dibS.	Solpadol capsule
dibt.	Tylex capsule
dibu.	Solpadol effervescent tablet
dibv.	Remedeine tablet
dibw.	Remedeine Forte tablet
dibW.	Medocodene 30/500 capsule
dibz.	Solpadol Caplet
dic3.	Zapain Caplet
dic4.	Zapain capsule
dica.	CODIPAR 15mg/500mg effervescent tablets
dicN.	Kapake 30/500 effervescent tablet
dicO.	Tramacet 325mg/37.5mg tablet
dicv.	PARACETAMOL+CODEINE PHOSPHATE 500mg/15mg effervescent tablet
dicx.	PARACETAMOL+TRAMADOL HCL 325mg/37.5mg effervescent tablets
dicY.	TRAMACET 325mg/37.5mg effervescent tablets
dicz.	Paracetamol 325mg / tramadol hydrochloride 37.5mg tablet
dicZ.	NUROMOL 200mg/500mg tablets
did7.	Paracetamol 1000mg/100mL infusion
didH.	PANADOL OA 1000mg tablets
didt.	PARACETAMOL 1g suppositories
dj1f.	MST Continus 10mg m/r tablet
dj1g.	MST Continus 30mg m/r tablet
dj1G.	Morphine sulphate 10mg/5mL oral unit dose vial
dj1h.	MST Continus 60mg m/r tablet
dj1H.	Oramorph 30mg/5mL oral unit dose vial
dj1i.	MST Continus 100mg m/r tablet
dj1I.	Morphine sulphate 30mg/5mL oral unit dose vial
dj1J.	Oramorph 100mg/5mL oral unit dose vial
dj1K.	Morphine sulphate 100mg/5mL oral unit dose vial
dj1L.	Morphine sulphate 10mg/5mL oral solution
dj1N.	MST Continus 20mg/sachet granules for suspension
dj1P.	MST Continus 30mg/sachet granules for suspension
dj1r.	Sevredol 10mg tablet
dj1s.	Sevredol 20mg tablet
dj1t.	MST Continus 200mg m/r tablet
dj1X.	MST Continus 100mg/sachet granules for suspension
dj1y.	MST Continus 5mg m/r tablet
dj1Y.	MST Continus 200mg/sachet granules for suspension
dj1z.	MST Continus 15mg m/r tablet
dj31.	Temgesic 200mcg sublingual tablet
dj34.	Temgesic 400mcg sublingual tablet
dj35.	Buprenorphine 400micrograms sublingual tablet
dj36.	Subutex 400micrograms sublingual tablet
dj37.	Subutex 2mg sublingual tablet
dj38.	Subutex 8mg sublingual tablet
dj39.	Transtec 35micrograms/hour transdermal patch
dj3a.	Transtec 52.5micrograms/hour transdermal patch
dj3A.	BuTrans 5micrograms/hour patch
dj3b.	Transtec 70micrograms/hour transdermal patch
dj3B.	BuTrans 10micrograms/hour patch
dj3C.	BuTrans 20micrograms/hour patch
dj3D.	BUPRENORPHINE+NALOXONE 2mg/0.5mg sublingual tablets
dj3E.	SUBOXONE 2mg/0.5mg sublingual tablets
dj3f.	TEPHINE 200micrograms sublingual tablets
dj3F.	BUPRENORPHINE+NALOXONE 8mg/2mg sublingual tablets
dj3G.	SUBOXONE 8mg/2mg sublingual tablets
dj3H.	HAPOCTASIN 70micrograms/hour patches
dj3I.	HAPOCTASIN 52.5micrograms/hour patches
dj3J.	HAPOCTASIN 35micrograms/hour patches
dj3o.	Buprenorphine 5micrograms/hour patch
dj3p.	Buprenorphine 10micrograms/hour patch
dj3q.	Buprenorphine 20micrograms/hour patch
dj3r.	Buprenorphine 70micrograms/hour transdermal patch
dj3s.	Buprenorphine 52.5micrograms/hour transdermal patch
dj3t.	Buprenorphine 35micrograms/hour transdermal patch
dj3T.	BUPRENORPHINE 1mg sublingual tablets
dj3u.	Buprenorphine 2mg sublingual tablet
dj3U.	BUPRENORPHINE 4mg sublingual tablets
dj3v.	Buprenorphine 8mg sublingual tablet
dj3V.	BUPRENORPHINE 6mg sublingual tablets
dj3x.	Buprenorphine 200micrograms sublingual tablet
dj41.	Codeine phosphate 15mg tablet
dj42.	Codeine phosphate 30mg tablet
dj43.	Codeine phosphate 60mg tablet
dj44.	Codeine phosphate 25mg/5mL syrup
dj45.	Codeine phosphate 60mg/1mL injection
dj51.	Palfium 5mg tablet
dj52.	Palfium 10mg tablet
dj61.	Dextropropoxyphene hydrochloride 65mg capsule
dj72.	Diamorphine hydrochloride 5mg injection
dj73.	Diamorphine hydrochloride 10mg injection
dj74.	Diamorphine hydrochloride 30mg injection
dj82.	Dihydrocodeine tartrate 10mg/5mL elixir
dj83.	Dihydrocodeine tartrate 50mg/1mL injection
dj87.	DHC Continus 60mg m/r tablet
dj88.	Dihydrocodeine tartrate 60mg m/r tablet
dj89.	DHC Continus 90mg m/r tablet
dj8a.	DHC Continus 120mg m/r tablet
dj8b.	Dihydrocodeine tartrate 90mg m/r tablet
dj8c.	Dihydrocodeine tartrate 120mg m/r tablet
dj8d.	DF118 Forte 40mg tablet
dj91.	Diconal tablet
djA4.	ZERIDAME SR 100mg m/r tablets
djA5.	ZERIDAME SR 150mg m/r tablets
djAb.	MAXITRAM SR 50mg m/r capsules
djAc.	MAXITRAM SR 100mg m/r capsules
djAd.	MAXITRAM SR 150mg m/r capsules
djAe.	MAXITRAM SR 200mg m/r capsules
djAf.	MAROL 100mg m/r tablets
djAg.	MAROL 150mg m/r tablets
djAh.	MAROL 200mg m/r tablets
djB1.	PALEXIA SR 50mg m/r tablets
djB2.	PALEXIA SR 100mg m/r tablets
djB3.	PALEXIA SR 150mg m/r tablets
djB4.	PALEXIA SR 200mg m/r tablets
djB6.	PALEXIA 50mg tablets
djBT.	TAPENTADOL 75mg tablets
djBU.	TAPENTADOL 50mg tablets
djBV.	TAPENTADOL 250mg m/r tablets
djBW.	TAPENTADOL 200mg m/r tablets
djBX.	TAPENTADOL 150mg m/r tablets
djBY.	TAPENTADOL 100mg m/r tablets
djBZ.	TAPENTADOL 50mg m/r tablets
djc1.	Physeptone 5mg tablet
djc8.	Methadone hydrochloride 20mg/mL s/f liquid
djcC.	Methadone 1mg/1mL s/f mixture
djcC.	Methadone 1mg/1mL s/f oral solution
djcC.	Methadone 5mg/5mL s/f mixture
djcC.	Methadone 5mg/5mL s/f oral solution
djcu.	Methadone hydrochloride 50mg/1mL injection
djcy.	Methadone hydrochloride 5mg tablet
djcz.	Methadone hydrochloride 10mg/1mL injection
djf1.	Pentazocine hydrochloride 50mg capsule
djf2.	Pentazocine hydrochloride 25mg tablet
djf5.	Pentazocine 50mg suppository
dji1.	Tramadol hydrochloride 100mg/2mL injection
dji2.	Tramadol hydrochloride 50mg capsule
dji4.	Zydol 50mg capsule
dji5.	Tramadol hydrochloride 100mg m/r tablet
dji6.	Tramadol hydrochloride 150mg m/r tablet
dji7.	Tramadol hydrochloride 200mg m/r tablet
dji8.	Zydol SR 100mg m/r tablet
dji9.	Zydol SR 150mg m/r tablet
djiA.	Zydol SR 200mg m/r tablet
djiB.	Tramake 50mg capsule
djiD.	Zydol Soluble 50mg tablet
djie.	Zamadol Melt 50mg oro-dispersible tablet
djiE.	Zamadol 50mg capsule
djiF.	Tramadol hydrochloride 50mg m/r capsule
djiG.	Tramadol hydrochloride 100mg m/r capsule
djiH.	Tramadol hydrochloride 150mg m/r capsule
djii.	Zamadol 24hr 150mg m/r tablet
djiI.	Tramadol hydrochloride 200mg m/r capsule
djiJ.	Zamadol SR 50mg m/r capsule
djik.	Zamadol 24hr 300mg m/r tablet
djiK.	Zamadol SR 100mg m/r capsule
djiL.	Zamadol SR 150mg m/r capsule
djim.	TRADOREC XL 100mg m/r tablets
djiM.	Zamadol SR 200mg m/r capsule
djin.	TRADOREC XL 200mg m/r tablets
djio.	TRADOREC XL 300mg m/r tablets
djiO.	Tramadol hydrochloride 50mg/sachet powder
djiS.	Zydol XL 150mg m/r tablet
djit.	ZYDOL SR 50mg m/r tablets
djiU.	Zydol XL 300mg m/r tablet
djiv.	TRAMADOL HYDROCHLORIDE 50mg m/r tablets
djiV.	Zydol XL 400mg m/r tablet
djiw.	Tramadol hydrochloride 50mg oro-dispersible tablet
djiW.	Dromadol SR 100mg m/r tablet
djix.	Tramadol hydrochloride 75mg m/r tablet
djiy.	Tramadol hydrochloride 300mg m/r tablet
djiY.	Dromadol SR 200mg m/r tablet
djiz.	Tramadol hydrochloride 400mg m/r tablet
djj1.	Hydromorphone hydrochloride 1.3mg capsule
djj2.	Palladone 1.3mg capsule
djj3.	Hydromorphone hydrochloride 2.6mg capsule
djj4.	Palladone 2.6mg capsule
djj5.	Hydromorphone hydrochloride 2mg m/r capsule
djj6.	Hydromorphone hydrochloride 4mg m/r capsule
djj7.	Hydromorphone hydrochloride 8mg m/r capsule
djj8.	Hydromorphone hydrochloride 16mg m/r capsule
djj9.	Hydromorphone hydrochloride 24mg m/r capsule
djjA.	Palladone-SR 2mg m/r capsule
djjB.	Palladone-SR 4mg m/r capsule
djjC.	Palladone-SR 8mg m/r capsule
djk1.	OxyNorm 5mg capsule
djk2.	OxyNorm 10mg capsule
djk3.	OxyNorm 20mg capsule
djk4.	OxyContin 10mg m/r tablet
djk5.	OxyContin 20mg m/r tablet
djk6.	OxyContin 40mg m/r tablet
djk7.	OxyContin 80mg m/r tablet
djk8.	OxyNorm 5mg/5mL liquid
djk9.	OxyNorm 10mg/mL concentrate liquid
djka.	SHORTEC 20mg capsules
djkA.	OxyNorm 10mg/1mL injection solution ampoule
djkA.	OxyNorm 10mg/mL injection solution 1mL ampoule
djkb.	RELTEBON 5mg m/r tablets
djkB.	OxyNorm 10mg/mL injection solution 2mL ampoule
djkB.	OxyNorm 20mg/2mL injection solution ampoule
djkc.	RELTEBON 10mg m/r tablets
djkC.	TARGINACT 10mg/5mg m/r tablets
djkd.	RELTEBON 20mg m/r tablets
djkD.	TARGINACT 20mg/10mg m/r tablets
djke.	OXYCODONE HYDROCHLORIDE 120mg m/r tablets
djkf.	OXYCODONE HYDROCHLORIDE 60mg m/r tablets
djkF.	TARGINACT 5mg/2.5mg m/r tablets
djkg.	OXYCODONE HYDROCHLORIDE 30mg m/r tablets
djkG.	TARGINACT 40mg/20mg m/r tablets
djkh.	OXYCODONE HYDROCHLORIDE 15mg m/r tablets
djkH.	OXYCONTIN 15mg m/r tablets
djki.	OXYCODONE HCL+NALOXONE HCL 40mg/20mg m/r tablets
djkI.	OXYCONTIN 30mg m/r tablets
djkj.	OXYCODONE HCL+NALOXONE HCL 5mg/2.5mg m/r tablets
djkJ.	OXYCONTIN 60mg m/r tablets
djkk.	OXYCODONE HYDROCHLORIDE 50mg/1mL soln for injection ampoules
djkK.	OXYCONTIN 120mg m/r tablets
djkl.	OXYCODONE HYDROCHLORIDE+NALOXONE HYDROCHLORIDE 20mg/10mg m/r tablets
djkL.	LONGTEC 5mg m/r tablets
djkm.	OXYCODONE HYDROCHLORIDE+NALOXONE HYDROCHLORIDE 10mg/5mg m/r tablets
djkM.	LONGTEC 10mg m/r tablets
djkn.	Oxycodone hydrochloride 10mg/mL injection solution 2mL ampoule
djkn.	Oxycodone hydrochloride 20mg/2mL injection solution ampoule
djkN.	LONGTEC 20mg m/r tablets
djko.	Oxycodone hydrochloride 10mg/1mL injection solution ampoule
djko.	Oxycodone hydrochloride 10mg/mL injection solution 1mL ampoule
djkO.	LONGTEC 40mg m/r tablets
djkp.	OxyContin 5mg m/r tablet
djkP.	LONGTEC 80mg m/r tablets
djkq.	Oxycodone hydrochloride 5mg m/r tablet
djkQ.	OXYLAN 5mg m/r tablets
djkr.	Oxycodone hydrochloride 5mg/5mL s/f liquid
djkR.	OXYLAN 10mg m/r tablets
djks.	Oxycodone hydrochloride 10mg/mL concentrate s/f liquid
djkS.	OXYLAN 20mg m/r tablets
djkt.	Oxycodone hydrochloride 5mg capsule
djku.	Oxycodone hydrochloride 10mg capsule
djkv.	Oxycodone hydrochloride 20mg capsule
djkV.	LYNLOR 5mg capsules
djkw.	Oxycodone hydrochloride 10mg m/r tablet
djkW.	LYNLOR 10mg capsules
djkx.	Oxycodone hydrochloride 20mg m/r tablet
djkX.	LYNLOR 20mg capsules
djky.	Oxycodone hydrochloride 40mg m/r tablet
djkY.	SHORTEC 5mg capsules
djkz.	Oxycodone hydrochloride 80mg m/r tablet
djkZ.	SHORTEC 10mg capsules
djm1.	RELTEBON 40mg m/r tablets
djm7.	RELTEBON 15mg m/r tablets
djm8.	RELTEBON 30mg m/r tablets
djmA.	OXELTRA 5mg m/r tablets
djmB.	OXELTRA 10mg m/r tablets
djmC.	OXELTRA 15mg m/r tablets
djmD.	OXELTRA 20mg m/r tablets
djmE.	OXELTRA 30mg m/r tablets
djmF.	OXELTRA 40mg m/r tablets
djmG.	OXELTRA 60mg m/r tablets
djmH.	OXELTRA 80mg m/r tablets
djmI.	LONGTEC 15mg m/r tablets
djmJ.	LONGTEC 30mg m/r tablets
djmK.	LONGTEC 60mg m/r tablets
djmL.	LONGTEC 120mg m/r tablets
djmN.	ABTARD 10mg m/r tablets
djmO.	ABTARD 15mg m/r tablets
djmR.	ABTARD 40mg m/r tablets
djy6.	Filnarine SR 10mg m/r tablet
djy7.	Filnarine SR 30mg m/r tablet
djyA.	Morphgesic SR 10mg m/r tablet
djyB.	Morphgesic SR 30mg m/r tablet
djyC.	Morphgesic SR 60mg m/r tablet
djyD.	Morphgesic SR 100mg m/r tablet
djz1.	Morphine sulphate 10mg tablet
djz2.	Morphine sulphate 20mg tablet
djz3.	Morphine sulphate 5mg m/r tablet
djz4.	Morphine sulphate 10mg m/r tablet
djz5.	Morphine sulphate 15mg m/r tablet
djz6.	Morphine sulphate 30mg m/r tablet
djz7.	Morphine sulphate 60mg m/r tablet
djz8.	Morphine sulphate 100mg m/r tablet
djz9.	Morphine sulphate 200mg m/r tablet
djzD.	Morphine sulphate 10mg m/r capsule
djzE.	Morphine sulphate 30mg m/r capsule
djzF.	Morphine sulphate 60mg m/r capsule
djzG.	Morphine sulphate 100mg m/r capsule
djzj.	Zomorph 10mg m/r capsule
djzk.	Zomorph 30mg m/r capsule
djzl.	Zomorph 60mg m/r capsule
djzL.	Morphine sulphate 50mg tablet
djzm.	Zomorph 100mg m/r capsule
djzM.	Sevredol 50mg tablet
djzn.	Zomorph 200mg m/r capsule
djzO.	Morphine sulphate 90mg m/r capsule
djzP.	Morphine sulphate 120mg m/r capsule
djzQ.	Morphine sulphate 150mg m/r capsule
djzR.	Morphine sulphate 200mg m/r capsule
djzS.	MXL 30mg m/r capsule
djzT.	MXL 60mg m/r capsule
djzU.	MXL 90mg m/r capsule
djzV.	MXL 120mg m/r capsule
djzW.	MXL 150mg m/r capsule
djzX.	MXL 200mg m/r capsule
djzZ.	Morphine sulphate 20mg m/r capsule
dl12.	Migraleve pink tablet
dl13.	Migraleve yellow tablet
dl16.	Paramax tablet
dl17.	Paramax sachet
dl1A.	Paracetamol+domperidone 500mg/10mg tablet
dl1B.	Domperamol tablet
dl1C.	MigraMax sachet powder
dl21.	Cafergot tablet
dl22.	Cafergot suppository
dl25.	Migril tablet
dl27.	Ergotamine tartrate+caffeine 2mg/100mg suppository
dl41.	Midrid capsule
dl51.	Sumatriptan 6mg/0.5mL injection
dl54.	Sumatriptan 100mg tablet
dl55.	Imigran 100mg tablet
dl57.	Imigran Subject 6mg/0.5mL injection refill
dl58.	Imigran 100mg tablets x3
dl59.	Imigran 50mg tablet
dl5A.	Sumatriptan 50mg tablet
dl5B.	Sumatriptan 6mg/0.5mL injection refill
dl5C.	Imigran Radis 100mg tablet
dl5D.	Imigran Radis 50mg tablet
dl5E.	IMIGRAN RECOVERY 50mg tablets
dl63.	Tolfenamic acid 200mg tablet
dl64.	Clotam Rapid 200mg tablet
dl72.	Imigran 20mg nasal spray
dl73.	Sumatriptan 10mg nasal spray
dl74.	Imigran 10mg nasal spray
dl81.	Zolmitriptan 2.5mg tablet
dl82.	Zomig 2.5mg tablet
dl83.	Zolmitriptan 2.5mg oro-dispersible tablet
dl84.	Zomig Rapimelt 2.5mg oro-dispersible tablet
dl86.	Zomig 5mg nasal spray
dl87.	Zolmitriptan 5mg oro-dispersible tablet
dl88.	Zomig Rapimelt 5mg oro-dispersible tablet
dl91.	Naratriptan 2.5mg tablet
dl92.	Naramig 2.5mg tablet
dlA1.	Rizatriptan 5mg tablet
dlA2.	Rizatriptan 10mg tablet
dlA3.	Rizatriptan 10mg wafer
dlA4.	Maxalt 5mg tablet
dlA5.	Maxalt 10mg tablet
dlA6.	Maxalt Melt 10mg wafer
dlAz.	RIZATRIPTAN 10mg oro-dispersible tablets
dlC1.	Almogran 12.5mg tablet
dlD1.	Eletriptan 20mg tablet
dlD2.	Eletriptan 40mg tablet
dlDb.	Relpax 40mg tablet
dlE1.	Frovatriptan 2.5mg tablet
dlE2.	Migard 2.5mg tablet
dm11.	Dixarit 25mcg tablet
dm1z.	Clonidine hydrochloride 25micrograms tablet
dm2z.	Methysergide 1mg tablet
dm31.	Sanomigran 500micrograms tablet
dm32.	Sanomigran 1.5mg tablets x28
dm33.	Sanomigran 250micrograms/5mL elixir
dm3x.	Pizotifen 500micrograms tablet
dm3y.	Pizotifen 1.5mg tablet
dn31.	Carbamazepine 100mg tablet
dn32.	Carbamazepine 200mg tablet
dn33.	Carbamazepine 400mg tablet
dn34.	Tegretol 100mg tablet
dn35.	Tegretol 200mg tablet
dn36.	Tegretol 400mg tablet
dn37.	Tegretol 100mg/5mL oral liquid
dn38.	Tegretol Retard 200mg m/r tablet
dn39.	Tegretol Retard 400mg m/r tablet
dn3a.	Carbamazepine 200mg m/r tablet
dn3b.	Carbamazepine 400mg m/r tablet
dn3c.	Tegretol 100mg chewable tablet
dn3d.	Tegretol 200mg chewable tablet
dn3I.	Teril CR 400mg m/r tablet
dn3I.	Teril Retard 400mg m/r tablet
dn3J.	Carbagen SR 200mg m/r tablet
dn3K.	Carbagen SR 400mg m/r tablet
dn3x.	Carbamazepine 200mg chewable tablet
dn3y.	Carbamazepine 100mg chewable tablet
dn3z.	Carbamazepine 100mg/5mL oral liquid
dn41.	Rivotril 500mcg tablet
dn42.	Rivotril 2mg tablet
dn4x.	Clonazepam 2mg/5mL s/f oral solution
dn4y.	Clonazepam 500micrograms tablet
dn4z.	Clonazepam 2mg tablet
dn54.	Emeside 250mg/5mL syrup
dn55.	Zarontin 250mg capsule
dn56.	Zarontin 250mg/5mL syrup
dn5x.	Ethosuximide 250mg capsule
dn5z.	Ethosuximide 250mg/5mL oral solution
dn71.	Phenobarbital 15mg tablet
dn71.	Phenobarbitone 15mg tablet
dn72.	Phenobarbital 30mg tablet
dn72.	Phenobarbitone 30mg tablet
dn73.	Phenobarbital 60mg tablet
dn73.	Phenobarbitone 60mg tablet
dn7d.	Phenobarbital 15mg/5mL elixir
dn7d.	Phenobarbitone 15mg/5mL elixir
dn81.	Epanutin 30mg/5mL suspension
dn82.	Epanutin 50mg Infatab
dn83.	Phenytoin 50mg chewable tablet
dn8y.	Phenytoin 30mg/5mL oral suspension
dn92.	Phenytoin sodium 100mg tablet
dn93.	Epanutin 25mg capsule
dn94.	Epanutin 50mg capsule
dn95.	Epanutin 100mg capsule
dn96.	Epanutin 300mg capsule
dn9w.	Phenytoin sodium 300mg capsule
dn9x.	Phenytoin sodium 25mg capsule
dn9y.	Phenytoin sodium 50mg capsule
dn9z.	Phenytoin sodium 100mg capsule
dna1.	Mysoline 250mg tablet
dna3.	MYSOLINE 50mg tablets
dnax.	PRIMIDONE 50mg tablets
dnay.	Primidone 250mg tablet
dnaz.	Primidone 250mg/5mL oral suspension
dnb1.	Epilim 100mg crushable tablet
dnb2.	Epilim 200mg e/c tablet
dnb3.	Epilim 500mg e/c tablet
dnb4.	Epilim 200mg/5mL s/f liquid
dnb5.	Epilim 200mg/5mL syrup
dnb7.	Sodium valproate 200mg e/c tablet
dnb8.	Sodium valproate 500mg e/c tablet
dnbA.	Orlept 200mg/5mL s/f liquid
dnbB.	Epival CR 300mg m/r tablet
dnbc.	Epilim Chrono 200 m/r tablet
dnbC.	Epival CR 500mg m/r tablet
dnbd.	Epilim Chrono 300 m/r tablet
dnbe.	Epilim Chrono 500 m/r tablet
dnbF.	EPISENTA 150mg m/r capsules
dnbG.	EPISENTA 300mg m/r capsules
dnbH.	EPISENTA 500mg/sachet m/r granules
dnbI.	EPISENTA 1g/sachet m/r granules
dnbJ.	SODIUM VALPROATE 150mg m/r capsules
dnbK.	SODIUM VALPROATE 300mg m/r capsules
dnbL.	SODIUM VALPROATE 500mg/sachet m/r granules
dnbM.	SODIUM VALPROATE 1g/sachet m/r granules
dnbP.	EPILIM CHRONOSPHERE 50mg/sachet m/r granules
dnbQ.	EPILIM CHRONOSPHERE 100mg/sachet m/r granules
dnbr.	Sodium valproate 200mg m/r tablet
dnbR.	EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbs.	Sodium valproate 300mg m/r tablet
dnbS.	EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnbt.	Sodium valproate 500mg m/r tablet
dnbT.	EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnbU.	EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnbv.	Sodium valproate 100mg crushable tablet
dnby.	Sodium valproate 200mg/5mL s/f oral liquid
dne1.	Vigabatrin 500mg tablet
dne3.	Vigabatrin 500mg/sachet powder
dnf1.	Lamotrigine 50mg tablet
dnf2.	Lamotrigine 100mg tablet
dnf3.	Lamictal 50mg tablet
dnf4.	Lamictal 100mg tablet
dnf5.	Lamotrigine 25mg tablet
dnf6.	Lamictal 25mg tablet
dnf7.	Lamictal 5mg dispersible tablet
dnf8.	Lamictal 25mg dispersible tablet
dnf9.	Lamictal 100mg dispersible tablet
dnfA.	Lamotrigine 5mg dispersible tablet
dnfB.	Lamotrigine 25mg dispersible tablet
dnfC.	Lamotrigine 100mg dispersible tablet
dnfD.	Lamictal 200mg tablet
dnfE.	Lamotrigine 200mg tablet
dnfH.	Lamictal Non-Valproate Add-On 50mg starter pack
dnfJ.	Lamictal 2mg dispersible tablet
dnfz.	Lamotrigine 2mg dispersible tablet
dng1.	Nootropil 800mg tablet
dng2.	Nootropil 1.2g tablet
dng4.	Piracetam 800mg tablet
dng5.	Piracetam 1.2g tablet
dng6.	Piracetam 333.3mg/1mL oral solution
dnh1.	Convulex 150mg e/c capsule
dnh2.	Convulex 300mg e/c capsule
dnh3.	Convulex 500mg e/c capsule
dnh4.	Valproic acid 150mg e/c capsule
dnh5.	Valproic acid 300mg e/c capsule
dnh6.	Valproic acid 500mg e/c capsule
dnh7.	Depakote 250mg e/c tablet
dnh8.	Depakote 500mg e/c tablet
dnhy.	Valproic acid 500mg e/c tablet
dnhz.	Valproic acid 250mg e/c tablet
dnj1.	Gabapentin 100mg capsule
dnj2.	Gabapentin 300mg capsule
dnj3.	Gabapentin 400mg capsule
dnj4.	Neurontin 100mg capsule
dnj5.	Neurontin 300mg capsule
dnj6.	Neurontin 400mg capsule
dnj7.	Neurontin 600mg tablet
dnj9.	Neurontin 300mg capsule/600mg tablet titration pack
dnjA.	GABAPENTIN 50mg/mL oral solution
dnjx.	Gabapentin 300mg capsule/600mg tablet titration pack
dnjy.	Gabapentin 600mg tablet
dnjz.	Gabapentin 800mg tablet
dnk1.	Topiramate 50mg tablet
dnk2.	Topiramate 100mg tablet
dnk3.	Topiramate 200mg tablet
dnk4.	Topamax 50mg tablet
dnk5.	Topamax 100mg tablet
dnk6.	Topamax 200mg tablet
dnk7.	Topiramate 25mg tablet
dnk8.	Topamax 25mg tablet
dnk9.	Topiramate 15mg beads in capsule
dnkA.	Topiramate 25mg beads in capsule
dnkB.	Topamax Sprinkle 15mg capsule
dnkC.	Topamax Sprinkle 25mg capsule
dnkD.	Topiramate 50mg beads in capsule
dnkE.	Topamax Sprinkle 50mg capsule
dnm1.	Trileptal 150 tablet
dnm2.	Trileptal 300 tablet
dnm3.	Trileptal 600 tablet
dnm4.	Trileptal 60mg/mL s/f oral suspension
dnmw.	Oxcarbazepine 60mg/mL s/f oral suspension
dnmx.	Oxcarbazepine 150mg tablet
dnmy.	Oxcarbazepine 300mg tablet
dnmz.	Oxcarbazepine 600mg tablet
dno1.	Keppra 250mg tablet
dno2.	Keppra 500mg tablet
dno3.	Keppra 1g tablet
dno4.	Keppra 750mg tablet
dno5.	Keppra 100mg/mL s/f oral solution
dno6.	KEPPRA 500mg/5mL solution for injection
dno7.	DESITREND 250mg/sachet granules
dno8.	DESITREND 500mg/sachet granules
dno9.	DESITREND 1g/sachet granules
dnor.	LEVETIRACETAM 1g/sachet granules
dnos.	LEVETIRACETAM 500mg/sachet granules
dnot.	LEVETIRACETAM 250mg/sachet granules
dnou.	LEVETIRACETAM 500mg/5mL solution for injection
dnov.	Levetiracetam 100mg/mL s/f oral solution
dnow.	Levetiracetam 750mg tablet
dnox.	Levetiracetam 1g tablet
dnoy.	Levetiracetam 500mg tablet
dnoz.	Levetiracetam 250mg tablet
dnp1.	Lyrica 25mg capsule
dnp2.	Lyrica 50mg capsule
dnp3.	Lyrica 75mg capsule
dnp4.	Lyrica 100mg capsule
dnp5.	Lyrica 150mg capsule
dnp6.	Lyrica 200mg capsule
dnp7.	Lyrica 300mg capsule
dnp8.	LYRICA 225mg capsules
dnp9.	LYRICA 20mg/1mL oral solution
dnpI.	REWISCA 25mg capsules
dnpJ.	REWISCA 50mg capsules
dnpK.	REWISCA 75mg capsules
dnpM.	REWISCA 150mg capsules
dnpN.	REWISCA 200mg capsules
dnpP.	REWISCA 300mg capsules
dnpr.	PREGABALIN 20mg/1mL oral solution
dnps.	PREGABALIN 225mg capsules
dnpt.	Pregabalin 300mg capsule
dnpu.	Pregabalin 200mg capsule
dnpv.	Pregabalin 100mg capsule
dnpw.	Pregabalin 150mg capsule
dnpx.	Pregabalin 75mg capsule
dnpy.	Pregabalin 50mg capsule
dnpz.	Pregabalin 25mg capsule
dnq1.	Zonisamide 25mg capsule
dnq2.	Zonisamide 50mg capsule
dnq3.	Zonisamide 100mg capsule
dnq4.	Zonegran 25mg capsule
dnq5.	Zonegran 50mg capsule
dnq6.	Zonegran 100mg capsule
dnr2.	INOVELON 200mg tablets
dnr3.	INOVELON 400mg tablets
dnrx.	RUFINAMIDE 400mg tablets
dnry.	RUFINAMIDE 200mg tablets
dnrz.	RUFINAMIDE 100mg tablets
dnsx.	STIRIPENTOL 250mg/sachet powder for oral suspension
dnsy.	STIRIPENTOL 500mg capsules
dnsz.	STIRIPENTOL 250mg capsules
dnt3.	VIMPAT 50mg tablets
dnt4.	VIMPAT 100mg tablets
dnt5.	VIMPAT 150mg tablets
dnt6.	VIMPAT 200mg tablets
dnt7.	LACOSAMIDE 200mg/20mL solution for injection
dnt8.	LACOSAMIDE 15mg/1mL sugar free liquid
dnt9.	LACOSAMIDE 50mg tablets
dntA.	LACOSAMIDE 100mg tablets
dntB.	LACOSAMIDE 150mg tablets
dntC.	LACOSAMIDE 200mg tablets
dntE.	LACOSAMIDE 10mg/1mL sugar free liquid
dnu1.	ZEBINIX 800mg tablets
dnu2.	ESLICARBAZEPINE ACETATE 800mg tablets
dnv1.	TROBALT 50mg tablets
dnv2.	TROBALT 100mg tablets
dnv4.	TROBALT 300mg tablets
dnv5.	TROBALT 400mg tablets
dnv7.	RETIGABINE 50mg tablets
dnv8.	RETIGABINE 100mg tablets
dnv9.	RETIGABINE 200mg tablets
dnvA.	RETIGABINE 300mg tablets
dnvB.	RETIGABINE 400mg tablets
dnw1.	FYCOMPA 2mg tablets
dnw3.	FYCOMPA 6mg tablets
dnw4.	FYCOMPA 8mg tablets
dnw5.	FYCOMPA 10mg tablets
dnwu.	PERAMPANEL 12mg tablets
dnwv.	PERAMPANEL 10mg tablets
dnww.	PERAMPANEL 8mg tablets
dnwx.	PERAMPANEL 6mg tablets
dnwy.	PERAMPANEL 4mg tablets
dnwz.	PERAMPANEL 2mg tablets
do18.	Diazepam 5mg/2.5mL RecTube
