d12v.	CLOMETHIAZOLE(base) 192mg capsules
dj82.	DIHYDROCODEINE 10mg/5mL elixir
dj87.	DHC CONTINUS 60mg m/r tablets
djAb.	MAXITRAM SR 50mg m/r capsules
djAe.	MAXITRAM SR 200mg m/r capsules
djB1.	PALEXIA SR 50mg m/r tablets
djB2.	PALEXIA SR 100mg m/r tablets
djB4.	PALEXIA SR 200mg m/r tablets
djBX.	TAPENTADOL 150mg m/r tablets
djiB.	TRAMAKE 50mg capsules
djiv.	TRAMADOL HYDROCHLORIDE 50mg m/r tablets
djkO.	LONGTEC 40mg m/r tablets
djkp.	OXYCONTIN 5mg m/r tablets
djmH.	OXELTRA 80mg m/r tablets
djmR.	ABTARD 40mg m/r tablets
djyA.	MORPHGESIC SR 10mg m/r tablets
djz3.	MORPHINE SULFATE 5mg m/r tablets
djz7.	MORPHINE SULFATE 60mg m/r tablets
djzl.	ZOMORPH 60mg m/r capsules
djzU.	MXL 90mg m/r capsules
djzX.	MXL 200mg m/r capsules
dl41.	MIDRID capsules
dl87.	ZOLMITRIPTAN 5mg oro-dispersible tablets
dlE2.	MIGARD 2.5mg tablets
dn3J.	CARBAGEN SR 200mg m/r tablets
dn4z.	CLONAZEPAM 2mg tablets
dn95.	*EPANUTIN 100mg capsules
dnaz.	PRIMIDONE 250mg/5mL oral suspension
dnbQ.	EPILIM CHRONOSPHERE 100mg/sachet m/r granules
dnbv.	SODIUM VALPROATE 100mg crushable tablets
dne3.	VIGABATRIN 500mg powder sachets
dng5.	PIRACETAM 1.2g tablets
dnh4.	VALPROIC ACID 150mg e/c capsules
dnh5.	VALPROIC ACID 300mg e/c capsules
dnjA.	GABAPENTIN 50mg/mL oral solution
dnkD.	TOPIRAMATE 50mg beads in capsules
dnos.	LEVETIRACETAM 500mg/sachet granules
dnoz.	LEVETIRACETAM 250mg tablets
dnp8.	LYRICA 225mg capsules
dnpv.	PREGABALIN 100mg capsules
dnq5.	ZONEGRAN 50mg capsules
dnry.	RUFINAMIDE 200mg tablets
dnt5.	VIMPAT 150mg tablets
dnv8.	RETIGABINE 100mg tablets
dnvB.	RETIGABINE 400mg tablets
dq27.	CO-BENELDOPA 12.5/50 capsules
dq3K.	STALEVO 125mg/31.25mg/200mg tablets
dqB2.	CABERGOLINE 2mg tablets
dqE1.	MIRAPEXIN 88micrograms tablets
dqE6.	MIRAPEXIN 520micrograms m/r tablets
dqE9.	MIRAPEXIN 3.15mg m/r tablets
dqEp.	PRAMIPEXOLE 2.62mg m/r tablets
dqEq.	PRAMIPEXOLE 1.57mg m/r tablets
dqEr.	PRAMIPEXOLE 3.15mg m/r tablets
dqEx.	PRAMIPEXOLE 88micrograms tablets
dqEy.	PRAMIPEXOLE 180micrograms tablets
dqFz.	RASAGILINE 1mg tablets
du3r.	NIQUITIN CQ 14mg/24hours clear patches
du7Y.	NICORETTE QUICKMIST 1mg oromucosal spray
dw1u.	METHYLPHENIDATE HYDROCHLORIDE 30mg m/r capsules
dw1U.	CONCERTA XL 54mg m/r tablets
dw24.	STRATTERA 40mg capsules
dw2t.	ATOMOXETINE 100mg capsules
dw2v.	ATOMOXETINE 60mg capsules
dy23.	RIVASTIGMINE 4.5mg capsules
dy36.	REMINYL XL 16mg m/r capsules
dy3y.	GALANTAMINE 8mg tablets
o42W.	MATRIFEN 100micrograms/hr patches
o574.	BUCCOLAM 7.5mg/1.5mL oromucosal soln pre-filled oral syringe
o57t.	MIDAZOLAM 7.5mg/1.5mL oromucosal soln prefilled oral syringe
d51w.	FLUPENTIXOL DECANOATE 40mg/2mL injection
d554.	HALOPERIDOL 100mg/1mL injection
d755.	*DOTHAPAX 25mg capsules
d756.	*DOTHAPAX 75mg tablets
d791.	*GAMANIL 70mg tablets x56CP
d7e5.	TRAZODONE HYDROCHLORIDE 150mg tablets
d7ex.	TRAZODONE HYDROCHLORIDE 50mg capsules
d7f3.	*SURMONTIL 25mg tablets
da64.	SEROXAT 30mg tablets x30
da74.	*EFEXOR 75mg tablets
da7R.	TIFAXIN XL 75mg m/r capsules
daB5.	MIRTAZAPINE 15mg oro-dispersible tablets
daD1.	VALDOXAN 25mg tablets
daE1.	BRINTELLIX 5mg tablets
dh8A.	KWELLS KIDS 150micrograms tablets
dhb2.	METOCLOPRAMIDE 5mg/5mL elixir
dher.	PROCHLORPERAZINE 5mg tablets
dhkF.	ONDANSETRON 4mg wafer
di2C.	CALPOL SIX PLUS 250mg/5mL sugar free suspension
dicO.	TRAMACET 325mg/37.5mg tablets
dicz.	PARACETAMOL+TRAMADOL HYDROCHLORIDE 325mg/37.5mg tablets
dj1P.	MST CONTINUS 30mg/sachet suspension
dj1z.	MST CONTINUS 15mg m/r tablets
dj35.	BUPRENORPHINE 400microgram sublingual tablets
dj3A.	BUTRANS 5micrograms/hour patches
dj3H.	HAPOCTASIN 70micrograms/hour patches
dj3x.	BUPRENORPHINE 200microgram sublingual tablets
dj8c.	DIHYDROCODEINE 120mg m/r tablets
djBT.	TAPENTADOL 75mg tablets
djie.	ZAMADOL MELT 50mg oro-dispersible tablets
djiI.	TRAMADOL HYDROCHLORIDE 200mg m/r capsules
djiL.	ZAMADOL SR 150mg m/r capsules
djk2.	OXYNORM 10mg capsules
djk4.	OXYCONTIN 10mg m/r tablets
djkA.	OXYNORM 10mg/mL injection solution 1mL ampoule
djkR.	OXYLAN 10mg m/r tablets
djks.	OXYCODONE HYDROCHLORIDE 10mg/mL concentrate sugar free liquid
djkx.	OXYCODONE HYDROCHLORIDE 20mg m/r tablets
djm7.	RELTEBON 15mg m/r tablets
djmD.	OXELTRA 20mg m/r tablets
djz5.	MORPHINE SULFATE 15mg m/r tablets
djzQ.	MORPHINE SULFATE 150mg m/r capsules
dl27.	ERGOTAMINE TARTRATE 2mg suppositories
dl51.	SUMATRIPTAN 6mg/0.5mL injection
dl91.	NARATRIPTAN 2.5mg tablets
dn34.	TEGRETOL 100mg tablets
dn39.	TEGRETOL RETARD 400mg m/r tabs
dnbA.	ORLEPT 200mg/5mL sugar free liquid
d151.	DALMANE 15mg capsules
d152.	DALMANE 30mg capsules
d15y.	FLURAZEPAM 15mg capsules
d1gy.	ZALEPLON 5mg capsules
d2a1.	LORAZEPAM 1mg tablets
d2a2.	LORAZEPAM 2.5mg tablets
d2d3.	OXAZEPAM 15mg tablets
d475.	HALOPERIDOL 2mg/mL liquid
d476.	DOZIC 1mg/mL liquid
d47u.	HALOPERIDOL 500micrograms tablets
d4bx.	PERPHENAZINE 2mg tablets
d4fx.	SULPIRIDE 400mg tablets
d4h6.	*STELAZINE 1mg/5mL syrup
d4j2.	CLOPIXOL 10mg tablets
d4n3.	ZUCLOPENTHIXOL ACETATE 50mg/1mL injection (oily)
d4pA.	RISPERDAL 1mg/mL liquid
d4py.	RISPERIDONE 25mg powder+solvent for suspension for injection
d4q4.	SERTINDOLE 20mg tablets
d4r1.	OLANZAPINE 5mg tablets
d4rA.	ZYPREXA VELOTAB 10mg dispersible tablets
d4s6.	SEROQUEL 100mg tablets
d4sv.	QUETIAPINE 200mg m/r tablets
d4v2.	ABILIFY 15mg tablets
d4v7.	ABILIFY 1mg/mL oral solution
d514.	*DEPIXOL 40mg/2mL syringe
d73u.	CLOMIPRAMINE HCL 10mg capsules
d7cy.	*NORTRIPTYLINE 25mg capsules
d7fx.	TRIMIPRAMINE 50mg capsules
d7fy.	TRIMIPRAMINE 10mg tablets
d7fz.	TRIMIPRAMINE 25mg tablets
d83z.	ISOCARBOXAZID 10mg tablets
da11.	FLUANXOL 500micrograms tablets
da41.	FLUOXETINE 20mg capsules
da68.	SEROXAT 10mg tablets
da7Q.	VENSIR XL 150mg m/r capsules
da84.	*DUTONIN 200mg tablets
da92.	CIPRAMIL 20mg tablets
daB3.	MIRTAZAPINE 30mg oro-dispersible tablets
dC1z.	SODIUM OXYBATE 500mg/mL oral solution
df72.	*ACOMPLIA 20mg tablets
dh7y.	DOMPERIDONE 5mg/5mL suspension
dh87.	HYOSCINE 1mg/72hours patches
dh89.	KWELLS 300micrograms tablets
dhbr.	*MAXOLON 5mg tablets
dhk5.	ZOFRAN 4mg tablets
dhkQ.	ONDANSETRON 4mg orodispersible film
di1f.	ASPIRIN 300mg e/c tablets
di1o.	ASPIRIN 150mg suppositories
di27.	DISPROL PAEDIATRIC 120mg/5mL suspension
di2N.	PARACETAMOL 60mg suppositories
di91.	ACUPAN 30mg tablets
dia2.	CO-CODAMOL 8mg/500mg tablets
dibE.	PARACETAMOL+DIHYDROCODEINE TARTRATE 500mg/20mg tablets
dibF.	PARACETAMOL+DIHYDROCOCEINE TARTRATE 500mg/30mg tablets
dibz.	SOLPADOL caplets
dicY.	TRAMACET 325mg/37.5mg effervescent tablets
dj1g.	MST CONTINUS 30mg m/r tablets
dj3C.	BUTRANS 20micrograms/hour patches
dnbI.	EPISENTA 1g/sachet m/r granules
dnf9.	LAMICTAL 100mg dispersible tablets
dnh2.	CONVULEX 300mg e/c capsules
dnh6.	VALPROIC ACID 500mg e/c capsules
dnk4.	TOPAMAX 50mg tablets
dnk6.	TOPAMAX 200mg tablets
dnp2.	LYRICA 50mg capsules
dnwu.	PERAMPANEL 12mg tablets
dq28.	CO-BENELDOPA 25/100 capsules
dq3b.	CO-CARELDOPA 25mg/100mg m/r tablets
dq6A.	ZELAPAR 1.25mg tablets
dq6y.	SELEGILINE HYDROCHLORIDE 10mg tablets
dqA2.	ROPINIROLE 1mg tablets
dqAh.	REQUIP XL 4mg m/r tablets
dqAm.	REPINEX XL 2mg m/r tablets
dqEt.	PRAMIPEXOLE 1.05mg m/r tablets
dqG2.	NEUPRO 4mg/24hours transdermal patches
dr6z.	PROCYCLIDINE 10mg/2mL injection
du11.	DISULFIRAM 200mg tablets
du21.	NALTREXONE HYDROCHLORIDE 50mg tablets
du51.	ACAMPROSATE CALCIUM 333mg e/c tablets
du7u.	NICOTINE 1.5mg lozenges
dw15.	*EQUASYM 10mg tablets
dw1M.	MEDIKINET XL 5mg m/r capsules
dw1Q.	MATORIDE XL 36mg m/r tablets
dw1x.	METHYLPHENIDATE HYDROCHLORIDE 20mg m/r capsules
dx11.	RILUZOLE 50mg tablets
dy2C.	EXELON 9.5mg/24hours transdermal patches
dy2L.	ALZEST 4.6mg/24hours transdermal patches
dy34.	REMINYL 4mg/mL sugar free oral solution
dy3t.	GALANTAMINE 8mg m/r capsules
dy3z.	GALANTAMINE 12mg tablets
gdew.	DULOXETINE 60mg gastro-resistant capsules
j111.	ASPIRIN 300mg tablets
o429.	DUROGESIC 50micrograms/hr patches
o42k.	FENTALIS RESERVOIR 75micrograms/hr patches
o42T.	MATRIFEN 25micrograms/hr patches
o42v.	FENTANYL 200micrograms lozenges
o42V.	MATRIFEN 75micrograms/hr patches
o481.	PETHIDINE 50mg/5mL injection
o4dk.	OSMANIL 50micrograms/hr patches
o57u.	MIDAZOLAM 2.5mg/0.5mL oromucosal soln prefilled oral syringe
d115.	*WELLDORM 143mg/5mL elixir
d21l.	STESOLID 10mg rectal solution
d221.	XANAX 250micrograms tablets
d272.	*TRANXENE 15mg capsules
d2d2.	OXAZEPAM 10mg tablets
d47B.	HALOPERIDOL 1mg/5mL sugar free solution
d483.	NOZINAN 25mg tablets
d4aw.	PERICYAZINE 2.5mg tablets
d4e5.	PROMAZINE 50mg tablets
d4g2.	*MELLERIL 25mg tablets
d4gw.	THIORIDAZINE 100mg tablets
d4hw.	*TRIFLUOPERAZINE 15mg m/r caps
d4hx.	TRIFLUOPERAZINE 1mg/5mL syrup
d4lG.	CLOZAPINE 200mg tablets
d4p2.	RISPERIDONE 2mg tablets
d4pM.	RISPERIDONE 0.5mg oro-dispersible tablets
d4pR.	RISPERIDONE 4mg oro-dispersible tablets
d4pw.	RISPERIDONE 50mg powder+solvent for suspension for injection
d4r6.	ZYPREXA 10mg tablets
d4rE.	ZYPREXA VELOTAB 20mg dispersible tablets
d4sD.	SEROQUEL XL 200mg m/r tablets
d4sG.	SEROQUEL XL 150mg m/r tablets
d4t2.	AMISULPRIDE 200mg tablets
d4tx.	AMISULPRIDE 100mg tablets
d4vt.	ARIPIPRAZOLE 1mg/mL oral solution
d4x2.	ASENAPINE 5mg sublingual tablets
d118.	CHLORAL HYDRATE 143mg/5mL elixir
dj3o.	BUPRENORPHINE 5micrograms/hour patches
dj3p.	BUPRENORPHINE 10micrograms/hour patches
dj3q.	BUPRENORPHINE 20micrograms/hour patches
dj73.	DIAMORPHINE 10mg injection
dj89.	DHC CONTINUS 90mg m/r tablets
djAd.	MAXITRAM SR 150mg m/r capsules
djc8.	METHADONE HYDROCHLORIDE 20mg/mL sugar free liquid
djcu.	METHADONE HYDROCHLORIDE 50mg/1mL injection
djf5.	PENTAZOCINE 50mg suppositories
dji7.	TRAMADOL HCL 200mg m/r tablets
djiA.	ZYDOL SR 200mg m/r tablets
djiM.	ZAMADOL SR 200mg m/r capsules
djj8.	HYDROMORPHONE HYDROCHLORIDE 16mg m/r capsules
djjC.	PALLADONE-SR 8mg m/r capsules
djk9.	OXYNORM 10mg/mL concentrate liquid
djkB.	OXYNORM 10mg/mL injection solution 2mL ampoule
djke.	OXYCODONE HYDROCHLORIDE 120mg m/r tablets
djki.	OXYCODONE HCL+NALOXONE HCL 40mg/20mg m/r tablets
djkm.	OXYCODONE HYDROCHLORIDE+NALOXONE HYDROCHLORIDE 10mg/5mg m/r tablets
djkn.	OXYCODONE HYDROCHLORIDE 10mg/mL injection solution 2mL ampoule
djkP.	LONGTEC 80mg m/r tablets
djkt.	OXYCODONE HYDROCHLORIDE 5mg capsules
djku.	OXYCODONE HYDROCHLORIDE 10mg capsules
djkz.	OXYCODONE HYDROCHLORIDE 80mg m/r tablets
djmB.	OXELTRA 10mg m/r tablets
djz9.	MORPHINE SULFATE 200mg m/r tablets
djzL.	MORPHINE SULFATE 50mg tablets
djzM.	SEVREDOL 50mg tablets
djzO.	MORPHINE SULFATE 90mg m/r capsules
djzR.	MORPHINE SULFATE 200mg m/r capsules
dl5E.	IMIGRAN RECOVERY 50mg tablets
dlA3.	RIZATRIPTAN 10mg wafer
dlDb.	RELPAX 40mg tablets
dn3z.	CARBAMAZEPINE 100mg/5mL sugar free liquid
dn92.	PHENYTOIN 100mg tablets
dn96.	*EPANUTIN 300mg capsules
dn9x.	PHENYTOIN SODIUM 25mg caps
dnf5.	LAMOTRIGINE 25mg tablets
dnfD.	LAMICTAL 200mg tablets
dnfH.	LAMICTAL NON-VALPROATE ADD-ON 50mg starter pack
dnfJ.	LAMICTAL 2mg dispersible tablets
dnj3.	GABAPENTIN 400mg capsules
dnk5.	TOPAMAX 100mg tablets
dnk9.	TOPIRAMATE 15mg beads in capsules
dnmy.	OXCARBAZEPINE 300mg tablets
dno3.	KEPPRA 1g tablets
dno6.	KEPPRA 500mg/5mL solution for injection
d51v.	FLUPENTIXOL DECANOATE 20mg/1mL injection
d52x.	FLUPHENAZINE DECANOATE 250mg/10mL injection
d611.	*CAMCOLIT 250mg tablets
d719.	*LENTIZOL 25mg m/r capsules
d71v.	AMITRIPTYLINE 50mg m/r capsules
d752.	PROTHIADEN 75mg tablets
d7b3.	MIANSERIN 30mg tablets
d7c9.	*NORTRIPTYLINE 10mg capsules
d7e1.	MOLIPAXIN 50mg capsules x84CP
d7ez.	TRAZODONE HYDROCHLORIDE 50mg/5mL liquid
d851.	MANERIX 150mg tablets
da7B.	RODOMEL XL 75mg m/r capsules
da7j.	TONPULAR XL 75mg m/r capsules
daE4.	VORTIOXETINE 10mg tablets
dB15.	EBIXA 20mg tablets
dB17.	EBIXA TREATMENT INITIATION PACK tablets
dh3z.	CINNARIZINE 15mg tablets
dh41.	*VALOID 50mg tablets
dh81.	HYOSCINE 300microgram tablets
dhbq.	METOCLOPRAMIDE HYDROCHLORIDE 5mg tablets
dhe4.	STEMETIL 12.5mg/1mL injection
dhe7.	*STEMETIL 25mg suppositories
dhkB.	ONDANSETRON 4mg/5mL sugar free syrup
dhkC.	ZOFRAN 4mg/5mL sugar free syrup
dhkR.	ONDANSETRON 8mg orodispersible film
di2A.	INFADROPS 100mg/mL oral solution
diao.	KAPAKE capsules
didt.	PARACETAMOL 1g suppositories
dj1I.	MORPHINE SULPHATE 30mg/5mL oral unit dose vial
dj1r.	SEVREDOL 10mg tablets
dj3D.	BUPRENORPHINE+NALOXONE 2mg/0.5mg sublingual tablets
dj3f.	TEPHINE 200micrograms sublingual tablets
dj3G.	SUBOXONE 8mg/2mg sublingual tablets
dj3s.	BUPRENORPHINE 52.5micrograms/hour patches
dj3T.	BUPRENORPHINE 1mg sublingual tablets
dj8b.	DIHYDROCODEINE 90mg m/r tablets
dj8d.	DF118 FORTE 40mg tablets
djA4.	ZERIDAME SR 100mg m/r tablets
djA5.	ZERIDAME SR 150mg m/r tablets
djBW.	TAPENTADOL 200mg m/r tablets
djcy.	METHADONE HYDROCHLORIDE 5mg tablets
djcz.	METHADONE HYDROCHLORIDE 10mg/1mL injection
djiH.	TRAMADOL HYDROCHLORIDE 150mg m/r capsules
djik.	ZAMADOL 24HR 300mg m/r tablets
djiw.	TRAMADOL HYDROCHLORIDE 50mg oro-dispersible tablets
djiY.	*DROMADOL SR 200mg m/r tablets
djj5.	HYDROMORPHONE HYDROCHLORIDE 2mg m/r capsules
djj6.	HYDROMORPHONE HYDROCHLORIDE 4mg m/r capsules
d213.	DIAZEPAM 2mg tablets
d22z.	ALPRAZOLAM 500microgram tablets
d2f4.	*BUSPAR 10mg tablets
d414.	CHLORPROMAZINE 100mg tablets
d41A.	CHLORPROMAZINE 25mg/5mL sugar free solution
d471.	HALOPERIDOL 1.5mg tablets
d473.	HALOPERIDOL 10mg tablets
d47r.	HALOPERIDOL 500microgram capsules
d4gt.	*THIORIDAZINE 10mg tablets
d4j3.	CLOPIXOL 25mg tablets
d4pG.	RISPERDAL CONSTA 50mg powder+solvent for suspension for injection
d4pH.	RISPERIDONE 1mg oro-dispersible tablets
d4pO.	RISPERDAL QUICKLET 3mg oro-dispersible tablets
d4s3.	QUETIAPINE 200mg tablets
d4su.	QUETIAPINE 300mg m/r tablets
d4sV.	EBESQUE XL 400mg m/r tablets
d4sw.	QUETIAPINE 50mg m/r tablets
d4sZ.	ZALURON XL 300mg m/r tablets
d4wy.	PALIPERIDONE 6mg m/r tablets
d4wz.	PALIPERIDONE 3mg m/r tablets
d4y6.	LURASIDONE 74mg tablets
d526.	*MODECATE 250mg/10mL injection
d622.	LI-LIQUID 5.4mmol/5mL liquid
d731.	*ANAFRANIL 10mg capsules
d732.	*ANAFRANIL 25mg capsules
d73v.	CLOMIPRAMINE HCL 25mg capsules
d761.	*SINEQUAN 10mg capsules x56CP
d762.	*SINEQUAN 25mg capsules x28CP
d766.	*SINEPIN 50mg capsules
d794.	*GAMANIL 70mg tablets
da65.	PAROXETINE 10mg/5mL sugar free liquid
da82.	NEFAZODONE HYDROCHLORIDE 200mg tablets
da83.	*DUTONIN 100mg tablets
da93.	CITALOPRAM 10mg tablets
da9z.	CITALOPRAM 40mg/mL oral drops
daE6.	VORTIOXETINE 20mg tablets
dB16.	MEMANTINE HYDROCHLORIDE 20mg tablets
dc11.	*DEXEDRINE 5mg tablets
df61.	*REDUCTIL 15mg capsules
dh76.	MOTILIUM 10mg tablets
dhe2.	*STEMETIL 25mg tablets
dhew.	PROCHLORPERAZINE 5mg suppositories
dhk1.	ONDANSETRON 4mg/2mL injection
di2E.	PARACETAMOL 500mg suppositories
di2M.	PARACETAMOL 250mg suppositories
di2o.	PARACETAMOL 125mg suppositories
di2t.	MEDINOL OVER SIX 250mg/5mL sugar free suspension
dibG.	TYLEX EFFERVESCENT soluble tablets
dibt.	TYLEX 500mg capsules
dibW.	MEDOCODENE 30/500 capsules
dno7.	DESITREND 250mg/sachet granules
dnou.	LEVETIRACETAM 500mg/5mL solution for injection
dnp4.	LYRICA 100mg capsules
dnp6.	LYRICA 200mg capsules
dnpJ.	REWISCA 50mg capsules
dnpy.	PREGABALIN 50mg capsules
dnt7.	LACOSAMIDE 200mg/20mL solution for injection
dnw1.	FYCOMPA 2mg tablets
dnw4.	FYCOMPA 8mg tablets
dnw5.	FYCOMPA 10mg tablets
dq24.	MADOPAR-62.5 dispersible tablets
dq26.	MADOPAR CR-125 m/r capsules
dq3C.	STALEVO 100mg / 25mg / 200mg tablets
dq3M.	STALEVO 175mg/43.75mg/200mg tablets
dqAd.	ADARTREL 2mg tablets
dqAf.	ADARTREL 500micrograms tablets
dqE8.	MIRAPEXIN 2.1mg m/r tablets
dr22.	DISIPAL 50mg tablets
dr2w.	ORPHENADRINE 50mg/5mL syrup
dr41.	*AKINETON 2mg tablets
ds33.	BOTOX 100units injection (pdr for recon)
du3F.	NICOTINE 5mg/16hours patches
du3y.	NICOTINE 2mg lozenges
du3z.	NICOTINE 4mg lozenges
du72.	NIQUITIN CQ 2mg mint chewing gum
du7c.	NICOTINE 15mg inhalator
du7i.	NIQUITIN PRE-QUIT 21mg/24 hours clear patches
du7J.	NICOPASS 1.5mg fresh mint lozenges
du7V.	NIQUITIN MINIS 1.5mg cherry lozenges
du82.	CHAMPIX 500microgram tablets
dw1I.	CONCERTA XL 27mg m/r tablets
dw1S.	XENIDATE XL 18mg m/r tablets
dw1z.	METHYLPHENIDATE HYDROCHLORIDE 20mg tablets
dw2z.	ATOMOXETINE 10mg capsules
dw33.	ELVANSE 70mg capsules
dy15.	ARICEPT EVESS 5mg oro-dispersible tablets
dy2E.	RIVASTIGMINE 9.5mg/24hrs patches
o42a.	MEZOLAR MATRIX 75micrograms/hour patches
o4e5.	YEMEX 25micrograms/hour transdermal patches
dicN.	KAPAKE 30/500 effervescent tablets
dj1G.	MORPHINE SULPHATE 10mg/5mL oral unit dose vial
dj1K.	MORPHINE SULPHATE 100mg/5mL oral unit dose vial
dj38.	SUBUTEX 8mg sublingual tablets
dj3a.	TRANSTEC 52.5micrograms/hour patches
dj3F.	BUPRENORPHINE+NALOXONE 8mg/2mg sublingual tablets
dj3r.	BUPRENORPHINE 70micrograms/hour patches
dj41.	CODEINE PHOSPHATE 15mg tablets
dj45.	CODEINE PHOSPHATE 60mg/1mL injection
dj52.	*PALFIUM 10mg tablets
dj88.	DIHYDROCODEINE 60mg m/r tablets
djAg.	MAROL 150mg m/r tablets
djAh.	MAROL 200mg m/r tablets
djBY.	TAPENTADOL 100mg m/r tablets
djio.	TRADOREC XL 300mg m/r tablets
djj1.	HYDROMORPHONE HYDROCHLORIDE 1.3mg capsules
djk6.	OXYCONTIN 40mg m/r tablets
djkf.	OXYCODONE HYDROCHLORIDE 60mg m/r tablets
djkK.	OXYCONTIN 120mg m/r tablets
djkM.	LONGTEC 10mg m/r tablets
djkq.	OXYCODONE HYDROCHLORIDE 5mg m/r tablets
djkX.	LYNLOR 20mg capsules
djm1.	RELTEBON 40mg m/r tablets
djyB.	MORPHGESIC SR 30mg m/r tablets
djz6.	MORPHINE SULFATE 30mg m/r tablets
djzD.	MORPHINE SULFATE 10mg m/r capsules
djzS.	MXL 30mg m/r capsules
dl22.	*CAFERGOT 2mg suppositories
dl25.	MIGRIL tablets
dl57.	IMIGRAN SUBJECT 6mg/0.5mL injection refill
dl64.	CLOTAM RAPID 200mg tablets
dl74.	IMIGRAN 10mg nasal spray
dl81.	ZOLMITRIPTAN 2.5mg tablets
dm32.	SANOMIGRAN 1.5mg tablets x28
dn3a.	CARBAMAZEPINE 200mg m/r tabs
dn3d.	TEGRETOL 200mg chewable tablets
dn41.	*RIVOTRIL 500mcg tablets
dn94.	*EPANUTIN 50mg capsules
dn9w.	PHENYTOIN SODIUM 300mg capsules
dnb2.	EPILIM 200mg e/c tablets
dnbF.	EPISENTA 150mg m/r capsules
dnbK.	SODIUM VALPROATE 300mg m/r capsules
dnbP.	EPILIM CHRONOSPHERE 50mg/sachet m/r granules
dnf8.	LAMICTAL 25mg dispersible tablets
dnh3.	CONVULEX 500mg e/c capsules
dnj6.	NEURONTIN 400mg capsules
dnjy.	GABAPENTIN 600mg tablets
dnkC.	TOPAMAX SPRINKLE 25mg capsules
dnm1.	TRILEPTAL 150 tablets
dnmz.	OXCARBAZEPINE 600mg tablets
dno1.	KEPPRA 250mg tablets
dnp5.	LYRICA 150mg capsules
dnq3.	ZONISAMIDE 100mg capsules
dnt4.	VIMPAT 100mg tablets
do1y.	DIAZEPAM 10mg/2.5mL rectal solution
dq32.	SINEMET-275 tablets
dq6w.	SELEGILINE HYDROCHLORIDE 1.25mg tablets
dqA3.	ROPINIROLE 2mg tablets
dqAi.	REQUIP XL 8mg m/r tablets
dqD1.	ENTACAPONE 200mg tablets
dqEv.	PRAMIPEXOLE 260micrograms m/r tablets
dqGu.	ROTIGOTINE 1mg/24hours transdermal patches
dqGz.	ROTIGOTINE 2mg/24hours transdermal patches
dr1w.	TRIHEXYPHENIDYL HYDROCHLORIDE 2mg tablets
dr63.	KEMADRIN 5mg tablets
dr6w.	PROCYCLIDINE 2.5mg/5mL sugar free syrup
du3G.	NICOTINE 10mg/16hours patches
du3H.	NICOTINE 15mg/16hours patches
du3q.	NICOTINELL MINT 1mg lozenges
du78.	NIQUITIN CQ 2mg mint lozenges
du7q.	NICOTINE 1mg oromucosal spray
du7Q.	NICORETTE ICY WHITE 4mg chewing gum
duB3.	NICOTINELL SUPPORT ICEMINT 2mg chewing gum
dw13.	*EQUASYM 5mg tablets
dw14.	*EQUASYM 20mg tablets
dw1n.	METHYLPHENIDATE HYDROCHLORIDE 54mg m/r tablets
dy37.	REMINYL XL 24mg m/r capsules
dy3M.	LUVENTA XL 24mg m/r capsules
ei21.	*SYMMETREL 100mg capsules
o42i.	FENTALIS RESERVOIR 25micrograms/hr patches
o42u.	FENTANYL 400micrograms lozenges
o42Y.	MEZOLAR MATRIX 25micrograms/hour patches
o57s.	MIDAZOLAM 5mg/1mL oromucosal soln pre-filled oral syringe
djjA.	PALLADONE-SR 2mg m/r capsules
djk8.	OXYNORM 5mg/5mL liquid
djka.	SHORTEC 20mg capsules
djkD.	TARGINACT 20mg/10mg m/r tablets
djkG.	TARGINACT 40mg/20mg m/r tablets
djkk.	OXYCODONE HYDROCHLORIDE 50mg/1mL soln for injection ampoules
djkL.	LONGTEC 5mg m/r tablets
djkv.	OXYCODONE HYDROCHLORIDE 20mg capsules
djky.	OXYCODONE HYDROCHLORIDE 40mg m/r tablets
djm8.	RELTEBON 30mg m/r tablets
djmI.	LONGTEC 15mg m/r tablets
djmL.	LONGTEC 120mg m/r tablets
dlC1.	ALMOGRAN 12.5mg tablets
dm1z.	CLONIDINE HCL 25microgram tablets
dm3x.	PIZOTIFEN 500microgram tablets
dn3c.	TEGRETOL 100mg chewable tablets
dn4x.	CLONAZEPAM 2mg/5mL sugar free oral solution
dn8y.	PHENYTOIN 30mg/5mL suspension
dn93.	*EPANUTIN 25mg capsules
dnbH.	EPISENTA 500mg/sachet m/r granules
dne1.	VIGABATRIN 500mg tablets
dnf4.	LAMICTAL 100mg tablets
dnh1.	CONVULEX 150mg e/c capsules
dnhy.	VALPROIC ACID 500mg e/c tablets
dnj2.	GABAPENTIN 300mg capsules
dnj4.	NEURONTIN 100mg capsules
dnj5.	NEURONTIN 300mg capsules
dnjx.	GABAPENTIN 300mg capsules/600mg tablets titration pack
dnk8.	TOPAMAX 25mg tablets
dno5.	KEPPRA 100mg/mL s/f oral solution
dnp7.	LYRICA 300mg capsules
dnp9.	LYRICA 20mg/1mL oral solution
dnpx.	PREGABALIN 75mg capsules
dnpz.	PREGABALIN 25mg capsules
dnt8.	LACOSAMIDE 15mg/1mL sugar free liquid
dnv9.	RETIGABINE 200mg tablets
do1A.	DIAZEPAM 2.5mg/1.25mL RecTubes
dq31.	SINEMET-110 tablets
dq39.	SINEMET CR m/r tablets
