B210.00	Malignant neoplasm of glottis
B02z.00	Malignant neoplasm of major salivary gland NOS
B326000	Malignant melanoma of shoulder
B214.00	"Malignant neoplasm, overlapping lesion of larynx"
B627300	Diffuse non-Hodgkin's small cell (diffuse) lymphoma
B480.00	Malignant neoplasm of prepuce (foreskin)
B627500	Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma
B62y100	"Malignant lymphoma NOS of lymph nodes of head, face and neck"
B524600	"Malignant neoplasm,overlap lesion periph nerve & auton ns"
B103.00	Malignant neoplasm of upper third of oesophagus
B674.00	Acute panmyelosis
B18y300	Malignant neoplasm of omentum
B563200	Secondary and unspec malig neop infraclavicular lymph nodes
B14z.00	"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"
B522.00	Malignant neoplasm of spinal cord
B325800	Malignant melanoma of chest wall
B303z00	"Malignant neoplasm of rib, sternum and clavicle NOS"
B1zz.00	Malignant neoplasm of digestive tract and peritoneum NOS
B592.00	Malignant neoplasms of independent (primary) multiple sites
B571.00	Secondary malignant neoplasm of mediastinum
B117.00	"Malignant neoplasm, overlapping lesion of stomach"
B021.00	Malignant neoplasm of submandibular gland
B545000	Malignant neoplasm of glomus jugulare
B550300	Malignant neoplasm of jaw NOS
B327100	Malignant melanoma of thigh
B306200	Malignant neoplasm of pubis
B062000	Malignant neoplasm of faucial pillar
B315.00	Malignant neoplasm of connective and soft tissue of pelvis
ByuC800	[X]Malignant neoplasm without specification of site
B561900	Secondary and unspec malig neop pulmonary lymph nodes
B553.00	Malignant neoplasm of pelvis
B653000	Chloroma
B515.00	Malignant neoplasm of cerebral ventricles
B161100	Malignant neoplasm of hepatic duct
B487.00	"Malignant neoplasm, overlapping lesion of penis"
B4z..00	Malignant neoplasm of genitourinary organ NOS
B562.00	Secondary and unspec malig neop intra-abdominal lymph nodes
B410100	Malignant neoplasm of endocervical gland
B327900	Malignant melanoma of great toe
B61z.00	Hodgkin's disease NOS
B52W.00	"Malig neopl, overlap lesion brain & other part of CNS"
B581200	Secondary malignant neoplasm of urethra
B627600	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B10y.00	Malignant neoplasm of other specified part of oesophagus
B300000	Malignant neoplasm of ethmoid bone
B300100	Malignant neoplasm of frontal bone
B325200	Malignant melanoma of buttock
B060z00	Malignant neoplasm tonsil NOS
B453.00	Malignant neoplasm of clitoris
B311.00	Malig neop connective and soft tissue upper limb/shoulder
B625800	Letterer-Siwe disease of lymph nodes of multiple sites
B16..00	Malignant neoplasm gallbladder and extrahepatic bile ducts
B584.00	Secondary malignant neoplasm of other part of nervous system
B510z00	Malignant neoplasm of cerebrum NOS
B223z00	"Malignant neoplasm of middle lobe, bronchus or lung NOS"
B104.00	Malignant neoplasm of middle third of oesophagus
B4A1z00	Malignant neoplasm of renal pelvis NOS
B313100	Malignant neoplasm of diaphragm
B35z.00	Malignant neoplasm of other site of male breast
B312400	Malignant neoplasm of connective and soft tissue of foot
ByuC700	[X]Secondary malignant neoplasm of other specified sites
B59z.00	Malignant neoplasm of unspecified site NOS
B564000	Secondary and unspec malig neop superficial inguinal LN
B327200	Malignant melanoma of knee
B303500	Malignant neoplasm of xiphoid process
B350.00	Malignant neoplasm of nipple and areola of male breast
B201200	Malignant neoplasm of tympanic antrum
B306.00	"Malignant neoplasm of pelvic bones, sacrum and coccyx"
B321.00	Malignant melanoma of eyelid including canthus
B203.00	Malignant neoplasm of ethmoid sinus
B594.00	Secondary malignant neoplasm of unknown site
B326100	Malignant melanoma of upper arm
B302200	Malignant neoplasm of lumbar vertebra
B300600	Malignant neoplasm of parietal bone
B682.00	Subacute leukaemia NOS
B50z.00	Malignant neoplasm of eye NOS
B312200	Malig neop connective and soft tissue of popliteal space
B05z.00	Malignant neoplasm of mouth NOS
B11y.00	Malignant neoplasm of other specified site of stomach
B062.00	Malignant neoplasm of tonsillar pillar
B58y100	Secondary malignant neoplasm of uterus
B582z00	Secondary malignant neoplasm of skin NOS
B550000	Malignant neoplasm of head NOS
B553z00	Malignant neoplasm of pelvis NOS
B20z.00	Malignant neoplasm of accessory sinus NOS
B326z00	Malignant melanoma of upper limb or shoulder NOS
B614100	"Hodgkin's nodular sclerosis of head, face and neck"
B215.00	Malignant neoplasm of epiglottis NOS
B116.00	Malignant neoplasm of greater curve of stomach unspecified
B561400	Secondary and unspec malig neop post mediastinal lymph nodes
Byu7300	"[X]Malignant neoplasm of female genital organ, unspecified"
B300700	Malignant neoplasm of sphenoid bone
B07y.00	Malignant neoplasm of other specified site of nasopharynx
B14y.00	"Malig neop other site rectum, rectosigmoid junction and anus"
B324000	Malignant melanoma of scalp
B574000	Secondary malignant neoplasm of duodenum
B300400	Malignant neoplasm of occipital bone
B57y.00	Secondary malignant neoplasm of other digestive organ
B066.00	Malignant neoplasm of lateral wall of oropharynx
B52z.00	Malignant neoplasm of nervous system NOS
B307000	Malignant neoplasm of femur
B04y.00	Malignant neoplasm of other sites of floor of mouth
B34y.00	Malignant neoplasm of other site of female breast
B500z00	Malignant neoplasm of eyeball NOS
B1zy.00	Malignant neoplasm other spec digestive tract and peritoneum
Byu4000	[X]Malignant melanoma of other+unspecified parts of face
B544.00	Malignant neoplasm of carotid body
Byu8000	[X]Malignant neoplasm/other specified male genital organs
B614000	"Hodgkin's disease, nodular sclerosis of unspecified site"
B410000	Malignant neoplasm of endocervical canal
B082.00	"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"
B322.00	Malignant melanoma of ear and external auricular canal
B62y000	Malignant lymphoma NOS of unspecified site
B316.00	Malig neop of connective and soft tissue trunk unspecified
ByuC300	[X]Secondary malignant neoplasm/oth+unspc respiratory organs
B311200	Malignant neoplasm of connective and soft tissue of fore-arm
B672.00	Megakaryocytic leukaemia
B41y100	Malignant neoplasm of squamocolumnar junction of cervix
B62x100	Lymphoepithelioid lymphoma
Byu7100	[X]Malignant neoplasm/other specified female genital organs
B553000	Malignant neoplasm of inguinal region NOS
B305000	Malignant neoplasm of carpal bone - scaphoid
B452.00	Malignant neoplasm of labia minora
B620800	Nodular lymphoma of lymph nodes of multiple sites
B151400	Malignant neoplasm of intrahepatic gall duct
B412.00	"Malignant neoplasm, overlapping lesion of cervix uteri"
B014.00	Malignant neoplasm of anterior 2/3 of tongue unspecified
B615200	Hodgkin's mixed cellularity of intrathoracic lymph nodes
B561500	Secondary and unspec malig neop paratracheal lymph nodes
B315z00	Malig neop of connective and soft tissue of pelvis NOS
B623z00	Malignant histiocytosis NOS
B550z00	"Malignant neoplasm of head, neck and face NOS"
B308D00	Malignant neoplasm of phalanges of foot
B323500	Malignant melanoma of temple
B62x500	Malignant immunoproliferative small intestinal disease
Byu0.00	"[X]Malignant neoplasm of lip, oral cavity and pharynx"
B072.00	Malignant neoplasm of lateral wall of nasopharynx
B300.00	Malignant neoplasm of bones of skull and face
B500000	Malignant neoplasm of ciliary body
B322000	Malignant melanoma of auricle (ear)
B111z00	Malignant neoplasm of pylorus of stomach NOS
B431000	Malignant neoplasm of lower uterine segment
B602100	"Burkitt's lymphoma of lymph nodes of head, face and neck"
B315200	Malignant neoplasm of connective and soft tissue of perineum
B51y000	Malignant neoplasm of corpus callosum
B306100	Malignant neoplasm of ischium
B4Ay000	Malignant neoplasm of overlapping lesion of urinary organs
B451z00	Malignant neoplasm of labia majora NOS
B583z00	Secondary malignant neoplasm of brain or spinal cord NOS
B500100	Malignant neoplasm of iris
B310000	Malignant neoplasm of soft tissue of head
B18y100	Malignant neoplasm of mesocaecum
B300200	Malignant neoplasm of malar bone
B542z00	Malig neop pituitary gland or craniopharyngeal duct NOS
B61z200	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z100	"Hodgkin's disease NOS of lymph nodes of head, face and neck"
B542.00	Malignant neoplasm pituitary gland and craniopharyngeal duct
B340z00	Malignant neoplasm of nipple or areola of female breast NOS
B310300	Malignant neoplasm of cartilage of ear
B55yz00	Malignant neoplasm of specified site NOS
Byu..00	[X]Additional neoplasm classification terms
B62y700	Malignant lymphoma NOS of spleen
B581000	Secondary malignant neoplasm of ureter
Byu5A00	[X]Malignant neoplasm overlapping lesion of skin
B600000	Reticulosarcoma of unspecified site
B314z00	Malig neop of connective and soft tissue of abdomen NOS
B16y.00	Malignant neoplasm other gallbladder/extrahepatic bile duct
B58y400	Secondary malignant neoplasm of vulva
B303300	Malignant neoplasm of costal cartilage
B450z00	Malignant neoplasm of vagina NOS
B24X.00	"Malignant neoplasm of mediastinum, part unspecified"
B614300	Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
B327600	Malignant melanoma of heel
B564100	Secondary and unspec malig neop deep inguinal lymph nodes
B540000	Malignant neoplasm of adrenal cortex
B510100	Malignant neoplasm of cerebral cortex
B690.00	Acute myelomonocytic leukaemia
B062200	Malignant neoplasm of palatoglossal arch
B180z00	Malignant neoplasm of retroperitoneum NOS
B151z00	Malignant neoplasm of intrahepatic bile ducts NOS
B61z000	"Hodgkin's disease NOS, unspecified site"
B562200	Secondary and unspec malig neop inferior mesenteric LN
B004.00	"Malignant neoplasm of lip unspecified, inner aspect"
ByuD600	[X]Other myeloid leukaemia
B100.00	Malignant neoplasm of cervical oesophagus
B524100	"Malignant neoplasm of peripheral nerve,upp limb,incl should"
B304200	Malignant neoplasm of humerus
B300800	Malignant neoplasm of temporal bone
B561800	Secondary and unspec malig neop bronchopulmonary lymph nodes
B510500	Malignant neoplasm of thalamus
B200300	Malignant neoplasm of vestibule of nose
B601200	Lymphosarcoma of intrathoracic lymph nodes
B62x400	Malignant reticulosis
B326300	Malignant melanoma of hand
B24..00	"Malignant neoplasm of thymus, heart and mediastinum"
B573.00	Secondary malignant neoplasm of other respiratory organs
B307z00	Malignant neoplasm of long bones of leg NOS
B200200	Malignant neoplasm of septum of nose
B581z00	Secondary malignant neoplasm of other urinary organ NOS
B013.00	Malignant neoplasm of ventral surface of tongue
B575100	Secondary malignant neoplasm of rectum
B614z00	"Hodgkin's disease, nodular sclerosis NOS"
B501z00	Malignant neoplasm of orbit NOS
B62y500	Malignant lymphoma NOS of lymph node inguinal region and leg
B48z.00	Malignant neoplasm of penis and other male genital organ NOS
Byu3200	[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage
B485.00	Malignant neoplasm of spermatic cord
ByuDE00	[X]Unspecified B-cell non-Hodgkin's lymphoma
B241000	Malignant neoplasm of endocardium
B213000	Malignant neoplasm of arytenoid cartilage
B102.00	Malignant neoplasm of abdominal oesophagus
B652.00	Subacute myeloid leukaemia
B524000	"Malignant neoplasm of peripheral nerves of head, face & neck"
ByuE.00	[X]Malignant neoplasms/independent (primary) multiple sites
B616400	Hodgkin's lymphocytic depletion lymph nodes axilla and arm
B671.11	Heilmeyer - Schoner disease
B503.00	Malignant neoplasm of conjunctiva
B524300	Malignant neoplasm of peripheral nerve of thorax
B601z00	Lymphosarcoma NOS
B582400	Secondary malignant neoplasm of skin of shoulder and arm
B564.00	Secondary and unspec malig neop inguinal and lower limb LN
ByuA200	"[X]Malignant neoplasm of meninges, unspecified"
B013100	Malignant neoplasm of frenulum linguae
B311500	Malignant neoplasm of connective and soft tissue of thumb
B123.00	Malignant neoplasm of Meckel's diverticulum
B326500	Malignant melanoma of thumb
B612.00	Hodgkin's sarcoma
B18yz00	Malignant neoplasm of specified parts of peritoneum NOS
B561.00	Secondary and unspec malig neop intrathoracic lymph nodes
B54z.00	Malig neop of endocrine gland or related structure NOS
ByuB100	"[X]Malignant neoplasm of endocrine gland, unspecified"
B327z00	Malignant melanoma of lower limb or hip NOS
ByuD300	[X]Other specified types of non-Hodgkin's lymphoma
B311100	"Malignant neoplasm of connective and soft tissue, upper arm"
B62z100	Unspec malig neop lymphoid/histiocytic lymph node head/neck
B083.00	Malignant neoplasm of posterior pharynx
Byu7000	"[X]Malignant neoplasm of uterine adnexa, unspecified"
ByuDC00	"[X]Diffuse non-Hodgkin's lymphoma, unspecified"
B18y400	Malignant neoplasm of parietal peritoneum
B517000	Malignant neoplasm of cerebral peduncle
B63y.00	Other immunoproliferative neoplasms
B470.00	Malignant neoplasm of undescended testis
B601300	Lymphosarcoma of intra-abdominal lymph nodes
B574.00	Secondary malignant neoplasm of small intestine and duodenum
B340100	Malignant neoplasm of areola of female breast
B551z00	Malignant neoplasm of thorax NOS
B502.00	Malignant neoplasm of lacrimal gland
B304400	Malignant neoplasm of ulna
ByuE000	[X]Malignant neoplasms/independent(primary)multiple sites
B560000	Secondary and unspec malig neop of superficial parotid LN
B520000	Malignant neoplasm of olfactory bulb
B44z.00	Malignant neoplasm of uterine adnexa NOS
B624000	Leukaemic reticuloendotheliosis of unspecified sites
B624300	Leukaemic reticuloend of intra-abdominal lymph nodes
B151000	Malignant neoplasm of interlobular bile ducts
B180100	Malignant neoplasm of perinephric tissue
B326.00	Malignant melanoma of upper limb and shoulder
ByuD900	[X]Other leukaemia of unspecified cell type
B627800	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B205.00	Malignant neoplasm of sphenoidal sinus
B31y.00	Malig neop connective and soft tissue other specified site
B51y200	"Malignant neoplasm, overlapping lesion of brain"
B560300	Secondary and unspec malignant neoplasm occipital lymph node
B11y000	Malignant neoplasm of anterior wall of stomach NEC
B507100	Malignant neoplasm of nasolacrimal duct
B11yz00	Malignant neoplasm of other specified site of stomach NOS
B62z.00	Malignant neoplasms of lymphoid and histiocytic tissue NOS
B52..00	Malig neop of other and unspecified parts of nervous system
B1z1.00	Malignant neoplasm of spleen NEC
B592X00	Kaposi's sarcoma of multiple organs
B614400	Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
B610.00	Hodgkin's paragranuloma
B58y411	Secondary cancer of the vulva
B520200	Malignant neoplasm of acoustic nerve
B241200	Malignant neoplasm of myocardium
B324.00	Malignant melanoma of scalp and neck
B623300	Malignant histiocytosis of intra-abdominal lymph nodes
B620z00	Nodular lymphoma NOS
B673.00	Mast cell leukaemia
B672.11	Thrombocytic leukaemia
B2z0.00	"Malig neop of upper respiratory tract, part unspecified"
B304z00	Malig neop of scapula and long bones of upper arm NOS
B57z.00	Secondary malig neop of respiratory or digestive system NOS
B312.00	Malig neop of connective and soft tissue of hip and leg
B65yz00	Other myeloid leukaemia NOS
ByuC200	[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions
B124.00	"Malignant neoplasm, overlapping lesion of small intestine"
B000000	"Malignant neoplasm of upper lip, external"
B620000	Nodular lymphoma of unspecified site
B001000	"Malignant neoplasm of lower lip, external"
B074.00	"Malignant neoplasm, overlapping lesion of nasopharynx"
Byu2100	"[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura"
B314000	Malig neop of connective and soft tissue of abdominal wall
B303200	Malignant neoplasm of clavicle
B26..00	"Malignant neoplasm, overlap lesion of resp & intrathor orgs"
B24z.00	"Malignant neoplasm of heart, thymus and mediastinum NOS"
B560100	Secondary and unspec malignant neoplasm mastoid lymph nodes
B306400	Malignant neoplasm of coccygeal vertebra
ByuD500	[X]Other lymphoid leukaemia
Byu5000	[X]Mesothelioma of other sites
B230.00	Malignant neoplasm of parietal pleura
B560z00	Secondary unspec malig neop lymph nodes head/face/neck NOS
B523z00	Malignant neoplasm of spinal meninges NOS
B55y100	Malignant neoplasm of trunk NOS
B512000	Malignant neoplasm of hippocampus
B06y.00	"Malignant neoplasm of oropharynx, other specified sites"
B315100	Malig neop of connective and soft tissue of inguinal region
B576.00	Secondary malig neop of retroperitoneum and peritoneum
B001.00	"Malignant neoplasm of lower lip, vermilion border"
B30W.00	Malignant neoplasm/overlap lesion/bone+articulr cartilage
B106.00	"Malignant neoplasm, overlapping lesion of oesophagus"
B003000	"Malignant neoplasm of lower lip, buccal aspect"
B614200	Hodgkin's nodular sclerosis of intrathoracic lymph nodes
ByuD100	[X]Other types of follicular non-Hodgkin's lymphoma
B66..12	Monoblastic leukaemia
B616.00	"Hodgkin's disease, lymphocytic depletion"
B303400	Malignant neoplasm of costo-vertebral joint
B561600	Secondary and unspec malig neop superfic tracheobronchial LN
B323z00	Malignant melanoma of face NOS
B350100	Malignant neoplasm of areola of male breast
B48y.00	Malignant neoplasm of other male genital organ
ByuA000	[X]Malignant neoplasm/other and unspecified cranial nerves
B612400	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B307.00	Malignant neoplasm of long bones of leg
B323300	Malignant melanoma of forehead
B430100	Malignant neoplasm of fundus of corpus uteri
B48y000	Malignant neoplasm of seminal vesicle
B550.00	"Malignant neoplasm of head, neck and face"
B613100	"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck"
ByuC600	[X]2ndry malignant neoplasm/oth+unspec parts/nervous system
B004200	"Malignant neoplasm of lip unspecified, mucosa"
B150200	Primary angiosarcoma of liver
B350000	Malignant neoplasm of nipple of male breast
B560900	Secondary and unspec malig neop deep cervical LN
B517z00	Malignant neoplasm of brain stem NOS
B55y000	Malignant neoplasm of back NOS
B48y200	"Malignant neoplasm, overlapping lesion male genital orgs"
B305100	Malignant neoplasm of carpal bone - lunate
B562400	Secondary and unspec malig neop external iliac lymph nodes
B300z00	Malignant neoplasm of bones of skull and face NOS
B561700	Secondary and unspec malig neop inferior tracheobronchial LN
B623000	Malignant histiocytosis of unspecified site
B010.11	Malignant neoplasm of posterior third of tongue
B00zz00	"Malignant neoplasm of lip, vermilion border NOS"
B18y600	Malignant neoplasm of the pouch of Douglas
B308800	Malignant neoplasm of first metatarsal bone
B055100	Malignant neoplasm of roof of mouth
B574z00	Secondary malig neop of small intestine or duodenum NOS
B521z00	Malignant neoplasm of cerebral meninges NOS
B520100	Malignant neoplasm of optic nerve
B600300	Reticulosarcoma of intra-abdominal lymph nodes
B315000	Malignant neoplasm of connective and soft tissue of buttock
B627D00	Diffuse non-Hodgkin's centroblastic lymphoma
B320.00	Malignant melanoma of lip
B02y.00	Malignant neoplasm of other major salivary glands
B62zz11	Immunoproliferative neoplasm
B653.00	Myeloid sarcoma
B431z00	Malignant neoplasm of isthmus of uterine body NOS
B58y300	Secondary malignant neoplasm of vagina
B564z00	Secondary and unspec malig neop of inguinal and leg LN NOS
B055.00	Malignant neoplasm of palate unspecified
B540z00	Malignant neoplasm of adrenal gland NOS
B627100	Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
B022.00	Malignant neoplasm of sublingual gland
B510400	Malignant neoplasm of hypothalamus
B600100	"Reticulosarcoma of lymph nodes of head, face and neck"
B323100	Malignant melanoma of chin
B51y.00	Malignant neoplasm of other parts of brain
B613000	"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
B003.00	"Malignant neoplasm of lower lip, inner aspect"
B200000	Malignant neoplasm of cartilage of nose
B601100	"Lymphosarcoma of lymph nodes of head, face and neck"
B62y600	Malignant lymphoma NOS of intrapelvic lymph nodes
B602z00	Burkitt's lymphoma NOS
B507.00	Malignant neoplasm of lacrimal duct
B62z500	Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
B601000	Lymphosarcoma of unspecified site
B304.00	Malignant neoplasm of scapula and long bones of upper arm
B201300	Malignant neoplasm of mastoid air cells
B484.00	Malignant neoplasm of epididymis
B4A4.00	Malignant neoplasm of paraurethral glands
B67y000	Lymphosarcoma cell leukaemia
B308200	Malignant neoplasm of calcaneum
B1z1100	Fibrosarcoma of spleen
B161000	Malignant neoplasm of cystic duct
B305.12	Malignant neoplasm of metacarpal bones
ByuDB00	"[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf"
B313200	Malignant neoplasm of great vessels
B562100	Secondary and unspec malig neop superficial mesenteric LN
B621500	Mycosis fungoides of lymph nodes of inguinal region and leg
B430000	Malignant neoplasm of cornu of corpus uteri
B62y200	Malignant lymphoma NOS of intrathoracic lymph nodes
B642.00	Subacute lymphoid leukaemia
B565z00	Secondary and unspec malig neop intrapelvic LN NOS
B581.00	Secondary malignant neoplasm of other urinary organs
Byu3100	"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd"
B064z00	Malignant neoplasm of anterior epiglottis NOS
B550500	Malignant neoplasm of supraclavicular fossa NOS
B305.00	Malignant neoplasm of hand bones
B613300	"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
B327000	Malignant melanoma of hip
B201z00	"Malig neop auditory tube, middle ear, mastoid air cells NOS"
B563z00	Secondary and unspec malig neop axilla and upper limb LN NOS
B305z00	Malignant neoplasm of hand bones NOS
B004000	"Malignant neoplasm of lip unspecified, buccal aspect"
B58y200	Secondary malignant neoplasm of cervix uteri
B310z00	"Malig neop connective and soft tissue head, face, neck NOS"
B322z00	Malignant melanoma of ear and external auricular canal NOS
B624z00	Leukaemic reticuloendotheliosis NOS
B000.00	"Malignant neoplasm of upper lip, vermilion border"
B524500	Malignant neoplasm of peripheral nerve of pelvis
B504.00	Malignant neoplasm of cornea
B161z00	Malignant neoplasm of extrahepatic bile ducts NOS
B565000	Secondary and unspec malig neop internal iliac lymph nodes
B524400	Malignant neoplasm of peripheral nerve of abdomen
B305D00	Malignant neoplasm of phalanges of hand
B501000	Malignant neoplasm of connective tissue of orbit
Byu2400	[X]Malignant neoplasm/ill-defined sites within resp system
B54X.00	"Malignant neoplasm-pluriglandular involvement,unspecified"
B624.12	Hairy cell leukaemia
ByuC400	[X]Secondary malignant neoplasm/oth+unspcfd digestive organs
B52y.00	Malignant neoplasm of other specified part of nervous system
B08y.00	Malignant neoplasm of other specified hypopharyngeal site
B524200	"Malignant neoplasm of peripheral nerve of low limb, incl hip"
ByuD800	[X]Other specified leukaemias
B151200	Malignant neoplasm of intrahepatic biliary passages
B626z00	Malignant mast cell tumour NOS
ByuD700	[X]Other monocytic leukaemia
B003200	"Malignant neoplasm of lower lip, mucosa"
B553100	Malignant neoplasm of presacral region
B067.00	Malignant neoplasm of posterior wall of oropharynx
B62x000	T-zone lymphoma
B18y700	Malignant neoplasm of mesentery
B312z00	Malig neop connective and soft tissue hip and leg NOS
B002300	"Malignant neoplasm of upper lip, oral aspect"
B54y.00	Malignant neoplasm of other specified endocrine gland
B010z00	Malignant neoplasm of fixed part of tongue NOS
B06yz00	Malignant neoplasm of other specified site of oropharynx NOS
B517300	Malignant neoplasm of pons
Byu5900	"[X]Malignant neoplasm/connective + soft tissue,unspecified"
B471z00	Malignant neoplasm of descended testis NOS
B311400	Malignant neoplasm of connective and soft tissue of finger
B621300	Mycosis fungoides of intra-abdominal lymph nodes
B003100	"Malignant neoplasm of lower lip, frenulum"
B064100	Malignant neoplasm of glossoepiglottic fold
Byu5800	"[X]Mal neoplasm/connective+soft tissue of trunk,unspecified"
B61z400	Hodgkin's disease NOS of lymph nodes of axilla and arm
B620300	Nodular lymphoma of intra-abdominal lymph nodes
B613200	"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"
B48yz00	Malignant neoplasm of other male genital organ NOS
B304300	Malignant neoplasm of radius
B602500	Burkitt's lymphoma of lymph nodes of inguinal region and leg
B308B00	Malignant neoplasm of fourth metatarsal bone
B560400	Secondary and unspec malig neop deep parotid lymph nodes
B243.00	Malignant neoplasm of posterior mediastinum
B03z.00	Malignant neoplasm of gum NOS
B66z.00	Monocytic leukaemia NOS
B62z200	Unspec malig neop lymphoid/histiocytic of intrathoracic node
B138.00	"Malignant neoplasm, overlapping lesion of colon"
B517200	Malignant neoplasm of midbrain
Byu5300	"[X]Kaposi's sarcoma, unspecified"
B561z00	Secondary and unspec malig neop intrathoracic LN NOS
B42..00	Malignant neoplasm of placenta
B1z1z00	Malignant neoplasm of spleen NOS
B062300	Malignant neoplasm of palatopharyngeal arch
B613500	"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
B615z00	"Hodgkin's disease, mixed cellularity NOS"
B67y.00	Other and unspecified leukaemia
B540100	Malignant neoplasm of adrenal medulla
B00z100	"Malignant neoplasm of lip, unspecified, lipstick area"
B314100	Malig neoplasm of connective and soft tissues of lumb spine
B110111	Malignant neoplasm of gastro-oesophageal junction
B61z700	Hodgkin's disease NOS of spleen
B55y200	Malignant neoplasm of flank NOS
B070.00	Malignant neoplasm of roof of nasopharynx
B615100	"Hodgkin's mixed cellularity of lymph nodes head, face, neck"
B623100	"Malignant histiocytosis of lymph nodes head, face and neck"
B305C00	Malignant neoplasm of fifth metacarpal bone
B003300	"Malignant neoplasm of lower lip, oral aspect"
B1z2.00	"Malignant neoplasm, overlapping lesion of digestive system"
B241300	Malignant neoplasm of pericardium
B620500	Nodular lymphoma of lymph nodes of inguinal region and leg
B621800	Mycosis fungoides of lymph nodes of multiple sites
B0z1.00	Malignant neoplasm of Waldeyer's ring
B616000	Hodgkin's lymphocytic depletion of unspecified site
B34y000	Malignant neoplasm of ectopic site of female breast
B600700	Reticulosarcoma of spleen
B308100	Malignant neoplasm of talus
B35z000	Malignant neoplasm of ectopic site of male breast
B613600	"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
B561200	Secondary and unspec malig neop diaphragmatic lymph nodes
B45y.00	Malignant neoplasm of other specified female genital organ
B071.00	Malignant neoplasm of posterior wall of nasopharynx
B300300	Malignant neoplasm of nasal bone
B001100	"Malignant neoplasm of lower lip, lipstick area"
B41y000	Malignant neoplasm of cervical stump
B627911	Maltoma
B325500	Malignant melanoma of perineum
B62x600	True histiocytic lymphoma
B241.00	Malignant neoplasm of heart
Byu5700	"[X]Malignant neoplasm of peritoneum, unspecified"
B627900	Mucosa-associated lymphoma
B051000	Malignant neoplasm of upper buccal sulcus
B17yz00	Malignant neoplasm of specified site of pancreas NOS
B62zz00	Lymphoid and histiocytic malignancy NOS
B621000	Mycosis fungoides of unspecified site
B055000	Malignant neoplasm of junction of hard and soft palate
B119.00	Siewert type III adenocarcinoma
ByuC100	[X]Malignant neoplasm/overlap lesion/other+ill-defined sites
B621400	Mycosis fungoides of lymph nodes of axilla and upper limb
B470z00	Malignant neoplasm of undescended testis NOS
B300B00	Malignant neoplasm of turbinate
B32y000	Overlapping malignant melanoma of skin
B17y000	Malignant neoplasm of ectopic pancreatic tissue
B003z00	"Malignant neoplasm of lower lip, inner aspect NOS"
B005.00	Malignant neoplasm of commissure of lip
B11y100	Malignant neoplasm of posterior wall of stomach NEC
B071z00	Malignant neoplasm of posterior wall of nasopharynx NOS
B20y.00	"Malig neop other site nasal cavity, middle ear and sinuses"
ByuC500	[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs
B213z00	Malignant neoplasm of laryngeal cartilage NOS
B118.00	Siewert type II adenocarcinoma
B051100	Malignant neoplasm of lower buccal sulcus
B551200	Malignant neoplasm of intrathoracic site NOS
B602300	Burkitt's lymphoma of intra-abdominal lymph nodes
B576z00	Secondary malig neop of retroperitoneum or peritoneum NOS
B61z800	Hodgkin's disease NOS of lymph nodes of multiple sites
B58y211	Secondary cancer of the cervix
B615000	"Hodgkin's disease, mixed cellularity of unspecified site"
B175.00	"Malignant neoplasm, overlapping lesion of pancreas"
B44y.00	Malignant neoplasm of other site of uterine adnexa
B23y.00	Malignant neoplasm of other specified pleura
B107.00	Siewert type I adenocarcinoma
Byu5B00	[X]Kaposi's sarcoma of other sites
B313z00	Malig neop of connective and soft tissue of thorax NOS
B002200	"Malignant neoplasm of upper lip, mucosa"
B201100	Malignant neoplasm of tympanic cavity
ByuD200	[X]Other types of diffuse non-Hodgkin's lymphoma
B563100	Secondary and unspec malig neop supratrochlear lymph nodes
B000z00	"Malignant neoplasm of upper lip, vermilion border NOS"
B500.00	"Malig neop eyeball excl conjunctiva, cornea, retina, choroid"
B610300	Hodgkin's paragranuloma of intra-abdominal lymph nodes
B611100	"Hodgkin's granuloma of lymph nodes of head, face and neck"
B200100	Malignant neoplasm of nasal conchae
B002100	"Malignant neoplasm of upper lip, frenulum"
B61z500	Hodgkin's disease NOS of lymph nodes inguinal region and leg
B66y.00	Other monocytic leukaemia
