7G03J	Excision of melanoma
B49y0	Malignant neoplasm, overlapping lesion of bladder
B49z.	Malignant neoplasm of urinary bladder NOS
B4A..	Malignant renal neoplasm (& [other unspecif urinary organs])
B4A0.	Malignant tumour of kidney parenchyma
B4A00	Hypernephroma
B4A1.	Malignant tumour of renal pelvis
B4A10	Malignant tumour of renal calyx
B4A11	Malignant tumour of pelviureteric junction
B4A1z	Malignant neoplasm of renal pelvis NOS
B4A2.	Malignant tumour of ureter
B4A3.	Malignant tumour of urethra
B4A4.	Malignant tumour of paraurethral gland
B4Ay.	Malignant neoplasm of other urinary organs
B4Ay0	Malignant neoplasm of overlapping lesion of urinary organs
B4Az.	Malignant neoplasm of kidney or urinary organs NOS
B4y..	Malignant neoplasm of genitourinary organ OS
B4z..	Malignant neoplasm of genitourinary organ NOS
B5...	Malignant neopl other unspecified sites: (& [[carcinoma])
B50..	Malignant tumour of eye
B500.	Malig neop eyeball excl conjunctiva, cornea, retina, choroid
B5000	Malignant tumour of ciliary body
B5001	Malignant tumour of iris
B5002	Malignant neoplasm of crystalline lens
B5003	Malignant neoplasm of sclera
B500z	Malignant neoplasm of eyeball NOS
B501.	Malignant tumour of orbit
B5010	Malignant neoplasm of connective tissue of orbit
B5011	Malignant neoplasm of extraocular muscle of orbit
B501z	Malignant neoplasm of orbit NOS
B503.	Malignant tumour of conjunctiva
B504.	Malignant tumour of cornea
B505.	Malignant tumour of retina
B506.	Malignant tumour of choroid
B507.	Malignant tumour of lacrimal gland
B5070	Malignant neoplasm of lacrimal sac
B5071	Malignant neoplasm of nasolacrimal duct
B507z	Malignant neoplasm of lacrimal duct NOS
B508.	Malignant neoplasm, overlapping lesion of eye and adnexa
B50y.	Malignant neoplasm of other specified site of eye
B50z.	Malignant neoplasm of eye NOS
B510.	Malignant neoplasm cerebrum (excluding lobes and ventricles)
B5100	Malignant neoplasm of basal ganglia
B5101	Malignant neoplasm of cerebral cortex
B5102	Malignant neoplasm of corpus striatum
B5103	Malignant neoplasm of globus pallidus
B5104	Malignant tumour of hypothalamus
B5105	Malignant neoplasm of thalamus
B510z	Malignant neoplasm of cerebrum NOS
B511.	Malignant neoplasm of frontal lobe
B512.	Malignant neoplasm of temporal lobe
B5120	Malignant neoplasm of hippocampus
B5121	Malignant neoplasm of uncus
B512z	Malignant neoplasm of temporal lobe NOS
B513.	Malignant neoplasm of parietal lobe
B514.	Malignant neoplasm of occipital lobe
B515.	Malignant neoplasm of cerebral ventricles
B5150	Malignant tumour of choroid plexus
B5151	Malignant neoplasm of floor of cerebral ventricle
B515z	Malignant neoplasm of cerebral ventricle NOS
B516.	Malignant neoplasm of cerebellum
B517.	Malignant neoplasm of brainstem
B5170	Malignant neoplasm of cerebral peduncle
B5171	Malignant neoplasm of medulla oblongata
B5172	Malignant neoplasm of midbrain
B5173	Malignant neoplasm of pons
B517z	Malignant neoplasm of brainstem NOS
B51y.	Malignant neoplasm of other parts of brain
B51y0	Malignant neoplasm of corpus callosum
B51y1	Malignant neoplasm of tapetum
B51yz	Malignant neoplasm of other part of brain NOS
B51z.	Malignant neoplasm of brain NOS
B52..	Malig neop of other and unspecified parts of nervous system
B520.	Malignant tumour of cranial nerve
B5200	Malignant neoplasm of olfactory bulb
B520z	Malignant neoplasm of cranial nerves NOS
B521.	Malignant neoplasm of cerebral meninges
B5210	Malignant neoplasm of cerebral dura mater
B5211	Malignant neoplasm of cerebral arachnoid mater
B5212	Malignant neoplasm of cerebral pia mater
B521z	Malignant neoplasm of cerebral meninges NOS
B522.	Malignant tumour of spinal cord
B523.	Malignant neoplasm of spinal meninges
B5230	Malignant neoplasm of spinal dura mater
B5231	Malignant neoplasm of spinal arachnoid mater
B5232	Malignant neoplasm of spinal pia mater
B523z	Malignant neoplasm of spinal meninges NOS
B524.	Malig neopl peripheral nerves and autonomic nervous system
B5240	Malignant neoplasm of peripheral nerves of head, face & neck
B5241	Malignant neoplasm of peripheral nerve,upp limb,incl should
B5242	Malignant neoplasm of peripheral nerve of low limb, incl hip
B5243	Malignant neoplasm of peripheral nerve of thorax
B5244	Malignant neoplasm of peripheral nerve of abdomen
B5245	Malignant neoplasm of peripheral nerve of pelvis
B5246	Malignant neoplasm,overlap lesion periph nerve & auton ns
B525.	Malignant neoplasm of cauda equina
B52y.	Malignant neoplasm of other specified part of nervous system
B52z.	Malignant neoplasm of nervous system NOS
B53..	Malignant tumour of thyroid gland
B54..	Malig neop of other endocrine glands and related structures
B540.	Malignant neoplasm of adrenal gland (& phaeochromocytoma)
B5400	Malignant tumour of adrenal cortex
B5401	Malignant tumour of adrenal medulla
B540z	Malignant neoplasm of adrenal gland NOS
B541.	Malignant tumour of parathyroid gland
B542.	Malignant neoplasm pituitary gland and craniopharyngeal duct
B5420	Malignant tumour of pituitary gland
B5421	Malignant tumour of craniopharyngeal duct
B542z	Malig neop pituitary gland or craniopharyngeal duct NOS
B543.	Malignant tumour of pineal gland
B544.	Malignant neoplasm of carotid body
B545.	Malignant neoplasm of aortic body and other paraganglia
B5450	Malignant neoplasm of glomus jugulare
B5451	Malignant neoplasm of aortic body
B5452	Malignant neoplasm of coccygeal body
B545z	Malignant neoplasm of aortic body or paraganglia NOS
B54y.	Malignant neoplasm of other specified endocrine gland
B54z.	Malig neop of endocrine gland or related structure NOS
B55..	Malignant neoplasm of other and ill-defined sites
B550.	Malignant neoplasm of head, neck and face
B5500	Malignant neoplasm of head NOS
B5501	Malignant neoplasm of cheek NOS
B5502	Malignant neoplasm of nose NOS
B5503	Malignant neoplasm of jaw NOS
B5504	Malignant neoplasm of neck NOS
B5505	Malignant neoplasm of supraclavicular fossa NOS
B550z	Malignant neoplasm of head, neck and face NOS
B551.	Malignant tumour of thorax
B5510	Malignant neoplasm of axilla NOS
B5511	Malignant neoplasm of chest wall NOS
B5512	Malignant neoplasm of intrathoracic site NOS
B551z	Malignant neoplasm of thorax NOS
B552.	Malignant tumour of abdomen
B553.	Malignant tumour of pelvis
B5530	Malignant neoplasm of inguinal region NOS
B5531	Malignant neoplasm of presacral region
B5532	Malignant neoplasm of sacrococcygeal region
B553z	Malignant neoplasm of pelvis NOS
B554.	Malignant neoplasm of upper limb NOS
B555.	Malignant neoplasm of lower limb NOS
B55y.	Malignant neoplasm of other specified sites
B55y0	Malignant neoplasm of back NOS
B55y1	Malignant neoplasm of trunk NOS
B55y2	Malignant neoplasm of flank NOS
B55yz	Malignant neoplasm of specified site NOS
B55z.	Malignant neoplasm of other and ill-defined site NOS
B56..	(Lymph node metast) or (sec unsp malig neop lymph nodes)
B560.	Secondary and unspec malig neop lymph nodes head/face/neck
B5600	Secondary and unspec malig neop of superficial parotid LN
B5601	Secondary and unspec malignant neoplasm mastoid lymph nodes
B5602	Secondary and unspec malig neop superficial cervical LN
B5603	Secondary and unspec malignant neoplasm occipital lymph node
B5604	Secondary and unspec malig neop deep parotid lymph nodes
B5605	Secondary and unspec malig neop submandibular lymph nodes
B5606	Secondary and unspec malig neop of facial lymph nodes
B5607	Secondary and unspec malig neop submental lymph nodes
B5608	Secondary and unspec malig neop anterior cervical LN
B5609	Secondary and unspec malig neop deep cervical LN
B560z	Secondary unspec malig neop lymph nodes head/face/neck NOS
B561.	Secondary and unspec malig neop intrathoracic lymph nodes
B5610	Secondary and unspec malig neop internal mammary lymph nodes
B5611	Secondary and unspec malig neop intercostal lymph nodes
B5612	Secondary and unspec malig neop diaphragmatic lymph nodes
B5613	Secondary and unspec malig neop ant mediastinal lymph nodes
B5614	Secondary and unspec malig neop post mediastinal lymph nodes
B5615	Secondary and unspec malig neop paratracheal lymph nodes
B5616	Secondary and unspec malig neop superfic tracheobronchial LN
B5617	Secondary and unspec malig neop inferior tracheobronchial LN
B5618	Secondary and unspec malig neop bronchopulmonary lymph nodes
B5619	Secondary and unspec malig neop pulmonary lymph nodes
B561z	Secondary and unspec malig neop intrathoracic LN NOS
B562.	Secondary and unspec malig neop intra-abdominal lymph nodes
B5620	Secondary and unspec malig neop coeliac lymph nodes
B5621	Secondary and unspec malig neop superficial mesenteric LN
B5622	Secondary and unspec malig neop inferior mesenteric LN
B5623	Secondary and unspec malig neop common iliac lymph nodes
B5624	Secondary and unspec malig neop external iliac lymph nodes
B562z	Secondary and unspec malig neop intra-abdominal LN NOS
B563.	Secondary and unspec malig neop axilla and upper limb LN
B5630	Secondary and unspec malig neop axillary lymph nodes
B5631	Secondary and unspec malig neop supratrochlear lymph nodes
B5632	Secondary and unspec malig neop infraclavicular lymph nodes
B5633	Secondary and unspec malig neop pectoral lymph nodes
B563z	Secondary and unspec malig neop axilla and upper limb LN NOS
B564.	Secondary and unspec malig neop inguinal and lower limb LN
B5640	Secondary and unspec malig neop superficial inguinal LN
B5641	Secondary and unspec malig neop deep inguinal lymph nodes
B5642	Secondary and unspec malig neop popliteal lymph nodes
B564z	Secondary and unspec malig neop of inguinal and leg LN NOS
B565.	Secondary and unspec malig neop intrapelvic lymph nodes
B5650	Secondary and unspec malig neop internal iliac lymph nodes
B5651	Secondary and unspec malig neop inferior epigastric LN
B5652	Secondary and unspec malig neop circumflex iliac LN
B5653	Secondary and unspec malig neop sacral lymph nodes
B5654	Secondary and unspec malig neop obturator lymph nodes
B565z	Secondary and unspec malig neop intrapelvic LN NOS
B56y.	Secondary and unspec malig neop lymph nodes multiple sites
B56z.	Secondary and unspec malig neop lymph nodes NOS
B57..	Secondary malign neoplasm of resp &/or digest syst (& carc)
B570.	Metastasis to lung
B571.	Metastasis to mediastinum
B572.	Metastasis to pleura
B573.	Secondary malignant neoplasm of other respiratory organs
B574.	Secondary malignant neoplasm of small intestine and duodenum
B5740	Secondary malignant neoplasm of duodenum
B5741	Secondary malignant neoplasm of jejunum
B5742	Secondary malignant neoplasm of ileum
B574z	Secondary malig neop of small intestine or duodenum NOS
B575.	Sec malignant neoplasm of large intestine(AND/OR?[rectum])
B5750	Secondary malignant neoplasm of colon
B5751	Secondary malignant neoplasm of rectum
B575z	Secondary malig neop of large intestine or rectum NOS
B576.	Secondary malig neop of retroperitoneum and peritoneum
B5760	Metastasis to retroperitoneum
B5761	Metastasis to peritoneum
B576z	Secondary malig neop of retroperitoneum or peritoneum NOS
B577.	Metastasis to liver
B57y.	Secondary malignant neoplasm of other digestive organ
B57z.	Secondary malig neop of respiratory or digestive system NOS
B58..	Secondary [malig neopl] or [carcinoma] of other specif sites
B580.	Metastasis to kidney
B581.	Secondary malignant neoplasm of other urinary organs
B5810	Metastasis to ureter
B5811	Metastasis to bladder
B5812	Metastasis to urethra
B581z	Secondary malignant neoplasm of other urinary organ NOS
B582.	Metastasis to skin
B5820	Secondary malignant neoplasm of skin of head
B5821	Secondary malignant neoplasm of skin of face
B5822	Secondary malignant neoplasm of skin of neck
B5823	Secondary malignant neoplasm of skin of trunk
B5824	Secondary malignant neoplasm of skin of shoulder and arm
B5825	Secondary malignant neoplasm of skin of hip and leg
B5826	Secondary malignant neoplasm of skin of breast
B582z	Secondary malignant neoplasm of skin NOS
B583.	Secondary malignant neoplasm of brain and spinal cord
B5830	Metastasis to brain
B5831	Metastasis to spinal cord
B583z	Secondary malignant neoplasm of brain or spinal cord NOS
B584.	Secondary malignant neoplasm of other part of nervous system
B585.	Metastasis to bone
B586.	Metastasis to ovary
B587.	Metastasis to adrenal gland
B58y0	Metastasis to breast
B58y1	Metastasis to uterus
B58y2	Secondary malignant neoplasm of cervix uteri
B58y3	Metastasis to vagina
B58y4	Secondary malignant neoplasm of vulva
B58y5	Metastasis to prostate
B58y6	Metastasis to testis
B58y7	Metastasis to penis
B58y8	Secondary malignant neoplasm of epididymis and vas deferens
B58yz	Secondary malignant neoplasm of other specified site NOS
B59..	Malignant neoplasm of unspecified site
B590.	Disseminated malignancy NOS (& carcinomatosis)
B591.	Other malignant neoplasm NOS
B592.	Malignant neoplasms of independent (primary) multiple sites
B59z.	Malignant neoplasm of unspecified site NOS
B5y..	Malignant neoplasm of other and unspecified site OS
B5z..	Malignant neoplasm of other and unspecified site NOS
B6z0.	Kaposi's sarcoma of lymph nodes
BB02.	Malignant tumour morphology
BB04.	Malignant tumour - uncertain whether primary or metastatic
BB07.	Malignant tumour cells
BB08.	Malignant tumour - small cell type
BB09.	Malignant tumour - giant cell type
BB0A.	Malignant tumour - fusiform cell type
BB14.	[M]Carcinomatosis
BB53.	[M]Adenocarcinoma, metastatic, NOS
BB5B1	Islet cell carcinoma
BB5B3	Malignant insulinoma
BB5B5	Malignant glucagonoma
BB5B6	Mixed islet cell and exocrine adenocarcinoma
BB5C.	[M]Gastrinoma and carcinomas
BB5C1	Malignant gastrinoma
BB5Cz	[M]Gastrinoma or carcinoma NOS
BB5D1	Cholangiocarcinoma
BB5D3	Bile duct cystadenocarcinoma
BB5D5	[M]Hepatocellular carcinoma NOS
BB5D7	[M]Combined hepatocellular carcinoma and cholangiocarcinoma
BB5D8	[M] Hepatocellular carcinoma, fibrolamellar
BB5F.	Trabecular adenocarcinoma
BB5P.	[M]Solid carcinoma NOS
BB5Q.	Carcinoma simplex
BB5R.	Carcinoid tumour - morphology
BB5R0	[M]Carcinoid tumour NOS
BB5R1	[M]Carcinoid tumour, malignant
BB5R3	[M]Carcinoid tumour, argentaffin, malignant
BB5R4	[M]Carcinoid tumour, nonargentaffin, NOS
BB5R5	[M]Carcinoid tumour, nonargentaffin, malignant
BB5R7	Composite carcinoid
BB5R9	[M] Neuroendocrine carcinoma
BB5RA	[M] Merkel cell carcinoma
BB5Rz	[M]Carcinoid tumours NOS
BB5T1	[M]Papillary adenocarcinoma NOS
BB5U2	Villous adenocarcinoma
BB5V1	Chromophobe carcinoma
BB5V3	Acidophil carcinoma
BB5V5	Mixed acidophil-basophil carcinoma
BB5V7	Basophil carcinoma
BB5W1	Oxyphilic adenocarcinoma
BB5X1	[M]Clear cell adenocarcinoma NOS
BB5Y.	Hypernephroid tumour
BB5a0	Renal cell carcinoma - morphology
BB5b.	Granular cell carcinoma
BB5c2	Water-clear cell adenocarcinoma
BB5d1	Mixed cell adenocarcinoma
BB5f1	[M]Follicular adenocarcinoma NOS
BB5f2	Follicular adenocarcinoma - well differentiated
BB5f3	Follicular adenocarcinoma - trabecular
BB5f6	Papillary and follicular adenocarcinoma
BB5f7	Nonencapsulated sclerosing carcinoma
BB5h1	Adrenal cortical carcinoma
BB5j2	Endometrioid carcinoma
BB5j5	Malignant endometrioid adenofibroma
BB5y1	[M] Vipoma
BB5y2	Klatskin's tumour morphology
BB621	Apocrine adenocarcinoma
BB691	[M]Sebaceous adenocarcinoma
BB6A1	Ceruminous adenocarcinoma
BB71.	Mucoepidermoid carcinoma
BB801	[M]Cystadenocarcinoma NOS
BB812	[M]Serous cystadenocarcinoma, NOS
BB815	[M]Papillary cystadenocarcinoma, NOS
BB818	Papillary serous cystadenocarcinoma
BB81B	Serous surface papillary carcinoma
BB81E	[M]Mucinous cystadenocarcinoma NOS
BB81H	Papillary mucinous cystadenocarcinoma
BB821	Mucinous adenocarcinoma
BB83.	[M]Pseudomyxoma peritonei
BB84.	Mucin-producing adenocarcinoma
BB850	Signet ring cell carcinoma
BB851	Metastatic signet ring cell carcinoma
BB85z	[M]Signet ring carcinoma NOS
BB91.	Infiltrating duct carcinoma
BB93.	[M]Comedocarcinoma NOS
BB94.	Juvenile carcinoma of the breast
BB9B.	[M]Medullary carcinoma NOS
BB9C.	Medullary carcinoma with amyloid stroma
BB9D.	Medullary carcinoma with lymphoid stroma
BB9F.	[M]Lobular carcinoma NOS
BB9G.	Infiltrating ductular carcinoma
BB9H.	Inflammatory carcinoma
BB9J.	Mammary Paget's disease
BB9K.	Paget's disease and infiltrating duct carcinoma of breast
BB9L.	[M]Paget's disease, extramammary, exc Paget's disease bone
BB9M.	[M] Intracystic carcinoma NOS
BBA2.	Acinar cell carcinoma
BBB0.	Adenosquamous carcinoma
BBB2.	Adenocarcinoma with squamous metaplasia
BBB3.	Adenocarcinoma with cartilaginous and osseous metaplasia
BBB4.	Adenocarcinoma with spindle cell metaplasia
BBB5.	Adenocarcinoma with apocrine metaplasia
BBB61	Malignant thymoma
BBC4.	Malignant granulosa cell tumour
BBC61	Malignant androblastoma
BBCA.	Sertoli cell carcinoma
BBCC1	Malignant Leydig cell tumour
BBD1.	Malignant paraganglioma
BBD8.	Malignant extra-adrenal paraganglioma
BBDA.	Malignant phaeochromocytoma
BBDB.	Glomangiosarcoma
BBE..	[M]Naevi and melanomas
BBE1.	[M]Malignant melanoma NOS or melanocarcinoma or melanoma NOS
BBE2.	Nodular melanoma
BBE4.	Balloon cell melanoma
BBEC.	Malignant melanoma in junctional naevus
BBEE.	Malignant melanoma in precancerous melais
BBEF.	[M]Hutchinson's melanotic freckle
BBEG.	[M] Malignant melanoma in Hutchinson's melanotic freckle
BBEH.	Superficial spreading melanoma
BBEM.	Malignant melanoma in giant pigmented naevus
BBEP.	Epithelioid cell melanoma
BBEQ.	[M]Spindle cell melanoma NOS
BBER.	Spindle cell melanoma - type A
BBES.	Spindle cell melanoma - type B
BBET.	Mixed epithelioid and spindle cell melanoma
BBF1.	[M]Sarcoma NOS
BBF3.	Spindle cell sarcoma
BBF4.	[M]Giant cell sarcoma (except of bone)
BBF5.	Small cell sarcoma
BBF6.	Epithelioid sarcoma
BBG1.	[M]Fibrosarcoma NOS
BBG3.	Fibromyxosarcoma
BBG5.	Periosteal fibrosarcoma
BBG7.	Fascial fibrosarcoma
BBG8.	Infantile fibrosarcoma
BBGF.	Malignant fibrous histiocytoma
BBGM.	[M]Dermatofibrosarcoma NOS
BBGP.	[M] Pigmented dermatofibrosarcoma protuberans
BBH1.	[M]Myxosarcoma
BBJ1.	[M]Liposarcoma NOS
BBJ3.	Liposarcoma - well differentiated
BBJ5.	Myxoid liposarcoma
BBJ6.	Round cell liposarcoma
BBJ7.	Pleomorphic liposarcoma
BBJ8.	Mixed liposarcoma
BBJB1	[M]Angiomyoliposarcoma
BBJH.	Dedifferentiated liposarcoma
BBK02	[M]Leiomyosarcoma NOS
BBK04	Epithelioid leiomyosarcoma
BBK11	Angiomyosarcoma
BBK2.	[M]Myoma and myosarcoma
BBK21	Myosarcoma
BBK2z	[M]Myoma or myosarcoma NOS
BBK31	[M]Rhabdomyosarcoma NOS
BBK32	Pleomorphic rhabdomyosarcoma
BBK33	Mixed type rhabdomyosarcoma
BBK36	Embryonal rhabdomyosarcoma
BBK37	Alveolar rhabdomyosarcoma
BBL0.	Endometrial stromal sarcoma
BBL4.	[M]Mixed tumour, malignant, NOS
BBL5.	Mullerian mixed tumour
BBL6.	Mesodermal mixed tumour
BBL72	[M]Epithelial nephroblastoma
BBL73	[M]Mesenchymal nephroblastoma
BBL8.	Hepatoblastoma
BBL9.	[M]Carcinosarcoma NOS
BBLA.	Embryonal carcinosarcoma,
BBLC1	Malignant mesenchymoma
BBLD.	Embryonal sarcoma
BBLE.	Adenosarcoma
BBLJ.	[M] Clear cell sarcoma of kidney
BBM01	Malignant Brenner tumour
BBM9.	Malignant cystosarcoma phyllodes
BBN2.	Synovial sarcoma - spindle cell
BBN3.	Synovial sarcoma - epithelioid cell
BBN4.	Synovial sarcoma - biphasic
BBN5.	[M]Clear cell sarcoma of tendons and aponeuroses
BBP1.	Malignant mesothelioma
BBP3.	Malignant fibrous mesothelioma
BBP5.	Malignant epithelioid mesothelioma
BBP7.	Malignant biphasic mesothelioma
BBPX.	[M]Mesothelioma, unspecified
BBQ0.	Dysgerminoma
BBQ1.	[M]Seminomas
BBQ10	Anaplastic seminoma
BBQ11	Spermatocytic seminoma
BBQ1z	[M]Seminoma NOS
BBQ3.	[M]Embryonal carcinoma NOS
BBQ4.	Endodermal sinus tumour
BBQ5.	Polyembryoma
BBQ73	Teratocarcinoma
BBQ74	Malignant teratoma - undifferentiated
BBQ75	Malignant teratoma - intermediate
BBQ9.	Dermoid cyst with malignant transformation
BBQA1	Malignant struma ovarii
BBR2.	[M]Choriocarcinoma
BBR3.	Choriocarcinoma combined with teratoma
BBR4.	Trophoblastic malignant teratoma
BBS2.	Malignant mesonephroma
BBT1.	Haemangiosarcoma
BBT5.	Kupffer cell sarcoma
BBT71	Malignant haemangioendothelioma
BBTA.	[M]Kaposi's sarcoma
BBTD2	Malignant haemangiopericytoma
BBU1.	Lymphangiosarcoma
BBV1.	Osteosarcoma - morphology
BBV2.	Chondroblastic osteosarcoma
BBV3.	Fibroblastic osteosarcoma
BBV4.	Telangiectatic osteosarcoma
BBV5.	Osteosarcoma in Paget's disease of bone
BBV6.	Juxtacortical osteosarcoma
BBV9.	[M] Myxoid chondrosarcoma
BBVA.	[M] Small cell osteosarcoma
BBVz.	[M]Osteoma or osteosarcoma NOS
BBW4.	[M]Chondrosarcoma NOS
BBW6.	Juxtacortical chondrosarcoma
BBW8.	Malignant chondroblastoma
BBW9.	Mesenchymal chondrosarcoma
BBX1.	Malignant giant cell tumour of bone
BBX3.	Malignant giant cell tumour of soft tissue
BBY0.	Ewing's sarcoma
BBZ2.	Malignant odontogenic tumour
BBZC.	Ameloblastic odontosarcoma
BBZG.	Malignant ameloblastoma
BBZN.	Ameloblastic fibrosarcoma
BBa3.	Pineoblastoma
BBa5.	Chordoma
BBb0.	[M]Glioma, malignant &/or glioma NOS &/or gliosarcoma
BBb1.	Gliomatosis cerebri
BBb2.	Mixed glioma
BBb6.	[M]Choroid plexus papilloma, malignant
BBbH.	[M]Spongioblastoma NOS
BBbJ.	Spongioblastoma polare
BBbK.	Astroblastoma
BBbL.	[M]Glioblastoma multiforme (& NOS)
BBbM.	Giant cell glioblastoma
BBbN.	Glioblastoma with sarcomatous component
BBbP.	Primitive polar spongioblastoma
BBbQ.	[M]Oligodendroglioma NOS
BBbR.	Anaplastic oligodendroglioma
BBbS.	Oligodendroblastoma
BBbT.	[M]Medulloblastoma NOS
BBbU.	Desmoplastic medulloblastoma
BBbV.	Medullomyoblastoma
BBbW.	[M]Cerebellar sarcoma NOS
BBbX.	Monstrocellular sarcoma
BBc..	[M]Neuroepitheliomatous neoplasms
BBc01	Ganglioneuroblastoma
BBc1.	[M](Neuroblastoma NOS) or (sympathicoblastoma)
BBc2.	[M]Medulloepithelioma NOS
BBc3.	Teratoid medulloepithelioma
BBc4.	[M]Neuroepithelioma NOS
BBc5.	Spongioneuroblastoma
BBc9.	[M]Retinoblastomas
BBc90	Retinoblastoma - differentiated
BBc91	Retinoblastoma - undifferentiated
BBc9z	[M]Retinoblastoma NOS
BBcA.	Olfactory neurogenic tumour
BBcB.	Asthesioneurocytoma
BBcC.	Asthesioneuroblastoma
BBcD.	Aesthesioneuroepithelioma
BBcz.	[M]Neuroepitheliomatous neoplasm NOS
BBd2.	Malignant meningioma
BBdB.	Meningeal sarcomatosis
BBe2.	Neurofibrosarcoma
BBe7.	Malignant neurilemmoma
BBf1.	Malignant granular cell tumour
BBf2.	[M]Alveolar soft part sarcoma
BBmG.	[M] Immunoproliferative small intestinal disease
Byu1.	[X]Malignant neoplasm of digestive organs
Byu10	[X]Other sarcomas of the liver
Byu11	[X]Other specified carcinomas of liver
Byu12	[X]Malignant neoplasm of intestinal tract, part unspecified
Byu13	[X]Malignant neoplsm/ill-defin sites within digestive system
Byu2.	[X]Malignant neoplasm of respiratory and intrathoracic orga
Byu24	[X]Malignant neoplasm/ill-defined sites within resp system
Byu25	[X]Malignant neoplasm of mediastinum, part unspecified
Byu3.	[X]Malignant neoplasm of bone and articular cartilage
Byu30	[X]Mal neoplasm/overlap lesion/bone+articular cartilage/limb
Byu31	[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd
Byu32	[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage
Byu33	[X]Malignant neoplasm/bone+articular cartilage, unspecified
Byu52	[X]Kaposi's sarcoma of multiple organs
Byu53	[X]Kaposi's sarcoma, unspecified
Byu54	[X]Malignant neoplasm/peripheral nerves of trunk,unspecified
Byu55	[X]Mal neoplasm/overlap les/periph nerv+autonomic nerv systm
Byu56	[X]Mal neoplasm/periph nerves+autonomic nervous system,unspc
Byu57	[X]Malignant neoplasm of peritoneum, unspecified
Byu58	[X]Mal neoplasm/connective+soft tissue of trunk,unspecified
Byu59	[X]Malignant neoplasm/connective + soft tissue,unspecified
Byu5A	[X]Malignant neoplasm overlapping lesion of skin
Byu5B	[X]Kaposi's sarcoma of other sites
Byu6.	[X]Malignant neoplasm of breast
Byu7.	[X]Malignant neoplasm of female genital organs
Byu70	[X]Malignant neoplasm of uterine adnexa, unspecified
Byu71	[X]Malignant neoplasm/other specified female genital organs
Byu72	[X]Malignant neoplasm/overlapping lesion/feml genital organs
Byu73	[X]Malignant neoplasm of female genital organ, unspecified
Byu8.	[X]Malignant neoplasm of male genital organs
Byu80	[X]Malignant neoplasm of other specified male genital organs
Byu81	[X]Malignant neoplasm/overlapping lesion/male genital organs
Byu82	[X]Malignant neoplasm of male genital organ, unspecified
Byu9.	[X]Malignant neoplasm of urinary tract
Byu90	[X]Malignant neoplasm of urinary organ, unspecified
ByuA.	[X]Malignant neoplasm of eye, brain and other parts of cent
ByuA0	[X]Malignant neoplasm/other and unspecified cranial nerves
ByuA1	[X]Malignant neoplasm of central nervous system, unspecified
ByuA2	[X]Malignant neoplasm of meninges, unspecified
ByuA3	[X]Malig neopl, overlap lesion brain & other part of CNS
ByuB.	[X]Malignant neoplasm of thyroid and other endocrine glands
ByuB0	[X]Malignant neoplasm-pluriglandular involvement,unspecified
ByuB1	[X]Malignant neoplasm of endocrine gland, unspecified
ByuC.	[X]Malignant neoplasm of ill-defined, secondary and unspeci
ByuC0	[X]Malignant neoplasm of other specified sites
ByuC1	[X]Malignant neoplasm/overlap lesion/other+ill-defined sites
ByuC2	[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions
ByuC3	[X]Secondary malignant neoplasm/oth+unspc respiratory organs
ByuC4	[X]Secondary malignant neoplasm/oth+unspcfd digestive organs
ByuC5	[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs
ByuC6	[X]2ndry malignant neoplasm/oth+unspec parts/nervous system
ByuC7	[X]Secondary malignant neoplasm of other specified sites
ByuC8	[X]Malignant neoplasm without specification of site
C1z2.	Carcinoid syndrome
F373.	Carcinomatous neuropathy
F3811	Myasthenic syndrome due to other malignancy
F3962	Myopathy associated with malignant disease
X00eS	Retinoblastoma
X309C	Malignant cystic tumour of exocrine pancreas
X309D	Cystadenocarcinoma of pancreas
X40B6	Gestational trophoblastic tumour
X40B9	Placental site trophoblastic tumour
X40On	Carcinoid crisis
X507N	Malignant acanthosis nigricans
X77nP	Malignant endocrine tumour morphology
X77nQ	Neuroendocrine carcinoma
X77nR	Merkel cell carcinoma
X77nU	Adenocarcinoid tumour
X77ng	Malignant endometrioid tumour
X77nj	Klatskin's tumour
X77nk	Fibrolamellar hepatocellular carcinoma
X77nu	Intraductal papillary adenocarcinoma with invasion
X77nv	Intracystic carcinoma
X77nw	Infiltrating duct and lobular carcinoma
X77ny	Paget's disease and intraductal carcinoma of breast
X77o1	Epithelial-myoepithelial carcinoma
X77o2	Adenocarcinoma with metaplasia
X77o7	Malignant thecoma
X77oH	Melanocytic lesion morphology
X77oI	Malignant melanocytic lesion
X77oJ	Regressing malignant melanoma
X77oK	Malignant acral lentiginous melanoma
X77oL	Malignant desmoplastic melanoma
X77oT	Round cell sarcoma
X77oU	Askin's tumour
X77oV	[M]Fibroxanthosarcoma
X77oW	Pigmented dermatofibrosarcoma protuberans
X77oX	Myxoid dermatofibrosarcoma
X77ob	Dedifferentiated liposarcoma
X77of	Myxoid leiomyosarcoma
X77ok	Carcinoma in pleomorphic adenoma
X77ol	Rhabdoid sarcoma
X77om	Clear cell sarcoma of kidney
X77on	Pancreatoblastoma
X77ou	Mesothelioma
X77ov	Cystic mesothelioma
