B....11	Cancers
B331000	Malignant neoplasm of canthus
B331100	Malignant neoplasm of upper eyelid
B331200	Malignant neoplasm of lower eyelid
B332200	Malignant neoplasm of pinna NEC
B334.00	Malignant neoplasm of scalp and skin of neck
B334z00	Malignant neoplasm of scalp or skin of neck NOS
B335900	Malignant neoplasm of perianal skin
B339.00	Dermatofibrosarcoma protuberans
B33A.00	Stewart-Treves syndrome
B33X.00	Malignant neoplasm overlapping lesion of skin
B33z000	Kaposi's sarcoma of skin
B33z100	Naevoid basal cell carcinoma syndrome
B33z111	Basal cell naevus syndrome
B34..00	Malignant neoplasm of female breast
B34..11	Ca female breast
B340.00	Malignant neoplasm of nipple and areola of female breast
B340000	Malignant neoplasm of nipple of female breast
B340100	Malignant neoplasm of areola of female breast
B340z00	Malignant neoplasm of nipple or areola of female breast NOS
B341.00	Malignant neoplasm of central part of female breast
B342.00	Malignant neoplasm of upper-inner quadrant of female breast
B343.00	Malignant neoplasm of lower-inner quadrant of female breast
B344.00	Malignant neoplasm of upper-outer quadrant of female breast
B345.00	Malignant neoplasm of lower-outer quadrant of female breast
B346.00	Malignant neoplasm of axillary tail of female breast
B347.00	Malignant neoplasm, overlapping lesion of breast
B34y.00	Malignant neoplasm of other site of female breast
B34y000	Malignant neoplasm of ectopic site of female breast
B34yz00	Malignant neoplasm of other site of female breast NOS
B34z.00	Malignant neoplasm of female breast NOS
B35..00	Malignant neoplasm of male breast
B350.00	Malignant neoplasm of nipple and areola of male breast
B350000	Malignant neoplasm of nipple of male breast
B350100	Malignant neoplasm of areola of male breast
B350z00	Malignant neoplasm of nipple or areola of male breast NOS
B35z.00	Malignant neoplasm of other site of male breast
B35z000	Malignant neoplasm of ectopic site of male breast
B35zz00	Malignant neoplasm of male breast NOS
B36..00	Local recurrence of malignant tumour of breast
B3y..00	Malignant neoplasm of bone, connective tissue, skin and breast otherwise specified
B3z..00	Malignant neoplasm of bone, connective tissue, skin and breast NOS
B4...00	Malignant neoplasm of genitourinary organ
B4...11	Carcinoma of genitourinary organ
B40..00	Malignant neoplasm of uterus, part unspecified
B41..00	Malignant neoplasm of cervix uteri
B41..11	Cervical carcinoma (uterus)
B410.00	Malignant neoplasm of endocervix
B410000	Malignant neoplasm of endocervical canal
B410100	Malignant neoplasm of endocervical gland
B410z00	Malignant neoplasm of endocervix NOS
B411.00	Malignant neoplasm of exocervix
B412.00	Malignant neoplasm, overlapping lesion of cervix uteri
B41y.00	Malignant neoplasm of other site of cervix
B41y000	Malignant neoplasm of cervical stump
B41y100	Malignant neoplasm of squamocolumnar junction of cervix
B41yz00	Malignant neoplasm of other site of cervix NOS
B41z.00	Malignant neoplasm of cervix uteri NOS
B42..00	Malignant neoplasm of placenta
B420.00	Choriocarcinoma
B43..00	Malignant neoplasm of body of uterus
B430.00	Malignant neoplasm of corpus uteri, excluding isthmus
B430000	Malignant neoplasm of cornu of corpus uteri
B430100	Malignant neoplasm of fundus of corpus uteri
B430200	Malignant neoplasm of endometrium of corpus uteri
B430211	Malignant neoplasm of endometrium
B430300	Malignant neoplasm of myometrium of corpus uteri
B430z00	Malignant neoplasm of corpus uteri NOS
B431.00	Malignant neoplasm of isthmus of uterine body
B431000	Malignant neoplasm of lower uterine segment
B431z00	Malignant neoplasm of isthmus of uterine body NOS
B432.00	Malignant neoplasm of overlapping lesion of corpus uteri
B43y.00	Malignant neoplasm of other site of uterine body
B43z.00	Malignant neoplasm of body of uterus NOS
B44..00	Malignant neoplasm of ovary and other uterine adnexa
B440.00	Malignant neoplasm of ovary
B440.11	Cancer of ovary
B441.00	Malignant neoplasm of fallopian tube
B442.00	Malignant neoplasm of broad ligament
B443.00	Malignant neoplasm of parametrium
B444.00	Malignant neoplasm of round ligament
B44y.00	Malignant neoplasm of other site of uterine adnexa
B44z.00	Malignant neoplasm of uterine adnexa NOS
B45..00	Malignant neoplasm of other and unspecified female genital organs
B450.00	Malignant neoplasm of vagina
B450000	Malignant neoplasm of Gartner's duct
B450100	Malignant neoplasm of vaginal vault
B450z00	Malignant neoplasm of vagina NOS
B451.00	Malignant neoplasm of labia majora
B451000	Malignant neoplasm of greater vestibular (Bartholin's) gland
B451z00	Malignant neoplasm of labia majora NOS
B452.00	Malignant neoplasm of labia minora
B453.00	Malignant neoplasm of clitoris
B454.00	Malignant neoplasm of vulva unspecified
B454.11	Primary vulval cancer
B45X.00	Malignant neoplasm of overlapping lesion of female genital organs
B45y.00	Malignant neoplasm of other specified female genital organ
B45y000	Malignant neoplasm of overlapping lesion of vulva
B45z.00	Malignant neoplasm of female genital organ NOS
B46..00	Malignant neoplasm of prostate
B47..00	Malignant neoplasm of testis
B470.00	Malignant neoplasm of undescended testis
B470000	Malignant neoplasm of ectopic testis
B470100	Malignant neoplasm of retained testis
B470200	Seminoma of undescended testis
B470300	Teratoma of undescended testis
B470z00	Malignant neoplasm of undescended testis NOS
B471.00	Malignant neoplasm of descended testis
B471000	Seminoma of descended testis
B471100	Teratoma of descended testis
B471z00	Malignant neoplasm of descended testis NOS
B47z.00	Malignant neoplasm of testis NOS
B47z.11	Seminoma of testis
B47z.1212	Teratoma of testis
B48..00	Malignant neoplasm of penis and other male genital organs
B481.00	Malignant neoplasm of glans penis
B482.00	Malignant neoplasm of body of penis
B483.00	Malignant neoplasm of penis, part unspecified
B484.00	Malignant neoplasm of epididymis
B485.00	Malignant neoplasm of spermatic cord
B486.00	Malignant neoplasm of scrotum
B487.00	Malignant neoplasm, overlapping lesion of penis
B48y.00	Malignant neoplasm of other male genital organ
B48y000	Malignant neoplasm of seminal vesicle
B48y100	Malignant neoplasm of tunica vaginalis
B48y200	Malignant neoplasm, overlapping lesion of male genital organs
B48yz00	Malignant neoplasm of other male genital organ NOS
B48z.00	Malignant neoplasm of penis and other male genital organ NOS
B49..00	Malignant neoplasm of urinary bladder
B490.00	Malignant neoplasm of trigone of urinary bladder
B491.00	Malignant neoplasm of dome of urinary bladder
B492.00	Malignant neoplasm of lateral wall of urinary bladder
B493.00	Malignant neoplasm of anterior wall of urinary bladder
B494.00	Malignant neoplasm of posterior wall of urinary bladder
B495.00	Malignant neoplasm of bladder neck
B496.00	Malignant neoplasm of ureteric orifice
B497.00	Malignant neoplasm of urachus
B498.00	Local recurrence of malignant tumour of urinary bladder
B49y.00	Malignant neoplasm of other site of urinary bladder
B49y000	Malignant neoplasm, overlapping lesion of bladder
B49z.00	Malignant neoplasm of urinary bladder NOS
B4A..00	Malignant neoplasm of kidney and other unspecified urinary organs
B4A..11	Renal malignant neoplasm
B4A0.00	Malignant neoplasm of kidney parenchyma
B4A0000	Hypernephroma
B4A1.00	Malignant neoplasm of renal pelvis
B4A1000	Malignant neoplasm of renal calyces
B4A1100	Malignant neoplasm of ureteropelvic junction
B4A1z00	Malignant neoplasm of renal pelvis NOS
B4A2.00	Malignant neoplasm of ureter
B4A3.00	Malignant neoplasm of urethra
B4A4.00	Malignant neoplasm of paraurethral glands
B4Ay.00	Malignant neoplasm of other urinary organs
B4Ay000	Malignant neoplasm of overlapping lesion of urinary organs
B4Az.00	Malignant neoplasm of kidney or urinary organs NOS
B4y..00	Malignant neoplasm of genitourinary organ otherwise specified
B4z..00	Malignant neoplasm of genitourinary organ NOS
B5...00	Malignant neoplasm of other and unspecified sites
B5...11	Carcinoma of other and unspecified sites
B50..00	Malignant neoplasm of eye
B500.00	Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid
B500000	Malignant neoplasm of ciliary body
B500100	Malignant neoplasm of iris
B500200	Malignant neoplasm of crystalline lens
B500300	Malignant neoplasm of sclera
B500z00	Malignant neoplasm of eyeball NOS
B501.00	Malignant neoplasm of orbit
B501000	Malignant neoplasm of connective tissue of orbit
B501100	Malignant neoplasm of extraocular muscle of orbit
B501z00	Malignant neoplasm of orbit NOS
B502.00	Malignant neoplasm of lacrimal gland
B503.00	Malignant neoplasm of conjunctiva
B504.00	Malignant neoplasm of cornea
B505.00	Malignant neoplasm of retina
B506.00	Malignant neoplasm of choroid
B507.00	Malignant neoplasm of lacrimal duct
B507000	Malignant neoplasm of lacrimal sac
B507100	Malignant neoplasm of nasolacrimal duct
B507z00	Malignant neoplasm of lacrimal duct NOS
B508.00	Malignant neoplasm, overlapping lesion of eye and adnexa
B509.00	Malignant melanoma of eye
B50y.00	Malignant neoplasm of other specified site of eye
B50z.00	Malignant neoplasm of eye NOS
B51..00	Malignant neoplasm of brain
B51..11	Cerebral tumour - malignant
B510.00	Malignant neoplasm of cerebrum (excluding lobes and ventricles)
B510000	Malignant neoplasm of basal ganglia
B510100	Malignant neoplasm of cerebral cortex
B510200	Malignant neoplasm of corpus striatum
B510300	Malignant neoplasm of globus pallidus
B510400	Malignant neoplasm of hypothalamus
B510500	Malignant neoplasm of thalamus
B510z00	Malignant neoplasm of cerebrum NOS
B511.00	Malignant neoplasm of frontal lobe
B512.00	Malignant neoplasm of temporal lobe
B512000	Malignant neoplasm of hippocampus
B512100	Malignant neoplasm of uncus
B512z00	Malignant neoplasm of temporal lobe NOS
B513.00	Malignant neoplasm of parietal lobe
B514.00	Malignant neoplasm of occipital lobe
B515.00	Malignant neoplasm of cerebral ventricles
B515000	Malignant neoplasm of choroid plexus
B515100	Malignant neoplasm of floor of cerebral ventricle
B515z00	Malignant neoplasm of cerebral ventricle NOS
B516.00	Malignant neoplasm of cerebellum
B517.00	Malignant neoplasm of brain stem
B517000	Malignant neoplasm of cerebral peduncle
B517100	Malignant neoplasm of medulla oblongata
B517200	Malignant neoplasm of midbrain
B517300	Malignant neoplasm of pons
B517z00	Malignant neoplasm of brain stem NOS
B51y.00	Malignant neoplasm of other parts of brain
B51y000	Malignant neoplasm of corpus callosum
B51y100	Malignant neoplasm of tapetum
B51y200	Malignant neoplasm, overlapping lesion of brain
B51yz00	Malignant neoplasm of other part of brain NOS
B51z.00	Malignant neoplasm of brain NOS
B52..00	Malignant neoplasm of other and unspecified parts of nervous system
B520.00	Malignant neoplasm of cranial nerves
B520000	Malignant neoplasm of olfactory bulb
B520100	Malignant neoplasm of optic nerve
B520200	Malignant neoplasm of acoustic nerve
B520z00	Malignant neoplasm of cranial nerves NOS
B521.00	Malignant neoplasm of cerebral meninges
B521000	Malignant neoplasm of cerebral dura mater
B521100	Malignant neoplasm of cerebral arachnoid mater
B521200	Malignant neoplasm of cerebral pia mater
B521z00	Malignant neoplasm of cerebral meninges NOS
B522.00	Malignant neoplasm of spinal cord
B523.00	Malignant neoplasm of spinal meninges
B523000	Malignant neoplasm of spinal dura mater
B523100	Malignant neoplasm of spinal arachnoid mater
B523200	Malignant neoplasm of spinal pia mater
B523z00	Malignant neoplasm of spinal meninges NOS
B524.00	Malignant neoplasm of peripheral nerves and autonomic nervous system
B524000	Malignant neoplasm of peripheral nerves of head, face and neck
B524100	Malignant neoplasm of peripheral nerves of upper limb, including shoulder
B524200	Malignant neoplasm of peripheral nerves of lower limb, including hip
B524300	Malignant neoplasm of peripheral nerve of thorax
B524400	Malignant neoplasm of peripheral nerve of abdomen
B524500	Malignant neoplasm of peripheral nerve of pelvis
B524600	Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system
B524W00	Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified
B524X00	Malignant neoplasm of peripheral nerves of trunk, unspecified
B525.00	Malignant neoplasm of cauda equina
B52W.00	Malignant neoplasm, overlapping lesion of brain and other part of central nervous system
B52X.00	Malignant neoplasm of meninges, unspecified
B52y.00	Malignant neoplasm of other specified part of nervous system
B52z.00	Malignant neoplasm of nervous system NOS
B53..00	Malignant neoplasm of thyroid gland
B54..00	Malignant neoplasm of other endocrine glands and related structures
B540.00	Malignant neoplasm of adrenal gland
B540.11	Phaeochromocytoma
B540000	Malignant neoplasm of adrenal cortex
B540100	Malignant neoplasm of adrenal medulla
B540z00	Malignant neoplasm of adrenal gland NOS
B541.00	Malignant neoplasm of parathyroid gland
B542.00	Malignant neoplasm of pituitary gland and craniopharyngeal duct
B542000	Malignant neoplasm of pituitary gland
B542100	Malignant neoplasm of craniopharyngeal duct
B542z00	Malignant neoplasm of pituitary gland or craniopharyngeal duct NOS
B543.00	Malignant neoplasm of pineal gland
B544.00	Malignant neoplasm of carotid body
B545.00	Malignant neoplasm of aortic body and other paraganglia
B545000	Malignant neoplasm of glomus jugulare
B545100	Malignant neoplasm of aortic body
B545200	Malignant neoplasm of coccygeal body
B545z00	Malignant neoplasm of aortic body or paraganglia NOS
B54X.00	Malignant neoplasm - pluriglandular involvement, unspecified
B54y.00	Malignant neoplasm of other specified endocrine gland
B54z.00	Malignant neoplasm of endocrine gland or related structure NOS
B55..00	Malignant neoplasm of other and ill-defined sites
B550.00	Malignant neoplasm of head, neck and face
B550000	Malignant neoplasm of head NOS
B550100	Malignant neoplasm of cheek NOS
B550200	Malignant neoplasm of nose NOS
B550300	Malignant neoplasm of jaw NOS
B550400	Malignant neoplasm of neck NOS
B550500	Malignant neoplasm of supraclavicular fossa NOS
B550z00	Malignant neoplasm of head, neck and face NOS
B551.00	Malignant neoplasm of thorax
B551000	Malignant neoplasm of axilla NOS
B551100	Malignant neoplasm of chest wall NOS
B551200	Malignant neoplasm of intrathoracic site NOS
B551z00	Malignant neoplasm of thorax NOS
B552.00	Malignant neoplasm of abdomen
B553.00	Malignant neoplasm of pelvis
B553000	Malignant neoplasm of inguinal region NOS
B553100	Malignant neoplasm of presacral region
B553200	Malignant neoplasm of sacrococcygeal region
B553z00	Malignant neoplasm of pelvis NOS
B554.00	Malignant neoplasm of upper limb NOS
B555.00	Malignant neoplasm of lower limb NOS
B55y.00	Malignant neoplasm of other specified sites
B55y200	Malignant neoplasm of flank NOS
B55yz00	Malignant neoplasm of specified site NOS
B55z.00	Malignant neoplasm of other and ill defined site NOS
B56..00	Secondary and unspecified malignant neoplasm of lymph nodes
B56..11	Lymph node metastases
B560.00	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck
B560000	Secondary and unspecified malignant neoplasm of superficial parotid lymph nodes
B560100	Secondary and unspecified malignant neoplasm of mastoid lymph nodes
B560200	Secondary and unspecified malignant neoplasm of superficial cervical lymph nodes
B560300	Secondary and unspecified malignant neoplasm of occipital lymph nodes
B560400	Secondary and unspecified malignant neoplasm of deep parotid lymph nodes
B560500	Secondary and unspecified malignant neoplasm of submandibular lymph nodes
B560600	Secondary and unspecified malignant neoplasm of facial lymph nodes
B560700	Secondary and unspecified malignant neoplasm of submental lymph nodes
B560800	Secondary and unspecified malignant neoplasm of anterior cervical lymph nodes
B560900	Secondary and unspecified malignant neoplasm of deep cervical lymph nodes
B560z00	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck NOS
B561.00	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
B561000	Secondary and unspecified malignant neoplasm of internal mammary lymph nodes
B561100	Secondary and unspecified malignant neoplasm of intercostal lymph nodes
B561200	Secondary and unspecified malignant neoplasm of diaphragmatic lymph nodes
B561300	Secondary and unspecified malignant neoplasm of anterior mediastinal lymph nodes
B561400	Secondary and unspecified malignant neoplasm of posterior mediastinal lymph nodes
B561500	Secondary and unspecified malignant neoplasm of paratracheal lymph nodes
B561600	Secondary and unspecified malignant neoplasm of superficial tracheobronchial lymph nodes
B561700	Secondary and unspecified malignant neoplasm of inferior tracheobronchial lymph nodes
B561800	Secondary and unspecified malignant neoplasm of bronchopulmonary lymph nodes
B561900	Secondary and unspec malig neop pulmonary lymph nodes
B561z00	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes NOS
B562.00	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
B562000	Secondary and unspecified malignant neoplasm of coeliac lymph nodes
B562100	Secondary and unspecified malignant neoplasm of superficial mesenteric lymph nodes
B562200	Secondary and unspecified malignant neoplasm of inferior mesenteric lymph nodes
B562300	Secondary and unspecified malignant neoplasm of common iliac lymph nodes
B562400	Secondary and unspecified malignant neoplasm of external iliac lymph nodes
B562z00	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes NOS
B563.00	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
B563000	Secondary and unspecified malignant neoplasm of axillary lymph nodes
B563100	Secondary and unspecified malignant neoplasm of supratrochlear lymph nodes
B563200	Secondary and unspecified malignant neoplasm of infraclavicular lymph nodes
B563300	Secondary and unspecified malignant neoplasm of pectoral lymph nodes
B563z00	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes NOS
B564.00	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
B564000	Secondary and unspecified malignant neoplasm of superficial inguinal lymph nodes
B564100	Secondary and unspecified malignant neoplasm of deep inguinal lymph nodes
B564200	Secondary and unspecified malignant neoplasm of popliteal lymph nodes
B564z00	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes NOS
B565.00	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
B565000	Secondary and unspecified malignant neoplasm of internal iliac lymph nodes
B565100	Secondary and unspecified malignant neoplasm of inferior epigastric lymph nodes
B565200	Secondary and unspecified malignant neoplasm of circumflex iliac lymph nodes
B565300	Secondary and unspecified malignant neoplasm of sacral lymph nodes
B565400	Secondary and unspecified malignant neoplasm of obturator lymph nodes
B565z00	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes NOS
B56y.00	Secondary and unspecified malignant neoplasm of lymph nodes in multiple sites
B56z.00	Secondary and unspecified malignant neoplasm of lymph nodes NOS
B57..00	Secondary malignant neoplasm of respiratory and digestive systems
B57..11	Metastases of respiratory and/or digestive systems
B57..1212	Secondary carcinoma of respiratory and/or digestive systems
B570.00	Secondary malignant neoplasm of lung
B571.00	Secondary malignant neoplasm of mediastinum
B572.00	Secondary malignant neoplasm of pleura
B573.00	Secondary malignant neoplasm of other respiratory organs
B574.00	Secondary malignant neoplasm of small intestine and duodenum
B574000	Secondary malignant neoplasm of duodenum
B574100	Secondary malignant neoplasm of jejunum
B574200	Secondary malignant neoplasm of ileum
B574z00	Secondary malignant neoplasm of small intestine or duodenum NOS
B575.00	Secondary malignant neoplasm of large intestine and rectum
B575000	Secondary malignant neoplasm of colon
B575100	Secondary malignant neoplasm of rectum
B575z00	Secondary malignant neoplasm of large intestine or rectum NOS
B576.00	Secondary malignant neoplasm of retroperitoneum and peritoneum
B576000	Secondary malignant neoplasm of retroperitoneum
B576100	Secondary malignant neoplasm of peritoneum
B576200	Malignant ascites
B576z00	Secondary malignant neoplasm of retroperitoneum or peritoneum NOS
B577.00	Secondary malignant neoplasm of liver
B577.11	Liver metastases
B577000	Secondary malignant neoplasm of liver and intrahepatic bile duct
B57y.00	Secondary malignant neoplasm of other digestive organ
B57z.00	Secondary malignant neoplasm of respiratory or digestive system NOS
B58..00	Secondary malignant neoplasm of other specified sites
B58..11	Secondary carcinoma of other specified sites
B580.00	Secondary malignant neoplasm of kidney
B581.00	Secondary malignant neoplasm of other urinary organs
B581000	Secondary malignant neoplasm of ureter
B581100	Secondary malignant neoplasm of bladder
B581200	Secondary malignant neoplasm of urethra
B581z00	Secondary malignant neoplasm of other urinary organ NOS
B582.00	Secondary malignant neoplasm of skin
B582000	Secondary malignant neoplasm of skin of head
B582100	Secondary malignant neoplasm of skin of face
B582200	Secondary malignant neoplasm of skin of neck
B582300	Secondary malignant neoplasm of skin of trunk
B582400	Secondary malignant neoplasm of skin of shoulder and arm
B582500	Secondary malignant neoplasm of skin of hip and leg
B582600	Secondary malignant neoplasm of skin of breast
B582z00	Secondary malignant neoplasm of skin NOS
B583.00	Secondary malignant neoplasm of brain and spinal cord
B583000	Secondary malignant neoplasm of brain
B583100	Secondary malignant neoplasm of spinal cord
B583200	Cerebral metastasis
B583z00	Secondary malignant neoplasm of brain or spinal cord NOS
B584.00	Secondary malignant neoplasm of other part of nervous system
B585.00	Secondary malignant neoplasm of bone and bone marrow
B586.00	Secondary malignant neoplasm of ovary
B587.00	Secondary malignant neoplasm of adrenal gland
B58y.00	Secondary malignant neoplasm of other specified sites
B58y000	Secondary malignant neoplasm of breast
B58y100	Secondary malignant neoplasm of uterus
B58y200	Secondary malignant neoplasm of cervix uteri
B58y211	Secondary cancer of the cervix
B58y300	Secondary malignant neoplasm of vagina
B58y400	Secondary malignant neoplasm of vulva
B58y411	Secondary cancer of the vulva
B58y500	Secondary malignant neoplasm of prostate
B58y600	Secondary malignant neoplasm of testis
B58y700	Secondary malignant neoplasm of penis
B58y800	Secondary malignant neoplasm of epididymis and vas deferens
B58y900	Secondary malignant neoplasm of tongue
B58yz00	Secondary malignant neoplasm of other specified site NOS
B58z.00	Secondary malignant neoplasm of other specified site NOS
B59..00	Malignant neoplasm of unspecified site
B590.00	Disseminated malignancy NOS
B590.11	Carcinomatosis
B591.00	Other malignant neoplasm NOS
B592.00	Malignant neoplasms of independent (primary) multiple sites
B592X00	Kaposi's sarcoma of multiple organs
B593.00	Primary malignant neoplasm of unknown site
B594.00	Secondary malignant neoplasm of unknown site
B595.00	Malignant tumour of unknown origin
B59z.00	Malignant neoplasm of unspecified site NOS
B59zX00	Kaposi's sarcoma, unspecified
B5y..00	Malignant neoplasm of other and unspecified site otherwise specified
B5z..00	Malignant neoplasm of other and unspecified site NOS
B6...00	Malignant neoplasm of lymphatic and haemopoietic tissue
B6...11	Malignant neoplasm of histiocytic tissue
B60..00	Lymphosarcoma and reticulosarcoma
B600.00	Reticulosarcoma
B600000	Reticulosarcoma of unspecified site
B600100	Reticulosarcoma of lymph nodes of head, face and neck
B600200	Reticulosarcoma of intrathoracic lymph nodes
B600300	Reticulosarcoma of intra-abdominal lymph nodes
B600400	Reticulosarcoma of lymph nodes of axilla and upper limb
B600500	Reticulosarcoma of lymph nodes of inguinal region and lower limb
B600600	Reticulosarcoma of intrapelvic lymph nodes
B600700	Reticulosarcoma of spleen
B600800	Reticulosarcoma of lymph nodes of multiple sites
B600z00	Reticulosarcoma NOS
B601.00	Lymphosarcoma
B601000	Lymphosarcoma of unspecified site
B601100	Lymphosarcoma of lymph nodes of head, face and neck
B601200	Lymphosarcoma of intrathoracic lymph nodes
B601300	Lymphosarcoma of intra-abdominal lymph nodes
B601400	Lymphosarcoma of lymph nodes of axilla and upper limb
B601500	Lymphosarcoma of lymph nodes of inguinal region and lower limb
B601600	Lymphosarcoma of intrapelvic lymph nodes
B601700	Lymphosarcoma of spleen
B601800	Lymphosarcoma of lymph nodes of multiple sites
B601z00	Lymphosarcoma NOS
B602.00	Burkitt's lymphoma
B602000	Burkitt's lymphoma of unspecified site
B602100	Burkitt's lymphoma of lymph nodes of head, face and neck
B602200	Burkitt's lymphoma of intrathoracic lymph nodes
B602300	Burkitt's lymphoma of intra-abdominal lymph nodes
B602400	Burkitt's lymphoma of lymph nodes of axilla and upper limb
B602500	Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B602600	Burkitt's lymphoma of intrapelvic lymph nodes
B602700	Burkitt's lymphoma of spleen
B602800	Burkitt's lymphoma of lymph nodes of multiple sites
B602z00	Burkitt's lymphoma NOS
B60y.00	Other specified reticulosarcoma or lymphosarcoma
B60z.00	Reticulosarcoma or lymphosarcoma NOS
B61..00	Hodgkin's disease
B61..11	Hodgkin lymphoma
B610.00	Hodgkin's paragranuloma
B610000	Hodgkin's paragranuloma of unspecified site
B610100	Hodgkin's paragranuloma of lymph nodes of head, face, and neck
B610200	Hodgkin's paragranuloma of intrathoracic lymph nodes
B610300	Hodgkin's paragranuloma of intra-abdominal lymph nodes
B610400	Hodgkin's paragranuloma of lymph nodes of axilla and upper limb
B610500	Hodgkin's paragranuloma of lymph nodes of inguinal region and lower limb
B610600	Hodgkin's paragranuloma of intrapelvic lymph nodes
B610700	Hodgkin's paragranuloma of spleen
B610800	Hodgkin's paragranuloma of lymph nodes of multiple sites
B610z00	Hodgkin's paragranuloma NOS
B611.00	Hodgkin's granuloma
B611000	Hodgkin's granuloma of unspecified site
B611100	Hodgkin's granuloma of lymph nodes of head, face and neck
B611200	Hodgkin's granuloma of intrathoracic lymph nodes
B611300	Hodgkin's granuloma of intra-abdominal lymph nodes
B611400	Hodgkin's granuloma of lymph nodes of axilla and upper limb
B611500	Hodgkin's granuloma of lymph nodes of inguinal region and lower limb
B611600	Hodgkin's granuloma of intrapelvic lymph nodes
B611700	Hodgkin's granuloma of spleen
B611800	Hodgkin's granuloma of lymph nodes of multiple sites
B611z00	Hodgkin's granuloma NOS
B612.00	Hodgkin's sarcoma
B612000	Hodgkin's sarcoma of unspecified site
B612100	Hodgkin's sarcoma of lymph nodes of head, face and neck
B612200	Hodgkin's sarcoma of intrathoracic lymph nodes
B612300	Hodgkin's sarcoma of intra-abdominal lymph nodes
B612400	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B612500	Hodgkin's sarcoma of lymph nodes of inguinal region and lower limb
B612600	Hodgkin's sarcoma of intrapelvic lymph nodes
B612700	Hodgkin's sarcoma of spleen
B612800	Hodgkin's sarcoma of lymph nodes of multiple sites
B612z00	Hodgkin's sarcoma NOS
B613.00	Hodgkin's disease, lymphocytic-histiocytic predominance
B613.11	Hodgkin lymphoma, lymphocyte-rich
B613000	Hodgkin's disease, lymphocytic-histiocytic predominance of unspecified site
B613100	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck
B613200	Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes
B613300	Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes
B613400	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb
B613500	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb
B613600	Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes
B613700	Hodgkin's, lymphocytic-histiocytic predominance of spleen
B613800	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites
B613z00	Hodgkin's, lymphocytic-histiocytic predominance NOS
B614.00	Hodgkin's disease, nodular sclerosis
B614000	Hodgkin's disease, nodular sclerosis of unspecified site
B614100	Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck
B614200	Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes
B614300	Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes
B614400	Hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb
B614500	Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region and lower limb
B614600	Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes
B614700	Hodgkin's disease, nodular sclerosis of spleen
B614800	Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites
B614z00	Hodgkin's disease, nodular sclerosis NOS
B615.00	Hodgkin's disease, mixed cellularity
B615000	Hodgkin's disease, mixed cellularity of unspecified site
B615100	Hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck
B615200	Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes
B615300	Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes
B615400	Hodgkin's disease, mixed cellularity of lymph nodes of axilla and upper limb
B615500	Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region and lower limb
B615600	Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes
B615700	Hodgkin's disease, mixed cellularity of spleen
B615800	Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites
B615z00	Hodgkin's disease, mixed cellularity NOS
B616.00	Hodgkin's disease, lymphocytic depletion
B616000	Hodgkin's lymphocytic depletion of unspecified site
B616100	Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face and neck
B616200	Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes
B616300	Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes
B616400	Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb
