1429.	H/O: * leukaemia
B44z.	Malignant neoplasm of uterine adnexa NOS
B45..	Malignant neoplasm of other and unspecified female genital organs
B450.	Cancer of vagina
B4500	Malignant neoplasm of Gartner's duct
B4501	Malignant neoplasm of vaginal vault
B450z	Malignant neoplasm of vagina NOS
B451.	Malignant neoplasm of labia majora
B4510	Malignant neoplasm of greater vestibular (Bartholin's) gland
B451z	Malignant neoplasm of labia majora NOS
B452.	Malignant neoplasm of labia minora
B453.	Clitoral Ca
B454.	Malignant neoplasm of vulva unspecified
B45y.	Malignant neoplasm of other specified female genital organ
B45y0	Malignant neoplasm of overlapping lesion of vulva
B45z.	Malignant neoplasm of female genital organ NOS
B46..	CA - Cancer of prostate
B47..	Malignant neoplasm of testis
B470.	Cancer of undescended testis
B4700	Cancer of ectopic testis
B4701	Cancer of intra-abdominal testis
B470z	Malignant neoplasm of undescended testis NOS
B471.	Malignant neoplasm of descended testis
B47z.	Malignant neoplasm of testis NOS
B48..	Malignant neoplasm of penis and other male genital organs
B481.	Cancer of glans penis
B482.	Cancer of body of penis
B483.	Malignant neoplasm of penis, part unspecified
B484.	Malignant neoplasm of epididymis
B485.	Malignant neoplasm of spermatic cord
B486.	CA - Cancer of scrotum
B487.	Malignant neoplasm, overlapping lesion of penis
B48y.	Malignant neoplasm of other male genital organ
B48y0	Malignant neoplasm of seminal vesicle
B48y1	Malignant neoplasm of tunica vaginalis
B48y2	Malignant neoplasm, overlapping lesion of male genital organs
B48yz	Malignant neoplasm of other male genital organ NOS
B48z.	Malignant neoplasm of penis and other male genital organ NOS
B49..	Bladder cancer
B490.	Malignant neoplasm of trigone of urinary bladder
B491.	Malignant neoplasm of dome of urinary bladder
B492.	Malignant neoplasm of lateral wall of urinary bladder
B493.	Malignant neoplasm of anterior wall of urinary bladder
B494.	Malignant neoplasm of posterior wall of urinary bladder
B495.	Malignant neoplasm of bladder neck
B496.	Malignant neoplasm of ureteric orifice
B497.	Malignant neoplasm of urachus
B49y.	Malignant neoplasm of other site of urinary bladder
B49y0	Malignant neoplasm, overlapping lesion of bladder
B49z.	Malignant neoplasm of urinary bladder NOS
B4A..	Malignant neoplasm of kidney and other unspecified urinary organs
B4A0.	Malignant neoplasm of kidney parenchyma
B4A00	Adenocarcinoma of kidney
B4A1.	Malignant neoplasm of renal pelvis
B4A10	Malignant neoplasm of renal calyx
B4A11	Malignant neoplasm of pelviureteric junction
B4A1z	Malignant neoplasm of renal pelvis NOS
B4A2.	Cancer of ureter
B4A3.	CA - Cancer of urethra
B4A4.	Malignant neoplasm of paraurethral gland
B4Ay.	Malignant neoplasm of other urinary organs
B4Ay0	Malignant neoplasm of overlapping lesion of urinary organs
B4Az.	Malignant neoplasm of kidney or urinary organs NOS
B4y..	Malignant neoplasm of genitourinary organ otherwise specified
B4z..	Malignant neoplasm of genitourinary organ NOS
B5...	Carcinoma of other and unspecified sites
B50..	Malignant neoplasm of eye
B500.	Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid
B5000	Malignant neoplasm of ciliary body
B5001	Malignant neoplasm of iris
B5002	Malignant neoplasm of crystalline lens
B5003	Malignant neoplasm of sclera
B500z	Malignant neoplasm of eyeball NOS
B501.	Malignant neoplasm of orbit
B5010	Malignant neoplasm of connective tissue of orbit
B5011	Malignant neoplasm of extraocular muscle of orbit
B501z	Malignant neoplasm of orbit NOS
B503.	Malignant neoplasm of conjunctiva
B504.	Malignant neoplasm of cornea
B505.	Malignant neoplasm of retina
B506.	Malignant neoplasm of choroid
B507.	Malignant neoplasm of lacrimal gland
B5070	Malignant neoplasm of lacrimal sac
B5071	Malignant neoplasm of nasolacrimal duct
B507z	Malignant neoplasm of lacrimal duct NOS
B508.	Malignant neoplasm, overlapping lesion of eye and adnexa
B50y.	Malignant neoplasm of other specified site of eye
B50z.	Malignant neoplasm of eye NOS
B51..	Cerebral tumour - malignant
B510.	Malignant neoplasm of cerebrum (excluding lobes and ventricles)
B5100	Malignant neoplasm of basal ganglia
B5101	Malignant neoplasm of cerebral cortex
B5102	Malignant neoplasm of corpus striatum
B5103	Malignant neoplasm of globus pallidus
B5104	Malignant neoplasm of hypothalamus
B5105	Malignant neoplasm of thalamus
B510z	Malignant neoplasm of cerebrum NOS
B511.	Malignant neoplasm of frontal lobe
B512.	Malignant neoplasm of temporal lobe
B5120	Malignant neoplasm of hippocampus
B5121	Malignant neoplasm of uncus
B512z	Malignant neoplasm of temporal lobe NOS
B513.	Malignant neoplasm of parietal lobe
B514.	Malignant neoplasm of occipital lobe
B515.	Malignant neoplasm of cerebral ventricles
B5150	Malignant neoplasm of choroid plexus
B5151	Malignant neoplasm of floor of cerebral ventricle
B515z	Malignant neoplasm of cerebral ventricle NOS
B516.	Cerebellar Ca
B517.	Malignant neoplasm of brainstem
B5170	Malignant neoplasm of cerebral peduncle
B5171	Malignant neoplasm of medulla oblongata
B5172	Malignant neoplasm of midbrain
B5173	Malignant neoplasm of pons
B517z	Malignant neoplasm of brainstem NOS
B51y.	Malignant neoplasm of other parts of brain
B51y0	Malignant neoplasm of corpus callosum
B51y1	Malignant neoplasm of tapetum
B51yz	Malignant neoplasm of other part of brain NOS
B51z.	Malignant neoplasm of brain NOS
B52..	Malignant neoplasm of other and unspecified parts of nervous system
B520.	Malignant tumour of cranial nerve
B5200	Malignant neoplasm of olfactory bulb
B520z	Malignant neoplasm of cranial nerves NOS
B521.	Malignant neoplasm of cerebral meninges
B5210	Malignant neoplasm of cerebral dura mater
B5211	Malignant neoplasm of cerebral arachnoid mater
B5212	Malignant neoplasm of cerebral pia mater
B521z	Malignant neoplasm of cerebral meninges NOS
B522.	Malignant neoplasm of spinal cord
B523.	Malignant neoplasm of spinal meninges
B5230	Malignant neoplasm of spinal dura mater
B5231	Malignant neoplasm of spinal arachnoid mater
B5232	Malignant neoplasm of spinal pia mater
B523z	Malignant neoplasm of spinal meninges NOS
B524.	Malignant neoplasm of peripheral nerves and autonomic nervous system
B5240	Malignant neoplasm of peripheral nerves of head, face and neck
B5241	Malignant neoplasm of peripheral nerves of upper limb, including shoulder
B5242	Malignant neoplasm of peripheral nerves of lower limb, including hip
B5243	Malignant neoplasm of peripheral nerve of thorax
B5244	Malignant neoplasm of peripheral nerve of abdomen
B5245	Malignant neoplasm of peripheral nerve of pelvis
B5246	Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system
B525.	Malignant neoplasm of cauda equina
B52y.	Malignant neoplasm of other specified part of nervous system
B52z.	Malignant neoplasm of nervous system NOS
B53..	Malignant neoplasm of thyroid gland
B54..	Malignant neoplasm of other endocrine glands and related structures
B540.	Malignant neoplasm of adrenal gland
B5400	Malignant adrenal cortical tumour
B5401	Malignant neoplasm of adrenal medulla
B540z	Malignant neoplasm of adrenal gland NOS
B541.	Malignant neoplasm of parathyroid gland
B542.	Malignant neoplasm of pituitary gland and craniopharyngeal duct
B5420	CA - Cancer of pituitary gland
B5421	Malignant neoplasm of craniopharyngeal duct
B542z	Malignant neoplasm of pituitary gland or craniopharyngeal duct NOS
B543.	Malignant neoplasm of pineal gland
B544.	Malignant neoplasm of carotid body
B545.	Malignant neoplasm of aortic body and other paraganglia
B5450	Malignant neoplasm of glomus jugulare
B5451	Malignant neoplasm of aortic body
B5452	Malignant neoplasm of coccygeal body
B545z	Malignant neoplasm of aortic body or paraganglia NOS
B54y.	Malignant neoplasm of other specified endocrine gland
B54z.	Malignant neoplasm of endocrine gland or related structure NOS
B55..	Malignant neoplasm of other and ill-defined sites
B550.	Malignant neoplasm of head, neck and face
B5500	Malignant neoplasm of head NOS
B5501	Malignant neoplasm of cheek NOS
B5502	Malignant neoplasm of nose NOS
B5503	Malignant neoplasm of jaw NOS
B5504	Malignant neoplasm of neck NOS
B5505	Malignant neoplasm of supraclavicular fossa NOS
B550z	Malignant neoplasm of head, neck and face NOS
B551.	Malignant neoplasm of thorax
B5510	Malignant neoplasm of axilla NOS
B5511	Malignant neoplasm of chest wall NOS
B5512	Malignant neoplasm of intrathoracic site NOS
B551z	Malignant neoplasm of thorax NOS
B552.	Malignant neoplasm of abdomen
B553.	Malignant neoplasm of pelvis
B5530	Malignant neoplasm of inguinal region NOS
B5531	Malignant neoplasm of presacral region
B5532	Malignant neoplasm of sacrococcygeal region
B553z	Malignant neoplasm of pelvis NOS
B554.	Malignant neoplasm of upper limb NOS
B555.	Malignant neoplasm of lower limb NOS
B55y.	Malignant neoplasm of other specified sites
B55y2	Malignant neoplasm of flank NOS
B55yz	Malignant neoplasm of specified site NOS
B55z.	Malignant neoplasm of other and ill-defined site NOS
B56..	(Lymph node metastases) or (secondary and unspecified malignant neoplasm of lymph nodes)
B560.	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck
B5600	Secondary and unspecified malignant neoplasm of superficial parotid lymph nodes
B5601	Secondary and unspecified malignant neoplasm of mastoid lymph nodes
B5602	Secondary and unspecified malignant neoplasm of superficial cervical lymph nodes
B5603	Secondary and unspecified malignant neoplasm of occipital lymph nodes
B5604	Secondary and unspecified malignant neoplasm of deep parotid lymph nodes
B5605	Secondary and unspecified malignant neoplasm of submandibular lymph nodes
B5606	Secondary and unspecified malignant neoplasm of facial lymph nodes
B5607	Secondary and unspecified malignant neoplasm of submental lymph nodes
B5608	Secondary and unspecified malignant neoplasm of anterior cervical lymph nodes
B5609	Secondary and unspecified malignant neoplasm of deep cervical lymph nodes
B560z	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck NOS
B561.	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
B5610	Secondary and unspecified malignant neoplasm of internal mammary lymph nodes
B5611	Secondary and unspecified malignant neoplasm of intercostal lymph nodes
B5612	Secondary and unspecified malignant neoplasm of diaphragmatic lymph nodes
B5613	Secondary and unspecified malignant neoplasm of anterior mediastinal lymph nodes
B5614	Secondary and unspecified malignant neoplasm of posterior mediastinal lymph nodes
B5615	Secondary and unspecified malignant neoplasm of paratracheal lymph nodes
B5616	Secondary and unspecified malignant neoplasm of superficial tracheobronchial lymph nodes
B5617	Secondary and unspecified malignant neoplasm of inferior tracheobronchial lymph nodes
B5618	Secondary and unspecified malignant neoplasm of bronchopulmonary lymph nodes
B5619	Secondary and unspec malig neop pulmonary lymph nodes
B561z	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes NOS
B562.	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
B5620	Secondary and unspecified malignant neoplasm of coeliac lymph nodes
B5621	Secondary and unspecified malignant neoplasm of superficial mesenteric lymph nodes
B5622	Secondary and unspecified malignant neoplasm of inferior mesenteric lymph nodes
B5623	Secondary and unspecified malignant neoplasm of common iliac lymph nodes
B5624	Secondary and unspecified malignant neoplasm of external iliac lymph nodes
B562z	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes NOS
B563.	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
B5630	Secondary and unspecified malignant neoplasm of axillary lymph nodes
B5631	Secondary and unspecified malignant neoplasm of supratrochlear lymph nodes
B5632	Secondary and unspecified malignant neoplasm of infraclavicular lymph nodes
B5633	Secondary and unspecified malignant neoplasm of pectoral lymph nodes
B563z	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes NOS
B564.	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
B5640	Secondary and unspecified malignant neoplasm of superficial inguinal lymph nodes
B5641	Secondary and unspecified malignant neoplasm of deep inguinal lymph nodes
B5642	Secondary and unspecified malignant neoplasm of popliteal lymph nodes
B564z	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes NOS
B565.	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
B5650	Secondary and unspecified malignant neoplasm of internal iliac lymph nodes
B5651	Secondary and unspecified malignant neoplasm of inferior epigastric lymph nodes
B5652	Secondary and unspecified malignant neoplasm of circumflex iliac lymph nodes
B5653	Secondary and unspecified malignant neoplasm of sacral lymph nodes
B5654	Secondary and unspecified malignant neoplasm of obturator lymph nodes
B565z	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes NOS
B56y.	Secondary and unspecified malignant neoplasm of lymph nodes in multiple sites
B56z.	Secondary and unspecified malignant neoplasm of lymph nodes NOS
B57..	Metastases of respiratory and/or digestive systems
B570.	Metastasis to lung
B571.	Mediastinal metastasis
B572.	Metastasis to pleura
B573.	Secondary malignant neoplasm of other respiratory organs
B574.	Secondary malignant neoplasm of small intestine and duodenum
B5740	Secondary malignant neoplasm of duodenum
B5741	Secondary malignant neoplasm of jejunum
B5742	Secondary malignant neoplasm of ileum
B574z	Secondary malignant neoplasm of small intestine or duodenum NOS
B575.	Secondary malignant neoplasm of large intestine and rectum
B5750	Secondary malignant neoplasm of colon
B5751	Secondary malignant neoplasm of rectum
B575z	Secondary malignant neoplasm of large intestine or rectum NOS
B576.	Secondary malignant neoplasm of retroperitoneum and peritoneum
B5760	Metastasis to retroperitoneum
B5761	Metastasis to peritoneum
B576z	Secondary malignant neoplasm of retroperitoneum or peritoneum NOS
B577.	Hepatic metastasis
B57y.	Secondary malignant neoplasm of other digestive organ
B57z.	Secondary malignant neoplasm of respiratory or digestive system NOS
B58..	Secondary [malignant neoplasm] or [carcinoma] of other specified sites
B580.	Metastasis to kidney
B581.	Secondary malignant neoplasm of other urinary organs
B5810	Metastasis to ureter
B5811	Metastasis to bladder
B5812	Metastasis to urethra
B581z	Secondary malignant neoplasm of other urinary organ NOS
B582.	Cutaneous metastasis
B5820	Secondary malignant neoplasm of skin of head
B5821	Secondary malignant neoplasm of skin of face
B5822	Secondary malignant neoplasm of skin of neck
B5823	Secondary malignant neoplasm of skin of trunk
B5824	Secondary malignant neoplasm of skin of shoulder and arm
B5825	Secondary malignant neoplasm of skin of hip and leg
B5826	Secondary malignant neoplasm of skin of breast
B582z	Secondary malignant neoplasm of skin NOS
B583.	Secondary malignant neoplasm of brain and spinal cord
B5830	Metastasis to brain
B5831	Metastasis to spinal cord
B583z	Secondary malignant neoplasm of brain or spinal cord NOS
B584.	Secondary malignant neoplasm of other part of nervous system
B585.	Bony metastasis
B586.	Krukenburg tumour
B587.	Metastasis to adrenal gland
B58y0	Metastasis to breast
B58y1	Metastasis to uterus
B58y2	Secondary cancer of the cervix
B58y3	Metastasis to vagina
B58y4	Secondary cancer of the vulva
B58y5	Metastasis to prostate
B58y6	Metastasis to testis
B58y7	Metastasis to penis
B58y8	Secondary malignant neoplasm of epididymis and vas deferens
B58yz	Secondary malignant neoplasm of other specified site NOS
B59..	Malignant neoplasm of unspecified site
B590.	Carcinomatosis
B591.	Other malignant neoplasm NOS
B592.	[X]Malignant neoplasms of independent (primary) multiple sites classification terms
B59z.	Malignant neoplasm of unspecified site NOS
B5y..	Malignant neoplasm of other and unspecified site otherwise specified
B5z..	Malignant neoplasm of other and unspecified site NOS
B6...	Malignant neoplasm of histiocytic tissue
B60..	Lymphosarcoma and reticulosarcoma
B600.	Reticulosarcoma
B6000	Reticulosarcoma of unspecified site
B6001	Reticulosarcoma of lymph nodes of head, face and neck
B6002	Reticulosarcoma of intrathoracic lymph nodes
B6003	Reticulosarcoma of intra-abdominal lymph nodes
B6004	Reticulosarcoma of lymph nodes of axilla and upper limb
B6005	Reticulosarcoma of lymph nodes of inguinal region and lower limb
B6006	Reticulosarcoma of intrapelvic lymph nodes
B6007	Reticulosarcoma of spleen
B6008	Reticulosarcoma of lymph nodes of multiple sites
B600z	Reticulosarcoma NOS
B601.	Lymphosarcoma
B6010	Lymphosarcoma of unspecified site
B6011	Lymphosarcoma of lymph nodes of head, face and neck
B6012	Lymphosarcoma of intrathoracic lymph nodes
B6013	Lymphosarcoma of intra-abdominal lymph nodes
B6014	Lymphosarcoma of lymph nodes of axilla and upper limb
B6015	Lymphosarcoma of lymph nodes of inguinal region and lower limb
B6016	Lymphosarcoma of intrapelvic lymph nodes
B6017	Lymphosarcoma of spleen
B6018	Lymphosarcoma of lymph nodes of multiple sites
B601z	Lymphosarcoma NOS
B602.	BL - Burkitt's lymphoma
B6020	Burkitt's lymphoma of unspecified site
B6021	Burkitt's lymphoma of lymph nodes of head, face and neck
B6022	Burkitt's lymphoma of intrathoracic lymph nodes
B6023	Burkitt's lymphoma of intra-abdominal lymph nodes
B6024	Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025	Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
B6026	Burkitt's lymphoma of intrapelvic lymph nodes
B6027	Burkitt's lymphoma of spleen
B6028	Burkitt's lymphoma of lymph nodes of multiple sites
B602z	Burkitt's lymphoma NOS
B60y.	Other specified reticulosarcoma or lymphosarcoma
B60z.	Reticulosarcoma or lymphosarcoma NOS
B61..	HD - Hodgkin's disease
B610.	Hodgkin's paragranuloma
B6100	Hodgkin's paragranuloma of unspecified site
B6101	Hodgkin's paragranuloma of lymph nodes of head, face, and neck
B6102	Hodgkin's paragranuloma of intrathoracic lymph nodes
B6103	Hodgkin's paragranuloma of intra-abdominal lymph nodes
B6104	Hodgkin's paragranuloma of lymph nodes of axilla and upper limb
B6105	Hodgkin's paragranuloma of lymph nodes of inguinal region and lower limb
B6106	Hodgkin's paragranuloma of intrapelvic lymph nodes
B6107	Hodgkin's paragranuloma of spleen
B6108	Hodgkin's paragranuloma of lymph nodes of multiple sites
B610z	Hodgkin's paragranuloma NOS
B611.	Hodgkin's granuloma
B6110	Hodgkin's granuloma of unspecified site
B6111	Hodgkin's granuloma of lymph nodes of head, face and neck
B6112	Hodgkin's granuloma of intrathoracic lymph nodes
B6113	Hodgkin's granuloma of intra-abdominal lymph nodes
B6114	Hodgkin's granuloma of lymph nodes of axilla and upper limb
B6115	Hodgkin's granuloma of lymph nodes of inguinal region and lower limb
B6116	Hodgkin's granuloma of intrapelvic lymph nodes
B6117	Hodgkin's granuloma of spleen
B6118	Hodgkin's granuloma of lymph nodes of multiple sites
B611z	Hodgkin's granuloma NOS
B612.	Hodgkin's sarcoma
B6120	Hodgkin's sarcoma of unspecified site
B6121	Hodgkin's sarcoma of lymph nodes of head, face and neck
B6122	Hodgkin's sarcoma of intrathoracic lymph nodes
B6123	Hodgkin's sarcoma of intra-abdominal lymph nodes
B6124	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B6125	Hodgkin's sarcoma of lymph nodes of inguinal region and lower limb
B6126	Hodgkin's sarcoma of intrapelvic lymph nodes
B6127	Hodgkin's sarcoma of spleen
B6128	Hodgkin's sarcoma of lymph nodes of multiple sites
B612z	Hodgkin's sarcoma NOS
B613.	Hodgkin lymphoma, lymphocyte-rich
B6130	Hodgkin's disease, lymphocytic-histiocytic predominance of unspecified site
B6131	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck
B6132	Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes
B6133	Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes
B6134	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb
B6135	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb
B6136	Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes
B6137	Hodgkin's, lymphocytic-histiocytic predominance of spleen
B6138	Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites
B613z	Hodgkin's, lymphocytic-histiocytic predominance NOS
B614.	Hodgkin's disease, nodular sclerosis
B6140	Hodgkin's disease, nodular sclerosis of unspecified site
B6141	Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck
B6142	Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes
B6143	Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes
B6144	Hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb
B6145	Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region and lower limb
B6146	Hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes
B6147	Hodgkin's disease, nodular sclerosis of spleen
B6148	Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites
B614z	Hodgkin's disease, nodular sclerosis NOS
B615.	Hodgkin's disease, mixed cellularity
B6150	Hodgkin's disease, mixed cellularity of unspecified site
B6151	Hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck
B6152	Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes
B6153	Hodgkin's disease, mixed cellularity of intra-abdominal lymph nodes
B6154	Hodgkin's disease, mixed cellularity of lymph nodes of axilla and upper limb
B6155	Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region and lower limb
B6156	Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes
B6157	Hodgkin's disease, mixed cellularity of spleen
B6158	Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites
B615z	Hodgkin's disease, mixed cellularity NOS
B616.	Hodgkin's disease, lymphocytic depletion
B6160	Hodgkin's lymphocytic depletion of unspecified site
B6161	Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face and neck
B6162	Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes
B6163	Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes
B6164	Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb
B6165	Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb
B6166	Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes
B6167	Hodgkin's disease, lymphocytic depletion of spleen
B6168	Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites
B616z	Hodgkin's disease, lymphocytic depletion NOS
B61z.	Hodgkin lymphoma NOS
B61z0	Hodgkin's disease NOS, unspecified site
B61z1	Hodgkin's disease NOS of lymph nodes of head, face and neck
B61z2	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z3	Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z4	Hodgkin's disease NOS of lymph nodes of axilla and upper limb
B61z5	Hodgkin's disease NOS of lymph nodes of inguinal region and lower limb
B61z6	Hodgkin's disease NOS of intrapelvic lymph nodes
B61z7	Hodgkin's disease NOS of spleen
B61z8	Hodgkin's disease NOS of lymph nodes of multiple sites
B620.	(Nodular lymphoma: Brill-Symmers disease) or (reticulosarcoma - follicular or nodular)
B6200	Nodular lymphoma of unspecified site
B6201	Nodular lymphoma of lymph nodes of head, face and neck
B6202	Nodular lymphoma of intrathoracic lymph nodes
B6203	Nodular lymphoma of intra-abdominal lymph nodes
B6204	Nodular lymphoma of lymph nodes of axilla and upper limb
B6205	Nodular lymphoma of lymph nodes of inguinal region and lower limb
B6206	Nodular lymphoma of intrapelvic lymph nodes
B6207	Nodular lymphoma of spleen
B6208	Nodular lymphoma of lymph nodes of multiple sites
B620z	Nodular lymphoma NOS
B621.	MF - Mycosis fungoides
B6210	Mycosis fungoides of unspecified site
B6211	Mycosis fungoides of the lymph nodes of head, face and neck
B6212	Mycosis fungoides of intrathoracic lymph nodes
B6213	Mycosis fungoides of intra-abdominal lymph nodes
B6214	Mycosis fungoides of lymph nodes of axilla and upper limb
B6215	Mycosis fungoides of lymph nodes of inguinal region and lower limb
B6216	Mycosis fungoides of intrapelvic lymph nodes
B6217	Mycosis fungoides of spleen
B6218	Mycosis fungoides of lymph nodes of multiple sites
B621z	Mycosis fungoides NOS
B622.	Sezary disease
B6220	Sezary's disease of unspecified site
B6221	Sezary's disease of lymph nodes of head, face and neck
B6222	Sezary's disease of intrathoracic lymph nodes
B6223	Sezary's disease of intra-abdominal lymph nodes
B6224	Sezary's disease of lymph nodes of axilla and upper limb
B6225	Sezary's disease of lymph nodes of inguinal region and lower limb
B6226	Sezary's disease of intrapelvic lymph nodes
B6227	Sezary's disease of spleen
B6228	Sezary's disease of lymph nodes of multiple sites
B622z	Sezary's disease NOS
B623.	Malignant histiocytosis
B6230	Malignant histiocytosis of unspecified site
B6231	Malignant histiocytosis of lymph nodes of head, face and neck
B6232	Malignant histiocytosis of intrathoracic lymph nodes
B6233	Malignant histiocytosis of intra-abdominal lymph nodes
B6234	Malignant histiocytosis of lymph nodes of axilla and upper limb
B6235	Malignant histiocytosis of lymph nodes of inguinal region and lower limb
B6236	Malignant histiocytosis of intrapelvic lymph nodes
B6237	Malignant histiocytosis of spleen
B6238	Malignant histiocytosis of lymph nodes of multiple sites
B623z	Malignant histiocytosis NOS
B624.	Hairy cell leukaemia
B6240	Leukaemic reticuloendotheliosis of unspecified sites
B6241	Leukaemic reticuloendotheliosis of lymph nodes of head, face and neck
B6242	Leukaemic reticuloendotheliosis of intrathoracic lymph nodes
B6243	Leukaemic reticuloendotheliosis of intra-abdominal lymph nodes
B6244	Leukaemic reticuloendotheliosis of lymph nodes of axilla and upper limb
B6245	Leukaemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb
B6246	Leukaemic reticuloendotheliosis of intrapelvic lymph nodes
B6247	Leukaemic reticuloendotheliosis of spleen
B6248	Leukaemic reticuloendotheliosis of lymph nodes of multiple sites
B624z	Leukaemic reticuloendotheliosis NOS
B625.	Acute infancy reticulosis
B6250	Letterer-Siwe disease of unspecified sites
B6251	Letterer-Siwe disease of lymph nodes of head, face and neck
B6252	Letterer-Siwe disease of intrathoracic lymph nodes
B6253	Letterer-Siwe disease of intra-abdominal lymph nodes
B6254	Letterer-Siwe disease of lymph nodes of axilla and upper limb
B6255	Letterer-Siwe disease of lymph nodes of inguinal region and lower limb
B6256	Letterer-Siwe disease of intrapelvic lymph nodes
B6257	Letterer-Siwe disease of spleen
B6258	Letterer-Siwe disease of lymph nodes of multiple sites
B625z	Letterer-Siwe disease NOS
B626.	Malignant mast cell tumours
B6260	Mast cell malignancy of unspecified site
B6261	Mast cell malignancy of lymph nodes of head, face and neck
B6262	Mast cell malignancy of intrathoracic lymph nodes
B6263	Mast cell malignancy of intra-abdominal lymph nodes
B6264	Mast cell malignancy of lymph nodes of axilla and upper limb
B6265	Mast cell malignancy of lymph nodes of inguinal region and lower limb
B6266	Mast cell malignancy of intrapelvic lymph nodes
B6267	Mast cell malignancy of spleen
B6268	Mast cell malignancy of lymph nodes of multiple sites
B626z	Malignant mast cell tumour NOS
B627.	Malignant lymphoma, non-Hodgkin's type
B6271	Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma
B6273	Diffuse malignant lymphoma - small non-cleaved cell
B6274	Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
B6275	Diffuse non-Hodgkin's mixed small and large cell (diffuse) lymphoma
B6276	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B6277	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B6278	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B627B	Other types of follicular lymphoma
B627C	Follicular lymphoma NOS
B62x.	Malignant lymphoma otherwise specified
B62x5	Malignant immunoproliferative small intestinal disease
B62y.	Malignant lymphoma NOS
B62y0	Malignant lymphoma NOS of unspecified site
B62y1	Malignant lymphoma NOS of lymph nodes of head, face and neck
B62y2	Malignant lymphoma NOS of intrathoracic lymph nodes
B62y3	Malignant lymphoma NOS of intra-abdominal lymph nodes
B62y4	Malignant lymphoma NOS of lymph nodes of axilla and upper limb
B62y5	Malignant lymphoma NOS of lymph nodes of inguinal region and lower limb
B62y6	Malignant lymphoma NOS of intrapelvic lymph nodes
B62y7	Malignant lymphoma NOS of spleen
B62y8	Malignant lymphoma NOS of lymph nodes of multiple sites
B62z.	Malignant neoplasms of lymphoid and histiocytic tissue NOS
B62z0	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of unspecified site
B62z1	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of lymph nodes of head, face and neck
B62z2	Unspecified malignant neoplasm of lymphoid and histiocytic tissue of intrathoracic lymph nodes
