16A..	Stiff neck symptom
N0621	Allergic arthritis of the shoulder region
N0622	Allergic arthritis of the upper arm
N0623	Allergic arthritis of the forearm
N0624	Allergic arthritis of the hand
N0625	Allergic arthritis of the pelvic region and thigh
N0626	Allergic arthritis of the lower leg
N0627	Allergic arthritis of the ankle and foot
N0628	Allergic arthritis of other specified site
N0629	Allergic arthritis of multiple sites
N062z	Allergic arthritis NOS
N063.	Climacteric arthritis
N0630	Climacteric arthritis of unspecified site
N0631	Climacteric arthritis of the shoulder region
N0632	Climacteric arthritis of the upper arm
N0633	Climacteric arthritis of the forearm
N0634	Climacteric arthritis of the hand
N0635	Climacteric arthritis of the pelvic region and thigh
N0636	Climacteric arthritis of the lower leg
N0637	Climacteric arthritis of the ankle and foot
N0638	Climacteric arthritis of other specified site
N0639	Climacteric arthritis of multiple sites
N063z	Climacteric arthritis NOS
N065.	Unspecified polyarthropathy or polyarthritis
N0650	Unspecified polyarthropathy of unspecified site
N0651	Unspecified polyarthropathy of the shoulder region
N0652	Unspecified polyarthropathy of the upper arm
N0653	Unspecified polyarthropathy of the forearm
N0654	Unspecified polyarthropathy of the hand
N0655	Unspecified polyarthropathy of the pelvic region and thigh
N0656	Unspecified polyarthropathy of the lower leg
N0657	Unspecified polyarthropathy of the ankle and foot
N0658	Unspecified polyarthropathy of other specified site
N0659	Unspecified polyarthropathy of multiple sites
N065A	Generalised arthritis
N0660	Unspecified monoarthritis of unspecified site
N0661	Unspecified monoarthritis of the shoulder region
N0662	Unspecified monoarthritis of the upper arm
N0663	Unspecified monoarthritis of the forearm
N0664	Unspecified monoarthritis of the hand
N0665	Unspecified monoarthritis of the pelvic region and thigh
N0666	Unspecified monoarthritis of the lower leg
N0667	Unspecified monoarthritis of the ankle and foot
N0668	Unspecified monoarthritis of other specified site
N066z	Unspecified monoarthritis NOS
N067.	Ochronotic arthropathy
N068.	Haemophilic arthropathy
N069.	Arthropathy in neoplastic disease
N06y.	Other specified arthropathy
N06y0	Other specified arthropathy of unspecified site
N06y1	Other specified arthropathy of the shoulder region
N06y2	Other specified arthropathy of the upper arm
N06y3	Other specified arthropathy of the forearm
N06y4	Other specified arthropathy of the hand
N06y5	Other specified arthropathy of the pelvic region and thigh
N06y6	Other specified arthropathy of the lower leg
N06y7	Other specified arthropathy of the ankle and foot
N06y8	Other specified arthropathy of other specified site
N06y9	Other specified arthropathy of multiple sites
N06yz	Other specified arthropathy NOS
N06z0	Arthropathy NOS, of unspecified site
N06z8	Arthropathy NOS, of other specified site
N06z9	Arthropathy NOS, of multiple sites
N06zA	Acute arthritis
N06zB	Chronic arthritis
N06zz	Arthropathy NOS
N0849	Contracture of multiple joints
N085.	Ankylosis of joint
N0850	Joint ankylosis of unspecified site
N0851	Joint ankylosis of the shoulder region
N0853	Joint ankylosis of the forearm
N0854	Joint ankylosis of the hand
N0858	Joint ankylosis of other specified site
N0859	Ankylosis of multiple joints
N085A	Ankylosis of the shoulder joint
N085B	Ankylosis of other joint of the shoulder girdle
N085C	Ankylosis of the elbow joint
N085D	Ankylosis of the superior radio-ulnar joint
N085E	Ankylosis of the inferior radio-ulnar joint
N085F	Ankylosis of the wrist joint
N085G	Ankylosis of the 1st carpometacarpal joint
N085H	Ankylosis of other carpometacarpal joint
N085J	Ankylosis of metacarpophalangeal joint
N085K	Ankylosis of proximal interphalangeal joint
N085L	Ankylosis of distal interphalangeal joint
N085M	Ankylosis of the hip joint
N085N	Ankylosis of other pelvic joint
N085P	Ankylosis of the knee joint
N085Q	Ankylosis of the ankle joint
N085R	Ankylosis of the subtalar joint
N085S	Ankylosis of other tarsal joint
N085T	Ankylosis of metatarsophalangeal joint
N085U	Ankylosis of toe joint
N085z	Ankylosis of joint NOS
N09..	Other and unspecified joint disorders
N090W	Intermittent hydrarthrosis
N0930	Palindromic rheumatism of unspecified site
N0931	Palindromic rheumatism of the shoulder region
N0932	Palindromic rheumatism of the upper arm
N0933	Palindromic rheumatism of the forearm
N0934	Palindromic rheumatism of the hand
N0935	Palindromic rheumatism of the pelvic region and thigh
N0936	Palindromic rheumatism of the lower leg
N0937	Palindromic rheumatism of the ankle and foot
N0938	Palindromic rheumatism of other specified site
N0939	Palindromic rheumatism of multiple sites
N093z	Palindromic rheumatism NOS
N094.	Pain in joint - arthralgia
N0940	Arthralgia of unspecified site
N0941	Arthralgia of the shoulder region
N0944	Arthralgia of the hand
N0948	Arthralgia of other specified site
N0949	Arthralgia of multiple joints
N094A	Arthralgia of shoulder
N094B	Arthralgia of sternoclavicular joint
N094C	Arthralgia of acromioclavicular joint
N094D	Arthralgia of elbow
N094E	Arthralgia of distal radio-ulnar joint
N094G	Arthralgia of metacarpophalangeal joint
N094H	Arthralgia of proximal interphalangeal joint of finger
N094J	Arthralgia of distal interphalangeal joint of finger
N094K	Arthralgia of hip
N094L	Arthralgia of sacro-iliac joint
N094M	Arthralgia of knee
N094N	Arthralgia of tibio-fibular joint
N094P	Arthralgia of ankle
N094Q	Arthralgia of subtalar joint
N094R	Arthralgia of talonavicular joint
N094S	Arthralgia of other tarsal joint
N094T	Arthralgia of 1st metatarsophalangeal joint
N094U	Arthralgia of lesser metatarsophalangeal joint
N094V	Arthralgia of interphalangeal joint of toe
N094W	Anterior knee pain
N094z	Arthralgia NOS
N0961	Other joint symptoms of the shoulder region
N0962	Other joint symptoms of the upper arm
N0963	Other joint symptoms of the forearm
N0964	Other joint symptoms of the hand
N0968	Other joint symptoms of other specified site
N0969	Other joint symptoms of multiple sites
N096B	Other symptoms in sternoclavicular joint
N096D	Other symptoms - elbow
N096E	Other symptoms in distal radio-ulnar joint
N096K	Other symptoms - hip
N096N	Other symptoms in tibio-fibular joint
N096R	Other symptoms in talonavicular joint
N096S	Other symptoms in other tarsal joint
N096z	Other joint symptoms NOS
N09C.	Fistula of joint
N09y0	Other specified joint disorders of unspecified site
N09y1	Other specified joint disorders of the shoulder region
N09y2	Other specified joint disorders of the upper arm
N09y3	Other specified joint disorders of the forearm
N09y4	Other specified joint disorders of the hand
N09y5	Other specified joint disorders of the pelvic region and thigh
N09y6	Other specified joint disorders of the lower leg
N09y7	Other specified joint disorders of the ankle and foot
N09y8	Other specified joint disorders of other specified site
N09y9	Other specified joint disorders of multiple sites
N09yz	Other specified joint disorders NOS
N09z.	Joint disorders NOS
N09z1	Joint disorder NOS, of shoulder region
N09z7	Joint disorder NOS, of ankle and foot
N09zz	Joint disorders NOS
N0y..	Other specified arthropathies
N0z..	Arthropathies NOS
N100.	Ankylosing spondylitis
N102.	Sacroiliitis NEC
N10z.	Spondylitis NOS
N11D.	Osteoarthritis of spine
N11D0	Osteoarthritis of cervical spine
N11D1	Osteoarthritis of thoracic spine
N11D2	Osteoarthritis of lumbar spine
N11D3	Osteoarthritis of spine NOS
N11E.	Cervical spondylosis
N11F.	Axial spondyloarthritis
N11y.	Other spondyloses and allied disorders
N11y0	Brucella spondylitis
N11y1	Enterobacterial spondylitis
N11y2	Neuropathic spondylopathy
N11z.	Spondylosis NOS
N11zz	Spondylosis NOS
N12C4	Prolapsed lumbar intervertebral disc with sciatica
N130.	Cervical spinal stenosis
N1300	Idiopathic cervical spinal stenosis
N1301	Degenerative cervical spinal stenosis
N1302	Iatrogenic cervical spinal stenosis
N1303	Cervical spinal stenosis secondary to other disease
N138.	Cervicalgia
N13y2	Crick in neck
N13z.	Cervical and neck disorders NOS
N1400	Spinal stenosis of unspecified region
N1401	Thoracic spinal stenosis
N1402	Lumbar spinal stenosis
N1403	Idiopathic thoracic spinal stenosis
N1404	Degenerative thoracic spinal stenosis
N1405	Iatrogenic thoracic spinal stenosis
N1406	Thoracic spinal stenosis secondary to other disease
N1407	Idiopathic lumbar spinal stenosis
N1408	Degenerative lumbar spinal stenosis
N1409	Iatrogenic lumbar spinal stenosis
N140A	Lumbar spinal stenosis secondary to other disease
N140z	Spinal stenosis NOS
N1420	Lumbago with sciatica
N144.	Thoracic and lumbosacral neuritis
N1441	Lumbosacral neuritis, unspecified
N144z	Thoracic and lumbosacral neuritis NOS
N145.	Backache, unspecified
N1460	Lumbosacral ankylosis
N1461	Sacroiliac ankylosis
N1462	Sacral ankylosis NOS
N1465	Sacral instability NOS
N1472	Coccygodynia
N148.	Ankylosis or instability of cervical,thoracic or lumbar spine
N1480	Atlanto-occipital ankylosis
N1481	Atlanto-axial ankylosis
N1482	Cervical spine ankylosis
N1483	Cervico-thoracic ankylosis
N1484	Thoracic spine ankylosis
N1485	Thoraco-lumbar ankylosis
N1486	Lumbar spine ankylosis
N1487	Atlanto-occipital instability
N1488	Atlanto-axial instability
N1489	Cervical spine instability
N148A	Cervico-thoracic instability
N148B	Thoracic spine instability
N148C	Lumbar spine instability
N149.	Back stiffness
N2...	Rheumatism, excluding the back
N20..	Polymyalgia rheumatica
N2120	Periarthritis of shoulder
N2142	Periarthritis of wrist
N2159	Iliotibial band syndrome
N2172	Metatarsalgia NOS
N21z1	Periarthritis NOS
N220Y	Irritable hip
N22z.	Synovial, tendon or bursa disorder NOS
N240.	Rheumatism and fibrositis unspecified
N2400	Rheumatism unspecified
N2402	Muscular rheumatism
N2403	Rheumatic pain
N2407	Hand rheumatism
N240z	Rheumatism or fibrositis NOS
N241.	Myalgia and myositis unspecified
N2412	Fibromyositis NOS
N241z	Myalgia or myositis NOS
N242.	Neuralgia, neuritis and radiculitis unspecified
N2420	Neuralgia unspecified
N2421	Neuritis unspecified
N2423	Neuropathic pain
N2453	Pain in arm
N2454	Calf pain
N2457	Shoulder pain
N247.	Other musculoskeletal limb symptoms
N248.	Fibromyalgia
N2480	Myofascial pain syndrome
N2y..	Other specified nonarticular rheumatism
N2z..	Nonarticular rheumatism NOS
N312.	Hypertrophic pulmonary osteoarthropathy
N337.	Algoneurodystrophy
N33A.	Bone pain
N33A0	Bony pelvic pain
N33A1	Clavicle pain
N33C.	Complex regional pain syndrome type I
N36..	Other acquired limb deformity
N36yM	Old amputee NOS
N36yz	Acquired limb deformity NEC
N38..	Other acquired deformity
N381.	Other acquired head deformity
N38y.	Other acquired deformity
N38yz	Other acquired deformity NOS
N38z.	Acquired deformity NOS
N39..	Nonallopathic lesions, NEC
N399.	Nonallopathic lesion of the abdomen and other regions
N39z.	Nonallopathic lesion NEC NOS
N3y..	Other specified musculoskeletal disorders
N3y0.	Biomechanical lesions, not elsewhere classified
N3z..	Other musculoskeletal disorder NOS
Ny...	Other specified diseases of musculoskeletal or connective tissue
Nyu..	[X]Additional musculoskeletal and connective tissue disease classification terms
Nyu03	[X]Other reactive arthropathies
Nyu04	[X]Other postinfectious arthropathies in diseases classified elsewhere
Nyu05	[X]Reactive arthropathy in other diseases classified elsewhere
Nyu1.	[X]Inflammatory polyarthropathies
Nyu10	[X]Rheumatoid arthritis with involvement of other organs or systems
Nyu11	[X]Other seropositive rheumatoid arthritis
Nyu12	[X]Other specified rheumatoid arthritis
Nyu13	[X]Other psoriatic arthropathies
Nyu14	[X]Other enteropathic arthropathies
Nyu15	[X]Other juvenile arthritis
Nyu16	[X]Juvenile arthritis in other diseases classified elsewhere
Nyu1A	[X]Other specific arthropathies, not elsewhere classified
Nyu1B	[X]Other specified arthritis
Nyu1E	[X]Arthropathies in other endocrine, nutritional and metabolic disorders
Nyu1F	[X]Arthropathies in other specified diseases classified elsewhere
Nyu1G	[X]Seropositive rheumatoid arthritis, unspecified
Nyu2.	[X]Arthrosis
Nyu20	[X]Other polyarthrosis
Nyu21	[X]Other primary coxarthrosis
Nyu22	[X]Other dysplastic coxarthrosis
Nyu23	[X]Other post-traumatic coxarthrosis
Nyu24	[X]Other secondary coxarthrosis, bilateral
Nyu25	[X]Other primary gonarthrosis
Nyu26	[X]Other post-traumatic gonarthrosis
Nyu27	[X]Other secondary gonarthrosis, bilateral
Nyu28	[X]Other secondary gonarthrosis
Nyu29	[X]Other primary arthrosis of first carpometacarpal joint
Nyu2A	[X]Other post-traumatic arthrosis of first carpometacarpal joint
Nyu2B	[X]Other secondary arthrosis of first carpometacarpal joints, bilateral
Nyu2C	[X]Other secondary arthrosis of first carpometacarpal joint
Nyu2D	[X]Other specified arthrosis
Nyu2E	[X]Other secondary coxarthrosis
Nyu2F	[X]Post-traumatic arthrosis of other joints
Nyu3.	[X]Other joint disorders
Nyu34	[X]Other specified acquired deformities of limbs
Nyu3C	[X]Other instability of joint
Nyu3D	[X]Other specified joint disorders
Nyu4.	[X]Systemic connective tissue disorders
Nyu47	[X]Other systemic diseases of connective tissue
Nyu49	[X]Arthropathy in neoplastic disease classified elsewhere
Nyu4A	[X]Arthropathy in other blood disorders classified elsewhere
Nyu4B	[X]Arthropathy in hypersensitivity reactions classified elsewhere
Nyu4C	[X]Systemic disorders of connective tissue in other diseases classified elsewhere
Nyu62	[X]Other spondylosis with myelopathy
Nyu63	[X]Other spondylosis with radiculopathy
Nyu64	[X]Other spondylosis
Nyu94	[X]Other specified disorders of synovium and tendon
Nyu96	[X]Other disorders of synovium and tendon in diseases classified elsewhere
NyuC7	[X]Other hypertrophic osteoarthropathy
NyuE.	[X]Other disorders of the musculoskeletal system and connective tissue
NyuE0	[X]Other specified acquired deformities of musculoskeletal system
NyuE2	[X]Other postprocedural musculoskeletal disorders
NyuE3	[X]Other biomechanical lesions
NyuE4	[X]Postprocedural musculoskeletal disorder, unspecified
NyX..	Postprocedural musculoskeletal disorder, unspecified
Nz...	Musculoskeletal and connective tissue diseases NOS
P1131	Cervical spinal meningocele
P1132	Thoracic spinal meningocele
PE...	Certain congenital musculoskeletal deformities
PE35.	Unstable hip
PE9..	Other musc skeletal deformity
PEz..	Congenital musculoskeletal deformity NOS
PF6y2	Congenital deformity of sacroiliac joint
PF6y3	Congenital fusion of sacroiliac joint
PG...	Other congenital musculoskeletal anomalies
PG44.	Other specified dwarfing syndromes
PG44z	Other dwarfing syndromes NOS
PGy..	Other specified muscle, tendon and fascia anomaly
PGyyz	Other anomaly of tendon, fascia or muscle NOS
PGyz.	Other muscle, tendon or fascia anomalies NOS
PGz..	Congenital musculoskeletal anomalies NOS
PGz2.	Unspecified anomaly of bones
PGz3.	Unspecified anomaly of cartilage
PKy8.	Congenital malformation syndromes with other skeletal changes
Pyu8.	[X]Congenital malformations and deformations of the musculoskeletal system
Pyu86	[X]Other specified congenital musculoskeletal deformities
Pyu8M	[X]Other congenital malformations of the musculoskeletal system
Q204.	Spine or spinal cord injury due to birth trauma
Q204z	Spine or spinal cord injury due to birth trauma NOS
R00z2	[D]Pain, generalized
R00zC	[D]Chronic intractable pain
R01z.	[D]Other nervous and musculoskeletal symptoms
R01z2	[D]Musculoskeletal pain
R01zz	[D]Nervous or musculoskeletal symptoms NOS
R04..	[D]Head and neck symptoms
R040.	[D]Headache
R0400	[D]Facial pain
R04zz	[D]Head and neck symptoms NOS
R065A	[D]Musculoskeletal chest pain
R090.	[D]Abdominal pain
R090C	[D]Loin pain
R090D	[D]Abdominal migraine
R090J	[D]Right upper quadrant pain
R090y	[D]Other specified abdominal pain
R090z	[D]Abdominal pain NOS
Ryu11	[X]Other and unspecified abdominal pain
Ryu70	[X]Other chronic pain
S1...	Fracture of neck and trunk
S1000	Closed fracture of unspecified cervical vertebra
S100z	Closed fracture of cervical spine not otherwise specified
S1010	Open fracture of unspecified cervical vertebra
S1013	Open fracture of third cervical vertebra
S1014	Open fracture of fourth cervical vertebra
S1015	Open fracture of fifth cervical vertebra
S1016	Open fracture of sixth cervical vertebra
S1017	Open fracture of seventh cervical vertebra
S101z	Open fracture of cervical spine not otherwise specified
S10A.	Fracture of neck
S10A2	Multiple fractures of cervical spine
S10B.	Fracture of lumbar spine and pelvis
S10B6	Multiple fractures of lumbar spine and pelvis
S10x.	Closed fracture of spine, unspecified,
S10y.	Open fracture of spine, unspecified,
S10z.	Fracture of spine without mention of spinal cord lesion NOS
S110.	Closed fracture of cervical spine with cord lesion
S1100	Closed spinal fracture with unspecified cervical cord lesion, C1-4
S1101	Closed spinal fracture with complete cervical cord lesion, C1-4
S1102	Closed spinal fracture with anterior cervical cord lesion, C1-4
S1103	Closed spinal fracture with central cervical cord lesion , C1-4
S1104	Closed spinal fracture with posterior cervical cord lesion, C1-4
S1105	Closed spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified
S1106	Closed spinal fracture with unspecified cervical cord lesion, C5-7
S1107	Closed spinal fracture with complete cervical cord lesion, C5-7
S1108	Closed spinal fracture with anterior cervical cord lesion, C5-7
S1109	Closed spinal fracture with central cervical cord lesion, C5-7
S110A	Closed spinal fracture with posterior cervical cord lesion, C5-7
S110B	Closed spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified
S110z	Closed fracture of cervical spine with spinal cord lesion NOS
S111.	Open fracture of cervical spine with spinal cord lesion
S1110	Open spinal fracture with unspecified cervical cord lesion, C1-4
S1111	Open spinal fracture with complete cervical cord lesion, C1-4
S1112	Open spinal fracture with anterior cervical cord lesion, C1-4
S1113	Open spinal fracture with central cervical cord lesion, C1-4
S1114	Open spinal fracture with posterior cervical cord lesion, C1-4
S1115	Open spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified
S1116	Open spinal fracture with unspecified cervical cord lesion, C5-7
S1117	Open spinal fracture with complete cervical cord lesion, C5-7
S1118	Open spinal fracture with anterior cervical cord lesion, C5-7
S1119	Open spinal fracture with central cervical cord lesion, C5-7
S111A	Open spinal fracture with posterior cervical cord lesion, C5-7
S111B	Open spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified
S111z	Open fracture of cervical spine with spinal cord lesion NOS
S112.	Closed fracture of thoracic spine with spinal cord lesion
S1120	Closed spinal fracture with unspecified thoracic cord lesion, T1-6
S1121	Closed spinal fracture with complete thoracic cord lesion, T1-6
S1122	Closed spinal fracture with anterior thoracic cord lesion, T1-6
S1123	Closed spinal fracture with central thoracic cord lesion, T1-6
S1124	Closed spinal fracture with posterior thoracic cord lesion, T1-6
S1125	Closed spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified
S1126	Closed spinal fracture with unspecified thoracic cord lesion,T7-12
S1127	Closed spinal fracture with complete thoracic cord lesion,T7-12
S1128	Closed spinal fracture with anterior thoracic cord lesion,T7-12
S1129	Closed spinal fracture with central thoracic cord lesion, T7-12
S112A	Closed spinal fracture with posterior thoracic cord lesion, T7-12
S112B	Closed spinal fracture with incomplete thoracic cord lesion,T7-12 not otherwise specified
S112z	Closed fracture of thoracic spine with spinal cord lesion NOS
S113.	Open fracture of thoracic spine with spinal cord lesion
S1130	Open spinal fracture with unspecified thoracic cord lesion, T1-6
S1131	Open spinal fracture with complete thoracic cord lesion, T1-6
S1132	Open spinal fracture with anterior thoracic cord lesion, T1-6
S1133	Open spinal fracture with central thoracic cord lesion, T1-6
S1134	Open spinal fracture with posterior thoracic cord lesion, T1-6
S1135	Open spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified
S1136	Open spinal fracture with unspecified thoracic cord lesion, T7-12
S1137	Open spinal fracture with complete thoracic cord lesion, T7-12
S1138	Open spinal fracture with anterior thoracic cord lesion, T7-12
S1139	Open spinal fracture with central thoracic cord lesion, T7-12
S113A	Open spinal fracture with posterior thoracic cord lesion, T7-12
S113B	Open spinal fracture with incomplete thoracic cord lesion, T7-12 not otherwise specified
S113z	Open fracture of thoracic spine with spinal cord lesion NOS
S114.	Closed fracture of lumbar spine with spinal cord lesion
S1140	Closed spinal fracture with unspecified lumbar cord lesion
S1141	Closed spinal fracture with complete lumbar cord lesion
S1142	Closed spinal fracture with anterior lumbar cord lesion
S1143	Closed spinal fracture with central lumbar cord lesion
S1144	Closed spinal fracture with posterior lumbar cord lesion
S1145	Closed spinal fracture with cauda equina lesion
S115.	Open fracture of lumbar spine with spinal cord lesion
S1150	Open spinal fracture with unspecified lumbar cord lesion
S1151	Open spinal fracture with complete lumbar cord lesion
S1152	Open spinal fracture with anterior lumbar cord lesion
S1153	Open spinal fracture with central lumbar cord lesion
S1154	Open spinal fracture with posterior lumbar cord lesion
S1155	Open spinal fracture with cauda equina lesion
S115z	Open spinal fracture with incomplete lumbar cord lesion not otherwise specified
S116.	Closed fracture of sacrum with spinal cord lesion
S1160	Closed fracture of sacrum with unspecified spinal cord lesion
S1162	Closed fracture of sacrum with other cauda equina injury
S1163	Closed fracture of sacrum with other spinal cord injury
S116z	Closed fracture of sacrum with spinal cord lesion NOS
S117.	Open fracture of sacrum with spinal cord lesion
S1170	Open fracture of sacrum with unspecified spinal cord lesion
S1172	Open fracture of sacrum with other cauda equina injury
S1173	Open fracture of sacrum with other spinal cord injury
S117z	Open fracture of sacrum with spinal cord lesion NOS
S118.	Closed fracture of coccyx with spinal cord lesion
S1180	Closed fracture of coccyx with unspecified spinal cord lesion
S1182	Closed fracture of coccyx with other cauda equina injury
S1183	Closed fracture of coccyx with other spinal cord injury
S118z	Closed fracture of coccyx with spinal cord lesion NOS
S119.	Open fracture of coccyx with spinal cord lesion
S1190	Open fracture of coccyx with unspecified spinal cord lesion
S1192	Open fracture of coccyx with other cauda equina injury
S1193	Open fracture of coccyx with other spinal cord injury
S119z	Open fracture of coccyx with spinal cord lesion NOS
S11x.	Closed fracture of spine with spinal cord lesion unspecified
S11y.	Open fracture of spine with spinal cord lesion unspecified
S11z.	Fracture of spine with spinal cord lesion NOS
S150.	Multiple fractures of thoracic spine
S1501	Open multiple fracture of thoracic spine
S1z..	Fracture of neck and trunk NOS
S5...	Sprains and strains of joints and adjacent muscles
S51w.	Other elbow sprain
S51y.	Elbow sprain NOS
S560.	Sprain, lumbosacral ligament
S561.	Sacroiliac ligament sprain
S56y.	Other specified sacroiliac sprains
S56z.	Sacroiliac sprain NOS
S570.	Neck sprain
S5701	Cervical anterior longitudinal ligament sprain
S5702	Atlanto-axial joint sprain
S5703	Atlanto-occipital joint sprain
S5704	Whiplash injury
S570z	Neck sprain NOS
S572.	Lumbar sprain
S57X.	Sprain and strain of other and unspecified parts of lumbar spine and pelvis
S57z.	Back sprain NOS
S5y..	Other and ill-defined sprains and strains
S5yy.	Other specified sprains and strains
S5yz.	Other and ill-defined sprains and strains NOS
SC0X.	Sequelae of other fracture of thorax and pelvis
SCW..	Sequelae of unspecified injury of neck and trunk
SD0..	Superficial injury to head, excluding eye
SD0y1	Superficial injury of neck NOS
SD0y2	Superficial injury of scalp NOS
SD0yz	Superficial injury of face, neck, and scalp, no infection, NOS
SD0z.	Superficial injury of face/neck/scalp NOS, infected
SD0z0	Superficial injury of face NOS, infected
SD0z1	Superficial injury of neck NOS, infected
SD0z2	Superficial injury of scalp NOS, infected
SD0zz	Superficial injury of head NOS, infection NOS
SD722	Neuropathic foot blister
SDC0.	Superficial injuries involving head with neck
SF02.	Crush injury, neck
SF020	Crush injury, throat, unspecified
SF02z	Crush injury, neck NOS
SF0z.	Crush injury, face, scalp and neck NOS
SJ...	Nerve and spinal cord injuries
SJ1..	Injury to other cranial nerves
SJ1y.	Other specified cranial nerve injury
SJ1yz	Other specified cranial nerve injury NOS
SJ1z.	Injury to other cranial nerve NOS
SJ2..	Spinal cord injury without evidence of spinal bone injury
SJ20.	Cervical cord injury without evidence of spinal bone injury
SJ205	Incomplete cervical cord injury, unspecified, without bony injury, C1-4
SJ20B	Incomplete cervical cord injury, unspecified, without bony injury, C5-7
SJ20z	Cervical cord injury without spinal bone injury NOS
SJ21.	Thoracic cord injury without spinal bone injury
SJ210	Unspecified thoracic cord injury, without bony injury, T1-6
SJ215	Incomplete thoracic cord injury, unspecified, without bony injury, T1-6
SJ216	Unspecified thoracic cord injury, without bony injury, T7-12
SJ21B	Incomplete thoracic cord injury, unspecified, without bony injury, T7-12
SJ21z	Thoracic cord injury without spinal bone injury, NOS
SJ22.	Lumbar cord injury without spinal bone injury
SJ220	Unspecified lumbar cord injury without bony injury
SJ225	Incomplete lumbar cord injury, unspecified, without bony injury
SJ2z.	Spinal cord injury without spinal bone injury NOS
SJ3x.	Nerve root and spinal plexus injuries of multiple sites
SJ3z.	Nerve root and spinal plexus injuries NOS
SJ60.	Sciatic nerve injury
SJ600	Closed injury sciatic nerve
SJ601	Open injury sciatic nerve
SJ70.	Head and neck superficial nerve injury
SJ71.	Injury of peripheral nerves of neck
SJ8..	Injury of nerves and spinal cord at neck level
SJ9..	Injury of nerves and spinal cord at thorax level
SJz..	Nerve and spinal cord injury NOS
SK10y	Other neck injuries
SK1x1	Multiple superficial injuries of neck
SK1x3	Multiple injuries of neck
SP073	Internal prosthetic device causing pain
SP07A	Pain due to hip joint prosthesis
SP07B	Pain due to knee joint prosthesis
SP07C	Pain due to shoulder joint prosthesis
SP2y2	Postoperative pain
SR10.	Fractures involving head with neck
SR100	Closed fractures involving head with neck
SR101	Open fractures involving head with neck
SR20.	Dislocations, sprains and strains involving head with neck
SR30.	Crushing injuries involving head with neck
Syu06	[X]Sprain and strain of joints and ligaments of other and unspecified parts of head
Syu07	[X]Injury of other cranial nerves
Syu1.	[X]Injuries to the neck
Syu11	[X]Superficial injury of other parts of the neck
Syu12	[X]Superficial injury of neck, part unspecified
Syu15	[X]Fracture of other specified cervical vertebra
Syu16	[X]Fracture of other parts of neck
Syu18	[X]Sprain and strain of joints and ligaments of other and unspecified parts of neck
Syu19	[X]Other and unspecified injuries of cervical spinal cord
Syu1A	[X]Injury of other and unspecified nerves of neck
Syu1D	[X]Crushing injury of other parts of neck
Syu1E	[X]Crushing injury of neck, part unspecified
Syu1F	[X]Other specified injuries of neck
Syu2B	[X]Other and unspecified injuries of thoracic spinal cord
Syu36	[X]Sprain and strain of other and unspecified parts of lumbar spine and syu37pelvis
Syu38	[X]Other injury of lumbar spinal cord
SyuK.	[X]Complications of surgical and medical care, not elsewhere classified
SyuK1	[X]Other complications following infusion, transfusion and therapeutic injection
SyuK2	[X]Other complications of procedures, not elsewhere classified
SyuK3	[X]Mechanical complication of other vascular grafts
SyuK4	[X]Mechanical complication of other cardiac and vascular devices and implants
SyuK5	[X]Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts
SyuK6	[X]Other complications of cardiac and vascular prosthetic devices, implants and grafts
SyuK7	[X]Unspecified complication of cardiac and vascular prosthetic device, implant and graft
SyuK8	[X]Mechanical complication of other urinary devices and implants
SyuK9	[X]Mechanical complication of other devices, implants and grafts of genital tract
SyuKA	[X]Other complications of genitourinary prosthetic devices, implants and grafts
SyuKD	[X]Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts
SyuKE	[X]Other complications of internal orthopaedic prosthetic devices, implants and grafts
SyuKF	[X]Mechanical complication of other ocular prosthetic devices, implants and grafts
SyuKG	[X]Mechanical complication of other specified internal prosthetic devices, implants and grafts
SyuKH	[X]Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts
SyuKJ	[X]Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified
SyuKL	[X]Complications of other reattached body part
SyuKN	[X]Other complications following immunization, not elsewhere classified
SyuKQ	[X]Other specified complications and adverse effects of surgical and medical care, not elsewhere classified
SyuL1	[X]Sequelae of other fracture of thorax and pelvis
SyuL2	[X]Sequelae of other specified injuries of neck and trunk
SyuLC	[X]Sequelae of unspecified injury of neck and trunk
U633.	[X]Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U640.	[X]Cardiac catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U644.	[X]Aspiration of fluid as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U645.	[X]Insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U647.	[X]Blood sampling as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
ZV494	[V]Disfigurements of limbs
Zw043	[Q] Central spinal stenosis
