16A..	Stiff neck symptom
N0934	Palindromic rheumatism of the hand
N0935	Palindromic rheumatism of the pelvic region and thigh
N0936	Palindromic rheumatism of the lower leg
N0937	Palindromic rheumatism of the ankle and foot
N0938	Palindromic rheumatism of other specified site
N0939	Palindromic rheumatism of multiple sites
N093z	Palindromic rheumatism NOS
N094.	Joint: [pain - arthralgia] or [ache]
N0940	Arthralgia of unspecified site
N0941	Arthralgia of the shoulder region (& [shoulder joint])
N0944	Hand joint pain
N0948	Arthralgia of other specified site
N0949	Multiple joint pain
N094B	Sternoclavicular joint pain
N094C	Acromioclavicular joint pain
N094D	Elbow joint pain
N094E	Distal radioulnar joint pain
N094G	Metacarpophalangeal joint pain
N094H	Proximal interphalangeal joint of finger pain
N094J	Distal interphalangeal joint of finger pain
N094L	Sacroiliac joint pain
N094M	Knee joint pain
N094N	Tibiofibular joint pain
N094P	Ankle joint pain
N094Q	Subtalar joint pain
N094R	Talonavicular joint pain
N094S	Arthralgia of other tarsal joint
N094T	First metatarsophalangeal joint pain
N094U	Lesser metatarsophalangeal joint pain
N094V	Interphalangeal joint of toe pain
N094z	Arthralgia NOS
N0961	Other joint symptoms of the shoulder region
N0962	Other joint symptoms of the upper arm
N0963	Other joint symptoms of the forearm
N0964	Other joint symptoms of the hand
N0968	Other joint symptoms of other specified site
N0969	Other joint symptoms of multiple sites
N096B	Other symptoms in sternoclavicular joint
N096D	Other symptoms - elbow
N096E	Other symptoms in distal radioulnar joint
N096K	Other symptoms - hip
N096N	Other symptoms in tibiofibular joint
N096R	Other symptoms in talonavicular joint
N096S	Other symptoms in other tarsal joint
N096z	Other joint symptoms NOS
N09y0	Other specified joint disorders of unspecified site
N09y1	Other specified joint disorders of the shoulder region
N09y2	Other specified joint disorders of the upper arm
N09y3	Other specified joint disorders of the forearm
N09y4	Other specified joint disorders of the hand
N09y5	Other specified joint disorders of the pelvic region and thigh
N09y6	Other specified joint disorders of the lower leg
N09y7	Other specified joint disorders of the ankle and foot
N09y8	Other specified joint disorders of other specified site
N09y9	Other specified joint disorders of multiple sites
N09yz	Other specified joint disorders NOS
N09z.	Joint disorders NOS
N09z1	Joint disorder NOS, of shoulder region
N09z7	Joint disorder NOS, of ankle and foot
N0y..	Other specified arthropathies
N0z..	Arthropathies NOS
N100.	Ankylosing spondylitis
N102.	Sacroiliitis NEC
N10z.	Spondylitis NOS
N11y.	Other spondyloses and allied disorders
N11y0	Brucella spondylitis
N11y1	Enterobacterial spondylitis
N11y2	Neuropathic spondylopathy
N11z.	(Spondylosis NOS) or (osteoarthritis spine)
N130.	Cervical spinal stenosis
N1300	Idiopathic cervical spinal stenosis
N1301	Degenerative cervical spinal stenosis
N1302	Iatrogenic cervical spinal stenosis
N1303	Cervical spinal stenosis secondary to other disease
N13y2	Crick in neck
N13z.	Cervical and neck disorders NOS
N1400	Spinal stenosis of unspecified region
N1401	Thoracic spinal stenosis
N1402	Lumbar spinal stenosis
N1403	Idiopathic thoracic spinal stenosis
N1404	Degenerative thoracic spinal stenosis
N1405	Iatrogenic thoracic spinal stenosis
N1406	Thoracic spinal stenosis secondary to other disease
N1407	Idiopathic lumbar spinal stenosis
N1408	Degenerative lumbar spinal stenosis
N1409	Iatrogenic lumbar spinal stenosis
N140A	Lumbar spinal stenosis secondary to other disease
N140z	Spinal stenosis NOS
N1420	Lumbago with sciatica
N144.	Thoracic and lumbosacral neuritis
N1441	Lumbosacral neuritis, unspecified
N144z	Thoracic and lumbosacral neuritis NOS
N145.	(Backache unspecified) or (back pain unspecified & [acute])
N1460	Lumbosacral ankylosis
N1461	Sacroiliac ankylosis
N1462	Sacral ankylosis NOS
N1465	Sacral instability NOS
N1472	Pain in the coccyx
N148.	Ankylosis or instability of cervical,thoracic or lumbar spine
N1480	Atlanto-occipital ankylosis
N1481	Atlantoaxial ankylosis
N1482	Cervical spine ankylosis
N1483	Cervicothoracic ankylosis
N1484	Thoracic spine ankylosis
N1485	Thoracolumbar ankylosis
N1486	Lumbar spine ankylosis
N1487	Atlanto-occipital instability
N1488	Atlantoaxial instability
N1489	Cervical spine instability
N148A	Cervicothoracic instability
N148B	Thoracic spine instability
N148C	Lumbar spine instability
N2...	Rheumatism, excluding the back
N2142	Periarthritis of wrist
N2172	Metatarsalgia NOS
N21z1	Periarthritis NOS
N22z.	Synovial, tendon or bursa disorder NOS
N240.	Rheumatism and fibrositis unspecified
N2400	Rheumatism unspecified
N2402	Muscular rheumatism
N2403	Rheumatic pain
N2407	Hand rheumatism
N240z	Rheumatism or fibrositis NOS
N241.	Myalgia and myositis unspecified
N2412	Fibromyositis NOS
N241z	Myalgia or myositis NOS
N242.	Neuralgia, neuritis and radiculitis unspecified
N2420	Neuralgia unspecified
N2421	Neuritis unspecified
N247.	Other musculoskeletal limb symptoms
N2y..	Other specified nonarticular rheumatism
N2z..	Nonarticular rheumatism NOS
N312.	Hypertrophic osteoarthropathy
N337.	Complex regional pain syndrome type I
N33A0	Bony pelvic pain
N33A1	Clavicle pain
N36..	Other acquired limb deformity
N36yM	Old amputee NOS
N36yz	Acquired limb deformity NEC
N381.	Other acquired head deformity
N38y.	Other acquired deformity
N38yz	Other acquired deformity NOS
N38z.	Acquired deformity NOS
N39..	Nonallopathic lesions, NEC
N399.	Nonallopathic lesion of the abdomen and other regions
N39z.	Nonallopathic lesion NEC NOS
N3y..	Other specified musculoskeletal disorders
N3y0.	Biomechanical lesions, not elsewhere classified
N3z..	Other musculoskeletal disorder NOS
Ny...	Other specified diseases of musculoskeletal or connective tissue
Nyu..	[X]Additional musculoskeletal and connective tissue disease classification terms
Nyu03	[X]Other reactive arthropathies
Nyu04	[X]Other post-infectious arthropathies in diseases classified elsewhere
Nyu05	[X]Reactive arthropathy in other diseases classified elsewhere
Nyu1.	[X]Inflammatory polyarthropathies
Nyu10	[X]Rheumatoid arthritis with involvement of other organs or systems
Nyu11	[X]Other seropositive rheumatoid arthritis
Nyu12	[X]Other specified rheumatoid arthritis
Nyu13	[X]Other psoriatic arthropathies
Nyu14	[X]Other enteropathic arthropathies
Nyu15	[X]Other juvenile arthritis
Nyu16	[X]Juvenile arthritis in other diseases classified elsewhere
Nyu1A	[X]Other specific arthropathies, not elsewhere classified
Nyu1B	[X]Other specified arthritis
Nyu1E	[X]Arthropathies in other endocrine, nutritional and metabolic disorders
Nyu1F	[X]Arthropathies in other specified diseases classified elsewhere
Nyu1G	[X]Seropositive rheumatoid arthritis, unspecified
Nyu2.	[X]Arthrosis
Nyu20	[X]Other polyarthrosis
Nyu21	[X]Other primary coxarthrosis
Nyu22	[X]Other dysplastic coxarthrosis
Nyu23	[X]Other post-traumatic coxarthrosis
Nyu24	[X]Other secondary coxarthrosis, bilateral
Nyu26	[X]Other post-traumatic gonarthrosis
Nyu27	[X]Other secondary gonarthrosis, bilateral
Nyu28	[X] Secondary gonarthrosis: [other] or [unilateral]
Nyu29	[X]Other primary arthrosis of first carpometacarpal joint
Nyu2A	[X]Other post-traumatic arthrosis of first carpometacarpal joint
Nyu2B	[X]Other secondary arthrosis of first carpometacarpal joints, bilateral
Nyu2C	[X]Other secondary arthrosis of first carpometacarpal joint
Nyu2D	[X]Other specified arthrosis
Nyu2E	[X] Secondary coxarthrosis: [other] or [unilateral]
Nyu2F	[X]Post-traumatic arthrosis of other joints
Nyu3.	[X]Other joint disorders
Nyu34	[X]Other specified acquired deformities of limbs
Nyu3C	[X]Other instability of joint
Nyu3D	[X]Other specified joint disorders
Nyu4.	[X]Systemic connective tissue disorders
Nyu47	[X]Other systemic diseases of connective tissue
Nyu49	[X]Arthropathy in neoplastic disease classified elsewhere
Nyu4A	[X]Arthropathy in other blood disorders classified elsewhere
Nyu4B	[X]Arthropathy in hypersensitivity reactions classified elsewhere
Nyu4C	[X]Systemic disorders of connective tissue in other diseases classified elsewhere
Nyu62	[X]Other spondylosis with myelopathy
Nyu63	[X]Other spondylosis with radiculopathy
Nyu64	[X]Other spondylosis
Nyu94	[X]Other specified disorders of synovium and tendon
Nyu96	[X]Other disorders of synovium and tendon in diseases classified elsewhere
NyuC7	[X]Other hypertrophic osteoarthropathy
NyuE.	[X]Other disorders of the musculoskeletal system and connective tissue
NyuE0	[X]Other specified acquired deformities of musculoskeletal system
NyuE2	[X]Other postprocedural musculoskeletal disorders
NyuE3	[X]Other biomechanical lesions
NyuE4	[X]Postprocedural musculoskeletal disorder, unspecified
Nz...	Musculoskeletal and connective tissue diseases NOS
P1131	Cervical spinal meningocele
P1132	Thoracic spinal meningocele
PE...	Congenital musculoskeletal deformities (& [certain])
PE35.	Unstable hip (& congenital)
PE9..	Other musculoskeletal deformity (& [congenital])
PEz..	Congenital musculoskeletal deformity NOS
PF6y2	Congenital deformity of sacroiliac joint
PF6y3	Congenital fusion of sacroiliac joint
PG...	Other congenital musculoskeletal anomalies
PG44.	Other specified dwarfing syndromes
PG44z	Other dwarfing syndromes NOS
PGy..	Other specified muscle, tendon and fascia anomaly
PGyyz	Other anomaly of tendon, fascia or muscle NOS
PGyz.	Other muscle, tendon or fascia anomalies NOS
PGz..	(Congenital musculoskeletal anomalies NOS) or (congenital deformity of musculoskeletal system NEC)
PGz2.	Unspecified anomaly of bones
PGz3.	Unspecified anomaly of cartilage
PKy8.	Congenital malformation syndromes with other skeletal changes
Pyu8.	[X]Congenital malformations and deformations of the musculoskeletal system
Pyu86	[X]Other specified congenital musculoskeletal deformities
Pyu8M	[X]Other congenital malformations of the musculoskeletal system
Q204.	Spine or spinal cord injury due to birth trauma
Q204z	Spine or spinal cord injury due to birth trauma NOS
R00z2	[D]Pain, generalised
R00zC	[D]Chronic intractable pain
R01z.	[D]Other nervous and musculoskeletal symptoms
R01z2	[D]Musculoskeletal pain
R01zz	[D]Nervous or musculoskeletal symptoms NOS
R04..	[D]Head and neck symptoms
R040.	[D]Headache
R0400	[D]Facial pain
R04zz	[D]Head and neck symptoms NOS
R065A	[D]Musculoskeletal chest pain
R090.	[D]Abdominal pain
R090C	[D]Loin pain
R090D	[D]Abdominal migraine
R090y	[D]Other specified abdominal pain
R090z	[D]Abdominal pain NOS
Ryu11	[X]Other and unspecified abdominal pain
Ryu70	[X]Other chronic pain
S1...	Fracture of neck and trunk
S1000	Closed fracture of unspecified cervical vertebra
S100z	Closed fracture of cervical spine not otherwise specified
S1010	Open fracture of unspecified cervical vertebra
S1013	Open fracture of third cervical vertebra (& [without mention of spinal cord lesion])
S1014	Open fracture of fourth cervical vertebra (& [without mention of spinal cord lesion])
S1015	Open fracture of fifth cervical vertebra (& [without mention of spinal cord lesion])
S1016	Open fracture of sixth cervical vertebra (& [without mention of spinal cord lesion])
S1017	Open fracture of seventh cervical vertebra (& [without mention of spinal cord lesion])
S101z	Open fracture of cervical spine not otherwise specified
S10A2	Multiple fractures of cervical spine
S10B.	Fracture of lumbar spine and pelvis
S10B6	Multiple fractures of lumbar spine and pelvis
S10x.	Closed fracture of spine, unspecified,
S10y.	Open fracture of spine, unspecified,
S10z.	Fracture of spine without mention of spinal cord lesion NOS
S110.	Closed fracture of cervical spine with cord lesion
S1100	Closed spinal fracture with unspecified cervical cord lesion, C1-4
S1101	Closed spinal fracture with complete cervical cord lesion, C1-4
S1102	Closed spinal fracture with anterior cervical cord lesion, C1-4
S1103	Closed spinal fracture with central cervical cord lesion , C1-4
S1104	Closed spinal fracture with posterior cervical cord lesion, C1-4
S1105	Closed spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified
S1106	Closed spinal fracture with unspecified cervical cord lesion, C5-7
S1107	Closed spinal fracture with complete cervical cord lesion, C5-7
S1108	Closed spinal fracture with anterior cervical cord lesion, C5-7
S1109	Closed spinal fracture with central cervical cord lesion, C5-7
S110A	Closed spinal fracture with posterior cervical cord lesion, C5-7
S110B	Closed spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified
S110z	Closed fracture of cervical spine with spinal cord lesion NOS
S111.	Open fracture of cervical spine with spinal cord lesion
S1110	Open spinal fracture with unspecified cervical cord lesion, C1-4
S1111	Open spinal fracture with complete cervical cord lesion, C1-4
S1112	Open spinal fracture with anterior cervical cord lesion, C1-4
S1113	Open spinal fracture with central cervical cord lesion, C1-4
S1114	Open spinal fracture with posterior cervical cord lesion, C1-4
S1115	Open spinal fracture with incomplete cervical cord lesion, C1-4 not otherwise specified
S1116	Open spinal fracture with unspecified cervical cord lesion, C5-7
S1117	Open spinal fracture with complete cervical cord lesion, C5-7
S1118	Open spinal fracture with anterior cervical cord lesion, C5-7
S1119	Open spinal fracture with central cervical cord lesion, C5-7
S111A	Open spinal fracture with posterior cervical cord lesion, C5-7
S111B	Open spinal fracture with incomplete cervical cord lesion, C5-7 not otherwise specified
S111z	Open fracture of cervical spine with spinal cord lesion NOS
S112.	Closed fracture of thoracic spine with spinal cord lesion
S1120	Closed spinal fracture with unspecified thoracic cord lesion, T1-6
S1121	Closed spinal fracture with complete thoracic cord lesion, T1-6
S1122	Closed spinal fracture with anterior thoracic cord lesion, T1-6
S1123	Closed spinal fracture with central thoracic cord lesion, T1-6
S1124	Closed spinal fracture with posterior thoracic cord lesion, T1-6
S1125	Closed spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified
S1126	Closed spinal fracture with unspecified thoracic cord lesion,T7-12
S1127	Closed spinal fracture with complete thoracic cord lesion,T7-12
S1128	Closed spinal fracture with anterior thoracic cord lesion,T7-12
S1129	Closed spinal fracture with central thoracic cord lesion, T7-12
S112A	Closed spinal fracture with posterior thoracic cord lesion, T7-12
S112B	Closed spinal fracture with incomplete thoracic cord lesion,T7-12 not otherwise specified
S112z	Closed fracture of thoracic spine with spinal cord lesion NOS
S113.	Open fracture of thoracic spine with spinal cord lesion
S1130	Open spinal fracture with unspecified thoracic cord lesion, T1-6
S1131	Open spinal fracture with complete thoracic cord lesion, T1-6
S1132	Open spinal fracture with anterior thoracic cord lesion, T1-6
S1133	Open spinal fracture with central thoracic cord lesion, T1-6
S1134	Open spinal fracture with posterior thoracic cord lesion, T1-6
S1135	Open spinal fracture with incomplete thoracic cord lesion, T1-6 not otherwise specified
S1136	Open spinal fracture with unspecified thoracic cord lesion, T7-12
S1137	Open spinal fracture with complete thoracic cord lesion, T7-12
S1138	Open spinal fracture with anterior thoracic cord lesion, T7-12
S1139	Open spinal fracture with central thoracic cord lesion, T7-12
S113A	Open spinal fracture with posterior thoracic cord lesion, T7-12
S113B	Open spinal fracture with incomplete thoracic cord lesion, T7-12 not otherwise specified
S113z	Open fracture of thoracic spine with spinal cord lesion NOS
S114.	Closed fracture of lumbar spine with spinal cord lesion
S1140	Closed spinal fracture with unspecified lumbar cord lesion
S1141	Closed spinal fracture with complete lumbar cord lesion
S1142	Closed spinal fracture with anterior lumbar cord lesion
S1143	Closed spinal fracture with central lumbar cord lesion
S1144	Closed spinal fracture with posterior lumbar cord lesion
S1145	Closed spinal fracture with cauda equina lesion
S115.	Open fracture of lumbar spine with spinal cord lesion
S1150	Open spinal fracture with unspecified lumbar cord lesion
S1151	Open spinal fracture with complete lumbar cord lesion
S1152	Open spinal fracture with anterior lumbar cord lesion
S1153	Open spinal fracture with central lumbar cord lesion
S1154	Open spinal fracture with posterior lumbar cord lesion
S1155	Open spinal fracture with cauda equina lesion
S115z	Open spinal fracture with incomplete lumbar cord lesion not otherwise specified
S116.	Closed fracture of sacrum with spinal cord lesion
S1160	Closed fracture of sacrum with unspecified spinal cord lesion
S1162	Closed fracture of sacrum with other cauda equina injury
S1163	Closed fracture of sacrum with other spinal cord injury
S116z	Closed fracture of sacrum with spinal cord lesion NOS
S117.	Open fracture of sacrum with spinal cord lesion
S1170	Open fracture of sacrum with unspecified spinal cord lesion
S1172	Open fracture of sacrum with other cauda equina injury
S1173	Open fracture of sacrum with other spinal cord injury
S117z	Open fracture of sacrum with spinal cord lesion NOS
S118.	Closed fracture of coccyx with spinal cord lesion
S1180	Closed fracture of coccyx with unspecified spinal cord lesion
S1182	Closed fracture of coccyx with other cauda equina injury
S1183	Closed fracture of coccyx with other spinal cord injury
S118z	Closed fracture of coccyx with spinal cord lesion NOS
S119.	Open fracture of coccyx with spinal cord lesion
S1190	Open fracture of coccyx with unspecified spinal cord lesion
S1192	Open fracture of coccyx with other cauda equina injury
S1193	Open fracture of coccyx with other spinal cord injury
S119z	Open fracture of coccyx with spinal cord lesion NOS
S11x.	Closed fracture of spine with spinal cord lesion unspecified
S11y.	Open fracture of spine with spinal cord lesion unspecified
S11z.	Fracture of spine with spinal cord lesion NOS
S150.	Multiple fractures of thoracic spine
S1z..	Fracture of neck and trunk NOS
S5...	Sprains and strains of joints and adjacent muscles
S51w.	Other elbow sprain
S51y.	Elbow sprain NOS
S560.	Sprain, lumbosacral ligament
S561.	Sprain of ligament of sacroiliac joint
S56y.	Other specified sacroiliac sprains
S56z.	Sacroiliac sprain NOS
S570.	Neck sprain
S5701	Cervical anterior longitudinal ligament sprain
S5702	Atlantoaxial joint sprain
S5703	Atlanto-occipital joint sprain
S570z	Neck sprain NOS
S572.	Lumbar sprain
S57z.	Back sprain NOS
S5y..	Other and ill-defined sprains and strains
S5yy.	Other specified sprains and strains
S5yz.	Other and ill-defined sprains and strains NOS
SD0..	Superficial injury to head, excluding eye
SD0y1	Superficial injury of neck NOS
SD0y2	Superficial injury of scalp NOS
SD0yz	Superficial injury of face, neck, and scalp, no infection, NOS
SD0z.	Superficial injury of face/neck/scalp NOS, infected
SD0z0	Superficial injury of face NOS, infected
SD0z1	Superficial injury of neck NOS, infected
SD0z2	Superficial injury of scalp NOS, infected
SD0zz	Superficial injury of head NOS, infection NOS
SD722	Neuropathic foot blister
SDC0.	Superficial injuries involving head with neck
SF02.	Crush injury, neck
SF020	Crush injury, throat, unspecified
SF02z	Crush injury, neck NOS
SF0z.	Crush injury, face, scalp and neck NOS
SJ...	(Injuries: [nerve and/or spinal cord] or [cranial nerve]) or (neuroma - traumatic)
SJ1..	Injury to other cranial nerves
SJ1y.	Other specified cranial nerve injury
SJ1yz	Other specified cranial nerve injury NOS
SJ1z.	Injury to other cranial nerve NOS
SJ2..	Spinal cord injury without evidence of spinal bone injury
SJ20.	Cervical cord injury without evidence of spinal bone injury
SJ205	Incomplete cervical cord injury, unspecified, without bony injury, C1-4
SJ20B	Incomplete cervical cord injury, unspecified, without bony injury, C5-7
SJ20z	Cervical cord injury without spinal bone injury NOS
SJ21.	Thoracic cord injury without spinal bone injury
SJ210	Unspecified thoracic cord injury, without bony injury, T1-6
SJ215	Incomplete thoracic cord injury, unspecified, without bony injury, T1-6
SJ216	Unspecified thoracic cord injury, without bony injury, T7-12
SJ21B	Incomplete thoracic cord injury, unspecified, without bony injury, T7-12
SJ21z	Thoracic cord injury without spinal bone injury, NOS
SJ22.	Lumbar cord injury without spinal bone injury
SJ220	Unspecified lumbar cord injury without bony injury
SJ225	Incomplete lumbar cord injury, unspecified, without bony injury
SJ2z.	Spinal cord injury without spinal bone injury NOS
SJ3x.	Nerve root and spinal plexus injuries of multiple sites
SJ3z.	Nerve root and spinal plexus injuries NOS
SJ60.	Sciatic nerve injury
SJ600	Closed injury sciatic nerve
SJ601	Open injury sciatic nerve
SJ70.	Superficial nerve injury: [neck (& head)]
SJ71.	Injury of peripheral nerves of neck
SJ8..	Injury of nerves and spinal cord at neck level
SJ9..	Injury of nerves and spinal cord at thorax level
SJz..	Nerve and spinal cord injury NOS
SK10y	Other neck injuries
SK1x1	Multiple superficial injuries of neck
SK1x3	Multiple injuries of neck
SP073	Internal prosthetic device causing pain
SP2y2	Postoperative pain
SR10.	Fractures involving head with neck
SR20.	Dislocations, sprains and strains involving head with neck
SR30.	Crushing injuries involving head with neck
Syu06	[X]Sprain and strain of joints and ligaments of other and unspecified parts of head
Syu07	[X]Injury of other cranial nerves
Syu1.	[X]Injuries to the neck
Syu11	[X]Superficial injury of other parts of the neck
Syu12	[X]Superficial injury of neck, part unspecified
Syu15	[X]Fracture of other specified cervical vertebra
Syu16	[X]Fracture of other parts of neck
Syu18	[X]Sprain and strain of joints and ligaments of other and unspecified parts of neck
Syu19	[X]Other and unspecified injuries of cervical spinal cord
Syu1A	[X]Injury of other and unspecified nerves of neck
Syu1D	[X]Crushing injury of other parts of neck
Syu1E	[X]Crushing injury of neck, part unspecified
Syu1F	[X]Other specified injuries of neck
Syu2B	[X]Other and unspecified injuries of thoracic spinal cord
Syu36	[X]Sprain and strain of other and unspecified parts of lumbar spine and pelvis
Syu38	[X]Other injury of lumbar spinal cord
SyuK.	[X]Complications of surgical and medical care, not elsewhere classified
SyuK1	[X]Other complications following infusion, transfusion and therapeutic injection
SyuK2	[X]Other complications of procedures, not elsewhere classified
SyuK3	[X]Mechanical complication of other vascular grafts
SyuK4	([X] Mechanical complication of other cardiac and vascular devices and implants) or ([X] mechanical complication of vascular catheter)
SyuK5	([X]Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts) or ([X] vascular graft infection)
SyuK6	([X] Other complications of cardiac and vascular prosthetic devices, implants and grafts) or ([X] embolism from prosthetic heart valve)
SyuK7	[X]Unspecified complication of cardiac and vascular prosthetic device, implant and graft
SyuK8	[X]Mechanical complication of other urinary devices and implants
SyuK9	[X]Mechanical complication of other devices, implants and grafts of genital tract
SyuKA	[X]Other complications of genitourinary prosthetic devices, implants and grafts
SyuKD	[X]Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts
SyuKE	[X] Other complications of internal orthopaedic prosthetic devices, implants and grafts (& [prosthesis: [pain due to] or [fibrosis due to]] or [stiffness following joint replacement])
SyuKF	[X]Mechanical complication of other ocular prosthetic devices, implants and grafts
SyuKG	[X]Mechanical complication of other specified internal prosthetic devices, implants and grafts
SyuKH	[X]Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts
SyuKJ	[X]Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified
SyuKL	[X]Complications of other reattached body part
SyuKN	[X]Other complications following immunization, not elsewhere classified
SyuKQ	[X]Other specified complications and adverse effects of surgical and medical care, not elsewhere classified
SyuL1	[X]Sequelae of other fracture of thorax and pelvis
SyuL2	[X]Sequelae of other specified injuries of neck and trunk
SyuLC	[X]Sequelae of unspecified injury of neck and trunk
U633.	[X]Surgical operation with formation of external stoma as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U640.	[X]Cardiac catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U644.	[X]Aspiration of fluid as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U645.	[X]Insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
U647.	[X]Blood sampling as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
Ua1Mo	Partnership in pain control (InPS+developmental)
Ua1Mr	Pain relief in labour (InPS+developmental)
X007c	Chronic post-traumatic headache
X007I	Headache disorder
X007J	Migraine with typical aura
X007K	Migraine with prolonged aura
X007l	Benign exertion headache
X007T	Muscular headache
X007V	Chronic tension-type headache
X00A7	Neuritis ulnar nerve
X00A8	Peripheral neuropathy - hereditary or idiopathic
X00A9	Hereditary motor and sensory neuropathy type I
X00Aa	Neuropathy due to deficiency syndrome
X00AA	Hereditary motor and sensory neuropathy type II
X00Af	Neuropathy associated with endocrine disorder
X00Ag	Diabetic neuropathy
X00Al	Diabetic mononeuropathy
X00AZ	Neuropathies and neuromyelopathies associated with systemic disorder
X00B2	Critical illness polyneuropathy
X00B3	Neuropathy due to infection
X00B5	Diphtheritic neuropathy
X00BG	Toxic neuropathy
X00BQ	Injury of spinal plexus
X00C5	Intercostal neuropathy
X00C9	Traumatic neuroma - disorder
X00CH	Axonal sensorimotor neuropathy
X40Po	Amyloid polyneuropathy type I
X40Pp	Familial amyloid polyneuropathy type II
X40Pq	Familial amyloid polyneuropathy type III
X40QJ	Arthritis secondary to amyloidosis
X40YD	Neuropathic beriberi
X50Bj	Neuropathic foot ulcer
X50Kz	Persistent wound pain
X607K	Operation for spinal trauma
X607M	Application of spinal traction system
X7003	Calcification of joint
X7004	Foot arthritis NOS
X7005	Ankle arthritis NOS
X7006	Knee arthritis NOS
X7007	Hip arthritis NOS
X7008	Wrist arthritis NOS
X7009	Elbow arthritis NOS
X700A	Coxitis
X700S	Anterior knee pain
X701A	Intermittent joint effusion
X701E	Fistula of joint
X701f	Post-immunisation arthritis
X701g	Arthritis following intestinal bypass
X701G	Joint injury
X701h	Seropositive rheumatoid arthritis
X701i	Seronegative rheumatoid arthritis
X701j	Rheumatoid arthritis with organ / system involvement
X701J	Knee pyogenic arthritis
X701k	Fibrosing alveolitis associated with rheumatoid arthritis
X701L	Wrist pyogenic arthritis
X701M	Elbow pyogenic arthritis
X701n	Juvenile chronic arthritis
X701O	Arthritis due to viral infection
X701R	Lyme arthritis
X701t	Juvenile rheumatoid arthritis
X701T	Arthritis due to parasitic infection
X701U	Post-infective arthritis
X701v	Juvenile psoriatic arthritis with psoriasis
X701W	Reactive arthritis
X701x	Juvenile ankylosing spondylitis
X701Y	Arthropathy in nonspecific urethritis
X701Z	Post-genitourinary infection Reiter's disease
X7026	Psoriatic arthritis with distal interphalangeal joint involvement
X7027	Psoriatic arthritis - destructive type
X702E	Undifferentiated inflammatory arthritis
X702L	Secondary inflammatory arthritis
X702P	Charcot's arthropathy
X702z	Toe osteoarthritis NOS
X7030	Foot osteoarthritis NOS
X7031	Ankle osteoarthritis NOS
X7034	Thumb osteoarthritis NOS
X7035	Finger osteoarthritis NOS
X7039	Spondylosis
X703A	Osteoarthritis of spinal facet joint
X703B	Osteoarthritis of shoulder joint
X703C	Osteoarthritis of acromioclavicular joint
X703D	Osteoarthritis of elbow
X703E	Osteoarthritis of wrist
X703F	Osteoarthritis of first carpometacarpal joint
X703G	Osteoarthritis of finger joint
X703H	Osteoarthritis of distal interphalangeal joint
X703I	Osteoarthritis of proximal interphalangeal joint
X703j	Cervical spondylosis
X703k	Lumbar spondylosis
X703K	Osteoarthritis of hip
X703L	Osteoarthritis of knee
X703M	Osteoarthritis of ankle
X703N	Osteoarthritis of subtalar joint
X703O	Osteoarthritis of first metatarsalphalangeal joint
X703P	Osteoarthritis of toe joint
X7041	Localised osteoarthritis
X7042	Otto's pelvis
X7043	Coxae malum senilis
X707a	Metatarsalgia
X70Cb	Ankylosis of spine NOS
X70Co	Spinal stenosis
X70Cw	Thoracic spondylosis
X70Cy	Degenerative arthropathy of spinal facet joint
X70D4	Acquired skeletal deformity
X70IH	Postmeningococcal arthritis
X75rf	Iliac fossa pain
X75rg	Flank pain
X75rG	Pain in sinuses
X75rp	Musculoskeletal pain disorder
X75rq	Bone pain
X75rs	Muscle pain
X75rt	Intercostal myalgia
X75rv	Hip pain
X75rz	Acute back pain with sciatica
X75s4	Facet joint pain
X75s9	Shoulder pain
X75sa	Neuralgia
X75sA	Pain in lower limb
X75sB	Heel pain
X75sC	Hand pain
X75sD	Foot pain
X75sE	Pain in upper limb
X75sF	Ankle pain
X75sS	Neuritis
X75sv	Post-herpetic neuralgia
X75sy	Neuropathic pain
X76DG	Observation of the extremities
X76G5	Bouchard's node
X76ml	Stiff neck NOS
X76mm	Stiff back
X76qd	Hand cramps
X76qj	Joint observation
X76r7	Unstable knee
X786T	Congenital deformity of musculoskeletal system NEC
XA007	Neck injury
XA00G	Spinal injury
XA01L	Crushing injury of skull and intracranial contents
XA04P	Spinal cord injury
Xa07F	Pain
XA0BL	Injury of cranial nerve
XA0CN	Back sprain excluding lumbosacral
XA0CR	Sprain of sacroiliac joint
XA0Ej	Injury of specialised joint structure
XA0Ex	Sprain of ligament of elbow
XA0G9	Fracture of transverse process of spine without spinal cord lesion
XA0GA	Fracture of transverse process of spine with spinal cord lesion
